   oṃ	om
   nāstīti yo viparyayaḥ	na asti iti yaH viparyayaH
   tatpratiyogidarśanābhāvarūpaviparyayapratiyogi yaddarśanaṃ	tad pratiyogi darSana aBAva rUpa viparyaya pratiyogi yad darSanam
   tasyāpādyatvarūpaṃ viparyaye darśanābhāvānnāstīti vyatyāsarūpe	tasya ApAdya tva rUpam viparyaye darSana aBAvAt na asti iti vyatyAsa rUpe
   tatkoṭiparyavasāyitvaṃ nāstītyabhāvakoṭiparyavasāyitvaṃ tarkasya	tad kowi paryavasAyi tvam na asti iti aBAva kowi paryavasAyi tvam tarkasya
   darśayatīti samuditārthaḥ" (pṛ. 80) iti/	darSayati iti samudita arTaH" (pR. 80) iti/
   'tarkitā āpāditā	atarkitA ApAditA
   pratiyogino ghaṭādeḥ sattvasya sattvaprasakteḥ' itiprakāśikā (pṛ.142)/	pratiyoginaH Gawa AdeH sattvasya sattva prasakteH a iti prakASikAH (pR.142)/
   atra tarkitā	atra tarkitA
   ityasya	iti asya
   āpādanaviṣayabhūtetyarthaḥ/ āpādanāśrayabhūteti bhāskarodayā (pṛ.80)/	ApAdana vizaya BUtA iti arTaH/ ApAt ana ASraya BUtA iti BAskara udayA (pR.80)/
   satpratipakṣaprakaraṇe	sat pratipakza prakaraNe
   prakāśikāyāṃ 'yatsaṃbandhi yat sādhyaṃ	prakASikAyAm ayat saMbanDi yat sADyam
   tadabhāvavyāpyahetvantarasya jñānaṃ pakṣe 'sti sa satpratipakṣa ityarthaḥ'	tad aBAva vyApya hetu antarasya jQAnam pakze asti sa sat pratipakzaH iti arTaH a
   iti paṅktirdṛśyate (pṛ. 203)/ tasyā ayamarthaḥ  yatsaṃbandhītyasya	iti paFktiH dRSyate (pR. 203)/ tasyAH ayam arTaH yat saMbanDI iti asya
   yaddhetusaṃbandhītyarthaḥ/ tathā ca yaddhetusaṃbandhi yat sādhyaṃ	yat hetu saMbanDi iti arTaH/ taTA ca yat hetu saMbanDi yat sADyam
   tadabhāvavyāpyahetvantarasya jñānaṃ tatpakṣe 'sti sa satpratipakṣaḥ/ sa	tad aBAva vyApya hetu antarasya jQAnam tat pakze asti sa sat pratipakzaH/ sa
   satpratipakṣa ityatra	sat pratipakzaH iti atra
   tatpadena	tad padena
   yatsaṃbandhītyatra yatpadena gṛhīto heturgrāhya iti/	yat saMbanDI iti atra yat padena gRhItaH hetuH grAhyaH iti/
   bhāskārodayāyāṃ tu   'yatpadena prakṛtābhipretapakṣaparigrahaḥ/	BAskAra udayAyAm tu  ayat padena prakRta aBipreta pakza parigrahaH/
   pakṣetyatra tadityādiḥ/ tathā ca yatpakṣakaṃ yatsādhyaṃ	pakza iti atra tat ityAdiH/ taTA ca yat pakzakam yat sADyam
   tadabhāvavyāpyahetvantarasya jñānaṃ tatpakṣe sa ityanvayaḥ' iti	tad aBAva vyApya hetu antarasya jQAnam tat pakze saH iti anvayaH a iti
   vyākhyānaṃ dṛśyate (pṛ. 116)/ atrānanvayādikaṃ viduṣāṃ spaṣṭam/	vyAKyAnam dRSyate (pR. 116)/ atra ananvaya Adikam viduzAm spazwam/
   prāmāṇyavādeprakāśikāyāṃ   'bhaṭṭamate tu jñānasyātīndriyatayā	prAmANya vAda IprakASikAyAm  aBawwa mate tu jQAnasya atIndriya tayA
   jñātatāliṅgakānumitereva prāthamikajñānagraharūpatayā tayā prāmāṇyaṃ	jQAta tA liFgaka anumiteH eva prATamika jQAna graha rUpa tayA tayA prAmANyam
   gṛhyate' iti paṅktirdṛśyate (pṛ. 239)/ atra jñānasya grahaḥ jñānagrahaḥ	gRhyate a iti paFktiH dRSyate (pR. 239)/ atra jQAnasya grahaH jQAna grahaH
   prāthamikaścāsau jñānagrahaśceti karmadhārayaḥ/ tena prāthamikatvaṃ	prATamikaH ca asO jQAna grahaH ca iti karmaDArayaH/ tena prATamika tvam
   jñānagrahaviśeṣaṇam/ jñānagrahe prāthamikatvaviśeṣaṇāt	jQAna graha viSezaNam/ jQAna grahe prATamika tva viSezaNAt
   naiyāyikasaṃmatapravṛttyādiliṅgakānumityātmakaḥ dvitīyo	nEyAyika saMmata pravRtti Adi liFgakAnum iti AtmakaH dvitIyaH 
   jñānagrahaḥ vyavacchidyata iti prakāśikāśayaḥ/	jQAna grahaH vyavacCidyate iti prakASika ASayaH/
   bhāskārodayāyāṃ tu etattattvājñānāt 'prathame bhavaṃ prāthamikaṃ	BAskAra udayAyAm tu etad tattva ajQAnAt apraTame Bavam prATamikam
   tacca jñānaṃ vyavasāyātmakaṃ, tasya graharūpatayā	tat ca jQAnam vyavasAya AtmakaM, tasya graha rUpa tayA
   tadgrāhakānumityātmakajñānasvarūpatayeti yāvat' iti yatkimapi	tad grAhaka anum iti Atmaka jQAna svarUpa tayA iti yAvat a iti yat kim api
   vyākhyātam (pṛ. 137)/	vyAKyAtam (pR. 137)/
   tathātatraiva   'anumānaprayogastu idaṃ jñānamapramā	taTA tatra eva  aanumAna prayogaH tu idam jQAnam apramA
   visaṃvādipravṛttijanakatvāt yannaivaṃ tannaivam' iti dṛśyate (pṛ.288)/	visaMvAdi pravRtti janaka tvAt yat na evam tat na evam a iti dRSyate (pR.288)/
   atra visaṃvādipravṛttītyatra visaṃvādinī yā pravṛttiḥ	atra visaMvAdi pravRtti iti atra visaMvAdinI yA pravRttiH
   tajjanakatvādityarthaḥ/ visaṃvādinītyasya viphaletyarthaḥ/bhāskārodayāyāṃ	tad janaka tvAt iti arTaH/ visaMvAdinI iti asya viPalA iti arTaH/BAskAra udayAyAm
   tu 'viparītajñāna	tu aviparIta jQAna
   vatpravṛttijanakatvādityarthaḥ' ityuktam/ anena visaṃvādinaḥ	vat pravRtti janaka tvAt iti arTaH a iti uktam/ anena visaMvAdinaH
   pravṛttiriti vigraho 'bhipretaḥ/ atrānaucityaṃ spaṣṭameva/	pravRttiH iti vigrahaH aBipretaH/ atra anOcityam spazwam eva/
   udāharaṇārthaṃ	udAharaNa arTam
   kānicit sthalāni pradarśitāni/ etādṛśasthaleṣubālapriyāyāṃ prāmāṇikarītyā	kAnicid sTalAni pradarSitA ani/ etAdRSa sTala izu bAla priyAyAm prAmANika rItyA
   vyākhyānaṃ kṛtam/	vyAKyAnam kRtam/
   athaitanmudraṇasamāptisamaye tiruppukkulisvāmīti vikhyātaiḥ	aTa etat mudraNa samApti samaye tiruppukkulisvAmI iti viKyAtEH
   sārdhaśatasaṃvatsarebhyaḥ pūrvaṃ kāñcīmadhyuṣitavadbhiḥ	sArDa Sata saMvatsareByaH pUrvam kAQcI maDyuzitavadBiH
   catustantraniṣṇātaiviracitānekanyāyagranthakroḍapatraiḥ	catur tantra nizNAta eviracita aneka nyAya granTa kroxa patrEH
   śrīkṛṣṇatātācāryaiḥ kṛtāyāḥ prasāraṇāḥ khyāyāḥ prakāśikāvyākhyāyāḥ	SrI kRzNa tAta AcAryEH kRtAyAH prasAraNAH KyAyAH prakASikA vyAKyAyAH
   ekā tālapatramayī granthalipimātṛkā saṃprati kāñcīmadhivasatāṃ	ekA tAla patra mayI granTa lipimAtRkA saMprati kAQcIm aDivasatAm
   villiyaṃpākkaṃ śrīsampatkumāratātācāryāṇāṃ sakāśāt labdhā/	villiyaMpAkkam SrI sampad kumAra tAta AcAryANAm sakASAt labDA/
   vyākhyeyaṃ śrīkṛṣṇatātācāryaiṃḥ mātṛkārūpeṇa vilikhiteti	vyAKyeyam SrI kRzNa tAta AcAryEMH mAtRkA rUpeNa viliKitA iti
   tālapatrāgranthapuṣpikātaḥ avagamyate/ api cātratyapramā tvānugamaḥ	tAla patra agranTa puzpikA ataH avagamyate/ api ca atratya pramA tvA anugamaH
   tathaivanyāyasiddhāñjanavyākhyāyāṃ	taTA eva nyAya sidDa aQjana vyAKyAyAm
   ratnapeṭikāyāṃdṛśyata/ kiṃ ca	ratna pewikAyAMdRSyata/ kim ca
   tadīyagranthāntaraśailīmanukarotīyaṃ prasāraṇā/ ato vyākhyeyaṃ	tadIya granTa antara SElIm anukaroti iyam prasAraNA/ atas vyAKyeyam
   śrīkṛṣṇatātācāryaiḥ kṛtetyatra na ko 'pi saṃdehaḥ/ asyāṃ prasāraṇāyāṃ	SrI kRzNa tAta AcAryEH kRtA iti atra na kaH api saMdehaH/ asyAm prasAraNAyAm
   prāyaḥ sarveṣāṃ lakṣaṇānāmanugamāḥ vartante/ tasmādiyaṃ vyākhyā	prAyas sarvezAm lakzaNAnAm anugamAH vartante/ tasmAt iyam vyAKyA
   anugamamārgajijñāsūnāṃ mahate upakārāya kalpeteti matvā asyā api	anugama mArga jijQAsUnAm mahate upakArAya kalpeta iti matvA asyAH api
   prakāśanaṃ yuktarūpaṃ manvānena mayā anubandharūpeṇa vyākhyeyaṃ	prakASanam yukta rUpam manvAnena mayA anubanDa rUpeNa vyAKyeyam
   mudrāpitā/ yadi pūrvameveyaṃ samupalabdhā abhaviṣyat tadā iyamapi	mudrA pitA/ yadi pUrvam eva iyam samupalabDAH aBavizyat tadA iyam api
   tattatsthalasyādhasyāt bālapriyayā sākaṃ mudrāpitā abhaviṣyat/ athāpi	tad tat sTalasya aDasyAt bAla priyayA sAkam mudrA pitA aBavizyat/ aTa api
   anubandharūpeṇa vā mudraṇārthamiyaṃ labdheti alabhyalābheneva	anubanDa rUpeNa vA mudraNa arTam iyam labDA iti alaBya lABena iva
   saṃtuṣyatyantaraṅgam/	saMtuzyati antaraFgam/
   granthasyāsya	granTasya asya
   tarkasaṃṅgraha dīpikā prakāśikā bālapriyā prasāraṇā guñjarūpasya	tarka saMFgraha dIpikA  prakASi kA  bAla priyA  prasAraNA  guQja rUpasya
   prakāśanam  	prakASanam  
   'siddhyanti karmasu	asidDyanti karmasu
   mahatsvapi yanniyojyāḥ	mahatsu api yat niyojyAH
   sambhāvanā guṇamavehi	samBAvanA guNam avehi
   tamīśvaraṇām/'	tam ISvaraNa Am/ a
   iti nītyā  	iti nItyA  
   bālyāt prabhṛti niravagrahānugrahagarbheṇa kaṭākṣaviśeṣeṇa	bAlyAt praBRti niravagraha anugraha garBeNa kawAkza viSezeNa
   māmujjīvayatāṃ vedādiśāstrasaṃrakṣaṇārthaṃ kṛtāvatārāṇāṃ	mAm ujjIvayatAm veda Adi SAstra saMrakzaNa arTam kRta avatArANAm
   ājanmaśuddhānāṃ maharṣipravarāṇāṃ ācāryatallajānāṃ bhaktajanabṛndaiḥ	Ajanma SudDAnAm mahA Rzi pravarANAm AcArya tallajAnAm Bakta jana bRndEH
   sevyamānānāṃ śrīkāñcīkāmakoṭipīṭhādhīśvarāṇāṃ	sevyamAnAnAm SrI kAQcI kAma kowi pIWA aDISvarANAm
   śrīmaccandraśekharendrasarasvatīśrīcaraṇānāṃ madguruvaryāṇāṃ	SrImat candra SeKara indra sarasvatI SrI caraNAnAm mad guru varyANAm
   karuṇāvilāsavijṛmbhitam/	karuNA vilAsa vijRmBitam/
   mama mātulapādānāṃ	mama mAtula pAdAnAm
   śrīkāñcī ācāryacaraṇapādapadmabhaktāgragaṇyānāṃ	SrI kAQcI a AcArya caraNa pAda padma Bakta agra gaNyAnAm
   dharmarakṣaṇadhurandharāṇāṃ satkarmaniratānāṃ	Darma rakzaNa DuranDarANAm sat karma niratAnAm
   śamadamādyātmaguṇasaṃpannānāṃ	Sama dama Adi Atma guNa saMpannAnAm
   samadhigatanyāyādiśāstrasārāṇāṃ śrīvāñchināthāryavaryāṇāṃ	samaDigata nyAya Adi SAstra sArANAm SrIvAQSinATArya varyANAm
   ṣaṣṭyabdapūrtimahotsavasmārakacihnatayā granthamenaṃ	zazwi abda pUrti mahA utsava smAraka cihna tayA granTam enam
   śrīdakṣiṇāmūrtivyāsaśaṅkaraśabditaṃ satyajñānapadoditaṃ ca yajjyotiḥ	SrI dakziNA mUrti vyAsa SaFkara Sabditam satya jQAna pada uditam ca yat jyotiH
   tatsvarūpāṇāṃ śrīkāmakoṣṭhavarapīṭhajuṣāṃ gurūṇāṃ caraṇanalinayoḥ	tad svarUpANAm SrI kAmaka uzWa vara pIWa juzAm gurUNAm caraNa nalinayoH
   praṇāmaśatāni vidhāya nyāyavedāntādiśāstreṣu vyutpattyatiśayaṃ	praNAma SatAni viDAya nyAya vedAnta Adi SAstrezu vyutpatti atiSayam
   prārthayamānaḥ sabhaktiśraddhaṃ samarpayāmi/	prArTayamAnaH sa Bakti SradDam samarpayAmi/
   samucitasaralavyākhyānaviraheṇa tarkaśāstrādhyayanāt bibhyatāṃ	samucita sarala vyAKyAna viraheNa tarka SAstra aDyayanAt biByatAm
   bālatārkikāṇāṃ grantho 'yaṃ mahāntamupakāramādhāsyati/ satsvapi	bAla tArkikANAm granTaH ayam mahAntam upakAram ADAsyati/ satsu api
   bahuṣu kāryeṣu matprārthanāmaṅgīkṛtya mahopakārakarīṃ bālapriyāṃ	bahuzu kAryezu mad prArTanAm aFgIkRtya mahA upakAra karIm bAla priyAm
   nirmāya mādṛśān	nirmAya mAdRSAn
   bālatārkiṅkān	bAla tArkiFkAn
   anugṛhītavadbhyaḥ mama tarkaśāstragurubhyaḥ nyāyamīmāṃsā   vyākaraṇa  	anugRhItavadByaH mama tarka SAstra guruByaH nyAya mImAMsAH  vyAkaraNa  
   vedāntaśiromaṇibhyaḥ viracitānekagranthebhyaḥ	vedAnta SiromaNiByaH viracita aneka granTeByaH
   śrīkāñcīkāmakoṭipīṭhā dhīśvarāṇāṃ paramānugrahapātrabhūtebhyaḥ	SrI kAQcI kAma kowi pIWAH Di ISvarANAm parama anugraha pAtra BUteByaH
   tirupatisthakendrīyasaṃskṛtavidyāpīṭhe	tirupatisTaka indrIya saMskRta vidyA pIWe
   prādhyāpakapadamalaṅkurvadbhyaḥ vidvadvarebhyaḥ śrī. en. es.	prADyApaka padam alaFkurvadByaH vidvat vareByaH SrI. en. es.
   rāmānujatātācāryebhyaḥ parāṃ kṛtajñatāṃ prakaṭayāmi/	rAma anuja tAtAcAryeByaH parAm kRtajQa tAm prakawayAmi/
   asya granthasya	asya granTasya
   āmukhalekhanena mām anugṛhītavatāṃ prācyapratīcyavidyāviśāradānāṃ	AmuKa leKanena mAm anugRhItavatAm prAcya pratIcya vidyA viSAradAnAm
   vikhyātaviduṣāṃ madrapurīviśvavidyālaye saṃskṛtavibhāgasya	viKyAta viduzAm madra purI viSva vidyA Alaye saMskRta viBAgasya
   prādhyāpakānāmadhyakṣāṇāṃ ca ḍā0 ke. kuñjuṇṇirājāmahodayānāṃ hārdaṃ	prADyApakAnAm aDyakzANAm ca xA0 ke. kuQjuNNi rAjA mahA udayAnAm hArdam
   kārtajñyamāviṣkaromi/	kArtajQyam Avizkaromi/
   prasāraṇākhyavyākhyāyāḥ	prasAraNa AKya vyAKyAyAH
   tālakośarūpāṃ pratiṃ dattvā upakṛtavadbhyaḥ kāñcīpuranivāsibhyaḥ,	tAla koSa rUpAm pratim dattvA upakRtavadByaH kAQcI pura nivAsiByaH,
   vidvadbhyaḥ śrīvilliyampākkaṃ sampatkumāratātācāryebhyaḥ, tasyā eva	vidvadByaH SrI villiyampAkkam sampad kumAra tAta AcAryeByaH, tasyAH eva
   kākadamayapratitaḥ chāyācitrarūpāṃ pratiṃ sampādyadattvā upakṛtavadbhya	kAkada maya pratitaH CAyA citra rUpAm pratim sampAdi adattvA upakRta vadBya
   aḍayārkośālayādhikāribhyaśca hārdikīṃ kṛtajñatāṃ prakāśayāmi/	axayA arkoSa Alaya aDikAriByaH ca hArdikIm kRtajQa tAm prakASayAmi/
   etadgranthasya	etat granTasya
   mudraṇopayogitayā suspaṣṭarītyā devanāgaralipyā mātṛkāṃ	mudraNa upayogi tayA su spazwa rItyA deva nAgara lipyAH mAtRkAm
   vilikhitavadbhyaḥ nyāyaśiromaṇibhyaḥ ḍā0 ī. govindan	viliKita vadByaH nyAya SiraH maNiByaH xA0 I. govindan
   mahāśayebhyaḥ kṛtajñatāṃ nivedayāmi/	mahA ASayeByaH kRtajQa tAm nivedayAmi/
   samīcīnapakkikayā	samIcIna pakkikayA
   nirdiṣṭasamaye mudraṇaṃ kṛtavate iḷaṅgo mudraṇālayādhikāriṇo	nirdizwa samaye mudraNam kRtavate i?aFgaH mudraNa Alaya aDikAriNaH 
   em. es. maṇiyavan mahāśayāya maṅgalāśāsanapūrvakaṃ kṛtajñatā	em. es. maNiyavan mahA ASayAya maFgala ASAsana pUrvakam kRtajQa tA
   nivedyate/	nivedyate/
   api ca upoddhāte	api ca upodDAte
   dīpikādiṣu vivecitaviṣayāṇāṃ madhyemukhyatamatayā pratibhātān	dIpikA Adizu vivecita vizayANAm maDyemuKyatama tayA pratiBAtAn
   pañcadaśaviṣayān adhikṛtya	paQcadaSa vizayAn aDikRtya
   prācīnanavīnanyāyavaiśeṣikagranthādiparāmarśapūrvakaṃ vivecanaṃ	prAcInanavIna nyAya vESezika granTa Adi parAmarSa pUrvakam vivecanam
   akaravam/ anusandhānamārgānusāreṇa likhito 'yamupoddhātaḥ	akaravam/ anusanDAna mArga anusAreNa liKitaH ayam upodDAtaH
   anusandhānakutūhalināmupakārāya kalpate/ anavadhānataḥ mudraṇādau	anusanDAna kutU halinAm upakArAya kalpate/ anavaDAnataH mudraNa AdO
   jātāḥ aśuddhayaḥ vidvadbhiḥ kṣantavyāḥ śodhanīyāśceti prārthaye/	jAtAH aSudDayaH vidvadBiH kzantavyAH SoDanIyAH ca iti prArTaye/
   iti	iti
   śrīkāmakoṣṭhavarapīṭhajuṣāṃ gurūṇāṃ	SrI kAma ka uzWa vara pIWa juzAm gurUNAm
   vaiśākhaśuddhapūrṇimā	vESAKa SudDa pUrNimA
   pādāravindamakarandarasaikajīvī	pAda aravinda makaranda rasa eka jIvI
   (21 5 1980)en. vīlināthaḥ	(21 5 1980)en. vIlinATaH
   / śrīḥ/	/ SrIH/
   [ 1 ] maṅgalavādaḥ	[ 1 ] maFgala vAdaH
   iha khalu prāyaḥ	iha Kalu prAyas 
   sarve 'pi ganthakārāḥ granthārambhasamaye maṅgalamācarantīti	sarve api ganTakArAH granTa AramBa samaye maFgalam Acaranti iti
   sarvasaṃpratipannam/ tatra maṅgalācaraṇe kiṃ pramāṇam? kiṃ vā	sarva saMpratipannam/ tatra maFgala AcaraNe kim pramANam? kim vA
   prayojanamiti maṅgalavāde nirūpyate/ nyāyabhāṣyakāraḥ	prayojanam iti maFgala vAde nirUpyate/ nyAya BAzya kAraH
   maṅgalācaraṇamadhikṛtya na kimapyavādīt/ nyāyavārtikakāro 'pi	maFgala AcaraNam aDikRtya na kim api avAdIt/ nyAya vArtikakAraH api
   maṅgalācaraṇaṃ vinaiva prabandhamārebhe/ ṭīkākārastu vācaspatimiśraḥ	maFgala AcaraNam vinA eva prabanDam AreBe/ wIkAkAraH tu vAcaspati miSraH
   maṅgalācaraṇapūrvakameva ṭīkāmārabhata/ tatra paramaśiṣṭo 'pi	maFgala AcaraNa pUrvakam eva wIkAm AraBata/ tatra parama SizwaH api
   vārtikakāraḥ kuto vā granthārambhe maṅgalaṃ nācacāretyāśaṅkya	vArtikakAraH kutas vA granTa AramBe maFgalam na acacAra iti ASaFkya
   iṣṭadevatānamaskārarūpaṃ maṅgalaṃ kṛtavāneva/ athāpi granthe tanna	izwadevatA namaskAra rUpam maFgalam kRtavAn eva/ aTa api granTe tat na
   nyaveśayat/ na hi maṅgalakaraṃ yadyatkriyate tatsarvaṃ granthe	nyaveSayat/ na hi maFgala karam yat yat kriyate tat sarvam granTe
   niveśanīyamiti nirbandho 'stīti samādhānaṃ provāca ṭīkākāraḥ/	niveSanIyam iti nirbanDaH asti iti samADAnam provAca wIkAkAraH/
   tatsandarbhe    	tad sandarBe    
   'avigītaśiṣṭācāraparamparāprāpto vārtikakāreṇa	aavigIta Sizwa AcAra paramparA prAptaH vArtikakAreNa
