   Table of the Contents	Table of Te Contents
   BJ_01.06a/.kṣitija.sita.jña.candra.ravi.saumya.sita.avanijāḥ/sura.guru.manda.sauri.guravaś.ca.gṛha.aṃśakapaḥ/	BJ_01.06a/.kziti-ja.sita-.jQa.-candra-.-ravi.-sOmya.sita-.ava-nijAH/sura.-guru.manda.-sOri.gurava-S.ca.-gRha-.aMSa-kapaH/
   BJ_01.06b/.aja.mṛga.tauli.candra.bhavana.ādi.nava.aṃśa.vidhir.bhavana.sama.aṃśaka.adhipatayaḥ.sva.gṛhāt.kramaśaḥ//(troṭaka)	BJ_01.06b/.aja.-mRga.tOli.-candra.-Bava-na.Adi-.nava-.aMSa.-viDiH-.Bavana.-sama-.aMSaka-.aDipatayaH.sva.gRhAt-.kramaSas-//(trowaka)
   BJ_01.07a/.kuja.ravija.guru.jña.śukra.bhāgāḥ.pavana.samīraṇa.kaurpi.jūka.leyāḥ/	BJ_01.07a/.kuja.ravija.-guru-.jQa.-Sukra.-BAgAH-.pavana.-samIraNa.-kOrpi.-jU-ka.leyAH/
   BJ_01.07b/.ayuji.yuji.tu.bhe.viparyayasthaḥ.śasi.bhavana.ali.jhaṣa.antam.ṛkṣa.saṃdhiḥ//(puṣpitāgrā)	BJ_01.07b/.ayuji.-yuji.-tu.Be.-viparyaya-sTaH.Sasi.-Bavana-.ali.-Jaza.antam-.Rkza.-saMDiH//(puzpita-agrA)
   BJ_01.08a/.kriya.tāvuri.jituma.kulīra.leya.pāthona.jūka.kaurpyā.ākhyāḥ/	Bu-_01.08a/.kriya.tO=-uri.jitum-a.kulIra.leya.-pATona.jUka.-kOrpyA.AKyAH/
   BJ_01.08b/.taukṣika.ākokero.hṛd.rogaś.ca.antya.bhaṃ.ca.ittham//(āryā)	BJ_01.08b/.tOkzika.A-kokero.-hRd.roga-S.ca.antya.BaM.ca-.itTam-//(AryA)
   BJ_01.09a/.dreṣkāṇa.horā.nava.bhāga.saṃjñās.triṃśa.aṃśaka.dvādaśa.saṃjñitāś.ca/	BJ_01.09a/.dra-IzkANa-.horA.-nava.-BAga.-saMjQA-s.triMSa.aMSaka.dvAdaSa.-saMjQitAS.ca/
   BJ_01.09b/.kṣetraṃ.ca.yady.asya.sa.tasya.vargo.horā.iti.lagnaṃ.bhavanasya.ca.ardham//(indravajrā)	BJ_01.09b/.kzetraM.ca.yat-y.asya.sa.tasya.vargaH-.hora-a.iti.lagnaM.-Bavanasya.ca.arDam//(indra-vajrA)
   aaaaaaaaaaaaaaaaa	aaaaaaaaaaaaaaaaa
   BJ_01.10a/.go.aja.aśvi.karki.mithunāḥ.sa.mṛgā.niśā.ākhyāḥ.pṛṣṭha.udayā.vimithunāḥ.kathitās.ta.eva//	BJ_01.10a/.go-.aja-.aSvi.-karki.-miTunAH.sa.mRgA.-niSA.AKyAH.-pRzWa-.udayA.-vimiTunAH.-kaTita-As.ta-.eva//
   BJ_01.10b/.śīrṣa.udayā.dina.balāś.ca.bhavanti.śeṣā.lagnaṃ.samety.ubhayataḥ.pṛthu.roma.yugmam//(vasantatilakā)	Bu-_01.10b/.SIrza-.udayA.dina.-balAS.-ca.Bavanti.-Seza-a.lagnaM.sameti-.uBayataH.-pRTu.roma.-yugmam-//(vasanta-tilakA)
   BJ_01.11a/.krūraḥ.saumyaḥ.puruṣa.vanite.te.cara.aga.dvi.dehāḥ.prāg.ādi.īśāḥ.kriya.vṛṣa.nṛyuk.karkaṭāḥ.sa.tri.koṇāḥ/	BJ_01.11a/.krUraH.sOmyaH.puruza-.vanite.te.cara-.aga.dvi.dehAH-.prAc-.Adi-.ISAH.kriya.-vRza.-nRyuk.karkawa-aH.sa.tri.koNAH/
   BJ_01.11b/.mārtaṇḍa.indvor.ayuji.sama.bhe.candra.bhānvoś.ca.hore.dreṣkāṇāḥ.syuḥ.sva.bhavana.suta.tri.tri.koṇa.adhipānām//(mandākrāntā)	BJ_01.11b/.mArtaNxa-.indvoH-.ayuji.-sama.Be.candra.BAn-voS.-ca.hore.drezkANAH.syuH-.sva.Bavana.suta.-tri.-tri.koNa-.aDipAnAm//(-mandAkrAn
   BJ_01.12a/.ke.cit.tu.horāṃ.prathamāṃ.bhapasya.vāñchanti.lābha.adhipater.dvitīyām/	Bu-_01.12a/.ke.cit.-tu.-horAM.praTamAM.Bapasi-a.vAQCanti.-lABa-.aDipateH-.dvitIyAm/
   BJ_01.12b/.dreṣkāṇa.saṃjñām.api.varṇayanti.sva.dvādaśa.ekādaśa.rāśipānām//(indravajrā)	BJ_01.12b/.dra-izkANa.-saMjQAm-.api.varNa-yanti.-sva.-dvAdaSa-.ekAdaSa.-rASi-pAnAm-//(indra-vajrA)
   BJ_01.13a/.aja.vṛṣabha.mṛga.aṅganā.kulīrā.jhaṣa.vaṇijā.ca.divākara.ādi.tuṅgāḥ/	BJ_01.13a/.aja.-vRzaBa.-mRga-.aFganA.-kulIrA.-Jaza.-vaNijA.-ca.-divAkara-.Adi.-tuFgAH/
   BJ_01.13b/.daśa.śikhi.manu.yuk.tithi.indriya.aṃśais.tri.navaka.viṃśatibhiś.ca.te.asta.nīcāḥ//(puṣpitāgrā)	BJ_01.13b/.da-Sa.SiKi.m-anu.yuk.tiTi.indriya-.aMSEs.tri.nava-ka.viMSati-BiH-.ca.te.aH-ta.nIca-aH//(-puzpita-agrA)
   BJ_01.14a/.varga.uttamāś.cara.gṛha.ādiṣu.pūrva.madhya.paryantataḥ.śubha.phalā.nava.bhāga.saṃjñāḥ/	BJ_01.14a/.varga-.uttamA-S.cara.-gRha.Adizu.-pUrva.-maDya.-paryantataH.-SuBa.PalA.nava.-BAga.-saMjQAH/
   BJ_01.14b/.siṃho.vṛṣa.prathama.ṣaṣṭha.haya.aṅga.tauli.kumbhās.tri.koṇa.bhavanāni.bhavanti.sūryāt//(vasantatilakā)	BJ_01.14b/.siMhaH-.-vRza.-praTama-.zazWa.-haya-.aFga.tOli.-kumBa-as.-tri.koNa.BavanA-ni.Bavanti.-sUryAt//(vasanta-tilakA)
   BJ_01.15a/.horā.ādayas.tanu.kuṭumba.sahottha.bandhu.putra.ari.patnī.maraṇāni.śubha.āspada.āyāḥ/	BJ_01.15a/.hoH-A.Adayas.-tanu.-kuwumba.-sahotTa.-banDu.-putra-.ari.patnI.-maraNa-ani.SuBa.Aspada.AyAH/
   BJ_01.15b/.riḥphā.ākhyam.ity.upacayāny.ari.karma.lābha.duścikya.saṃjñita.gṛhāṇi.na.nityam.eke//(vasantatilakā)	BJ_01.15b/.riHPA.a-AKyam-.ity.upacayAni-.ari.-karma-.lABa.duScikya.-saMjQita.gRhANi.na.-nityam-.eke//(vasanta-tilakA)
   BJ_01.16a/.kalpa.sva.vikrama.gṛha.pratibhā.kṣatāni.cittottha.randhra.guru.māna.bhava.vyayāni/	Bu-_01.16a/.kalpa.-sva.-vikrama.gRha.-pratiBA.-kzatA-ni.citta-utTa.-ranDra.-guru.-mAna.-Bava.-vyayAni/
   BJ_01.16b/.lagnāc.caturtha.nidhane.caturasra.saṃjñe.dyūnaṃ.ca.saptama.gṛhaṃ.daśama.ṛkṣam.ājñā//(vasantatilakā)	Bu-_01.16b/.lagna-ac.-caturTa.niDaneH-caturasra.-saMjQe.dyUnaM.ca.-saptama.-gRhaM.daSam-a.Rkzam.AjQA/-/(vasanta-tilakA)
   BJ_01.17a/.kaṇṭaka.kendra.catuṣṭaya.saṃjñāḥ.saptama.lagna.caturtha.kha.bhānām/	BJ_01.17a/.kaNwaka.ka-indra.-catuzwaya.-saMjQAH.saptama-.-lagna.-caturTa-.Ka.BAnAm-/
   BJ_01.17b/.teṣu.yathā.abhihiteṣu.bala.āḍhyāḥ.kīṭa.nara.aṃbu.carāḥ.paśavaś.ca//(dodhaka)	BJ_01.17b/.ta-izu.-yaTA.aBihita-izu.-bala-.AXyAH.-kIwa.-nara-.aMbu.-carAH.paSava-S.ca//(doDaka)
   BJ_01.18a/.kendrāt.paraṃ.paṇapharaṃ.paratas.tu.sarva.bha.āpoklimaṃ.hibukam.ambu.sukhaṃ.ca.veśma/	Bu-_01.18a/.kendrAt.-paraM.paNa-ParaM.parata-s.tu.-sarva.-Ba.a-apoklim-aM.hi-bukam-.ambu.-suKan=-ca.veSma/
   BJ_01.18b/.jāmitram.asta.bhavanaṃ.tri.koṇaṃ.meṣūraṇaṃ.daśamam.atra.ca.karma.vidyāt//(vasantatilakā)	BJ_01.18b/.ja-amitram.asta.BavanaM.tri.koNaM.mezu-uraNaM.daSamam.atra.ca.karma.-vidyAt//(vasanta-tilakA)
   BJ_01.19a/.horā.svāmi.guru.jña.vīkṣita.yutā.na.anyaiś.ca.vīrya.utkaṭā.kendrasthā.dvi.pada.ādayo.ahni.niśi.ca.prāpte.ca.saṃdhyā.dvaye/	Bu-_01.19a/.ha-urA.-svAmi.guru-.-jQa.-vIkzita-.yutA.-na.a-nyES.ca.-vIrya-.utkawA.ka-indra-sTA.-dvi.pada-.AdayaH-.ahni.-niSi.ca.-prApte.-ca.saMDyA.dva
   BJ_01.19b/.pūrva.ardhe.viṣaya.ādayaḥ.kṛta.guṇā.mānaṃ.pratīpaṃ.ca.tad.duścikyaṃ.sahajaṃ.tapaś.ca.navamaṃ.try.ādyāṃ.tri.koṇaṃ.ca.tat//(śā.vi)	Bu-_01.19b/.-pUrva.arDe.-vizaya-.AdayaH.kRta.guNA.-mAnaM.pratIpaM.ca.-tad.-duScikyaM.sahajan=-tapa-S.ca.navamaM.tri-.AdyAM.tri.koNaM.ca.t-
   BJ_01.20a/.raktaḥ.śvetaḥ.śuka.tanu.nibhaḥ.pāṭalo.dhūmra.pāṃḍuś.citraḥ.kṛṣṇaḥ.kanaka.sadṛśaḥ.piṅgalaḥ.karburaś.ca/	BJ_01.20a/.-raktaH.SvetaH.-Suka.-tanu.-niBaH.pAwalo.DUmra.-pAMxuS.-citraH.-kRzNaH.kanaka.-sadRSaH.piFgalaH.-karbura-S.ca/
   BJ_01.20b/.babhruḥ.svacchaḥ.prathama.bhavana.ādyeṣu.varṇāḥ.plavatvaṃ.svāmy.āśā.ākhyaṃ.dina.kara.yutād.bhād.dvitīyaṃ.ca.veśiḥ//(maṃ.krāṃ)E1	Bu-_01.20b/.baBruH.su-acCaH.praTama-.-Bavana-.Adya-izu.-varNAH.plava-tvaM.svAmi-.A-SA.a-AKyaM.dina.kara-.-yutAt-.BAd.dvitIyaM.ca.veSiH//(maM.kr
   BJ_02.graha.bheda	BJ_02.graha.-Beda
   BJ_02.01a/.kāla.ātmā.dina.kṛn.manas.tuhinaguḥ.satvaṃ.kujo.jño.vaco.jīvo.jñāna.sukhe.sitaś.ca.madano.duḥkhaṃ.dina.īśa.ātmajaḥ/	BJ_02.01a/.-kAla.a-AtmA.-dina.-kRn.manas.tuhina-guH.sa-tvaM.ku-jaH-.jQo.vacaH-.jIvo.jQAna.-suKe.sita-S.ca.-madano.duHKaM.dina-.ISa.a-AtmajaH/
   BJ_02.01b/.rājānau.ravi.śītagū.kṣita.suto.netā.kumāro.budhaḥ.sūrir.dānava.pūjitaś.ca.sacivau.preṣyaḥ.sahasra.aṃśujaḥ//(śa.vi)	BJ_02.01b/.rAja-anO.ra-vi.SIta-gU.kzita.-sutaH-.netA.-kumAra-u.-buDaH.-sUrir.-dAnava.-pUjita-S.ca.-sacivO.-prezyaH.-sahasra-.aMSu-jaH-//(Sa.vi)
   BJ_02.02a/.heliḥ.sūryaś.candramāḥ.śīta.raśmir.hemno.vij.jño.bodhanaś.ca.indu.putraḥ/	BJ_02.02a/.heliH.-sUrya-S.candramAH.SIta.raSmiH-.hemnaH-.vij.jQaH-.boDana-S.ca-.indu.putraH/
   BJ_02.02b/.āro.vakraḥ.krūra.dṛk.ca.avaneyaḥ.koṇo.mandaḥ.sūrya.putro.asitaś.ca//(śālinī)	BJ_02.02b/.AraH-.vakraH-.krUra-.dRS-.-ca.a-vaneyaH-.koNo.mandaH.-sUrya.-putraH-.asita-S.ca-//(-SAlinI)
   BJ_02.03a/.jīvo.aṅgirāḥ.sura.gurur.vacasāṃ.patījyaḥ.śukro.bhṛgur.bhṛgu.sutaḥ.sita.āsphujic.ca/	BJ_02.03a/.jIvaH-.aFgirAH.sura.-guruH-.vacasAM.patIjyaH.Sukro.-BRguH-.BRgu.-sutaH.sita.a-asPujic.ca/
   BJ_02.03b/.rāhus.tamo.agur.asuraś.ca.śikhī.iti.ketuḥ.paryāyam.anyam.upalabhya.vadec.ca.lokāt//(va.ti)	BJ_02.03b/.rAhu-s.tamaH-.a-gur.asura-S.ca.-SiKI-.iti.ketuH.paryAyam.anyam-.upalaBya.vat-ec.ca.-lokAt//(va.ti)
   BJ_02.04a/.rakta.śyāmo.bhās.karo.gaura.indur.na.atyucca.aṅgo.rakta.gauraś.ca.vakraḥ/	BJ_02.04a/.rakta-.SyAmA-u.BAs.-karo.gOra.indur.na.ati-ucca.aFgaH-.rakta.gOra-S.ca.-vakraH/
   BJ_02.04b/.dūrvā.śyāmo.jño.gurur.gaura.gātraḥ.śyāmaḥ.śukro.bhās.kariḥ.kṛṣṇa.dehaḥ//(śalinī)	BJ_02.04b/.dUrvA.SyAmo.jQo.guruH-.gOra.gAtra-H.SyAmaH.-Sukra-u.BAs.-kariH.-kRzNa.-dehaH//(SalinI)
   BJ_02.05a/.varṇās.tāmra.sita.atirakta.harita.vyāpīta.citra.asitā/bahūny.ambv.agnija.keśava.indra.śacikāḥ.sūrya.ādi.nāthāḥ.kramāt/	Bu-_02.05a/.varNAs.-tAmra.sita-.ati-rakta.-harita.vyApIta.-citra-.asitA/-bahUni-.ambu-.agni-ja.keSava.indra.-SacikAH.sUrya-.Adi-.nATAH.kramAt
   BJ_02.05b/.prāg.ādyā.ravi.śukra.lohita.tamaḥ.saura.indu.vit.sūrayaḥ.kṣīṇa.indv.arka.mahī.suta.arka.tanayāḥ.pāpā.budhas.tair.yutaḥ//(śā.vi.)	BJ_02.05b/.prAc-.Adya-a.-ravi.-Sukra.-lohita.tamaH.sOra.indu.vit.sUrayaH.kzINa-.indu-.arka.-mahI.-suta-.arka.-tanayAH.pApa-a.buDa-s.tEH-.yutaH/
   BJ_02.06a/.budha.sūrya.sutau.napuṃsaka.ākhau.śaśi.śukrau.yuvatī.narāś.ca.śeṣāḥ/	BJ_02.06a/.buDa.-sUrya.-sutO.-napuMsaka-.AKO.Sa-Si.-SukrO.yuvatI.-narAS.-ca.SezAH/
   BJ_02.06b/.śikhi.bhū.kha.payo.marud.gaṇānāṃ.vaśino.bhūmi.suta.ādayaḥ.krameṇa//(troṭaka)	Bu-_02.06b/.SiKi.-BU.-Ka.payaH-.marut-.-gaNAnAM.vaSino.-BUmi.-suta-.AdayaH.krameNa//(trowaka)
   BJ_02.07a/.vipra.āditaḥ.śukra.gurū.kuja.arkau.śaśī.budhaś.ca.ity.asita.antyajānām/	Bu-_02.07a/.vipra.AditaH.-Sukra.-gurU-.kuja-.arkO.Sa-SI.-buDa-S.ca-.iti-.asita-.antyajAnAm/
   BJ_02.07b/.candra.arka.jīvā.jña.sitau.kuja.arkī.yathā.kramaṃ.satva.rajas.tamāṃsi//(upajātikā)	Bu-_02.07b/.candra-.arka-.jIvA.jQa.sitO.kuja-.arkI.-yaTA.kraman.satva.-rajas.ta-mAMsi//(upajAtikA)
   BJ_02.08a/.madhu.piṅgala.dṛk.caturasra.tanuḥ.pitta.prakṛtiḥ.savitā.alpa.kacaḥ/	BJ_02.08a/.-maDu.-piFgala.dRk.-caturasra.-tanuH-.pitta.-prakRtiH.savitA-a.alpa.-kacaH/
   BJ_02.08b/.tanu.vṛtta.tanur.bahu.vāta.kaphaḥ.prājñaś.ca.śaśī.mṛdu.vāk.śubha.dṛk//(troṭaka)	BJ_02.08b/.tanu.-vRtta.-tanuH-.bahu-.vAta.-kaPaH.prAjQa-S.ca.-SaSI.-mRdu.-vAk.SuBa.dRk//(trowaka)
   BJ_02.09a/.krūra.dṛk.taruṇa.mūrtir.udāraḥ.paittikaḥ.sucapalaḥ.kṛśa.madhyaḥ/	BJ_02.09a/.krUra.dRk.-taruNa.-mUrtiH-.udAraH.pEttikaH.suca-palaH-.kRSa.-maDyaH/
   BJ_02.09b/.śliṣṭa.vāk.satata.hāsya.rucir.jñaḥ.pitta.māruta.kapha.prakṛtiś.ca//(svāgatā)	Bu-_02.09b/.Slizwa.vAk.-satata.hAsya.-ruciH-.jQaH-.pitta.-mAruta.-kaPa.-prakRti-S.ca-//(su-AgatA)
   BJ_02.10a/.bṛhat.tanuḥ.piṅgala.mūrdhaja.īkṣaṇo.bṛhaspatiḥ.śreṣṭha.matiḥ.kapha.ātmakaḥ/	Bu-_02.10a/.-bRhat.-tanuH-.piFgala.-mUrDaja-.IkzaNaH-.-bRhaspatiH.SrezWa.matiH.kaPa-.AtmakaH/
   BJ_02.10b/.bhṛguḥ.sukhī.kānta.vapuḥ.sulocanaḥ.kapha.anila.ātma.asita.vakra.mūrdhajaḥ//(vaśastha)	BJ_02.10b/.BRguH.-suKI.-kAnta.-vapuH.-su-locanaH.-kaPa-.anila.a-Atma-.asita.-vakra.-mUrDajaH-//(vaSa-sTa)
   BJ_02.11a/.mando.alasaḥ.kapila.dṛk.kṛśa.dīrgha.gātraḥ.sthūla.dvijaḥ.paruṣa.roma.kaco.anila.ātmā/	BJ_02.11a/.mando.alasaH.-kapila.dRk.-kRSa.-dIrGa.gAtraH.-sTUla.-dvijaH-.paruza-.roma.ka-co.a-nila.a-AtmA/
   BJ_02.11b/.snāyv.asthy.asṛk.tvag.atha.śukra.vase.ca.majjā.manda.arka.candra.budha.śukra.surejya.bhaumāḥ//(va.ti)	BJ_02.11b/.snAyu-.asTi-.asRk.-tvac-.aTa.-Sukra-.vase.ca.-majjA.-manda-.arka.candra.buDa.-Sukra.-surejya.BOmAH//(va.ti)
   BJ_02.12a/.deva.ambv.agni.vihāra.kośa.śayana.kṣity.utkara.īśāḥ.kramāt/vastraṃ.sthūlam.abhuktam.agnika.hataṃ.madhyaṃ.dṛḍhaṃ.sphāṭitam/	Bu-_02.12a/.deva-.ambu-.agni.vihAra.koSa.-Sayana-.kziti-.utkara-.ISAH-.kramAt/vaH-traM.sTUlam.aBuktam-.agnika.hatan.maDyan.dRXaM.sPAwitam
   BJ_02.12b/.tāmraṃ.syān.maṇi.hema.yukti.rajatāny.arkāc.ca.mukta.ayasī/.dreṣkāṇaiḥ.śiśira.ādayaḥ.śa.śu.ruca.jña.gv.ādiṣu.udyatsu.vā//(śā.vi)	BJ_02.12b/.tAmraM.sya-an.maNi.-hema.yukti.-rajatAni-.arkA-c.ca.-mukta-.aya-sI/.drezkANEH.SiSira-.AdayaH.Sa.Su.-ruca.-jQa.gv.Adizu.udyatsu.v
   BJ_02.13a/.tri.daśa.tri.koṇa.caturasra.saptamāny.avalokayanti.caraṇa.abhivṛddhitaḥ/	Bu-_02.13a/.tri.daSa.-tri.koNa.caturasra.saptamAni-.avalokayanti.-caraNa-.aBivRdDitaH/
   BJ_02.13b/.ravija.amarejya.rudhirāḥ.pare.ca.ye.kramaśo.bhavanti.kila.vīkṣaṇe.adhikāḥ//(pra.rṣi)	BJ_02.13b/.ravija-.ama-rejya.-ruDirAH.pare.ca.ye.-kramaSo.Bavanti.-kila.-vIkzaNe.aDikAH//(-pra.rzi)
   BJ_02.14a/.ayana.kṣaṇa.vāsara.ṛtavo.māso.ardhaṃ.ca.samāś.ca.bhās.karāt/	Bu-_02.14a/.ayana-.kzaNa.-vAsara-.Rtavo.-mAsaH-.arDaM.ca.-samAS.ca.BAs.karAt/
   BJ_02.14b/.kaṭuka.lavaṇa.tikta.miśritā.madhura.āmlau.ca.kaṣāya.ity.api//(vaitāliya)	BJ_02.14b/.kawu-ka.lavaNa.-tikta.-miSritA.-maDura.Am-lO.ca.-kazAya-.iti-.api//(vEtAliya)
   BJ_02.15a/.jīvo.jīva.budhau.sita.indu.tanayau.vyarkā.vibhaumāḥ.kramād.vīndv.arkā.vikuja.indv.ināś.ca.suhṛdaḥ.keṣāṃ.cid.evaṃ.matam/	Bu-_02.15a/.jIvaH-.jIva.-buDO.sita-.indu.-tanayO.-vyarkA.-viBOmAH-.kramAt-.vIndu-.arkA.-vikuja-.indv.inAS.-ca.-suhRdaH-.keza-an.cit-.evaM.matam/
   BJ_02.15b/.satya.ukte.suhṛdas.tri.koṇa.bhavanāt.svāt.sva.antya.dhī.dharmapāḥ.sva.ucca.āyuḥ.sukhapāḥ.sva.lakṣaṇa.vidher.na.anyair.virodhād.iti//(śā.vi)	BJ_02.15b/.satya-.ukte.-suhRd-as.tri.-koNa.BavanAt.svAt.sva.anti-a.DI.-Darma-pAH.-su-a.ucca.a-AyuH-.-suKa-pAH.-sva.-lakzaNa.viDer.na.anyEH-.viro
   BJ_02.16a/.śatrū.manda.sitau.samaś.ca.śaśijo.mitrāṇi.śeṣā.raves.tīkṣṇa.aṃśur.hima.raśmijaś.ca.suhṛdau.śeṣāḥ.samāḥ.śītagoḥ/	Bu-_02.16a/.SatrU.-manda.sitO.-samaS.ca.-SaSi-jaH-.mitra-aNi.Seza-a.-raves.-tIkzNa-.aMSuH-.hima.-raSmi-jaS.ca.-suhRdO.SezAH.-samAH.SIta-goH/
   BJ_02.16b/.jīva.indu.uṣṇa.karāḥ.kujasya.suhṛdo.jño.ariḥ.sita.arkī.samau.mitre.sūrya.sitau.budhasya.himaguḥ.śatruḥ.samāś.ca.apare//(śā.vi)	BJ_02.16b/.jIva-.indu.uzNa.karAH.-kujasi-a.-suhRdaH-.jQo.ariH-.sita-.arkI.-samO.mitre.-sUrya.sitO.buDasi-a.hima-guH.SatruH.samAS.ca.a-pare//
   BJ_02.17a/.sūraḥ.saumya.sitāvarī.ravi.suto.madhyo.apare.tv.anyathā.saumya.arkī.suhṛdau.samau.kuja.gurū.śukrasya.śeṣāvarī/	Bu-_02.17a/.sUraH.-sOmya.sitA-varI.-ravi.sutaH-.-maDyo.apare.tu-.anyaTA.-sOmya-.arkI.-suhRdO.sa-mO.kuja.-gurU.-Sukrasi-a.SezAvarI/
