   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   atha jāraṇakaṃ karma YRps_1.101a	aTa jAraNakam karma YRpH-_1.101a
   atha mayā rasabhasma nigadyate YRps_3.1a	aTa mayA rasa-Basma nigadyate YRpH-_3.1a
   atha mardanakaṃ karma YRps_1.36a	aTa mardanakam karma YRpH-_1.36a
   atha mūṣāśca kathyante YRps_10.9a	aTa mUzAH-ca kaTyante YRpH-_10.9a
   atha yantrāṇi vakṣyante YRps_10.1a	aTa yantrANi vakzyante YRpH-_10.1a
   atha vedhavidhānaṃ hi YRps_1.139a	aTa veDa-viDAnam hi YRpH-_1.139a
   atha sevanakaṃ karma YRps_1.158a	aTa sevanakam karma YRpH-_1.158a
   athātaḥ sampravakṣyāmi YRps_11.1a	aTa-atas sampravakzyAmi YRpH-_11.1a
   athātīsāraśamanān YRps_8.26a	aTa-atIsAra-SamanAn YRpH-_8.26a
   athāparaprakāreṇa YRps_4.99a	aTa-apara-prakAreNa YRpH-_4.99a
   athāparaḥ prakāro'tra YRps_4.75a	aTa-aparaH prakAraH-atra YRpH-_4.75a
   athāparaḥ prakāro hi YRps_2.12a	aTa-aparaH prakAraH hi YRpH-_2.12a
   athāparaḥ prakāro hi YRps_4.84a	aTa-aparaH prakAraH hi YRpH-_4.84a
   athābhrasattvaravakān YRps_5.44a	aTa-aBra-sattva-ravakAn YRpH-_5.44a
   athedānīṃ pravakṣyāmi YRps_1.66a	aTa-idAnIm pravakzyAmi YRpH-_1.66a
   athedānīṃ pravakṣyāmi YRps_1.78a	aTa-idAnIm pravakzyAmi YRpH-_1.78a
   athedānīṃ pravakṣyāmi YRps_1.120a	aTa-idAnIm pravakzyAmi YRpH-_1.120a
   athedānīṃ pravakṣyāmi YRps_1.150a	aTa-idAnIm pravakzyAmi YRpH-_1.150a
   athedānīṃ pravakṣyāmi YRps_2.1a	aTa-idAnIm pravakzyAmi YRpH-_2.1a
   athedānīṃ pravakṣyāmi YRps_2.65a	aTa-idAnIm pravakzyAmi YRpH-_2.65a
   athedānīṃ pravakṣyāmi YRps_4.1a	aTa-idAnIm pravakzyAmi YRpH-_4.1a
   athedānīṃ pravakṣyāmi YRps_5.1a	aTa-idAnIm pravakzyAmi YRpH-_5.1a
   athedānīṃ pravakṣyāmi YRps_9.30a	aTa-idAnIm pravakzyAmi YRpH-_9.30a
   athotthāpanakaṃ karma YRps_1.45a	aTa-utTApanakam karma YRpH-_1.45a
   adhamo dhātubandhastu YRps_2.5c	aDamaH DAtu-banDaH-tu YRpH-_2.5c
   adhastājjvālayetsamyak YRps_4.100c	aDastAt-jvAlayet-samyak YRpH-_4.100c
   adhastājjvālayedagniṃ YRps_10.49c	aDastAt-jvAlayet-agnim YRpH-_10.49c
   adhastādrasayaṃtrasya YRps_1.58a	aDastAt-rasayaMtrasya YRpH-_1.58a
   adhaḥ patati pāradaḥ YRps_1.55b	aDas patati pAradaH YRpH-_1.55b
   adhaḥpātanakaṃ cāpi YRps_10.2c	aDaHpAtanakam ca-api YRpH-_10.2c
   adhaḥpātanayaṃtraṃ hi YRps_1.55c	aDaHpAtanayaMtram hi YRpH-_1.55c
   adhaḥpuṣpī madhurākhyā YRps_9.34c	aDaHpuzpI maDura-AKyAH YRpH-_9.34c
   adhaḥsthaṃ grāhayetsudhīḥ YRps_5.87b	aDas-sTam grAhayet-suDIH YRpH-_5.87b
   adhaḥsthāṃ sthālikāṃ śubhām YRps_1.51b	aDas-sTAm sTAlikAm SuBAm YRpH-_1.51b
   adhunā kathayiṣyāmi YRps_1.61a	aDunA kaTayizyAmi YRpH-_1.61a
   adho'gniṃ jvālayetsamyak YRps_10.45e	aDas-agnim jvAlayet-samyak YRpH-_10.45e
   adhobhāge vidhātavyā YRps_10.32a	aDoBAge viDAtavyAH YRpH-_10.32a
   adhordhvaṃ gaṃdhakaṃ nyaset YRps_4.28d	aDorDvam gaMDakam nyaset YRpH-_4.28d
   adhyāye'tra nidarśitāni sakalānyevaṃ hi karmāṇi vai YRps_7.66d	aDyAye-atra nidarSitAni sakalAni-evam hi karmANi vE YRpH-_7.66d
   adhye khoṭaṃ nidhāya ca YRps_2.89b	aDye Kowam niDAya ca YRpH-_2.89b
   anayā kharparādīnāṃ YRps_10.22c	anayA Karpara-AdInAm YRpH-_10.22c
   anayā sādhitaḥ sūto YRps_9.10c	anayA sADitaH sUtaH YRpH-_9.10c
   anayormudraikā kāryā YRps_5.76c	anayoH-mudrA-ekA kAryA YRpH-_5.76c
   anupānaprabhedataḥ YRps_4.55b	anupAna-praBedataH YRpH-_4.55b
   anupānaprayogeṇa YRps_5.52a	anupAna-prayogeNa YRpH-_5.52a
   anupānaviśeṣaṇaṃ YRps_5.100a	anupAna-viSezaNam YRpH-_5.100a
   anupānena bhuñjīta YRps_1.164c	anupAnena BuQjIta YRpH-_1.164c
   anupāne prayoktavyā YRps_3.43a	anupAne prayoktavyAH YRpH-_3.43a
   anupānair yathocitaiḥ YRps_4.44b	anupAnEH yaTocitEH YRpH-_4.44b
   anubhūtaṃ mayā kiṃcit YRps_2.1c	anuBUtam mayA kiMcid YRpH-_2.1c
   anubhūtaṃ mayā kiṃcit YRps_4.1c	anuBUtam mayA kiMcid YRpH-_4.1c
   anubhūtaṃ mayā khalu YRps_6.29d	anuBUtam mayA Kalu YRpH-_6.29d
   anubhūtaṃ mayaiva hi YRps_4.76d	anuBUtam mayA-eva hi YRpH-_4.76d
   anena krāmaṇenaiva YRps_1.137a	anena krAmaNena-eva YRpH-_1.137a
   anena vidhinā kāryaṃ YRps_4.70c	anena viDinA kAryam YRpH-_4.70c
   anena vidhinā kāryaṃ YRps_5.42c	anena viDinA kAryam YRpH-_5.42c
   anena vidhinā cābhraṃ YRps_5.19c	anena viDinA ca-aBram YRpH-_5.19c
   anena vidhinā pūryā YRps_11.129c	anena viDinA pUryAH YRpH-_11.129c
   anena vidhinā proktā YRps_5.5c	anena viDinA proktA YRpH-_5.5c
   anena vidhinā śeṣam YRps_4.83c	anena viDinA Sezam YRpH-_4.83c
   anena vidhinā samyak YRps_4.31a	anena viDinA samyak YRpH-_4.31a
   anena vidhinā samyak YRps_11.18c	anena viDinA samyak YRpH-_11.18c
   anena vidhinā samyag YRps_4.73a	anena viDinA samyak YRpH-_4.73a
   anena saha melayet YRps_4.89d	anena saha melayet YRpH-_4.89d
   anenaiva prakāreṇa YRps_1.64a	anena-eva prakAreNa YRpH-_1.64a
   anenaiva prakāreṇa YRps_1.68c	anena-eva prakAreNa YRpH-_1.68c
   anenaiva prakāreṇa YRps_1.85c	anena-eva prakAreNa YRpH-_1.85c
   anenaiva prakāreṇa YRps_1.96a	anena-eva prakAreNa YRpH-_1.96a
   anenaiva prakāreṇa YRps_1.119a	anena-eva prakAreNa YRpH-_1.119a
   anenaiva prakāreṇa YRps_2.16c	anena-eva prakAreNa YRpH-_2.16c
   anenaiva prakāreṇa YRps_2.27a	anena-eva prakAreNa YRpH-_2.27a
   anenaiva prakāreṇa YRps_2.90a	anena-eva prakAreNa YRpH-_2.90a
   anenaiva prakāreṇa YRps_2.93a	anena-eva prakAreNa YRpH-_2.93a
   anenaiva prakāreṇa YRps_4.26a	anena-eva prakAreNa YRpH-_4.26a
   anenaiva prakāreṇa YRps_5.47c	anena-eva prakAreNa YRpH-_5.47c
   anenaiva prakāreṇa YRps_5.85c	anena-eva prakAreNa YRpH-_5.85c
   anenaiva prakāreṇa YRps_5.128a	anena-eva prakAreNa YRpH-_5.128a
   anenaiva prakāreṇa YRps_6.35a	anena-eva prakAreNa YRpH-_6.35a
   anenaiva prakāreṇa YRps_11.103c	anena-eva prakAreNa YRpH-_11.103c
   anenaiva vidhānena YRps_5.87c	anena-eva viDAnena YRpH-_5.87c
   antarālikasaṃjñitam YRps_10.4b	antarAlika-saMjQitam YRpH-_10.4b
   andhakāramiva bhāskarodayaḥ YRps_8.9d	anDakAram-iva BAskara-udayaH YRpH-_8.9d
   andhamūṣāgataṃ dhmātaṃ YRps_11.37c	anDamUzA-gatam DmAtam YRpH-_11.37c
   andhitaṃ tāmrapātreṇa YRps_11.119a	anDitam tAmra-pAtreNa YRpH-_11.119a
   andhitaṃ madhyasaṃsthitam YRps_2.47d	anDitam maDya-saMsTitam YRpH-_2.47d
   anyathā bhakṣitaścaiva YRps_1.159c	anyaTA BakzitaH-ca-eva YRpH-_1.159c
   anyasyāmandhamūṣāyāṃ YRps_2.25c	anyasyAm-anDamUzAyAm YRpH-_2.25c
   anyāni śāstrāṇi suvistarāṇi YRps_4.118c	anyAni SAstrANi su-vistarANi YRpH-_4.118c
   anyā pidhānikā mūṣā YRps_1.122c	anyA piDAnikAH mUzA YRpH-_1.122c
   anye trayaḥ suvarṇasya YRps_4.4c	anye trayaH suvarNasya YRpH-_4.4c
   anyeṣāmeva lohānāṃ YRps_4.11c	anyezAm-eva lohAnAm YRpH-_4.11c
   apakvaṃ mārayed dhruvam YRps_4.83d	apakvam mArayet Druvam YRpH-_4.83d
   apathyaṃ naiva bhuñjīyād YRps_3.52c	apaTyam na-eva BuQjIyAt YRpH-_3.52c
   apare yamasannibhāḥ YRps_1.29d	apare yama-sanniBAH YRpH-_1.29d
   apāmārgakṣāratoyais YRps_6.42c	apAmArga-kzAra-toyEH YRpH-_6.42c
   aputraḥ putramāpnoti YRps_12.8a	aputraH putram-Apnoti YRpH-_12.8a
   abdheḥśoṣakatailakam YRps_1.141b	abDeH-Sozaka-tElakam YRpH-_1.141b
   abhicārādidoṣāśca YRps_2.107e	aBicAra-Adi-dozAH-ca YRpH-_2.107e
   abhrakadrutibhiḥ sārdhaṃ YRps_2.50a	aBraka-drutiBiH sArDam YRpH-_2.50a
   abhrakaṃ jāyate dhruvam YRps_5.22d	aBrakam jAyate Druvam YRpH-_5.22d
   abhrakaṃ tādṛśaṃ guṇaiḥ YRps_5.28d	aBrakam tAdRSam guNEH YRpH-_5.28d
   abhrakaṃ tāpyasatvaṃ ca YRps_1.101c	aBrakam tApya-satvam ca YRpH-_1.101c
   abhrake jāyate dhruvam YRps_5.15b	aBrake jAyate Druvam YRpH-_5.15b
   abhradrutiviśeṣeṇa YRps_2.6c	aBra-druti-viSezeNa YRpH-_2.6c
   abhradrutisamāyoge YRps_2.56a	aBra-druti-samAyoge YRpH-_2.56a
   abhradruteśca sūtasya YRps_1.98c	aBra-druteH-ca sUtasya YRpH-_1.98c
   abhrabījamanuttamam YRps_1.113b	aBra-bIjam-anuttamam YRpH-_1.113b
   abhraśeṣaṃ kṛtaṃ yacca YRps_1.102a	aBra-Sezam kRtam yat-ca YRpH-_1.102a
   abhrasatvaguṇānvaktuṃ YRps_5.52c	aBra-satva-guNAn-vaktum YRpH-_5.52c
   abhrasatvabhasitaṃ samāṃśakaṃ YRps_7.39a	aBra-satva-Basitam sama-aMSakam YRpH-_7.39a
   abhrasatvaṃ tathā tāpya- YRps_2.102c	aBra-satvam taTA tApya YRpH-_2.102c
   abhrasatvaṃ hi mūṣāyāṃ YRps_1.97c	aBra-satvam hi mUzAyAm YRpH-_1.97c
   abhrasatvātparaṃ nāsti YRps_5.34c	aBra-satvAt-param na-asti YRpH-_5.34c
   abhrāṇāmeva sarveṣāṃ YRps_5.6a	aBrANAm-eva sarvezAm YRpH-_5.6a
   abhrāṃśena tu ṭaṃkaṇam YRps_5.17d	aBra-aMSena tu waMkaNam YRpH-_5.17d
   amalalohamayena ca darviṇā YRps_3.33a	amala-loha-mayena ca darviNA YRpH-_3.33a
   amalasārarajaḥ parimucyatām YRps_3.14d	amalasAra-rajaH parimucyatAm YRpH-_3.14d
   amṛtaṃ garuḍena ca YRps_5.68b	amRtam garuxena ca YRpH-_5.68b
   amlatoyena saṃsvinnaṃ YRps_5.117a	amla-toyena saMsvinnam YRpH-_5.117a
   amlapittavibandhaghnaṃ YRps_5.74c	amla-pitta-vibanDa-Gnam YRpH-_5.74c
   amlavargeṇa pācayet YRps_5.44b	amlavargeNa pAcayet YRpH-_5.44b
   amlavargeṇa saṃyuktaṃ YRps_1.50c	amlavargeNa saMyuktam YRpH-_1.50c
   amlikā kāsamardikā YRps_9.27b	amlikA kAsamardikA YRpH-_9.27b
   amlena vai śudhyati māṇikyākhyaṃ YRps_7.54c	amlena vE SuDyati mANikya-AKyam YRpH-_7.54c
   amlena saha mardayet YRps_4.31d	amlena saha mardayet YRpH-_4.31d
   amle varge saptavāraṃ praḍhālya YRps_11.123c	amle varge sapta-vAram praXAlya YRpH-_11.123c
   amlaiśca guggulūpetaiḥ YRps_5.109a	amlEH-ca guggulu-upetEH YRpH-_5.109a
   amlauṣadhāni sarvāṇi YRps_1.43c	amla-OzaDAni sarvANi YRpH-_1.43c
   aratnimātre kuṇḍe ca YRps_10.46a	aratni-mAtre kuNxe ca YRpH-_10.46a
   arkakṣīrairbhāvayecca trivāraṃ YRps_8.22a	arka-kzIrEH-BAvayet-ca tri-vAram YRpH-_8.22a
   arkadugdhasamasaudhadugdhakaṃ YRps_7.59c	arka-dugDa-sama-sODa-dugDakam YRpH-_7.59c
   arkadugdhena vai bhāvyaṃ YRps_11.79a	arka-dugDena vE BAvyam YRpH-_11.79a
   arkamūlabhavenaiva YRps_2.19c	arka-mUla-Bavena-eva YRpH-_2.19c
   arkamūlarasenaiva YRps_2.18c	arka-mUla-rasena-eva YRpH-_2.18c
   arkavajripayasā subhāvayet YRps_8.11c	arka-vajri-payasA suBAvayet YRpH-_8.11c
   arjitā nātra saṃśayaḥ YRps_5.120d	arjitAH na-atra saMSayaH YRpH-_5.120d
   ardhacandrākṛtiścāpi YRps_1.39c	arDacandra-AkRtiH-ca-api YRpH-_1.39c
   ardhacandrā hemapuṣpī YRps_9.19c	arDacandrAH hemapuzpI YRpH-_9.19c
   ardhabhāgaṃ ca daradaṃ YRps_11.138c	arDa-BAgam ca daradam YRpH-_11.138c
   ardhabhāge bhavecchuddhaṃ YRps_11.73a	arDa-BAge Bavet-SudDam YRpH-_11.73a
   arbudasya gireḥ pārśve YRps_6.87c	arbudasya gireH pArSve YRpH-_6.87c
   arbhakāḥ pātayetsarvāḥ YRps_11.137a	arBakAH pAtayet-sarvAH YRpH-_11.137a
   arśāṃsi vividhāni ca YRps_5.51d	arSAMsi viviDAni ca YRpH-_5.51d
   arśo'jīrṇajvarādīṃśca YRps_4.56a	arSaH-ajIrNa-jvara-AdIn=-ca YRpH-_4.56a
   alambuṣā ca halinī YRps_9.20a	alambuzA ca halinI YRpH-_9.20a
   avanigartatale viniveśaya YRps_3.28d	avanigarta-tale viniveSaya YRpH-_3.28d
   avanigartam aratnikam āyataṃ YRps_3.29a	avanigartam aratnikam Ayatam YRpH-_3.29a
   aśītirvātajān rogān YRps_4.93c	aSItiH-vAta-jAn rogAn YRpH-_4.93c
   aśmacūrṇasya kaṇikām- YRps_2.89a	aSma-cUrNasya kaNikAm YRpH-_2.89a
   aśmapātre'tha lohasya YRps_1.110c	aSma-pAtre-aTa lohasya YRpH-_1.110c
   aśmarīmehakṛcchraghnaṃ YRps_5.116c	aSmarI-meha-kRcCra-Gnam YRpH-_5.116c
   aṣṭagrāsena sarvaṃ hi YRps_1.113c	azwa-grAsena sarvam hi YRpH-_1.113c
   aṣṭadhāroṣṭhaphalakaḥ YRps_5.59a	azwa-DArozWa-PalakaH YRpH-_5.59a
   aṣṭabhāgamiha tārakaṃ kuru YRps_7.38c	azwa-BAgam-iha tArakam kuru YRpH-_7.38c
   aṣṭamaṃ khecarāhvayam YRps_6.1d	azwamam Kecara-Ahvayam YRpH-_6.1d
   aṣṭamāṃśena rūpyena YRps_2.80a	azwama-aMSena rUpyena YRpH-_2.80a
   aṣṭaṣaṣṭiriti proktā YRps_9.21a	azwazazwiH-iti proktA YRpH-_9.21a
   aṣṭaṣaṣṭiriti proktā YRps_9.29c	azwazazwiH-iti proktA YRpH-_9.29c
   aṣṭaṣaṣṭiriti proktāḥ YRps_9.39a	azwazazwiH-iti proktAH YRpH-_9.39a
   aṣṭaṣaṣṭir mahauṣadhyaḥ YRps_9.22a	azwazazwiH mahOzaDyaH YRpH-_9.22a
   aṣṭasaṃskāritaṃ sūtaṃ YRps_2.85c	azwa-saMskAritam sUtam YRpH-_2.85c
   aṣṭādaśa ca kuṣṭhāni YRps_3.51c	azwAdaSa ca kuzWAni YRpH-_3.51c
   aṣṭādaśāṃśabhāgena YRps_1.71a	azwAdaSa-aMSa-BAgena YRpH-_1.71a
   aṣṭāvallī rājaśamī YRps_9.33a	azwAvallI rAja-SamI YRpH-_9.33a
   aṣṭāṃgulaṃ ca sacchidraṃ YRps_10.22a	azwa-aMgulam ca sa=-Cidram YRpH-_10.22a
   aṣṭau cetsyuḥ phālakā bhāsuraṃ vai YRps_7.23c	azwO ced-syuH PAlakAH BAsuram vE YRpH-_7.23c
   aṣṭau bhāgāḥ prakartavyā YRps_11.37a	azwO BAgAH prakartavyA YRpH-_11.37a
   aṣṭau mahārasāḥ samyak YRps_1.7a	azwO mahArasAH samyak YRpH-_1.7a
   asevyau hi nirantaram YRps_1.103d	asevyO hi nirantaram YRpH-_1.103d
   asthibhakṣamalabaṃgamāritaṃ YRps_11.88a	asTi-Bakza-mala-baMga-mAritam YRpH-_11.88a
   aharahaḥ praṇamāmi ca śāradām YRps_1.2d	aharahar praNamAmi ca SAradAm YRpH-_1.2d
   ahiripum ahitulyaṃ sāritaṃ sūtarāje YRps_11.35a	ahi-ripum ahi-tulyam sAritam sUtarAje YRpH-_11.35a
   ahobhiḥ saptabhistathā YRps_2.94d	ahoBiH saptaBiH-taTA YRpH-_2.94d
   ahorātreṇa sarvāṇi YRps_11.135a	ahorAtreNa sarvANi YRpH-_11.135a
   aṃgārakoṣṭhikā nāma YRps_10.30a	aMgArakozWikA nAma YRpH-_10.30a
   aṃdhamūṣāgataṃ golaṃ YRps_2.39c	aMDamUzA-gatam golam YRpH-_2.39c
   aṃdhamūṣāgataṃ paścān YRps_2.67a	aMDamUzA-gatam paScAn YRpH-_2.67a
   aṃdhamūṣāgataṃ sūtaṃ YRps_1.153a	aMDamUzA-gatam sUtam YRpH-_1.153a
   ākallo vai gaṃdhakaḥ sārṣapeṇa YRps_8.14c	AkallaH vE gaMDakaH sArzapeNa YRpH-_8.14c
   ākṛṣya kila kaṇḍayet YRps_11.131d	AkRzya kila kaNxayet YRpH-_11.131d
   ātmaguptāphalaṃ śuṣkaṃ YRps_12.1a	AtmaguptA-Palam Suzkam YRpH-_12.1a
   ādau tu vamanaṃ kṛtvā YRps_1.160a	AdO tu vamanam kRtvA YRpH-_1.160a
   āpūrya kokilair gartaṃ YRps_10.37c	ApUrya kokilEH gartam YRpH-_10.37c
   āpūryānte svai rasaiḥ śākajairvā YRps_11.33d	ApUrya-ante svEH rasEH SAka-jEH-vA YRpH-_11.33d
   āmājīrṇapraśamano YRps_6.37a	Ama-ajIrNa-praSamanaH YRpH-_6.37a
   āmājīrṇabhavān rogān YRps_6.67e	Ama-ajIrNa-BavAn rogAn YRpH-_6.67e
   āmājīrṇaṃ praśamayel YRps_6.51a	Ama-ajIrNam praSamayet YRpH-_6.51a
   āyuḥpradastridoṣaghno YRps_5.62a	AyuH-pradaH-tridoza-GnaH YRpH-_5.62a
   āyuḥpradaṃ vṛṣyatamaṃ pradiṣṭaṃ YRps_7.35a	AyuH-pradam vRzyatamam pradizwam YRpH-_7.35a
   āraṇyairvā gomayaistaddhaṭhāgnau YRps_7.34d	AraNyEH-vA gomayEH-tad-haWa-agnO YRpH-_7.34d
   āraṇyotpalakaiḥ kāryā YRps_4.9c	AraNyotpalakEH kAryA YRpH-_4.9c
   āraṃ dvādaśabhāgamaṣṭaraviṇo bījaṃ caturthāṃśakam YRps_11.90/a	Aram dvAdaSa-BAgam-azwa-raviNaH bIjam caturTa-aMSakam YRpH-_11.90/a
   āruṣkareṇa sahitā YRps_3.48c	AruzkareNa sahitAH YRpH-_3.48c
   ārdraṃ kṛtvobhayaṃ samyak YRps_12.2a	Ardram kRtvA-uBayam samyak YRpH-_12.2a
   āsāṃ niyāmikānāṃ ca YRps_2.38c	AsAm niyAmikAnAm ca YRpH-_2.38c
   āhāraṃ madhuraṃ bhajet YRps_12.6d	AhAram maDuram Bajet YRpH-_12.6d
   āhṛtya tasmādvaragolakaṃ hi YRps_7.62b	AhRtya tasmAt-vara-golakam hi YRpH-_7.62b
   iṅgudīpatraniryāse YRps_2.29c	iFgudI-patra-niryAse YRpH-_2.29c
   iṅgudīmūlaniryāse YRps_2.8a	iFgudI-mUla-niryAse YRpH-_2.8a
   iti paramarahasyaṃ sūtarājasya coktaṃ YRps_2.109a	iti parama-rahasyam sUtarAjasya ca-uktam YRpH-_2.109a
   iti bhaveddaradād varasūtakaḥ YRps_3.4d	iti Bavet-daradAt vara-sUtakaH YRpH-_3.4d
   iti mayā kathitā rasapoṭalī YRps_3.30e	iti mayA kaTitA rasa-powalI YRpH-_3.30e
   iti śāstravido 'bruvan YRps_1.147d	iti SAstra-vidaH abruvan YRpH-_1.147d
   itthaṃ saṃsevite sūte YRps_1.165a	itTam saMsevite sUte YRpH-_1.165a
   itthaṃ sūtodbhavaṃ jñātvā YRps_1.22a	itTam sUta-udBavam jQAtvA YRpH-_1.22a
   idaṃ krāmaṇakaṃ śreṣṭhaṃ YRps_1.137c	idam krAmaNakam SrezWam YRpH-_1.137c
   indragopanibhaṃ grāhyaṃ YRps_11.26c	indragopa-niBam grAhyam YRpH-_11.26c
   indragopaśca tuvarī YRps_1.135c	indragopaH-ca tuvarI YRpH-_1.135c
   indragopasamaṃ satvam YRps_5.87a	indragopa-samam satvam YRpH-_5.87a
   indranīlamatha vārinīlakaṃ YRps_7.41a	indranIlam-aTa vArinIlakam YRpH-_7.41a
   indravāruṇikākāhve YRps_9.26a	indravAruNikAkAhve YRpH-_9.26a
   iyanmānā dvitīyā ca YRps_1.49c	iyat-mAnA dvitIyA ca YRpH-_1.49c
   iṣṭikā jalayantrakam YRps_10.3b	izwikA jalayantrakam YRpH-_10.3b
   iṣṭikābhāgayugmakam YRps_11.49b	izwikA-BAga-yugmakam YRpH-_11.49b
   iṣṭikāyantrayogena YRps_1.153c	izwikAyantra-yogena YRpH-_1.153c
   īśvarī cāparājitā YRps_9.13b	ISvarI ca-aparAjitA YRpH-_9.13b
   uccaṭā ceśvarī latā YRps_9.2b	uccawA ca-ISvarI latA YRpH-_9.2b
   ucyate pāradaḥ svayam YRps_1.17d	ucyate pAradaH svayam YRpH-_1.17d
   ucyate śāstrakovidaiḥ YRps_10.50f	ucyate SAstra-kovidEH YRpH-_10.50f
   ujjvalaṃ hi viniḥsaret YRps_4.23d	ujjvalam hi viniHsaret YRpH-_4.23d
   utkhanyotkhanya yatnena YRps_2.41c	utKanya-utKanya yatnena YRpH-_2.41c
   uttamo mūlikābandho YRps_2.5a	uttamaH mUlikA-banDaH YRpH-_2.5a
   uttamo haṃsapākakaḥ YRps_6.76b	uttamaH haMsapAkakaH YRpH-_6.76b
   uttaraṅgasya cordhvataḥ YRps_10.32d	uttaraFgasya ca-UrDvatas YRpH-_10.32d
   utthāpanaṃ bhavetsamyak YRps_1.46e	utTApanam Bavet-samyak YRpH-_1.46e
   utpalaṃ piṣṭakaṃ chāṇam YRps_10.53a	utpalam pizwakam CANam YRpH-_10.53a
   udake ca vilīyeta YRps_5.108c	udake ca vilIyeta YRpH-_5.108c
   udayabhāskaranāmaraso hyayaṃ YRps_3.12a	udaya-BAskara-nAma-rasaH hi-ayam YRpH-_3.12a
   udaraṃ pāṇḍuśophaṃ ca YRps_4.54a	udaram pANxu-SoPam ca YRpH-_4.54a
   uditadhātugaṇasya ca mūṣikāṃ YRps_3.7c	udita-DAtu-gaNasya ca mUzikAm YRpH-_3.7c
   uditā rasavādibhiḥ YRps_5.2f	uditAH rasa-vAdiBiH YRpH-_5.2f
   uddiṣṭaṃ navasārākhyaṃ YRps_6.68a	uddizwam navasAra-AKyam YRpH-_6.68a
   uddeśato mayātraiva YRps_1.25e	uddeSataH mayA-atra-eva YRpH-_1.25e
   upari gartavareṇa ca saṃyutā YRps_3.23b	upari garta-vareNa ca saMyutA YRpH-_3.23b
   upari tatra jalena niṣiñcayed YRps_3.4c	upari tatra jalena niziQcayet YRpH-_3.4c
   upari tatra niveśaya ca bhājanaṃ YRps_3.32d	upari tatra niveSaya ca BAjanam YRpH-_3.32d
   upari nāgarasena vilepitā YRps_3.28a	upari nAga-rasena vilepitA YRpH-_3.28a
   upari vālukayā paripūrya tac YRps_3.30a	upari vAlukayA paripUrya tat YRpH-_3.30a
   upariṣṭāt pidhānaṃ tu YRps_10.38c	uparizwAt piDAnam tu YRpH-_10.38c
   upariṣṭātpuṭaṃ dadyāt YRps_10.51c	uparizwAt-puwam dadyAt YRpH-_10.51c
   upariṣṭādadhastācca YRps_10.50c	uparizwAt-aDastAt-ca YRpH-_10.50c
