   (Vaidya 1)	(VEdyaH 1)
   nacireṇaivāṣṭādaśasu vidyāsthāneṣu svakulakramāviruddhāsu ca sakalāsu	nacireNa eva azwAdaSasu vidyA sTAnezu sva kula krama avirudDAsu ca sakalAsu
   kalāsvācāryakaṃ padamavāpa /	kalAsu AcAryakam padam avApa /
   sa brahmavad brahmavidāṃ babhūva rājeva rājñāṃ bahumānapātram /	sa brahma vat brahma vidAm baBUva rAjA iva rAjQAm bahu mAna pAtram /
   sākṣātsahasrākṣa iva prajānāṃ jñānārthināmarthacaraḥ piteva // Jm_1.5 //	sAkzAt sahasrAkzaH iva prajAnAm jQAna arTinAm arTa caraH pitA iva // Jm_1.5 //
   tasya bhāgyaguṇātiśayasamāvarjito mahāṃ llābhasatkārayaśoviśeṣaḥ	tasya BAgya guNa atiSaya samAvarjitaH mahAm llABa satkAra yaSaH viSezaH
   prādurabhūt / dharmābhyāsabhāvitamatiḥ kṛtapravrajyāparicayastu	prAduraBUt / Darma aByAsa BAvita matiH kRta pravrajyA paricayaH tu
   bodhisattvo na tenābhireme /	boDisattvaH na tena aBireme /
   sa pūrvacaryāpariśuddhabuddhiḥ kāmeṣu dṛṣṭvā bahudoṣajātam /	sa pUrva caryA pariSudDa budDiH kAmezu dRzwvA bahu doza jAtam /
   gārhasthyamasvāsthyamivāvadhūya kaṃcidvanaprasthamalaṃcakāra // Jm_1.6 //	gArhasTyam asvAsTyam iva avaDUya kaMcid vana prasTam alaMcakAra // Jm_1.6 //
   sa tatra niḥsaṅgatayā tayā (ca) prajñāvadātena śamena caiva /	sa tatra niHsaFga tayA tayA (ca) prajQA avadAtena Samena ca eva /
   pratyādideśeva kukāryasaṅgādviśliṣṭaśiṣṭopaśamaṃ nṛlokam // Jm_1.7 //	pratyAdideSA iva ku kArya saFgAt vi Slizwa Sizwa upaSamam nR lokam // Jm_1.7 //
   maitrīmayeṇa praśamena tasya visyandinevānuparītacittāḥ /	mEtrI mayeNa praSamena tasya visyan dinA iva anuparIta cittAH /
   parasparadrohanivṛttabhāvāstapasvivad vyālamṛgā viceruḥ // Jm_1.8 //	paraspara droha nivRtta BAvAH tapasvi vat vyAla mRgAH viceruH // Jm_1.8 //
   ācāraśuddhyā nibhṛtendriyatvātsaṃtoṣayogātkaruṇāguṇācca /	AcAra SudDyA niBRta indriya tvAt saMtoza yogAt karuNA guNAt ca /
   asaṃstutasyāpi janasya loke so 'bhūt priyastasya yathaiva lokaḥ // Jm_1.9	asaMstutasya api janasya loke saH aBUt priyaH tasya yaTA eva lokaH // Jm_1.9
   alpecchabhāvātkuhanānabhijñastyaktaspṛho lābhayaśaḥsukheṣu /	alpa icCa BAvAt kuhana anaBijQaH tyakta spRhaH lABa yaSaH suKezu /
   sa devatānāmapi mānasāni prasādabhaktipravaṇāni cakre // Jm_1.10 //	sa devatAnAm api mAnasAni prasAda Bakti pravaNAni cakre // Jm_1.10 //
   śrutvātha taṃ pravrajitaṃ manuṣyā guṇaistadīyairavabaddhacittāḥ /	SrutvA aTa tam pravrajitam manuzyAH guNEH tadIyEH avabadDa cittAH /
   (Vaidya 3)	(VEdyaH 3)
   vihāya bandhūṃśca parigrahāṃśca tacchiṣyatāṃ siddhimivopajagmuḥ // Jm_1.11	vihAya banDUn= ca parigrahAn= ca tat SizyatAm sidDim iva upajagmuH // Jm_1.11
   śīle śucāvindriyabhāvanāyāṃ smṛtyapramoṣe praviviktatāyām /	SIle SucO= indriya BAvanAyAm smRtya pramoze praviviktatAyAm /
   maitryādike caiva manaḥsamādhau yathābalaṃ so 'nuśaśāsa śiṣyān // Jm_1.12	mEtrI Adike ca eva manaH samADO yaTAbalam saH anuSaSAsa SizyAn // Jm_1.12
   atha kadācitsa mahātmā pariniṣpannabhūyiṣṭhe pṛthūbhūte śiṣyagaṇe	aTa kadAcid sa mahAtmA parinizpanna BUyizWe pRTUBUte Sizya gaNe
   pratiṣṭhāpite 'sminkalyāṇe vartmanyavatārite naiṣkramyasatpathaṃ loke	pratizWApite asmin kalyANe vartmani avatArite nEzkramya sat paTam loke
   saṃvṛteṣvivāpāyadvāreṣu rājamārgīkṛteṣviva sugatimārgeṣu	saMvRtezu iva apAya dvArezu rAjamArgIkRtezu iva sugati mArgezu
   dṛṣṭadharmasukhavihārārthaṃ tatkālaśiṣyeṇājitenānugamyamāno yogānukūlān	dRzwa Darma suKa vihAra arTam tad kAla SizyeNa ajitena anugamyamAnaH yoga anukUlAn
   parvatadarīnikuñjānanuvicacāra /	parvata darI nikuQjAn anuvicacAra /
   athātra vyāghravanitāṃ dadarśa girigahvare /	aTa atra vyAGra vanitAm dadarSa giri gahvare /
   prasūtikleśadoṣeṇa gatāṃ nispandamandatām // Jm_1.13 //	prasUti kleSa dozeNa gatAm nispanda manda tAm // Jm_1.13 //
   parikṣāmekṣaṇayugāṃ kṣudhā chātatarodarīm /	parikzAma IkzaNa yugAm kzuDA CAtatara udarIm /
   āhāramiva paśyantīṃ bālānsvatanayānapi // Jm_1.14 //	AhAram iva paSyantIm bAlAn sva tanayAn api // Jm_1.14 //
   stanyatarṣādupasṛtānmātṛvisrambhanirvyathān /	stanya tarzAt upasRtAn mAtR visramBa nirvyaTAn /
   rorūyitaravaiḥ krūrairbhartsayantīṃ parāniva // Jm_1.15 //	rorUyita ravEH krUrEH BartsayantIm parAn iva // Jm_1.15 //
   bodhisattvastu tāṃ dṛṣṭvā dhīro 'pi karuṇāvaśāt /	boDisattvaH tu tAm dRzwvA DIraH api karuNA vaSAt /
   cakampe paraduḥkhena mahīkampādivādrirāṭ // Jm_1.16 //	cakampe para duHKena mahIkampAt iva adri rAj // Jm_1.16 //
   mahatsvapi svaduḥkheṣu vyaktadhairyāḥ kṛpātmakāḥ /	mahatsu api sva duHKezu vyakta DEryAH kRpA AtmakAH /
   mṛdunāpyanyaduḥkhena kampante yattadadbhutam // Jm_1.17 //	mRdunA api anya duHKena kampante yat tat adButam // Jm_1.17 //
   atha sa bodhisattvaḥ sasaṃbhramāmreḍitapadaṃ svabhāvātiśayavyañjakaṃ	aTa sa boDisattvaH sa saMBramAmrexita padam svaBAva atiSaya vyaQjakam
   karuṇābalasamāhitākṣaraṃ śiṣyamuvāca   vatsa vatsa	karuNA bala samAhita akzaram Sizyam uvAca  vatsa vatsa
   paśya saṃsāranairguṇyaṃ mṛgyeṣā svasutānapi /	paSya saMsAra nErguNyam mRgI ezA sva sutAn api /
   laṅghitasnehamaryādā bhoktumanvicchati kṣudhā // Jm_1.18 //	laFGita sneha maryAdA Boktum anvicCati kzuDA // Jm_1.18 //
   aho batātikaṣṭeyamātmasnehasya rodratā /	aho bata ati kazwA iyam Atma snehasya rodratA /
   yena mātāpi tanayānāhārayitumicchati // Jm_1.19 //	yena mAtA api tanayAn AhArayitum icCati // Jm_1.19 //
   ātmasnehamayaṃ śatruṃ ko vardhayitumahati /	Atma sneha mayam Satrum kaH varDayitum ahati /
   yena kuryāt padanyāsamīdṛśeṣvapi karmasu // Jm_1.20 //	yena kuryAt padanyAsam IdRSezu api karmasu // Jm_1.20 //
   tacchīghramanviṣyatāṃ tāvatkutaścidasyāḥ kṣudduḥkhapratīkāraheturyāvanna	tat SIGram anvizyatAm tAvat kutaScid asyAH kzuD duHKa pratIkAra hetuH yAvat na
   tanayānātmānaṃ copahanti / ahamapi caināṃ prayatiṣye	tanayAn AtmAnam ca upahanti / aham api ca enAm prayatizye
   sāhasādasmānnivārayitum / sa tathetyasmai pratiśrutya	sAhasAt asmAt nivArayitum / sa taTA iti asmE pratiSrutya
   prakrāntastadāhārānveṣaṇaparo babhūva / atha bodhisattvastaṃ śiṣyaṃ	prakrAntaH tad AhAra anvezaNa paraH baBUva / aTa boDisattvaH tam Sizyam
   savyapadeśamativāhya cintāmāpede  	sa vyapadeSam ativAhya cintAm Apede  
   (Vaidya 4)	(VEdyaH 4)
   saṃvidyamāne sakale śarīre kasmātparasmānmṛgayāmi māṃsam /	saMvidyamAne sakale SarIre kasmAt parasmAt mRgayAmi mAMsam /
   yādṛcchikī tasya hi lābhasaṃpat kāryātyayaḥ syācca tathā mamāyam //	yAdRcCikI tasya hi lABa saMpad kArya atyayaH syAt ca taTA mama ayam //
   Jm_1.21 //	Jm_1.21 //
   api ca /	api ca /
   nirātmake bhedini sārahīne duḥkhe kṛtadhne satatāśucau ca /	nirAtmake Bedini sAra hIne duHKe kRtaDne satata aSucO ca /
   dehe parasmāyupayujyamāne na prītimānyo na vicakṣaṇaḥ saḥ // Jm_1.22 //	dehe parasmAyupayujyamAne na prItimAn yaH na vicakzaNaH saH // Jm_1.22 //
   svasaukhyasaṅgena parasya duḥkhamupekṣyate śaktiparikṣayādvā /	sva sOKya saFgena parasya duHKam upekzyate Sakti parikzayAt vA /
   na cānyaduḥkhe sati me 'sti saukhyaṃ satyāṃ ca śaktau kimupekṣakaḥ syām //	na ca anya duHKe sati me asti sOKyam satyAm ca SaktO kim upekzakaH syAm //
   Jm_1.23 //	Jm_1.23 //
   satyāṃ ca śaktau mama yadyupekṣā syādātatāyinyapi duḥkhamagne /	satyAm ca SaktO mama yadi upekzA syAt AtatAyinI api duHKam agne /
   kṛtveva pāpaṃ mama tena cittaṃ dahyeta kakṣaṃ mahatāgnineva // Jm_1.24 //	kRtvA iva pApam mama tena cittam dahyeta kakzam mahatA agninA iva // Jm_1.24 //
   tasmātkariṣyāmi śarīrakeṇa taṭaprapātodgatajīvitena /	tasmAt karizyAmi SarIrakeNa tawa prapAta udgata jIvitena /
   saṃrakṣaṇaṃ putravadhācca mṛgyā mṛgyāḥ sakāśācca tadātmajānām // Jm_1.25	saMrakzaNam putra vaDAt ca mRgyAH mRgyAH sakASAt ca tad AtmajAnAm // Jm_1.25
   kiṃ ca bhūyaḥ  	kim ca BUyas  
   sadarśanaṃ lokahitotsukānāmuttejanaṃ mandaparākramāṇām /	sa darSanam loka hita utsukAnAm uttejanam manda parAkramANAm /
   saṃharṣaṇaṃ tyāgaviśāradānāmākarṣaṇaṃ sajjanamānasānām // Jm_1.26 //	saMharzaNam tyAga viSAradAnAm AkarzaNam sat jana mAnasAnAm // Jm_1.26 //
   viṣādanaṃ māramahācamūnāṃ prasādanaṃ buddhaguṇapriyāṇām /	vizAdanam mAra mahA camUnAm prasAdanam budDa guNa priyANAm /
   vrīḍodayaṃsvārthaparāyaṇānāṃ mātsaryalobhopahatātmanāṃ ca // Jm_1.27 //	vrIxA udayaMsva arTa parAyaNAnAm mAtsarya loBa upahata AtmanAm ca // Jm_1.27 //
   (Vaidya 5)	(VEdyaH 5)
   śraddhāpanaṃ yānavarāśritānāṃ vismāpanaṃ tyāgakṛtasmayānām /	SradDApanam yAna vara ASritAnAm vismApanam tyAga kRta smayAnAm /
   viśodhanaṃ svargamahāpathasya tyāgapriyāṇāmanumodi nṝṇām // Jm_1.28 //	viSoDanam svarga mahApaTasya tyAga priyANAm anumodi nLNAm // Jm_1.28 //
   kadā nu gātrairapi nāma kuryāṃ hitaṃ pareṣāmiti yaśca me 'bhūt /	kadA nu gAtrEH api nAma kuryAm hitam parezAm iti yaH ca me aBUt /
   manorathastatsaphalīkriyāṃ ca saṃbodhimagryāmapi cāvidūre // Jm_1.29 //	manoraTaH tad saPalIkriyAm ca saMboDim agryAm api ca avidUre // Jm_1.29 //
   api ca /	api ca /
   na spardhayā naiva yaśo 'bhilāṣānna svargalābhānna ca rājyahetoḥ /	na sparDayA na eva yaSaH aBilAzAt na svarga lABAt na ca rAjya hetoH /
   nātyantike 'pyātmasukhe yathāyaṃ mamādaro 'nyatra parārthasiddheḥ //	na Atyantike api Atma suKe yaTA ayam mama AdaraH anyatra para arTa sidDeH //
   Jm_1.30 //	Jm_1.30 //
   tathā mamānena samānakālaṃ lokasya duḥkhaṃ ca sukhodayaṃ ca /	taTA mama anena samAna kAlam lokasya duHKam ca suKa udayam ca /
   hartuṃ ca kartuṃ ca sadāstu śaktistamaḥ prakāśaṃ ca yathaiva bhānoḥ //	hartum ca kartum ca sadA astu SaktiH tamaH prakASam ca yaTA eva BAnoH //
   Jm_1.31 //	Jm_1.31 //
   dṛṣṭe guṇe 'nusmṛtimāgato vā spaṣṭaḥ kathāyogamupāgato vā /	dRzwe guNe anusmRtim AgataH vA spazwaH kaTA yogam upAgataH vA /
   sarvaprakāraṃ jagato hitāni kuryāmajasraṃ sukhasaṃhitāni // Jm_1.32 //	sarva prakAram jagataH hitAni kuryAm ajasram suKa saMhitAni // Jm_1.32 //
   evaṃ sa niścitya parārthasiddhyai prāṇātyaye 'pyāpatitapramodaḥ /	evam sa niScitya para arTa sidDyE prANa atyaye api Apatita pramodaH /
   manāṃsi dhīrāṇyapi devatānāṃ vismāpayansvāṃ tanumutsasarja // Jm_1.33 //	manAMsi DIrANi api devatAnAm vismApayan svAm tanum utsasarja // Jm_1.33 //
   atha sā vyāghrī tena bodhisattvasya śarīranipātaśabdena	aTa sA vyAGrI tena boDisattvasya SarIra nipAta Sabdena
   samutthāpitakautūhalāmarṣā viramya svatanayavaiśasodyamāttato nayane	samutTApita kOtUhala AmarzAH viramya sva tanaya vESasa udyamAt tatas nayane
   vicikṣepa / dṛṣṭai va ca bodhisattvaśarīramudgataprāṇaṃ sahasābhisṛtya	vicikzepa / dRzwEH va ca boDisattva SarIram udgata prANam sahasA aBisRtya
   bhakṣayitumupacakrame / atha sa tasya śiṣyo māṃsamanāsādyaiva	Bakzayitum upacakrame / aTa sa tasya SizyaH mAMsa manAsAdya eva
   pratinivṛttaḥ kutropādhyāya iti	pratinivRttaH kutra upADyAyaH iti
   vilokayaṃstadbodhisattvaśarīramudgataprāṇaṃ tayā vyāghrayuvatyā	vilokayan= tad boDisattva SarIram udgata prANam tayA vyAGrayuvatyA
   bhakṣyamāṇaṃ dardaśa / sa	BakzyamANam dardaSa / sa
   (Vaidya 6)	(VEdyaH 6)
   tatkarmātiśayavismayātprativyūḍhaśokaduḥkhāvegastadguṇāśrayabahumānamivodgirannidamātmagataṃ	tad karma atiSaya vismayAt prativyUXa Soka duHKa AvegaH tad guNa ASraya bahu mAnam iva udgiran= idama Atma gatam
   bruvāṇaḥ śobheta /	bruvANaH SoBeta /
   aho dayāsya vyasanāture jane svasaukhyanaiḥsaṅgyamaho mahātmanaḥ /	aho dayA asya vyasana Ature jane sva sOKyanEH saFgyam aho mahAtmanaH /
   aho prakarṣaṃ gamitā sthitiḥ satāmaho pareṣāṃ mṛditā yaśaḥśriyaḥ //	aho prakarzam gamitA sTitiH satAm aho parezAm mRditAH yaSaH SriyaH //
   Jm_1.34 //	Jm_1.34 //
   aho parākrāntamapetasādhvasaṃ guṇāśrayaṃ prema paraṃ pradarśitam /	aho parAkrAntam apeta sADvasam guNa ASrayam prema param pradarSitam /
   aho namaskāraviśeṣapātratāṃ prasahya nītāsya guṇātanustanuḥ // Jm_1.35 //	aho namaskAra viSeza pAtra tAm prasahya nItA asya guNa atanuH tanuH // Jm_1.35 //
   nisargasaumyasya vasuṃdharādhṛteraho pareṣāṃ vyasaneṣvamarṣitā /	nisarga sOmyasya vasuMDarA DRteH aho parezAm vyasanezu amarzitA /
   aho madīyā gamitā prakāśatāṃ khaṭuṅkatā vikramasaṃpadānayā // Jm_1.36 //	aho madIyA gamitA prakASa tAm KawuFka tA vikrama saMpadA anayA // Jm_1.36 //
   anena nāthena sanāthatāṃ gataṃ na śocitavyaṃ khalu sāṃprataṃ jagat /	anena nATena sanATa tAm gatam na Socitavyam Kalu sAMpratam jagat /
   parājayāśaṅkitajātasaṃbhramo dhruvaṃ viniścāsaparo 'dya manmathaḥ //	parAjaya ASaFkita jAta saMBramaH Druvam viniScAsa paraH adya manmaTaH //
   Jm_1.37 //	Jm_1.37 //
   sarvathā namo 'stvasmai mahābhāgāya	sarvaTA namaH astu asmE mahABAgAya
   sarvabhūtaśaraṇyāyātivipulakāruṇyāyāprameyasattvāya bhūtārthabodhisattvāya	sarva BUta SaraNyAya ati vipula kAruNyAya aprameya sattvAya BUta arTa boDisattvAya
   mahāsattvāyeti / atha sa tamarthaṃ sabrahmacāribhyo nivedayāmāsa /	mahAsattvAya iti / aTa sa tam arTam sabrahmacAriByaH nivedayAmAsa /
   tatkarmavismitamukhairatha tasya	tad karma vismita muKEH aTa tasya
   śiṣyairgandharvayakṣabhujagaistridaśādhipaiśca /	SizyEH ganDarva yakza BujagEH tridaSADipEH ca /
   mālyāmbarābharaṇacandanacūrṇavarṣaiśchannā tadasthivasudhā vasudhā babhūva	mAlya ambara ABaraNa candana cUrNa varzEH CannA tad asTi vasuDA vasuDA baBUva
   // Jm_1.38 //	// Jm_1.38 //
   tadevaṃ sarvasattveṣvakāraṇaparamavatsalasvabhāvaḥ sarvabhūtātmabhūtaḥ	tat evam sarva sattvezu akAraNa parama vatsala svaBAvaH sarva BUta Atma BUtaH
   pūrvajanmasvapi sa bhagavāniti buddhe bhagavati paraḥ prasādaḥ kāryaḥ /	pUrva janmasu api sa BagavAn iti budDe Bagavati paraH prasAdaH kAryaH /
   jātaprasādaiśca buddhe bhagavati parā prītirutpādayitavyā /	jAta prasAdEH ca budDe Bagavati parA prItiH utpAdayitavyA /
   evamāyatanagato naḥ prasāda ityevamapyunneyam / tathā satkṛtya dharmaḥ	evam Ayatana gataH naH prasAdaH iti evam api unneyam / taTA satkRtya DarmaH
   śrotavyaḥ / evaṃ duṣkaraśatasamudānītatvāt karuṇāvarṇe 'pi vācyamevaṃ	SrotavyaH / evam duzkara Sata samudAnIta tvAt karuNA varNe api vAcyam evam
   svabhāvātiśayasya niṣpādikā parānugrahapravṛttihetuḥ karuṇeti /	svaBAva atiSayasya nizpAdikA para anugraha pravRtti hetuH karuNA iti /
   iti vyāghrījātakaṃ prathamam	iti vyAGrI jAtakam praTamam
   (Vaidya 7)	(VEdyaH 7)
   2. Śibijātakam	2. ŚibijAtakam
   duṣkaraśatasamudānīto 'yamasmadarthaṃ tena bhagavatā saddharma iti	duzkara Sata samudAnItaH ayam asmad arTam tena BagavatA sat DarmaH iti
   satkṛtya śrotavyaḥ / tadyathānuśrūyate 	satkRtya SrotavyaH / tat yaTA anuSrUyate 
   bodhisattvabhūtaḥ kilāyaṃ	boDisattva BUtaH kila ayam
   bhagavānaparimitakālābhyāsātsātmībhūtopacitapuṇyakarmā kadācicchibīnāṃ	BagavAn aparimita kAla aByAsAt sAtmIBUta upacita puNya karmA kadAcid SibInAm
   rājā babhūva / sa bālyātprabhṛtyeva bṛddhopāsanaratirvinayānurakto	rAjA baBUva / sa bAlyAt praBRti eva bRdDa upAsana ratiH vinaya anuraktaH 
   'nuraktaprakṛtiḥ	anurakta prakRtiH
   prakṛtimedhāvitvādanekavidyādhigamavipulataramatirutsāhamaṃtraprabhāva[prabhutva]śaktidaivasaṃpannaḥ	prakRti meDA avi tvAt aneka vidyA aDigama vipulatara matiH utsAha maMtra praBAva[ praBu tva] Sakti dEva saMpannaH
   svā iva prajāḥ prajāḥ pālayati sma /	svAH iva prajAH prajAH pAlayati sma /
   tasmiṃstrivargānuguṇā guṇaughāḥ saṃharṣayogādiva saṃniviṣṭāḥ /	tasmin= trivarga anuguNAH guNa oGAH saMharza yogAt iva saMnivizwAH /
   samastarūpā vibabhurna cāsurvirodhasaṃkṣobhavipannaśobhāḥ // Jm_2.1 //	samasta rUpAH vibaBuH na ca asuH viroDa saMkzoBa vipanna SoBAH // Jm_2.1 //
   viḍambanevāvinayoddhatānāṃ durmedhasāmāpadivātikaṣṭā /	vixambanA iva avinaya udDatAnAm durmeDa sAm ApadivA ati kazwA /
   alpātmanāṃ yā madireva lakṣmīrbabhūva sā tatra yathārthanāmā // Jm_2.2 //	alpa AtmanAm yA madirA iva lakzmIH baBUva sA tatra yaTArTa nAmA // Jm_2.2 //
   udārabhāvātkaruṇāguṇācca vittādhipatyācca sa rājavaryaḥ /	udAra BAvAt karuNA guNAt ca vitta ADipatyAt ca sa rAja varyaH /
   reme 'rthināmīpsitasiddhiharṣādakliṣṭaśobhāni mukhāni paśyan // Jm_2.3 //	reme arTinAm Ipsita sidDi harzAt aklizwa SoBAni muKAni paSyan // Jm_2.3 //
   atha sa rājā dānapriyatvātsamantato nagarasya	aTa sa rAjA dAna priya tvAt samantataH nagarasya
   sarvopakaraṇadhanadhānyasamṛddhā dānaśālāḥ kārayitvā svamāhātmyānurūpaṃ	sarva upakaraNa Dana DAnya samRdDAH dAna SAlAH kArayitvA sva mAhAtmya anurUpam
   yathābhiprāyasaṃpāditaṃ sopacāraṃ manoharamanatikrāntakālasubhagaṃ	yaTA aBiprAya saMpAditam sa upacAram manoharam anatikrAnta kAla suBagam
   dānavarṣaṃ kṛtayugamegha iva vavarṣa / annamannārthibhyaḥ, pānaṃ	dAna varzam kRta yuga meGaH iva vavarza / annam anna arTiByaH, pAnam
   pānārthibhyaḥ, śayanāsanavasanabhojanagandhamātyarajatasuvarṇādikaṃ	pAna arTiByaH, Sayana Asana vasana Bojana ganDa mAtya rajata suvarNa Adikam
   tattadarthibhyaḥ / atha tasya rājñaḥ	tad tad arTiByaH / aTa tasya rAjQaH
   pradānaudāryaśravaṇādvismitapramuditahṛdayā	pradAna OdArya SravaNAt vismita pramudita hRdayA
   nānādigabhilakṣitadeśanivāsinaḥ puruṣāstaṃ deśamupajagmuḥ /	nAnA diS aBilakzita deSa nivAsinaH puruzAH tam deSam upajagmuH /
   parītya kṛtsnaṃ manasā nṛlokamanyeṣvalabdhapraṇayāvakāśāḥ /	parItya kRtsnam manasA nR lokam anyezu alabDa praNaya avakASAH /
   tamarthinaḥ prītamukhāḥ samīyurmahāhradaṃ vanyagajā yathaiva // Jm_2.4 //	tam arTinaH prIta muKAH samIyuH mahAhradam vanya gajAH yaTA eva // Jm_2.4 //
   atha sa rājā samantataḥ samāpatato lābhāśāpramuditamanasaḥ	aTa sa rAjA samantataH samApatataH lABASA pramudita manasaH
   pathikajananepathyapracchāditaśobhasya vanīpakajanasya	paTika jana nepaTya pracCAdita SoBasya vanIpaka janasya
   (Vaidya 8)	(VEdyaH 8)
   viproṣitasyeva suhṛjjanasya saṃdarśanātprītivijṛmbhitākṣaḥ /	viprozitasya iva suhRd janasya saMdarSanAt prIti vijRmBita akzaH /
   yācñāṃ priyākhyānamivābhyanandaddattvā ca tuṣṭayārthijanaṃ jigāya //	yAcQAm priya AKyAnam iva aByanandat dattvA ca tuzwayA arTi janam jigAya //
   Jm_2.5 //	Jm_2.5 //
   dānodbhavaḥ kīrtimayaḥ sugandhastasyārthināṃ vāganilaprakīrṇaḥ /	dAna udBavaH kIrti mayaH suganDaH tasya arTinAm vAc anila prakIrNaH /
   madaṃ jahārānyanarādhipānāṃ gandhadvipasyeva paradvipānām // Jm_2.6 //	madam jahAra anyanarADipAnAm ganDa dvipasya iva para dvipAnAm // Jm_2.6 //
   atha kadācitsa rājā dānaśālāḥ samanuvicaraṃstṛptatvādarthijanasya	aTa kadAcid sa rAjA dAna SAlAH samanuvicaran= tRpta tvAt arTi janasya
   praviralaṃ yācakajanasaṃpātamabhisamīkṣya dānadharmasyānutsarpaṇānna	praviralam yAcaka jana saMpAtam aBisamIkzya dAna Darmasya anutsarpaNAt na
   tuṣṭimupajagāma /	tuzwim upajagAma /
   tarṣa vininye 'rthijanastametya na tvarthinaḥ prāpya sa dānaśauṇḍaḥ /	tarza vininye arTi janaH tam etya na tu arTinaH prApya sa dAna SONxaH /
   na hyasya dānavyavasāyamarthī yācñāpramāṇena śaśāka jetum // Jm_2.7 //	na hi asya dAna vyavasAyam arTI yAcQA pramANena SaSAka jetum // Jm_2.7 //
   tasya buddhirabhavat   atisabhāgyāste satpuruṣaviśeṣā ye	tasya budDiH aBavat  ati saBAgyAH te sat puruza viSezAH ye
   visrambhaniryantraṇapraṇayamarthibhiḥ svagātrāṇyapi yācyante / mama punaḥ	visramBa niryantraNa praNayam arTiBiH sva gAtrANi api yAcyante / mama punar 
