   om namo ratnatrayāya ||	om namaH ratnatrayAya ||
   || Śl_10 ||	|| Śt-_10 ||
   śikṣā x x x viditeṣviva bodhisaudhasopānapaddhatipadeṣu padaṃ dadhānāḥ |	SikzA x x x viditezu-iva boDi-sODa-sopAna-padDati-padezu padam daDAnAH |
   tuṅgāṃ prayānti padavīmanivartamānā bhūmiṃ nijāmavataranti vivartamānāḥ ||	tuFgAm prayAnti pada-vIm-anivartamAnAH BUmim nijAm-avataranti vivartamAnAH ||
   Śl_11 ||	Śt-_11 ||
   janmārṇavaṃ paramadustaramuttitīrṣuḥ śīlaplavaṃ ka iha hastagataṃ jahāti |	janmArNavam parama-dustaram-uttitIrzuH SIla-plavam kaH iha hasta-gatam jahAti |
   kāntāramadhyapatitaḥ kathamāryasārthādbhraṣṭo na śocati ciraṃ	kAntAra-maDya-patitaH kaTam-Arya-sArTAt-BrazwaH na Socati ciram
   supathānabhijñaḥ || Śl_12 ||	su-paTa-anaBijQaH || Śt-_12 ||
   saṃsārabhūdharadarījaṭharaprapātādutthātumudyataparāḥ paramāndhakārāt |	saMsAra-BUDara-darI-jaWara-prapAtAt-utTAtum-udyata-parAH parama-anDakArAt |
   muñcanti ye jinaguṇāvalimantarāle vegena te viṣamapātamadhaḥ patanti ||	muQcanti ye jina-guNa-Avalim-antarAle vegena te vizama-pAtam-aDas patanti ||
   Śl_13 ||	Śt-_13 ||
   ekākino 'pi manasā niyamaṃ prakalpya ye karmaṇā samuditena samunnayanti |	ekAkinaH api manasA niyamam prakalpya ye karmaNA samuditena samunnayanti |
   te sādhavo bhuvanamaṇḍalamaulibhūtāstaireva yānti gurutāṃ guravaḥ	te sADavaH Buvana-maNxala-mOli-BUtAH-tEH-eva yAnti guru-tAm guravaH
   suśiṣyaiḥ || Śl_14 ||	su-SizyEH || Śt-_14 ||
   labdhvā guṇaughajananīṃ jananīmivāryāmatyantaśuddahṛdayāmanuvartamānāḥ |	labDvA guNa-oGa-jananIm jananIm-iva-AryAm-atyanta-Sudda-hRdayAm-anuvartamAnAH |
   tejasvinaḥ sukhamasūnapi saṃtyajanti satyasthitivyasanino na punaḥ	tejasvinaH suKam-asUn-api saMtyajanti satya-sTiti-vyasaninaH na punar-
   pratijñām || Śl_15 ||	pratijQAm || Śt-_15 ||
   tiṣṭhantu tāvadiha sarvajanāpavādāḥ sarvāśca pāpagatayo nirayāśca ghorāḥ |	tizWantu tAvat-iha sarva-jana-apavAdAH sarvAH-ca pApa-gatayaH nirayAH-ca GorAH |
   sadyo jahāti sahajāṃ prakṛtiṃ yadeṣa duḥkhaṃ tataḥ kimaparaṃ bhuvi	sadyas jahAti sahajAm prakRtim yat-eza duHKam tatas kim-aparam Buvi
   sajjanasya || Śl_16 ||	sat-janasya || Śt-_16 ||
   yaḥ prapya nāvamiva dharmamayīṃ viśālāṃ bhūyo jahāti padavīṃ munibhiḥ	yaH prapya nAvam-iva Darma-mayIm viSAlAm BUyas jahAti padavIm muniBiH
   praklṛptām |	praklRptAm |
   saṃsārasāgaravivartananartaneṣu cetaḥspṛhā taralitā niyamena tasya ||	saMsAra-sAgara-vivartana-nartanezu cetaH-spRhA taralitAH niyamena tasya ||
   Śl_17 ||	Śt-_17 ||
   saṃsāracakramaniśaṃ parivartamānamāruhya yaḥ sukhamavaiti vivartamānaḥ |	saMsAra-cakram-aniSam parivartamAnam-Aruhya yaH suKam-avEti vivartamAnaH |
   so 'vaśyameva tarivaśaṃ masaḥ krameṇa sarvāḥ samāśca visamāśca gatīḥ	saH avaSyam-eva tari-vaSam masaH krameNa sarvAH samAH-ca visamAH-ca gatIH
   prayāti || Śl_18 ||	prayAti || Śt-_18 ||
   atyugragandhamaśuciprakaroparuddhamatyantasaṃkaṭamupoḍhaghanāndhakāram |	ati-ugra-ganDam-aSuci-prakara-uparudDam-atyanta-saMkawam-upoXa-Gana-anDakAram |
   āviśya garbhanilayaṃ nirayaṃ yathaiva duḥkhaṃ mahatsa sahate	AviSya garBa-nilayam nirayam yaTA-eva duHKam mahat-sa sahate
   paripiṇḍatāṅgaḥ || Śl_19 ||	paripiNxa-tA-aFgaH || Śt-_19 ||
   kālakramena sa tato dṛḍhatailayantraniṣpīḍyamāna iva yāti bhuvaṃ kathaṃcit	kAla-kramena sa tatas dRXa-tEla-yantra-nizpIxyamAnaH iva yAti Buvam kaTaMcid-
   sadyastathāpi yadayaṃ na jahāti jīvaṃ duḥkhopabhogagatidurlabhi tattadeva	sadyas-taTA-api yat-ayam na jahAti jIvam duHKa-upaBoga-gati-durlaBi tat-tat-eva
   || Śl_20 ||	|| Śt-_20 ||
   tatra sthitaṃ tamaśucau parivartamānamārdrolbaveṣṭitatanuṃ	tatra sTitam tam-aSucO parivartamAnam-Ardra-ulba-vezwita-tanum
   bahalogragandham |	bahala-ugra-ganDam |
   pūrvasmṛtivraṇamivolbaṇadoṣapākaṃ bhinnaṃ jahāti ghṛṇayeva nipīḍyamānaḥ ||	pUrva-smRti-vraNam-iva-ulbaNa-doza-pAkam Binnam jahAti GRNayA-iva nipIxyamAnaH ||
   Śl_21 ||	Śt-_21 ||
   sarvopacāravivaśaṃ śithilākulāṅgamutsṛjya bālyamupajātakaṇairabhāvaḥ |	sarva-upacAra-vivaSam SiTila-Akula-aFgam-utsRjya bAlyam-upajAta-kaNEH-aBAvaH |
   tuṅgeṣu yauvanagirīndradarītaṭeṣu mohāyate viṣayadṛṣṭiviṣālayeṣu || Śl_22	tuFgezu yOvana-giri-indradarI-tawezu mohAyate vizaya-dRzwi-viza-Alayezu || Śt-_22
   sa tato'pi patatyacetanaḥ patito naiva jahāti vikriyām |	sa tatas-api patati-acetanaH patitaH na-eva jahAti vikriyAm |
   ajarāmaramātmavigrahaṃ lalitaṃ manyata evaṃ bāliśaḥ || Śl_23 ||	ajara-amaram-Atma-vigraham lalitam manyate evam bAliSaH || Śt-_23 ||
   sa vihāya munīndrasevitaṃ supathaṃ yātyapathena mohitaḥ |	sa vihAya muni-indra-sevitam su-paTam yAti-apaTena mohitaH |
   rabhasena parāṃ vicūrṇayan gajavajjātamado niraṅkuśaḥ || Śl_24 ||	raBasena parAm vicUrNayan gaja-vat-jAta-madaH niraFkuSaH || Śt-_24 ||
   atha tasya balādanicchataḥ śirasi nyastapadā sunirdayam |	aTa tasya balAt-anicCataH Sirasi nyasta-padA su-nirdayam |
   niśitaṃ palitāṅkuśaṃ jarā kariṇo hastipakīva yacchati || Śl_25 ||	niSitam palita-aFkuSam jarA kariNaH hastipakI-iva yacCati || Śt-_25 ||
   sa tathāpi vijihyaceṣṭitaḥ kuśalenāpi bhayādivojjhitaḥ |	sa taTA-api vijihya-cezwitaH kuSalena-api BayAt-iva-ujJitaH |
   sukṛtāni karoti mohitaḥ śaravatsvātmavadhāya puṣpitaḥ || Śl_26 ||	sukRtAni karoti mohitaH Sara-vatsvAtma-vaDAya puzpitaH || Śt-_26 ||
   atha taṃ prahasannivāntakaḥ palitaughairdarśanairivolbaṇaiḥ |	aTa tam prahasan=-iva-antakaH palita-oGEH-darSanEH-iva-ulbaNEH |
   śirasi grasituṃ pravartate nirupāyapraśamo jarārujaḥ || Śl_27 ||	Sirasi grasitum pravartate nirupAya-praSamaH jarA-rujaH || Śt-_27 ||
   vidalanti tato 'sya sanvayo matirutkrāmati hīyate gatiḥ |	vidalanti tatas asya sanvayaH matiH-utkrAmati hIyate gatiH |
   kṣayameti vapuḥ pariślaṣaṃ niyataṃ vardhata eva jīvitāśā || Śl_28 ||	kzayam-eti vapuH pariSlazam niyatam varDate eva jIvita-ASA || Śt-_28 ||
   kramaśaśca nimīlitendriyo hataśaktirviṣayeṣu lālasaḥ |	kramaSas-ca nimIlita-indriyaH hata-SaktiH-vizayezu lAlasaH |
   upagacchati yāmayaṃ daśāṃ narake sā yadi bhīma eva saḥ || Śl_29 ||	upagacCati yAmayam daSAm narake sA yadi BImaH eva saH || Śt-_29 ||
   kathamevamidaṃ mayā kṛtaṃ kathamevaṃ na kṛtaṃ hatā gatiḥ |	kaTam-evam-idam mayA kRtam kaTam-evam na kRtam hatA gatiH |
   kathamevamayaṃ mayāstakaḥ śirasi nyastapado na lakṣitaḥ || Śl_30 ||	kaTam-evam-ayam mayA-AstakaH Sirasi nyasta-padaH na lakzitaH || Śt-_30 ||
   iti x x x cittamādhibhiḥ kukṛtaiḥ śokamayairupadrutaḥ |	iti x x x cittam-ADiBiH kukRtEH Soka-mayEH-upadrutaH |
   vyadhitena savāṣpavāriṇā karuṇaṃ bandhujanena vīkṣitaḥ || Śl_31 ||	vyaDitena sa-vAzpa-vAriNA karuNam banDu-janena vIkzitaH || Śt-_31 ||
   vinipīḍitamarmabandhanastimiraṃ ghorataraṃ viśanniva |	vinipIxita-marma-banDanaH-timiram Gorataram viSan=-iva |
   vijahāti nijaṃ kaḍevaraṃ dayitaṃ yatnapareṇa rakṣitam || Śl_32 ||	vijahAti nijam kaxevaram dayitam yatna-pareNa rakzitam || Śt-_32 ||
   sa virauti gṛhītamūrdhajo yamadūtairdṛḍhapāśasaṃyataḥ |	sa virOti gRhIta-mUrDajaH yama-dUtEH-dRXa-pASa-saMyataH |
   na śṛṇoti jano 'sya bhāṣitaṃ svakṛtākrandaravādivākulaḥ || Śl_33 ||	na SRNoti janaH asya BAzitam sva-kRta-Akranda-rava-Adi-va-AkulaH || Śt-_33 ||
   prastāraśailasaridantaradurgameṣu mārgeṣu tīkṣṇatarakaṇṭakasaṃkaṭeṣu |	prastAra-SEla-sarit-antara-durgamezu mArgezu tIkzNatara-kaNwaka-saMkawezu |
   ghoraiḥ kṛtāntapuruṣairyamadaṇḍaghātamākṛṣyate galaniṣevitakālapāśaḥ ||	GorEH kRtAnta-puruzEH-yama-daNxa-GAtam-AkRzyate gala-nizevita-kAla-pASaH ||
   Śl_34 ||	Śt-_34 ||
   dūrānnirīkṣya vimalaṃ salilaṃ pipāsurabhyeti gāḍhatṛṣito yadayaṃ tadeva |	dUrAt-nirIkzya vimalam salilam pipAsuH-aByeti gAXa-tRzitaH yat-ayam tat-eva |
   keśaughaśaivalavimiśritapūtipūyapaṅkāpaṅkitaṃ kṣatajavaṃ jalatā prayāti ||	keSa-oGa-SEvala-vimiSrita-pUti-pUya-paFkA-paFkitam kzatajavam jalatA prayAti ||
   Śl_35 ||	Śt-_35 ||
   velānilākulitaśīkaraśītasānumānīlacandanataruṃ malayaṃ prayāti |	velA-anila-Akulita-SIkara-SIta-sAnum-AnIla-candana-tarum malayam prayAti |
   so 'pyasya caṇḍavanadāvaśikhāvalīḍhaśīrṇolmukaprakaradanturatāṃ prayāti ||	saH api-asya caNxa-vana-dO=-aSiKa-avalIXa-SIrNa-ulmuka-prakara-dantura-tAm prayAti ||
   Śl_36 ||	Śt-_36 ||
   yadyeti vārinidhimudvatabhīmalolakallolabhedajanitolvaṇaphenahāsam |	yadya-iti vAriniDim-udvata-BIma-lola-kallola-Beda-janita-ulvaNa-Pena-hAsam |
   so 'pyasya taptaviṣadāruṇasaikatābhravibhrāntakarkaśamarunmarutāṃ prayāti	saH api-asya tapta-viza-da-aruNa-sEkata-aBra-viBrAnta-karkaSa-marut-marutAm prayAti
   || Śl_37 ||	|| Śt-_37 ||
   tatra sthitasya jaladāgamaśaṃsino 'sya sāṅgāradhūmakuliśopalavisphuliṅgam	tatra sTitasya jalada-Agama-SaMsinaH asya sa-aFgAra-DUma-kuliSa-upala-visPuliFgam
   vidyullatākanakarājipiśaṅgamaṅge nārācavarṣamabhivarṣati vārivahaḥ ||	vidyut-latA-kanaka-rAji-piSaFgam-aFge nArAca-varzam-aBivarzati vAri-vahaH ||
   Śl_38 ||	Śt-_38 ||
   tāpārditasya dahanaṃ tu hitānilo 'pi śītārditasya dahano 'pi karoti śītam	tApa-arditasya dahanam tu hita-anilaH api SIta-arditasya dahanaH api karoti SItam
   atyugrakarmapariṇāmavimohitasya viśvaṃ tadāsya viparītamidaṃ vibhāti ||	ati-ugra-karma-pariNAma-vimohitasya viSvam tadA-asya viparItam-idam viBAti ||
   Śl_39 ||	Śt-_39 ||
   śūcīmukhasya bahuyojanabhīmakukṣerārtasya vāripibato 'pi mahāsamudre |	SUcImuKasya bahu-yojana-BIma-kukzeH-Artasya vAri-pibataH api mahA-samudre |
   aprāpta eva pṛthukaṇṭhadarīprapātaśleṣmoṣmaṇā jalalavaḥ pariśoṣameti ||	aprAptaH eva pRTu-kaNWa-darI-prapAta-Slezma-UzmaNA jala-lavaH pariSozam-eti ||
   Śl_40	Śt-_40
   cañcacchaṭānika x pīvarasārameyadaṃṣṭrāṅkurāgrakuliśakṣatacūrṇitāṅgaḥ |	caQcat-SawAnika x pIvara-sArameya-daMzwrA-aFkura-agra-kuliSa-kzata-cUrNita-aFgaH |
   kṣārāmbupūrṇataravaitaraṇītaṭeṣu niṣkṛṣyate viṣamakoṭiśitopaleṣu || Śl_41	kzAra-ambu-pUrNatara-vEtaraNI-tawezu nizkRzyate vizama-kowi-Sita-upalezu || Śt-_41
   dhāvañjavena niśitakṣurasaṃstareṣu vicchinnamūrtirasipattralatāvaneṣu |	DAvan-javena niSita-kzura-saMstarezu vicCinna-mUrtiH-asi-pattra-latA-vanezu |
   kūpe patatyaśaraṇaḥ śitaśūlaśaktiprāsāsihāsanijitāntakavaktrarandhe ||	kUpe patati-aSaraNaH Sita-SUla-Sakti-prAsa-asi-hAsa-nijita-antaka-vaktra-ranDe ||
   Śl_42 ||	Śt-_42 ||
   tīvrātapakvaṣitaduḥsahākhinnadeho vṛkṣānnirīkṣya ghananīladalānupaiti |	tIvra-Atapa-kvazita-duHsaha-aKinna-dehaH vRkzAn-nirIkzya Gana-nIla-dalAn-upEti |
   tatpattraśastraśatapātavibhinnamūrtistatraiva tiṣṭhati ciraṃ	tad-pattra-Sastra-Sata-pAta-viBinna-mUrtiH-tatra-eva tizWati ciram
   virutaikabandhuḥ || Śl_43 ||	viruta-eka-banDuH || Śt-_43 ||
   paryantanirgataśikhāśatavisphuliṅgamālākulajvalitamaṇḍanamaṇḍitābhiḥ |	paryanta-nirgata-SiKA-Sata-visPuliFga-mAlA-Akula-jvalita-maNxana-maNxitABiH |
   premāntarapraṇayanirdayamaṅganābhirāliṅgyate krakacakarkaśavigrahābhiḥ ||	prema-antara-praNaya-nirdayam-aFganABiH-AliFgyate krakaca-karkaSa-vigrahABiH ||
   Śl_44 ||	Śt-_44 ||
   śailābhabhīṣaṇavisaṃkaṭameṣayūthasaṃghaṭṭacūrṇitaviśīrṇasamastagātraḥ |	SEla-ABa-BIzaNa-visaMkawa-meza-yUTa-saMGawwa-cUrNita-viSIrNa-samasta-gAtraH |
   āpātavātalavaśaityasamarpitāsuḥ saṃcūrṇyate punarasau śataśastathaiva ||	ApAta-vAta-lava-SEtya-samarpita-AsuH saMcUrNyate punar-asO SataSas-taTA-eva ||
   Śl_45 ||	Śt-_45 ||
   uttrāsito mukharakhaḍgaśivāsahasrairārohati drutapadaṃ punareva raudrān |	uttrAsitaH muKara-Kaxga-SivA-sahasrEH-Arohati druta-padam punar-eva rOdrAn |
   tāṃ kūṭaśālmalimadhomukhakaṇṭhakaughanirbhidyamānavapurarpitagāḍhaśalyaḥ	tAm kUwa-SAlmalim-aDomuKa-kaNWaka-oGa-nirBidya-mAna-vapuH-arpita-gAXa-SalyaH
   || Śl_46 ||	|| Śt-_46 ||
   mṛtyoḥ karāntagalitairiva kālapāśairāśīviṣairdhṛtaphaṇairdṛḍhasaṃyatasya |	mRtyoH kara-anta-galitEH-iva kAla-pASEH-ASIvizEH-DRta-PaNEH-dRXa-saMyatasya |
   utpāṭayanti nayane sphurataḥ prasahya tatra sthitasya	utpAwayanti nayane sPurataH prasahya tatra sTitasya
   bakavāyasakaṅkagṛdhrāḥ || Śl_47 ||	baka-vAyasa-kaFka-gRDrAH || Śt-_47 ||
   teṣāṃ mukhaiḥ kuliśakoṭinibhaiḥ prasahya nidrāyamānavapureṣa kṛtārtanādaḥ	tezAm muKEH kuliSa-kowi-niBEH prasahya nidrAyamAna-vapuH-eza kRta-Arta-nAdaH
   lohonmukhapracurapīvaratīkṣṇaśaṅkunirbhinnamūrtiravarohati naṣṭacetāḥ ||	loha-unmuKa-pracura-pIvara-tIkzNa-SaFku-nirBinna-mUrtiH-avarohati nazwa-cetAH ||
   Śl_48 ||	Śt-_48 ||
   ādīptaśūlaśitaśalyavibhinnadehāstatraiva kecidavaroḍhumaśaknuvantaḥ |	AdIpta-SUla-Sita-Salya-viBinna-dehAH-tatra-eva kecid-avaroXum-aSaknuvantaH |
   ghorairyadā niśitaśastramukhairayobhirākṛṣyamāṇavisaradgalitāntrasūtrāḥ ||	GorEH-yadA niSita-Sastra-muKEH-ayoBiH-AkRzyamANa-visarat-galita-antra-sUtrAH ||
   Śl_49 ||	Śt-_49 ||
   kecitpatanti viṣameṣū girestaṭeṣu kecitparikvaṣitatailakaṭāhakukṣau |	kecid-patanti vizamezU gireH-tawezu kecid-parikvazita-tEla-kawAha-kukzO |
   uttaptavālukabhuvaṃ visṛtasphuliṅgāmenya viśanti padasaṅgamanāpnuvantaḥ ||	uttapta-vAluka-Buvam visRta-sPuliFgAmenya viSanti pada-saFgam-anApnuvantaH ||
   Śl_50 ||	Śt-_50 ||
   eke punaḥ simisimāyitamūkṣmajantusaṃghātajarjaritasūnavipūtikāyāḥ |	eke punar simisi-mAyita-m-Ukzma-jantu-saMGAta-jarjarita-sUna-vipUtikAyAH |
   saṃcālamātramapi hartumaśaknuvanto jīvanti karmamayapāśanibaddhajīvāḥ ||	saMcAla-mAtram-api hartum-aSaknuvantaH jIvanti karma-maya-pASa-nibadDa-jIvAH ||
   Śl_51 ||	Śt-_51 ||
   asthīnyapi praṇayatā rahitopamena śītena jarjaritavepitapiṇḍitāṅgāḥ |	asTIni-api praNayatA rahita-upamena SItena jarjarita-vepita-piNxita-aFgAH |
   utpannabhinnapiṭakā śatajātajantujagdhakṣataśrutasamajjavaśālaśīkāḥ ||	utpanna-Binna-piwakA Sata-jAta-jantu-jagDa-kzata-Sruta-samajja-vaSA-la-SIkAH ||
   Śl_52 ||	Śt-_52 ||
   saṃdaṣṭalagnadaśanāstanulomakeśāḥ saṃghaṭṭitavyadhitalocanakarṇakaṇṭhāḥ |	saMdazwa-lagna-daSana-aH-tanu-loma-keSAH saMGawwita-vyaDita-locana-karNa-kaNWAH |
   ā cetaso jaḍataratvamupetakāyāstiṣṭhanti śītanarakeṣu bhṛśaṃ nadantaḥ ||	A cetasaH jaxatara-tvam-upetakAyAH-tizWanti SIta-narakezu BRSam nadantaH ||
   Śl_53 ||	Śt-_53 ||
   vikīrṇabahalogragandhakaṭudhūmadhūmrāntaraṃ	vikIrNa-bahala-ugra-ganDa-kawu-DUma-DUmra-antaram
   vijṛmbhitaśikhākaraprakararudradigmaṇḍalam |	vijRmBita-SiKA-kara-prakara-rudra-diS-maNxalam |
   sitāsthisakalāṭalīracitabhūṣaṇaṃ bhīṣaṇaṃ pravṛttamiva bhairavaṃ	sita-asTi-sakalAwalI-racita-BUzaNam BIzaNam pravRttam-iva BEravam
   sasujacarma hāhāravam || Śl_54 ||	sa-suja-carma hAhA-ravam || Śt-_54 ||
   caṭacchaḍhaditi kvacitsphuradurusphuliṅgākulaṃ chamacchamaditi	cawat-SaXat-iti kvacid-sPura-duru-sPuliFga-Akulam CamacSamat-iti
   kṣaṇasthagitajṛmbhitaṃ medasi |	kzaNa-sTagita-jRmBitam medasi |
   kaṭatkaṭaditi kvaṇantamuraso 'sthirandhrāntare patanti narakānalaṃ	kawat-kawat-iti kvaNantam-urasaH asTi-ranDra-antare patanti naraka-analam
   vijitakalpakālānalam || Śl_55 ||	vijita-kalpa-kAla-analam || Śt-_55 ||
   purāṇatṛṇajarjarajvalitaparśukā x x x x x x x x latālavo dhagiti	purANa-tRNa-jarjara-jvalita-parSukA x x x x x x x x latAlavaH Dagiti
   vāntadīptārciṣaḥ |	vAnta-dIpta-arcizaH |
   sphuṭajjaṭharaniḥsṛtaprasaradantrasaṃtrāsitāḥ	sPuwat-jaWara-niHsRta-prasara-dantra-saMtrAsitAH
   vimuktagurughargharadhvanitamātraśeṣakriyāḥ || Śl_56 ||	vimukta-guru-GarGara-Dvanita-mAtra-Seza-kriyAH || Śt-_56 ||
   nirīkṣya vivarāntaraṃ muhurapāvṛtaṃ dūrataḥ prayānti kathamapyamī	nirIkzya vivara-antaram muhur-apAvRtam dUratas prayAnti kaTam-api-amI
   pramataduḥkhamokṣāśrayāḥ |	pramata-duHKa-mokza-ASrayAH |
   yadā tadapi ghaṭṭitaṃ bhavati karmapaṭṭairdṛḍhaistadā viphalavāñchitāḥ	yadA tat-api Gawwitam Bavati karma-pawwEH-dRXEH-tadA viPala-vAQCitAH
   kimapi yānti duḥkhāntaram || Śl_57 ||	kim-api yAnti duHKa-antaram || Śt-_57 ||
   jvalanniśitatomaraprakaravarṣaṇānantaraṃ dravīkṛtamayorasaṃ	jvalat-niSita-tomara-prakara-varzaNa-anantaram dravIkRta-maya-urasam
   dahanaraśmimālākulam |	dahana-raSmi-mAlA-Akulam |
   pibanti galadasravo narakapāladaṇḍāhatā	pibanti galada-sravaH nara-ka-pAla-daNxa-AhatA
   mukhaśravaṇanāsikāvivaralabdhadhūmodgamāḥ || Śl_58 ||	muKa-SravaNa-nAsikA-vivara-labDa-DUma-udgamAH || Śt-_58 ||
   ādagdhavisphuṭitanetraśiraḥ kapālamastiṣkadīpitapiśaṅgaśikhākalāpaḥ |	AdagDa-visPuwita-netra-SiraH kapAla-mastizka-dIpita-piSaFga-SiKA-kalApaH |
   śuṣkendhanaprakaranirdayatāmupaiti śokāgnikoṣa iva gātracayeṣu teṣām ||	Suzka-inDana-prakara-nirdaya-tAm-upEti Soka-agni-kozaH iva gAtra-cayezu tezAm ||
   Śl_59 ||	Śt-_59 ||
   te jantavo girinadījalalolajīvā auṣṭhyaṃ tadeva narakeṣu ta eva cāgniḥ |	te jantavaH giri-nadI-jala-lola-jIvAH OzWyam tat-eva narakezu te eva ca-agniH |
   karmāṇi tatkhalu tathā pariṇāmayanti sarvaṃ yathā paramadāruṇamāvibhāti ||	karmANi tad-Kalu taTA pariNAmayanti sarvam yaTA parama-dAruNam-AviBAti ||
   Śl_60 ||	Śt-_60 ||
   ātmīyakarmavivaśākulaveṣṭitasya muktasya pāpanilayānnirayāṃ kathaṃcit |	AtmIya-karma-vivaSa-Akula-vezwitasya muktasya pApa-nilayAt-nirayAm kaTaMcid |
   lokeṣvanantagatibhedabhayākuleṣu mānuṣyakaṃ paramadurlabhameva jantoḥ ||	lokezu-ananta-gati-Beda-Baya-Akulezu mAnuzyakam parama-durlaBam-eva jantoH ||
   Śl_61 ||	Śt-_61 ||
   mleccheṣu vā narakapālasamavrateṣu tiryakṣu vā kṛtaparasparabhakṣaṇeṣu |	mlecCezu vA nara-kapAla-sama-vratezu tiryakzu vA kRta-paraspara-BakzaNezu |
   jātiṃ labheta yadi tatra tadeva śīlamāsevate patati yena punaḥ prapātam ||	jAtim laBeta yadi tatra tat-eva SIlam-Asevate patati yena punar prapAtam ||
   Śl_62 ||	Śt-_62 ||
   yatprāpya janmajaladherapi yānti pāramāropayanti śivamuttamabodhibījam |	yat-prApya janma-jalaDeH-api yAnti pAramAropayanti Sivam-uttama-boDi-bIjam |
   cintāmaṇerapi samabhyadhikaṃ guṇaughairmānuṣyakaṃ ka iha tadviphalīkaroti	cintAmaNeH-api samaByaDikam guNa-oGEH-mAnuzyakam kaH iha tad-viPalIkaroti
