   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   śarīraṃ tāvad iṣṭārthavyavacchinnā padāvalī // DKd_1.10 //	SarIram tAvat izwa-arTa-vyavacCinnA pada-AvalI // DKd-_1.10 //
   padyaṃ gadyaṃ ca miśraṃ ca tat tridhaiva vyavasthitam &	padyam gadyam ca miSram ca tat triDA-eva vyavasTitam &
   padyaṃ catuṣpadī tac ca vṛttaṃ jātir iti dvidhā // DKd_1.11 //	padyam catuzpadI tat ca vRttam jAtiH iti dviDA // DKd-_1.11 //
   chandovicityāṃ sakalas taprapañco nidarśitaḥ &	CandovicityAm sakalaH taprapaQcaH nidarSitaH &
   sā vidyā naur vivikṣūṇāṃ gambhīraṃ kāvyasāgaram // DKd_1.12 //	sA vidyA nOH vivikzUNAm gamBIram kAvya-sAgaram // DKd-_1.12 //
   muktakaṃ kulakaṃ koṣaḥ saṃghāta iti tādṛśaḥ &	muktakam kulakam kozaH saMGAtaH iti tAdRSaH &
   sargabandhāṃśarūpatvād anuktaḥ padyavistaraḥ // DKd_1.13 //	sarga-banDa-aMSa-rUpa-tvAt anuktaH padya-vistaraH // DKd-_1.13 //
   sargabandho mahākavyam ucyate tasya lakṣaṇam &	sargabanDaH mahAkavyam ucyate tasya lakzaNam &
   āśīrnamaskriyā vastunirdeśo vāpi tanmukham // DKd_1.14 //	ASIH-namaskriyA vastu-nirdeSaH vA-api tad-muKam // DKd-_1.14 //
   itihāsakathodbhūtam itarad vā sadāśrayam &	itihAsa-kaTA-udBUtam itarat vA sat-ASrayam &
   caturvargaphalāyattaṃ caturudāttanāyakam // DKd_1.15 //	caturvarga-Pala-Ayattam catur-udAtta-nAyakam // DKd-_1.15 //
   nagarārṇavaśailārtucandrārkodayavarṇanaiḥ &	nagara-arNava-SEla-Artu-candra-arka-udaya-varNanEH &
   udyānasalilakṛīḍāmadhupānaratotsavaiḥ // DKd_1.16 //	udyAna-salila-kRIxA-maDu-pAna-rata-utsavEH // DKd-_1.16 //
   vipralambhair vivāhaiś ca kumārodayavarṇanaiḥ &	vipralamBEH vivAhEH ca kumAra-udaya-varNanEH &
   mantradūtaprayāṇājināyakābhyudayair api // DKd_1.17 //	mantra-dUta-prayANa-Aji-nAyaka-aByudayEH api // DKd-_1.17 //
   alaṃkṛtam asaṃkṣiptaṃ rasabhāvanirantaram &	alaMkRtam asaMkziptam rasa-BAva-nirantaram &
   sargair anativistīrṇaiḥ śravyavṛttaiḥ susaṃdhibhiḥ // DKd_1.18 //	sargEH anativistIrNEH Sravya-vRttEH su-saMDiBiH // DKd-_1.18 //
   sarvatra bhinnavṛttāntair upetaṃ lokarañjanam &	sarvatra Binna-vRttAntEH upetam loka-raQjanam &
   kāvyaṃ kalpāntarasthāyi jāyate sad alaṃkṛti // DKd_1.19 //	kAvyam kalpa-antara-sTAyi jAyate sat alaMkRti // DKd-_1.19 //
   nyūnam apy atra yaiḥ kaiś cid aṅgaiḥ kāvyaṃ na duṣyati &	nyUnam api atra yEH kEH cit aFgEH kAvyam na duzyati &
   yady upātteṣu saṃpattir ārādhayati tadvidhaḥ // DKd_1.20 //	yadi upAttezu saMpattiH ArADayati tadviDaH // DKd-_1.20 //
   guṇataḥ prāg upanyasya nāyakaṃ tena vidviṣām &	guNataH prAk upanyasya nAyakam tena vidvizAm &
   nirākaraṇam ity eṣa mārgaḥ prakṛtisundaraḥ // DKd_1.21 //	nirAkaraNam iti eza mArgaH prakRti-sundaraH // DKd-_1.21 //
   vaṃśavīryaśrutādīni varṇayitvā ripor api &	vaMSa-vIrya-Sruta-AdIni varNayitvA ripoH api &
   tajjayān nāyakotkarṣakathanaṃ ca dhinoti naḥ // DKd_1.22 //	tad-jayAt nAyaka-utkarza-kaTanam ca Dinoti naH // DKd-_1.22 //
   apādaḥ padasaṃtāno gadyam ākhyāyikā kathā &	apAdaH pada-saMtAnaH gadyam AKyAyikA kaTA &
   iti tasya prabhedau dvau tayor ākhyāyikā kila // DKd_1.23 //	iti tasya praBedO dvO tayoH AKyAyikA kila // DKd-_1.23 //
   nāyakenaiva vācyānyā nāyakenetareṇa vā &	nAyakena-eva vAcyA-anyA nAyakena-itareNa vA &
   svaguṇāviṣkriyādoṣo nātrā bhūrtārthaśaṃsinaḥ // DKd_1.24 //	sva-guNa-AvizkriyA-dozaH na-atrAH BUrta-arTa-SaMsinaH // DKd-_1.24 //
   api tv aniyamo dṛṣṭas tatrāpy anyair udīraṇāt &	api tu aniyamaH dRzwaH tatra-api anyEH udIraNAt &
   anyo vaktā svayaṃ veti kīdṛg vā bhedakāraṇam (vl. lakṣaṇam) // DKd_1.25 //	anyaH vaktA svayam vA-iti kIdRS vA Beda-kAraNam (vl. lakzaNam) // DKd-_1.25 //
   vaktraṃ cāparavaktraṃ ca socchvāsatvaṃ ca bhedakam &	vaktram ca-aparavaktram ca sa-ucCvAsa-tvam ca Bedakam &
   cihnam ākhyāyikāyāś cet prasaṅgena kathāsv api // DKd_1.26 //	cihnam AKyAyikAyAH ced prasaFgena kaTAsu api // DKd-_1.26 //
   āryādivat praveśaḥ kiṃ na vaktrāparavaktrayoḥ &	Arya-Adi-vat praveSaH kim na vaktra-apara-vaktrayoH &
   bhedaś ca dṛṣṭo lambhādir ucchvāso vastu kiṃ tataḥ // DKd_1.27 //	BedaH ca dRzwaH lamBa-AdiH ucCvAsaH vastu kim tatas // DKd-_1.27 //
   tat kathākhyāyiketyuktā jātiḥ saṃjñādvayāṅkitā &	tat kaTA-AKyAyikA-iti-uktA jAtiH saMjQA-dvaya-aFkitA &
   atraivāntarbhaviṣyanti śeṣāś cākhyānajātayaḥ // DKd_1.28 //	atra-eva-antarBavizyanti SezAH ca-AKyAna-jAtayaH // DKd-_1.28 //
   kanyāharaṇasaṃgrāmavipralambhodayādayaḥ &	kanyA-haraNa-saMgrAma-vipralamBa-udaya-AdayaH &
   sargabandhasamā eva naite vaiśeṣikā guṇāḥ // DKd_1.29 //	sarga-banDa-samAH eva na-ete vESezikAH guNAH // DKd-_1.29 //
   kavibhāvakṛtaṃ cihnam anyatrāpi na duṣyati &	kavi-BAva-kRtam cihnam anyatra-api na duzyati &
   mukham iṣṭāsrthasaṃsiddhau kiṃ hi na syāt kṛtātmanām // DKd_1.30 //	muKam izwa-asrTa-saMsidDO kim hi na syAt kRtAtmanAm // DKd-_1.30 //
   miśrāṇi nāṭakādīni teṣām anyatra vistaraḥ &	miSrANi nAwaka-AdIni tezAm anyatra vistaraH &
   gadyapadyamayī kā cic campūr ity abhidhīyate // DKd_1.31 //	gadya-padya-mayI kA cit campUH iti aBiDIyate // DKd-_1.31 //
   tad etad vāṅmayaṃ bhūyaḥ saṃskṛtaṃ prākṛtaṃ tathā &	tat etat vAc-mayam BUyas saMskRtam prAkRtam taTA &
   apabhraṃśāś ca miśraṃ cety āhur āryāś caturvidhaṃ // DKd_1.32 //	apaBraMSAH ca miSram ca-iti AhuH AryAH caturviDam // DKd-_1.32 //
   saṃskṛtaṃ nāma daivī vāg anvākhyātā maharṣibhiḥ &	saMskRtam nAma dEvI vAc anvAKyAtA mahA-RziBiH &
   tadbhavas tatsamo deśīty anekaḥ prākṛtakramaḥ // DKd_1.33 //	tad-BavaH tad-samaH deSI-iti anekaH prAkRta-kramaH // DKd-_1.33 //
   mahārāṣṭrāśrayāṃ bhāṣāṃ prakṛṣṭaṃ prākṛtaṃ viduḥ &	mahArAzwra-ASrayAm BAzAm prakRzwam prAkRtam viduH &
   sāgaraḥ sūktiratnānāṃ setubandhādi yanmayaṃ // DKd_1.34 //	sAgaraH sUkti-ratnAnAm setu-banDa-Adi yad-mayam // DKd-_1.34 //
   śaurasenī ca gauḍī ca lāṭī cānyā ca tādṛśī &	SOrasenI ca gOxI ca lAwI ca-anyA ca tAdRSI &
   yāti prākṛtam ity evaṃ vyavahāreṣu saṃnidhim // DKd_1.35 //	yAti prAkRtam iti evam vyavahArezu saMniDim // DKd-_1.35 //
   ābhīrādigiraḥ kāvyeṣv apabhraṃśa iti smṛtāḥ &	ABIra-Adi-giraH kAvyezu apaBraMSaH iti smRtAH &
   śāstreṣu saṃskṛtād anyad apabhraṃśatayoditam // DKd_1.36 //	SAstrezu saMskRtAt anyat apaBraMSa-tayA-uditam // DKd-_1.36 //
   saṃskṛtaṃ sargabandhādi prākṛtaṃ skandhakādi yat &	saMskRtam sarga-banDa-Adi prAkRtam skanDaka-Adi yat &
   osarādir apabhraṃśo nāṭakādi tu miśrakam // DKd_1.37 //	osara-AdiH apaBraMSaH nAwaka-Adi tu miSrakam // DKd-_1.37 //
   kathā hi sarvabhāṣābhiḥ saṃskṛtena ca badhyate &	kaTA hi sarva-BAzABiH saMskRtena ca baDyate &
   bhūtabhāṣāmayīṃ prāhur adbhutārthāṃ bṛhatkathām // DKd_1.38 //	BUta-BAzA-mayIm prAhuH adButa-arTAm bRhat-kaTAm // DKd-_1.38 //
   lāsyacchalitaśampādi prekṣārtham itarat punaḥ &	lAsya=-Calita-SampA-Adi prekzA-arTam itarat punar &
   śravyam eveti saiṣāpi dvayī gatir udāhṛtā // DKd_1.39 //	Sravyam eva-iti sA-ezA-api dvayI gatiH udAhRtA // DKd-_1.39 //
   asty aneko girāṃ mārgaḥ sūkṣmabhedaḥ parasparam &	asti anekaH girAm mArgaH sUkzma-BedaH parasparam &
   tatra vaidarbhagauḍīyau varṇyete prasphuṭāntarau // DKd_1.40 //	tatra vEdarBa-gOxIyO varNyete prasPuwa-antarO // DKd-_1.40 //
   śleṣaḥ prasādaḥ samatā mādhuryaṃ sukumāratā &	SlezaH prasAdaH sama-tA mADuryam sukumAra-tA &
   arthavyaktir udāratvam ojaḥkāntisamādhayaḥ // DKd_1.41 //	arTa-vyaktiH udAra-tvam ojaH-kAnti-samADayaH // DKd-_1.41 //
   iti vaidarbhamārgasya prāṇā daśa guṇāḥ smṛtāḥ &	iti vEdarBa-mArgasya prANAH daSa guNAH smRtAH &
   eṣāṃ viparyayaḥ prāyo dṛśyate gauḍavartmani // DKd_1.42 //	ezAm viparyayaH prAyas dRSyate gOxavartmani // DKd-_1.42 //
   śliṣṭam aspṛṣṭaśaithilyam alpaprāṇākṣarottaram &	Slizwam aspRzwa-SETilyam alpa-prANa-akzara-uttaram &
   śithilaṃ mālatīmālā lolālikalilā yathā // DKd_1.43 //	SiTilam mAlatI-mAlA lola-ali-kalilAH yaTA // DKd-_1.43 //
   anuprāsadhiyā gauḍais tad iṣṭaṃ bandhagauravāt &	anuprAsa-DiyA gOxEH tat izwam banDa-gOravAt &
   vaidarbhamālatīdāma laṅghitaṃ bhramarair iti // DKd_1.44 //	vEdarBa-mAlatI-dAma laFGitam BramarEH iti // DKd-_1.44 //
   prasādavat prasiddhārtham indor indīvaradyuti &	prasAda-vat prasidDa-arTam indoH indIvara-dyuti &
   lakṣma lakṣmīṃ tanotīti pratītisubhagaṃ vacaḥ // DKd_1.45 //	lakzma lakzmIm tanoti-iti pratIti-suBagam vacaH // DKd-_1.45 //
   vyutpannam iti gauḍīyair nātirūḍham apīṣyate &	vyutpannam iti gOxIyEH na-atirUXam api-izyate &
   yathānatyarjunābjanmasadṛkṣāṅko valakṣaguḥ // DKd_1.46 //	yaTA-anati-arjuna-abjanmasat-RkzA-aFkaH valakzaguH // DKd-_1.46 //
   samaṃ bandheṣv aviṣamaṃ te mṛdusphuṭamadhyamāḥ &	samam banDezu avizamam te mRdu-sPuwa-maDyamAH &
   bandhā mṛdusphuṭonmiśravarṇavinyāsayonayaḥ // DKd_1.47 //	banDAH mRdu-sPuwa-unmiSra-varNa-vinyAsa-yonayaH // DKd-_1.47 //
   kokilālāpavācālo mamaiti malayānilaḥ &	kokila-AlApa-vAcAlaH mama-eti malaya-anilaH &
   ucchalacchīkarācchācchanirjharāmbhaḥkaṇokṣitaḥ // DKd_1.48 //	ucCalat-SIkara-acCa-acCa-nirJara-amBaH-kaNa-ukzitaH // DKd-_1.48 //
   candanapraṇayodgandhir mando malayamārutaḥ &	candana-praNaya-udganDiH mandaH malaya-mArutaH &
   spardhate ruddhamaddhairyo vararāmāmukhānilaiḥ // DKd_1.49 //	sparDate rudDa-mad-DEryaH vara-rAmA-muKa-anilEH // DKd-_1.49 //
   ity anālocya vaiṣamyam arthālaṃkāraḍamabarau &	iti anAlocya vEzamyam arTa-alaMkAra-xam-abarO &
   avekṣamāṇā vavṛdhe paurastyā kāvyapaddhatiḥ // DKd_1.50 //	avekzamANA vavRDe pOrastyA kAvya-padDatiH // DKd-_1.50 //
   madhuraṃ rasavad vāci vastuny api rasasthitiḥ &	maDuram rasavat vAci vastuni api rasa-sTitiH &
   yena mādyanti dhīmanto madhuneva madhuvratāḥ // DKd_1.51 //	yena mAdyanti DImantaH maDunA-iva maDu-vratAH // DKd-_1.51 //
   yayā kayā cic chrutyā yat samānam anubhūyate &	yayA kayA cit SrutyA yat samAnam anuBUyate &
   tadrūpā hi padāsattiḥ sānuprāsā rasāvahā // DKd_1.52 //	tad-rUpA hi pada-AsattiH sa-anuprAsAH rasa-AvahAH // DKd-_1.52 //
   eṣa rājā yadā lakṣmīṃ prāptavān brāhmaṇapriyaḥ &	eza rAjA yadA lakzmIm prAptavAn brAhmaNa-priyaH &
   tadā prabhṛti dharmasya loke 'sminn utsavo 'bhavat // DKd_1.53 //	tadA praBRti Darmasya loke asmin utsavaH aBavat // DKd-_1.53 //
   itīdaṃ nādṛtaṃ gauḍair anuprāsas tu tatpriyaḥ &	iti-idam na-AdRtam gOxEH anuprAsaH tu tad-priyaH &
   anuprāsād api prāyo vaidarbhair idam īpsitam // DKd_1.54 //	anuprAsAt api prAyas vEdarBEH idam Ipsitam // DKd-_1.54 //
   varṇāvṛttir anuprāsaḥ pādeṣu ca padeṣu ca &	varNa-AvRttiH anuprAsaH pAdezu ca padezu ca &
   pūrvānubhavasaṃskārabodhinī yady adūratā // DKd_1.55 //	pUrva-anuBava-saMskAra-boDinI yadi adUra-tA // DKd-_1.55 //
   candre śaranniśottaṃse kundastabakavibhrame &	candre Sarad-niSA-uttaMse kunda-stabaka-viBrame &
   indranīlanibhaṃ lakṣma saṃdadhāty alinaḥ śriyam // DKd_1.56 //	indranIla-niBam lakzma saMdaDAti alinaH Sriyam // DKd-_1.56 //
   cāru cāndramasaṃ bhīru bimbaṃ paśyaitad ambare &	cAru cAndramasam BIru bimbam paSya-etat ambare &
   manmano manmathākrāntaṃ nirdayaṃ hantum udyataṃ // DKd_1.57 //	mad-manaH manmaTa-AkrAntam nirdayam hantum udyatam // DKd-_1.57 //
   ity anuprāsam icchanti nātidūrāntaraśrutim &	iti anuprAsam icCanti na-ati-dUra-antara-Srutim &
   na tu rāmāmukhāmbhojasadṛśaś candramā iti // DKd_1.58 //	na tu rAmA-muKa-amBoja-sadRSaH candramAH iti // DKd-_1.58 //
   smaraḥ kharaḥ khalaḥ kāntaḥ kāyaḥ kopaś ca naḥ kṛśaḥ &	smaraH KaraH KalaH kAntaH kAyaH kopaH ca naH kRSaH &
   cyuto mānodhiko rāgo moho jātosavo gatāḥ // DKd_1.59 //	cyutaH mAnoDikaH rAgaH mohaH jAta-usavaH gatAH // DKd-_1.59 //
   ityādi bandhapāruṣyaṃ śaithilyaṃ ca niyacchati &	ityAdi banDa-pAruzyam SETilyam ca niyacCati &
   ato naivam anuprāsaṃ dākṣiṇātyāḥ prayuñjate // DKd_1.60 //	atas na-evam anuprAsam dAkziNAtyAH prayuQjate // DKd-_1.60 //
   āvṛttiṃ varṇasaṃghātagocarāṃ yamakaṃ viduḥ &	AvRttim varNa-saMGAta-gocarAm yamakam viduH &
   tat tu naikāntamadhuramataḥ paścād vidhāsyate // DKd_1.61 //	tat tu na-ekAnta-maDuram-atas paScAt viDAsyate // DKd-_1.61 //
   kāmaṃ sarvo 'py alaṃkāro rasam arthe niṣiñcati &	kAmam sarvaH api alaMkAraH rasam arTe niziQcati &
   tathāpy agrāmyataivainaṃ bhāraṃ vahati bhūyasā // DKd_1.62 //	taTA-api agrAmyatA-eva-enam BAram vahati BUyasA // DKd-_1.62 //
   kanye kāmayamānaṃ māṃ na tvaṃ kāmayase katham &	kanye kAmayamAnam mAm na tvam kAmayase kaTam &
   iti grāmyo 'yam arthātmā vairasyāya prakalpate // DKd_1.63 //	iti grAmyaH ayam arTa-AtmA vErasyAya prakalpate // DKd-_1.63 //
   kāmaṃ kandarpacāṇḍālo mayi vāmākṣi nirdayaḥ &	kAmam kandarpa-cANxAlaH mayi vAma-akzi nirdayaH &
   tvayi nirmatsaro diṣṭyety agrāmo 'rtho rasāvahaḥ // DKd_1.64 //	tvayi nirmatsaraH dizwyA-iti agrAmaH arTaH rasa-AvahaH // DKd-_1.64 //
   śabde 'pi grāmyatāsty eva sā sabhyetarakīrtanāt &	Sabde api grAmyatA-asti eva sA saByetara-kIrtanAt &
   yathā yakārādipadaṃ ratyutsavanirūpaṇe // DKd_1.65 //	yaTA yakAra-Adi-padam rati-utsava-nirUpaNe // DKd-_1.65 //
   padasaṃdhānavṛttyā vā vākyārthatvena vā punaḥ &	pada-saMDAna-vRttyA vA vAkya-arTa-tvena vA punar &
   duṣpratītikaraṃ grāmyaṃ yathā yā bhavataḥ priyā // DKd_1.66 //	duzpratIti-karam grAmyam yaTA yA BavataH priyA // DKd-_1.66 //
   kharaṃ prahatya viśrāntaḥ puruṣo vīryavān iti &	Karam prahatya viSrAntaH puruzaH vIryavAn iti &
   evamādi na śaṃsanti mārgayor ubhayor api // DKd_1.67 //	evamAdi na SaMsanti mArgayoH uBayoH api // DKd-_1.67 //
   bhaginībhagavatyādi sarvatraivānumanyate &	BaginI-Bagavati-Adi sarvatra-eva-anumanyate &
   vibhaktam iti mādhuryam ucyate sukumāratā // DKd_1.68 //	viBaktam iti mADuryam ucyate sukumAra-tA // DKd-_1.68 //
   aniṣṭhurākṣaraprāyaṃ sukumāram iheṣyate &	anizWura-akzara-prAyam su-kumAram iha-izyate &
   bandhaśaithilyadoṣo 'pi darśitaḥ sarvakomale // DKd_1.69 //	banDa-SETilya-dozaH api darSitaH sarva-komale // DKd-_1.69 //
   maṇḍalīkṛtya barhāṇi kaṇṭhair madhuragītibhiḥ &	maNxalIkRtya barhANi kaNWEH maDura-gItiBiH &
   kalāpinaḥ pranṛtyanti kāle jīmūtamālini // DKd_1.70 //	kalApinaH pranRtyanti kAle jImUta-mAlini // DKd-_1.70 //
   ity anūrjita evārtho nālaṃkāro 'pi tādṛśaḥ &	iti anUrjitaH eva-arTaH na-alaMkAraH api tAdRSaH &
   sukumāratayaivaitad ārohati satāṃ manaḥ // DKd_1.71 //	sukumAra-tayA-eva-etat Arohati satAm manaH // DKd-_1.71 //
   dīptam ity aparair bhūmnā kṛcchrodyam api badhyate &	dIptam iti aparEH BUmnA kRcCra-udyam api baDyate &
   nyakṣeṇa kṣapitaḥ pakṣaḥ kṣatriyāṇāṃ kṣaṇād iti // DKd_1.72 //	nyakzeNa kzapitaH pakzaH kzatriyANAm kzaNAt iti // DKd-_1.72 //
   arthavyaktir aneyatvam arthasya hariṇoddhṛtā &	arTa-vyaktiH aneya-tvam arTasya hariNA-udDRtA &
   bhūḥ khurakṣuṇṇanāgāsṛglohitād udadher iti // DKd_1.73 //	BUH Kura-kzuNNa-nAga-asRk-lohitAt udaDeH iti // DKd-_1.73 //
   mahī mahāvarāheṇa lohitād uddhṛtodadheḥ &	mahI mahAvarAheNa lohitAt udDRta-udaDeH &
   itīyaty eva nirdiṣṭe neyatvam uragāsṛjaḥ // DKd_1.74 //	itIyati eva nirdizwe neya-tvam uraga-asRjaH // DKd-_1.74 //
   nedṛśaṃ bahu manyatne mārgayor ubhayor api &	na-IdRSam bahu manyatne mArgayoH uBayoH api &
   na hi pratītiḥ subhagā śabdanyāyavilaṅghinī // DKd_1.75 //	na hi pratItiH suBagA Sabda-nyAya-vilaFGinI // DKd-_1.75 //
   utkarṣavān guṇaḥ kaś cid yasminn ukte pratīyate &	utkarzavAn guNaH kaH cit yasmin ukte pratIyate &
   tadudārāhvayaṃ tena sanāthā kāvyapaddhatiḥ // DKd_1.76 //	tad-udAra-Ahvayam tena sa-nATA kAvya-padDatiH // DKd-_1.76 //
   arthiṇāṃ kṛpaṇā dṛṣṭis tvanmukhe patitā sakṛt &	arTiNAm kRpaNA dRzwiH tvad-muKe patitA sakRt &
   tadavasthā punar deva nānyasya mukham īkṣate // DKd_1.77 //	tad-avasTA punar deva na-anyasya muKam Ikzate // DKd-_1.77 //
   iti tyāgasya vākye 'sminn utkarṣaḥ sādhu lakṣyate &	iti tyAgasya vAkye asmin utkarzaH sADu lakzyate &
   anenaiva pathānyac ca samānanyāyam ūhyatām // DKd_1.78 //	anena-eva paTA-anyat ca samAna-nyAyam UhyatAm // DKd-_1.78 //
   ślāghyair viśeṣaṇair yuktam udāraṃ kaiś cid iṣyate &	SlAGyEH viSezaNEH yuktam udAram kEH cit izyate &
   yathā līlāmbujakrīḍāsarohemāṅgadādayaḥ // DKd_1.79 //	yaTA lIlA-ambuja-krIxA-saraH-hema-aFgada-AdayaH // DKd-_1.79 //
   ojaḥ samāsabhūyastvam etad gadyasya jīvitam &	ojaH samAsa-BUyaH-tvam etat gadyasya jIvitam &
   padye 'py adakṣiṇātyānām idam ekaṃ parāyaṇam // DKd_1.80 //	padye api adakziNAtyAnAm idam ekam parAyaNam // DKd-_1.80 //
   tadgurūṇāṃ laghūnāṃ ca bāhulyālpatvamiśraṇaiḥ &	tad-gurUNAm laGUnAm ca bAhulya-alpa-tva-miSraNEH &
   uccāvacaprakāraṃ tad dṛśyam ākhyāyikādiṣu // DKd_1.81 //	uccAvaca-prakAram tat dRSyam AKyAyikA-Adizu // DKd-_1.81 //
   astamastakaparyastasamastārkāṃśusaṃstarā &	asta-mastaka-paryasta-samasta-arka-aMSu-saMstarA &
   pīnastanasthitātāṃrakamravastreva vāruṇī // DKd_1.82 //	pIna-stana-sTita-AtAMra-kamra-vastrA-iva vAruNI // DKd-_1.82 //
   iti padye 'pi paurastyā badhnanty ojasvinīgiraḥ &	iti padye api pOrastyAH baDnanti ojasvinI-giraH &
   anye tv anākulaṃ hṛdyam icchanty ojo girāṃ yathā // DKd_1.83 //	anye tu anAkulam hRdyam icCanti ojaH girAm yaTA // DKd-_1.83 //
   payodharataṭotsaṅgalagnasaṃdhyātapāṃśukā &	payoDara-tawa-utsaFga-lagna-saMDyA-tapa-aMSukAH &
   kasya kāmāturaṃ ceto vāruṇī na kariṣyati // DKd_1.84 //	kasya kAma-Aturam cetaH vAruNI na karizyati // DKd-_1.84 //
   kāntaṃ sarvajagatkāntaṃ laukikārthān atikramāt &	kAntam sarva-jagat-kAntam lOkika-arTAn atikramAt &
   tac ca vārtābhidhāneṣu varṇanāsv api dṛśyate // DKd_1.85 //	tat ca vArtA-aBiDAnezu varNanAsu api dRSyate // DKd-_1.85 //
   gṛhāṇi nāma tāny eva taporāśir bhavādṛśaḥ &	gRhANi nAma tAni eva tapaH-rASiH BavAdRSaH &
   saṃbhāvayati yāny eva pāvanaiḥ pādapāṃsubhiḥ // DKd_1.86 //	saMBAvayati yAni eva pAvanEH pAda-pAMsuBiH // DKd-_1.86 //
   anayor anavadyāṅgi stanayor jṛmbhamāṇayoḥ &	anayoH anavadya-aFgi stanayoH jRmBamANayoH &
   avakāśo na paryāptas tava bāhulatāntare // DKd_1.87 //	avakASaH na paryAptaH tava bAhu-latA-antare // DKd-_1.87 //
   iti sambhāvyam evaitad viśeṣākhyānasaṃskṛtam &	iti samBAvyam eva-etat viSeza-AKyAna-saMskRtam &
   kāntaṃ bhavati sarvasya lokayātrānuvartinaḥ // DKd_1.88 //	kAntam Bavati sarvasya lokayAtrA-anuvartinaH // DKd-_1.88 //
   lokātīta ivātyartham adhyāropya vivakṣitaḥ &	loka-atItaH iva-atyarTam aDyAropya vivakzitaH &
   yo 'rthas tenātituṣyanti vidagdhā netare janāḥ // DKd_1.89 //	yaH arTaH tena-atituzyanti vidagDAH na-itare janAH // DKd-_1.89 //
   devādhiṣṇyam ivārādhyam adyaprabhṛti no gṛham &	deva-ADizNyam iva-ArADyam adya-praBRti naH gRham &
   yuṣmatpādarajaḥpātadhautaniḥśeṣakilbiṣam // DKd_1.90 //	yuzmad-pAda-rajaH-pAta-DOta-niHSeza-kilbizam // DKd-_1.90 //
   alpaṃ nirmitam ākāśam anālocyaiva vedhasā &	alpam nirmitam AkASam anAlocya-eva veDasA &
   idam evaṃvidhiṃ bhāvi bhavatyāḥ stanajṛmbhaṇam // DKd_1.91 //	idam evaMviDim BAvi BavatyAH stana-jRmBaNam // DKd-_1.91 //
   idam atyuktir ity uktam etad gauḍopalālitam &	idam atyuktiH iti uktam etat gOxa-upalAlitam &
