   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   bījaṃsarvaṃsamādāya prokṣaṇaiḥprākṣaṇañcaret // BhS_1.43 //	bIjaMsarvaMsam AdAya prokzaNEH prAkzaNaQcaret // BhH _1.43 //
   "imebījāḥpraro''heti saptagrāmyāṇyataḥparam /	"imebIjAH praraH aaha iti sapta grAmyANi atas param /
   vāpayitvātubījāni "devitvayi'' samuccaran // BhS_1.44 //	vApayi tvAtu bIjAni "devi tvayi aa samuccaran // BhH _1.44 //
   "duhatāṃuhadiva'' mityuktvāto yantatrasamarpayet /	"duhatAMuha diva aa miti uktvA ataH yantatra samarpayet /
   rakṣāṃsamyagvidhāyātra cācāryamabhipūjayet // BhS_1.45 //	rakzAMsamyak viDAya atra ca AcAryam aBipUjayet // BhH _1.45 //
   "sasyā'' imetimantreṇa sasyaṃpakvaṃpraṇamyaca /	"sasyA aa ima iti mantreNa sasi aMpa kvaMpraNamya ca /
   viṣvakcenādibhirmantraiśśāntañcāpisamarcayet // BhS_1.46 //	vizvak cena AdiBiH mantrEH SAn taQca apisamarcayet // BhH _1.46 //
   "śuddhā'' imetimantreṇa gobhyassamyaṅnivedayet // BhS_1.47 //	"SudDA aa ima iti mantreNa goByassamyak nivedayet // BhH _1.47 //
   iti śrīvaikhānase bhagavacchāstre bhṛguproktāyāṃ	iti SrI vEKAnase Bagavat SAstre BRgu proktAyAm
   saṃhitāyāṃ prakīrṇādhikāre prathamo 'dhyāyaḥ.	saMhitAyAm prakIrNa aDikAre praTamaH aDyAyaH.
   atha dvitīyo 'dhyāyaḥ	aTa dvitIyaH aDyAyaH
   athadvitīyo 'dhyāyaḥ.	aTadvitIyaH aDyAyaH.
   śaṅkusthāpanam	SaFku sTApanam
   ataḥparaṃpravakṣyāmi śaṅkusthāpanamuttamam /	atas paraMpravakzyAmi SaFku sTApanam uttamam /
   meṣantathaivavṛṣabhaṅgate sūryedinetathā // BhS_2.1 //	mezan taTA eva vRza BaFgate sUryedinetaTA // BhH _2.1 //
   kṛtvāsamatalāṃbhūmiṃ gomayenatulevayet /	kRtvA sama tala aMBUmim gomayena tulevayet /
   tadbahibhrāmayetsū tradvayantenai vamānataḥ // BhS_2.2 //	tad bahi BrAmayet sU tradvayantenE vamAnataH // BhH _2.2 //
   prācīsādhanam	prAcI sADanam
   pūrvāhṇecāparāhṇeca śaṅkuchāyāntulāñchayet /	pUrvAhNeca aparAhNeca SaFku CAyA antu lAQCayet /
   tatassūtratrayaṃvāthapāti yecchaṅkumathyame // BhS_2.3 //	tatassUtra trayaMvATapAti yet SaFkumaTyame // BhH _2.3 //
   bhrāmayedadhiker'ṣantu nyūnetāvadvivardhayet /	BrAmayet aDiker azantu nyUnetAvat vivarDayet /
   prācīntatsūtramānena madhyamenai vakalbayet // BhS_2.4 //	prAcIntat sUtra mAnena maDyamenE vakalbayet // BhH _2.4 //
   udaksūtraṃbhavettatra kṛtvātucaturaśrakam /	udak sUtraMBavet tatra kRtvA atu caturaSrakam /
   pañcagavyenasaṃprokṣya puṇyāhamapivācayet // BhS_2.5 //	paQcagavyena AsaMprokzya puNya aham apivAcayet // BhH _2.5 //
   vāstupada devatāpūjanam	vAstupada devatA pUjanam
   ekāśītipadānkṛtvāvāstu devānprapūjayet /	ekASIti padAn kRtvA avAstu devAn prapUjayet /
   īśānādi samabhyarcya dvātriṃśatbadabhāginaḥ // BhS_2.6 //	ISAna Adi samaByarcya dvAtriMSat bada BAginaH // BhH _2.6 //
   īśānañcaivaparjanyaṃ jayastañcamahendrakam /	ISAnaQca eva parjanyam jayaH taQca mahA indrakam /
   ādityaṃsatyakaṃbhṛśamanta rikṣañcapūrvagān // BhS_2.7 //	AdityaMsati akaMBRSamanta rikzaQca pUrva gAn // BhH _2.7 //
   agniḥpūṣācavitatha grahākṣatayamāstathā /	agniH pUzA cavitaTa graha akzata yamAH taTA /
   gantharvobhṛṅgarājarṣī dakṣiṇepadadevatāḥ // BhS_2.8 //	ganTarvaH BRFgarAjarzI dakziNepada devatAH // BhH _2.8 //
   paścimenir ṛtiścaiva dauvārikastathaivaca /	paScimeniH RtiH ca eva dOvArikaH taTA eva ca /
   sugrīvaḥpuṣpadantaśca varuṇaścāsurastathā // BhS_2.9 //	sugrIvaH puzpadantaH ca varuNaH ca AsuraH taTA // BhH _2.9 //
   śoṣaṇaścaivarāgaścate cāṣṭaukadhitāssurāḥ /	SozaNaH ca eva rAgaH cate ca azwOka Dita AssurAH /
   uttarejavanonāga mukhyaubhallāṭa evaca // BhS_2.10 //	uttareja vanaH nAga muKya OBallAwaH eva ca // BhH _2.10 //
   somor'galo 'ditiścaiva sūridevastathaivaca /	somoH agalaH aditiH ca eva sUri devaH taTA eva ca /
   brahmānavapadaṃbhuṅkai vāstumadhyeviśeṣataḥ // BhS_2.11 //	brahma anavapadaMBuFkEH vAstu maDyeviSezataH // BhH _2.11 //
   aryamādaṇḍa bhṛccaivapāśabhṛddhanadastathā /	aryamAdaNxa BRt ca eva pASa BRdDa nadaH taTA /
   brahmaṇaścacaturdikṣu sthitāṣṣaṭpadabhāginaḥ // BhS_2.12 //	brahmaNaH ca catur dikzu sTita azzaz pada BAginaH // BhH _2.12 //
   apaścaivāpavatsaśca savitāsāvitra evaca /	apaH ca eva apavatsaH ca savitA sAvitraH eva ca /
   indraścaivatathendrājo rudrorudrāja evaca // BhS_2.13 //	indraH ca eva taTA indrAjaH rudra UH udrAjaH eva ca // BhH _2.13 //
   etedvipadabhoktāro vidikṣaṣṭausthitāssurāḥ /	etet vipada BoktAraH vidikzazwOsTita AssurAH /
   carakīdevatāriśca pūtanāpāparākṣasī // BhS_2.14 //	carakI devatA ariH ca pUtanA pApa rAkzasI // BhH _2.14 //
   īśānādiṣukoṇeṣu bāhyasthāḥpadavarjitāḥ /	ISAna Adizu koNezu bAhya sTAH pada varjitAH /
   evaṃ vinyasyadevāṃntu vāstu devaṃ prakalpayet // BhS_2.15 //	evam vinyasya devAn= tu vA astu devam prakalpayet // BhH _2.15 //
   vāstupuruṣalakṣaṇam pūjā	vAstu puruza lakzaNam  pUjA
   vāstunaśśira īśānepādau nairṛtikecaret /	vAstunaH SiraH ISAnepAdO nErRti kecaret /
   hastausaritpataujñeyāvagnau bāhurudāhṛtaḥ // BhS_2.16 //	hastOsarit pata OjQeyO= agnO bAhuH udAhRtaH // BhH _2.16 //
   apikaṇṭhaitiproktaṃ hṛdayañcāpavatsake /	api kaNWa eti proktam hRdayaQca apa vatsake /
   nābhirbrahmaṇisaṃkhyātā kukṣassavitṛsaṃjñake // BhS_2.17 //	nABiH brahmaNi saMKyAtA kukza ssavitR saMjQake // BhH _2.17 //
   indraindrājake guhyamūrumūlevidhānataḥ /	indra endrAjake guhyam Uru mUle viDAnataH /
   pārśvantudakṣiṇaṃ proktaṃvāmamevaṃ prakalpayet // BhS_2.18 //	pArSvantu dakziNam proktaMvAmam evam prakalpayet // BhH _2.18 //
   śetevāstubhuvaṃ prāpyavāstudevastvadhomukhaḥ /	Seteva astu Buvam prApya vAstu devaH tu aDomuKaH /
   puṇyāhaṃvācayitvātu prokṣaṇaiḥprokṣaṇañcaret // BhS_2.19 //	puNya ahaMvAcayitvA atu prokzaNEH prokzaNaQcaret // BhH _2.19 //
   puṣpairgandhaistathādhūpairdī paiścāpiprapūjayet /	puzpEH ganDEH taTA aDUpEH dI pEH cApi prapUjayet /
   namaskāraiścasaṃyuktaiḥ praṇavādyaissvanāmabhiḥ // BhS_2.20 //	namaskArEH ca saMyuktEH praNava AdyEH sva nAmaBiH // BhH _2.20 //
   śalyaparīkṣā pūjanāntespṛśetkartā yamaṅgantannirīkṣayet /	Salya parIkzA pUjana antespRSet kartA yam aFgantat nirIkzayet /
   vāstudehe 'pitatraivaśalyaṃ brūyādyathārthataḥ // BhS_2.21 //	vAstu dehe api tatra eva Salyam brUyAt yaTArTataH // BhH _2.21 //
   astiśalyaṃśirassparśe taddhastadvayamānataḥ /	asti SalyaMSirassparSe tad hasta dvayamAnataH /
   kaṇṭhasparśegalecaiva hastamātresamādiśet // BhS_2.22 //	kaNWa sparSegaleca eva hasta mAtresamAdiSet // BhH _2.22 //
   upasparśāttribhirhāstai śśruṅkhalāśalyamādiśet /	upasparSAt triBiH hAstE SSruFKalA Salyam AdiSet /
   hastamātraikarasparśāt khaṭyāpādaṃsamādiśet // BhS_2.23 //	hasta mAtra ekara sparSAt KawyA apAdaMsam AdiSet // BhH _2.23 //
   bahusaṃsparśanātkartu raṅgārastutrihastataḥ /	bahu saMsparSanAt kartu raFgAra stutri hastataH /
   gulbhaisarpādibhirduṣṭaṃ vitastidvayamānataḥ // BhS_2.24 //	gulBEsarpa AdiBiH duzwam vitasti dvaya mAnataH // BhH _2.24 //
   pādekaṇṭakamityuktaṃ ṣaḍvitastipramāṇataḥ /	pAdekaNwakam iti uktam zaz vitasti pramANataH /
   kaniṣṭhāṅguṣṭhayosspṛrśāddhastantatrasamācaret // BhS_2.25 //	kanizWA aFguzWayosspRrSAdDaH tantatra samAcaret // BhH _2.25 //
   vyayādhikecaturhāste jānusparśāttataḥparam /	vyaya aDikecatur hAste jAnu sparSAt tatas param /
   śalyaṃviśodhyabhūmintāṃ talaṅkṛtvāsamānataḥ // BhS_2.26 //	SalyaMviSoDya BUmintAm talaFkRtvA asamAnataH // BhH _2.26 //
   pañcagavyenasaṃprokṣya vāstudevānprapūjayet /	paQcagavyena saMprokzya vAstudevAn prapUjayet /
   vāstudevatābaliḥ	vAstu devatA baliH
   droṇandroṇārthakaṃvāpitaṇḍulānpācayettataḥ // BhS_2.27 //	droNandroNa arTa kaMvApi taNxulAn pAcayet tatas // BhH _2.27 //
   dadhiguḍājyasaṃyuktaṃ sarveṣāñcabalindadet /	daDi guxa Ajya saMyuktam sarvezAQca balindadet /
   brahmadīnāṃnamostaṃvā svāhāstaṃvābalirbhavet // BhS_2.28 //	brahma dInAM namoH taMvA svAhAH taMvAbaliH Bavet // BhH _2.28 //
   kṛtvātu balidānañca puṇyāhamapivācayet // BhS_2.29 //	kRtvA atu bali dAnaQca puNya aham apivAcayet // BhH _2.29 //
   itiśrīvaikhānase bhagavacchāstre bhṛguproktāyāṃ saṃhitāyāṃ prakīrṇādhikāre	iti SrI vEKAnase Bagavat SAstre BRgu proktAyAm saMhitAyAm prakIrNa aDikAre
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   atha tṛtīyo 'dhyāyaḥ	aTa tRtIyaH aDyAyaH
   atha tṛtīyo 'dhyāyaḥ	aTa tRtIyaH aDyAyaH
   vimānabhedāḥ	vimAna BedAH
   athavinyāsarūpāṇi pravakṣanteyathākramam /	aTa vinyAsa rUpANi pravakzanteyaTAkramam /
   śrīvatsaṃprathamaṃproktaṃ nandyāvartandvitīyakam // BhS_3.1 //	SrIvat saMpraTamaMproktam nandyAvartandvitIyakam // BhH _3.1 //
   tṛtīyaṃsvastikaṃvindyāccaturthaṃbhadrakaṃsmṛtam /	tRtIyaMsvasti kaMvindyAt caturTaMBadrakaMsmRtam /
   daṇḍakaṃpañcamantvāhur vedikaṃṣaṣṭhamucyate // BhS_3.2 //	daNxa kaMpaQcam antu AhuH vedikaMzazWam ucyate // BhH _3.2 //
   kuṃbhakaṃsaptamaṃvindyā daṣṭamaṃpadmakantathā /	kuMBa kaMsaptamaMvindyAH dazwam aMpadma kantaTA /
   navamaṃsyādrathapadaṃ daśamantuprakīrṇakam // BhS_3.3 //	nava maMsyAt raTa padam daSamantu prakIrNakam // BhH _3.3 //
   eteṣāmākṛtiṃvakṣye yathāvadanupūrvaśaḥ /	etezAm AkRtiMvakzye yaTAvat anupUrvaSas /
   nyatradaṇḍakātsarvaṃ bahirvīdhīsamanvitam // BhS_3.4 //	nyatra daNxakAt sarvam bahis vIDI samanvitam // BhH _3.4 //
   tasyacāstagantaiścihnaiśśrīvatsādyaṃvidhīyate /	tasya ca astagantEH cihnEH SrIvatsa AdyaMviDIyate /
   ekaprācīnavīdhīka mudīcīnānyavīthikam // BhS_3.5 //	eka prAcInavIDIka mudIcInAni avITikam // BhH _3.5 //
   śrīvatsamitivijñeyaṃ sarvavidyāsamaṃmatam /	SrIvatsam iti vijQeyam sarva vidyA samaMmatam /
   madhyekoṇaṃ caturdvāraṃ prāgīśādipradakṣiṇam // BhS_3.6 //	maDyekoNam catur dvAram prAk ISa Adi pradakziNam // BhH _3.6 //
   tannigantojavīthīkaṃ nandyāvartamitismṛtam /	tat nigantaH ja vITIkam nandyAvarta miti smRtam /
   svastikantvojavīthyantaṃ bhadraṃmadhyapratolikam // BhS_3.7 //	svasti kantvoja vITI antam BadraMmaDya pratolikam // BhH _3.7 //
   ekaprācīnakandaṇḍaṃ caturaśrantuvedikam /	eka prAcIna kandaNxam caturaSrantu vedikam /
   vṛttaṅkuṃbhakamuddiṣṭaṃ padmakaṃsyāddvivedikam // BhS_3.8 //	vRttaFkuMBakam uddizwam padma kaMsyAt dvivedikam // BhH _3.8 //
   brahmakośāṣṭakadvāravīthīrathapadākṛtiḥ /	brahma koSa azwaka dvAra vITI raTa pada AkRtiH /
   prāgudakpravaṇañcaiva prakīrṇakamudāhṛtam // BhS_3.9 //	prAc udak pravaNaQca eva prakIrNakam udAhRtam // BhH _3.9 //
   dvidvāraṃvācatudvānraṃ manastoyuktitobhavet /	dvi dvAraMvAcatu dvAnram manaH taH yuktitoBavet /
   ayuktadvāradevasya bhajanaṃnābhidhīyate // BhS_3.10 //	ayukta dvAra devasya BajanaMna aBiDIyate // BhH _3.10 //
   daṇḍakastenamānena yonigrahaṇamucyate /	daNxakaH tena mAnena yoni grahaNam ucyate /
