   kūrmapurāṇam 1	kUrmapurANam 1
   tvaṃ hi svāyaṃbhuve yajñe sutyāhe vitate hariḥ /	tvam hi svAyaMBuve yajQe sutya ahe vitate hariH /
   saṃbhūtaḥ saṃhitāṃ vaktuṃ svāṃśena puruṣottamaḥ // KūrmP_1,1.6 //	saMBUtaH saMhitAm vaktum sva aMSena puruzottamaH // KUrmP_1,1.6 //
   tasmād bhavantaṃ pṛcchāmaḥ purāṇaṃ kaurmamuttamam /	tasmAt Bavantam pRcCAmaH purANam kOrmam uttamam /
   vaktumarhasi cāsmākaṃ purāṇārthaviśārada // KūrmP_1,1.7 //	vaktum arhasi ca asmAkam purANa arTa viSArada // KUrmP_1,1.7 //
   munīnāṃ vacanaṃ śrutvā sūtaḥ paurāṇikottamaḥ /	munInAm vacanam SrutvA sUtaH pOrANika uttamaH /
   praṇamya manasā prāha guruṃ satyavatīsutam // KūrmP_1,1.8 //	praNamya manasA prAha gurum satyavatI sutam // KUrmP_1,1.8 //
   romaharṣaṇa uvāca	romaharzaNaH uvAca
   namaskṛtvā jagadyoniṃ kūrmarūpadharaṃ harim /	namaskRtvA jagadyonim kUrma rUpa Daram harim /
   vakṣye paurāṇikīṃ divyāṃ kathāṃ pāpapraṇāśinīm // KūrmP_1,1.9 //	vakzye pOrANikIm divyAm kaTAm pApa praNASinIm // KUrmP_1,1.9 //
   yāṃ śrutvā pāpakarmāpi gaccheta paramāṃ gatim /	yAm SrutvA pApa karmA api gacCeta paramAm gatim /
   na nāstike kathāṃ puṇyāmimāṃ brūyāt kadācana // KūrmP_1,1.10 //	na nAstike kaTAm puNyAm imAm brUyAt kadAcana // KUrmP_1,1.10 //
   śraddadhānāya śāntāya dhārmikāya dvijātaye /	SraddaDAnAya SAntAya DArmikAya dvijAtaye /
   imāṃ kathāmanubrūyāt sākṣānnārāyaṇeritām // KūrmP_1,1.11 //	imAm kaTAm anubrUyAt sAkzAt nArAyaNa IritAm // KUrmP_1,1.11 //
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca /	sargaH ca pratisargaH ca vaMSaH manvantarANi ca /
   vaṃśānucaritaṃ caiva purāṇaṃ pañcalakṣaṇam // KūrmP_1,1.12 //	vaMSAnucaritam ca eva purANam paQca lakzaNam // KUrmP_1,1.12 //
   brāhmaṃ purāṇaṃ prathamaṃ pādmaṃ vaiṣṇavameva ca /	brAhmam purANam praTamam pAdmam vEzNavam eva ca /
   śaivaṃ bhāgavataṃ caiva bhaviṣyaṃ nāradīyakam // KūrmP_1,1.13 //	SEvam BAgavatam ca eva Bavizyam nAradIyakam // KUrmP_1,1.13 //
   mārkaṇḍeyamathāgneyaṃ brahmavaivartameva ca /	mArkaNxeyam aTa Agneyam brahmavEvartam eva ca /
   laiṅgaṃ tathā ca vārāhaṃ skāndaṃ vāmanameva ca // KūrmP_1,1.14 //	lEFgam taTA ca vArAham skAndam vAmanam eva ca // KUrmP_1,1.14 //
   kaurmaṃ mātsyaṃ gāruḍaṃ ca vāyavīyamanantaram /	kOrmam mAtsyam gAruxam ca vAyavIyam anantaram /
   aṣṭādaśaṃ samuddiṣṭaṃ brahmaṇḍamiti saṃjñitam // KūrmP_1,1.15 //	azwAdaSam samuddizwam brahmaNxam iti saMjQitam // KUrmP_1,1.15 //
   anyānyuparāṇāni munibhiḥ kathitāni tu /	anyAni uparANAni muniBiH kaTitAni tu /
   aṣṭādaśapurāṇāni śrutvā saṃkṣepato dvijāḥ // KūrmP_1,1.16 //	azwAdaSa purANAni SrutvA saMkzepataH dvijAH // KUrmP_1,1.16 //
   ādyaṃ sanatkumāroktaṃ nārasihamataḥ param /	Adyam sanatkumAra uktam nArasiham atas param /
   tṛtīyaṃ skāndamuddiṣṭaṃ kumāreṇa tu bhāṣitam // KūrmP_1,1.17 //	tRtIyam skAndam uddizwam kumAreNa tu BAzitam // KUrmP_1,1.17 //
   caturthaṃ śivadharmākhyaṃ sākṣānnandīśabhāṣitam /	caturTam SivaDarma AKyam sAkzAt nandISa BAzitam /
   durvāsasoktamāścaryaṃ nāradoktamataḥ param // KūrmP_1,1.18 //	durvAsasA uktam AScaryam nArada uktam atas param // KUrmP_1,1.18 //
   kāpilaṃ mānavaṃ caiva tathaivośanaseritam /	kApilam mAnavam ca eva taTA eva uSanasA Iritam /
   brahmāṇḍaṃ vāruṇaṃ cātha kālikāhvayameva ca // KūrmP_1,1.19 //	brahmANxam vAruNam ca aTa kAlikA Ahvayam eva ca // KUrmP_1,1.19 //
   māheśvaraṃ tathā sāmbaṃ sauraṃ sarvārthasaṃcayam /	mAheSvaram taTA sAmbam sOram sarva arTa saMcayam /
   parāśaroktamaparaṃ mārīcaṃ bhārgavāhvayam // KūrmP_1,1.20 //	parASara uktam aparam mArIcam BArgava Ahvayam // KUrmP_1,1.20 //
   idaṃ tu pañcadaśamaṃ purāṇaṃ kaurmamuttamam /	idam tu paQcadaSamam purANam kOrmam uttamam /
   caturdhā saṃsthitaṃ puṇyaṃ saṃhitānāṃ prabhedataḥ // KūrmP_1,1.21 //	caturDA saMsTitam puNyam saMhitAnAm praBedataH // KUrmP_1,1.21 //
   brāhmī bhagavatī saurī vaiṣṇavī ca prakīrtitāḥ /	brAhmI BagavatI sOrI vEzNavI ca prakIrtitAH /
   catastraḥ saṃhitāḥ puṇyā dharmakāmārthamokṣadāḥ // KūrmP_1,1.22 //	catastraH saMhitAH puNyAH Darma kAma arTa mokza dAH // KUrmP_1,1.22 //
   iyaṃ tu saṃhitā brāhmī caturvedaistu sammitā /	iyam tu saMhitA brAhmI catur vedEH tu sammitAH /
   bhavanti ṣaṭsahastrāṇi ślokānāmatra saṃkhyayā // KūrmP_1,1.23 //	Bavanti zawsahastrANi SlokAnAm atra saMKyayA // KUrmP_1,1.23 //
   yatra dharmārthakāmānāṃ mokṣasya ca munīśvarāḥ /	yatra Darma arTa kAmAnAm mokzasya ca muni ISvarAH /
   māhātmyamakhilaṃ brahma jñāyate parameśvaraḥ // KūrmP_1,1.24 //	mAhAtmyam aKilam brahma jQAyate parameSvaraH // KUrmP_1,1.24 //
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca /	sargaH ca pratisargaH ca vaMSaH manvantarANi ca /
   vaṃśānucaritaṃ divyāḥ puṇyāḥ prāsaṅgikīḥ kathāḥ // KūrmP_1,1.25 //	vaMSAnucaritam divyAH puNyAH prAsaFgikIH kaTAH // KUrmP_1,1.25 //
   brāhmaṇādyairiyaṃ dhāryā dhārmikaiḥ śāntamānasaiḥ /	brAhmaNa AdyEH iyam DAryA DArmikEH SAnta mAnasEH /
   tāmahaṃ vartayiṣyāmi vyāsena kathitāṃ purā // KūrmP_1,1.26 //	tAm aham vartayizyAmi vyAsena kaTitAm purA // KUrmP_1,1.26 //
   purāmṛtārthaṃ daiteyadānavaiḥ saha devatāḥ /	purA amRta arTam dEteya dAnavEH saha devatAH /
   manthānaṃ mandaraṃ kṛtvā mamanthuḥ kṣīrasāgaram // KūrmP_1,1.27 //	manTAnam mandaram kRtvA mamanTuH kzIrasAgaram // KUrmP_1,1.27 //
   mathyamāne tadā tasmin kūrmarūpī janārdanaḥ /	maTyamAne tadA tasmin kUrma rUpI janArdanaH /
   babhāra mandaraṃ devo devānāṃ hitakāmyayā // KūrmP_1,1.28 //	baBAra mandaram devaH devAnAm hita kAmyayA // KUrmP_1,1.28 //
   devāśca tuṣṭuvurdevaṃ nāradādyā maharṣayaḥ /	devAH ca tuzwuvuH devam nArada AdyAH mahA RzayaH /
   kūrmarūpadharaṃ dṛṣṭvā sākṣiṇaṃ viṣṇumavyayam // KūrmP_1,1.29 //	kUrma rUpa Daram dRzwvA sAkziNam vizNum avyayam // KUrmP_1,1.29 //
   tadantare 'bhavad devī śrīrnārāyaṇavallabhā /	tad antare aBavat devI SrIH nArAyaNa vallaBA /
   jagrāha bhagavān viṣṇustāmeva puruṣottamaḥ // KūrmP_1,1.30 //	jagrAha BagavAn vizNuH tAm eva puruzottamaH // KUrmP_1,1.30 //
   tejasā viṣṇumavyaktaṃ nāradādyā maharṣayaḥ /	tejasA vizNum avyaktam nArada AdyAH mahA RzayaH /
   mohitāḥ saha śakreṇa śriyo vacanamabruvan // KūrmP_1,1.31 //	mohitAH saha SakreNa SriyaH vacanam abruvan // KUrmP_1,1.31 //
   bhagavan devadeveśa nārāyaṇa jaganmaya /	Bagavan devadeveSa nArAyaNa jagat mayaH /
   kaiṣā devī viśālākṣī yathāvad brūhi pṛcchatām // KūrmP_1,1.32 //	kA ezA devI viSAla akzI yaTAvat brUhi pRcCatAm // KUrmP_1,1.32 //
   śrutvā teṣāṃ tadā vākyaṃ viṣṇurdānavamardanaḥ /	SrutvA tezAm tadA vAkyam vizNuH dAnava mardanaH /
   provāca devīṃ saṃprekṣya nāradādīnakalmaṣān // KūrmP_1,1.33 //	provAca devIm saMprekzya nArada AdIn akalmazAn // KUrmP_1,1.33 //
   iyaṃ sā paramā śaktirmanmayī brahmarūpiṇī /	iyam sA paramA SaktiH mad mayI brahma rUpiNI /
   māyā mama priyānantā yayedaṃ mohitaṃ jagat // KūrmP_1,1.34 //	mAyA mama priya anantAH yayA idam mohitam jagat // KUrmP_1,1.34 //
   anayaiva jagatsarvaṃ sadevāsuramānuṣam /	anayA eva jagat sarvam sa deva asura mAnuzam /
   mohayāmi dvijaśreṣṭhā grasāmi visṛjāmi ca // KūrmP_1,1.35 //	mohayAmi dvijaSrezWAH grasAmi visRjAmi ca // KUrmP_1,1.35 //
   utpattiṃ pralayaṃ caiva bhūtanāmāgatiṃ gatim /	utpattim pralayam ca eva BUtanAma Agatim gatim /
   vijñāyānvīkṣya cātmānaṃ taranti vipulāmimām // KūrmP_1,1.36 //	vijQAya anvIkzya ca AtmAnam taranti vipulAm imAm // KUrmP_1,1.36 //
   asyāstvaṃśānadhiṣṭhāya śaktimanto 'bhavan dvijāḥ /	asyAH tu aMSAn aDizWAya SaktimantaH aBavan dvijAH /
   brahmeśānādayo devāḥ sarvaśaktiriyaṃ mama // KūrmP_1,1.37 //	brahma ISAna AdayaH devAH sarva SaktiH iyam mama // KUrmP_1,1.37 //
   saiṣā sarvajagatsūtiḥ prakṛtistriguṇātmikā /	sA ezA sarva jagat sUtiH prakRtiH triguNa AtmikA /
   prāgeva mattaḥ saṃjātā śrīkalpe padmavāsinī // KūrmP_1,1.38 //	prAk eva mattaH saMjAtA SrI kalpe padma vAsinI // KUrmP_1,1.38 //
   caturbhujā śaṅkhacakrapadmahastā śubhānvitā /	caturBujA SaFKa cakra padma hastA SuBa anvitA /
   koṭisūryapratīkāśā mohinī sarvadehinām // KūrmP_1,1.39 //	kowi sUrya pratIkASA mohinI sarva dehinAm // KUrmP_1,1.39 //
   nālaṃ devā na pitaro mānavā vasavo 'pi ca /	na alam devAH na pitaraH mAnavAH vasavaH api ca /
   māyāmetāṃ samuttartuṃ ye cānye bhuvi dehinaḥ // KūrmP_1,1.40 //	mAyAm etAm samuttartum ye ca anye Buvi dehinaH // KUrmP_1,1.40 //
   ityukto vāsudevena munayo viṣṇumabruvan /	iti uktaH vAsudevena munayaH vizNum abruvan /
   brūhi tvaṃ puṇḍarīkākṣa yadi kālatraye 'pi ca /	brUhi tvam puNxarIkAkza yadi kAla traye api ca /
   ko vā tarati tāṃ māyāṃ durjayāṃ devanirmitām // KūrmP_1,1.41 //	kaH vA tarati tAm mAyAm durjayAm deva nirmitAm // KUrmP_1,1.41 //
   athovāca hṛṣīkeśo munīn munigaṇārcitaḥ /	aTa uvAca hRzIkeSaH munIn muni gaNa arcitaH /
   asti dvijātipravara indradyumna iti śrutaḥ // KūrmP_1,1.42 //	asti dvijAti pravaraH indradyumnaH iti SrutaH // KUrmP_1,1.42 //
   pūrvajanmani rājāsāvadhṛṣyaḥ śaṅkarādibhiḥ /	pUrva janmani rAjA asO= aDRzyaH SaFkara AdiBiH /
   dṛṣṭvā māṃ kūrmasaṃsthānaṃ śrutvā paurāṇikīṃ svayam /	dRzwvA mAm kUrma saMsTAnam SrutvA pOrANikIm svayam /
   saṃhitāṃ manmukhād divyāṃ puraskṛtya munīśvarān // KūrmP_1,1.43 //	saMhitAm mad muKAt divyAm puraskRtya muni ISvarAn // KUrmP_1,1.43 //
   brahmāṇaṃ ca mahādevaṃ devāṃścānyān svaśaktibhiḥ /	brahmANam ca mahAdevam devAn= ca anyAn sva SaktiBiH /
   macchaktau saṃsthitān buddhvā māmeva śaraṇaṃ gataḥ // KūrmP_1,1.44 //	mad SaktO saMsTitAn budDvA mAm eva SaraNam gataH // KUrmP_1,1.44 //
   saṃbhāṣito mayā cātha viprayoniṃ gamiṣyasi /	saMBAzitaH mayA ca aTa viprayonim gamizyasi /
   indradyumna iti khyāto jātiṃ smarasi paurvikīm // KūrmP_1,1.45 //	indradyumnaH iti KyAtaH jAtim smarasi pOrvikIm // KUrmP_1,1.45 //
   sarveṣāmeva bhūtānāṃ devānāmapyagocaram /	sarvezAm eva BUtAnAm devAnAm api agocaram /
   vaktavyaṃ yad guhyatamaṃ dāsye jñānaṃ tavānagha /	vaktavyam yat guhyatamam dAsye jQAnam tava anaGa /
   labdhvā tanmāmakaṃ jñānaṃ māmevānte pravekṣyasi // KūrmP_1,1.46 //	labDvA tat mAmakam jQAnam mAm eva ante pravekzyasi // KUrmP_1,1.46 //
   aṃśāntareṇa bhūmyāṃ tvaṃ tatra tiṣṭha sunirdṛtaḥ /	aMSa antareNa BUmyAm tvam tatra tizWa su nirdRtaH /
   vaivasvate 'ntare 'tite kāryārthaṃ māṃ pravekṣyasi // KūrmP_1,1.47 //	vEvasvate antare atite kArya arTam mAm pravekzyasi // KUrmP_1,1.47 //
   māṃ praṇamya purīṃ gatvā pālayāmāsa medinīm /	mAm praNamya purIm gatvA pAlayAmAsa medinIm /
   kāladharmaṃ gataḥ kālācchvetadvīpe mayā saha // KūrmP_1,1.48 //	kAlaDarmam gataH kAlAt SvetadvIpe mayA saha // KUrmP_1,1.48 //
   bhuktvā tān vaiṣṇavān bhogān yogināmapyagocarān /	BuktvA tAn vEzNavAn BogAn yoginAm api agocarAn /
   madājñayā muniśreṣṭhā jajñe viprakule punaḥ // KūrmP_1,1.49 //	mad AjQayA muni SrezWAH jajQe vipra kule punar // KUrmP_1,1.49 //
   jñātvā māṃ vāsudevākhyaṃ yatra dve nihite 'kṣare /	jQAtvA mAm vAsudeva AKyam yatra dve nihite akzare /
   vidyāvidye gūḍharūpe yattad brahma paraṃ viduḥ // KūrmP_1,1.50 //	vidyA avidye gUXa rUpe yat tat brahma param viduH // KUrmP_1,1.50 //
   sor'cayāmāsa bhūtānāmāśrayaṃ parameśvaram /	soH acayAmAsa BUtAnAm ASrayam parameSvaram /
   vratopavāsaniyamairhemairbrāhmaṇatarpaṇaiḥ // KūrmP_1,1.51 //	vrata upavAsa niyamEH hemEH brAhmaNa tarpaNEH // KUrmP_1,1.51 //
   tadāśīstannamaskārastanniṣṭhastatparāyaṇaḥ /	tad ASIH tad namaskAraH tad nizWaH tad parAyaNaH /
   ārādhayan mahādevaṃ yogināṃ hṛdi saṃsthitam // KūrmP_1,1.52 //	ArADayan mahAdevam yoginAm hRdi saMsTitam // KUrmP_1,1.52 //
   tasyaivaṃ vartamānasya kadācit paramā kalā /	tasya evam vartamAnasya kadAcid paramA kalA /
   svarūpaṃ darśayāmāsa divyaṃ viṣṇusamudbhavam // KūrmP_1,1.53 //	svarUpam darSayAmAsa divyam vizNu samudBavam // KUrmP_1,1.53 //
   dṛṣṭvā praṇamya śirasā viṣṇorbhagavataḥ priyām /	dRzwvA praNamya SirasA vizNoH BagavataH priyAm /
   saṃstūya vividhaiḥ stotraiḥ kṛtāñjalirabhāṣata // KūrmP_1,1.54 //	saMstUya viviDEH stotrEH kRtAQjaliH aBAzata // KUrmP_1,1.54 //
   irnddayumna uvāca	irnddayumnaH uvAca
   kā tvaṃ deviviśālākṣi viṣṇucihnaṅkite śubhe /	kA tvam devi viSAla akzi vizNu cihnaFkite SuBe /
   yāthātathyena vai bhāvaṃ tavedānīṃ bravīhi me // KūrmP_1,1.55 //	yATAtaTyena vE BAvam tava idAnIm bravIhi me // KUrmP_1,1.55 //
   tasya tad vākyamākarṇya suprasannā sumaṅgalā /	tasya tat vAkyam AkarNya su prasannA sumaFgalAH /
   hasantī saṃsmaran viṣṇuṃ priyaṃ brāhmaṇamabravīt // KūrmP_1,1.56 //	hasantI saMsmaran vizNum priyam brAhmaNam abravIt // KUrmP_1,1.56 //
   na māṃ paśyanti munayo devāḥ śakrapurogamāḥ /	na mAm paSyanti munayaH devAH Sakra purogamAH /
   nārāyaṇātmikā caikā māyāhaṃ tanmayā parā // KūrmP_1,1.57 //	nArAyaNa AtmikA ca ekA mAyA aham tat mayA parA // KUrmP_1,1.57 //
   na me nārāyaṇād bhedo vidyate hi vicārataḥ /	na me nArAyaNAt BedaH vidyate hi vicArataH /
   tanmayāhaṃ paraṃ brahma sa viṣṇuḥ parameśvaraḥ // KūrmP_1,1.58 //	tat mayA aham param brahma sa vizNuH parameSvaraH // KUrmP_1,1.58 //
   yer'cayantīha bhūtānāmāśrayaṃ parameśvaram /	yer acayanti iha BUtAnAm ASrayam parameSvaram /
   jñānena karmayogena na teṣāṃ prabhavāmyaham // KūrmP_1,1.59 //	jQAnena karma yogena na tezAm praBavAmi aham // KUrmP_1,1.59 //
   tasmādanādinidhanaṃ karmayogaparāyaṇaḥ /	tasmAt anAdiniDanam karma yoga parAyaNaH /
   jñānenārādhayānantaṃ tato mokṣamavāpsyasi // KūrmP_1,1.60 //	jQAnena ArADaya anantam tatas mokzam avApsyasi // KUrmP_1,1.60 //
   ityuktaḥ sa muniśreṣṭha indradyumno mahāmatiḥ /	iti uktaH sa muni SrezWaH indradyumnaH mahAmatiH /
   praṇamya śirasā devīṃ prāñjaliḥ punarabravīt // KūrmP_1,1.61 //	praNamya SirasA devIm prAQjaliH punar abravIt // KUrmP_1,1.61 //
   kathaṃ sa bhagavānīśaḥ śāśvato niṣkalo 'cyutaḥ /	kaTam sa BagavAn ISaH SASvataH nizkalaH acyutaH /
   jñātuṃ hi śakyate devi brūhi me parameśvari // KūrmP_1,1.62 //	jQAtum hi Sakyate devi brUhi me parameSvari // KUrmP_1,1.62 //
   ekamuktātha vipreṇa devī kamalavāsinī /	ekam uktA aTa vipreNa devI kamala vAsinI /
   sākṣānnārāyaṇo jñānaṃ dāsyatītyāha taṃ munim // KūrmP_1,1.63 //	sAkzAt nArAyaNaH jQAnam dAsyati iti Aha tam munim // KUrmP_1,1.63 //
   ubhābhyāmatha hastābhyāṃ saṃspṛśya praṇataṃ munim /	uBAByAm aTa hastAByAm saMspRSya praNatam munim /
   smṛtvā parātparaṃ viṣṇuṃ tatraivāntaradhīyata // KūrmP_1,1.64 //	smRtvA parAtparam vizNum tatra eva antaraDIyata // KUrmP_1,1.64 //
   so 'pi nārāyaṇaṃ draṣṭuṃ parameṇa samādhinā /	saH api nArAyaNam drazwum parameNa samADinA /
   ārādhayaddhṛṣīkeśaṃ praṇatārtiprabhañjanam // KūrmP_1,1.65 //	ArADayat hRzIkeSam praNata Arti praBaQjanam // KUrmP_1,1.65 //
   tato bahutithe kāle gate nārāyaṇaḥ svayam /	tatas bahutiTe kAle gate nArAyaNaH svayam /
   prādurāsīnmahāyogī pītavāsā jaganmayaḥ // KūrmP_1,1.66 //	prAdurAsIt mahA yogI pIta vAsAH jagat mayaH // KUrmP_1,1.66 //
   dṛṣṭvā devaṃ samāyāntaṃ viṣṇumātmānamavyayam /	dRzwvA devam samAyAntam vizNum AtmAnam avyayam /
   jānubhyāmavaniṃ gatvā tuṣṭāva garuḍadhvajam // KūrmP_1,1.67 //	jAnuByAm avanim gatvA tuzwAva garuxaDvajam // KUrmP_1,1.67 //
   indradyumna uvāca	indradyumnaH uvAca
   yajñeśācyuta govinda mādhavānanta keśava /	yajQeSa acyuta govinda mADava ananta keSava /
   kuṣṇa viṣṇo hṛṣīkeśa tubhyaṃ viśvātmane namaḥ // KūrmP_1,1.68 //	kuzNa vizNo hRzIkeSa tuByam viSvAtmane namaH // KUrmP_1,1.68 //
   namo 'stu te purāṇāya haraye viśvamūrtaye /	namaH astu te purANAya haraye viSvamUrtaye /
   sargasthitivināśānāṃ hetave 'nantaśakye // KūrmP_1,1.69 //	sarga sTiti vinASAnAm hetave ananta Sakye // KUrmP_1,1.69 //
   nirguṇāya namastubhyaṃ niṣkalāyāmalātmane /	nirguNAya namaH tuByam nizkalAya amala Atmane /
   puruṣāya namastubhyaṃ viśvarūpāya te namaḥ // KūrmP_1,1.70 //	puruzAya namaH tuByam viSvarUpAya te namaH // KUrmP_1,1.70 //
   namaste vāsudevāya viṣṇave viśvayonaye /	namaH te vAsudevAya vizNave viSvayonaye /
   ādimadhyāntahīnāya jñānagamyāya te namaḥ // KūrmP_1,1.71 //	Adi maDya anta hInAya jQAna gamyAya te namaH // KUrmP_1,1.71 //
   namaste nirvikārāya niṣprapañcāya te namaḥ /	namaH te nirvikArAya nizprapaQcAya te namaH /
   bhedābhedavihīnāya namo 'stvānandarūpiṇe // KūrmP_1,1.72 //	Beda aBeda vihInAya namaH astu Ananda rUpiNe // KUrmP_1,1.72 //
   namastārāya śāntāya namo 'pratihatātmane /	namaH tArAya SAntAya namaH apratihata Atmane /
   anantamūrtaye tubhyamamūrtāya namo namaḥ // KūrmP_1,1.73 //	ananta mUrtaye tuByam amUrtAya namaH namaH // KUrmP_1,1.73 //
   namaste paramārthāya māyātītāya te namaḥ /	namaH te parama arTAya mAyA atItAya te namaH /
   namaste parameśāya brahmaṇe paramātmane // KūrmP_1,1.74 //	namaH te parameSAya brahmaNe paramAtmane // KUrmP_1,1.74 //
   namo 'stu te susūkṣmāya mahādevāya te namaḥ /	namaH astu te su sUkzmAya mahAdevAya te namaH /
   namaḥ śivāya śuddhāya namaste parameṣṭhine // KūrmP_1,1.75 //	namaH SivAya SudDAya namaH te paramezWine // KUrmP_1,1.75 //
   tvayaiva sṛṣṭamakhilaṃ tvameva paramā gatiḥ /	tvayA eva sRzwam aKilam tvam eva paramA gatiH /
   tvaṃ pitā sarvabhūtānāṃ tvaṃ mātā puruṣottama // KūrmP_1,1.76 //	tvam pitA sarva BUtAnAm tvam mAtA puruzottamaH // KUrmP_1,1.76 //
   tvamakṣaraṃ paraṃ dhāma cinmātraṃ vyoma niṣkalam /	tvam akzaram param DAma cit mAtram vyoma nizkalam /
   sarvasyādhāramavyaktamanantaṃ tamasaḥ param // KūrmP_1,1.77 //	sarvasya ADAram avyaktam anantam tamasaH param // KUrmP_1,1.77 //
   prapaśyanti parātmānaṃ jñānadīpena kevalam /	prapaSyanti para AtmAnam jQAna dIpena kevalam /
   prapadye bhavato rūpaṃ tadviṣṇoḥ paramaṃ padam // KūrmP_1,1.78 //	prapadye BavataH rUpam tat vizNoH paramam padam // KUrmP_1,1.78 //
   evaṃ stuvantaṃ bhagavān bhūtātmā bhūtabhāvanaḥ /	evam stuvantam BagavAn BUtAtmA BUtaBAvanaH /
   ubhābhyāmatha hastābhyāṃ pasparśa prahasanniva // KūrmP_1,1.79 //	uBAByAm aTa hastAByAm pasparSa prahasan= iva // KUrmP_1,1.79 //
   spṛṣṭamātro bhagavatā viṣṇunā munipuṅgavaḥ /	spRzwa mAtraH BagavatA vizNunA muni puFgavaH /
   yathāvat paramaṃ tattvaṃ jñātavāṃstatprasādataḥ // KūrmP_1,1.80 //	yaTAvat paramam tattvam jQAtavAn= tad prasAdataH // KUrmP_1,1.80 //
   tataḥ prahṛṣṭamanasā praṇipatya janārdanam /	tatas prahRzwa manasA praNipatya janArdanam /
   provāconnidrapadmākṣaṃ pītavāsasamacyutam // KūrmP_1,1.81 //	provAca unnidra padma akzam pIta vAsasam acyutam // KUrmP_1,1.81 //
   tvatprasādādasaṃdigdhamutpannaṃ puruṣottama /	tvad prasAdAt asaMdigDam utpannam puruzottamaH /
   jñānaṃ brahmaikaviṣayaṃ paramānandasiddhidam // KūrmP_1,1.82 //	jQAnam brahma eka vizayam parama Ananda sidDi dam // KUrmP_1,1.82 //
   namo bhagavate tubhyaṃ vāsudevāya vedhase /	namaH Bagavate tuByam vAsudevAya veDase /
   kiṃ kariṣyāmi yogeśa tanme vada jaganmaya // KūrmP_1,1.83 //	kim karizyAmi yoga ISa tat me vada jagat mayaH // KUrmP_1,1.83 //
   śrutvā nārāyaṇo vākyamindradyumnasya mādhavaḥ /	SrutvA nArAyaNaH vAkyam indradyumnasya mADavaH /
   uvāca sasmitaṃ vākyamaśeṣajagato hitam // KūrmP_1,1.84 //	uvAca sa smitam vAkyam aSeza jagataH hitam // KUrmP_1,1.84 //
   śrībhagavānuvāca	SrI BagavAn uvAca
   varṇāśramācāravatāṃ puṃsāṃ devo maheśvaraḥ /	varNa ASrama AcAravatAm puMsAm devaH maheSvaraH /
   jñānena bhaktiyogena pūjanīyo na cānyathā // KūrmP_1,1.85 //	jQAnena Bakti yogena pUjanIyaH na ca anyaTA // KUrmP_1,1.85 //
   vijñāya tatparaṃ tattvaṃ vibhūtiṃ kāryakāraṇam /	vijQAya tat param tattvam viBUtim kArya kAraNam /
   pravṛtiṃ cāpi me jñātvā mokṣārthośvaramarcayet // KūrmP_1,1.86 //	pravRtim ca api me jQAtvA mokza arTa uSvaram arcayet // KUrmP_1,1.86 //
   sarvasaṅgān parityajya jñātvā māyāmayaṃ jagat /	sarva saFgAn parityajya jQAtvA mAyA mayam jagat /
   advaitaṃ bhāvayātmānaṃ drakṣyase parameśvaram // KūrmP_1,1.87 //	advEtam BAvaya AtmAnam drakzyase parameSvaram // KUrmP_1,1.87 //
   trividhā bhāvanā brahman procyamānā nibodha me /	triviDA BAvanA brahman procyamAnAH niboDa me /
