   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   ubhayāṃs tān smitenaiva paśyan dvipam agād dhariḥ ||GC_2,5.3|| (anuṣṭubh)	uBayAn tAn smitena-eva paSyan dvipam agAt DariH ||GC_2,5.3|| (anuzwuB)
   [6] tataś ca śrī-hariṇā-	[6] tatas ca SrI-hariNA-
   tad-vartma-prārthanaṃ tat-kupita-gajam api prārdanaṃ tan nijāṅga-	tad--vartma--prArTanam tat-kupita-gajam api prArdanam tat nija-aFga-
   syābhīkṣṇaṃ tasya śuṇḍā-rada-pada-valanaṃ tat tato mocanaṃ ca |	sya-aBIkzNam tasya SuNxa-a-rada--pada-valanam tat tatas mocanam ca |
   tat-pucchākarṣaṇaṃ tad-bhramaṇam abhimukhībhūya tat-tāḍaṇaṃ tad	tat-pucCa-AkarzaNam tad--BramaNam aBimuKIBUya tat-tAxaNam tat-
   vidrutya drāk patitvā drava-bharam anu niṣpātanaṃ saṃbhramayya	vidrutya drAk patitvA drava--Baram anu nizpAtanam saMBramayya
   ||GC_2,5.4|| (sragdharā)	||GC_2,5.4|| (sragDarA)
   tad-dadbhyāṃ vañcitābhyāṃ kṣiti-hati-valanāt kṣobhaṇaṃ tat punaś ca	tat--dadByAm vaQcitAByAm kziti-hati-valanAt kzoBaNam tat punar ca
   pratyāsadyāgra-hasta-grahaṇa-racanayā sraṃsanaṃ bhūmi-pṛṣṭhe |	pratyAsadya-agra-hasta-grahaNa--racanayA sraMsanam BUmi--pRzWe |
   tad-varṣmākramya tat-tad-daśana-vighaṭanaṃ tena tad-ghātanaṃ ca	tat--varzma-Akramya tat--tad--daSana--viGawanam tena tat--GAtanam ca
   draṣṭṝn sindhos taraṅga-pratimam anayad unmajjanaṃ majjanaṃ ca	drazwLn sinDoH taraFga--pratimam anayat unmajjanam majjanam ca
   ||GC_2,5.5|| (sragdharā)	||GC_2,5.5|| (sragDarA)
   hastinaḥ kathite ghāte hastipāṃ tat-kathā vṛthā |	hastinaH kaTite GAte hastipAm tat-kaTA vRTA |
   malle kṣuṇṇe tu tat-sthānāṃ yūkānāṃ tat kim ucyatām? ||GC_2,5.6||	malle kzuNNe tu tat-sTAnAm yUkAnAm tat kim ucyatAm? ||GC_2,5.6||
   (anuṣṭubh)	(anuzwuB)
   [7] tadā cāyaṃ viśeṣaḥ,-	[7] tadA ca-ayam viSezaH,-
   paryaṭan naṭa evāyaṃ siṃha eva sa saṃharan |	paryawan nawaH eva-ayam siMhaH eva sa saMharan |
   bhindan bhiduram eveti kariṇā harir aikṣyata ||GC_2,5.7|| (anuṣṭubh)	Bindan Biduram eva-iti kariNA hariH Ekzyate ||GC_2,5.7|| (anuzwuB)
   hatvā nāgaṃ danta-yugmaṃ gṛhītvā	hatvA nAgam danta--yugmam gRhItvA
   bhrātre prādāt kaṃsa-śatrus tad ekam |	BrAtre prAdAt kaMsa--SatruH tat ekam |
   eko nirmāty āvayor yad yaśas tad-	ekaH nirmAti AvayoH yat yaSaH tat--
   dviṣṭhaṃ diṣṭaṃ syāt samantād itīva ||GC_2,5.8|| (śālinī)	dvizWam dizwam syAt samantAt iti-iva ||GC_2,5.8|| (SAlinI)
   kuñjaraṃ harir aghātayad balo'py	kuQjaram hariH aGAtayat balaH-api-
   atra rakta-mada-bindubhiś citaḥ |	atra rakta-mada--binduBiH citaH |
   pāripārśvikatayā tad-antike	pAripArSvika-tayA tad--antike
   cchāyayeva yad asau tadābhramat ||GC_2,5.9|| (rathoddhatā)	cCAyayA-iva yat asO tadA-aBramat ||GC_2,5.9|| (raTa-udDatA)
   [8] tad evaṃ gīr-vāṇā api yad bṛṃhita-vāṇād bhayam ayamānās tata eva kila	[8] tat evam gIr-vANAH api yat bRMhita-vANAt Bayam ayamAnAH tatas eva kila
   śaśvad asvapnān nāmnāpy asvapnā jātāḥ | so'yaṃ kuvalayāpīḍaḥ karī	SaSvat asvapnAt nAmnA-api asvapnAH jAtAH | saH-ayam kuvalayApIxaH karI
   dāna-vāri-varīyān api dāna-vāri-kṛta-dānam āptavān iti te punar lekhā	dAna--vAri-varIyAn api dAna--vAri-kRta--dAnam AptavAn iti te punar leKA
   vismayena lekhā ivāsan | tatra ca sati kaṃsaṃ prati sahasā na kaścana	vismayena leKAH iva-Asan | tatra ca sati kaMsam prati sahasA na kaScana
   bhiyā śaśaṃsa |	BiyA SaSaMsa |
   [9] tad anu ca-	[9] tat anu ca-
   pūrvāha-luṇṭhita-nṛpāṃśuka-śobhitāṃśū	pUrvAha--luNWita--nRpa-aMSuka--SoBitAMSU
   sadyo-vighātita-mahā-gaja-danta-pāṇī |	sadyo-viGAti-ta--mahA--gaja--danta--pANI |
   tad-rakta-dāna-racitāṅgada-kaṅkaṇau tau	tad--rakta---dAna--racita-aFgada--kaFkaNO tO
   tādṛg-ganair viviśatur nṛpateḥ purastāt ||GC_2,5.10|| (vasanta)	tAdRS--ganEH viviSatuH nRpateH purastAt ||GC_2,5.10|| (vasanta)
   śauryam eva puruṣasya bhūṣaṇaṃ	SOryam eva puruzasya BUzaNam
   yatra heyam api yāti geyatām |	yatra heyam api yAti geya-tAm |
   danti-rakta-mada-bindavas tanuṃ	danti--rakta--mada--bindavaH tanum
   kaṃsa-saṃsadi tayor arūrucan ||GC_2,5.11|| (rathoddhatā)	kaMsa--saMsadi tayoH arUrucan ||GC_2,5.11|| (raTa-udDatA)
   dviṣanto bhīṣmāṅgaṃ dadṛśur ajitaṃ tarhi puratas	dvizantaH BIzma-aFgam dadRSuH ajitam tarhi puratas
   taṭasthā madhyasthaṃ praṇaya-manasaḥ śarma-vapuṣam |	tawa-sTAH maDya-sTam praNaya-manasaH Sarma--vapuzam |
   viśeṣaṃ tatrāpi sphuṭam adhiyayus te bahu-vidhaṃ	viSezam tatra-api sPuwam aDiyayuH te bahu-viDam
   yathā bhāvas tadvad yugapad ayam uccair vibhavati ||GC_2,5.12||	yaTA BAvaH tadvat yugapad ayam uccEs viBavati ||GC_2,5.12||
   (śikhariṇī)	(SiKariNI)
   varṇyaṃ tad vā kiyad iha bhavet tasya mādhurya-varyaṃ	varNyam tat vA kiyat iha Bavet tasya mADurya-varyam
   jīvat-kaṃse'py atha sadasi yad vanditaṃ loka-lakṣaiḥ |	jIvat--kaMse-api aTa sadasi yat vanditam loka-lakzEH |
   tejas tad vā katipayam itaḥ kathyatāṃ yatra magnaṃ	tejaH tat vA katipayam itas kaTyatAm yatra magnam
   prāṇantaṃ taṃ mṛtam iva surā menire bhoja-rājam ||GC_2,5.13||	prANantam tam mRtam iva surAH menire Boja--rAjam ||GC_2,5.13||
   (mandākrāntā)	(manda-AkrAntA)
   [10] athāgatau ca gṛhīta-mṛṇāla-nāla-hasta-hastināv iva dhṛta-danti-dantau	[10] aTa-AgatO ca gRhIta--mRNAla-nAla--hasta--hastinO iva DRta-danti--dantO
   bṛhad-urasvantau so'yam eva kim iti sāvahela-śaṃsanena kaṃsaṃ vilokya tau	bRhad-urasvantO saH-ayam eva kim iti sa-avahela--SaMsanena kaMsam vilokya tO
   ślokya-caritau taṃ pṛṣṭha-deśa-parāmṛṣṭaṃ kurvantau tata ito	Slokya--caritO tam pRzWa-deSa--parAmRzwam kurvantO tatas itas-
   dṛṣṭi-visṛṣṭiṃ cakratuḥ |	dRzwi--visRzwim cakratuH |
   [11] tataś ca parivṛtya śrī-hariḥ punar aho apaśyat tri-divasya	[11] tatas ca parivRtya SrI-hariH punar aho apaSyat tri-divasya
   vartmārdham evānu-vartamānaḥ so'yaṃ vartate, tasmāt tatra prasthāpanam	vartma-arDam eva-anu-vartamAnaH saH-ayam vartate, tasmAt tatra prasTApanam
   asya nātidūrāvasthāpanam iti hasitvā sakhibhir akhilaiḥ saha lasitvā ca	asya na-ati-dUra-avasTApanam iti hasitvA saKiBiH aKilEH saha lasitvA ca
   parasparaṃ paraṃ vṛttaṃ vartayāmāsa |	parasparam param vRttam vartayAmAsa |
   [12] atha sva-hata-gaja-rakta-raktatayā	[12] aTa sva-hata--gaja--rakta-rakta-tayA
   pralaya-kāla-kāya-vyakta-nīla-lohitāyamānatā-pātrasya gātrasya	pralaya--kAla-kAya--vyakta--nIla--lohitAyamAna-tA--pAtrasya gAtrasya
   vilokana-mātrataḥ prāpta-tejo-dhvaṃsaṃ kaṃsaṃ kav imāv iti śaṃsantaṃ	vilokana--mAtrataH prApta--tejaH---DvaMsam kaMsam kav imO iti SaMsantam
   pārśva-vartinaḥ procuḥ,- etav eva tau iti |	pArSva-vartinaH procuH, etav eva tO iti |
   [13] kaṃsa uvāca,- anayoḥ karayoḥ kiṃ dṛśyate? gātraṃ vā kena citra-pātraṃ	[13] kaMsaH uvAca, anayoH karayoH kim dRSyate? gAtram vA kena citra--pAtram
   kṛtam?	kRtam?
   [14] sarve'py ūcuḥ,- kuvalayāpīḍasya dantāv ivāvakalyete gātraṃ ca	[14] sarve-api UcuH, kuvalayApIxasya dantO iva-avakalyete gAtram ca
   tad-rakta-raktaṃ bhavet |	tad--rakta-raktam Bavet |
   [15] kaṃsaḥ sa-saṃrambha-dambham uvāca,- haṃho! aṃho-valitā dvayam api	[15] kaMsaH sa--saMramBa-damBam uvAca, haMho! aMha-u-valitAH dvayam api
   vāṅ-mātra-pātrāyamāṇam idam asambhavam |	vAF--mAtra-pAtrAyamANam idam asamBavam |
   [16] atha punar adattottareṣu bhayottareṣu ca teṣu svayam eva tayoḥ	[16] aTa punar adatta-uttarezu Baya-uttarezu ca tezu svayam eva tayoH
   prabhāvas taṃ bodhayāmāsa | yataḥ,	praBAvaH tam boDayAmAsa | yatas-,
   yadi tvaṃ re kaṃsa svayam asi balī tarhi dhig amuṃ	yadi tvam re kaMsa svayam asi balI tarhi Dik amum
   kathaṃ dvāre nāgaṃ kalayasi na tatra svaka-vapuḥ? |	kaTam dvAre nAgam kalayasi na tatra svaka-vapuH? |
   radābhyāṃ sa śreyān iti yadi tad āvām iva kathaṃ	radAByAm sa SreyAn iti yadi tat AvAm iva kaTam
   na tau gṛhnāsīti dhvanitam amukābhyāṃ sva-kalayā? ||GC_2,5.14||	na tO gRhnA-asi-iti Dvanitam amukAByAm sva--kalayA? ||GC_2,5.14||
   (śikhariṇī)	(SiKariNI)
   [17] tad evaṃ sati-	[17] tat evam sati-
   so'yaṃ pūtanikām ahan śakaṭakaṃ vyāvartayat taṃ marud-	saH-ayam pUtanikAm ahan Sakawakam vyAvartayat tam marud-
   daityaṃ prārdayad arjuna-dvayam api prārdat tad ity ādikam |	dEtyam prArdayat arjuna--dvayam api prArdat tat iti Adikam |
   śrīmad-gokula-kelim asya kalayan lokaḥ purā paśyatas	SrImat--go-kula--kelim asya kalayan lokaH purA paSyatas
   tāṃs tarhy ārdayad adya cārdayati bhoḥ paśyāparān śṛṇvataḥ ||GC_2,5.15||	tAn tarhi Ardayat adya ca-Ardayati BoH paSya-aparAn SRNvataH ||GC_2,5.15||
   (śārdūla)	(SArdUla)
   [18] tatra ca nayanayor vistāraṇayā tābhyāṃ tayoḥ sakalam api rūpaṃ	[18] tatra ca nayanayoH vistAraNayA tAByAm tayoH sakalam api rUpam
   yugapat pātum iva varṇanā-rasa-rasanāyāś cālanayā nikhilam api mādhuryaṃ	yugapad pAtum iva varNa-nA-rasa-rasanAyAH cAlanayA niKilam api mADuryam
   leḍhum iva tal-lābha-parva-garvataḥ sphuṭa-nāsā-puṭayoḥ phullanayā tābhyāṃ	leXum iva tal-lABa--parva--garvataH sPuwa-nAsA--puwayoH PullanayA tAByAm
   samastam api saurabhyam abhyantare praveśayitum iva muhur apy astābhyāṃ	samastam api sOraByam aByantare praveSayitum iva muhur api astAByAm
   hastābhyāṃ nirdeśanayā tābhyāṃ sāṅgam apy aṅgam āliṅgitum ivehamāne sukhaṃ	hastAByAm nirdeSanayA tAByAm sAFgam api aFgam AliFgitum iva-IhamAne suKam
   ca sacamāne sura-nara-sarge	ca sacamAne sura--nara--sarge
   śabdāyamāne ca citra-vāditra-varge sarveṣāṃ mukhataḥ sarva-sukhada-stutiḥ	SabdAyamAne ca citra-vAditra-varge sarvezAm muKataH sarva--suKa-da-stutiH
   prastutim avāpeti |	prastutim avApa-iti |
   [19] sa eṣa tat-prabhāva-viśeṣaḥ śaśvad bhāvanām abhibhavan vibhavati sma	[19] saH eza tat--praBAva--viSezaH SaSvat BAvanAm aBiBavan viBavati sma
   | yatra kaṃsena yuddhāya pūrvam eva preritā viparīta-vāditāyām api mallāḥ	| yatra kaMsena yudDAya pUrvam eva preritAH viparIta--vAditAyAm api mallAH
   stutāv eva paryavasitāḥ |	stutO eva paryavasitAH |
   [20] tathā hi- tad evaṃ sthite krūra-dhāmā cāṇūra-nāmā śaśaṃsa; yatra he	[20] taTA hi tat evam sTite krUra-DAmA cANUra-nAmA SaSaMsa; yatra he
   nanda-sūno! he rāmeti nirādara-pitṛ-nāmnā vinā ca tan nāmnā	nanda-sUno! he rAma-iti nirAdara--pitR-nAmnA vinA ca tat nAmnA
   sambodhana-dvayam anyathā-bodhanāya pravartitam api sarasvatyā	samboDana--dvayam anyaTA-a-boDanAya pravartitam api sarasvatyA
   tad-vāg-indriyaṃ stuty-artham eva nartitam āsīt | he pitṛ-nāmnā sva-nāmnā	tad--vAg-indriyam stuti--arTam eva nartitam AsIt | he pitR-nAmnA sva-nAmnA
   ca sucarita-samudācāra-kumāra-dvayatayā samānāvatāra! śrūyatām iti |	ca su-carita--samudAcAra--kumAra--dvaya-tayA samAna-avatAra! SrUyatAm iti |
   [21] śrī-kṛṣṇaḥ sa-smitam uvāca,- kāmam ājñāpyatām |	[21] SrI--kRzNaH sa--smitam uvAca, kAmam AjQApyatAm |
   [22] cāṇūra uvāca,- bhavator bhāga-dheyaṃ cetasi kiyad ādheyatām āpnotu |	[22] cANUraH uvAca, BavatoH BAga-Deyam cetasi kiyat ADeyatAm Apnotu |
   [23] śrī-kṛṣṇa uvāca,- kīdṛśam?	[23] SrI--kRzNaH uvAca, kIdRSam?
   [24] cāṇūra uvāca,- te'mī mahārāja-caraṇā bhavator	[24] cANUraH uvAca, te-amI mahA-rAja--caraNAH BavatoH-
   anugrahamaya-didṛkṣācaraṇā virājante iti |	anugraham-aya-didRkzA-caraNAH virAjante iti |
   [25] śrī-kṛṣṇa uvāca,- satyam, kiñcid asmat-kṛtyaṃ punar upadiśyatām |	[25] SrI--kRzNaH uvAca, satyam, kiQcid asmat-kRtyam punar upadiSyatAm |
   [26] cāṇūra uvāca,- saṅgatam evedaṃ bhavataḥ saṅgīrṇam | tathāpi yuvayor	[26] cANUraH uvAca, saFgatam eva-idam BavataH saFgIrNam | taTA-api yuvayoH-
   itaḥ śaśvat-parāṅ-mukhatā nāsmān sukhayati |	itas SaSvat--parAF--muKa-tA na-asmAn suKayati |
   [27] śrī-kṛṣṇa uvāca,- vayaṃ vanecarā narā na rāja-gaṇe gaṇeyānāṃ nītim	[27] SrI--kRzNaH uvAca, vayam vanecarAH narAH na rAja--gaNe gaNeyAnAm nItim
   unnītim ānayāmaḥ | samprati tu bhavad-upadeśam evānusarantaḥ sa-deśa-rūpam	unnItim AnayAmaH | samprati tu Bavat--upadeSam eva-anusarantaH sa-deSa-rUpam
   ācariṣyāmaḥ |	AcarizyAmaH |
   [28] cāṇūra uvāca,- samprati yuvāṃ prati rāja-varya-caraṇā yad ādiśanti,	[28] cANUraH uvAca, samprati yuvAm prati rAja-varya--caraNAH yat AdiSanti,
   tat punar ācaryatām |	tat punar AcaryatAm |
   [29] śrī-kṛṣṇḥ sa-vinayam ivāha sma,- malla-tallaja! yathā-yatham	[29] SrI--kRzNH sa-vinayam iva-Aha sma, malla--tallaja! yaTA-yaTam
   ādiśyatām |	AdiSyatAm |
   [30] cāṇūra uvāca,- asmābhiḥ saha bhavantāv atha krīḍā-sukham anubhavantāv	[30] cANUraH uvAca, asmABiH saha BavantO aTa krIxA-suKam anuBavantO=-
   iha bhavatām |	iha BavatAm |
   [31] śrī-kṛṣṇa uvāca,- bālānām asmākaṃ krīḍāvalocanaṃ rājñāṃ rocanam eva,	[31] SrI--kRzNaH uvAca, bAlAnAm asmAkam krIxA-avalocanam rAjQAm rocanam eva,
   kintu yuṣmābhir iti śocanam eva pratipadyate | tasmād bhavatām eva tad	kintu yuzmABiH iti Socanam eva pratipadyate | tasmAt BavatAm eva tat-
   idam upahāsa-prakāśanam, na tu tatra-bhavatāṃ rāja-vibhavatām upapadyate |	idam upahAsa--prakASanam, na tu tatra-BavatAm rAja--viBavatAm upapadyate |
   [32] cāṇūra uvāca,- rāja-caraṇebhya eva śape | rājñām eveyam ājñā |	[32] cANUraH uvAca, rAja--caraNeByaH eva Sape | rAjQAm eva-iyam AjQA |
   [33] śrī-kṛṣṇa uvāca,- katham iva?	[33] SrI--kRzNaH uvAca, kaTam iva?
   [34] cāṇūra uvāca,-	[34] cANUraH uvAca,-
   bālas tvaṃ na hi pūtanādi-dalanād āsīr na vāvidyathāḥ	bAlaH tvam na hi pUtanA-Adi-dalanAt AsIH na vA-avidyaTAH
   paugaṇḍaḥ kṣiti-bhṛd-vidhāraṇa-mukha-krīḍā-kula-vyāpṛte |	pOgaNxaH kziti-BRt--viDAraNa--muKa--krIxA-kula--vyApRte |
   naivāyaṃ ghaṭase kiśora iti ca pratyakṣa-dig-dantivad	na-eva-ayam Gawase kiSoraH iti ca pratyakza-diS--danti-vat-
   danti-prārdanatānta-karma-racanād rājñas tataḥ kautukam ||GC_2,5.16||	danti--prArdana-tA-anta--karma--racanAt rAjQaH tatas kOtukam ||GC_2,5.16||
   (śārdūla)	(SArdUla)
   [35] ayaṃ tu tava jyāyān pralambādyālambha-karmaṇā jyāyān eva |	[35] ayam tu tava jyAyAn pralamba-Adi-AlamBa--karmaNA jyAyAn eva |
   [36] śrī-kṛṣṇa uvāca,- vṛthāsmad dveṣād eva pāpāt teṣām anyathāpattir	[36] SrI--kRzNaH uvAca, vRTA-asmat dvezAt eva pApAt tezAm anyaTApattiH-
   jātā, parvataś ca labdha-makha-parvatayā śataparva-pāṇer	jAtA, parvataH ca labDa--maKa--parvatayA Sata-parva-pANeH-
   garva-kharvaṇārthaṃ svayam eva tathā jātaḥ | svayaṃ tu vayaṃ yathāvad eva	garva--KarvaNa-arTam svayam eva taTA jAtaH | svayam tu vayam yaTAvat eva
   sarvathā vartāmahe | dhanur api purātanatayā purā ghuṇākīrṇam iva jīrṇaṃ	sarvaTA vartAmahe | DanuH api purAtana-tayA purA GuNa-AkIrNam iva jIrNam
   vahadbhir dūrād vikīrṇatayā svayam eva dīrṇaṃ sat sparśa-mātrāt viśīrṇaṃ	vahadBiH dUrAt vikIrNa-tayA svayam eva dIrNam sat sparSa--mAtrAt viSIrNam
   jātam | kuvalayāpīḍaś ca pīḍayituṃ dravann apadravantaṃ mām anāsadya	jAtam | kuvalayApIxaH ca pIxayitum dravan apadravantam mAm anAsadya
   sadyaḥ pṛthivyantar dantāv avagāḍhāv ācaraṃs tāv ākraṣṭuṃ na śaśāka, paraṃ	sadyas pRTivI-antar dantO avagAXO Acaran tO Akrazwum na SaSAka, param
   tu praghaṭyamānatayā truṭy-antāv eva ghaṭayan sva-prāṇān api	tu praGawyamAna-tayA truwi--antO eva Gawayan sva--prANAn api
   vighaṭayāmāseti | tatra tatra śīghratāghrātālokena lokena punar aham eva	viGawayAmAsa-iti | tatra tatra SIGra-tA-GrAta-Alokena lokena punar aham eva
   tatra kāraṇatayā ghaṭayāmāse | tathā hastipā api tad adhastād dhastim	tatra kAraNa-tayA GawayAmAse | taTA hasti-pAH api tat aDastAt Dastim
   āpannā eva vipannā	ApannAH eva vipannA
   iti mānyathā manyathāḥ |	iti mA-anyaTAH manyaTAH |
   [37] cāṇūra uvāca,- bhavatānucitam eva saṅkucita-cittībhavatā tad idam	[37] cANUraH uvAca, BavatA-anucitam eva saFkucita--cittIBavatA tat idam
   apalapyate | rāja-mahāśayās tu tatra tatra na jātānuśayāḥ, pratyuta cirāya	apalapyate | rAja--mahA-ASayAH tu tatra tatra na jAta-anuSayAH, pratyuta cirAya
   nijāntika-sthāpitānāṃ garvitānāṃ garva-damanārtham eva tatra	nija-antika--sTApitAnAm garvitAnAm garva--damana-arTam eva tatra
   prasthāpitānāṃ teṣāṃ vṛthā-kṛta-pālana-viśeṣānāṃ parīvartād bhavantāv eva	prasTApitAnAm tezAm vRTA-kRta-pAlana--viSezAnAm parIvartAt BavantO eva
   kevalāv ātma-balāya kalpayitum icchanti |	kevalO Atma-balAya kalpayitum icCanti |
   [38] śrī-kṛṣṇa uvāca,- tad atīvāsmākaṃ vismāyakaṃ bhāgyam | kintv	[38] SrI--kRzNaH uvAca, tat atIva-asmAkam vismAyakam BAgyam | kintv
   ātmanātmanaḥ stutyā prastutyā lajjāmahe | yad etaṃ śrī-mahārājam	AtmanA-AtmanaH stutyA prastutyAH lajjAmahe | yat etam SrI-mahA-rAjam
   indra-padam api prāpayituṃ sevāṃ kariṣyāmaḥ | tathāpi malla-vidyāyāṃ na	indra-padam api prApayitum sevAm karizyAmaH | taTA-api malla-vidyAyAm na
   vayaṃ kṛta-vidyā iti saṅkucati cittam |	vayam kRta-vidyA iti saFkucati cittam |
   [39] cāṇūra uvāca,- etad apy apalapitaṃ vṛthā mā kṛthāḥ | yac chrutaṃ	[39] cANUraH uvAca, etat api apalapitam vRTA mA kRTAH | yat Srutam
   viśrutam idam | gopāḥ khalu go-pālanaṃ kurvantaḥ sadāsmākaṃ vidyām	viSrutam idam | gopAH Kalu go-pAlanam kurvantaH sadA-asmAkam vidyAm
   abhyasyantīti | tasmād akapaṭatayāsmābhir yuṣmābhir api rājñām ājñā	aByasyanti-iti | tasmAt akapawa-tayA-asmABiH yuzmABiH api rAjQAm AjQA
   pālanīyā, na tu cālanīyā |	pAlanIyA, na tu cAlanIyAH |
   [40] śrī-kṛṣṇa uvāca,- tathāpi vanyānām asmākaṃ na dhanyā tad vidyā	[40] SrI--kRzNaH uvAca, taTA-api vanyAnAm asmAkam na DanyA tat vidyA
   vidyata iti sadyas tāvad yuṣmac chiṣṭim ācarantaḥ svayaṃ rājñaḥ	vidyate iti sadyas tAvat yuzmat Sizwim AcarantaH svayam rAjQaH
   saṃjñapanāya ca sampatsyāmahe |	saMjQapanAya ca sampatsyAmahe |
   [41] atha tad etat paryantaṃ udantaṃ santanya danti-danta-dvayaṃ	[41] aTa tat etat paryantam udantam santanya danti-danta--dvayam
   kaṃsa-puratas tad-vakṣasīva maṅkṣu śaṅkuvan nikhanya muṣṭikena	kaMsa--puratas tat--vakzasi-iva maFkzu SaFku-vat niKanya muzwikena
   muṣṭi-prahāra-hata-pralambaś cāṇūreṇa cānūru-vihagānuja-vāhanaḥ sasañja |	muzwi--prahAra--hata--pralambaH cANUreNa ca-anUru--vihaga-anuja--vAhanaH sa-saQja |
   labdha-bala-praśastinā mahā-hastinābhinavatayā dīvyad-divya-siṃha iva |	labDa--bala--praSastinA mahA--hastinA-aBinavatayA dIvyat--divya--siMhaH iva |
   tatra ca-	tatra ca-
