   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   sukṛtakarmakārī ca bhavati / guruśuśrūṣaniryātaḥ ājāneyabhojanāni ca	sukRta-karma-kArI ca Bavati / guru-SuSrUza-niryAtaH AjAneya-BojanAni ca
   paribhūṅkte / acyutaśīlasamādhirdāntājāneyaprāptaśca bodhisattvāṃ dṛṣṭvā	pariBUFkte / acyuta-SIla-samADiH-dAntA-jAneya-prAptaH-ca boDisattvAm dRzwvA
   sagauravo bhavati sapratīśaḥ tannimnaḥ tatpravaṇaḥ tatprāgbhāraḥ	sa-gOravaH Bavati sa-pratISaH tad-nimnaH tad-pravaNaH tad-prAgBAraH
   tadguṇapratikāṅkṣī / ime kāśyapa catvāro ājāneyā bodhisattvā tatredam	tad-guNa-pratikAFkzI / ime kASyapa catvAraH AjAneyAH boDisattvA tatra-idam
   ucyate 10 //	ucyate 10 //
   śruṇoti yaṃ suśrutataṃ karoti	SruNoti yam suSrutatam karoti
   dharmārthasāro pratipattisusthitaḥ	Darma-arTa-sAraH pratipatti-susTitaH
   pradakṣiṇaṃ gṛhṇati ānuśāsanīṃ	pradakziNam gRhNati AnuSAsanIm
   suvaco guru sevati dharmakāma /	su-vacaH guru sevati Darma-kAmaH /
   śīle samādhau ca sadā pratiṣṭhito /	SIle samADO ca sadA pratizWitaH /
   subhojanaṃ bhuñjati śīlasaṃvṛtaḥ	su-Bojanam BuQjati SIla-saMvRtaH
   sagauravo bhavati ca sapradeśo	sa-gOravaH Bavati ca sa-pradeSaH-
   tannimna tatproṇu guṇābhikāṅkṣi 2	tad-nimna tad-proNu guNa-aBikAFkzi 2
   ājanyaprāptāśca jinorasā ye	Ajanya-prAptAH-ca jina-urasAH ye
   premeṇa tāṃ paśyati nityakālam /	premeNa tAm paSyati nityakAlam /
   catvāra etan sugato X diṣṭā	catvAraH etat sugataH X dizwA
   ājanyaprāptā sugatasya putrāḥ 3 //	Ajanya-prAptA sugatasya putrAH 3 //
   KP.11 catvāra ime kāśyapa bodhisatvaskhalitāni / katamāni catvāri	KP.11 catvAraH ime kASyapa boDisatva-sKalitAni / katamAni catvAri
   aparipāciteṣu satveṣu viśvāso bodhisattvasya skhalitaṃ / abhājanībhūte	aparipAcitezu satvezu viSvAsaH boDisattvasya sKalitam / aBAjanIBUte
   sattveṣūdārabuddhadharmasamprakāśanatā bodhisattvasya skhalitam	sattvezu-udAra-budDa-Darma-samprakASana-tA boDisattvasya sKalitam
   udārādhimuktikeṣu sattveṣu hīnayānasamprakāśanā bodhisattvasya skhalitaṃ	udAra-aDimuktikezu sattvezu hIna-yAna-samprakASanAH boDisattvasya sKalitam
   samyakpratyupasthiteṣu sattveṣu śīlavatsu kalyāṇadharmaprati mānanā	samyak-pratyupasTitezu sattvezu SIlavatsu kalyANa-Darma-prati mAnanA
   duḥśīlapāpadharmasaṅgraho bodhisattvasya skhali X imā kāśyapa catvāro	duHSIla-pApa-Darma-saFgrahaH boDisattvasya sKali X imA kASyapa catvAraH-
   bodhisattvaskhalitāni / tatredamucyate // 10 //	boDisattva-sKalitAni / tatra-idam-ucyate // 10 //
   na viśvaseyāparipāciteṣu abhājane dharma udāra no bhaṇe /	na viSvaseyA-paripAcitezu aBAjane DarmaH udAra naH BaNe /
   udāradharmeṣu na hīnayāne prakāśaye jātu sa bodhisattvo /	udAra-Darmezu na hIna-yAne prakASaye jAtu sa boDisattvaH /
   samyaksthitāṃ śīlaguṇopapetān kalyāṇadharmā na vimānayeta /	samyak-sTitAm SIla-guNa-upapetAn kalyANa-DarmA na vimAnayeta /
   duḥśīlasattvā na parigraheyā pāpaṃ ca dharmān parivarjayetaḥ	duHSIla-sattvAH na parigraheyA pApam ca DarmAn parivarjayetas-
   skhalitāni catvāri imāni jñātvā vivarjayeddūrata bodhisattvāḥ	sKalitAni catvAri imAni jQAtvA vivarjayet-dUrata boDisattvAH
   imā niṣevaṃ tu na bodhi buddhyate tasmād vivarjed imi dharma paṇḍitaḥ 3 //	imAH nizevam tu na boDi budDyate tasmAt vivarjet imi Darma paNxitaH 3 //
   KP.12 catvāra ime kāśyapa bodhisattvamārgāḥ katame catvāraḥ samacittatā	KP.12 catvAraH ime kASyapa boDisattva-mArgAH katame catvAraH sama-citta-tA
   sarvasattveṣu / buddhajñānasamādāpanatā sarvasattveṣu samadharmadeśanā	sarva-sattvezu / budDa-jQAna-samAdApana-tA sarva-sattvezu sama-Darma-deSanA
   sarvasattveṣu samyakprayogatā sarvasattveṣu / 4 ime kāśyapa catvāro	sarva-sattvezu samyak-prayoga-tA sarva-sattvezu / 4 ime kASyapa catvAraH-
   bodhisattvamārgāḥ tatredam idamucyate 12 //	boDisattva-mArgAH tatra-idam idam-ucyate 12 //
   samacitta sattveṣu bhata nityaṃ samādapeyādiha buddhayāne /	sama-citta sattvezu Bata nityam samAdapeyAt-iha budDa-yAne /
   dharmāṃ ca deśetā jinapraśastaṃ sarveṣu sattveṣu prasannacitto /	DarmAm ca deSetAH jina-praSastam sarvezu sattvezu prasanna-cittaH /
   samyakprayuktā pratipattisusthito sarveṣu sattveṣu samaṃ careta /	samyak-prayuktA pratipatti-susTitaH sarvezu sattvezu samam careta /
   mārgān imāṃścatura jinapraśastāṃ jinorasā sada taṃ bhāvayanti // 3 //	mArgAn imAn=-catura jina-praSastAm jina-urasA sada tam BAvayanti // 3 //
   KP.13 catvāra ime kāśyapa bodhisattvasya kumitrāṇi kusahāyāste	KP.13 catvAraH ime kASyapa boDisattvasya kumitrANi ku-sahAyAH-te
   bodhisattvena parivarjayitavyā / katamāni catvāri / śrāvakayānīyo bhikṣu	boDisattvena parivarjayitavyA / katamAni catvAri / SrAvakayAnIyaH Bikzu
   ātmahitāya pratipannaḥ pratyekabuddhayānīyo 'lpārtho 'lpakṛtyaḥ lokāyatiko	Atma-hitAya pratipannaH pratyekabudDayAnIyaH alpa-arTaH alpa-kRtyaH lokAyati-kaH-
   vicitramantrapratibhānaḥ yaṃ ca pudgalaṃ sevamāna tato lokāmiṣasaṅgraho	vicitra-mantra-pratiBAnaH yam ca pudgalam sevamAna tatas loka-Amiza-saFgrahaH-
   bhavati na dharmasaṅgrahaḥ ime kāśyapa catvāro bodhisattvasya kumitrāṇi	Bavati na Darma-saFgrahaH ime kASyapa catvAraH boDisattvasya kumitrANi
   kusahāyās te bodhisattvena parivarjayitavyāḥ tatredamucyate //	kusahAyAH te boDisattvena parivarjayitavyAH tatra-idam-ucyate //
   ye śrāvakā ātmahitāya yuktā yogaṃ ca ye pravrajitāścaranti /	ye SrAvakAH Atma-hitAya yuktAH yogam ca ye pravrajitAH-caranti /
   pratyekabuddhāpi ca ye 'lpakṛtyā alpārthasaṃsargā vivarjayanti /	pratyekabudDA-api ca ye alpa-kRtyAH alpa-arTa-saMsargAH vivarjayanti /
   lokāyataṃ ye ca paḥhanti bālā vigrāhikā yatra kathopadiṣṭā /	lokAyatam ye ca paHhanti bAlA vigrAhikA yatra kaTA-upadizwA /
   yaṃ sevamānāmiṣasaṅgraho bhaved bhaven na dharmasya ca saṅgraho yahim 2 /	yam sevamAna-Amiza-saFgrahaH Bavet Bavet na Darmasya ca saFgrahaH yahim 2 /
   tān bodhisattvāścaturo prahāya kalyāṇamitrāścaturo bhajanti /	tAn boDisattvAH-caturaH prahAya kalyANa-mitrAH-caturaH Bajanti /
   ete kumitrā kusahāyayuktā jinena dūrāt parivarjanīyā / 3 //	ete kumitrA kusahAya-yuktAH jinena dUrAt parivarjanIyAH / 3 //
