   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   agastyenaivam uktas tu Ram_3,12.23a	agastyena evam uktaH tu Ram_3,12.23a
   agastyo bhagavān ṛṣiḥ Ram_3,11.20b	agastyaH BagavAn RziH Ram_3,11.20b
   agastyo munisattamaḥ Ram_3,10.29b	agastyaH muni sattamaH Ram_3,10.29b
   agastyo munisattamaḥ Ram_3,10.61d	agastyaH muni sattamaH Ram_3,10.61d
   agṛhṇāṃ yac ca te pāṇim Ram_2,37.8a	agRhNAm yat ca te pANim Ram_2,37.8a
   agopālā yathā gāvas Ram_2,61.20c	agopAlAH yaTA gAvaH Ram_2,61.20c
   agnayo 'py anuyānty amī Ram_2,40.19d	agnayaH api anuyAnti amI Ram_2,40.19d
   agnijvālāsamāvṛtām Ram_3,36.25b	agni jvAlA samAvRtAm Ram_3,36.25b
   agnir vāyuś ca somaś ca Ram_2,101.28c	agniH vAyuH ca somaH ca Ram_2,101.28c
   agnivarṇasya śīghragaḥ Ram_2,102.25d	agnivarNasya SIGra gaH Ram_2,102.25d
   agniśālāṃ praviśyātha Ram_2,85.10a	agni SAlAm praviSya aTa Ram_2,85.10a
   agnihotram upāsīnaṃ Ram_3,4. 21c	agnihotram upAsInam Ram_3,4. 21c
   agnihotraṃ puraskṛtya Ram_2,69.9c	agnihotram puraskRtya Ram_2,69.9c
   agnihotreṣu tīrtheṣu Ram_3,37.4a	agnihotrezu tIrTezu Ram_3,37.4a
   agniṃ juhoti sma tadā Ram_2,17.7c	agnim juhoti sma tadA Ram_2,17.7c
   agniṃ paryaṇayaṃ ca yat Ram_2,37.8b	agnim paryaNayam ca yat Ram_2,37.8b
   agniṃ prajvalitaṃ dṛṣṭvā Ram_3,45.38a	agnim prajvalitam dRzwvA Ram_3,45.38a
   agniṃ saṃśamayatv āryaḥ Ram_2,90.10a	agnim saMSamayatu AryaH Ram_2,90.10a
   agniṃ hutvā pradāyārghyam Ram_3,11.24a	agnim hutvA pradAya arGyam Ram_3,11.24a
   agnīn siñcanti vāriṇā Ram_2,108.17b	agnIn siQcanti vAriNA Ram_2,108.17b
   agner indrasya somasya Ram_3,38.12c	agneH indrasya somasya Ram_3,38.12c
   agner bhagavataḥ ketuṃ Ram_2,48.5c	agneH BagavataH ketum Ram_2,48.5c
   agneḥ sthānaṃ tathaiva ca Ram_3,11.17b	agneH sTAnam taTA eva ca Ram_3,11.17b
   agnau pāpe mayā dhṛtaḥ Ram_2,12.11b	agnO pApe mayA DRtaH Ram_2,12.11b
   agnyagārād bahiṣkṛtāḥ Ram_2,70.13b	agni agArAt bahizkRtAH Ram_2,70.13b
   agratas te gamiṣyāmi Ram_2,24.5c	agratas te gamizyAmi Ram_2,24.5c
   agratas te gamiṣyāmi Ram_2,28.8c	agratas te gamizyAmi Ram_2,28.8c
   agratas te parityaktā Ram_2,12.7c	agratas te parityaktA Ram_2,12.7c
   agrataḥ prayayus tasya Ram_2,77.2a	agratas prayayuH tasya Ram_2,77.2a
   agrataḥ prayayuḥ sarve Ram_2,105.2c	agratas prayayuH sarve Ram_2,105.2c
   agrataḥ prayayau rāmaḥ Ram_3,10.1a	agratas prayayO rAmaH Ram_3,10.1a
   agrato gaccha saumitre Ram_2,46.76c	agratas gacCa sOmitre Ram_2,46.76c
   agrato guravas tatra Ram_2,107.10a	agratas guravaH tatra Ram_2,107.10a
   agrato no bhayaṃ prāptaṃ Ram_3,23.6c	agratas naH Bayam prAptam Ram_3,23.6c
   agrato mama gacchantī Ram_2,9.33c	agratas mama gacCantI Ram_2,9.33c
   agrahas taṃ vidhunvaṃs tu Ram_2,20.4a	agrahaH tam viDunvan tu Ram_2,20.4a
   agrākṣṇā vīkṣamāṇas tu Ram_2,20.5a	agra akzNA vIkzamANaH tu Ram_2,20.5a
   agrāhyavīryaḥ pūrvāhṇe Ram_3,15.19a	agrAhya vIryaH pUrvAhNe Ram_3,15.19a
   agre caritum icchasi Ram_3,45.39b	agre caritum icCasi Ram_3,45.39b
   agre niryātum icchāmi Ram_3,21.12a	agre niryAtum icCAmi Ram_3,21.12a
   aṅkam āropya ca svayam Ram_2,110.29b	aFkam Aropya ca svayam Ram_2,110.29b
   aṅkenādāya rāvaṇaḥ Ram_3,52.11b	aFkena AdAya rAvaNaH Ram_3,52.11b
   aṅkenādāya vaidehīṃ Ram_3,47.19c	aFkena AdAya vEdehIm Ram_3,47.19c
   aṅkenādāya vaidehīṃ Ram_3,49.15c	aFkena AdAya vEdehIm Ram_3,49.15c
   aṅke bharatam āropya Ram_2,66.4c	aFke Baratam Aropya Ram_2,66.4c
   aṅke bharatam āropya Ram_2,94.1c	aFke Baratam Aropya Ram_2,94.1c
   aṅkolair bhavyatiniśair Ram_2,88.8c	aFkolEH Bavya tiniSEH Ram_2,88.8c
   aṅgadaiḥ kuṇḍalaiḥ śubhaiḥ Ram_2,29.5b	aFgadEH kuNxalEH SuBEH Ram_2,29.5b
   aṅgapratyaṅgajaḥ putro Ram_2,68.14a	aFga pratyaFga jaH putraH Ram_2,68.14a
   aṅgarāgaṃ ca vaidehi Ram_2,110.17c	aFgarAgam ca vEdehi Ram_2,110.17c
   aṅgarāgeṇa divyena Ram_2,110.19a	aFga rAgeNa divyena Ram_2,110.19a
   aṅgarāgocitāṃ sītāṃ Ram_2,30.9a	aFgarAga ucitAm sItAm Ram_2,30.9a
   aṅgāram upagūhya sma Ram_2,67.4c	aFgAram upagUhya sma Ram_2,67.4c
   aṅgāvekṣasva saumitre Ram_2,90.11c	aFga avekzasva sOmitre Ram_2,90.11c
   aṅgenādāya vaidehīm Ram_3,2.10a	aFgena AdAya vEdehIm Ram_3,2.10a
   acakṣur viṣaye ghoṣaṃ Ram_2,57.16c	acakzuH vizaye Gozam Ram_2,57.16c
   acarantīṃ navaṃ tṛṇam Ram_2,106.9b	acarantIm navam tRNam Ram_2,106.9b
   acintayantī trīṃl lokāṃś Ram_2,24.9c	acintayantI trIn lokAn Ram_2,24.9c
   acintayitvā bāṇāṃs tān Ram_3,49.10c	acintayitvA bANAn tAn Ram_3,49.10c
   acintyakalpaṃ hi pitus Ram_2,16.7a	acintya kalpam hi pituH Ram_2,16.7a
   aciraproṣitaṃ rāmaṃ Ram_2,95.38a	acira prozitam rAmam Ram_2,95.38a
   acirāj jñātum arhasi Ram_2,90.6f	acirAt jQAtum arhasi Ram_2,90.6f
   acirāt tasya dhūmāgraṃ Ram_2,63.16c	acirAt tasya DUma agram Ram_2,63.16c
   acireṇāśramaṃ bhrātuś Ram_3,14.20c	acireNa ASramam BrAtuH Ram_3,14.20c
   acireṇaiva kālena Ram_2,74.11a	acireNa eva kAlena Ram_2,74.11a
   acūcudat sārathim unnadan punar Ram_3,21.26c	acUcudat sAraTim unnadan punar Ram_3,21.26c
   achindatāṃ susaṃhṛṣṭau Ram_3,66.5c	aCindatAm su saMhRzwO Ram_3,66.5c
   ajaś ca suvrataś caiva Ram_2,102.28a	ajaH ca suvrataH ca eva Ram_2,102.28a
   ajasya caiva dharmātmā Ram_2,102.28c	ajasya ca eva Darma AtmA Ram_2,102.28c
   ajātavyañjanaḥ śrīmān Ram_3,36.11a	ajAta vyaQjanaH SrImAn Ram_3,36.11a
   ajānantaṃ prajānantī Ram_2,66.14c	ajAnantam prajAnantI Ram_2,66.14c
   ajānann iva jijñāsur Ram_2,2.16c	ajAnan iva jijQAsuH Ram_2,2.16c
   ajā babhūvur dhūmrāś ca Ram_3,33.30c	ajAH baBUvuH DUmrAH ca Ram_3,33.30c
   ajinaṃ naraśārdūla Ram_3,41.18c	ajinam nara SArdUlaH Ram_3,41.18c
   ajinottarasaṃstīrṇe Ram_2,82.4a	ajina uttara saMstIrNe Ram_2,82.4a
   ajeyaṃ samare śūraṃ Ram_3,30.6c	ajeyam samare SUram Ram_3,30.6c
   ajñānāc chabdavedhinā Ram_2,56.2d	ajQAnAt Sabda veDinA Ram_2,56.2d
   ajñānād avamanyeran Ram_3,60.37c	ajQAnAt avamanyeran Ram_3,60.37c
   ajñānāddhi kṛtaṃ yasmād Ram_2,58.21a	ajQAnAt hi kRtam yasmAt Ram_2,58.21a
   ajñānād bhavataḥ putraḥ Ram_2,58.17a	ajQAnAt BavataH putraH Ram_2,58.17a
   ajñānād yadi vā jñānān Ram_3,52.16c	ajQAnAt yadi vA jQAnAn Ram_3,52.16c
   ajñānād yaddhi vakṣyati Ram_2,27.4b	ajQAnAt yat hi vakzyati Ram_2,27.4b
   ajñānād yena me pitā Ram_2,16.11b	ajQAnAt yena me pitA Ram_2,16.11b
   ajñānād vāpi yat kṛtam Ram_2,34.34b	ajQAnAt vA api yat kRtam Ram_2,34.34b
   añjaliṃ rāghavaḥ kṛtvā Ram_2,52.11c	aQjalim rAGavaH kRtvA Ram_2,52.11c
   aṭavyo ramyakānanāḥ Ram_2,42.9b	awavyaH ramya kAnanAH Ram_2,42.9b
   aṭitvā pratigacchanti Ram_3,6.17c	awitvA pratigacCanti Ram_3,6.17c
   ata eva na śaktāḥ smo Ram_2,103.21c	atas eva na SaktAH smaH Ram_2,103.21c
   atadarhaṃ mahārājaṃ Ram_2,11.1a	atadarham mahA rAjam Ram_2,11.1a
   atandribhir jñātibhir āttakārmukair Ram_2,81.23c	atandriBiH jQAtiBiH Atta kArmukEH Ram_2,81.23c
   atarat sāgaraṃgamām Ram_2,43.9d	atarat sAgaraMgamAm Ram_2,43.9d
   ataś ca tvām ahaṃ brūmi Ram_3,12.17a	atas ca tvAm aham brUmi Ram_3,12.17a
   ataś cājñāṃ vyatikramya Ram_2,27.29c	atas ca AjQAm vyatikramya Ram_2,27.29c
   ataś cāsmiñ janasthāne Ram_3,52.27c	atas ca asmin janasTAne Ram_3,52.27c
   ataś caivāham ādiṣṭā Ram_2,24.3c	atas ca eva aham AdizwAH Ram_2,24.3c
   atas tu kiṃ duḥkhataraṃ Ram_2,58.50a	atas tu kim duHKataram Ram_2,58.50a
   atas tvāṃ yuvarājānam Ram_2,4.16c	atas tvAm yuvarAjAnam Ram_2,4.16c
   ataḥ śūrpaṇakhā ghorā Ram_3,19.1a	atas SUrpaNaKA GorAH Ram_3,19.1a
   atikrāntam atikrāntam Ram_2,45.17a	atikrAntam atikrAntam Ram_2,45.17a
   atikrāntam atikrāntam Ram_2,80.17a	atikrAntam atikrAntam Ram_2,80.17a
   atikrānte 'pi rāghave Ram_2,15.10d	atikrAnte api rAGave Ram_2,15.10d
   atijīvet sa sarveṣu Ram_3,32.16c	ati jIvet sa sarvezu Ram_3,32.16c
   atithiṃ parṇaśālāyāṃ Ram_3,1.14c	atiTim parNa SAlAyAm Ram_3,1.14c
   atithiṃ pratipūjya ca Ram_3,11.24b	atiTim pratipUjya ca Ram_3,11.24b
   atimattāṃ mahodarīm Ram_3,17.20b	atimattAm mahodarIm Ram_3,17.20b
   atimātram ayaṃ deśo Ram_2,87.18a	atimAtram ayam deSaH Ram_2,87.18a
   atimātraṃ praharṣo 'yaṃ Ram_2,7.5c	atimAtram praharzaH ayam Ram_2,7.5c
   atimātraiś ca kārmukaiḥ Ram_3,21.21b	atimAtrEH ca kArmukEH Ram_3,21.21b
   atimāninam agrāhyam Ram_3,31.15a	atimAninam agrAhyam Ram_3,31.15a
   ativṛttam iṣoḥ pātāl Ram_3,42.5c	ativRttam izoH pAtAt Ram_3,42.5c
   ativṛtto hataḥ pūrvaṃ Ram_3,48.13c	ativRttaH hataH pUrvam Ram_3,48.13c
   atiṣṭhat prekṣya vaidehīṃ Ram_3,44.10c	atizWat prekzya vEdehIm Ram_3,44.10c
   atisṛṣṭaṃ maharṣiṇā Ram_3,27.19b	atisRzwam mahA RziNA Ram_3,27.19b
   atisnigdhaṃ ca gāḍhaṃ ca Ram_3,14.25c	atisnigDam ca gAXam ca Ram_3,14.25c
   atītam ājñāya tu pārthivarṣabhaṃ Ram_2,59.14a	atItam AjQAya tu pArTiva RzaBam Ram_2,59.14a
   atītāni prakāṅkṣantyā Ram_2,17.26c	atItAni prakAFkzantyAH Ram_2,17.26c
   atītā śarvarī duḥkhaṃ Ram_2,61.4a	atItA SarvarI duHKam Ram_2,61.4a
   atīyāt sāgaro velāṃ Ram_2,104.18c	atIyAt sAgaraH velAm Ram_2,104.18c
   atīva priyadarśanam Ram_2,3.12b	atIva priya darSanam Ram_2,3.12b
   atīva vātas timiraṃ Ram_2,25.9a	atIva vAtaH timiram Ram_2,25.9a
   atulāṃ prītim aśnute Ram_2,32.18d	atulAm prItim aSnute Ram_2,32.18d
   ato duḥkhataraṃ kiṃ nu Ram_2,17.23e	atas duHKataram kim nu Ram_2,17.23e
   ato duḥkhataraṃ loke Ram_2,96.11a	atas duHKataram loke Ram_2,96.11a
   ato duḥkhataraṃ vanam Ram_2,25.10d	atas duHKataram vanam Ram_2,25.10d
   ato duḥkhataraṃ vanam Ram_2,25.11d	atas duHKataram vanam Ram_2,25.11d
   ato nu kiṃ duḥkhataraṃ Ram_2,53.23a	atas nu kim duHKataram Ram_2,53.23a
   ato bhūyo 'pi nedānīm Ram_2,41.20a	atas BUyas api na idAnIm Ram_2,41.20a
   ato yat tvām ahaṃ brūyāṃ Ram_2,4.15c	atas yat tvAm aham brUyAm Ram_2,4.15c
   atoṣayan mahārājam Ram_2,16.14a	atozayan mahA rAjam Ram_2,16.14a
   ato hi na priyataraṃ Ram_2,15.8a	atas hi na priyataram Ram_2,15.8a
   ato hi saṃcintaya rājyam ātmaje Ram_2,8.27c	atas hi saMcintaya rAjyam Atmaje Ram_2,8.27c
   atyaṅkuśam ivoddāmaṃ Ram_2,20.15a	atyaFkuSam iva uddAmam Ram_2,20.15a
   atyantaghoro vyacaraṃ Ram_3,37.4c	atyanta GoraH vyacaram Ram_3,37.4c
   atyantaniyatāhāraiḥ Ram_3,33.14a	atyanta niyata AhArEH Ram_3,33.14a
   atyantasukhasaṃcārā Ram_3,15.10a	atyanta suKa saMcArAH Ram_3,15.10a
   atyantasukhasaṃvṛddhaḥ Ram_3,15.28a	atyanta suKa saMvRdDaH Ram_3,15.28a
   atyantasukhasaṃvṛddhāṃ Ram_3,2.16e	atyanta suKa saMvRdDAm Ram_3,2.16e
   atyantasukhasevinīm Ram_2,91.11d	atyanta suKa sevinIm Ram_2,91.11d
   atyayāt sa mahāśailān Ram_2,65.3c	atyayAt sa mahA SElAn Ram_2,65.3c
   atyetīvottarān kurūn Ram_2,88.26b	atyeti iva uttarAn kurUn Ram_2,88.26b
   atra kiṃ śobhanaṃ yat tvaṃ Ram_3,39.16c	atra kim SoBanam yat tvam Ram_3,39.16c
   atra te pratimokṣyāmi Ram_2,9.35a	atra te pratimokzyAmi Ram_2,9.35a
   atra devāś ca yakṣāś ca Ram_3,10.89a	atra devAH ca yakzAH ca Ram_3,10.89a
   atra devāḥ prayacchanti Ram_3,10.91c	atra devAH prayacCanti Ram_3,10.91c
   atra devāḥ sagandharvāḥ Ram_3,10.87a	atra devAH sa ganDarvAH Ram_3,10.87a
   atra brūhi yathāsatyaṃ Ram_3,48.14a	atra brUhi yaTAsatyam Ram_3,48.14a
   atra me nāsti saṃśayaḥ Ram_2,9.17b	atra me na asti saMSayaH Ram_2,9.17b
   atra yātrāṃ samīhantaṃ Ram_2,72.1a	atra yAtrAm samIhantam Ram_2,72.1a
   atra rāma iti jñātvā Ram_2,92.14c	atra rAmaH iti jQAtvA Ram_2,92.14c
   atra viṃśatikoṭyas tu Ram_2,64.4a	atra viMSati kowyaH tu Ram_2,64.4a
   atra siddhā mahātmāno Ram_3,10.90a	atra sidDAH mahAtmAnaH Ram_3,10.90a
   atra saumya ramemahi Ram_2,50.12d	atra sOmya ramemahi Ram_2,50.12d
   atrāhaṃ puruṣavyāghraṃ Ram_2,93.12a	atra aham puruza vyAGram Ram_2,93.12a
   atrainaṃ hi mahābhāgāḥ Ram_3,1.14a	atra enam hi mahABAgAH Ram_3,1.14a
   atha kṛtvāham añjalim Ram_2,53.2b	aTa kRtvA aham aQjalim Ram_2,53.2b
   atha krodhād daśagrīvo Ram_3,49.8a	aTa kroDAt daSagrIvaH Ram_3,49.8a
   atha kleśajam eva tvaṃ Ram_2,98.57a	aTa kleSa jam eva tvam Ram_2,98.57a
   atha gatvā muhūrtaṃ tu Ram_2,93.13a	aTa gatvA muhUrtam tu Ram_2,93.13a
   atha cāpi mahāprājña Ram_2,26.6a	aTa ca api mahA prAjQaH Ram_2,26.6a
   atha cikṣepa saumitriḥ Ram_2,50.16c	aTa cikzepa sOmitriH Ram_2,50.16c
   atha cīrāṇi kaikeyī Ram_2,33.6a	aTa cIrANi kEkeyI Ram_2,33.6a
   atha tatra samāsīnās Ram_2,3.8a	aTa tatra samAsInAH Ram_2,3.8a
   atha tad vyāhariṣyāmi Ram_2,10.15c	aTa tat vyAharizyAmi Ram_2,10.15c
   atha tasya vacaḥ śrutvā Ram_3,10.63a	aTa tasya vacaH SrutvA Ram_3,10.63a
   atha taṃ vyathayā dīnaṃ Ram_2,19.1a	aTa tam vyaTayA dInam Ram_2,19.1a
   atha tān nānugacchāmi Ram_2,54.3c	aTa tAn na anugacCAmi Ram_2,54.3c
   atha te 'gniṃ surāṃś caiva Ram_3,7.3a	aTa te agnim surAn ca eva Ram_3,7.3a
   atha tau samatikramya Ram_3,65.21a	aTa tO samatikramya Ram_3,65.21a
   atha dāśarathiś citraṃ Ram_2,88.2a	aTa dASaraTiH citram Ram_2,88.2a
   atha dāśarathiṃ rāmaṃ Ram_2,78.4a	aTa dASaraTim rAmam Ram_2,78.4a
   atha nātra naravyāghrau Ram_2,87.23a	aTa na atra nara vyAGrO Ram_2,87.23a
   atha pañcavaṭīṃ gacchann Ram_3,13.1a	aTa paQcavawIm gacCan Ram_3,13.1a
   atha papraccha nāma ca Ram_3,13.4d	aTa papracCa nAma ca Ram_3,13.4d
   atha pādābhivandanam Ram_2,46.24b	aTa pAda aBivandanam Ram_2,46.24b
   atha puṣkaraparṇena Ram_3,69.12c	aTa puzkara parNena Ram_3,69.12c
   atha prahlādito vākyair Ram_2,56.17a	aTa prahlAditaH vAkyEH Ram_2,56.17a
   atha bhūmipradeśajñāḥ Ram_2,74.1a	aTa BUmi pradeSa jQAH Ram_2,74.1a
   atha bhrātaram avyagraṃ Ram_2,29.11a	aTa BrAtaram avyagram Ram_2,29.11a
   atha mātuḥ sumitrāyā Ram_2,35.3c	aTa mAtuH sumitrAyAH Ram_2,35.3c
   atha mām evam avyagrāṃ Ram_2,27.18a	aTa mAm evam avyagrAm Ram_2,27.18a
   atha yānapravekais tu Ram_2,86.33a	aTa yAna pravekEH tu Ram_2,86.33a
   atha yāḥ kosalendrasya Ram_2,59.5a	aTa yAH kosala indrasya Ram_2,59.5a
   atha rāghavam abravīt Ram_2,50.17d	aTa rAGavam abravIt Ram_2,50.17d
   atha rājavitīrṇeṣu Ram_2,1.36a	aTa rAja vitIrNezu Ram_2,1.36a
   atha rājā daśarathaḥ Ram_2,57.1c	aTa rAjA daSaraTaH Ram_2,57.1c
   atha rājā vṛtaḥ strībhir Ram_2,35.24a	aTa rAjA vRtaH strIBiH Ram_2,35.24a
   atha rātryāṃ vyatītāyām Ram_2,50.1a	aTa rAtryAm vyatItAyAm Ram_2,50.1a
   atha rātryāṃ vyatītāyāṃ Ram_2,59.1a	aTa rAtryAm vyatItAyAm Ram_2,59.1a
   atha rāmaś ca sītā ca Ram_2,35.1a	aTa rAmaH ca sItA ca Ram_2,35.1a
   atha rāmas tathā śrutvā Ram_2,31.28a	aTa rAmaH taTA SrutvA Ram_2,31.28a
   atha rāmo muhūrtena Ram_2,31.18a	aTa rAmaH muhUrtena Ram_2,31.18a
   atha reṇusamuddhvastaṃ Ram_2,37.10a	aTa reNu samudDvastam Ram_2,37.10a
   atharṣir jarayā vṛddhas Ram_2,108.8a	aTa RziH jarayA vRdDaH Ram_2,108.8a
   atha vā gamyatāṃ śīghraṃ Ram_2,11.10c	aTa vA gamyatAm SIGram Ram_2,11.10c
   atha vā padminīṃ yātā Ram_3,58.9c	aTa vA padminIm yAtAH Ram_3,58.9c
   atha vāpi mahābāhur Ram_2,53.20a	aTa vA api mahA bAhuH Ram_2,53.20a
   atha vā pṛṣṭhataḥ kṛtvā Ram_2,98.68a	aTa vA pRzWatas kRtvA Ram_2,98.68a
   atha vāpy anuvartate Ram_2,17.25b	aTa vA api anuvartate Ram_2,17.25b
   atha vāpy ayutāny eva Ram_2,94.18c	aTa vA api ayutAni eva Ram_2,94.18c
   atha vā mṛgaśāvākṣīṃ Ram_3,58.20a	aTa vA mRgaSAvAkzIm Ram_3,58.20a
   atha vā me bhavec chaktir Ram_2,67.14a	aTa vA me Bavet SaktiH Ram_2,67.14a
   atha vārjuna śaṃsa tvaṃ Ram_3,58.14a	aTa vA arjuna SaMsa tvam Ram_3,58.14a
   atha vā vanam āśritā Ram_3,58.8d	aTa vA vanam ASritAH Ram_3,58.8d
   atha vāsān parityajya Ram_2,95.36a	aTa vAsAn parityajya Ram_2,95.36a
   atha vāsmān vadhiṣyati Ram_2,78.3d	aTa vA asmAn vaDizyati Ram_2,78.3d
   atha vā svayam evāhaṃ Ram_2,69.9a	aTa vA svayam eva aham Ram_2,69.9a
   atha śailād viniṣkramya Ram_2,89.1a	aTa SElAt vinizkramya Ram_2,89.1a
   atha saṃvepamānānāṃ Ram_2,59.7a	aTa saMvepamAnAnAm Ram_2,59.7a
   atha sītā samutpatya Ram_2,23.6a	aTa sItA samutpatya Ram_2,23.6a
   atha sma nagare rāmaś Ram_2,38.4a	aTa sma nagare rAmaH Ram_2,38.4a
   athājuhāva taṃ sūtaṃ Ram_2,52.1c	aTa AjuhAva tam sUtam Ram_2,52.1c
   athātmaparidhānārthaṃ Ram_2,33.9a	aTa Atma pariDAna arTam Ram_2,33.9a
   athānujaṃ bhṛśam anuśāsya darśanaṃ Ram_2,18.40c	aTa anujam BRSam anuSAsya darSanam Ram_2,18.40c
   athānupūrvyāt pratipūjya taṃ janaṃ Ram_2,104.24a	aTa AnupUrvyAt pratipUjya tam janam Ram_2,104.24a
   athāntargṛham āviśya Ram_2,4.3a	aTa antargRham AviSya Ram_2,4.3a
   athāndhakāre tv aśrauṣaṃ Ram_2,57.16a	aTa anDakAre tu aSrOzam Ram_2,57.16a
   athābravīd bāṣpakalāṃs Ram_2,29.18a	aTa abravIt bAzpa kalAn Ram_2,29.18a
   athābravīn mahābāhuḥ Ram_2,46.76a	aTa abravIt mahA bAhuH Ram_2,46.76a
   athābhivādya rājānaṃ Ram_2,3.31a	aTa aBivAdya rAjAnam Ram_2,3.31a
   athāruroha tejasvī Ram_2,46.64a	aTa Aruroha tejasvI Ram_2,46.64a
   athāvatasthe suśrāntaś Ram_3,42.9a	aTa avatasTe suSrAntaH Ram_3,42.9a
   athāśramastho vinayāt Ram_3,10.28a	aTa ASrama sTaH vinayAt Ram_3,10.28a
   athāśramād upāvṛttam Ram_3,57.1a	aTa ASramAt upAvRttam Ram_3,57.1a
   athāsādya tu kālindīṃ Ram_2,49.3a	aTa AsAdya tu kAlindIm Ram_2,49.3a
   athāsya capalā mātā Ram_2,66.39a	aTa asya capalAH mAtA Ram_2,66.39a
   athāham ekas taṃ deśaṃ Ram_2,58.24a	aTa aham ekaH tam deSam Ram_2,58.24a
