   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   tan māyayāvṛta svarūpa jñānānāṃ tayaiva sattva rajas tamo maye jaḍe	tan  mAyayA AvRta  svarUpa  jQAnAnAm tayA eva sattva rajas  tamaH  maye jaxe
   pradhāne racitātma bhāvānāṃ jīvānāṃ saṃsāra duḥkhaṃ ca jñāpitam | tathā	praDAne racita Atma  BAvAnAm jIvAnAm saMsAra  duHKam ca jQApitam | taTA
   coktam ekādaśe śrī bhagavatā  	ca uktam ekAdaSe SrI  BagavatA  
   ātmā parijñānamayo vivādo	AtmA parijQAna mayaH vivAdaH 
   hy astīti nāstīti bhidātma niṣṭhaḥ |	hi asti iti na asti iti BidA Atma  nizWaH |
   vyartho'pi naivoparameta puṃsāṃ	vyarTaH api na eva uparameta puMsAm
   mattaḥ parāvṛtta dhiyāṃ svalokāt || [BhP 11.22.34] iti |	mattaH parAvRtta DiyAm sva lokAt || [Bhj 11.22.34] iti |
   atas tad arthaṃ parama kāruṇikaṃ śāstram upadiśati | tatra ye jīvā ye	atas tad  arTam parama kAruNikam SAstram upadiSati | tatra ye jIvAH ye
   kecit	kecid 
   janmāntarāvṛtta tad arthānubhava saṃskāravato ye ca tadaiva vā labdha 	janma antara avRtta  tad  arTa anuBava  saMskAravataH ye ca tadA eva vA labDa 
   mahat kṛpātiśaya dṛṣṭi prabhṛtayas teṣāṃ tādṛśa para tattva lakṣaṇa 	mahat  kRpA atiSaya dRzwi  praBRtayaH tezAm tAdRSa  para  tattva  lakzaNa 
   vastūpadeśa śravaṇārambha mātreṇaiva tat kālam eva yugapad eva tat 	vastu upadeSa  SravaNa AramBa  mAtreNa eva tat kAlam eva yugapad eva tat 
   sāmmukhyaṃ tad anubhavo'pi jñāyate | yathoktaṃ   kiṃ vā parair īśvaraḥ	sAmmuKyam tat  anuBavaH api jQAyate | yaToktam  kim vA parEH ISvaraH
   sadyo hṛdy avarudhyate'tra kṛtibhiḥ śuśrūṣubhis tat kṣaṇāt iti [BhP 1.1.1]	sadyas hRdi avaruDyate atra kRtiBiH SuSrUzuBiH tat kzaNAt iti [Bhj 1.1.1]
   atas teṣāṃ nopadeśāntarāpekṣā | yādṛcchikam upadeśāntara śravaṇaṃ tu tat 	atas tezAm na upadeSa antara apekzA | yAdRcCikam upadeSa antara  SravaNam tu tat 
   tal līlā śravaṇavat tadīya rasasyaivoddīpakaṃ, yathā śrī prahlādādīnām |	tal  lIlA  SravaNa vat tadIya  rasasya eva uddIpa kaM, yaTA SrI  prahlAda AdInAm |
   tathānyeṣāṃ tādṛśatvaṃ bījāyamānam api kāmādi vaiguṇyena tad itara 	taTA anyezAm tAdRSa tvam bIjAyamAnam api kAma Adi  vEguNyena tat  itara 
   doṣeṇaiva pratihataṃ tiṣṭhati |	dozeNa eva pratihatam tizWati |
   [page 2]	[page 2]
   naitan manas tava kathāsu vikuṇṭha nātha	na etat manaH tava kaTAsu vikuNWa nATa
   samprīyate durita duṣṭam asādhu tīvram |	samprIyate durita duzwam asADu tIvram |
   kāmāturaṃ harṣa śoka bhayaiṣaṇārtaṃ	kAma Aturam harza Soka  Baya ezaNa Artam
   tasmin kathaṃ tava gatiṃ vimṛśāmi dīnaḥ || [BhP 7.9.39]	tasmin kaTam tava gatim vimRSAmi dInaH || [Bhj 7.9.39]
   iti dīnaṃ manya śrī prahlāda vacanānusāreṇānyeṣām eva tat prāpteḥ |	iti dInaM manya  SrI  prahlAda  vacana anusAreNa anyezAm eva tat  prApteH |
   ataevoktaṃ brahma vaivarte  	ataeva uktam brahma  vEvarte  
   yāvat pāpais tu malinaṃ hṛdayaṃ tāvad eva hi |	yAvat pApEH tu malinam hRdayam tAvat eva hi |
   na śāstre satya buddhiḥ syāt sad buddhiḥ sad gurau tathā ||	na SAstre satya budDiH syAt sad budDiH sat  gurO taTA ||
   aneka janma janita puṇya rāśi phalaṃ mahat |	aneka  janma  janita  puNya  rASi  Palam mahat |
   sat saṅga śāstra śravaṇād eva premādi jāyate || iti |	sat  saFga  SAstra  SravaNAt eva prema Adi jAyate || iti |
   tato mukhyena tātparyeṇa para tattve paryavasite'pi teṣāṃ para tattvādy 	tatas muKyena tAtparyeNa para tattve paryavasite api tezAm para tattva Adi  
   upadeśasya kim abhidheyaṃ prayojanaṃ cety apekṣāyāṃ tad avāntara 	upadeSasya kim aBiDeyam prayojanam ca iti apekzAyAm tat  avAntara 
   tātparyeṇa tad dvayam upadeṣṭavyam | tatrābhidheyaṃ tad vaimukhya 	tAtparyeNa tad  dvayam upadezwavyam | tatra aBiDeyam tat  vEmuKya 
   virodhitvāt tat sāmmukhyam eva | tac ca tad upāsanā lakṣaṇaṃ yata eva taj 	viroDi tvAt tat  sAmmuKyam eva | tat ca tad  upAsanA  lakzaNam yatas eva taj 
   jñānam āvirbhavati | prayojanaṃ ca tad anubhavaḥ | sa cāntar bahiḥ 	jQAnam AvirBavati | prayojanam ca tad  anuBavaH | sa ca antar bahis  
   sākṣātkāra lakṣaṇaḥ yata eva svayaṃ kṛtsna duḥkha nivṛttir bhavati |	sAkzAtkAra  lakzaNaH yatas eva svayam kRtsna  duHKa nivRttiH Bavati |
   tad etad dvayaṃ yadyapi pūrvatra siddhopadeśa eva abhipretam asti, yathā	tat etat dvayam yadi api pUrvatra sidDa upadeSaH eva aBipretam asti, yaTA
   tava	tava
   gṛhe nidhir asti iti śrutvā kaścid daridras tad arthaṃ prayatate labhate	gRhe niDiH asti iti SrutvA kaScid daridraH tad  arTam prayatate laBate
   ca tam	ca tam
   iti | tadvat tathāpi tac chaithilya nirāsāya punas tad upadeśaḥ | tad evaṃ	iti | tadvat taTA api tac  SETilya  nirAsAya punar tad  upadeSaH | tat evam
   tān	tAn
   prati anādi siddha taj jñāna saṃsargābhāva maya tad vaimukhyādikaṃ	prati anAdi sidDa taj  jQAna  saMsarga aBAva  maya  tad vEmuKya Adikam
   duḥkha hetuṃ vadan vyādhi nidāna vaiparītya maya cikitsā nibhaṃ tat 	duHKa hetum vadan vyADi  nidAna  vEparItya maya  cikitsA a  niBam tat 
   sāmmukhyādikam upadiśati |	sAmmuKya Adikam upadiSati |
   bhayaṃ dvitīyābhiniveśataḥ syād	Bayam dvitIya aBiniveSataH syAt 
   īśād apetasya viparyayo'smrtiḥ |	ISAt apetasya viparyayaH asmrtiH |
   tan māyayāto budha ābhajet tam	tan mAya yAtas buDaH ABajet tam
   bhaktyaikayeśa gurudevatātmā || [BhP 11.2.37]	BaktyA ekayA ISa guru devatA AtmA || [Bhj 11.2.37]
   ṭīkā ca   nanu kim evaṃ parameśvara bhajanenājñāna kalpita bhayasya	wIkA ca  nanu kim evam parameSvara  Bajanena ajQAna  kalpita  Bayasya
   jñānaika nivartakatvādityāśaṅkyāha bhayam iti | yato bhayaṃ tan māyayā	jQAna eka  nivartaka tvAt iti ASaFkya Aha Bayam iti | yatas Bayam tan  mAyayA
   bhavet tato buddhimān tam eva ābhajed upāsīta | nanu bhayaṃ	Bavet tatas budDimAn tam eva ABajet upAsIta | nanu Bayam
   dvitīyābhiniveśata`y syāt | sa ca dehādy ahaṅkārataḥ | sa ca	dvitIya aBiniveSata`I syAt | sa ca deha Adi  ahaFkArataH | sa ca
   svarūpāsphuraṇāt kim atra tasya māyā karoti | ata āha īśād apetasyeti |	sva rUpa asPuraNAt kim atra tasya mAyA karoti | atas Aha ISAt apetasya iti |
   īśa 	ISa 
   vimukhasya tan māyayā asmṛtiḥ svarūpa sphūrtir bhavati tato viparyayo	vimuKasya tan  mAyayA asmRtiH sva rUpa sPUrtiH Bavati tatas viparyayaH 
   deho'smīti | tato dvitīyābhiniveśād bhayaṃ bhavati | evaṃ hi prasiddhaṃ	dehaH asmi iti | tatas dvitIya aBiniveSAt Bayam Bavati | evam hi prasidDam
   laukikīṣv api māyāsu | uktaṃ ca bhagavatā   	lOkikIzu api mAyAsu | uktam ca BagavatA   
   daivī hy eṣā guṇamayī mama māyā duratyayā |	dEvI hi ezA guNa mayI mama mAyA duratyayAH |
   mām eva ye prapadyante māyām etāṃ taranti te || [Gītā 7.14] iti | [page 3]	mAm eva ye prapadyante mAyAm etAm taranti te || [GItAH 7.14] iti | [page 3]
   ekayā avyabhicāriṇyā bhajet | kiṃ ca guru devatātmā gurur eva devatā	ekayA avyaBicAriNyA Bajet | kim ca guru  devatA AtmA guruH eva devatA
   īśvara	ISvara
   ātmā preṣṭhaś ca yasya tathādṛṣṭiḥ sann ity arthaḥ | ity eṣā ||	AtmA prezWaH ca yasya taTA adRzwiH san iti arTaH | iti ezA ||
   ||11.2|| kavir videham ||1||	||11.2|| kaviH videham ||1||
   kiṃ ca  	kim ca  
   evaṃ sva citte svata eva siddha	evam sva  citte svatas eva sidDa
   ātmā priyo'rtho bhagavān anantaḥ |	AtmA priyaH arTaH BagavAn anantaH |
   taṃ nirvṛto niyatārtho bhajeta	tam nirvRtaH niyata arTaH Bajeta
   saṃsāra hetūparamaś ca yatra || [BhP 2.2.6]	saMsAra hetu uparamaH ca yatra || [Bhj 2.2.6]
   ṭīkā ca   tadā anena kiṃ kartavyaṃ, haris tu sevya ity āha | evaṃ viraktaḥ	wIkA ca  tadA anena kim kartavyan, hariH tu sevyaH iti Aha | evam viraktaH
   san	san
   taṃ bhajeta | bhajanīyatve hetavaḥ   svacitte svata eva siddhaḥ | yata	tam Bajeta | BajanIya tve hetavaH  sva citte svatas eva sidDaH | yata
   ātmā	AtmA
   ataeva priyaḥ | priyasya ca sevā sukharūpaiva | arthaḥ satyaḥ | na tu	ataeva priyaH | priyasya ca sevA suKa rUpA eva | arTaH satyaH | na tu
   anātmavat	anAtma vat 
   mithyā | bhagavān bhajanīya guṇaś ca anantaś ca nityaḥ | yata evambhūtas	miTyA | BagavAn BajanIya  guNaH ca anantaH ca nityaH | yatas evamBUta s
   taṃ bhajeta | niyatārthaś niścita svarūpaḥ | bhagavad anubhavānandena	tam Bajeta | niyata arTaH niScita  svarUpaH | Bagavat  anuBava Anandena
   nirvṛtaḥ san, iti svataḥ sukhātmakatvaṃ darśitam | kiṃ yatra yasmin	nirvRtaH san, iti svatas suKa Atmaka tvam darSitam | kim yatra yasmin
   bhajane	Bajane
   sati saṃsāra hetor avidyāyā uparamo nāśo bhavati ity eṣā | atra ca kārāt	sati saMsAra hetoH avidyAyAH uparamaH nASaH Bavati iti ezA | atra ca kArAt 
   tat 	tat 
   prāptir jñeyā ||	prAptiH jQeyAH ||
   ||2.2|| śrī śukaḥ ||2||	||2.2|| SrI SukaH ||2||
   tatra yadyapi śravaṇa mananādikaṃ jñāna sādhanam api tat sāmmukhyam	tatra yadi api SravaNa manana Adikam jQAna  sADanam api tat  sAmmuKyam
   eva | brahmākārasyānubhava hetutvāt, ataeva tat paramparopayogitvāt	eva | brahma AkArasya anuBava  hetu tva at, ataeva tat parampara upayogi tvAt
   sāṅkhyāṣṭāṅgayoga karmāṇy api tat sāmmukhyāny eva | tathā teṣāṃ	sAFKya azwa aFga yoga  karmANi api tat  sAmmuKyAni eva | taTA tezAm
   kathañcid bhaktitvam api jāyate | karmaṇas tad ājñā pālana rūpatvena tad 	kaTaQcid Bakti tvam api jAyate | karmaNaH tad  AjQA  pAlana  rUpa tvena tat  
   arpitatvādinā ca karaṇāt | jñānādīnāṃ cānyatrānāsakti hetutvādi dvārā	arpita tva AdinA ca karaNAt | jQAna AdInAm ca anyatra anAsakti hetu tva Adi dvArA
   bhakti sacivatayā vidhānāt tathāpi pūrvaṃ bhaktyā bhajetety anena karma 	Bakti  saciva tayA viDAnAt taTA api pUrvam BaktyA Bajeta iti anena karma 
   jñānādikaṃ nādṛtaṃ kintu sākṣād bhaktyā śravaṇa kīrtanādi lakṣaṇayaiva	jQAna Adikam na AdRtam kintu sAkzAt  BaktyA SravaNa kIrtana Adi  lakzaNayA eva
   bhajeta ity uktam | tathaiva sahetukaṃ śrī sūtopadeśopakramata eva dṛśyate	Bajeta iti uktam | taTA eva sa hetukam SrI  sUta upadeSa upakramataH eva dRSyate
   yathāha dvāviṃśatyā   sa vai ity ādinā ato vai kavaya ity antena granthena	yaTA Aha dvAviMSatyA  sa vE iti  AdinA atas vE kavayaH iti antena granTena
   sa vai puṃsāṃ paro dharmo yato bhaktir adhokṣaje |	sa vE puMsAm paraH DarmaH yatas BaktiH aDokzaje |
   ahaituky apratihatā yayātmā suprasīdati ||3|| [BhP 1.2.6]	ahEtukI apratihatA yayA AtmA suprasIdati ||3|| [Bhj 1.2.6]
   yat khalu mahā purāṇārambhe pṛṣṭaṃ sarva śāstra sāram aikāntikaṃ śreyo	yat Kalu mahA  purANa AramBe pRzwam sarva  SAstra sAram EkAntikam SreyaH 
   brūhīti tatrottaraṃ sa vai ity ādi | yato dharmād adhokṣaje bhaktis	brUhi iti tatra uttaram sa vE iti  Adi | yatas DarmAt aDokzaje Baktis
   tat kathā 	tat kaTA 
   śravaṇādiṣu rucir bhavati | dharmaḥ svanuṣṭhita ity ādau [BhP 1.2.8]	SravaNa Adizu ruciH Bavati | DarmaH su anuzWitaH iti  AdO [Bhj 1.2.8]
   vyatirekeṇa darśyaiṣyamāṇatvāt | sa vai sa eva svanuṣṭhitasya dharmasya	vyatirekeNa darSI EzyamANa tvAt | sa vE saH eva su anuzWitasya Darmasya
   saṃsiddhir hari toṣaṇam iti [BhP 1.2.13] vakṣyamāṇa rītyā tat santoṣārtham	saMsidDiH hari tozaNam iti [Bhj 1.2.13] vakzyamANa  rItyA tat santoza arTam
   eva kṛto dharmaḥ paraḥ sarvataḥ śreṣṭhaḥ na nivṛtti mātra lakṣaṇo'pi,	eva kRtaH DarmaH paraH sarvatas SrezWaH na nivRtti  mAtra lakzaNaH api,
   vaimukhyāviśeṣāt | tathā ca śrī nārada vākyam   naiṣkarmyam apy acyuta 	vEmuKyA viSezAt | taTA ca SrI nArada  vAkyam  nEzkarmyam api acyuta 
   bhāva varjitam ity ādau kutaḥ punaḥ śaśvad abhadram īśvare na cārpitaṃ	BAva  varjitam iti  AdO kutas punar SaSvat aBadram ISvare na ca arpitam
   karma yad apy akāraṇam iti [BhP 1.5.12] | ato vakṣyate ataḥ pumbhir ity	karma yat api akAraNam iti [Bhj 1.5.12] | atas vakzyate atas pumBiH iti 
   [BhP	[BhP
   1.2.13] ādi | tataḥ sa evaikāntikaṃ śreyaḥ ity arthaḥ | anena bhaktes	1.2.13] Adi | tatas saH eva ekAntikam SreyaH iti arTaH | anena BakteH 
   tādṛśa 	tAdRSa 
   dharmato'pi atiriktatvam | tasyāḥ bhakteḥ svarūpa guṇam āha, svata eva	DarmataH api atirikta tvam | tasyAH BakteH svarUpa guNam Aha, svatas eva
   sukha rūpatvād ahaitukī phalāntarānusandhāna rahitā | apratihatā	suKa  rUpa tvAt ahEtukI Pala antara anusanDAna  rahitA | apratihatA
   tad upari 	tad  upari 
   sukhada padārthāntarābhāvāt kenāpi vyavadhātum aśakyā ca | jātāyāṃ ca	suKa da pada arTa antara aBAvAt kena api vyavaDAtum aSakyA ca | jAtAyAm ca
   tasyāṃ ruci lakṣaṇāyāṃ bhaktyā tayaiva śravaṇādi lakṣaṇo bhaki yogaḥ	tasyAm ruci  lakzaNAyAm BaktyA tayA eva SravaNa Adi  lakzaNaH Baki yogaH
   pravartitaḥ syāt |	pravartitaH syAt |
   tataś ca yasyāsti bhaktir bhagavaty akiñcanā sarvair guṇais tatra samāsate	tatas ca yasya asti BaktiH Bagavati akiQcanA sarvEH guNEH tatra samAsate
   surāḥ [BhP 5.18.12] ity ādy anusāreṇa bhagavat svarūpādi jñānaṃ	surAH [Bhu 5.18.12] iti  Adi  anusAreNa Bagavat  svarUpa Adi jQAnam
   tato'nyatra	tatas anyatra
   vairāgyaṃ ca tad anugāmyeva syād ity āha   	vErAgyam ca tad  anugAmi a iva syAt iti Aha   
   vāsudeve bhagavati bhakti yogaḥ prayojitaḥ |	vAsudeve Bagavati Bakti yogaH prayojitaH |
   janayaty āśu vairāgyaṃ jñānaṃ ca yad ahaitukam || [BhP 1.2.7]	janayati ASu vErAgyam jQAnam ca yat ahEtukam || [Bhj 1.2.7]
   ahaitukaṃ śuṣka tarkādy agocaram aupaniṣadaṃ jñānam āśu īṣat śravaṇa 	ahEtukam Suzka  tarka Adi  a gocaram Opanizadam jQAnam ASu Izat SravaNa 
   mātreṇa janayatīty arthaḥ | vyatirekeṇāha  	mAtreNa janayati iti arTaH | vyatirekeNa Aha  
   dharmaḥ svanuṣṭhitaḥ puṃsāṃ viṣvaksena kathāsu yaḥ |	DarmaH su anuzWitaH puMsAm vizvaksena  kaTAsu yaH |
   notpādayed yadi ratiṃ śrama eva hi kevalam || [BhP 1.2.8]	na utpAdayet yadi ratim SramaH eva hi kevalam || [Bhj 1.2.8]
   vāsudevālambanābhāvena yadi tat kathāsu tal līlā varṇaneṣu ratiṃ ruciṃ	vAsudeva Alambana aBAvena yadi tat kaTAsu tal lIlA  varNanezu ratim rucim
   notpādayet tadā śramaḥ syān na tu phalam | kathā ruceḥ sarvatraivādyatvāt	na utpAdayet tadA SramaH syAt na tu Palam | kaTA  ruceH sarvatra eva adya tvAt 
   śreṣṭhatvāc ca saivoktā | tad upalakṣaṇatvena bhajanāntara rucir apy	SrezWa tvAt ca sA eva uktA | tad  upalakzaNa tvena Bajana antara ruciH api 
   upadiṣṭhā | eva śabdena pravṛtti lakṣaṇa karma phalasya svargādeḥ	upadizWA | eva  Sabdena pravRtti lakzaNa karma  Palasya svarga AdeH
   kṣayiṣṇutvaṃ, hi śabdena tatraiva ca tad yatheha karma jito lokaḥ kṣīyate	kzayizNu tvaM, hi Sabdena tatra eva ca tat yaTA iha karma  jitaH lokaH kzIyate
   [Chā 8.1.6] iti sopapattika śruti pramāṇatvam | kevala śabdena	[ChA 8.1.6] iti sa upapattika  Sruti  pramANa tvam | kevala  Sabdena
   nivṛtti mātra 	nivRtti  mAtra 
   lakṣaṇa dharma phalasyāsādhyatvaṃ, siddhasyāpi naśvaratvam | tatrāpi	lakzaNa  Darma  Palasya asADya tvan, sidDasya api naSvara tvam | tatra api
   tenaiva hi śabdena yasya deve parā bhaktir [Śvet 6.23] ity ādi,	tena eva hi  Sabdena yasya deve parA BaktiH [Śvet 6.23] iti  Adi,
   śreyaḥ sṛtiṃ	SreyaH sRtim
   bhaktim udasya te vibho kliśyanti ye kevala bodha labdhaye ity ādi [BhP	Baktim udasya te viBo kliSyanti ye kevala  boDa  labDaye iti  Adi [BhP
   10.14.4], āruhya kṛcchreṇa paraṃ padaṃ tataḥ patanty adho'nādṛta yuṣmad 	10.14.4], Aruhya kRcCreNa param padam tatas patanti aDas anAdRta  yuzmad  
   aṅghrayaḥ [BhP 10.2.32] ity ādi vacana pramāṇatvaṃ ca sūcitam | śloka 	aFGrayaH [Bhj 10.2.32] iti  Adi vacana  pramANa tvam ca sUcitam | Sloka 
   dvayena bhakir nirapekṣā, jñāna vairāgye tu tat sāpekṣe iti labhyate | tad	dvayena BakiH nirapekzA, jQAna  vErAgye tu tat sA apekze iti laByate | tat 
   evaṃ bhakti phalatvenaiva dharmasya sāphalyam uktam |	evam Bakti Pala tvena eva Darmasya sAPalyam uktam |
   tatra yad anye manyante dharmasyārthaḥ phalaṃ, tasya kāmas tasya cendriya 	tatra yat anye manyante Darmasya arTaH PalaM, tasya kAmaH tasya ca indriya 
   prīts tat prīteś ca punar api dharmādi parampareti tac cānyathaivety āha	prItH tat  prIteH ca punar api Darma Adi  paramparA iti tat ca anyaTA eva iti Aha
   dvābhyāṃ   	dvAByAm   
   dharmasya hy āpavargyasya nārtho'rthāyopakalpate |	Darmasya hi Apavargyasya na arTaH arTAya upakalpate |
   nārthasya dharmaikāntasya kāmo lābhāya hi smṛtaḥ ||	na arTasya Darma ekAntasya kAmaH lABAya hi smRtaH ||
   kāmasya nendriya prītir lābho jīveta yāvatā |	kAmasya na indriya  prItiH lABaH jIveta yAvatA |
   jīvasya tattva jijñāsā nārtho yaś ceha karmabhiḥ || [BhP 1.2.9 10]	jIvasya tattva  jijQAsA na arTaH yaH ca iha karmaBiH || [Bhj 1.2.9 10]
   āpavargasya    yathā varṇa vidhāna apavargaś ca bhavati | yo'sau bhagavati	Apavargasya   yaTA varNa viDAna apavargaH ca Bavati | yaH asO Bagavati
   sarvātmany anātmye'nirukte'nilayane paramātmani vāsudeve'nanya nimitta 	sarva Atmani anAtmye anirukte anilayane paramAtmani vAsudeve ananya  nimitta 
   bhakti yoga lakṣaṇo nānā gati nimittāvidyā granthi bandhana dvāreṇa yadā	Bakti yoga  lakzaNaH nAnA gati  nimitta avidyA  granTi  banDana dvAreNa yadA
   hi mahā puruṣa puruṣa prasaṅga iti [BhP 5.19.19 20] pañcama skandha 	hi mahA  puruza  puruza  prasaFgaH iti [Bhj 5.19.19 20] paQcama skanDa 
   gadyānusāreṇa apavargo bhakti yogaḥ | tathā ca skānde revā khaṇḍe  	gadya anusAreNa apavargaH Bakti yogaH | taTA ca skAnde revA KaNxe  
   niścalā tvayi bhaktir yā saiva muktir janārdana |	niScalA tvayi BaktiH yA sA eva muktiH janArdana |
   muktā eva hi bhaktās te tava viṣṇo yato hare || iti |	muktAH eva hi BaktAH te tava vizNo yatas hare || iti |
   ata ukta rītyā bhakti sampādakasyety arthaḥ | arthāya phalatvāya |	atas ukta  rItyA Bakti  sampAdakasya iti arTaH | arTAya Pala tvAya |
   tathārthasyāpy evambhūta dharmāvyabhicāriṇaḥ kāmo lābhāya phalatvāya	taTA arTasya api evamBUta Darma avyaBicAriNaH kAmaH lABAya Pala tvAya
   na hi smṛtas tattva vidbhiḥ | kāmasya viṣaya bhogasyendriya prīti lābhaḥ	na hi smRtaH tattva vidBiH | kAmasya vizaya  Bogasya indriya  prIti  lABaH
   phalaṃ na bhavati kintu yāvatā jīveta tāvān eva kāmasya lābhaḥ | tādṛśa 	Palam na Bavati kintu yAvatA jIveta tAvAn eva kAmasya lABaH | tAdRSa 
   jīvana paryanta eva kāmaḥ sevya ity arthaḥ | jīvasya jīvanasya ca punar	jIvana paryante eva kAmaH sevyaH iti arTaH | jIvasya jIvanasya ca punar 
   dharmānuṣṭhāna dvārā karmabhir ya iha prasiddhaḥ svargādiḥ so'rtho na	Darma anuzWAna  dvArA karmaBiH yaH iha prasidDaH svarga AdiH saH arTaH na
   bhavati, kintu tattva jijñāsaiveti | tad evaṃ tattva jñānaṃ yasyā bhakter	Bavati, kintu tattva  jijQAsA eva iti | tat evam tattva  jQAnam yasyAH BakteH 
   avāntara phalam uktaṃ saiva paramaṃ phalam iti bhāvaḥ |	avAntara  Palam uktam sA eva paramam Palam iti BAvaH |
   kiṃ tattvam ity apekṣāyāṃ padyam ekaṃ tūdāhṛtam   	kim tattvam iti apekzAyAm padyam ekam tu udAhRtam   
   vadanti tat tattva vidas tattvaṃ yaj jñānam advayam |	vadanti tat tattva vidaH tattvam yat jQAnam advayam |
   brahmeti paramātmeti bhagavān iti śabdyate || [BhP 1.2.11] iti |	brahma iti paramAtmA iti BagavAn iti Sabdyate || [Bhj 1.2.11] iti |
   advayam iti tasyākhaṇḍatvaṃ nirdiśyānyasya tad ananyatva vivakṣayā tac 	advayam iti tasya AKaNxa tvam nirdiSya anyasya tat  ananya tva  vivakzayA tac 
   chaktitvam evāṅgīkaroti | tatra śakti varga lakṣaṇa tad dharmātiriktaṃ	Cakti tvam eva aFgIkaroti | tatra Sakti varga  lakzaNa  tad  Darma atiriktam
   kevalaṃ jñānaṃ brahmeti śabdyate | antaryāmitvamaya māyā śakti pracura 	kevalam jQAnam brahma iti Sabdyate | antar yAmi tvam aya mAyA  Sakti pracura 
   cic chakty aṃśa viśiṣṭaṃ paramātmeti | paripūrṇa sarva śakti viśiṣṭaṃ	cic  Sakti  aMSa  viSizwam paramAtmA iti | paripUrNa  sarva  Sakti viSizwam
   bhagavān iti | vivṛtaṃ caitat prāktana sandarbha trayeṇa | tac ca	BagavAn iti | vivRtam ca etat prAktana  sandarBa trayeNa | tat ca
   tridhāvirbhāva yuktam eva tattvaṃ bhaktyaiva sākṣāt kriyata ity āha   	triDA AvirBAva  yuktam eva tattvam BaktyA eva sAkzAt kriyate iti Aha   
   tac chraddadhānā munayo jñāna vairāgya yuktayā |	tat SraddaDAnAH munayaH jQAna  vErAgya  yuktayA |
   paśyanty ātmani cātmānaṃ bhaktyā śruta gṛhītayā || [BhP 1.2.12]	paSyanti Atmani ca AtmAnam BaktyA Sruta  gRhItayA || [Bhj 1.2.12]
   bhaktyā tat kathā rucer eva parāvasthā rūpayā prema lakṣaṇayā tat	BaktyA tat kaTA ruceH eva para avasTA  rUpayA prema  lakzaNayA tat 
   pūrvokta tattvam ātmani śuddhe cetasi paśyanti ca | jñāna mātrasya kā	pUrva ukta  tattvam Atmani SudDe cetasi paSyanti ca | jQAna   mAtrasya kA
   vārtā | sākṣād api kurvantīty arthaḥ | kīdṛśaṃ tad ātmānam | svarūpākhya 	vArtA | sAkzAt api kurvanti iti arTaH | kIdRSam tat  a AtmAnam | svarUpa AKya 
   jīvākhya māyā śaktīnām āśrayam | jñāna vairāgya yuktayā jñānaṃ ca	jIva AKya mAyA  SaktInAm ASrayam | jQAna  vErAgya  yuktayA jQAnam ca
   vairāgyaṃ ca, tābhyāṃ yuktayā svātmajābhyāṃ tābhyāṃ sevitayā | ataeva te	vErAgyam ca, tAByAm yuktayA sva AtmajAByAm tAByAm sevitayA | ataeva te
   munayaḥ pṛthak ca viśiṣṭaṃ ca svecchayā paśyantīty āyāti | tad evaṃ śruta 	munayaH pRTak ca viSizwam ca sva icCayA paSyanti iti AyAti | tat evam Sruta 
   gṛhītayā munayaḥ śraddadhānā iti pada trayeṇa tasyā eva bhakter	gRhItayA munayaH SraddaDAnAH iti pada  trayeNa tasyAH eva BakteH 
