   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   atiśayaṃ parāśaraḥ, arthaśleṣamrutathyaḥ, ubhayālaṅkārikaṃ kuberaḥ,	atiSayam parASaraH, arTa-Sleza-mrutaTyaH, uBaya-AlaFkArikam kuberaH,
   vainodikaṃ kāmadevaḥ, rupakanirupaṇīyaṃ bharataḥ, rasādhikārikaṃ	vEnodikam kAmadevaH, rupaka-nirupaNIyam BarataH, rasa-ADikArikam
   nandikeśvaraḥ, doṣādhikaraṇaṃ dhiṣaṇaḥ, guṇopādānikamupamanyuḥ,	nandikeSvaraH, doza-aDikaraNam DizaNaH, guNa-upAdAnikam-upamanyuH,
   aupaniṣadikaṃ kucucāraḥ, iti /	Opanizadikam kucu-cAraH, iti /
   tataste pṛthak pṛthak svaśāstrāṇi viracayāñcakruḥ /	tatas-te pRTak pRTak sva-SAstrANi viracayAQcakruH /
   itthaṅkārañca prakīrṇatvātvāt sā kiñciduccicacchide /	itTaFkAraQca prakIrNa-tvAtvAt sA kiQcid-uccica=-Cide /
   itīyaṃ prayojakāṅgavatī saṅkṣipya sarvamarthamalpagranthena	iti-iyam prayojaka-aFgavatI saFkzipya sarvam-arTam-alpa-granTena
   aṣṭādaśaprakaraṇī praṇītā /	azwAdaSa-prakaraNI praNItA /
   tasyā ayaṃ prakaraṇādhikaraṇasamuddeśaḥ /	tasyAH ayam prakaraNa-aDikaraNa-samuddeSaH /
   1 śāstrasaṃgrahaḥ, 2 śāstranirdeśaḥ, 3 kāvyapuruṣotpattiḥ, 4	1 SAstra-saMgrahaH, 2 SAstra-nirdeSaH, 3 kAvya-puruza-utpattiH, 4
   śiṣyapratibhe, 5 vyutpatti-vipākāḥ, 6 padavākyavivekaḥ, 7 vākyavidhayaḥ, 8	Sizya-pratiBe, 5 vyutpatti-vipAkAH, 6 pada-vAkya-vivekaH, 7 vAkya-viDayaH, 8
   kākuprakārāḥ, 9 pāṭhapratiṣṭhā, 10 kāvyārthayonayaḥ, 11 arthānuśāsanaṃ, 12	kAku-prakArAH, 9 pAWa-pratizWA, 10 kAvya-arTa-yonayaH, 11 arTa-anuSAsanaM, 12
   kavicaryāḥ, 13 rājacaryā, 14 śabdārthaharaṇopāyāḥ, 15 kavi viśeṣaḥ, 16	kavi-caryAH, 13 rAja-caryA, 14 Sabda-arTa-haraNa-upAyAH, 15 kavi viSezaH, 16
   kavisamayaḥ, 17 deśakālavibhāgaḥ, 18 bhruvanakośaḥ, iti kavirahasyaṃ	kavi-samayaH, 17 deSa-kAla-viBAgaH, 18 Bruvana-koSaH, iti kavi-rahasyam
   prathamamadhikaraṇamityādi /	praTamam-aDikaraNam-ityAdi /
   iti sūtrāṇyathaiteṣāṃ vyākhyābhāṣyaṃ bhaviṣyati /	iti sUtrANi-aTa-etezAm vyAKyA-BAzyam Bavizyati /
   samāsavyāsavinyāsaḥ saiṣa śiṣyahitāya naḥ //	samAsa-vyAsa-vinyAsaH sa-eza Sizya-hitAya naH //
   citrodāharaṇairgurvī granthena tu laghīyasī /	citra-udAharaNEH-gurvI granTena tu laGIyasI /
   iyaṃ naḥ kāvyamīmaṃsā kāvyavyutpattikāraṇam //	iyam naH kAvya-mIm-aMsA kAvya-vyutpatti-kAraNam //
   iyaṃ sā kāvyamīmāṃsā mīmāṃsā yatra vāglavaḥ /	iyam sA kAvya-mImAMsAH mImAMsA yatra vAc-lavaH /
   vāglavaṃ na sa jānāti na vijānāti yastvimām //	vAc-lavam na sa jAnAti na vijAnAti yaH-tu-imAm //
   yāyāvarīyaḥ saṅkṣipya munīnāṃ matavistaram /	yAyAvarIyaH saFkzipya munInAm mata-vistaram /
   vyākarotkāvyamīmāṃsāṃ kavibhyo rājaśekharaḥ //	vyAkarotkAvyamI-mAMsAm kaviByaH rAjaSeKaraH //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   prathamo 'dhyāyaḥ śāstrasaṅgrahaḥ //	praTamaH aDyAyaH SAstra-saFgrahaH //
   ____________________________ Adhyaya 2 _____________________________	____________________________ ADyaya 2 _____________________________
   śāstranirdeśaḥ dvitīyo 'dhyāyaḥ 2	SAstra-nirdeSaH dvitIyaH aDyAyaH 2
   śāstranirdeśaḥ iha vāṅmayamubhayathā śāstraṃ kāvyaṃ ca /	SAstra-nirdeSaH iha vAc-mayam-uBayaTA SAstram kAvyam ca /
   śāstrapūrvakatvāt kāvyānāṃ pūrva śāstreṣvabhiniviśeta /	SAstra-pUrvaka-tvAt kAvyAnAm pUrva SAstrezu-aBiniviSeta /
   tacca dvidhā apauruṣeyaṃ pauruṣeyaṃ ca /	tat-ca dviDA apOruzeyam pOruzeyam ca /
   aphauruṣeya śrutiḥ /	aPOruzeya SrutiH /
   sā ca mantrabrāhmaṇo /	sA ca mantra-brAhmaNaH /
   vivṛtakriyātantrā manantrāḥ /	vivRta-kriyA-tantrAH manantrAH /
   mantrāṇāṃ stutinindāvyākhyānaviniyogādigrantho brāhmaṇam /	mantrANAm stuti-nindA-vyAKyAna-viniyoga-Adi-granTaH brAhmaNam /
   ṛgyajuḥsāmavedastrayī /	Rc-yajuH-sAmavedaH-trayI /
   atharva turīyam /	aTarva turIyam /
   tatrārthavyavasthitapādā ṛcaḥ /	tatra-arTa-vyavasTita-pAdAH RcaH /
   tāḥ sagīkayaḥ sāmāni /	tAH sagIkayaH sAmAni /
   acchandāṃsyagītāni yajūṃṣi /	acCandAMsi-agItAni yajUMzi /
   ṛco yajūṃṣi sāmāni cārtharvāṇi ta ime catvārobedāḥ /	RcaH yajUMzi sAmAni ca-arTarvANi te ime catvArobedAH /
   itihāsavedadhanurvedau gāndharvāyurvedāvapi copavedāḥ /	itihAsa-veda-DanurvedO gAnDarva-AyurvedO=-api ca-upavedAH /
   'vedopavedātmā sārvavarṇikaḥ pañcamo nāṭyavedaḥ' iti drauhiṇiḥ /	aveda-upaveda-AtmA sArvavarNikaH paQcamaH nAwya-vedaHa iti drOhiNiH /
   'śikṣā, kalpo, vyākaraṇaṃ, niruktaṃ, chandovicitiḥ, jyautiṣaṃ ca	aSikzA, kalpo, vyAkaraNan, niruktaM, CandovicitiH, jyOtizam ca
   ṣaḍaṅgāni' ityācāryāḥ /	zaz-aFgAni-a iti-AcAryAH /
   upakārakatvādalaṅkāraḥ satpamamaṅgam 'iti yāyāvarīyaḥ /	upakAraka-tvAt-alaFkAraH sat-pamam-aFgam aiti yAyAvarIyaH /
   ṛte ca tatsarupaparijñānādvedārthānavagatiḥ' /	Rte ca tad-sarupa-parijQAnAt-veda-arTAnavagatiH-a /
   yathā-	yaTA-
   'dvā suparṇā sayujā sakhāyā samānaṃ vṛkṣaṃ pariṣasvajāte /	advA suparNA sa-yujA saKAyA samAnam vRkzam parizasvajAte /
   tayoranyaḥ pippalaṃ svādvatti anaśnannanyo abhicākaśīti' //	tayoH-anyaH pippalam svAdu-atti anaSnan=-anyaH aBicAka-SIti-a //
   seyaṃ śāstroktiḥ /	sA-iyam SAstra-uktiH /
   pratyadhikaraṇaṃ ca ṛcaṃ yajuḥ sāmātharvaṇāṃ brāhmaṇaṃ cādāhṛtya	pratyaDikaraNam ca Rcam yajuH sAma-aTarvaNAm brAhmaNam ca-AdAhRtya
   bhāṣāmudāhariṣyāmaḥ /	BAzAm-udAharizyAmaH /
   tatra varṇānāṃ sthānakaraṇaprayatnādibhiḥ niṣpattinirṇayinī śikṣā	tatra varNAnAm sTAna-karaNa-prayatna-AdiBiH nizpatti-nirNayinI SikzA
   āpiśalīyādikā /	ApiSalIya-AdikAH /
   nānāśākhādhītānāṃ mantrāṇāṃ viniyojakaṃ sūtraṃ kalpaḥ /	nAnA-SAKA-aDItAnAm mantrANAm viniyojakam sUtram kalpaH /
   sā ca yajurvidyā /	sA ca yajuH-vidyA /
   śabdānāmanvākhyānaṃ vyākaraṇam /	SabdAnAm-anvAKyAnam vyAkaraNam /
   nirvacanaṃ niruktam /	nirvacanam niruktam /
   chandasāṃ pratipādiyitrīchandovicitiḥ /	CandasAm pratipAdiyitrI-CandaH-vicitiH /
   grahagaṇitaṃ jyautiṣam, alaṅkāravyākhyānaṃ tu purastāt /	graha-gaNitam jyOtizam, alaFkAra-vyAKyAnam tu purastAt /
   pauruṣeyaṃ tu purāṇam, ānvīkṣikī, mīmāṃsā, smṛtitantramiti catvāri	pOruzeyam tu purANam, AnvIkzikI, mImAMsA, smRti-tantram-iti catvAri
   śāstrāṇi /	SAstrANi /
   tatra vedākhyānopanibandhanaprāyaṃ purāṇamaṣṭādaśadhā /	tatra veda-AKyAna-upanibanDana-prAyam purANam-azwAdaSaDA /
   yadāhuḥ-	yat-AhuH-
   'sargaḥ pratisaṃhāraḥ kalpo manvantarāṇi vaṃśavidhiḥ /	asargaH pratisaMhAraH kalpaH manvantarANi vaMSa-viDiH /
   jagato yatra nibaddhaṃ tadvijñeyaṃ purāṇamiti //	jagataH yatra nibadDam tat-vijQeyam purANam-iti //
   "purāṇapravibheda evetihāsaḥ' ityeke /	"purANa-praviBedaH eva-itihAsaHa iti-eke /
   sa ca dvidhā parakriyāpurākalpābhyām /	sa ca dviDA para-kriyApurAkalpAByAm /
   yadāhuḥ-	yat-AhuH-
   'parakriyā purākalpa itihāsagatidvindhā /	apara-kriyA purAkalpaH itihAsa-gati-dvinDA /
   syādekanāyakā pūrvā dvitīyā bahunāyakā' //	syAt-eka-nAyakA pUrvA dvitIyA bahu-nAyakA-a //
   tatra rāmāyaṇaṃ bhārataṃ codāharaṇe /	tatra rAmAyaNam BAratam ca-udAharaNe /
   ānvīkṣikīṃ tu vidyāvasare vakṣyāmaḥ /	AnvIkzikIm tu vidyA-avasare vakzyAmaH /
   nigamavākyānāṃ nyāyaiḥ sahasreṇa vivektrī mīmāṃsā /	nigama-vAkyAnAm nyAyEH sahasreNa vivektrI mImAMsA /
   sā ca dvividhā vidhivivecanī brahmanidarśanī ca /	sA ca dviviDA viDi-vivecanI brahma-nidarSanI ca /
   aṣṭādaśaiva śrutyarthasmaraṇātsmṛtayaḥ /	azwAdaSa-eva Sruti-arTa-smaraNAt-smRtayaH /
   'tānīmāni caturdaśa vidyāsthānāni, yaduta vedāśratvāraḥ, ṣaḍaṅgāni,	atAni-imAni caturdaSa vidyA-sTAnAni, yat-uta veda-aSra-tvAraH, zaz-aFgAni,
   catvāri śāstrāṇi' ityācāryāḥ /	catvAri SAstrANia iti-AcAryAH /
   tānyetāni kṛtsnāmapi bhrūrbhuvaḥsvastrayīṃ vyāsajya varttante /	tAni-etAni kRtsnAm-api BrUH-BuvaH-svaH-trayIm vyAsajya varttante /
   tadāhuḥ-	tat-AhuH-
   'vidyāsthānānāṃ gantumantaṃ na śakto jīvedvarṣaṇāṃ yo 'pi sāgraṃ sahasram	avidyA-sTAnAnAm gantum-antam na SaktaH jIvet-varzaNAm yaH api sAgram sahasram
   tasmātsaṅkṣepādarthasandoha ukto vyāsaḥ saṃtyakto granthabhīrupriyārtham	tasmAt-saFkzepAt-arTa-sandohaH uktaH vyAsaH saMtyaktaH granTa-BIru-priya-arTam
   "sakalavidyāsthānaikāyatanaṃ pañcadaśaṃ kāvyaṃ vidyāsthānam' iti	"sakala-vidyA-sTAna-eka-Ayatanam paQcadaSam kAvyam vidyA-sTAnam-a iti
   yāyāvarīyaḥ /	yAyAvarIyaH /
   gadyapadyamayatvāt kavidharmatvāt hitoradeśakatvācca /	gadya-padya-maya-tvAt kavi-Darma-tvAt hita-uradeSaka-tvAt-ca /
   tadvi śāstraṇyanudhāvati /	tat-vi SAstraNi-anuDAvati /
   'vārttā kāmasūtraṃ śilpaśāstraṃ daṇḍanītiriti pūrvaiḥ sahāṣṭādaśa	avArttA kAmasUtram Silpa-SAstram daNxanItiH-iti pUrvEH saha-azwAdaSa
   vidyāsthānāni'ityapare /	vidyA-sTAnAni-aitya-pare /
   ānvīkṣikī trayī vārttā daṇḍanītiśceti vidyāḥ ' /	AnvIkzikI trayI vArttA daNxanItiH-ca-iti vidyAH a /
   daṇḍanītirevaikā vidyā'ityauśanasāḥ /	daNxanItiH-eva-ekAH vidyA-aiti-a-OSanasAH /
   daṇḍabhayādvi kṛtsno lokaḥ sveṣu sveṣu karmasvavatiṣṭhate /	daNxa-BayAt-vi kRtsnaH lokaH svezu svezu karmasu-avatizWate /
   'vārttā daṇḍanītirdve vidye' iti bārhaspatyāḥ /	avArttA daNxanItiH-dve vidye-a iti bArhaspatyAH /
   vṛttirvinayagrahaṇaṃ ca sthitiheturlokayātrāyāḥ /	vRttiH-vinaya-grahaNam ca sTiti-hetuH-lokayAtrAyAH /
   'trayīvārttādaṇḍanītayastisro vidyāḥ' iti mānavāḥ /	atrayI-vArttA-daNxanItayaH-tisraH vidyAH-a iti mAnavAH /
   trayī hi vārttādaṇḍanītyorupadeṣṭrī /	trayI hi vArttA-daNxanItyoH-upadezwrI /
   'ānvīkṣikītrayīvārttādaṇḍanītayaścatasro vidyāḥ'iti kauṭalyaḥ /	aAnvIkzikI-trayI-vArttA-daNxanItayaH-catasraH vidyAH-aiti kOwalyaH /
   ānvīkṣikyā hi vivecitā trayī vārttādaṇḍanītyoḥ prabhavati /	AnvIkzikyA hi vivecitA trayI vArttA-daNxanItyoH praBavati /
   'pañcamī sāhityavidyā' iti yāyāvarīyaḥ /	apaQcamI sAhitya-vidyA-a iti yAyAvarIyaH /
   sā hi vacasṛṇāmapi vidyānāṃ nisyandaḥ /	sA hi vacasRNAm-api vidyAnAm nisyandaH /
   ābhirddharmārthau yadvidyāttadvidyānāṃ vidyātvam /	ABirdDarma-arTO yat-vidyAt-tad-vidyAnAm vidyA-tvam /
   tatra trayī vyākhyātā /	tatra trayI vyAKyAtAH /
   dvidhā cānvīkṣikī pūrvotrarapakṣābhyām /	dviDA ca-AnvIkzikI pUrvotrara-pakzAByAm /
   arhadbhadantadarśane lokāyattaṃ ca pūrvaḥ pakṣaḥ /	arhadBa-danta-darSane lokAyattam ca pUrvaH pakzaH /
   saṅkhayaṃ nyāyavaiśeṣikau cottaraḥ /	saFKayam nyAya-vESezikO ca-uttaraH /
   ta ime ṣaṭ tarkāḥ /	te ime zaw tarkAH /
   tatra ca tisraḥ kathā bhavanti vādo, jalpo, vitaṇḍā ca /	tatra ca tisraH kaTAH Bavanti vAdo, jalpo, vitaNxA ca /
   madhyasthayostattvāvabodhāya vastutattvaparāmarśo vādaḥ /	maDyasTayoH-tattva-avaboDAya vastu-tattva-parAmarSaH vAdaH /
   vijigīṣoḥ svapakṣasiddhaye chalajātinigrahādiparigraho jalpaḥ /	vijigIzoH sva-pakza-sidDaye Cala-jAti-nigraha-Adi-parigrahaH jalpaH /
   svapakṣasyāparigrahitrī parapakṣasya dūṣayitrī vitaṇḍā /	sva-pakzasya-aparigrahitrI para-pakzasya dUzayitrI vitaNxA /
   kṛṣipāśupālye vaṇijyā ca vārttā /	kRzi-pASupAlye vaNijyA ca vArttA /
   ānvīkṣikītrayīvārttānāṃ yogakṣemasādhano daṇḍastasya nītirdaṇḍanītiḥ /	AnvIkzikI-trayI-vArttAnAm yogakzema-sADanaH daNxaH-tasya nItiH-daNxanItiH /
   tasyāmāyattā lokayātreti śāstrāṇi /	tasyAm-AyattA lokayAtrA-iti SAstrANi /
   sāmānyalakṣaṇaṃ caiṣām-	sAmAnya-lakzaNam ca-ezAm-
   'saritāmiva pravāhāstucchāḥ prathamaṃ yathottaraṃ vipulāḥ /	asaritAm-iva pravAhAH-tucCAH praTamam yaTottaram vipulAH /
   ye śāstrasamārambhā bhavanti lokasya te vandyāḥ' //	ye SAstra-samAramBAH Bavanti lokasya te vandyAH-a //
   sūtrādibhiścaiṣāṃ praṇayanam /	sUtra-AdiBiH-ca-ezAm praNayanam /
   tatra sūtraṇāt sūtram /	tatra sUtraNAt sUtram /
   yadāhuḥ-	yat-AhuH-
   'alpākṣaramasandigdhaṃ sāravadviścatomukham /	aalpa-akzaram-asandigDam sAravat-viScatomuKam /
   astobhamanavadyañca sūtraṃ sūtrakṛto viduḥ' //	asta-uBamanavat-yaQca sUtram sUtra-kRtaH viduH-a //
   sūtrāṇāṃ sakalasāravivaraṇaṃ vṛttiḥ /	sUtrANAm sakala-sAra-vivaraNam vRttiH /
   sūtravṛttivivecanaṃ paddhatiḥ /	sUtra-vRtti-vivecanam padDatiH /
   ākṣipya bhāṣaṇādbhāṣyam /	Akzipya BAzaNAt-BAzyam /
   antarbhāṣyaṃ samīkṣā /	antar-BAzyam samIkzAH /
   avāntarārthavicchedaśca sā /	avAntara-arTa-vicCedaH-ca sA /
   yathāsambhavamarthasya ṭīkanaṃ ṭīkā /	yaTAsamBavam-arTasya wIkanam wIkA /
   viṣamapadabhañjikā pañjikā /	vizama-padaBaQjikA paQjikA /
   arthapradarśakārikā kārikā /	arTa-pradarSa-kArikA kArikA /
   uktānuktaduruktacintā vārttikamiti śāstrabhedāḥ /	ukta-anukta-durukta-cintA vArttikam-iti SAstra-BedAH /
   'bhavati prathayannarthaṃ līnaṃ samabhiplutaṃ sphuṭīkurvan /	aBavati praTayan=-arTam lInam samaBiplutam sPuwIkurvan /
   alpamanalpaṃ racayannanalpamalyaṃ ca śāstrakaviḥ' //	alpam-analpam racayan=-analpa-malyam ca SAstra-kaviH-a //
   śāstraikadeśasya prakriyā prakaraṇam /	SAstra-eka-deSasya prakriyA prakaraNam /
   adhyāyādayastvavāntaravicchedāḥ kvatibhiḥ svatantratayā praṇītā	aDyAya-At-ayaH-tu-avAntara-vicCedAH kvatiBiH svatantra-tayA praNItA
   ityaparisaṅkhyeyā anākhyeyāśca /	iti-aparisaFKyeyAH anAKyeyAH-ca /
   śābdārthayoryathāvatsahabhāvena vidyā sāhityavidyā /	SAbda-arTayoH-yaTAvat-sahaBAvena vidyA sAhitya-vidyA /
   upavidyāstu catuḥṣaṣṭhiḥ /	upavidyAH-tu catuHzazWiH /
   tāśca kalā iti vidagdhavādaḥ /	tAH-ca kalAH iti vidagDa-vAdaH /
   sa ājīvaḥ kāvyasya /	saH AjIvaH kAvyasya /
   tamaupaniṣadike vakṣyāmaḥ /	tam-Opanizadike vakzyAmaH /
   ityananto 'bhiyuktānāmatra saṃsambhavistaraḥ /	iti-anantaH aBiyuktAnAm-atra saMsamBa-vistaraH /
   tyaktau nipuṇadhīgamyo granthagauravakāraṇāt //	tyaktO nipuNa-DI-gamyaH granTa-gOrava-kAraNAt //
   iti rājaśekharakṛtau	iti rAja-SeKara-kRtO
   kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe dvitīyo 'dhyāyaḥ	kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe dvitIyaH aDyAyaH
   śāstranirdeśaḥ //	SAstra-nirdeSaH //
   ____________________________ Adhyaya 3 _____________________________	____________________________ ADyaya 3 _____________________________
   kāvyapuruṣotpattiḥ tṛtīyo 'dhyāyaḥ 3	kAvya-puruza-utpattiH tRtIyaH aDyAyaH 3
   kāvyapuruṣotpattiḥ evaṃ gurubhyo giraḥ puṇyāḥ purāṇīḥ śṛṇumaḥ sma,	kAvya-puruza-utpattiH evam guruByaH giraH puNyAH purANIH SRNumaH sma,
   yatkiladhiśaṣaṇaṃ śiṣyāḥ kathāprasaṅge papracchuḥ, kīdṛśaḥ punarasau	yat-kilaDi-SazaNam SizyAH kaTA-prasaFge papracCuH, kIdRSaH punar-asO
   sārasvateyaḥ kābyapuruṣo vo guruḥ ? iti /	sArasvateyaH kAbya-puruzaH vaH guruH ? iti /
   sa tān bṛhatāmpatiruce /	sa tAn bRhatAmpati-ruce /
   purā putrīyantī sarasvatī tuṣāragirau tapasyāmāsa /	purA putrIyantI sarasvatI tuzAra-girO tapasyAmAsa /
   prītena manasā tāṃ viriñcaḥ provāca-'putraṃ te sṛjāmi ' /	prItena manasA tAm viriQcaH provAca--aputram te sRjAmi a /
   athaiṣā kāvyapuruṣaṃ suṣuve /	aTa-ezA kAvya-puruzam suzuve /
   so 'bhyutthāya sapādopagrahaṃ chandasvartī vācamudacīcarat-	saH aByutTAya sa-pAda-upagraham Canda-svartI vAcam-udacIcarat-
   'yadetadvāṅmayaṃ viśvamarthamūrttyā vivarttate /	ayat-etat-vAc-mayam viSvam-arTa-mUrttyA vivarttate /
   so 'smi kāvyapumānamba pādau vandeya tāvakau' //	saH asmi kAvya-pumAn-amba pAdO vandeya tAvakO-a //
   tāmāmnāyadṛṣṭacarīmupalabhya bhāṣāviṣaye chandomudrāṃ devī	tAm-AmnAya-dRzwa-carIm-upalaBya BAzA-vizaye CandomudrAm devI
   sasaṃmadamaṅkaparyaṅkenādāya tamudalāpayat /	sa-saMmadam-aFka-paryaFkena-AdAya tam-udalApayat /
   'vatsa ! sacchandaskāyā giraḥ praṇetaḥ ! vāṅmayamātaramapi mātaraṃ māṃ	avatsa ! sa=-CandaskAyAH giraH praNetaH ! vAc-maya-mAtaram-api mAtaram mAm
   vicayase /	vicayase /
   praśasyatamaṃ cedamudāharanti yaduta ''putrātparājayo dvitīyaṃ	praSasyatamam ca-idam-udAharanti yat-uta aaputrAt-parAjayaH dvitIyam
   putrajanma'iti /	putra-janma-aiti /
   tvattaḥ pūrve hi vidvāṃso gadyaṃ dadṛśurna padyam /	tvattaH pUrve hi vidvAMsaH gadyam dadRSuH-na padyam /
   tvadupajñamathātaḥ chandasvadvacaḥ pravartsyati /	tvad-upajQam-aTa-atas Canda-svat-vacaH pravartsyati /
   aho ślāghanīyo 'si /	aho SlAGanIyaH asi /
   śabdārthau te śarīraṃ, saṃskṛtaṃ mukhaṃ, prakṛtaṃ bāhuḥ,	Sabda-arTO te SarIran, saMskRtam muKaM, prakRtam bAhuH,
   jaghanamaparbhraṃśaḥ, paiśācaṃ pādau, uro miśram /	jaGanam-aparBraMSaH, pESAcam pAdO, uraH miSram /
   samaḥ prasanno madhura udāra ojasvī cāsi /	samaH prasannaH maDuraH udAraH ojasvI ca-asi /
   ukticaṇaṃ te vaco, rasa ātmā, rāmāṇi chandāṃsi, praśnottarapravahlikādikaṃ	ukti-caNam te vaco, rasaH AtmA, rAmANi CandAMsi, praSna-uttara-pravahlikA-Adikam
   ca vākkeliḥ, anuprāsopamādayaśca tvāmalaṅkurvanti /	ca vAkkeliH, anuprAsa-upama-AdayaH-ca tvAm-alaFkurvanti /
   bhaviṣyato 'rthasyābhidhātrī śrurirapi bhavantamabhistauti-	BavizyataH arTasya-aBiDAtrI SruriH-api Bavantam-aBistOti-
   'catvāri śṛṅgāstrayo 'sya pādā śīrṣe saptahastāso 'sya /	acatvAri SRFgAH-trayaH asya pAdA SIrze sapta-haH-tAsaH asya /
   tridhā baddho vṛṣabho roravīti maho debo martyānāviveśa' //	triDA badDaH vRzaBaH roravIti mahaH debaH martyAn-AviveSa-a //
   'tathāpi saṃvṛṇu pragalbhasya puṃsaḥ karma, bālocitaṃ ceṣṭasva' iti	ataTA-api saMvRNu pragalBasya puMsaH karma, bAla-ucitam cezwasva-a iti
   nigadya niveśya cainamanokahāśrayiṇī gaṇḍaśailatalatalpe snātumabhragaṅgāṃ	nigadya niveSya ca-enam-anokahA-ASrayiNI gaNxa-SEla-tala-talpe snAtum-aBra-gaFgAm
   jagāmaṃ /	jagAmam /
   tāvacca kuśān samidhaśca samāhattuṃ niḥsṛto mahāmuniruśanāḥ parivṛtte	tAvat-ca kuSAn samiDaH-ca samAhattum niHsRtaH mahA-muniH-uSanAH parivRtte
   pūṣaṇyūṣmopaṣlutaṃ tamadrākṣīt /	pUzaNi-Uzma-upazlutam tam-adrAkzIt /
   kasyāyamanātho bāla iti cintayansvamāśramapadamanaiṣīt /	kasya-ayam-anATaH bAlaH iti cintayan-svam-ASrama-padam-anEzIt /
   kṣaṇādāśvastaśca sa sārasvateyastasmai chandasvatīṃ vācaṃ samacārayat /	kzaNAt-ASvastaH-ca sa sArasvateyaH-tasmE CandasvatIm vAcam samacArayat /
   akasmādvismāpayansa cābhyuvāca-	akasmAt-vismApayan-sa ca-aByuvAca-
   'yā dugdhāpi na dugdheva kavidegdhṛbhiranvaham /	ayA dugDA-api na dugDA-iva kavi-degDRBiH-anvaham /
   hṛdi naḥ sannidhattāṃ sā dūktidhenuḥ sarasvatī' //	hRdi naH sanniDattAm sA dUktiDenuH sarasvatI-a //
   iti /	iti /
   tatpūrvakamadhyetṛṇāṃ ca sucedhastvamādideśa /	tad-pUrvakam-aDyetRNAm ca su-ceDaH-tvam-AdideSaH /
   tataḥ prabhṛti tamuśanasaṃ santaḥ kavirityācakṣate /	tatas praBRti tam-uSanasam santaH kaviH-iti-Acakzate /
   tadupacārāñca kavayaḥ kavaya iti lokayātrā /	tad-upacArAQca kavayaH kavayaH iti lokayAtrA /
   kaviśabdaśca 'kavṛvarṇane' ityasya dhātoḥ kāvyakarmaṇo rupame /	kavi-SabdaH-ca akavRvarNane-a iti-asya DAtoH kAvya-karmaNaH rupame /
   kāvyaikarupatvācca sārasvateye 'pi kāvyapuruṣa iti bhaktyā prayuñjate /	kAvya-ekarupa-tvAt-ca sArasvateye api kAvya-puruzaH iti BaktyA prayuQjate /
