   Hetutattvopadeśaḥ	Hetu-tattva-upadeSaH
   13. anumānaviruddho yathā / vedavacanaṃ dharmyapauruṣeyamiti sādhye śabdaḥ	13. anumAna-virudDaH yaTA / veda-vacanam Darmya-pOruzeyam-iti sADye SabdaH
   prayatnānantarīyaka iti pauruṣeyatvasya siddheḥ //	prayatna-anantarIyakaH iti pOruzeya-tvasya sidDeH //
   14. svavacanaviruddho yathā / anumānaṃ na pramāṇamiti / parāvagamāya	14. sva-vacana-virudDaH yaTA / anumAnam na pramANam-iti / para-avagamAya
   vākyaprayogaḥ parārthānumānamiti nirdeśāt //	vAkya-prayogaH para-arTa-anumAnam-iti nirdeSAt //
   15. lokaviruddho yathā / śuci naraśiraḥ kapālaṃ prāṇyaṅgatvāc	15. loka-virudDaH yaTA / Suci nara-SiraH kapAlam prANi-aFga-tvAt-
   chaṅkhaśuktivaditi //	CaFKa-Sukti-vat-iti //
   16. pratītiviruddho yathā / yad yāvatkālasthāyi tat anityam /	16. pratIti-virudDaH yaTA / yat yAvat-kAla-sTAyi tat anityam /
   yadyāvatkālasthāyi tat sarvaṃ nityamiti laukikapratīteḥ //	yat-yAvat-kAla-sTAyi tat sarvam nityam-iti lOkika-pratIteH //
   17. aprasiddhaviśeṣaṇo yathā / vaiśeṣikasya sāṃkhyaṃ prati śabdo vināśīti	17. aprasidDa-viSezaNaH yaTA / vESezikasya sAMKyam prati SabdaH vinASI-iti
   18. aprasiddhaviśeṣyo yathā / sāṃkhyasya bauddhaṃ pratyātmā cetana iti	18. aprasidDa-viSezyaH yaTA / sAMKyasya bOdDam pratyAtmA cetanaH iti
   sādhyam //	sADyam //
   19. aprasiddhobhayo yathā / vaiśeṣikasya bauddhaṃ prati	19. aprasidDa-uBayaH yaTA / vESezikasya bOdDam prati
   samavāyikāraṇamātmeti kāyaḥ sthirasvabhāva iti vā //	samavAyi-kAraNam-AtmA-iti kAyaH sTira-svaBAvaH iti vA //
   20. pakṣābhāsā uktāḥ //	20. pakza-ABAsAH uktAH //
   21. kīdṛśo hetvābhāsaḥ / yo heturivābhāsate na tu hetutvena sidhyati //	21. kIdRSaH hetvABAsaH / yaH hetuH-iva-ABAsate na tu hetu-tvena siDyati //
   22. hetvābhāsastrividhaḥ / asiddho viruddho 'naikāntikaśca //	22. hetvABAsaH-triviDaH / asidDaH virudDaH anEkAntikaH-ca //
   23. tatra pakṣāsiddherasiddha iti hetvābhāsaḥ //	23. tatra pakza-asidDeH-asidDaH iti hetvABAsaH //
   24. pakṣe sapakṣe cāsan vipakṣe ca san yaḥ sa viruddha iti hetvābhāsaḥ	24. pakze sa-pakze ca-Asan vipakze ca san yaH sa virudDaH iti hetvABAsaH
   sādhyaviparītasiddheḥ //	sADya-viparIta-sidDeH //
   25. sapakṣavipakṣayorubhayorbhāve 'bhāve vā saṃśaye vāsiddhapratibandho yo	25. sa-pakza-vipakzayoH-uBayoH-BAve aBAve vA saMSaye vA-asidDa-pratibanDaH yaH-
   hetuḥ so 'naikāntiko hetvābhāsaḥ / vādiprativādibhyāṃ	hetuH saH anEkAntikaH hetvABAsaH / vAdi-prativAdiByAm
   sādhayitumiṣṭasyaikāntenāsiddheḥ //	sADayitum-izwasya-ekAntena-asidDeH //
   26. ubhayāsiddho yathā / śabdasyānityatve sādhye hetuścākṣuṣatvaṃ	26. uBaya-asidDaH yaTA / Sabdasya-anitya-tve sADye hetuH-cAkzuza-tvam
   vādiprativādinorasiddha iti //	vAdi-prativAdinA-uH-asidDaH iti //
   27. cetanastaruriti sādhye sarvatvagapaharaṇe maraṇāditi hetuḥ	27. cetanaH-taruH-iti sADye sarva-tvac-apaharaNe maraNAt-iti hetuH
   prativādinaṃ bauddhaṃ pratyasiddha iti prativādyasiddhaścittādinirodhasya	prativAdinam bOdDam pratyasidDaH iti prativAdya-sidDaH-citta-Adi-niroDasya
   bauddhasyeṣṭatvāt //	bOdDasya-izwa-tvAt //
   28. acetanāḥ sukhādaya iti sādhye utpattimattvāditi hetuḥ sāṃkhyasya	28. acetanAH suKa-AdayaH iti sADye utpattimat-tvAt-iti hetuH sAMKyasya
   svayaṃ vādino 'siddha iti vādyasiddhaḥ //	svayam vAdinaH asidDaH iti vAdya-sidDaH //
   29. vaiśeṣikeṇa prativādinaṃ bauddhaṃ prati pṛthivyādirdharmī kārya iti	29. vESezikeNa prativAdinam bOdDam prati pRTivI-AdiH-DarmI kAryaH iti
   sādhya ekaikakṣaṇavadanyānyotpādāditi vādinaḥ svayamasiddhaḥ / siddhe	sADyaH ekEka-kzaNa-vat-anyA-anya-utpAdAt-iti vAdinaH svayam-asidDaH / sidDe
   'pyutpāda ekaikakṣaṇavadanyānyotpādāsiddheḥ //	api-utpAdaH ekEka-kzaNa-vat-anyA-anya-utpAda-asidDeH //
   30. pakṣaikadeśāsiddho yathā / cetanāstaravaḥ svāpāditi hetuścandane	30. pakza-eka-deSa-asidDaH yaTA / cetanAH-taravaH svApAt-iti hetuH-candane
   vādinaḥ svayaṃ pakṣaikadeśe 'siddhaḥ / na hi sarve vṛkṣā rātrau	vAdinaH svayam pakza-eka-deSe asidDaH / na hi sarve vRkzAH rAtrO
   patrasaṃkocabhājaḥ //	patra-saMkoca-BAjaH //
   31. evameva kṣityādirgharmī buddhimajjāta iti sādhye kāryamiti	31. evam-eva kziti-AdiH-GarmI budDimat-jAtaH iti sADye kAryam-iti
   heturbauddhaṃ pratyasiddhaḥ pratyakṣānupalambhābhyāṃ	hetuH-bOdDam pratyasidDaH pratyakza-anupalamBAByAm
   kāryakāraṇasambandhasiddhasvarūpeṇa kṣityādīnāṃ siddheḥ /	kArya-kAraNa-sambanDa-sidDa-svarUpeNa kziti-AdInAm sidDeH /
   vāsabhojanādisiddhiriti cettadā pakṣaikadeśāsiddhiḥ //	vAsa-Bojana-Adi-sidDiH-iti ced-tadA pakza-eka-deSa-asidDiH //
   32. saṃdigdhāsiddho yathā / yadīha dhūmaḥ syādatra vahniḥ syāditi sādhye	32. saMdigDa-asidDaH yaTA / yadi-iha DUmaH syAt-atra vahniH syAt-iti sADye
   hetvaniścayāt //	hetu-aniScayAt //
   33. saṃdigdhadharmyasiddho yathā / eṣvanekeṣu nikuñjeṣu kasmiṃścin nikuñje	33. saMdigDa-Darmya-sidDaH yaTA / ezu-anekezu nikuQjezu kasmiMScid nikuQje
   mayūra iti sādhye kekāyitāditi heturiti //	mayUraH iti sADye kekAyitAt-iti hetuH-iti //
   34. dharmyasiddhāvapyasiddho yathā / dharmyātmā sarvavyāpīti sādhye	34. Darmya-sidDO=-api-asidDaH yaTA / Darmya-AtmA sarva-vyApI-iti sADye
   sarvatropalabhyamānaguṇatvāditi heturiti //	sarvatra-upalaByamAna-guNa-tvAt-iti hetuH-iti //
   35. navaite 'siddhā hetvābhāsāḥ //	35. navA-ete asidDAH hetvABAsAH //
   36. kīdṛśaḥ punaranaikāntiko hetvābhāsaḥ / ucyate /	36. kIdRSaH punar-anEkAntikaH hetvABAsaH / ucyate /
   37. yathā śabdasya nityatvādike dharme sādhye prameyatvāditi hetuḥ	37. yaTA Sabdasya nitya-tva-Adike Darme sADye prameya-tvAt-iti hetuH
   sapakṣavipakṣayoḥ sarvatra varttamānaḥ sādhāraṇo 'naikāntika iti //	sa-pakza-vipakzayoH sarvatra varttamAnaH sADAraNaH anEkAntikaH iti //
   38. evaṃ śabdo nitya iti sādhye śrāvaṇatvāditi hetuḥ sapakṣe vipakṣe	38. evam SabdaH nityaH iti sADye SrAvaNa-tvAt-iti hetuH sa-pakze vipakze
   cāvṛtterasādhāraṇo 'naikāntikaḥ //	ca-avRtteH-asADAraNaH anEkAntikaH //
   39. evaṃ śabdasyāprayatnānantarīyakatve sādhye 'nityatvāditi hetuḥ	39. evam Sabdasya-aprayatna-anantarIyaka-tve sADye anitya-tvAt-iti hetuH
   sapakṣaikadeśavṛtti rvipakṣavyāpyanaikāntikaḥ / aprayatnānantarīyakasya	sa-pakza-eka-deSa-vRtti rvi-pakza-vyApi-anEkAntikaH / aprayatna-AnantarIyakasya
   śabdasya sapakṣaḥ vidyudākāśādiḥ / tatra sapakṣaikadeśe	Sabdasya sa-pakzaH vidyut-AkASa-AdiH / tatra sa-pakza-eka-deSe
   vidyudādāvanityatvaṃ varttate / nākāśādau / vipakṣāḥ	vidyut-AdO=-anitya-tvam varttate / na-AkASa-AdO / vipakzAH
   prayatnānantarīyakādayaḥ sarve / teṣu sarveṣvasti //	prayatna-AnantarIyaka-AdayaH sarve / tezu sarvezu-asti //
   40. evaṃ śabdasya prayatnānantīyakatve sādhye 'nityatvāditi hetu rghaṭādau	40. evam Sabdasya prayatna-AnantIyaka-tve sADye anitya-tvAt-iti hetu rGawa-AdO
   sarvatra vidyate / aprayatnānantarīyako vipakṣaḥ puna rvidyudākāśādiḥ /	sarvatra vidyate / aprayatna-anantarIyakaH vipakzaH puna rvidyut-AkASa-AdiH /
   tatraikadeśe vidyudādau varttate nākāśādau / tasmādayaṃ	tatra-eka-deSe vidyut-AdO varttate na-AkASa-AdO / tasmAt-ayam
   vipakṣaikadeśavṛttiḥ sapakṣavyāpyanaikāntiko hetuḥ //	vipakza-eka-deSa-vRttiH sa-pakza-vyApi-anEkAntikaH hetuH //
   41. ubhayapakṣaikadeśavṛttiranaikāntiko yathā / dharmī śabdo nitya iti	41. uBaya-pakza-eka-deSa-vRttiH-anEkAntikaH yaTA / DarmI SabdaH nityaH iti
   sādhye 'mūrttatvāditi hetuḥ / paramāṇvākāśādiḥ sapakṣaḥ / tatra	sADye amUrtta-tvAt-iti hetuH / paramANu-AkASa-AdiH sa-pakzaH / tatra
   sapakṣaikadeśa ākāśe 'mūrttatvaṃ vidyate na paramāṇau paramāṇūnāṃ	sa-pakza-eka-deSaH AkASe amUrtta-tvam vidyate na paramANO paramANUnAm
   mūrttatvāt / ghaṭasukhādiranityo vipakṣaḥ / tadekadeśe sukhādau vidyate na	mUrtta-tvAt / Gawa-suKa-AdiH-anityaH vipakzaH / tad-eka-deSe suKa-AdO vidyate na
   ghaṭādāviti //	Gawa-AdO=-iti //
   42. evaṃ saṃdigdhavipakṣavyāvṛttiḥ sapakṣavyāpyanaikāntiko heturyathā /	42. evam saMdigDa-vipakza-vyAvRttiH sa-pakza-vyApi-anEkAntikaH hetuH-yaTA /
   kapilādi rdharmyasarvajña iti sādhye vaktṛtvāditi hetū rathyāpuruṣādau	kapila-Adi rDarmi-asarvajQaH iti sADye vaktR-tvAt-iti hetuH raTyA-puruza-AdO
   sapakṣe vidyate vipakṣe sarvajñe saṃdigdhaḥ /	sa-pakze vidyate vipakze sarvajQe saMdigDaH /
   sarvajñasyātīndriyatvādvaktṛtvamasti na veti saṃdehaḥ //	sarvajQasya-atIndriya-tvAt-vaktR-tvam-asti na vA-iti saMdehaH //
   43. evaṃ saṃdigdhasapakṣavṛttirvipakṣavyāpyanaikāntiko heturyathā /	43. evam saMdigDa-sapakza-vRttiH-vipakza-vyApi-anEkAntikaH hetuH-yaTA /
   ṛṣabhavardhamānādi rdharmī sarvajña iti sādhye kevalaśāstrakarttṛtvāditi	RzaBa-varDamAna-Adi rDarmI sarvajQaH iti sADye kevala-SAstra-karttR-tvAt-iti
   hetuḥ sapakṣe sarvajñe saṃdigdhaḥ / sarvajñasyātīndriyatvāt	hetuH sa-pakze sarvajQe saMdigDaH / sarvajQasya-atIndriya-tvAt
   kevalaśāstrakarttari saṃdehaḥ / vipakṣe...........ādāvasarvajñe 'stīti //	kevala-SAstra-karttari saMdehaH / vipakze...........AdO=-asarva-jQe asti-iti //
   44. anvayavyatirekayoḥ saṃdehe 'naikāntiko heturyathā / jīvaccharīraṃ	44. anvaya-vyatirekayoH saMdehe anEkAntikaH hetuH-yaTA / jIvat-SarIram
   sātmakaṃ prāṇādimatvāditi hetuḥ / jīvaccharīrasambandhī prāṇādiḥ sātmake	sa-Atmakam prANa-Adima-tvAt-iti hetuH / jIvat-SarIra-sambanDI prANa-AdiH sa-Atmake
   nirātmake vā varttamāno vyāvṛtto vetyaniścayaḥ //	nirAtmake vA varttamAnaH vyAvRttaH vA-iti-aniScayaH //
   45. tataḥ kevalānvayī heturdṛṣṭāntābhāvāt //	45. tatas kevala-anvayI hetuH-dRzwAnta-aBAvAt //
   46. evaṃ dvitīyo 'pi kevalavyatirekī / jīvaccharīramidaṃ na nirātmakaṃ	46. evam dvitIyaH api kevala-vyatirekI / jIvat-SarIram-idam na nirAtmakam
   prāṇādyabhāvaprasaṅgāditi / dṛṣṭāntābhāvādanvayasyāniścayo vyatirekasya ca	prANa-Adi-a-BAva-prasaFgAt-iti / dRzwAnta-aBAvAt-anvayasyA-niScayaH vyatirekasya ca
   niścaya ityayaṃ saṃdigdho hetuḥ //	niScayaH iti-ayam saMdigDaH hetuH //
   47. ete daśānaikāntikahetvābhāsā udāhṛtāḥ //	47. ete daSAna-ekAntika-hetvA-ABAsAH udAhRtAH //
   48. viruddhā hetvābhāsāḥ kīdṛśāḥ //	48. virudDAH hetvABAsAH kIdRSAH //
   49. yathā dharmī śabdo nitya iti sādhyadharmaḥ /	49. yaTA DarmI SabdaH nityaH iti sADya-DarmaH /
   kṛtakatvādākāśādivadityayaṃ heturghaṭādau vipakṣa eva vidyate na sapakṣe	kRtaka-tvAt-AkASa-Adi-vat-iti-ayam hetuH-Gawa-AdO vipakzaH eva vidyate na sa-pakze
   50. evaṃ dharmī śabdo nitya iti sādhye prayatnānantarīyakatvāditi hetuḥ	50. evam DarmI SabdaH nityaH iti sADye prayatna-anantarIyaka-tvAt-iti hetuH
   sapakṣa ākāśādau nāsti ghaṭādāvekadeśe 'sti vidyudādau nāstīti / imau dvau	sa-pakzaH AkASa-AdO na-asti Gawa-AdO=-eka-deSe asti vidyut-AdO na-asti-iti / imO dvO
   hetū dharmasvarūpaviparītasādhanau //	hetU Darma-svarUpa-viparIta-sADanO //
   51. dharmisvarūpaviparītasādhano dvividho yathā / ete cakṣurādayaḥ	51. Darmi-svarUpa-viparIta-sADanaH dviviDaH yaTA / ete cakzuH-AdayaH
   parārthā iti sādhyadharmaḥ saṃghātatvāditi hetuḥ śayanāsanādivaditi	para-arTAH iti sADya-DarmaH saMGAta-tvAt-iti hetuH Sayana-Asana-Adi-vat-iti
   sapakṣanirdeśaḥ / ayaṃ heturyathā cakṣurādeḥ pārārthyaṃ sādhayati tathā	sa-pakza-nirdeSaH / ayam hetuH-yaTA cakzuH-AdeH pArArTyam sADayati taTA
   saṃhatatvamapi parasya sādhayati / śayanāsanādeḥ	saMhata-tvam-api parasya sADayati / Sayana-Asana-AdeH
   saṃhatadevadattādiparārthatvadarśanāt //	saMhata-devadatta-Adi-parArTa-tva-darSanAt //
   52. dharmisvarūpaviparītasādhano yathā / dharmyādirbuddhimataḥ	52. Darmi-svarUpa-viparIta-sADanaH yaTA / DarmyAdiH-budDimataH
   kāraṇādutpadyata iti sādhye sāśratvāditi hetuḥ / ghaṭādivaditi	kAraNAt-utpadyate iti sADye sa-ASra-tvAt-iti hetuH / Gawa-Adi-vat-iti
   sapakṣanirdeśaḥ / yathānena hetunā buddhimaddhetuto jātatvaṃ sādhyate	sa-pakza-nirdeSaH / yaTA-anena hetunA budDimat-hetutaH jAta-tvam sADyate
   tathā buddhimatkarttuḥ sāśrayatvamapi sādhyate //	taTA budDimat-karttuH sa-ASraya-tvam-api sADyate //
   53. dharmiviśeṣaviparītasādhano yathā / vaiśeṣikeṇa yogācāraṃ prati	53. Darmi-viSeza-viparIta-sADanaH yaTA / vESezikeNa yoga-AcAram prati
   dharmyātmā cetanā iti sādhye vijñānādhiṣṭhānāditi hetu	Darmya-AtmA cetanA iti sADye vijQAna-aDizWAnAt-iti hetu
   ryathācetanamātmānaṃ cetanaṃ sādhayati tathāyaṃ heturanityamapi sādhayati	ryaTa-acetanam-AtmAnam cetanam sADayati taTA-ayam hetuH-anityam-api sADayati
   vijñānasyānityatvāt //	vijQAnasya-anitya-tvAt //
   54. pañcabhiretairviruddhā hetvābhāsāḥ pradarśitāḥ //	54. paQcaBiH-etEH-virudDAH hetvABAsAH pradarSitAH //
   55. viruddhāvyabhicārī kutrāpi hetudoṣo na bhavatīti tasyodāharaṇopanyāso	55. virudDa-avyaBicArI kutra-api hetu-dozaH na Bavati-iti tasya-udAharaNa-upanyAsaH-
   na yuktaḥ / udāharaṇamucyate cet / yatsarvadeśāvasthitaiḥ	na yuktaH / udAharaNam-ucyate ced / yat-sarva-deSa-avasTitEH
   svasambandhibhiryugapadabhisambadhyate tatsarvagatam / yathākāśam /	sva-sambanDiBiH-yugapad-aBisambaDyate tat-sarva-gatam / yaTA-AkASam /
   sarvadeśāvasthitaiḥ svasambandhibhiryugapat sāmānyamabhisambaddhamiti	sarva-deSa-avasTitEH sva-sambanDiBiH-yugapad sAmAnyam-aBisambadDam-iti
   pailukasya svabhāvahetuprayogaḥ / dvitīyo 'pi prayogaḥ paiṭharasya /	pElukasya svaBAva-hetu-prayogaH / dvitIyaH api prayogaH pEWarasya /
   yadupalabdhilakṣaṇaprāptaṃ sadyatra nopalabhyate na tat tatra asti /	yat-upalabDi-lakzaNa-prAptam sat-yatra na-upalaByate na tat tatra asti /
   tadyathā kasmiṃściddeśe 'vidyamāno ghaṭaḥ / nopalabhyate ca	tat-yaTA kasmiMScid-deSe avidyamAnaH GawaH / na-upalaByate ca
   upalabdhilakṣaṇaprāptaṃ sāmānyaṃ vyaktyantarāleṣviti /	upalabDi-lakzaNa-prAptam sAmAnyam vyakti-antarAlezu-iti /
   ayamanupalambhahetuḥ pūrvoktaśca svabhāvahetuḥ / anayoḥ parasparavirodhena	ayam-anupalamBa-hetuH pUrva-uktaH-ca svaBAva-hetuH / anayoH paraspara-viroDena
   saṃśayajanakatvāt / sapakṣādanyo dṛṣṭānto na kaścidastīti sapakṣa evāyaṃ	saMSaya-janaka-tvAt / sa-pakzAt-anyaH dRzwAntaH na kaScid-asti-iti sa-pakzaH eva-ayam
   sādharmyeṇa dṛṣṭānto bhavati /	sADarmyeNa dRzwAntaH Bavati /
   56. tatra kīdṛśā dṛṣṭāntābhāsāḥ //	56. tatra kIdRSAH dRzwAnta-ABAsAH //
   57. sādharmyeṇa tāvat //	57. sADarmyeNa tAvat //
   58. nityaḥ śabdo 'mūrttatvātkarmavaditi sādhyavikalaḥ karmaṇo 'nityatvāt	58. nityaH SabdaH amUrtta-tvAt-karma-vat-iti sADya-vikalaH karmaNaH anitya-tvAt-
   59. nityaḥ śabdo 'mūrttatvātparamāṇuvaditi sādhanavikalaḥ	59. nityaH SabdaH amUrtta-tvAt-paramANu-vat-iti sADana-vikalaH
   paramāṇormūrttatvāt //	paramANoH-mUrtta-tvAt //
   60. nityaḥ śabdo 'mūrttatvāddhaṭavaditi sādhyasādhanavikalaḥ //	60. nityaH SabdaH amUrtta-tvAt-hawa-vat-iti sADya-sADana-vikalaH //
   61. evaṃ saṃdigdhasādhyadharmo dṛṣṭāntābhāso yathā / dharmī puruṣaḥ	61. evam saMdigDa-sADya-DarmaH dRzwAnta-ABAsaH yaTA / DarmI puruzaH
   kaścidrāgādimān vacanādrathyāpuruṣavaditi / rathyāpuruṣadṛṣṭānte	kaScid-rAga-AdimAn vacanAt-raTyA-puruza-vat-iti / raTyA-puruza-dRzwAnte
   rāgādimattvaṃ saṃdigdham / paracittānumānasya duṣkaratvāt //	rAga-Adimattvam saMdigDam / para-citta-anumAnasya duzkara-tvAt //
   62. saṃdigdhasādhanadharmo yathā / maraṇadharmā puruṣa iti sādhye	62. saMdigDa-sADana-DarmaH yaTA / maraNa-DarmA puruzaH iti sADye
   rāgādimattvāditi hetū rathyāpuruṣadṛṣṭānte saṃdigdhaḥ / vītarāgasyāpi	rAga-AdimattvAt-iti hetuH raTyA-puruza-dRzwAnte saMdigDaH / vIta-rAgasya-api
   sarāgavaccalatvāt //	sa-rAga-vat-cala-tvAt //
   63. saṃdigdhobhayadharmo dṛṣṭāntābhāso yathā / dharmī kaścit puruṣaḥ	63. saMdigDa-uBaya-DarmaH dRzwAnta-ABAsaH yaTA / DarmI kaScid puruzaH
   asarvajña iti sādhye rāgādimattvāditi hetuḥ / rathyāpuruṣadṛṣṭānte sādhyaṃ	asarvajQaH iti sADye rAga-AdimattvAt-iti hetuH / raTyA-puruza-dRzwAnte sADyam
   sādhanaṃ ca saṃdigdham //	sADanam ca saMdigDam //
   64. ananvayo 'pradarśitānvayo viparītānvayaśca dṛṣṭāntābhāsāḥ //	64. ananvayaH apradarSita-anvayaH viparIta-anvayaH-ca dRzwAnta-ABAsAH //
   65. tatrānanvayo yathā / yo vaktā sa rāgādimān rathyāpuruṣavat /	65. tatra-ananvayaH yaTA / yaH vaktA sa rAga-AdimAn raTyA-puruza-vat /
   vaktṛtvarāgādimattvayoḥ kāryakāraṇabhāvapratiṣedhāt //	vaktR-tva-rAga-AdimattvayoH kArya-kAraNa-BAva-pratizeDAt //
   66. apradarśitānvayo yathā / anityaḥ śabdaḥ kṛtakatvāditi /	66. apradarSita-anvayaH yaTA / anityaH SabdaH kRtaka-tvAt-iti /
   atrānvayavyāptirapradarśitā / vaktṛdoṣādayaṃ dṛṣṭāntābhāsaḥ //	atra-anvaya-vyAptiH-apradarSitA / vaktR-dozAt-ayam dRzwAnta-ABAsaH //
   67. viparītānvayo yathā / yadanityaṃ tatkṛtakamiti / ghaṭādivaditi /	67. viparIta-anvayaH yaTA / yat-anityam tat-kRtakam-iti / Gawa-Adi-vat-iti /
   atrānityatvaṃ sādhyam / sādhyena sādhanasya vyāptirdarśanīyā sādhanena tu	atra-anitya-tvam sADyam / sADyena sADanasya vyAptiH-darSanIyA sADanena tu
   sādhyasya vyāptirdarśitā / tato viparītānvayo dṛṣṭāntābhāsaḥ //	sADyasya vyAptiH-darSitAH / tatas viparIta-anvayaH dRzwAnta-ABAsaH //
   68. sādharmyeṇaite nava dṛṣṭāntābhāsā uktāḥ //	68. sADarmyeNa-ete nava dRzwAnta-ABAsAH uktAH //
   69. vaidharmyeṇa dṛṣṭāntābhāsā ucyante //	69. vEDarmyeNa dRzwAnta-ABAsAH ucyante //
   70. sādhyāvyāvṛtto dṛṣṭāntābhāso yathā / nityaḥ śabdo	70. sADya-avyAvRttaH dRzwAnta-ABAsaH yaTA / nityaH SabdaH-
   'mūrttatvātparamāṇuvaditi / iha paramāṇurvaidharmyadṛṣṭānta iti	amUrtta-tvAt-paramANu-vat-iti / iha paramANuH-vEDarmya-dRzwAntaH iti
   sādhanadharmo 'mūrttatvaṃ vyāvṛttaṃ mūrttatvātparamāṇunām / sādhyadharmo	sADana-DarmaH amUrtta-tvam vyAvRttam mUrtta-tvAt-paramANunAm / sADya-DarmaH-
   nityatvaṃ na vyāvṛttaṃ nityatvātparamāṇunāmiti //	nitya-tvam na vyAvRttam nitya-tvAt-paramANunAm-iti //
   71. sādhanāvyāvṛtto yathā / nityaḥ śabdo 'mūrttatvāt karmavaditi / iha	71. sADana-avyAvRttaH yaTA / nityaH SabdaH amUrtta-tvAt karma-vat-iti / iha
   sādhyadharmo nityatvaṃ vyāvṛttaṃ karmaṇo 'nityatvāt sādhanadharmo na	sADya-DarmaH nitya-tvam vyAvRttam karmaNaH anitya-tvAt sADana-DarmaH na
   vyāvṛtto 'mūrttatvātkarmaṇaḥ //	vyAvRttaH amUrtta-tvAt-karmaNaH //
