   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   cenna, parakṛtaprabandhapāṭhavadakartṛbhiruccāraṇepi tatsiddheḥ /	ced-na, para-kRta-prabanDa-pAWa-vat-akartRBiH-uccAraNepi tad-sidDeH /
   ādimamuccāraṇaṃ kartrabhāve kathaṃ syāditi cenna, ādimattvasyaivāsiddheḥ,	Adimam-uccAraNam kartR-aBAve kaTam syAt-iti ca-id-na, Adimattvasya-eva-asidDeH,
   darśanānuguṇyena adyatvavadeva sarvadā	darSana-anuguNyena adyatva-vat-eva sarvadA
   paratantroccāraṇasyaivābhyupagantumucitatvāt, tataśca	paratantra-uccAraNasya-eva-aByupagantum-ucita-tva-at, tatas-ca
   sarvadoccārayitṛpuruṣāpekṣatvepi	sarvadA-uccArayitR-puruza-apekza-tvepi
   pūrvapūrvādhītaprakārasyānusaraṇādanāditvasiddheḥ /	pUrva-pUrva-aDIta-prakArasya-anusaraNAt-anAdi-tva-sidDeH /
   apauruṣeyatve ghuṇakṣatākṣaravadūbodhakatvepyabhiprāyavirahādarthaparatvaṃ	apOruzeya-tve GuNa-kzata-akzara-vadU-boDaka-tvepi-aBiprAya-virahAt-arTa-para-tvam
   na syāditi cenna, pratipanne nirbādhe cārthe pradhāne bodhakatvasyaiva	na syAt-iti ced-na, pratipanne nirbADe ca-arTe praDAne boDaka-tvasya-eva
   tātparyarūpatvāt, prādhānyāderlaukikavākyavadākhyātādisvabhāvādeva	tAtparya-rUpa-tva-at, prADAnya-AdeH-lOkika-vAkya-vat-AKyAta-Adi-svaBAvAt-eva
   siddheḥ, asmadiṣṭe ca seśvaramīmāṃsāpakṣe nityeśvarābhiprāyasaṃbhavāt /	sidDeH, asmat-izwe ca sa-ISvaramI-mAMsA-pakze nitya-ISvara-aBiprAya-saMBavAt /
   svayameva hyāha--- "śrutiḥ smṛtirmamaivājñā" iti /	svayam-eva hi-Aha-- "SrutiH smRtiH-mama-eva-ajQA" iti /
   tathā bhāṣyam--- "svaśāsanāvabodhi śāstramiti nityaṃ śrutyaiva niyuṅkte	taTA BAzyam-- "sva-SAsana-a=-aboDi SAstram-iti nityam SrutyA-eva niyuFkte
   paraḥ" iti /	paraH" iti /
   nityāpi sā tadājñā /	nityA-api sA tad-AjQA /
   gītādirapi śrutyarthopadeśarūpatayā pravartate /	gIta-AdiH-api Sruti-arTa-upadeSa-rUpa-tayA pravartate /
   sākṣāttu śrutistadādośaḥ /	sAkzAt-tu SrutiH-tad-AdoSaH /
   tadanuvidhānācca smṛtirapi /	tad-anuviDAnAt-ca smRtiH-api /
   ajñātakartṛkatve	ajQAta-kartRka-tve
   gandharvabhāṣitādivadāptakartṛkatvaniścayābhāvādaprāmāṇyaśaṅkā syāditi	ganDarva-BAzita-Adi-vat-Apta-kartRka-tva-niScaya-aBAvAt-aprAmANya-SaFkA syAt-iti
   cenna, doṣābhāvaniścayādeva tannivṛtteḥ /	ced-na, doza-aBAva-niScayAt-eva tad-nivRtteH /
   anāptakartṛkatvaśaṅkāyāṃ kathaṃ doṣābhāvaniścayaḥ ? iti cenna,	anApta-kartRka-tva-SaFkAyAm kaTam doza-aBAva-niScayaH ? iti ced-na,
   mahājanaparigrahādevānāptakartṛkaśaṅkonmūlanāt /	mahA-jana-parigrahAt-eva-anApta-kartRkaSaFkA-unmUlanAt /
   bāhyāgamaparigrahavat kiṃ nasyāt ? iti cenna, bahujanaparigrahādimātrasya	bAhya-Agama-parigraha-vat kim nasyAt ? iti ced-na, bahu-jana-parigraha-Adi-mAtrasya
   mahājanaparigrahatvenāvivakṣitatvāt, tatpariprahaviśeṣasyaiva	mahAjana-parigraha-tvena-avivakzita-tva-at, tad-pariprahaviSezasya-eva
   vivakṣitatvācca /	vivakzita-tvAt-ca /
   tayoḥ ko vā viśeṣaḥ ? iti cenna, hetudarśanādarśanābhyāṃ viśeṣāt /	tayoH kaH vA viSezaH ? iti ced-na, hetu-darSana-adarSanAByAm viSezAt /
   ananyagatikaiḥ svairarasikaiḥ sukhajīvikārthibhiḥ kuhakavañcitairvā	ananya-gatikEH svEra-rasikEH suKa-jIvika-arTiBiH kuhaka-vaQcitEH-vA
   tatparigrahaḥ, iha tu na tathā, tadvaiparītyasya suprasiddhatvāt, iti //	tad-parigrahaH, iha tu na taTA, tad-vEparItyasya su-prasidDa-tva-at, iti //
   nyā. pa. śa. 21 api ca bāhyāgamapratibandiḥ kiṃ	nyA. pa. Sa. 21 api ca bAhya-Agama-pratibandiH kim
   vadeprāmāṇyamāptaprāmāṇyanibandhanamitīcchadbhirvaiśeṣikādibhirucyate ?	vadeprAmANyam-Apta-prAmANya-nibanDanam-iti-icCadBiH-vESezika-AdiBiH-ucyate ?
   uta saugatādyāgamaprāmāṇyamicchadbhiḥ ? atha vā	uta sOgata-Adi-Agama-prAmANyam-icCadBiH ? aTa vA
   parityaktāśeṣapāralaukikāgamairlokāyatikaiḥ ? iti /	parityakta-aSeza-pAralOkika-AgamEH-lokAyatikEH ? iti /
   nādyaḥ, riśvarakṛtatvepi	na-AdyaH, riSvara-kRta-tvepi
   vedasyaivaṃvidhaparigrahaviśeṣamantareṇādyatanarebāhyāgamebhyo (?)	vedasya-evaMviDa-parigraha-viSezam-antareNa-Adyatana-rebAhya-AgameByaH (?)
   vivekasyāśakyatvāt, sarvajñapraṇītatvādyabhimānasya	vivekasya-aSakya-tva-at, sarvajQa-praNIta-tva-Adi-aBimAnasya
   tadanumānaprakriyāyāśca sarvatra durvāratvāt /	tad-anumAna-prakriyAyAH-ca sarvatra durvAra-tvAt /
   na dvitīyaḥ, abhyupagataprāmāṇye svāgamepi prasaṅgāt /	na dvitIyaH, aByupagata-prAmANye svAgama-ipi prasaFgAt /
   dṛṣṭaphalasaṃvādasya visaṃvādānyathāsiddheśca sarvatra samacarcatvāt,	dRzwa-Pala-saMvAdasya visaMvAdAn-yaTa-asidDeH-ca sarvatra sama-carca-tvAt,
   asmaduktasya nirupādhikaparigrahasya svamate durvacatvāt /	asmat-uktasya nirupADika-parigrahasya sva-mate durvaca-tvAt /
   ata eva na tṛtīyaḥ, prāmāṇyasya parokṣaprāmāṇyasya vākyaprāmāṇyasya ca	atas eva na tRtIyaH, prAmANyasya parokza-prAmANyasya vAkya-prAmANyasya ca
   sthāpitatvena vaidikavākye hyautsargike prāmāṇye prāpte	sTApita-tvena vEdika-vAkye hi-Otsargike prAmANye prApte
   nirupādhikaprekṣāvadanantapuruṣaparigrahādevānāptakartṛkatvaśaṅkonmūlane	nirupADika-prekzA-vat-ananta-puruza-parigrahAt-eva-anApta-kartRka-tva-SaFkA-unmUlane
   ca vaktṛdoṣaśaṅkānutthānāt, vacasi casvataḥ kācādivaddoṣādarśanāt /	ca vaktR-doza-SaFkA-anutTAnAt, vacasi casvataH kAca-Adi-vat-doza-adarSanAt /
   āptakartṛkatvābhāvepyautsargikaṃ prāmāṇyamanapoditam, iti //	Apta-kartRka-tva-aBAvepya-Otsargikam prAmANyam-anapoditam, iti //
   nyā. pa. śa. 22 ata eva hi prekṣāvantaraścoditeṣu	nyA. pa. Sa. 22 atas eva hi prekzAvantaraH-coditezu
   bahuvittavyayāyāsasādhyeṣu niśaṅkaṃ pravartante, pratiṣiddheṣu ca	bahu-vitta-vyaya-AyAsa-sADyezu niSaFkam pravartante, pratizidDezu ca
   sukhatareṣvapi viṣasaṃsṛṣṭānnabhojanādivannivartante /	suKatarezu-api viza-saMsRzwa-anna-BojanAt-ivat-nivartante /
   prayogaśca---pāralaukikī mahājanapravṛttiḥ saphalā, prekṣāvatpravṛttitvāt,	prayogaH-ca---pAralOkikI mahA-jana-pravRttiH saPalA, prekzA-vat-pravRtti-tva-at,
   kṛṣyādipravṛttivat; na	kRzi-Adi-pravRttivat; na
   hyanantaiḥprekṣāvadbhiravisaṃvādenāphalamanuṣṭhīyate iti śaṅkituṃ śakyam /	hi-anantEH-prekzA-avadBiH-avi-saMvAdena-aPalam-anuzWIyate iti SaFkitum Sakyam /
   duḥkharūphaladarśanena siddhasādhanateti cenna, anabhipretopālambhāt,	duHKa-rUPala-darSanena sidDa-sADana-tA-iti ced-na, anaBipreta-upAlamBAt,
   pravṛttiduḥkhādadhikapuruṣārthaparyavasānasya siṣādhayiṣitatvāt /	pravRtti-duHKAt-aDika-puruza-arTa-paryavasAnasya sizA-Dayizita-tvAt /
   tathāpi lābhapūjākhyātirūpadṛṣṭaprayojanenaiva sārthateti cet, tadapyasat,	taTA-api lABa-pUjA-KyAti-rUpa-dRzwa-prayojanena-eva sArTa-tA-iti cet, tat-api-asat,
   ataduddeśena teṣāṃ pravṛttidarśanāt, taduddeśena pravṛtteśca ḍāmbhikatvena	atad-uddeSena tezAm pravRtti-darSanAt, tad-uddeSena pravRtteH-ca xAmBika-tvena
   śāstraistanniṣṭhaiśca vigarhaṇāt /	SAstrEH-tad-nizWEH-ca vigarhaNAt /
   ye ca taduddeśena pravartante, tepyataduddeśena pravṛttānāmanukurvāṇā eva	ye ca tad-uddeSena pravartante, tepya-tad-uddeSena pravRttAnAm-anukurvANAH eva
   khyātyādi prāpnuvanti, anyathā khyātilābhapūjādernirnimittatvaprasaṅgāt /	KyAti-Adi prApnuvanti, anyaTA KyAti-lABa-pUjA-AdeH-niH-nimitta-tva-prasaFgAt /
   na hi yatkiñcidanena kṛtamiti matvā kaścit kṛcchrasaṃpāditān dhanādīn	na hi yat-kiQcid-anena kRtam-iti matvA kaScid kRcCra-saMpAditAn Dana-AdIn
   dadāti, pūjayati, guṇānvā āropya stauti; api tu kutaścit pramāṇāt siddhaṃ	dadAti, pUjayati, guNAn-vA Aropya stOti; api tu kutaScid pramANAt sidDam
   praśastācaraṇamabhimatyaiva /	praSasta-AcaraNam-aBimatya-eva /
   samarasāmarthyādimūlalābha	samara-sAmarTya-Adi-mUla-lABa
   jādikamapyantatorthaśāstrādimūlapraśastapravṛttiprasūtam /	jAdikam-api-antatorTa-SAstra-Adi-mUla-praSasta-pravRtti-prasUtam /
   ataḥ sanmaryādāpravṛttān dānamānādibhirabhyarcayantoṣpadṛṣṭabuddhyaiva	atas sat-maryAdA-pravRttAn dAna-mAna-AdiBiH-aByarcayanta-uzpadRzwa-budDyA-eva
   pravartante /	pravartante /
   janarañjanārthameva dānādi, jano dātari mānayitari ca rajyate,	jana-raQjana-arTam-eva dAna-Adi, janaH dAtari mAnayitari ca rajyate,
   "janānurāgaprabhavāśca saṃpadaḥ" iti prasiddheḥ, iti cenna,	"jana-anurAga-praBavAH-ca saMpadaH" iti prasidDeH, iti ced-na,
   pratyupakārādyanarhapravrajitatapasvijaḍāndhabadhiradīnānāthādiṣu	pratyupakAra-Adi-anarha-pravrajita-tapasvi-jaxa-anDa-baDira-dIna-anATa-Adizu
   dānamānādibhiranurañjiteṣvapi tanmūladṛṣṭasaṃpatprasaṅgābhāvāt; ata eva hi	dAna-mAna-AdiBiH-anuraQjitezu-api tad-mUla-dRzwa-saMpad-prasaFga-aBAva-at; atas eva hi
   nītinarmasaciveṣveva tadarthadānādivyavasthāpanam /	nIti-narma-sacivezu-eva tad-arTa-dAna-Adi-vyavasTApanam /
   pratāraṇapaṭubhirvaindikaiḥ pratāritāstān pūjayantīti cenna /	pratAraNa-pawuBiH-vEndikEH pratAritAH-tAn pUjayanti-iti ced-na /
   kiṃ te svātmānamapi pratārayanti? ye nāma samastabhogāvimukhā	kim te sva-AtmAnam-api pratArayanti? ye nAma samasta-Boga-avimuKA
   yāvajjīvamātmānaṃ parikleśayanti; yaiśca paṭuprajñāḥ sarve lokāḥ	yAvat-jIvam-AtmAnam parikleSayanti; yEH-ca pawu-prajQAH sarve lokAH
   pratāritāḥ, te kathaṃ lokottaraprajñena tvayā pratārakā ityunnītāḥ /	pratAritAH, te kaTam loka-uttara-prajQena tvayA pratArakAH iti-unnItAH /
   andhaparamparākalpastarhyayamanuṣṭhānapravāhaḥ iti cenna,	anDa-paramparA-kalpa-starhi-ayam-anuzWAna-pravAhaH iti ced-na,
   pramāṇasvarūpaphalayorabādhasya ca pratyakṣatvāt dharmabuddhyaiva ca	pramANa-svarUpa-PalayoH-abADasya ca pratyakza-tvAt Darma-budDyA-eva ca
   nirupādhikaparigrahasya tvaduktyaiva siddhaḥ /	nirupADika-parigrahasya tvad-uktyA-eva sidDaH /
   anādinidhanesminnāmnāyamūle anuṣṭhāne pravahati prakriyāntaramāśritya	anAdiniDanesmin=-AmnAya-mUle anuzWAne pravahati prakriyA-antaram-ASritya
   pratārakairīśvarairarvācīnaiśca praticchandapravartanā śrutismṛtisiddhā	pratArakEH-ISvarEH-arvAcInEH-ca praticCanda-pravartanA Sruti-smRti-sidDA
   yuktimatī cetyeṣā dik //	yuktimatI ca-iti-ezA diS //
   nyā. pa. śa. 23 vedānityatvānumānānāṃ pratiprayogāśca---parvāparakalpāḥ	nyA. pa. Sa. 23 veda-anitya-tva-anumAnAnAm pratiprayogAH-ca----parva-apara-kalpAH
   etadvedasandarbhapāṭhavantaḥ, kalpatvāt, adyatanakalpavat /	etat-veda-sandarBa-pAWavantaH, kalpa-tva-at, adyatana-kalpa-vat /
   aiśvaraṃ vedapravartanamapracyutaprācīnasandarbham,	ESvaram veda-pravartanam-apracyuta-prAcInasandarBam,
   āptakartṛkavedapravartanarūpatvāt,	Apta-kartRka-veda-pravartana-rUpa-tvAt,
   adyatananipuṇopādhyāyavedapravartanavat; na cāśrayādyasiddhiḥ,	adyatana-nipuNa-upADyAya-veda-pravartanavat; na ca-ASraya-Adya-sidDiH,
   pauruṣeyatvepi prāmāṇyamicchatastata eva tatsiddheḥ /	pOruzeya-tvepi prAmANyam-icCataH-tatas eva tad-sidDeH /
   aprāmāṇyamicchatopi mahājanaparigrahānyathānupapattyaiva prāmāṇyaṃ	aprAmANyam-icCatopi mahA-jana-parigrahAnyaTa-anupapattyA-eva prAmANyam
   prasādhya tata eva tatsādhanāt /	prasADya tatas eva tad-sADanAt /
   na cāsti vedapravartanasya sārasvatapāṭhenānaikāntyam, tathaiva	na ca-asti veda-pravartanasya sArasvata-pAWena-anEkAntyam, taTA-eva
   tatpravāhasya tattacchākhāpraṇayanavadanāditvāt,	tat-pravAhasya tad-tad-SAKA-praNayana-vadana-Adi-tvAt,
   mantrabrāhmaṇādivākyasvarūpavaiyākulīvirahācceti /	mantra-brAhmaNa-Adi-vAkya-svarUpa-vEyAkulI-virahAt-ca-iti /
   evaṃvipakṣe bādhakābhāvādeva kevalavyatirekyapi nirastaḥ, anumānādhyāye	evaMvipakze bADaka-aBAvAt-eva kevala-vyatireki-api nirastaH, anumAna-aDyAye
   tasya sāmānyato dūṣitatvācca /	tasya sAmAnyatas dUzita-tvAt-ca /
   tvanmatepyāyurvedādisapakṣasadbhāvena tasyāsādhāraṇyam; nahi tebhyo	tvad-mata-Ipya-Ayurveda-Adi-sapakza-sadBAvena tasya-asADa-araNyam; na-hi teByaH-
   vyāvṛttamapauruṣeyatvādilakṣaṇaṃ vedatvaṃ tvayābhyupagamyate /	vyAvRttam-apOruzeya-tva-Adi-lakzaNam veda-tvam tvayA-aByupagamyate /
   vedaśabdaprayogaviṣayatāmātreṇa teṣāmapi pakṣīkāre	veda-Sabda-prayoga-vizaya-tA-mAtreNa tezAm-api pakzIkAre
   svecchāgṛhītarūpasyeśvarasya tattadavatārasaṃvyavahārā vedavyatiriktāḥ	sva-icCA-gRhIta-rUpasya-ISvarasya tad-tad-avatAra-saMvyavahArAH veda-vyatiriktAH
   santi sapakṣāḥ /	santi sa-pakzAH /
   na ca te tvayāpi neṣyante, vedatayā vā svīkriyante, gītādiṣu	na ca te tvayA-api na-izyante, veda-tayA vA svIkriyante, gIta-Adizu
   bhagavaduktyaṃśānāṃ śrīviṣṇusmṛtiprabhṛtīnāṃ ca vedatvānabhyupagamāt /	Bagavat-ukti-aMSAnAm SrI-vizNu-smRti-praBRtInAm ca veda-tva-anaByupagamAt /
   dharmaśāstratayaiva hi vaiṣṇavasmṛtyādiprasiddhiḥ /	Darma-SAstra-tayA-eva hi vEzNava-smRti-Adi-prasidDiH /
   avaktṛkasandarbhā vedāḥ, vedatvāt, yaḥ sakartṛkasandarbhaḥ, nāsau vedaḥ,	avaktRka-sandarBAH vedAH, vedatvAt, yaH sa-kartR-kasandarBaH, na-asO vedaH,
   iti pratihetuśca siddhaḥ /	iti pratihetuH-ca sidDaH /
   aprasiddhaviśeṣaṇatvādicodyaṃ tviha na tvayā smartavyam /	aprasidDa-viSezaNa-tva-Adi-codyam tu-iha na tvayA smartavyam /
   sandarbhaḥ kathamavavatṛkaḥ syāditi cenna, varṇakramaniyamamātraviśeṣasya	sandarBaH kaTam-avavatRkaH syAt-iti ced-na, varNa-krama-niyama-mAtra-viSezasya
   sandarbhaśabdena grahaṇāt,tasya ca prāguktanayena	sandarBa-Sabdena grahaNa-at,tasya ca prAk-ukta-nayena
   yathāpūrvapravartanamātreṇāpi vyavasthānāt /	yaTApUrva-pravartana-mAtreNa-api vyavasTAnAt /
   mābhūdavītahetuḥ /	mABUt-avIta-hetuH /
   vītastu syāt vigītaṃ vākyaṃ sarvajñapraṇītaṃ, pramāṇatve	vItaH-tu syAt vigItam vAkyam sarvajQa-praNItan, pramANa-tve
   satyalaukikārthaviṣayavākyatvāt, "na tvevāhaṃ jātu nāsam" ityādivākyavat,	satya-lOkika-arTa-vizaya-vAkya-tva-at, "na tu-eva-aham jAtu na-asam" ityAdi-vAkyavat,
   iti cenna, vedārthaviṣayaiḥ kalpasūtrakārādivākyairasmadādivākyaireva	iti ced-na, veda-arTa-vizayEH kalpasUtra-kAra-Adi-vAkyEH-asmad-Adi-vAkyEH-eva
   vānaikāntyāt /	vAnEkAntyAt /
   atīvakartṛkatve satīti viśeṣayiṣyāmaḥ iti cenna, tathāpi	atIva-kartRka-tve satI-iti viSezayizyAmaH iti ced-na, taTA-api
   yathāpūrvapraṇayanamātreṇāpi tatpraṇītatvasiddhau siddhasādhanāt /	yaTApUrva-praNayana-mAtreNa-api tad-praNIta-tva-sidDO sidDa-sADanAt /
   yathāpūrvameva hi viśvamīśvaraḥ sṛjati; yathā adhīmahe---	yaTApUrvam-eva hi viSvam-ISvaraH sRjati; yaTA aDImahe---
   "sūryācandramasau dhātā yathāpūrvamakalpayat" iti /	"sUryAcandramasO DAtA yaTApUrvam-akalpayat" iti /
   evaṃ tarhitulyayogakṣematayā vedavajjagatopyakartṛkatvaṃ prasaktamiti	evam tarhi-tulya-yogakzema-tayA veda-vat-jagatA-upya-kartRka-tvam prasaktam-iti
   cenna, yathāpūrvaṃ ghaṭādinirmāṇe kulālakuvindādeḥ kartṛtvasiddheḥ; hanta	ced-na, yaTApUrvam Gawa-Adi-nirmANe kulAla-kuvinda-AdeH kartR-tva-sidDeH; hanta
   ! vedasya evaṃ syāditi cet, hanta ! syādeva /	! vedasya evam syAt-iti cet, hanta ! syAt-eva /
   na hi kalpāntaravarṇavyaktisamudāyamevedānīntanavedarāśiṃ brūmaḥ, api tu	na hi kalpa-antara-varNa-vyakti-samudAyam-eva-idAnIntana-veda-rASim brUmaH, api tu
   tādṛkkramayogitāmātram /	tAdRk-kramayogitA-mAtram /
   sarvatra vākyeṣu yatheṣṭakramakalpane puruṣasya svātantryoktiḥ, na	sarvatra vAkyezu yaTezwa-krama-kalpane puruzasya svAtantrya-uktiH, na
   punaryathāpuroccāraṇe, iti kāvyādiṣvapi prasiddham /	punar-yaTA-pura-uccAraNe, iti kAvya-Adizu-api prasidDam /
   yadi tvayā ayathāpurapraṇītatvaṃ sādhyeta, tatra yathāpurapraṇayane kamiva	yadi tvayA ayaTA-pura-praNIta-tvam sADyeta, tatra yaTApura-praNayane kam-iva
   doṣāmālakṣyaivaṃ viśeṣayasi ? mantrādiṣu kramabhaṅgānupapattiśca	dozAm-Alakzya-evam viSezayasi ? mantra-Adizu krama-BaFga-anupapattiH-ca
   kalpāntarepi tacchaktyanapāyādeva, tathātvepi vā yathāpūrvoccāraṇepi	kalpa-antarepi tad-Sakti-anapAyAt-eva, taTA-tvepi vA yaTApUrva-uccAraNepi
   tadanapāyāt, anyathā kalpanāgauravāt, iti //	tad-anapAyAt, anyaTA kalpanA-gOrava-at, iti //
   nyā. pa. śa. 24 tathāpi sargapralayasaṃbhavāt saṃpradāyavicchede	nyA. pa. Sa. 24 taTA-api sarga-pralaya-saMBavAt saMpradAya-vicCede
   sarvavedocchedāt paścādīśvarastatsraṣṭā syāt /	sarva-veda-ucCedAt paScAt-ISvaraH-tad-srazwA syAt /
   na syāt, tathāpi prācīnavedasākṣātkāriṇastasya tatpravartanamātraucityāt,	na syAt, taTA-api prAcIna-vedasA-akzAt-kAriNaH-tasya tad-pravartana-mAtra-OcityAt,
   śaktasyāpi tajjātīyavedāntarakalpane gauravāt, śaktāvapi	Saktasya-api tad-jAtIya-veda-antara-kalpane gOrava-at, SaktO=-api
   siddhopajīvanasyāsmadādiṣu dṛṣṭeḥ, eṣāmeva ca mantrāṇāṃ kalpāntarepi	sidDa-upajIvanasya-asmad-Adizu dRzweH, ezAm-eva ca mantrANAm kalpa-antarepi
   mantratvāvirodhāt /	mantra-tva-aviroDAt /
   evaṃ mantranityatve ca tulyanyāyatayā brāhmaṇanityatvasyāpi dustyajatvāt,	evam mantra-nitya-tve ca tulya-nyAyatayA brAhmaNa-nitya-tvasya-api dustyaja-tvAt,
   taddṛṣṭāntena vā tannityatvasādhanāt /	tad-dRzwAntena vA tad-nitya-tva-sADanAt /
   sārasvatapāṭhādāvapi mantrādisvarūpabhedābhāvasyoktatvāt /	sArasvata-pAWA-AdO=-api mantra-Adi-svarUpa-Beda-aBAvasya-ukta-tvAt /
   "yā brahmāṇaṃ vidadhāti pūrvaṃ yo vai vedāṃśca prahiṇoti tasmai /	"yAH brahmANam vidaDAti pUrvam yaH vE vedAn=-ca prahiNoti tasmE /
   " "vācāvirūpanityayā""pūrve pūrvebhyo vaca etadūcuḥ" "ajān ha vai	" "vAca-avirUpa-nityayA""-pUrve pUrveByaH vacaH etat-UcuH" "ajAn ha vE
   praśnīṃstapasyamānāt brahma svayaṃ bhyabhyānar ṣat ta ṛṣayobhavan	praSnIn=-tapasyamAnAt brahma svayam ByaByAnar zat te RzayaH-Bavan
   tadṛṣīṇāmṛṣitvam" "anādinidhanā hyeṣā vāgutsṛṣṭā svayaṃbhuvā" "vyasya	tad-RzINAm-Rzi-tvam" "anAdi-niDanA hi-ezA vAc-utsRzwA svayaMBuvA" "vyasya
   vedaṃ sanātanam"	vedam sanAtanam"
   ityādibhirīśvarasyāpyanīśvaravadvedapravartanamātrasiddheḥ kutaśca	ityAdiBiH-ISvarasya-api-anISvara-vat-veda-pravartana-mAtra-sidDeH kutas-ca
   sargapralayasiddhiḥ ? viśvasantatiratyantamucchidyate, santatitvāt,	sarga-pralaya-sidDiH ? viSvasantatiH-atyantam-ucCidyate, santati-tva-at,
   pradīpasantativat /	pradIpa-santati-vat /
   viśvasantānoyaṃ dṛśyasantānahīnaiḥ samavāyibhirārabdhaḥ, santānatvāt,	viSvasantAnoyam dRSya-santAna-hInEH samavAyiBiH-ArabDaH, santAna-tvAt,
   āraṇeyāgnisantānavat /	AraNeya-agni-santAna-vat /
   vartamānabrahmāṇḍaparamāṇavaḥ pūrvamutpāditasajātīyasantānāntarāḥ,	vartamAna-brahmANxa-paramANavaH pUrvam-utpAdita-sajAtIya-santAna-antarAH,
   nityatve sati tadārambhakatvāt, pradīpaparamāṇuvat /	nitya-tve sati tad-AramBaka-tvAt, pradIpa-paramANu-vat /
   parvatā api cūrṇībhaviṣyanti, avayavitvāt, ghaṭavat /	parvatAH api cUrNI-Bavizyanti, avayavi-tvAt, Gawa-vat /
   samudrā api śoṣamupayāsyanti, jalāśayatvāt, palvalavat ityādyanumānataḥ,	samudrAH api Sozam-upayAsyanti, jalASaya-tva-at, palvala-vat ityAdi-anumAnataH,
   iti cenna, keṣāṃ cinnityasaṃsārapakṣe prathamasya hetostathā	iti ced-na, kezAm cit-nitya-saMsAra-pakze praTamasya hetoH-taTA
   tatpratipādakairāgamairaṃśato bādhaḥ, tadvahiṣkāre ca anaikāntaḥ; sarveṣāṃ	tad-pratipAdakEH-AgamEH-aMSataH bADaH, tat-vahizkAre ca anEkAntaH; sarvezAm
   ca	ca
   śrutiśatasiddhairnityavibhūtiniṣṭhairīśvaranityavigrahādibhistaistairanekāntaḥ	Sruti-Sata-sidDEH-niti-aviBUti-nizWEH-ISvara-nitya-vigraha-AdiBiH-tEH-tEH-anekAntaH
   na ca tatpakṣīkāraḥ, bādhāsiddhyoranyatarāpātāt /	na ca tad-pakzIkAraH, bADA-sidDyoH-anyatara-ApAtAt /
   pratiprayogāśca---gaṇitaviśeṣādisiddhadvipārārdhasaṃkhyāpūrvottarakālo na	pratiprayogAH-ca----gaNita-viSeza-Adi-sidDa-dvi-pAra-arDa-saMKyA-pUrva-uttara-kAlaH na
