   Ārya advayaśatikā prajñāpāramitā sūtra	Ārya advaya-SatikA prajQApAramitA sUtra
   aparipṛcchakajātīyena duṣprajñasaṃvarttanīyena kusīdena hīnasatvena	aparipRcCaka-jAtIyena duzprajQa-saMvarttanIyena kusIdena hIna-satvena
   nādhimuktena kuśaleṣu dharmeṣu anabhiyuktena tasyaiva hi subhūte	na-aDimuktena kuSalezu Darmezu anaBiyuktena tasya-eva hi suBUte
   duradhimocāṃ prajñāpāramitāmucyate /	duraDimocAm prajQApAramitAm-ucyate /
   punaraparaṃ subhūte yaḥ kaścit kulaputro vā kuladuhitā vā imāṃ	punar-aparam suBUte yaH kaScid kula-putraH vA kula-duhitA vA imAm
   prajñāpāramitāṃ gambhīrāṃ bhāṣanti dhārayi vācayi deśayi paryavāpsyanti so	prajQApAramitAm gamBIrAm BAzanti DArayi vAcayi deSayi paryavApsyanti saH-
   'tītānāgatapratyutpannānāṃ bhagavatāṃ buddhabodhiṃ bodhisattvā	atIta-anAgata-pratyutpannAnAm BagavatAm budDa-boDim boDisattvA
   dhārayiṣyanti / tasmāttarhi subhūte adhyāśayena bhikṣavo 'nuttarāyāṃ	DArayizyanti / tasmAt-tarhi suBUte aDyASayena BikzavaH anuttarAyAm
   samyaksambodhikāmenābhijñyaprajñāpāramitā udgṛhītavyā /	samyaksamboDi-kAmena-aBijQya-prajQApAramitA udgRhItavyA /
   idamavocad bhagavānnāttamanā sā ca sarvāvatī parvadīyaṃ bhagavato	idam-avocat BagavAn-na-Atta-manA sA ca sarvAvatI parvadIyam BagavataH-
   bhāṣitamabhinandanniti //	BAzitam-aBinandan=-iti //
   advayaśatikā prajñāpāramitā dhāraṇī sūtra samāptā // 0 //	advaya-SatikA prajQApAramitA DAraNI sUtra samAptAH // 0 //
