   agnau vahnir ivārpitaḥ GorS(1)_100b	agnO vahniH iva-arpitaH GorS(1)_100b
   ākṣipto bhuja-daṇḍena GorS(2)_38 (=1|27)a	AkziptaH Buja--daNxena GorS(2)_38 (=1|27)a
   ākṣipto bhuvi daṇḍena GorS(1)_27a	AkziptaH Buvi daNxena GorS(1)_27a
   āgatā soma-maṇḍalāt GorS(1)_56b	AgatA soma--maNxalAt GorS(1)_56b
   ātma-bodha-karaṃ puṃsāṃ GorS(1)_1c	Atma-boDa--karam puMsAm GorS(1)_1c
   ātma-varṇena bhedena GorS(1)_91a	Atma---varNena Bedena GorS(1)_91a
   ātmānaṃ na paraṃ vetti GorS(1)_97c	AtmAnam na param vetti GorS(1)_97c
   ātmānaṃ sarvagaṃ dhyātvā GorS(1)_87c	AtmAnam sarvagam DyAtvA GorS(1)_87c
   ādhāraṃ prathamaṃ cakraṃ GorS(1)_78a	ADAram praTamam cakram GorS(1)_78a
   ādhāraḥ prathamaṃ cakraṃ GorS(1)_10a	ADAraH praTamam cakram GorS(1)_10a
   ādhāraḥ prathamaṃ cakraṃ GorS(2)_17 (=1|10)a	ADAraH praTamam cakram GorS(2)_17 (=1|10)a
   ādhārākhyaṃ guda-sthānaṃ GorS(2)_18 (=1|11)a	ADAra-AKyam guda--sTAnam GorS(2)_18 (=1|11)a
   ādhārākhye guda-sthāne GorS(1)_11a	ADAra-AKye guda--sTAne GorS(1)_11a
   āpāda-tala-mastakam GorS(2)_68d	ApAda-tala-mastakam GorS(2)_68d
   āpūrya śvasanena kukṣi-yugalaṃ baddhvā śanai recayed GorS(1)_33c	ApUrya Svasanena kukzi--yugalam badDvA SanEs recayet GorS(1)_33c
   āpūrya śvasanena kukṣi-yugalaṃ baddhvā śanai recayed GorS(2)_59 (=1|33)c	ApUrya Svasanena kukzi--yugalam badDvA SanEs recayet GorS(2)_59 (=1|33)c
   āyāmas tan-nibandhanam GorS(1)_42b	AyAmaH tan--nibanDanam GorS(1)_42b
   āsaktaṃ paramātmani GorS(1)_2d	Asaktam paramAtmani GorS(1)_2d
   āsaktaṃ paramātmani GorS(2)_5 (=1|2)d	Asaktam paramAtmani GorS(2)_5 (=1|2)d
   āsanaṃ prāṇa-saṃyāmaḥ GorS(1)_4a	Asanam prANa-saMyAmaH GorS(1)_4a
   āsanaṃ prāṇa-saṃyāmaḥ GorS(2)_7 (=1|4)a	Asanam prANa-saMyAmaH GorS(2)_7 (=1|4)a
   āsanāni tu tāvanti GorS(1)_5a	AsanAni tu tAvanti GorS(1)_5a
   āsanāni tu tāvanti GorS(2)_8 (=1|5)a	AsanAni tu tAvanti GorS(2)_8 (=1|5)a
   āsanena rujo hanti GorS(1)_54a	Asanena rujaH hanti GorS(1)_54a
   āsanena samāyuktaḥ GorS(1)_67a	Asanena samAyuktaH GorS(1)_67a
   āsanebhyaḥ samastebhyo GorS(1)_7a	AsaneByaH samasteByaH GorS(1)_7a
   āsanebhyaḥ samastebhyo GorS(2)_10 (=1|7)a	AsaneByaH samasteByaH GorS(2)_10 (=1|7)a
   iḍā ca piṅgalā caiva GorS(1)_18a	ixA ca piFgalA ca-eva GorS(1)_18a
   iḍā ca piṅgalā caiva GorS(2)_27 (=1|18)a	ixA ca piFgalA ca-eva GorS(2)_27 (=1|18)a
   iḍā-piṅgalā-suṣumṇā ca GorS(1)_23c	ixA-piFgalA-suzumNA ca GorS(1)_23c
   iḍā-piṅgalā-suṣumṇā ca GorS(2)_32 (=1|23)a	ixA-piFgalA-suzumNA ca GorS(2)_32 (=1|23)a
   iḍā vāme sthitā bhāge GorS(1)_20a	ixA vAme sTitAH BAge GorS(1)_20a
   iḍā vāme sthitā bhāge GorS(2)_29 (=1|20)a	ixA vAme sTitAH BAge GorS(2)_29 (=1|20)a
   indhanāni yathā vahnis GorS(1)_66a	inDanAni yaTA vahniH GorS(1)_66a
   uḍḍiyāna-jayo bandho GorS(1)_35c	uxxiyAna-jayaH banDaH GorS(1)_35c
   uḍḍiyānaṃ jalandharam GorS(1)_32b	uxxiyAnam jalanDaram GorS(1)_32b
   uḍḍiyānaṃ jalandharam GorS(2)_57 (=1|32)b	uxxiyAnam jalanDaram GorS(2)_57 (=1|32)b
   uḍḍiyānaṃ pracakṣate GorS(1)_35b	uxxiyAnam pracakzate GorS(1)_35b
   uḍḍīnaṃ kurute yasmād GorS(2)_77 (=HYP 3.56)a	uxxInam kurute yasmAt GorS(2)_77 (=HYc 3.56)a
   uḍḍīyanasya bandho'yaṃ GorS(2)_78c	uxxIyanasya banDaH-ayam GorS(2)_78c
   uḍḍīyānaṃ tad eva syāt GorS(2)_77 (=HYP 3.56)c	uxxIyAnam tat eva syAt GorS(2)_77 (=HYc 3.56)c
   uttame triguṇā mātrāḥ GorS(1)_48c	uttame triguNAH mAtrAH GorS(1)_48c
   uttiṣṭhaty uttame yogī GorS(1)_49c	uttizWati uttame yogI GorS(1)_49c
   udarāt paścime bhāge hy GorS(2)_78a	udarAt paScime BAge hi GorS(2)_78a
   udānaḥ kaṇṭha-madhyagaḥ GorS(2)_34d	udAnaH kaNWa--maDya-gaH GorS(2)_34d
   udāno vyāna eva ca GorS(1)_24b	udAnaH vyAnaH eva ca GorS(1)_24b
   udāno vyānau ca vāyavaḥ GorS(2)_33 (=1|24)b	udAnaH vyAnO ca vAyavaH GorS(2)_33 (=1|24)b
   udgāre nāgākhyātaḥ GorS(2)_35a	udgAre nAga-AKyAtaH GorS(2)_35a
   udghaṭayet kapātaṃ tu GorS(2)_51a	udGawayet kapAtam tu GorS(2)_51a
   upādhi-tattva-yuktāni GorS(1)_88c	upADi--tattva--yuktAni GorS(1)_88c
   upādhir anyathā-jñānaṃ GorS(1)_90a	upADiH anyaTA-jQAnam GorS(1)_90a
   upādhiś ca tathā tattvaṃ GorS(1)_89a	upADiH ca taTA tattvam GorS(1)_89a
   upādhiḥ procyate varṇas GorS(1)_89c	upADiH procyate varNaH GorS(1)_89c
   ubhayoḥ saṅgamād eva GorS(2)_74c	uBayoH saFgamAt eva GorS(2)_74c
   ūrdhva-nābhir adhas tālu GorS(1)_59a	UrDva-nABiH aDas tAlu GorS(1)_59a
   ūrdhva-bhānur adhaḥ śaśī GorS(1)_59b	UrDva-BAnuH aDas SaSI GorS(1)_59b
   ūrdhvam ākṛṣya cāpānaṃ GorS(1)_52a	UrDvam AkRzya ca-apAnam GorS(1)_52a
   ūrdhvaṃ pravartate reto'py GorS(1)_65c	UrDvam pravartate retaH-api GorS(1)_65c
   ūrdhvaṃ meḍhrād adho nābher GorS(1)_35a	UrDvam meXrAt aDas nABeH GorS(1)_35a
   ūrdhvaṃ meḍhrād adho nābheḥ GorS(1)_16a	UrDvam meXrAt aDas nABeH GorS(1)_16a
   ūrdhvaṃ meḍhrād adho nābheḥ GorS(2)_25 (=1|16)a	UrDvam meXrAt aDas nABeH GorS(2)_25 (=1|16)a
   ūrdhvādhaḥ saṃsthitāv etau GorS(1)_29c	UrDva-aDas saMsTitO etO GorS(1)_29c
   ūrdhvādhaḥ saṃsthitāv etau GorS(2)_41 (=1|29)c	UrDva-aDas saMsTitO etO GorS(2)_41 (=1|29)c
   ekam ekam udāhṛtam GorS(1)_6b	ekam ekam udAhRtam GorS(1)_6b
   ekam ekam udāhṛtam GorS(2)_9 (=1|6)b	ekam ekam udAhRtam GorS(2)_9 (=1|6)b
   eka-śvāsa-mayī mātrā GorS(1)_42c	eka-SvAsa--mayI mAtrAH GorS(1)_42c
   eka-stambhaṃ nava-dvāraṃ GorS(2)_14a	eka-stamBam nava-dvAram GorS(2)_14a
   ekaṃ siddhāsanaṃ proktaṃ GorS(1)_7c	ekam sidDAsanam proktam GorS(1)_7c
   ekaṃ siddhāsanaṃ proktaṃ GorS(2)_10 (=1|7)c	ekam sidDAsanam proktam GorS(2)_10 (=1|7)c
   ekā strī bhujyate dvābhyām GorS(1)_56a	ekA strI Bujyate dvAByAm GorS(1)_56a
   etat kālasya vañcanam GorS(1)_2b	etat kAlasya vaQcanam GorS(1)_2b
   etat kālasya vañcanam GorS(2)_5 (=1|2)b	etat kAlasya vaQcanam GorS(2)_5 (=1|2)b
   etat saṅkhyānvitaṃ mantra GorS(2)_43c	etat saFKyA-anvitam mantra GorS(2)_43c
   etad vimukti-sopānam GorS(1)_2a	etat vimukti--sopAnam GorS(1)_2a
   etad vimukti-sopānam GorS(2)_5 (=1|2)a	etat vimukti--sopAnam GorS(2)_5 (=1|2)a
   etad-vyādhi-vikāra-hāri yamināṃ padmāsanaṃ procyate GorS(1)_9d	etat--vyADi--vikAra--hAri yaminAm padmAsanam procyate GorS(1)_9d
   etad-vyādhi-vikāra-hāri yamināṃ padmāsanaṃ procyate GorS(2)_12 (=1|9)d	etat--vyADi--vikAra--hAri yaminAm padmAsanam procyate GorS(2)_12 (=1|9)d
   etan nāḍi-mayaṃ cakraṃ GorS(1)_19c	etat nAxi-mayam cakram GorS(1)_19c
   etan nāḍi-mayaṃ cakraṃ GorS(2)_28 (=1|19)c	etat nAxi-mayam cakram GorS(2)_28 (=1|19)c
   etan mokṣa-kavāṭa-bheda-janakaṃ siddhāsanaṃ procyate GorS(1)_8d	etat mokza-kavAwa-Beda--janakam sidDAsanam procyate GorS(1)_8d
   etan mokṣa-kavāṭa-bheda-janakaṃ siddhāsanaṃ procyate GorS(2)_11 (=1|8)d	etat mokza-kavAwa-Beda--janakam sidDAsanam procyate GorS(2)_11 (=1|8)d
   ete nāḍi-sahasreṣu GorS(1)_25c	ete nAxi--sahasrezu GorS(1)_25c
   eteṣām akhilān bhedān GorS(1)_5c	etezAm aKilAn BedAn GorS(1)_5c
   eteṣām akhilān bhedān GorS(2)_8 (=1|5)c	etezAm aKilAn BedAn GorS(2)_8 (=1|5)c
   ete sarvāsu nāḍīṣu GorS(2)_36 (=1|25)c	ete sarvAsu nAxIzu GorS(2)_36 (=1|25)c
   enombudhi-mahā-setuḥ GorS(1)_53c	enombuDi--mahA--setuH GorS(1)_53c
   evaṃ dvāram upāśritya GorS(1)_22c	evam dvAram upASritya GorS(1)_22c
   evaṃ dvāram upāśritya GorS(2)_31 (=1|22)c	evam dvAram upASritya GorS(2)_31 (=1|22)c
   eṣā khe gamanaṃ karoti yamināṃ syād vāyavī dhāraṇā GorS(1)_72d	ezA Ke gamanam karoti yaminAm syAt vAyavI DAraNA GorS(1)_72d
   eṣā durvaha-kāla-kūṭa-jaraṇā syād vāriṇī dhāraṇā GorS(1)_70d	ezA durvaha--kAla--kUwa--jaraNA syAt vAriNI DAraNA GorS(1)_70d
   eṣā pātaka-nāśinī sumahatī mudrā nṝṇāṃ procyate GorS(1)_33d	ezA pAtaka-nASinI su-mahatI mudrA nLNAm procyate GorS(1)_33d
   eṣā pātaka-nāśinī sumahatī mudrā nṝṇāṃ procyate GorS(2)_59 (=1|33)d	ezA pAtaka-nASinI su-mahatI mudrA nLNAm procyate GorS(2)_59 (=1|33)d
   eṣā mokṣa-kavāṭa-pāṭana-paṭuḥ proktā nabho-dhāraṇā GorS(1)_73d	ezA mokza--kavAwa--pAwana--pawuH proktAH naBo-DAraNAH GorS(1)_73d
   eṣā vahni-jayaṃ sadā vidadhate vaiśvānarī dhāraṇā GorS(1)_71d	ezA vahni-jayam sadA vidaDate vESvAnarI DAraNA GorS(1)_71d
   eṣā stambhakarī sadā kṣitijayaṃ kuryād bhuvo dhāraṇā GorS(1)_69d	ezA stamBa-karI sadA kziti-jayam kuryAt BuvaH DAraNA GorS(1)_69d
   kaṭv-amla-lavaṇa-tyāgī GorS(1)_50c	kawu--amla--lavaNa-tyAgI GorS(1)_50c
   kaṭv-amla-lavaṇa-tyāgī GorS(2)_53 (=1|50)c	kawu--amla--lavaNa-tyAgI GorS(2)_53 (=1|50)c
   kaṇṭha-duḥkhaugha-nāśanaḥ GorS(2)_79 (=HYP 3.71)d	kaNWa--duHKa-oGa--nASanaH GorS(2)_79 (=HYc 3.71)d
   kaṇṭha-saṅkoca-lakṣaṇe GorS(1)_36b	kaNWa--saFkoca--lakzaNe GorS(1)_36b
   kaṇṭha-saṃkoca-lakṣaṇe GorS(2)_80 (=1|36, HYP 3.72)b	kaNWa--saMkoca--lakzaNe GorS(2)_80 (=1|36, HYc 3.72)b
   kaṇṭhe syāt ṣoḍaśa-dalaṃ GorS(2)_16a	kaNWe syAt zoxaSa--dalam GorS(2)_16a
   kathaṃ sidhyanti yoginaḥ GorS(2)_13d	kaTam siDyanti yoginaH GorS(2)_13d
   kathaṃ sidhyanti yoginaḥ GorS(2)_14d	kaTam siDyanti yoginaH GorS(2)_14d
   kathitāni yathaitāni GorS(1)_88a	kaTitAni yaTA-etAni GorS(1)_88a
   kathiteyaṃ mahāmudrā GorS(2)_63 (=HYP 3.18)a	kaTitA-iyam mahAmudrA GorS(2)_63 (=HYc 3.18)a
   kanda-yoniḥ khagāṇḍavat GorS(2)_25 (=1|16)b	kanda-yoniH Kaga-aNxa-vat GorS(2)_25 (=1|16)b
   kanda-yoniḥ sva-gāṇḍavat GorS(1)_16b	kanda-yoniH sva-gANxa-vat GorS(1)_16b
   kandordhvaṃ kuṇḍalī śaktir GorS(2)_47 (=1|30)a	kanda-UrDvam kuNxalI SaktiH GorS(2)_47 (=1|30)a
   kandordhvaṃ kuṇḍalī śaktir GorS(2)_56 (=HYP 3.107)a	kanda-UrDvam kuNxalI SaktiH GorS(2)_56 (=HYc 3.107)a
   kandordhve kuṇḍalī-śaktir GorS(1)_30a	kanda-UrDve kuNxalI--SaktiH GorS(1)_30a
   kapāla-kuhare jihvā GorS(1)_34a	kapAla--kuhare jihvA GorS(1)_34a
   kapāla-kuhare jihvā GorS(2)_64 (=1|34)a	kapAla--kuhare jihvA GorS(2)_64 (=1|34)a
   kampo bhavati madhyame GorS(1)_49b	kampaH Bavati maDyame GorS(1)_49b
   karaṇaṃ viparītākhyaṃ GorS(1)_59c	karaNam viparIta-AKyam GorS(1)_59c
   karmaṇā manasā vācā GorS(1)_75a	karmaNA manasA vAcA GorS(1)_75a
   kāma-rūpaṃ nigadyate GorS(1)_10d	kAma-rUpam nigadyate GorS(1)_10d
   kāma-rūpaṃ nigadyate GorS(2)_17 (=1|10)d	kAma-rUpam nigadyate GorS(2)_17 (=1|10)d
   kāmākṣā siddha-vanditā GorS(2)_18 (=1|11)d	kAma-akzA sidDa-vanditAH GorS(2)_18 (=1|11)d
   kāmākhyā siddha-vanditā GorS(1)_11d	kAma-AKyA sidDa-vanditAH GorS(1)_11d
   kāminyāliṅgitasya ca GorS(2)_69d	kAminI-AliFgitasya ca GorS(2)_69d
   kuṇḍalinyā tathā yogī GorS(2)_51c	kuNxalinyA taTA yogI GorS(2)_51c
   kundalinyāḥ samudbhūtā GorS(2)_46a	kundalinyAH samudBUtAH GorS(2)_46a
   kumbhakaḥ praṇavātmakaḥ GorS(1)_47b	kumBakaH praNava-AtmakaH GorS(1)_47b
   kumbhayitvā vidhānena GorS(1)_45c	kumBayitvA viDAnena GorS(1)_45c
   kumbhayitvā vidhānena GorS(2)_98 (=1|45)c	kumBayitvA viDAnena GorS(2)_98 (=1|45)c
   kurvanty aṣṭa-guṇodayam GorS(1)_88d	kurvanti azwa--guNa-udayam GorS(1)_88d
   kuhūś ca liṅga-deśe tu GorS(2)_31 (=1|22)a	kuhUH ca liFga-deSe tu GorS(2)_31 (=1|22)a
   kūrma unmīlane smṛtaḥ GorS(2)_35b	kUrmaH unmIlane smRtaH GorS(2)_35b
   kūhuś ca liṅga-deśe tu GorS(1)_22a	kUhuH ca liFga-deSe tu GorS(1)_22a
   kṛkaraḥ kṣuta-kṛj jñeyo GorS(2)_35c	kRkaraH kzuta-kRt jQeyaH GorS(2)_35c
   kṛtvā sampuṭitau karau dṛḍhataraṃ baddhvā tu padmāsanaṃ GorS(2)_52 (=HYP	kRtvA sampuwitO karO dRXataram badDvA tu padmAsanam GorS(2)_52 (=HYP
   1.50)a	1.50)a
   kriyā cecchā tathā jñānā GorS(2)_86a	kriyA ca-icCA taTA jQAnAH GorS(2)_86a
   kṣaya-kuṣṭha-gudāvarta- GorS(2)_62 (=HYP 3.17)a	kzaya--kuzWa--gudAvarta GorS(2)_62 (=HYc 3.17)a
   kṣayān mūtra-purīṣayoḥ GorS(2)_82 (=1|38, HYP 3.65)b	kzayAt mUtra--purIzayoH GorS(2)_82 (=1|38, HYc 3.65)b
   kṣīra-bhojanam ācaret GorS(1)_50d	kzIra--Bojanam Acaret GorS(1)_50d
   kṣīra-bhojanam ācaret GorS(2)_53 (=1|50)d	kzIra--Bojanam Acaret GorS(2)_53 (=1|50)d
   kṣīroda-dhavala-prabham GorS(1)_44b	kzIroda--Davala--praBam GorS(1)_44b
   khādyate na ca kālena GorS(1)_98a	KAdyate na ca kAlena GorS(1)_98a
   khecaryā mudritaṃ yena GorS(2)_69a	KecaryA mudritam yena GorS(2)_69a
   gagane viśvatomukham GorS(1)_85b	gagane viSvatomuKam GorS(1)_85b
   gato'py ākṛṣyate(?) GorS(1)_28b	gataH-api AkRzyate(?) GorS(1)_28b
   gāḍhaṃ vakṣasi sannidhāya cibukaṃ dhyātvā ca tat prekṣitam GorS(2)_52	gAXam vakzasi sanniDAya cibukam DyAtvA ca tat prekzitam GorS(2)_52
   (=HYP 1.50)b	(=HYc 1.50)b
   gāndhārī vāma-cakṣuṣi GorS(1)_20d	gAnDArI vAma-cakzuzi GorS(1)_20d
   gāndhārī vāma-cakṣuṣi GorS(2)_29 (=1|20)d	gAnDArI vAma-cakzuzi GorS(2)_29 (=1|20)d
   gāndhārī hasti-jihvā ca GorS(1)_18c	gAnDArI hasti-jihvA ca GorS(1)_18c
   gāndhārī hasti-jihvā ca GorS(2)_27 (=1|18)c	gAnDArI hasti-jihvA ca GorS(2)_27 (=1|18)c
   gāyatrī prāṇa-dhāriṇī GorS(2)_46b	gAyatrI prANa--DAriNI GorS(2)_46b
   guṇa-baddhas tathā jīvaḥ GorS(1)_28c	guNa--badDaH taTA jIvaH GorS(1)_28c
   guṇa-baddhas tathā jīvaḥ GorS(2)_40 (=1|28)c	guNa--badDaH taTA jIvaH GorS(2)_40 (=1|28)c
   gudaṃ meḍhraṃ ca nābhiṃ ca GorS(1)_86a	gudam meXram ca nABim ca GorS(1)_86a
   guru-vaktreṇa labhyate GorS(1)_59d	guru-vaktreNa laByate GorS(1)_59d
   gulmājīrṇa-purogamāḥ GorS(2)_62 (=HYP 3.17)b	gulma-ajIrNa--purogamAH GorS(2)_62 (=HYc 3.17)b
   gṛhaṃ pañcādhidaivatam GorS(2)_14b	gRham paQca-aDidEvatam GorS(2)_14b
   go-kṣīra-rajatopamam GorS(2)_97 (=1|44)b	go-kzIra--rajata-upamam GorS(2)_97 (=1|44)b
   gopanīyā prayatnena GorS(2)_63 (=HYP 3.18)c	gopanIyA prayatnena GorS(2)_63 (=HYc 3.18)c
   gorakṣa-śatakaṃ vakṣye GorS(1)_1a	gorakza-Satakam vakzye GorS(1)_1a
   gorakṣaḥ śatakaṃ vakti GorS(2)_4a	gorakzaH Satakam vakti GorS(2)_4a
   gorakṣo jñānam uttamam GorS(2)_3b	gorakzaH jQAnam uttamam GorS(2)_3b
   grasaty ūrdhva-mukho raviḥ GorS(1)_58b	grasati UrDva-muKaH raviH GorS(1)_58b
   ghaṇṭikāṃ lampikā-sthānaṃ GorS(1)_86c	GaNwikAm lampikA--sTAnam GorS(1)_86c
   cakraṃ cakra-vido viduḥ GorS(1)_62d	cakram cakra-vidaH viduH GorS(1)_62d
   cakraṃ ca maṇipūrakam GorS(1)_80b	cakram ca maNipUrakam GorS(1)_80b
   cañcalatvān na dṛśyate GorS(1)_26d	caQcala-tvAt na dRSyate GorS(1)_26d
   cañcalatvān na dṛśyate GorS(2)_39 (=1|26)d	caQcala-tvAt na dRSyate GorS(2)_39 (=1|26)d
   caturasraṃ puraṃ vahner GorS(1)_13c	catur-asram puram vahneH GorS(1)_13c
   caturāśīti-lakṣāṇāṃ GorS(1)_6a	catura-aSIti-lakzANAm GorS(1)_6a
   caturāśīti-lakṣāṇāṃ GorS(2)_9 (=1|6)a	catura-aSIti-lakzANAm GorS(2)_9 (=1|6)a
   caturthāṃśa-vivarjitam GorS(2)_55 (=HYP 1.60)b	caturTa-aMSa--vivarjitam GorS(2)_55 (=HYc 1.60)b
   caturdalaṃ syād ādhāraḥ GorS(2)_15a	catur-dalam syAt ADAraH GorS(2)_15a
   candrāṅgena samabhyasya GorS(2)_60 (=HYP 3.15)a	candra-aFgena samaByasya GorS(2)_60 (=HYc 3.15)a
   candrāmṛta-mayīṃ dhārāṃ GorS(1)_55a	candra-amRta--mayIm DArAm GorS(1)_55a
   calito'pi yadā binduḥ GorS(2)_71 (=HYP 3.43)a	calitaH-api yadA binduH GorS(2)_71 (=HYc 3.43)a
   cale vāte calaṃ sarvaṃ GorS(1)_39a	cale vAte calam sarvam GorS(1)_39a
   cale vāte calo bindur GorS(2)_90 (=1|39, HYP 2.2)a	cale vAte calaH binduH GorS(2)_90 (=1|39, HYc 2.2)a
   cākramya maṇipūrakam GorS(1)_61b	ca-Akramya maNipUrakam GorS(1)_61b
   cālanaṃ candra-sūryayoḥ GorS(2)_58b	cAlanam candra--sUryayoH GorS(2)_58b
   cāsane vāpy alambuṣā GorS(1)_21d	ca-Asane vA-api alambuzA GorS(1)_21d
   cāsane vāpy alambuṣā GorS(2)_30 (=1|21)d	ca-Asane vA-api alambuzA GorS(2)_30 (=1|21)d
   cittaṃ carati khe yasmāj GorS(2)_67 (=HYP 3.41)a	cittam carati Ke yasmAt GorS(2)_67 (=HYc 3.41)a
   cidānandāyate tanuḥ GorS(2)_1d	cidAnandAyate tanuH GorS(2)_1d
