   namo buddhāya	namaH budDAya
   kandarpād api sundarākṛtir iti prauḍhotsaladrāgayā vṛddhatvaṃ varayoṣito	kandarpAt api sundara AkRtiH iti prOXa utsalat rAgayA vRdDa tvam vara yozitaH 
   'nayad iti trāsākulasvāntayā /	anayat iti trAsa Akula svAntayA /
   mārasyāpi śarair abhedyahṛd iti śraddhābharaprahvayā pāyād vaḥ	mArasya api SarEH aBedya hRt iti SradDA Bara prahvayA pAyAt vaH
   sphuṭabāṣpakampapulakaṃ ratyā jino vanditaḥ // VidSrk_1.13 *(14) //.	sPuwa bAzpa kampa pulakam ratyA jinaH vanditaH // Vit Srj _1.13 *(14) //.
   tasyaiveti śrutiḥ	tasya eva iti SrutiH
   pādāmbhojasamīpasaṃnipatitasvarṇāthadehasphuran  netrastomatayā	pAda amBoja samIpa saMnipatita svarNATa deha sPuran netra stomatayA
   parisphuṭamilannīlābjapūjāvidhiḥ /	parisPuwa milat nIlA abja pUjA viDiH /
   vandārutridaśaugharatnamukuṭodbhūtaprabhāpallava 	vandAru tridaSa oGa ratna mukuwa udBUta praBA pallava 
   pratyunmīladapūrvacīvarapaṭaḥ śākyo muniḥ pātu vaḥ // VidSrk_1.14 *(15) //	pratyunmIlada pUrva cIvara pawaH SAkyaH muniH pAtu vaH // Vit Srj _1.14 *(15) //
   vasukalpasya	vasu kalpasya
   ka ekas tvaṃ puṣpāyudha mama samādhivyayavidhau suparvāṇaḥ sarve yadi	kaH ekaH tvam puzpa AyuDa mama samADi vyaya viDO suparvANaH sarve yadi
   kusumaśastrās tad api kim /	kusuma SastrAH tat api kim /
   itīvainān nūnaṃ ya iha sumanostratvam anayat sa vaḥ śāstā śastraṃ diśatu	iti iva enAt nUnam yaH iha sumanostra tvam anayat sa vaH SAstA Sastram diSatu
   daśadiṅmāravijayī // VidSrk_1.15 *(16) //.	daSa diS mAra vijayI // Vit Srj _1.15 *(16) //.
   /Colo iti sugatavrajyā	/ColaH iti sugata vrajyA
   tato lokeśvaravrajyā|| 2	tatas loka ISvara vrajyA|| 2
   dyutisvacchajyotsnāpaṭapaṭalavṛṣṭyā na kamalaṃ na candraḥ	dyuti svacCa jyotsnA pawa pawala vRzwyA na kamalam na candraH
   sāndraśrīparimalagarimṇāsyam amalam /	sAndra SrI parimala garimNA Asyam amalam /
   madhūdrāṇāṃ nidrābhiduram apamudrādbhutamudaś cakorān bibhrāṇaṃ	maDUdrANAm nidrA aBiduram apamudrA adButa mudaH cakorAn biBrANam
   sarasiruhapāṇer avatu vaḥ // VidSrk_2.1 *(17) //.	sarasiruha pANeH avatu vaH // Vit Srj _2.1 *(17) //.
   buddhākaraguptasya	budDa Akara guptasya
   varadakarasarojasyandamānāmṛtaugha  vyupaśamitasamastapretasaṃghātatarṣaḥ	vara da kara saroja syandamAna amRta oGa vyupaSamita samasta preta saMGAta tarzaH
   jayati sitagabhastistomaśubhrānanaśrīḥ sahajagurudayārdrālokano lokanāthaḥ	jayati sita gaBastiH toma SuBra Anana SrIH sahaja guru daya Ardra AlokanaH lokanATaH
   // VidSrk_2.2 *(18) //	// Vit Srj _2.2 *(18) //
   ratnakīrteḥ	ratna kIrteH
   atyudgāḍharayasthirākṛtighanadhvānabhramanmandara 	ati udgAXa raya sTira AkRti Gana DvAna Braman mandara 
   kṣubdhakṣīradhivīcisaṃcayagataprāleyapādopamaḥ /	kzubDa kzIra Di vIci saMcaya gata prAleya pAda upamaH /
   śrīmatpotalake gabhīravivṛtidhvānapratidhvānite sāndrasvāṃśucayaśriyā	SrImat potalake gaBIra vivRti DvAna pratiDvAnite sAndra sva aMSu caya SriyA
   valayito lokeśvaraḥ pātu vaḥ // VidSrk_2.3 *(19) //	valayitaH loka ISvaraH pAtu vaH // Vit Srj _2.3 *(19) //
   jñānaśrīmitrasya	jQAna SrI mitrasya
   kṛpāvṛṣṭisphūtāt tava hṛdayapīyūṣasarasaḥ pravāho nirgatya	kRpA vRzwi sPUtAt tava hRdaya pIyUza sarasaH pravAhaH nirgatya
   kramatanimaramyaḥ karuṇayā /	kramata nima ramyaH karuNayA /
   tṛṣārtānām īṣadvitatam adharāntaḥ prati gati  praṇālībhiḥ pañcābhavad iti	tRzA ArtAnAm Izat vitatam aDara antar prati gati praNAlIBiH paQca aBavat iti
   kim anyad bhujakarāt // VidSrk_2.4 *(20) //	kim anyat Buja karAt // Vit Srj _2.4 *(20) //
   /var{@dvitatamadharāntaḥ prati gati@/lem	/var{@ dvitatam aDara antar prati gati @/lem
   /conj/ /Ingalls, @dvitatimadhurāntaḥpratigati@ /edKG}	/ca unj/ /Ingalls, @dvitati maDura antar pratigati@ /edKG}
   trilocanasya	trilocanasya
   ravim iva dhṛtāmitābhaṃ kavim iva surasārthaviracitastotram /*	ravim iva DRta amita ABam kavim iva surasArTa viracita stotram /*
   madhum iva sambhṛtakaruṇaṃ vidhum iva nāthaṃ khasarpaṇaṃ vande //	maDum iva samBRta karuNam viDum iva nATam Ka sarpaNam vande //
   VidSrk_2.5 *(21) //*	Vit Srj _2.5 *(21) //*
   puruṣottamasya	puruzottamasya
   udarasyedam aṇutvaṃ sahajagurutvaṃ yadi nedaṃ hṛdayasya /*	udarasya idam aNu tvam sahaja guru tvam yadi na idam hRdayasya /*
   svārthe katham alasatvaṃ katham anusatvaṃ hitakaraṇe matir asya //	sva arTe kaTam alasa tvam kaTam anusatvam hita karaNe matiH asya //
   VidSrk_2.6 *(22) //*	Vit Srj _2.6 *(22) //*
   jñānaśrīmitrasya	jQAna SrI mitrasya
   vaktraṃ naiṣa kalānidhir dhavalimā naiṣojjvalā kaumudī netre nīrarucī na	vaktram na eza kalAniDiH DavalimA na ezA ujjvalA kOmudI netre nIra rucI na
   lāñchanayugaṃ candre 'sty amandacchavi /	lAQCana yugam candre asti amanda= Cavi /
   ity unnīya vidhor abhītivihasad yat saṃnidhiṃ sādhvagān nūnaṃ nīrajam astu	iti unnIya viDoH aBIti vihasat yat saMniDim sADvagAt nUnam nIrajam astu
   vaḥ śivadive tal lokanāthānanam // VidSrk_2.7 *(23) //.	vaH Siva dive tat lokanATa Ananam // Vit Srj _2.7 *(23) //.
   jaṭājūṭābhyantarnavaravir iva śyāmajalabhṛd  vṛtaḥ śoṇāśokastabakam	jawA jUwa aByantar nava raviH iva SyAma jalaBRd vRtaH SoNa aSoka stabakam
   amitābhaḥ praminute /	amita ABaH praminute /
   maharṣer yasyendudyutighaṭitamūrter iva sa vaḥ klamaṃ bhindyād dadyāt	mahA RzeH yasya indu dyuti Gawita mUrteH iva sa vaH klamam BindyAt dadyAt 
   praśamasukhapīyūṣalaharīm // VidSrk_2.8 *(24) //.	praSama suKa pIyUza laharIm // Vit Srj _2.8 *(24) //.
   buddhākarasyaitai	budDa Akarasya etE
   /Colo iti lokeśvaravrajyā|| 2	/ColaH iti lokeSvara vrajyA|| 2
   tato mañjughoṣavrajyā|| 3	tatas maQjuGoza vrajyA|| 3
   aṅgāmodasamocchvaladghṛṇipatadbhṛṅgāvalīmālitaḥ	aFga Amoda sama ucCvalat GRNi patat BRFga AvalI mAlitaH
   sphūrjatkāñchanasūtragumphitamilannīlotpalaśrīr iva /	sPUrjat kAQCana sUtra gumPita milat nIlotpala SrIH iva /
   niryatpādanakhonmukhāṃśuvisarasragdanturaḥ smaryatāṃ mañjuśrīḥ	niryad pAda naKa unmuKa aMSu visara sraj danturaH smaryatAm maQjuSrIH
   suramuktamañjariśikhāvarṣair ivābhyarcitaḥ // VidSrk_3.1 *(25) //.	sura mukta maQjari SiKA varzEH iva aByarcitaH // Vit Srj _3.1 *(25) //.
   /var{@mālitaḥ sphūrjatkāñchana@/lem	/var{@mAlitaH sPUrjat kAQSana @/lem
   /emend/ /Ingalls, @mālitasphūrjallāñchana@ /edKG}	/ema ind/ /Ingalls, @mAlita sPUrjat lAQCana@ /edKG}
   śastrodyadbāhudehasphuradanalamiladdhūmakalpāntapuñjaḥ	Sastra udyat bAhu deha sPurat anala m ilat DUma kalpa anta puQjaH
   śṛṅgāntānantaviśvārpitamahiṣamahiṣaśiromakṣikālīvikalpaḥ /	SRFga anta ananta viSva arpita mahiza mahiza SiraH makzi kAlI vikalpaH /
   trāsatyaktasvaparṇāstṛtasuraghṛṇayevālasatpādavṛndas tāraughapluṣṭabhānur	trAsa tyakta svaparNAH tRta sura GRNayA ivAla sat pAda vRndaH tAra oGa pluzwa BAnuH 
   jagad avatu naṭan bhairavātmā kumāraḥ // VidSrk_3.2 *(26) //.	jagat avatu nawan BErava AtmA kumAraH // Vit Srj _3.2 *(26) //.
   vallaṇasyaitau	vallaNasya etO
   khaḍgī saśabdam atha pustakavān sacintaṃ bālaḥ sakhelam abhirāmatamaḥ	KaxgI sa Sabdam aTa pustakavAn sa cintam bAlaH sa Kelam aBirAmatamaH
   sakāmam /	sa kAmam /
   nānāvidhaṃ suravadhūbhir itīkṣito vaḥ pāyāc ciraṃ sugatavaṃśadharaḥ	nAnAviDam sura vaDUBiH iti IkzitaH vaH pAyAt ciram sugata vaMSa DaraH
   kumāraḥ // VidSrk_3.3 *(27) //	kumAraH // Vit Srj _3.3 *(27) //
   puruṣottamasya	puruzottamasya
   mugdhāṅgulīkiśalayāṅghrisuvarṇakumbha  vāntena kāntipayasā dhusṛṇāruṇena /	mugDa aFgulI ki Salaya aFGri suvarNa kumBa vAntena kAnti payasA DusRNa aruNena /
   yo vandamānam abhiṣiñcati dharmarājye jāgartu vo hitasukhāya sa	yaH vandamAnam aBiziQcati Darma rAjye jAgartu vaH hita suKAya sa
   mañjuvajraḥ // VidSrk_3.4 *(28) //	maQjuvajraH // Vit Srj _3.4 *(28) //
   jitāripādānām	jita ari pAdAnAm
   amīṣāṃ mañjuśrīruciravadanaśrīkṛtarucāṃ śrutaṃ no nāmāpi kva nu khalu	amIzAm maQju SrI rucira vadana SrIkRta rucAm Srutam naH nAma api kva nu Kalu
   hiṃāśuprabhṛtayaḥ /	hiMASu praBRtayaH /
   mamābhyarṇe dhārṣṭyāc carati punar indīvaram iti krudhevedaṃ prāntāruṇam	mama aByarNe DArzwyAt carati punar indIvaram iti kruDA iva idam prAnta aruNam
   avatu vo locanayugmam // VidSrk_3.5 *(29) //.	avatu vaH locana yugmam // Vit Srj _3.5 *(29) //.
   % NB Ingalls conjectures himāṃśuprakṛtayaḥ in b	% NB Ingalls ca unjet tureH himAMSu prakRtayaH id b
   śāntākaraguptasya	SAnta Akara guptasya
   /Colo iti mañjughoṣavrajyā	/ColaH iti maQjuGoza vrajyA
   tato maheśvaravrajyā|| 4	tatas maheSvara vrajyA|| 4
   śilpaṃ trīṇi jaganti yasya kavinā yasya trivedī guror yaś cakre	Silpam trINi jaganti yasya kavinA yasya tri vedI guroH yaH cakre
   tripuravyayaṃ tripathagā yanmūrdhni mālyāyate /	tripura vyayam tripaTagA yat mUrDni mAlyAyate /
   trīṃl lokān iva vīkṣituṃ vahati yo visphūrjadakṣṇāṃ trayaṃ sa	trIn lokAn iva vIkzitum vahati yaH visPUrja dakzNAm trayam sa
   traiguṇyaparicchado vijayate devas triśūlāyudhaḥ // VidSrk_4.1 *(30) //.	trEguNya paricCadaH vijayate devaH triSUla AyuDaH // Vit Srj _4.1 *(30) //.
   vasukalpasya	vasu kalpasya
   /var{guror/lem	/var{ guroH /lem
   /conj/ /Ingalls, giro /edKG}	/ca unj/ /Ingalls, giraH /edKG}
   bāṇībhūtapurāṇapūruṣadhṛtipratyāśayā dhāvite vidrāti	bANIBUta purANa pUruza DRti pratyASayA DAvite vidrAti
   sphuradāśuśukṣaṇikaṇaklānte śakunteśvare /	sPurat ASu SukzaNi kaNa klAnte SakunteSvare /
   namronnamrabhujaṃgapuṅgavaguṇavyākṛṣṭabāṇāsana  kṣiptāstrasya puradruho	namra unnamra BujaMga puFgava guNa vyAkRzwa bANAsana kzipta astrasya pura druhaH 
   vijayate sandhānasīmāśramaḥ // VidSrk_4.2 *(31) //	vijayate sanDAna sIm ASramaH // Vit Srj _4.2 *(31) //
   /var{vidrāti/lem	/var{ vidrAti/lem
   /conj/ /Ingalls, nidrāti@ /edKG}	/ca unj/ /Ingalls, nidrAti@ /edKG}
   pīyūṣadravapānadohadarasavyagroragagrāmaṇī  daṣṭaḥ pātu śaśī	pIyUza drava pAna dohada rasa vyagra uraga grAmaNI dazwaH pAtu SaSI
   maheśvaraśironepathyaratnāṅkuraḥ /	maheSvara SiraH nepaTya ratna aFkuraH /
   yo bimbapratipūraṇāya vidhṛto niṣpīḍya saṃdaṃśikā  yantre	yaH bimba pratipUraNAya viDRtaH nizpIxya saMdaMSikA yantre
   śaivalalāṭalocanaśikhājvālābhir ābarhyate // VidSrk_4.3 *(32) //	SEva lalAwa locana SiKA jvAlABiH Abarhyate // Vit Srj _4.3 *(32) //
   murārer etau	murAreH etO
   bhadraṃ candrakale śivaṃ suranadi śreyaḥ kapālāvale kalyāṇaṃ	Badram candra kale Sivam sura nadi SreyaH kapAla Avale kalyANam
   bhujagendravalli kuśalaṃ viśve śaṭāsantate /	Bujaga indra valli kuSalam viSve SawAsantate /
   ity āhur militāḥ parasparam amūr yasmin praśāntiṃ gate	iti AhuH militAH parasparam amUH yasmin praSAntim gate
   kalpāntārabhaṭīnaṭasya bhavatāt tad vaḥ śriye tāṇḍavam // VidSrk_4.4 *(33)	kalpAntAra BawI nawasya BavatAt tat vaH Sriye tANxavam // Vit Srj _4.4 *(33)
   devi tvadvadanopamānasuhṛdām eṣāṃ sarojanmanāṃ paśya vyomani lohitāyati	devi tvad vadana upamAna suhRdAm ezAm sarojanmanAm paSya vyomani lohitAyati
   śanair eṣā daśā vartate /	SanEs ezA daSA vartate /
   itthaṃ saṃkucadambujānukaraṇavyājopanītāñjaleḥ śambho vañcitapārvatīkam	itTam saMkucat ambuja anukaraNa vyAja upanIta aQjaleH SamBo vaQcita pArvatIkam
   ucitaṃ saṃdhyārcanaṃ pātu vaḥ // VidSrk_4.5 *(34) //.	ucitam saMDyA arcanam pAtu vaH // Vit Srj _4.5 *(34) //.
   rājaśekharasya	rAjaSeKarasya
   kasmāt pārvati niṣṭhurāsi sahajaḥ śailodbhavānām ayaṃ niḥsnehāsi kathaṃ na	kasmAt pArvati nizWurA asi sahajaH SEla udBavAnAm ayam niHsneha asi kaTam na
   bhasmapuruṣaḥ snehaṃ bibharti kvacit /	Basma puruzaH sneham biBarti kvacid /
   kopas te mayi niṣphalaḥ priyatame sthāṇau phalaṃ kiṃ bhaved itthaṃ	kopaH te mayi nizPalaH priyatame sTANO Palam kim Bavet itTam
   nirvacanīkṛto girijayā śambhuś ciraṃ pātu vaḥ // VidSrk_4.6 *(35) //.	nirvacanIkRtaH girijayA SamBuH ciram pAtu vaH // Vit Srj _4.6 *(35) //.
   vapuḥprādurbhāvād anumitam idaṃ janmani purā purāre na prāyaḥ kvacid api	vapuH prAdurBAvAt anumitam idam janmani purA purAre na prAyas kvacid api
   bhavantaṃ praṇatavān /	Bavantam praNatavAn /
   namañ janmany asminn aham atanur agre 'py anatibhāṅ maheśa kṣantavyaṃ tad	naman janmani asmin aham atanuH agre api anatiBAj maheSa kzantavyam tat 
   idam aparādhadvayam api // VidSrk_4.7 *(36) //.	idam aparADa dvayam api // Vit Srj _4.7 *(36) //.
   kiṃ vācyo mahimā mahājalanidher yasyendravajrāhatas trasto bhūbhṛd amajjad	kim vAcyaH mahimA mahA jala niDeH yasya indra vajra AhataH trastaH BUBRt amajjad
   ambunicaye kaulīlapotākṛtiḥ /	ambu nicaye kOlIlapota AkRtiH /
   maināko 'pi gabhīranīraviluṭhatpāṭhīnapṛṣṭhoccalac	mEnAkaH api gaBIra nIra viluWat pAWIna pRzWa uccala c
   chaivālāṅkurakoṭikoṭarakuṭīkuḍyāntare nirvṛtaḥ // VidSrk_4.8 *(37) //.	SEva ala aFkura kowi kowara kuwI kuxya antare nirvRtaH // Vit Srj _4.8 *(37) //.
   % NB = 1208 below!	% NB  1208 below!
   /var{@viluṭhatpāṭhīna@/lem	/var{@ viluWat pAWIna @/lem
   /emend, @viluṭhan pāṭhīna@ /edKG}	/ema ind, @viluWan pAWIna@ /edKG}
   tādṛksaptasamudramudritamahī bhūbhṛdbhir abhraṃkaṣais tāvadbhiḥ parivāritā	tAdRS sapta samudra mudrita mahI BUBRdBiH aBraMkazEH tAvadBiH parivAritA
   pṛthupṛthudvīpaiḥ samantād iyam /	pRTu pRTudvIpEH samantAt iyam /
   yasya sphāraphaṇāmaṇau nilayanān majjatkalaṅkākṛtiḥ śeṣaḥ so 'py agamad	yasya sPAra PaNAmaNO nilayanAt majjat kalaFka AkRtiH SezaH saH api agamat 
   yadaṅgadapadaṃ tasmai namaḥ śambhave // VidSrk_4.9 *(38) //.	yad aFgada padam tasmE namaH SamBave // Vit Srj _4.9 *(38) //.
   etau vallaṇasya	etO vallaNasya
   gāḍhagranthipraphulladgalavikalaphaṇāpīḍaniryadviṣāgni 	gAXa granTi praPullat gala vikala PaNa ApIxa niryat viza agni 
   jvālānistaptacandradravad amṛtarasaproṣitapretabhāvāḥ /	jvAlA nistapta candra dravat amRta rasa prozita preta BAvAH /
   ujjṛmbhā babhrunetradyutim asakṛd asṛktṛṣṇayālokayantyaḥ pāntu tvāṃ	ujjRmBAH baBru netra dyutim asakRt asRk tRzNayA AlokayantyaH pAntu tvAm
   nāganālagrathitaśivaśiraḥśreṇayo bhairavasya // VidSrk_4.10 *(39) //.	nAganAla graTita Siva SiraH SreNayaH BEravasya // Vit Srj _4.10 *(39) //.
   tasyaiva	tasya eva
   /var{@phaṇāpīḍa@/lem	/var{@ PaNA ApIxa@/lem
   /Ingalls, @phaṇapīṭha@ /edKG}	/Ingalls, @PaNa pIWa@ /edKG}
   babhrubhrūśmaśrukeśaṃ śikharam iva girer lagnadāvāgnimālaṃ netraiḥ	baBru BrU SmaSru keSam SiKaram iva gireH lagna dAva agnimAlam netrEH
   piṅgogratārais tribhir iva ravibhiś chidritaḥ kālameghaḥ /	piFga ugra tArEH triBiH iva raviBiH CidritaH kAla meGaH /
   daṃṣṭrācandraprabhābhiḥ prakaṭitasubṛhattālupātālamūlaṃ śambho vaktraṃ	daMzwrA candra praBABiH prakawita su bRhat tAlu pAtAla mUlam SamBo vaktram
   suvaktratritayabhayakaraṃ hantv aghaṃ dakṣiṇaṃ vaḥ // VidSrk_4.11 *(40)	su vaktra tritaya Baya karam hantu aGam dakziNam vaH // Vit Srj _4.11 *(40)
   /var{hantvaghaṃ/lem	/var{hantu aGaM/lem
   /emend/ /Ingalls, hantvadhaṃ /edKG}	/ema ind/ /Ingalls, hantu aDam /edKG}
   rakṣovibhīṣaṇasya	rakzaH viBIzaNasya
   uddāmadantarucipallavitārdhacandra  jyotsnānipītatimiraprasaroparodhaḥ /	uddAma danta ruci pallavita arDacandra jyotsnA nipIta timira prasara uparoDaH /
   śreyāṃsi vo diśatu tāṇḍavitasya śambho ambhodharāvalighanadhvanir	SreyAMsi vaH diSatu tANxavitasya SamBo amBoDarA vali Gana DvaniH 
   aṭṭahāsaḥ // VidSrk_4.12 *(41) //	awwahAsaH // Vit Srj _4.12 *(41) //
   rājagurusaṃghaśriyaḥ	rAja guru saMGa SriyaH
