   Samyaksambuddhabhāṣitaṃ pratimālakṣaṇam	SamyaksambudDa-BAzitam pratimA-lakzaNam
   madhye syācchobhanā rekhā sṛkkaṇī mātṛke smṛtau /	maDye syAt-SoBanA reKA sRkkaNI mAtRke smRtO /
   caturaṅgulamāyāmaṃ vaktraṃ kuryādvicakṣaṇaḥ // 6 //	catur-aFgulam-AyAmam vaktram kuryAt-vicakzaNaH // 6 //
   yathopapannasthānāścatvāriṃśaddaśanāḥ smṛtāḥ /	yaTA-upapanna-sTAnAH-catvAriMSat-daSanAH smRtAH /
   uttaroṣṭho 'ṅgulārddhaḥ syāttathaiboccheda(tsedha)nirgamaḥ // 7 //	uttarozWaH aFgula-ardDaH syAt-taTA-eba-ucCeda(t-seDa)-nirgamaH // 7 //
   tribhāgāṅgulikā kāryā godhistasyaiva ca sthitā /	tri-BAga-aFgulikA kAryA goDiH-tasya-eva ca sTitA /
   nāsā dvayaṅgulavistārā sārddhamaṅgulamunnatā // 8 //	nAsA dvayaFgula-vistArA sArdDam-aFgulam-unnatAH // 8 //
   arddhāṅgule same vṛtte nāsāyāḥ śrotasī smṛtau(te) /	ardDa-aFgule same vRtte nAsAyAH SrotasI smRtO(te) /
   nāsāvaṃśaḥ samo madhye vistāreṇārddhamātrikaḥ // 9 //	nAsA-=-aMSaH samaH maDye vistAreNa-ardDa-mAtrikaH // 9 //
   netrāntaro 'ṅgule jñeyo netre ca caturaṅgule /	netra-antaraH aFgule jQeyaH netre ca catur-aFgule /
   vistārāddvayaṅgulau madhye tayostārā tribhāgikī // 10 //	vistArAt-dvayaFgulO maDye tayoH-tArA tri-BAgikI // 10 //
   dṛṣṭiḥ syātpañcabhāgena dvayaṅgulaṃ tryaṅgulaṃ tayoḥ /	dRzwiH syAt-paQca-BAgena dvayaFgulam tri-aFgulam tayoH /
   aṅgulasya caturthāṃśo visṛ(stṛ)to 'kṣiḥ samudgakaḥ // 11 //	aFgulasya caturTa-aMSaH visR(H-tR)taH akziH samudgakaH // 11 //
   padmapatrākṛtiḥ kāryo netrakośo 'ṅgulitrayam /	padma-patra-AkRtiH kAryaH netra-koSaH aFguli-trayam /
   karavīrasamaṃ sūtraṃ netrayoḥ nāsikāpuṭe // 12 //	karavIra-samam sUtram netrayoH nAsikA-puwe // 12 //
   tārā same ca cibuke sṛkkaṇī pariyojayet /	tArA same ca cibuke sRkkaNI pariyojayet /
   antarastu bhruvaḥ kāryaṃ vistṛtaṃ sārddhamaṅgulam // 13 //	antaraH-tu BruvaH kAryam vistRtam sArdDam-aFgulam // 13 //
   madhye corṇātra vijñeyā śubhā pūrṇendusannibhā /	maDye ca-UrNA-atra vijQeyA SuBA pUrNa-indu-sanniBA /
   nāsikāvatsa(vaṃśa)sūtrorṇā tathā mūrdhva(rdha)jasaṃsthitam // 14 //	nAsikA-vatsa-(vaMSa)sUtra-UrNA taTA mUrDva(rDa-)ja-saMsTitam // 14 //
   śiromaṇīḥ sa vijñeyaḥ suprabho vimalastathā /	SiromaNIH sa vijQeyaH supraBaH vimalaH-taTA /
   caturaṅgulamucchedāllalāṭopari mastakam // 15 //	catur-aFgulam-ucCedAt-lalAwa-upari mastakam // 15 //
   (p. 128)	(p. 128)
   chatrākāraṃ śubhannīlaṃ dakṣiṇāvarttastūrdhvajam /	Catra-AkAram SuBat-nIlam dakziNA-varttaH-tu-UrDvajam /
   bhrurekhā syāccaturmātrā karṇāgraṃ cāpi tatsamam // 16 //	BrureKA syAt-catur-mAtrA karNa-agram ca-api tad-samam // 16 //
   niḥsṛtau dvayaṅgulau karṇau tayoḥ patrārddhamātrikaḥ /	niHsRtO dvayaFgulO karNO tayoH patra-ardDa-mAtrikaH /
   ucchedo(tsedho)mātriko jñeyaḥ śliṣṭaśrotrārddhamātrikāḥ // 17 //	ucCedaH-(tseDo)mAtrikaH jQeyaH Slizwa-Srotra-ardDa-mAtrikAH // 17 //
   aṅgulasya caturthāṃsaḥ(śaḥ) karṇāvarttastu vistaraiḥ /	aFgulasya caturTa-aMsaH(SaH) karNa-AvarttaH-tu vistarEH /
   sārddhamātre 'ṅgule dve syāt karṇastvantarabhāgataḥ // 18 //	sArdDa-mAtre aFgule dve syAt karNaH-tu-antara-BAgataH // 18 //
   pārśvau syātāṃ yathāśobhaṃ keśāścāpi tathaiva ca /	pArSvO syAtAm yaTASoBam keSAH-ca-api taTA-eva ca /
   arddhapañcamamātrañca karṇapatramapāṅgataḥ // 19 //	ardDa-paQcama-mAtraQca karNa-patram-apAFgataH // 19 //
   karṇātkarṇāntavijñeyo mastako 'ṣṭādaśāṅgulaḥ /	karNAt-karNa-anta-vijQeyaH mastakaH azwAdaSa-aFgulaH /
   caturdaśāṅgulaṃ pṛṣṭhaṃ tayorantaramiṣyate // 20 //	caturdaSa-aFgulam pRzWam tayoH-antaram-izyate // 20 //
   catvāriṃśanmātrañca śiraḥ syātpariṇāhataḥ /	catvAriMSat-mAtraQca SiraH syAt-pariNAhataH /
   grīvocchedā(tsedhā)ccaturmātrā vistārādaṣṭamātṛkā // 21 //	grIvA-ucCedA(tseDA)t-catur-mAtrA vistArAt-azwa-mAtRkA // 21 //
   pariṇāhācca kartavyā caturviśatimātṛkā /	pariNAhAt-ca kartavyA caturviSati-mAtRkA /
   grīvāntānyaṅgulānyaṣṭau skandhāṃso(śo) dvādaśāṅgulaḥ // 22 //	grIvA-antAni-aFgulAni-azwO skanDa-aMso(So) dvAdaSa-aFgulaH // 22 //
   vināntarāṃśo vṛttaśca skandhaḥ syāllakṣaṇānvitaḥ /	vinA-antara-aMSaH vRttaH-ca skanDaH syAt-lakzaNa-anvitaH /
   catvāriṃśatamātrāṇi bāhau cāyāmamiṣyate // 23 //	catvAriMSata-mAtrANi bAhO ca-AyAmam-izyate // 23 //
   bāhurviśatimātrastu prabāhuḥ ṣoḍaśastathā /	bAhuH-viSati-mAtraH-tu prabAhuH zoxaSaH-taTA /
   dvādaśāṅgulahastāgraṃ maṇibandhātprakīrtitaḥ // 24 //	dvAdaSa-aFgula-hasta-agram maNibanDAt-prakIrtitaH // 24 //
   kukuṇīmaṇibandhābhyāmaṅgulañcāṅgulaṃ smṛtam /	kukuNI-maNi-banDAByAm-aFgu-laQcA-aFgulam smRtam /
   bāhau madhyaparikṣepa iṣṭo viṃśatimātṛkaḥ // 25 //	bAhO maDya-parikzepaH izwaH viMSati-mAtRkaH // 25 //
   prabāhuḥ ṣoḍaśaḥśca syāddviṣaṭko maṇibandhane /	prabAhuH zoxaSaHH-ca syAt-dvi-zawkaH maNibanDane /
   āyāmaṃ saptakaṃ pāṇau talavistārapañcakam // 26 //	AyAmam saptakam pANO tala-vistAra-paQcakam // 26 //
   (p. 129)	(p. 129)
   śaṅkhañcakraṃ tale nyastaṃ padma cākuliśāṅkuśam /	SaFKaQcakram tale nyastam padma ca-akuliSa-aFkuSam /
   sarvalakṣaṇarūpiṇyo le(re)khāḥ kāryyāḥ pṛthagvidhāḥ // 27 //	sarva-lakzaNa-rUpiNyaH le(re)KAH kAryyAH pRTagviDAH // 27 //
   pañcāṅgulāyatā madhyā parvārddhonā pradeśinī /	paQca-aFgula-AyatA maDyA parvArdDa-UnA pradeSinI /
   aṅgulārddhavihīnā tu kartavyā syādanāmikā // 28 //	aFgula-ardDa-vihInA tu kartavyA syAt-anAmikA // 28 //
   anāmikātaḥ parvonā kartavyā tu kanīyasī /	anAmikAtaH parvonA kartavyA tu kanIyasI /
   triparvāṅgulayaḥ sarvāḥ parvārddhena nakhāḥśubhāḥ // 29 //	triparva-aFgulayaH sarvAH parva-ardDena naKAH-SuBAH // 29 //
   maṇibandhopariṣṭāttu so 'ṅguṣṭhaścaturaṅgulaḥ /	maNibanDa-uparizwAt-tu saH aFguzWaH-caturaFgulaH /
   tāvāneva parikṣepaḥ parvārddhena nakhaśca saḥ // 30 //	tAvAn-eva parikzepaH parva-ardDena naKaH-ca saH // 30 //
   aṅguṣṭhāttu pradeśinyā antaraṃ tryaṅgulaṃ smṛtam /	aFguzWAt-tu pradeSinyAH antaram tri-aFgulam smRtam /
   kanīyasī maṇibandhādbhavetpañcāṅgulāyataḥ // 31 //	kanIyasI maNibanDAt-Bavet-paQcAFgula-AyataH // 31 //
   agrahastaparikṣepo vijñeyo dvādaśāṅgulaḥ /	agra-hasta-parikzepaH vijQeyaH dvAdaSa-aFgulaH /
   dairghyāttṛtīyabhāgaḥ syāt svāṅgulīnāṃ parigrahaḥ // 32 //	dErGyAt-tRtIya-BAgaH syAt sva-aFgulInAm parigrahaH // 32 //
   grīvāhṛdayayormadhye sārddhadvādaśamātrikaḥ /	grIvA-hRdayayoH-maDye sArdDa-dvAdaSa-mAtrikaH /
   hṛnnābhyośca catuścaiva stanayorapi cāntaram // 33 //	hRnnAByoH-ca catur-ca-eva stanayoH-api ca-antaram // 33 //
   stanayorupariṣṭācca kakṣe kārye ṣaḍaṅgule /	stanayoH-uparizwAt-ca kakze kArye zaz-aFgule /
   tadūrdhvaṃ punarāskandhānnavamātrā prakīrtitā // 34 //	tad-UrDvam punar-AskanDAt-nava-mAtrA prakIrtitAH // 34 //
   uraso 'pi ca vistāraḥ pañcaviṃśatimātrikaḥ /	urasaH api ca vistAraH paQcaviMSati-mAtrikaH /
   pariṇāhāduraḥ kāryo vistārāttriguṇaṃ śubham // 35 //	pariNAhAt-uraH kAryaH vistArAt-triguNam SuBam // 35 //
   stananābhyantare(raṃ) caiva ṣoḍaśāṅgulamiṣyate /	stanana-aByantare(raM) ca-eva zoxaSa-aFgulam-izyate /
   avedhaḥ sandhirandhrābhyāṃ nābhimaṇḍalamaṅgulam // 36 //	aveDaH sanDi-ranDrAByAm nABi-maNxalam-aFgulam // 36 //
   nābhimadhyāt parikṣepaḥ ṣaṭcatvāriṃśadaṅgulaḥ /	nABi-maDyAt parikzepaH zawcatvAriMSat-aFgulaH /
   aṣṭādaśāṅgulaṃ caiva vistāreṇa kaṭirbhavet // 37 //	azwAdaSa-aFgulam ca-eva vistAreNa kawiH-Bavet // 37 //
   (p. 130)	(p. 130)
   nābhimeḍhrontarañca syāt sārddhadvādaśamātrikaḥ /	nABi-meXra-untaraQca syAt sArdDa-dvAdaSa-mAtrikaH /
   tadarddhena tu meḍhraḥ syādapānapariṇāhataḥ // 38 //	tad-ardDena tu meXraH syAt-apAna-pariNAhataH // 38 //
   pañcamātrāyatau lambau vṛṣaṇau caturaṅgulau /	paQca-mAtra-AyatO lambO vRzaNO catur-aFgulO /
   pañcamātrāṇi catvāri vistārāyāmatastayoḥ // 39 //	paQca-mAtrANi catvAri vistAra-AyAmataH-tayoH // 39 //
   ūrū samāhitau kāryau pañcaviṃśatimātrikau /	UrU samAhitO kAryO paQcaviMSati-mAtrikO /
   suvistāraṃ tayormadhyaṃ māpayeddvādaśāṅgulam // 40 //	su-vistAram tayoH-maDyam mApayet-dvAdaSa-aFgulam // 40 //
   pariṇāhe 'pi kartavyaṃ śubhaṃ ṣaṭtriṃśadaṅgulam /	pariNAhe api kartavyam SuBam zawtriMSat-aFgulam /
   madhye................caturaṅgulaṃ tu jānutaḥ // 41 //	maDye................-catur-aFgulam tu jAnutaH // 41 //
   sandhibandhaścaturmātrā tridvikaṃ jānugulphakam /	sanDi-banDaH-catur-mAtrA tri-dvikam jAnu-gulPakam /
   guḍhagulphaṃ sirāsthitvaṃ sukumārau stayau(?) śubhau // 42 //	guXa-gulPam sirA-asTi-tvam su-kumArO stayO(?) SuBO // 42 //
   ṛjuvṛttāyate jaṃghā(ghe) pañcaviṃśatimātrike /	Rju-vRttAyate jaMGa-a(Ge) paQcaviMSati-mAtrike /
   tayormadhye pariṇāha ekaviṃśatimātrikaḥ // 43 //	tayoH-maDye pariNAhaH ekaviMSati-mAtrikaH // 43 //
   caturdaśāṅgulā 'yatā gulphāntāścaturaṅgulam /	caturdaSa-aFgulAH ayatA gulPa-antAH-catur-aFgulam /
   gulpho dvādaśakāyāmaḥ pādaḥ pādārddhavistaraḥ // 44 //	gulPaH dvAdaSakAyAmaH pAdaH pAda-ardDa-vistaraH // 44 //
   pārśvau dvayaṅgulavistārau pārṣṇī ca caturaṅgule /	pArSvO dvayaFgula-vistArO pArzNI ca catur-aFgule /
   ṣaḍaṅgulaṃ tva(su)vistāraṃ triguṇaṃ pariṇāhataḥ // 45 //	zaz-aFgulam tva(-su)vistAram triguNam pariNAhataH // 45 //
   pañcāṅgulyo dviparvāṇi parvārddhena nakhāḥ smṛtāḥ /	paQcAFgulyaH dvi-parvANi parva-ardDena naKAH smRtAH /
   pañcāṅgulaṃ parikṣepādaṅguṣṭhastryaṅgulāyataḥ // 46 //	paQca-aFgulam parikzepAt-aFguzWaH-tri-aFgula-AyataH // 46 //
   aṅguṣṭhakasamā caiva āyāmena pradeśinī /	aFguzWaka-samA ca-eva AyAmena pradeSinI /
   ṣoḍaśāṣṭāṣṭabhāgena śeṣā hīnāḥ parasparam // 47 //	zoxaSa-azwa-azwa-BAgena SezAH hInAH parasparam // 47 //
   aṅgulyo mātrikocchre(tse)dhādaṅguṣṭhaḥ sārddhamātrikaḥ /	aFgulyaH mAtrikA-ucCre(tse)DAdaFguzWaH sArdDa-mAtrikaH /
   tatra tāmranakhāḥ sārddhāṃ aṅgulāḥ komalāyatāḥ // 48 //	tatra tAmra-naKAH sArdDAm aFgulAH komala-AyatAH // 48 //
   (p. 131)	(p. 131)
   kūrmapṛṣṭhasamau pūrṇau pādau bahiralaṃkṛtau /	kUrma-pRzWa-samO pUrNO pAdO bahis-alaMkRtO /
   samaśliṣṭānatācchidrau supratiṣṭhataḥ(ṣṭhita) lakṣaṇaiḥ // 49 //	sama-Slizwa-AnatA=-CidrO su-pratizWataH(zWita) lakzaNEH // 49 //
   tayostalaṃ sucakrādicitrākāraṃ tu kārayet /	tayoH-talam su-cakra-Adi-citra-AkAram tu kArayet /
   pādāvatra praśaṃsanti sarvajñā hatakilviṣāḥ // 50 //	pAdO=-atra praSaMsanti sarva-jQAH hata-kilvizAH // 50 //
   kukkuṭāṇḍaṃ tilākāraṃ caturasraṃ suvartulam /	kukkuwa-aNxam tila-AkAram catur-asram su-vartulam /
   sarvasāmānyaliṅgānāṃ mukhametaccaturvidham // 51 //	sarva-sAmAnya-liFgAnAm muKam-etat-caturviDam // 51 //
   mahānarasurastrīṇāṃ kukkuṭāṇḍaṃ tilākṛtiḥ /	mahAnara-sura-strINAm kukkuwa-aNxam tila-AkRtiH /
   lāvaṇyaṃ darśanīyaṃ tat kārayet mukhadvayam // 52 //	lAvaNyam darSanIyam tat kArayet muKa-dvayam // 52 //
   pretabhūtapiśācānāṃ rakṣasāṃ vikṛtākṛtiḥ /	preta-BUta-piSAcAnAm rakzasAm vikRta-AkRtiH /
   maṇḍalaṃ caturasraṃ ca kārayettu mukhadvayam // 53 //	maNxalam catur-asram ca kArayet-tu muKa-dvayam // 53 //
   samā dṛṣṭiḥ prasannā ca buddhānāmavalokane /	samA dRzwiH prasannA ca budDAnAm-avalokane /
   nādho nordhvaṃ na dainyena saṃyuktaṃ sarvadarśinām // 54 //	na-aDas na-UrDvam na dEnyena saMyuktam sarva-darSinAm // 54 //
   // iti samyaksambuddhabhāṣitaṃ pratimālakṣaṇaṃ samāptam //	// iti samyaksambudDa-BAzitam pratimA-lakzaNam samAptam //
