   Aśokāvadānaṃ	ASoka-avadAnam
   āyuṣmantamānandamāmantrayate sma / asyāmānanda mathurāyāṃ mama	Ayuzmantam-Anandam-Amantrayate sma / asyAm-Ananda maTurAyAm mama
   varṣaśataparinirvṛtasya gupto nāma gāndhiko bhaviṣyati / tasya putro	varza-Sata-parinirvRtasya guptaH nAma gAnDikaH Bavizyati / tasya putraH-
   bhaviṣyati upaguptanāmālakṣaṇako buddho yo mama varṣaśataparinirvṛtasya	Bavizyati upagupta-nAmA-lakzaNakaH budDaH yaH mama varza-Sata-parinirvRtasya
   buddhakārya kariṣyati / tasyāvavādena bahavo bhikṣavaḥ sarvakleśaprahāṇād	budDa-kArya karizyati / tasya-avavAdena bahavaH BikzavaH sarva-kleSa-prahANAt-
   arhattvaṃ sākṣātkariṣyanti / te 'ṣṭādaśahastāmāyāmenaṃ dvādaśahastāṃ	arhat-tvam sAkzAtkarizyanti / te azwAdaSa-hasta-AmAyAm-enam dvAdaSa-hastAm
   vistāreṇa caturaṅgulamātrābhiḥ śalākābhir guhāṃ pūrayiṣyanti / eṣo 'gro me	vistAreNa catur-aFgula-mAtrABiH SalAkABiH guhAm pUrayizyanti / ezaH agraH me
   ānanda śrāvakāṇāṃ bhaviṣyati avavādakānāṃ yaduta upagupto bhikṣuḥ /	Ananda SrAvakANAm Bavizyati avavAdakAnAm yat-uta upaguptaH BikzuH /
   paśyasi tvamānanda dūrata eva nīlanīlāmbararājiṃ / evaṃ bhadanta / eṣa	paSyasi tvam-Ananda dUratas eva nIla-nIla-ambara-rAjim / evam Badanta / eza
   ānanda urūmuṇḍo nāma parvataḥ / atra varṣaśataparinirvṛtasya tathāgatasya	AnandaH urUmuNxaH nAma parvataH / atra varza-Sata-parinirvRtasya taTAgatasya
   śāṇakavāsī nāma bhikṣurbhaviṣyati / so 'tra urūmuṇḍaparvate vihāraṃ	SANaka-vAsI nAma BikzuH-Bavizyati / saH atra urU-muNxa-parvate vihAram
   pratiṣṭhāpayiṣyati / upaguptaṃ ca pravrājayiṣyati /	pratizWApayizyati / upaguptam ca pravrAjayizyati /
   mathurāyāmānanda naṭo bhaṭaśca dvau bhrātarau śreṣṭhinau bhaviṣyataḥ / tau	maTurAyAm-Ananda nawaH BawaH-ca dvO BrAtarO SrezWinO BavizyataH / tO
   urumuṇḍaparvate vihāraṃ pratiṣṭhāpayiṣyataḥ / tasya naṭabhaṭiketi (A-av 3)	uru-muNxa-parvate vihAram pratizWApayizyataH / tasya nawaBawikA-iti (a-a-au 3)
   saṃjñā bhaviṣyati / etadagraṃ me ānanda bhaviṣyati śamathānukūlānāṃ	saMjQA Bavizyati / etat-agram me Ananda Bavizyati SamaTa-anukUlAnAm
   śayyāsanānāṃ yadidaṃ naṭabhaṭikāraṇyāyatanaṃ /	SayyA-AsanAnAm yat-idam nawa-BawikA-araNya-Ayatanam /
   athāyuṣmāna ānando bhagavantamidamavocat / āścarya bhadanta yad	aTa-AyuzmAnaH AnandaH Bagavantam-idam-avocat / AScarya Badanta yat-
   īdṛśamāyuṣmān upagupto bahujanahitaṃ kariṣyati / bhagavān āha / nānanda	IdRSam-AyuzmAn upaguptaH bahu-jana-hitam karizyati / BagavAn Aha / na-Ananda
   etarhi, yathātite 'pyadhvani tena vinipatitaśarīreṇāpyatraiva	etarhi, yaTA-atite api-aDvani tena vinipatita-SarIreNa-api-atra-eva
   bahujanahitaṃ kṛtaṃ /	bahu-jana-hitam kRtam /
   urūmuṇḍaparvate trayaḥ pārśvāḥ / ekatra pradeśe pañca pratyekabuddhaśātāni	urU-muNxa-parvate trayaH pArSvAH / ekatra pradeSe paQca pratyekabudDa-SAtAni
   prativasanti / dvitīye pañcarṣiśatāni / tṛtīye pañcamarkaṭaśatāni / tatra	prativasanti / dvitIye paQca-Rzi-SatAni / tRtIye paQcamarkawa-SatAni / tatra
   yo 'sau pañcānāṃ markaṭaśatānāṃ yūthapatiḥ sa taṃ yūthamapahāya yatra	yaH asO paQcAnAm markawa-SatAnAm yUTa-patiH sa tam yUTam-apahAya yatra
   pārśve pañca pratyekabuddhaśatāni prativasanti tatra gataḥ / tasya tān	pArSve paQca pratyekabudDa-SatAni prativasanti tatra gataH / tasya tAn
   pratyekabuddhān dṛṣṭvā prasādo jātaḥ / sa teṣāṃ pratyekabuddhānāṃ	pratyekabudDAn dRzwvA prasAdaH jAtaH / sa tezAm pratyekabudDAnAm
   śīrṇaparṇāni mūlaphalāni copanāmayati, yadā ca te paryaṅkeṇopaviṣṭā	SIrNa-parNAni mUla-PalAni ca-upanAmayati, yadA ca te paryaFkeNa-upavizwA
   bhavanti sa vṛddhānte kṛtvā yāvan navāntaṃ gatvā paryaṅkeṇopaviśati /	Bavanti sa vRdDAnte kRtvA yAvat nava-antam gatvA paryaFkeNa-upaviSati /
   yāvat te pratyekabuddhāḥ parinirvṛtāḥ / sa teṣāṃ śīrṇaparṇāni mūlaphalāni	yAvat te pratyekabudDAH parinirvRtAH / sa tezAm SIrNa-parNAni mUla-PalAni
   copanāmayati / te na pratigṛṇhanti / sa teṣāṃ cīvarakarṇikāni ākarṣayati /	ca-upanAmayati / te na pratigRNhanti / sa tezAm cIvara-karNikAni Akarzayati /
   pādau gṛṇhāti / yāvat sa markaṭaścintayati / niyatamete kālagatā	pAdO gRNhAti / yAvat sa markawaH-cintayati / niyatam-ete kAlagatA
   bhaviṣyanti / tataḥ sa markaṭaḥ śocitvā paridevitvā ca dvitīyaṃ pārśvaṃ	Bavizyanti / tatas sa markawaH SocitvA paridevitvA ca dvitIyam pArSvam
   gato yatra pañcarṣiśatāni prativasanti /	gataH yatra paQca-Rzi-SatAni prativasanti /
   (A-av 4)	(a-a-au 4)
   te ca ṛṣayaḥ kecit kaṇṭakāpāśrayāḥ kecid bhasmāpāśrayāḥ kecidūrdhvahastāḥ	te ca RzayaH kecid kaNwaka-apASrayAH kecid Basma-apASrayAH kecid-UrDva-hastAH
   kecit pañcātapāvasthitāḥ / sa teṣāṃ teṣām īryāpathān vikopayitumārabdhaḥ /	kecid paQca-Atapa-avasTitAH / sa tezAm tezAm IryA-paTAn vikopayitum-ArabDaH /
   ye kaṇṭakāpāśrayāsteṣāṃ kaṇṭakān uddharati / bhasmāpāśrayāṇāṃ bhasma	ye kaNwaka-apASrayAH-tezAm kaNwakAn udDarati / Basma-apASrayANAm Basma
   vidhunoti / ūrdhvahastānāmadho hastaṃ pātayati / pañcātapāvasthitānāmagnim	viDunoti / UrDva-hastAnAm-aDas hastam pAtayati / paQca-Atapa-avasTitAnAm-agnim
   avakirati / yadā ca tairīryāpatho vikopito bhavati tadā sa teṣāmagrataḥ	avakirati / yadA ca tEH-IryApaTaH vikopitaH Bavati tadA sa tezAm-agratas-
   paryaṅkaṃ badhnāti /	paryaFkam baDnAti /
   yāvat tairṛṣibhirācāryāya niveditaṃ / tenāpi coktaṃ / paryaṅkeṇa tāvan	yAvat tEH-RziBiH-AcAryAya niveditam / tena-api ca-uktam / paryaFkeNa tAvan
   niṣīdata / yāvattāni pañcarṣiśatāni paryaṅkeṇopaviṣṭāni / te 'nācāryakā	nizIdata / yAvat-tAni paQca-Rzi-SatAni paryaFkeNa-upavizwAni / te anAcAryakA
   anupadeśakāḥ saptatriṃśad bodhipakṣān dharmānāmukhīkṛtya pratyekāṃ bodhiṃ	anupadeSakAH saptatriMSat boDi-pakzAn DarmAnAmuKIkRtya pratyekAm boDim
   sākṣātkṛtavantaḥ /	sAkzAtkRtavantaH /
   atha teṣāṃ pratyekabuddhānāmetadabhavad / yat kiñcadasmābhiḥ śreyo 'vāptaṃ	aTa tezAm pratyekabudDAnAm-etat-aBavat / yat kiQcat-asmABiH SreyaH avAptam
   tat sarvamimaṃ markaṭam āgamya / tairyāvat sa markaṭaḥ phalamūlaiḥ	tat sarvam-imam markawam Agamya / tEH-yAvat sa markawaH Pala-mUlEH
   paripālitaḥ / kālagatasya ca taccharīraṃ gandhakāṣṭhairdhmāpitaṃ /	paripAlitaH / kAlagatasya ca tat-SarIram ganDa-kAzWEH-DmApitam /
   tat kiṃ manyase ānanda yo 'sau pañcānāṃ markaṭaśatānāṃ yūthapatiḥ sa eṣa	tat kim manyase Ananda yaH asO paQcAnAm markawa-SatAnAm yUTa-patiH saH eza
   upaguptaḥ / tadāpi tena vinipatitaśarīreṇāpyatraivorumuṇḍaparvate	upaguptaH / tadA-api tena vinipatita-SarIreNa-api-atra-eva-Uru-muNxaparvate
   bahujanahitaṃ kṛtaṃ / anāgate 'pyadhvani varṣaśataparinirvṛtasya	bahu-jana-hitam kRtam / anAgate api-aDvani varza-Sata-parinirvRtasya
   mamātraivorumuṇḍaparvate bahujanahitaṃ kariṣyati / tacca yathaivaṃ	mama-atra-eva-Uru-muNxaparvate bahu-jana-hitam karizyati / tat-ca yaTA-evam
   tathopadarśayiṣyāmaḥ /	taTA-upadarSayizyAmaH /
   (A-av 5)	(a-a-au 5)
   śāṇakavāsyupākhyānaṃ	SANaka-vAsI-upAKyAnam
   yadā sthavireṇa śāṇakavāsinā urumuṇḍe parvate vihāraḥ pratiṣṭhāpitaḥ,	yadA sTavireNa SANaka-vAsinA uru-muNxe parvate vihAraH pratizWApitaH,
   samanvāharati / kimasau gandhika utpannaḥ / athādyāpi notpadyata iti /	samanvAharati / kim-asO ganDikaH utpannaH / aTa-adya-api na-utpadyate iti /
   paśyatyutpannaḥ / sa yāvat samanvāharati / yo 'sau tasya putra upagupto	paSyati-utpannaH / sa yAvat samanvAharati / yaH asO tasya putraH upaguptaH-
   nāmnālakṣaṇako buddho nirdiṣṭo yo mama varṣaśataparinirvṛtasya	nAmnA-lakzaNakaH budDaH nirdizwaH yaH mama varza-Sata-parinirvRtasya
   buddhakāryaṃ kariṣyatīti, kimasāvutpannaḥ / adyāpi notpadyata iti /	budDa-kAryam karizyati-iti, kim-asO=-utpannaH / adya-api na-utpadyate iti /
   paśyatyadyāpi notpadyate /	paSyati-adya-api na-utpadyate /
   tena yāvadupāyena gupto gāndhiko bhagavacchāsane 'bhiprasāditaḥ / sa	tena yAvat-upAyena guptaH gAnDikaH Bagavat-SAsane aBiprasAditaH / sa
   yadābhiprasannastadā sthaviraḥ saṃbahulairbhikṣubhiḥ sārdhamekadivasaṃ	yadA-aBiprasannaH-tadA sTaviraH saMbahulEH-BikzuBiH sArDam-eka-divasam
   tasya gṛhaṃ praviṣṭaḥ aparasminnahani, ātmadvitīyaḥ / anyasminnahani,	tasya gRham pravizwaH aparasmin=-ahani, Atma-dvitIyaH / anyasmin=-ahani,
   ekākī / yāvad gupto gāndhikaḥ sthaviraṃ śāṇakavāsinamekākinaṃ dṛṣṭvā	ekAkI / yAvat guptaH gAnDikaH sTaviram SANaka-vAsinam-ekAkinam dRzwvA
   kathayati / na khalvāryasya kaścit paścācchramaṇaṃ / sthavira uvāca /	kaTayati / na Kalu-Aryasya kaScid paScAcSramaNam / sTaviraH uvAca /
   jarādharmāṇāṃ kuto 'smākaṃ paścācchramaṇo bhavati / yadi	jarA-DarmANAm kutas asmAkam paScAt-SramaNaH Bavati / yadi
   kecicchraddhāpurogeṇa (A-av 6) pravrajanti, te 'smākaṃ paścācchramaṇā	kecid-SradDA-purogeNa (A-au 6) pravrajanti, te asmAkam paScAcSramaNA
   bhavanti / gupto gāndhika uvāca / āryāhaṃ tāvad gṛhavāse parigṛddho	Bavanti / guptaH gAnDikaH uvAca / AryA-aham tAvat gRha-vAse parigRdDaH-
   viṣayābhirataśca / na mayā śakyaṃ pravrajituṃ / api tu yo 'smākaṃ putro	vizaya-aBirataH-ca / na mayA Sakyam pravrajitum / api tu yaH asmAkam putraH-
   bhavati taṃ vayamāryasya paścācchramaṇaṃ dāsyāmaḥ / sthavira uvāca / vatsa	Bavati tam vayam-Aryasya paScAcSramaNam dAsyAmaH / sTaviraH uvAca / vatsa
   evamastu / api tu dṛḍhapratijñāṃ smarethāstvamiti /	evam-astu / api tu dRXa-pratijQAm smareTAH-tvam-iti /
   yāvad guptasya gāndhikasya putro jātaḥ / tasyāśvagupta iti nāmadheya kṛtaṃ	yAvat guptasya gAnDikasya putraH jAtaH / tasya-aSvaguptaH iti nAmaDeya kRtam
   sa yadā mahān saṃvṛttastadā sthaviraśāṇakavāsī guptaṃ	sa yadA mahAn saMvRttaH-tadA sTavira-SANaka-vAsI guptam
   gāndhikamadhigamyovāca / vatsa tvayā pratijñātaṃ yo 'smākaṃ putro	gAnDikam-aDigamya-uvAca / vatsa tvayA pratijQAtam yaH asmAkam putraH-
   bhaviṣyati taṃ vayamāryasya paścācchramaṇaṃ dāsyāmaḥ / ayaṃ ca putro jātaḥ	Bavizyati tam vayam-Aryasya paScAcSramaNam dAsyAmaH / ayam ca putraH jAtaH
   / anujānīhi pravrājayiṣyāmīti / gāndhika uvāca / ārya ayamasmākamekaputraḥ	/ anujAnIhi pravrAjayizyAmi-iti / gAnDikaH uvAca / Arya ayam-asmAkam-eka-putraH
   / marṣayānyo yo 'smākaṃ dvitīyaḥ putro bhaviṣyati, taṃ vayamāryasya	/ marzayAnyaH yaH asmAkam dvitIyaH putraH Bavizyati, tam vayam-Aryasya
   paścācchramaṇaṃ dāsyāmaḥ /	paScAcSramaNam dAsyAmaH /
   yāvat sthaviraśāṇakavāsī samanvāharati / kimayaṃ sa upaguptaḥ / paśyati	yAvat sTavira-SANaka-vAsI samanvAharati / kim-ayam saH upaguptaH / paSyati
   neti / tena sthavireṇābhihita evamastviti / tasya yāvad dvitīyaḥ putro	na-iti / tena sTavireNa-aBihitaH evam-astu-iti / tasya yAvat dvitIyaH putraH-
   jātaḥ / tasya dhanagupta iti nāma kṛtaṃ / sopi yadā mahān saṃvṛttastadā	jAtaH / tasya DanaguptaH iti nAma kRtam / sA-upi yadA mahAn saMvRttaH-tadA
   sthaviraśāṇakavāsī guptaṃ gāndhikamuvāca / vatsa tvayā pratijñātaṃ yo	sTavira-SANaka-vAsI guptam gAnDikam-uvAca / vatsa tvayA pratijQAtam yaH-
   'smākaṃ putro bhaviṣyati taṃ vayamāryasya paścācchramaṇaṃ dāsyāmaḥ / ayaṃ	asmAkam putraH Bavizyati tam vayam-Aryasya paScAcSramaNam dAsyAmaH / ayam
   ca te putro jātaḥ / anujānīhi pravrājayiṣyāmīti / gāndhika uvāca / ārya	ca te putraH jAtaH / anujAnIhi pravrAjayizyAmi-iti / gAnDikaH uvAca / Arya
   marṣaya eko 'smākaṃ bahirdhā dravyaṃ saṃcayiṣyati, dvitīyo 'ntargṛhe	marzayaH ekaH asmAkam bahirDA dravyam saMcayizyati, dvitIyaH antargRhe
   paripālanaṃ kariṣyatīti / api tu yo 'smākaṃ tṛtīyaḥ putro bhaviṣyati sa	paripAlanam karizyati-iti / api tu yaH asmAkam tRtIyaH putraH Bavizyati sa
   āryasya dattaḥ /	Aryasya dattaH /
   (A-av 7)	(a-a-au 7)
   yāvat sthaviraśāṇakavāsī samanvāharati / kimayaṃ sa upaguptaḥ / paśyati	yAvat sTavira-SANaka-vAsI samanvAharati / kim-ayam saH upaguptaH / paSyati
   neti / tataḥ sthavira uvāca / evamastviti / yāvad guptasya gāndhikasya	na-iti / tatas sTaviraH uvAca / evam-astu-iti / yAvat guptasya gAnDikasya
   tṛtīyaḥ putro jātaḥ / abhirūpo darśanīyaḥ prāsādiko 'tikrānto	tRtIyaH putraH jAtaH / aBirUpaH darSanIyaH prAsAdikaH atikrAntaH-
   mānuṣavarṇamasaṃprāptaśca divyavarṇaṃ / tasya vistareṇa jātau jātimahaṃ	mAnuza-varNam-asaMprAptaH-ca divya-varNam / tasya vistareNa jAtO jAti-maham
   kṛtvā upagupta iti nāma kṛtam / so 'pi yadā mahān saṃvṛtto yāvat	kRtvA upaguptaH iti nAma kRtam / saH api yadA mahAn saMvRttaH yAvat-
   sthaviraśāṇakavāsī guptaṃ gāndhikamabhigamyovāca / vatsa tvayā pratijñātaṃ	sTavira-SANaka-vAsI guptam gAnDikam-aBigamya-uvAca / vatsa tvayA pratijQAtam
   yo 'smākaṃ tṛtīyaḥ putro bhaviṣyati taṃ vayamāryasya dāsyāmaḥ	yaH asmAkam tRtIyaH putraH Bavizyati tam vayam-Aryasya dAsyAmaH
   paścācchramaṇārthe / ayaṃ te tṛtīyaḥ putra utpannaḥ / anujānīhi	paScAt-SramaNa-arTe / ayam te tRtIyaH putraH utpannaH / anujAnIhi
   pravrājayiṣyāmīti / gupto gāndhika uvāca / ārya samayataḥ / yadālābho	pravrAjayizyAmi-iti / guptaH gAnDikaH uvAca / Arya samayataH / yadA-alABaH-
   'nucchedo bhaviṣyatīti tadānujñāsyāmi /	anucCedaH Bavizyati-iti tadA-anujQAsyAmi /
   yadā tena samayaḥ kṛtastadā māreṇa sarvāvatī mathurā gandhāviṣṭā / te	yadA tena samayaH kRtaH-tadA mAreNa sarvAvatI maTurA ganDa-AvizwA / te
   (mathurāvāsinaḥ) sarve upaguptasakāśād gandhān krīṇanti / sa prabhūtān	(maTuH-AvAsinaH) sarve upagupta-sakASAt ganDAn krINanti / sa praBUtAn
   dadāti /	dadAti /
   yāvat sthaviraśāṇakavāsī upaguptasakāśaṃ gataḥ / upaguptaśca gandhāpaṇe	yAvat sTavira-SANaka-vAsI upagupta-sakASam gataH / upaguptaH-ca ganDa-ApaNe
   sthitaḥ / sa dharmeṇa vyavahāraṃ karoti / gandhān vikrīṇīte / sa	sTitaH / sa DarmeNa vyavahAram karoti / ganDAn vikrINIte / sa
   sthavireṇa śāṇakavāsinābhihitaḥ / vatsa kīdṛśāste cittacaitasikāḥ	sTavireNa SANaka-vAsinA-aBihitaH / vatsa kIdRSAH-te citta-cEtasikAH
   pravartante / kliṣṭā vākliṣṭā veti / upagupta uvāca / ārya naiva jānāmi	pravartante / klizwA vA-aklizwA vA-iti / upaguptaH uvAca / Arya na-eva jAnAmi
   kīdṛśāḥ kliṣṭāścittacaitasikāḥ kīdṛśā akliṣṭā iti / sthaviraśāṇakavāsī	kIdRSAH klizwAH-citta-cEtasikAH kIdRSAH aklizwAH iti / sTavira-SANaka-vAsI
   uvāca / vatsa (A-av 8) yadi kevalaṃ cittaṃ parijñātuṃ śakyasi pratipakṣaṃ	uvAca / vatsa (A-au 8) yadi kevalam cittam parijQAtum Sakyasi pratipakzam
   mocayituṃ / tena tasya kṛṣṇikapaṭṭikā dattā pāṇḍurikā ca / yadi kliṣṭaṃ	mocayitum / tena tasya kRzNika-pawwikA dattA pANxurikA ca / yadi klizwam
   cittamutpadyate kṛṣṇikāṃ paṭṭikāṃ sthāpaya / athākliṣṭaṃ cittamutpadyate	cittam-utpadyate kRzNikAm pawwikAm sTApaya / aTa-aklizwam cittam-utpadyate
   pāṇḍurāṃ paṭṭikāṃ sthāpaya / aśubhāṃ manasi kuru / buddhānusmṛtiṃ ca	pANxurAm pawwikAm sTApaya / aSuBAm manasi kuru / budDa-anusmRtim ca
   bhāvayasveti / tenāsya vyapadiṣṭaṃ /	BAvayasva-iti / tena-asya vyapadizwam /
   tasya yāvadārabdhā akliṣṭāścittacaitasikāḥ pravartituṃ / sa dvau bhāgau	tasya yAvat-ArabDAH aklizwAH-citta-cEtasikAH pravartitum / sa dvO BAgO
   kṛṣṇikānāṃ sthāpayati / ekaṃ pāṇḍurikāṇāṃ / yāvadardhaṃ kṛṣṇikānāṃ	kRzNikAnAm sTApayati / ekam pANxurikANAm / yAvat-arDam kRzNikAnAm
   sthāpayati / ardhaṃ paṇḍurikāṇāṃ / yāvad dvau bhāgau pāṇḍurikāṇāṃ	sTApayati / arDam paNxurikANAm / yAvat dvO BAgO pANxurikANAm
   sthāpayati / ekaṃ kṛṣṇikānāṃ /	sTApayati / ekam kRzNikAnAm /
   yāvadanupūrveṇa sarvāṇyeva śuklāni cittānyutpadyante / sa pāṇḍurikāṇāmeva	yAvat-anupUrveNa sarvANi-eva SuklAni cittAni-utpadyante / sa pANxurikANAm-eva
   paṭṭikāṃ sthāpayati / dharmeṇa vyavahāraṃ karoti /	pawwikAm sTApayati / DarmeNa vyavahAram karoti /
   mathurāyāṃ vāsavadattā nāma gaṇikā / tasyā dāsī upaguptasakāśaṃ gatvā	maTurAyAm vAsavadattA nAma gaNikA / tasyAH dAsI upagupta-sakASam gatvA
   gandhān krīṇāti / sā vāsavadattayā cocyate / dārikemuṣyate sa	ganDAn krINAti / sA vAsavadattayA ca-ucyate / dArikemuzyate sa
   gāndhikastvayā, bahūn gandhān ānayasīti / dārikovāca / āryaduhita upagupto	gAnDikaH-tvayA, bahUn ganDAn Anayasi-iti / dArikA-uvAca / Arya-duhitaH upaguptaH-
   gāndhikadārako rūpasampannaścāturyamādhuryasampannaśca (A-av 9) dharmeṇa	gAnDika-dArakaH rUpa-sampannaH-cAturya-mADurya-sampannaH-ca (A-au 9) DarmeNa
   vyavahāraṃ karoti / śrutvā ca vāsavadattāyā upaguptasakāśe sānurāgaṃ	vyavahAram karoti / SrutvA ca vAsavadattAyAH upagupta-sakASe sa-anurAgam
   cittamutpannaṃ / tayā yāvad dāsī upaguptasakāśaṃ preṣitā /	cittam-utpannam / tayA yAvat dAsI upagupta-sakASam prezitAH /
   tvatsakāśamāgamiṣyāmi / icchāmi tvayā sārdhaṃ ratimanubhavituṃ / yāvad	tvad-sakASam-AgamizyAmi / icCAmi tvayA sArDam ratim-anuBavitum / yAvat-
   dāsyā upaguptasya niveditaṃ / upagupta uvāca / akālaste bhagini	dAsyAH upaguptasya niveditam / upaguptaH uvAca / akAlaH-te Bagini
   maddarśanāyeti /	mad-darSanAya-iti /
   vāsavadattā pañcabhiḥ purāṇaśataiḥ paricāryate / tasya buddhirutpannā /	vAsavadattA paQcaBiH purANa-SatEH paricAryate / tasya budDiH-utpannA /
   niyataṃ pañcapurāṇaśatāni notsahate dātuṃ / tayā yāvad dāsī	niyatam paQca-purANa-SatAni na-utsahate dAtum / tayA yAvat dAsI
   upaguptasakāśaṃ preṣitā / na mamāryaputrasakāśāt kārṣāpaṇenāpi prayojanaṃ	upagupta-sakASam prezitA / na mama-Arya-putra-sakASAt kArzApaNena-api prayojanam
   / kevalamāryaputreṇa saha ratimanubhaveyaṃ / dāsya tathā niveditaṃ /	/ kevalam-Arya-putreNa saha ratim-anuBaveyam / dAsya taTA niveditam /
   upagupta uvāca / akālaste bhagini maddarśanāyeti /	upaguptaH uvAca / akAlaH-te Bagini mad-darSanAya-iti /
   yāvadanyataraḥ śreṣṭhiputro vāsavadattāyāḥ sakāśaṃ praviṣṭaḥ / anyataraśca	yAvat-anyataraH SrezWi-putraH vAsavadattAyAH sakASam pravizwaH / anyataraH-ca
   sārthavāha uttarāpathāt pañcaśatamaśvapaṇyaṃ gṛhītvā mathurāmanuprāptaḥ /	sArTavAhaH uttarApaTAt paQca-Satam-aSva-paNyam gRhItvA maTurAm-anuprAptaH /
   tenābhihitaṃ / katarā veśyā sarvapradhānā, tena śrutaṃ vāsavadatteti / sa	tena-aBihitam / katarA veSyA sarva-praDAnA, tena Srutam vAsavadattA-iti / sa
   pañcapurāṇaśatāni gṛhītvā bahūn ca prābhṛtān vāsavadattāyāḥ	paQca-purANa-SatAni gRhItvA bahUn ca prABRtAn vAsavadattAyAH
   sakāśamabhigataḥ /	sakASam-aBigataH /
   tato vāsavadattayā lobhākṛṣṭayā taṃ śreṣṭhiputraṃ praghātayitvāvaskare	tatas vAsavadattayA loBa-AkRzwayA tam SrezWi-putram praGAtayitvA-avaskare
   prakṣipya sārthavāhena saha ratiranubhūtā / yāvat sa śreṣṭhiputro (A-av	prakzipya sArTavAhena saha ratiH-anuBUtA / yAvat sa SrezWi-putraH (a-a-av
   10) bandhubhiravaskarād uddhṛtya rājño niveditaḥ / tato rājñābhihitaṃ /	10) banDuBiH-avaskarAt udDRtya rAjQaH niveditaH / tatas rAjQA-aBihitam /
   gacchantu bhavanto vāsavadattāṃ hastapādau karṇanāse ca chittvā śmaśāne	gacCantu BavantaH vAsavadattAm hasta-pAdO karNa-nAse ca CittvA SmaSAne
   chorayantu /	Corayantu /
   yāvattairvāsavadattā hastapādau karṇanāse ca chittvā śmaśāne choritā /	yAvat-tEH-vAsavadattA hasta-pAdO karNa-nAse ca CittvA SmaSAne CoritA /
   yāvad upaguptena śrutaṃ vāsavadatā hastapādau karṇanāse ca chittvā śmaśāne	yAvat upaguptena Srutam vAsavadatA hasta-pAdO karNa-nAse ca CittvA SmaSAne
   choritā / tasya buddhirutpannā / pūrvaṃ tayā mama viṣayanimittaṃ	CoritA / tasya budDiH-utpannA / pUrvam tayA mama vizaya-nimittam
   darśanamākāṅkṣitaṃ / idāniṃ tu tasyā hastapādau karṇanāse ca vikartitau /	darSanam-AkAFkzitam / idAnim tu tasyAH hasta-pAdO karNa-nAse ca vikartitO /
