   uttarabhāgaḥ	uttara BAgaH
   ataḥ prāntamupoṣyaṃ hi titherdaśaphalepsubhiḥ // NarP_2,2.9 //	atas prAntam upozyam hi tiTeH daSa Pala IpsuBiH // NA rP_2,2.9 //
   mūlaṃ hi pitṛtṛptyarthaṃ vijñeyaṃ dharmakāṅkṣibhiḥ /	mUlam hi pitR tRpti arTam vijQeyam Darma kAFkziBiH /
   pūrvaviddhā na kartavyā dvitīyā cāṣṭamī tathā // NarP_2,2.10 //	pUrva vidDA na kartavyA dvitIyA ca azwamI taTA // NA rP_2,2.10 //
   ṣaṣṭhī caikādaśī bhūpa dharmakāmārthalipsubhiḥ /	zazWI ca ekAdaSI BUpa Darma kAma arTa lipsuBiH /
   pūrvaviddhā dvijaśreṣṭhāḥ kartavyā saptamī sadā // NarP_2,2.11 //	pUrva vidDAH dvijaSrezWAH kartavyA saptamI sadA // NA rP_2,2.11 //
   darśaśca paurṇamāsaśca pituḥ sāṃvatsaraṃ dinam /	darSaH ca pOrNamAsaH ca pituH sAMvatsaram dinam /
   pūrvaviddhānimāṃstyaktvā narakaṃ pratipadyate // NarP_2,2.12 //	pUrva vidDAnimAn= tyaktvA narakam pratipadyate // NA rP_2,2.12 //
   hāniṃ ca saṃtaterbhūpadaurbhāgyaṃ samavāpnuyāt /	hAnim ca saMtateH BUpa dOrBAgyam samavApnuyAt /
   etacchrutaṃ mayā viprāḥ kṛṣṇadvaipāyanātpurā // NarP_2,2.13 //	etat Srutam mayA viprAH kRzNadvEpAyanAt purA // NA rP_2,2.13 //
   ādityodayavelāyāṃ yāstokāpi tithirbhavet /	Aditya udaya velAyAm yAstokA api tiTiH Bavet /
   pūrvaviddhā tu mantavyā prabhūtā nodayaṃ vinā // NarP_2,2.14 //	pUrva vidDA tu mantavyA praBUtAH na udayam vinA // NA rP_2,2.14 //
   pāraṇe maraṇe nṝṇāṃ tithistātkālikī smṛtā /	pAraNe maraNe nLNAm tiTiH tAtkAlikI smRtA /
   pitrye 'stamanavelāyāṃ sparśe pūrṇā nigadyate // NarP_2,2.15 //	pitrye astamanavelAyAm sparSe pUrNA nigadyate // NA rP_2,2.15 //
   na tatrodayinī grāhyā daivasyodayikī tithiḥ /	na tatra udayinI grAhyA dEvasya udayikI tiTiH /
   pratyahaṃ śodhayetprājñastithiṃ daivajñacintakāt // NarP_2,2.16 //	pratyaham SoDayet prAjQaH tiTim dEvajQa cintakAt // NA rP_2,2.16 //
   tithipramāṇaṃ viprendrāḥ kṣapākaradivākarau /	tiTi pramANam vipra indrAH kzapA kara divAkarO /
   candrārkacāravijñānātkālaṃ kālavido viduḥ // NarP_2,2.17 //	candra arka cAra vijQAnAt kAlam kAla vidaH viduH // NA rP_2,2.17 //
   pūrvāyāḥ saṃgadoṣeṇa na yogyāstāḥ prapūjane /	pUrvAyAH saMga dozeNa na yogyAH tAH prapUjane /
   varjayanti narāstajjñā yāmāṃśca caturo dvijāḥ // NarP_2,2.18 //	varjayanti narAH tad jQAH yAmAn= ca caturaH dvijAH // NA rP_2,2.18 //
   ata ūrddhvaṃ pravakṣyāmi snānapūjāvidhikramam /	atas UrdDvam pravakzyAmi snAna pUjA viDi kramam /
   na divā śuddhimāpnoti tadā rātrau vidhīyate // NarP_2,2.19 //	na divA SudDim Apnoti tadA rAtrO viDIyate // NA rP_2,2.19 //
   dinakāryamaśeṣaṃ hi kartavyaṃ śarvarīmukhe /	dina kAryam aSezam hi kartavyam SarvarI muKe /
   vidhireṣa mayā khyāto narāṇāmupavāsinām // NarP_2,2.20 //	viDiH eza mayA KyAtaH narANAm upavAsinAm // NA rP_2,2.20 //
   alpāyāmatha viprendrā dvādaśyāmaruṇodaye /	alpAyAm aTa vipra indrAH dvAdaSyAm aruNa udaye /
   snānārcanakriyā kāryyā dānahomādisaṃyutā // NarP_2,2.21 //	snAna arcana kriyA kAryyAH dAna homa Adi saMyutAH // NA rP_2,2.21 //
   trayodaśyāṃ pāraṇe pṛthivīphalam /	trayodaSyAm pAraNe pRTivI Palam /
   śatayajñādhikaṃ vāpi naraḥ prāpnotyasaṃśayam // NarP_2,2.22 //	Sata yajQa aDikam vA api naraH prApnoti asaMSayam // NA rP_2,2.22 //
   etasmātkāraṇādviprāḥ pratyūṣe snānamācaret /	etasmAt kAraNAt viprAH pratyUze snAnam Acaret /
   pitṛtarpaṇasaṃyuktaṃ na dṛṣṭvā dvādaśīdinam // NarP_2,2.23 //	pitR tarpaNa saMyuktam na dRzwvA dvAdaSI dinam // NA rP_2,2.23 //
   mahāhānikarā hyeṣā dvādaśī laṅghitā nṛbhiḥ /	mahA hAni karA hi ezA dvAdaSI laFGitA nRBiH /
   karoti dharmaharaṇamasnāteva sarasvatī // NarP_2,2.24 //	karoti Darma haraNam asnAtA iva sarasvatI // NA rP_2,2.24 //
   kṣaye vāpyathavā vṛddhau saṃprāpte vā dinodaye /	kzaye vA api aTavA vRdDO saMprApte vA dina udaye /
   upoṣyā dvādaśī puṇyā pūrvaviddhāṃ vivarjayet // NarP_2,2.25 //	upozyA dvAdaSI puNyA pUrva vidDAm vivarjayet // NA rP_2,2.25 //
   brāhmaṇa uvāca	brAhmaNaH uvAca
   yadā ca prāpyate sūta dvādaśyāṃ pūrvasaṃbhavā /	yadA ca prApyate sUta dvAdaSyAm pUrva saMBavAH /
   tadopavāso hi kathaṃ kartavyo mānavairvada // NarP_2,2.26 //	tadA upavAsaH hi kaTam kartavyaH mAnavEH vada // NA rP_2,2.26 //
   upavāsadinaṃ viddhaṃ yadā bhavati pūrvayā /	upavAsa dinam vidDam yadA Bavati pUrvayA /
   dvitīye 'hni yadā na syātsvalpāpyekādaśī tithiḥ // NarP_2,2.27 //	dvitIye ahni yadA na syAt su alpA api ekAdaSI tiTiH // NA rP_2,2.27 //
   tatropavāso vihitaḥ kathaṃ tadvada sūtaja /	tatra upavAsaH vihitaH kaTam tadvada sUtaja /
   sautiruvāca	sOtiH uvAca
   yadā na prāpyate viprā dvādaśyāṃ pūrvasambhavam // NarP_2,2.28 //	yadA na prApyate viprAH dvAdaSyAm pUrva samBavam // NA rP_2,2.28 //
   ravicandrārkajāhaṃ tu tadopoṣyaṃ paraṃ dinam /	ravi candra arka ja aham tu tadA upozyam param dinam /
   bahvā gamavirodheṣu brāhmaṇeṣu vivādiṣu // NarP_2,2.29 //	bahvA gama viroDezu brAhmaNezu vivAdizu // NA rP_2,2.29 //
   upoṣyā dvādaśī puṇyā trayodaśyāṃ tu pāraṇam /	upozyA dvAdaSI puNyA trayodaSyAm tu pAraNam /
   ekādaśyāṃ tu viddhāyāṃ saṃprāpte śravaṇe tathā // NarP_2,2.30 //	ekAdaSyAm tu vidDAyAm saMprApte SravaNe taTA // NA rP_2,2.30 //
   upoṣyā dvādaśī puṇyā pakṣayorubhayorapi /	upozyA dvAdaSI puNyA pakzayoH uBayoH api /
   eṣa vo nirṇayaḥ prokto mayā śāstravinirṇayāt // NarP_2,2.31 //	eza vaH nirNayaH proktaH mayA SAstra vinirNayAt // NA rP_2,2.31 //
   kimanyacchrotukāmā hi tadbhavanto bruvantu me /	kim anyat Srotu kAmAH hi tat BavantaH bruvantu me /
   ṛṣaya ūcuḥ	RzayaH UcuH
   yugādīnāṃ vadavidhiṃ saute samyagyathātatham // NarP_2,2.32 //	yuga AdInAm vada viDim sOte samyak yaTAtaTam // NA rP_2,2.32 //
   ravisaṃkrātikādīnāṃ nāvedyaṃ vidyate tava /	ravi saMkrAtika AdInAm na Avedyam vidyate tava /
   sautiruvāca	sOtiH uvAca
   dve śukle dve tathā kṛṣṇe yugādyāḥ kavayo viduḥ // NarP_2,2.33 //	dve Sukle dve taTA kRzNe yuga AdyAH kavayaH viduH // NA rP_2,2.33 //
   śukle pūrvāhṇike grāhye kṛṣṇe grāhye 'parāhṇike /	Sukle pUrvAhNike grAhye kRzNe grAhye aparAhNike /
   ayanaṃ dinabhāgāḍhyaṃ saṃkramaḥ ṣoḍaśaḥ palaḥ // NarP_2,2.34 //	ayanam dina BAga AXyam saMkramaH zoxaSaH palaH // NA rP_2,2.34 //
   pūrve tu dakṣiṇe bhāge vyatīte cottaro mataḥ /	pUrve tu dakziNe BAge vyatIte ca uttaraH mataH /
   madhyakāle tu viṣuve tvakṣayā parikīrtitā // NarP_2,2.35 //	maDya kAle tu vizuve tu akzayA parikIrtitAH // NA rP_2,2.35 //
   jñātvā viprāstithiṃ samyaksāṃvatsarasamīritām /	jQAtvA viprAH tiTim samyak sAMvatsara samIritAm /
   kartavyo hyupavāsastu anyathā narakaṃ vrajet // NarP_2,2.36 //	kartavyaH hi upavAsaH tu anyaTA narakam vrajet // NA rP_2,2.36 //
   pūrvaviddhāṃ prakurvāṇo naro dharmaṃ nikṛntati /	pUrva vidDAm prakurvANaH naraH Darmam nikRntati /
   saṃtatestu vināśāya saṃpadāṃ haraṇāya ca // NarP_2,2.37 //	saMtateH tu vinASAya saMpadAm haraNAya ca // NA rP_2,2.37 //
   palavedhe 'pi viprendrā daśamyā varjayecchivām /	pala veDe api vipra indrAH daSamyAH varjayet SivAm /
   surāyā bindunā spṛṣṭa yathā gaṅgājalantyajet // NarP_2,2.38 //	surAyAH bindunA spRzwa yaTA gaFgA jalantyajet // NA rP_2,2.38 //
   śvahataṃ pañcagavyaṃ ca daśamyā dūṣitāṃ tyajet /	Sva hatam paQcagavyam ca daSamyA dUzitAm tyajet /
   ekādaśīṃ dvijaśreṣṭhāḥ pakṣayorubhayorapi // NarP_2,2.39 //	ekAdaSIm dvijaSrezWAH pakzayoH uBayoH api // NA rP_2,2.39 //
   pūrvaviddhā purā dattā sā tithiryadumaulinā /	pUrva vidDA purA dattA sA tiTiH yadu mOlinA /
   dānavebhyo dvijaśreṣṭhāḥ prīṇanārthaṃ mahātmanām // NarP_2,2.40 //	dAnaveByaH dvijaSrezWAH prINana arTam mahAtmanAm // NA rP_2,2.40 //
   akāle yaddhanaṃ dattamapātrebhyo dvijottamāḥ /	akAle yat Danam dattam apAtreByaH dvijottamAH /
   saṃkrudvairapi yaddattaṃ yaddattaṃ cāpyasatkṛtam // NarP_2,2.41 //	saMkrudvEH api yat dattam yat dattam ca api asatkRtam // NA rP_2,2.41 //
   pūrvaviddhatithau dattaṃ taddattamasureṣvatha /	pUrva vidDa tiTO dattam tat dattam asurezu aTa /
   yaducchiṣṭena dattaṃ tu yaddattaṃ patiteṣvapi // NarP_2,2.42 //	yat ucCizwena dattam tu yat dattam patitezu api // NA rP_2,2.42 //
   strījeteṣu ca yaddattaṃ yaddattaṃ jalavarjitam /	strI jetezu ca yat dattam yat dattam jala varjitam /
   punaḥ kīrtanasaṃyuktaṃ taddattamasureṣu vai // NarP_2,2.43 //	punar kIrtana saMyuktam tat dattam asurezu vE // NA rP_2,2.43 //
   tasmādviprā na kartvyā viddhāpyekādaśī tithiḥ /	tasmAt viprAH na kartvyA vidDA api ekAdaSI tiTiH /
   yathā hantipurā puṇyaṃ śrāddhaṃ ca vṛṣalīpatiḥ // NarP_2,2.44 //	yaTA hanti purA puNyam SrAdDam ca vRzalI patiH // NA rP_2,2.44 //
   dattaṃ japtaṃ hutaṃ snātaṃ tathā pūjā kṛtā hareḥ /	dattam japtam hutam snAtam taTA pUjA kRtA hareH /
   tithau viddhe kṣayaṃ yāti tamaḥ sūryodaye yathā // NarP_2,2.45 //	tiTO vidDe kzayam yAti tamaH sUrya udaye yaTA // NA rP_2,2.45 //
   jīrṇaṃ patiṃ yauvanagarvitā yathā tyajanti nāryo jhaṣaketunārditāḥ /	jIrNam patim yOvana garvitAH yaTA tyajanti nAryaH Jaza ketunA arditAH /
   tathā hi vedhaṃ vibudhāstyajanti tithyantaraṃ dharmavivṛddhaye sadā //	taTA hi veDam vibuDAH tyajanti tiTi antaram Darma vivRdDaye sadA //
   NarP_2,2.46 //	NA rP_2,2.46 //
   śrībṛhannāradīyapuraṇottarabhāge tithivicāro nāma dvitīyo 'dhyāyaḥ	SrI bRhat nAradIya puraNa uttara BAge tiTivicAraH nAma dvitIyaH aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   vistareṇa samākhyā hi viṣṇorārādhanakriyām /	vistareNa samAKyA hi vizNoH ArADana kriyAm /
   yayā toṣaṃ samāyāti pradadāti samīhitam // NarP_2,3.1 //	yayA tozam samAyAti pradadAti samIhitam // NA rP_2,3.1 //
   lakṣmībhartājagannāthohyaśeṣāghaughanāśanaḥ /	lakzmI BartA jagat nATa Uhya Seza aGa oGa nASanaH /
   karmaṇā kena sa prīto bhavedyaḥ sacarācaraḥ // NarP_2,3.2 //	karmaNA kena sa prItaH Bavet yaH sa carAcaraH // NA rP_2,3.2 //
   sautiruvāca	sOtiH uvAca
   bhaktigrāhyo hṛṣīkeśo na dhanairddharaṇīdhara /	Bakti grAhyaH hRzIkeSaH na DanEH dDaraNI Dara /
   bhaktyā saṃpūjito viṣṇuḥ pradadāti manoratham // NarP_2,3.3 //	BaktyA saMpUjitaH vizNuH pradadAti manoraTam // NA rP_2,3.3 //
   tasmādviprāḥ sadā bhaktiḥ karttavyā cakrapāṇinaḥ /	tasmAt viprAH sadA BaktiH karttavyA cakrapANinaH /
   janenāpi jagannāthaḥ pūjitaḥ kleśahā bhavet // NarP_2,3.4 //	janena api jagannATaH pUjitaH kleSa hA Bavet // NA rP_2,3.4 //
   paritoṣaṃ vrajatyāśutṛṣitastu jalairyathā /	paritozam vrajati ASu tRzitaH tu jalEH yaTA /
   atrāpi śrūyate viprā ākhyānaṃ pāpanāśanam // NarP_2,3.5 //	atra api SrUyate viprAH AKyAnam pApa nASanam // NA rP_2,3.5 //
   rukmāṅgadasya saṃvādamṛṣiṇā gautamena hi /	rukma aFgadasya saMvAdam RziNA gOtamena hi /
   āsīdgrukmāṅgado rājā sārvabhaumaḥ kṣamānvitaḥ // NarP_2,3.6 //	AsIt grukma aFgadaH rAjA sArvaBOmaH kzamA anvitaH // NA rP_2,3.6 //
   kṣīraśāyipriyo bhakto harivāsaratatparaḥ /	kzIraSAyi priyaH BaktaH hari vAsara tatparaH /
   nānyaṃ paśyati deveśātpadmanābhānmahīpatiḥ // NarP_2,3.7 //	na anyam paSyati deveSAt padmanABAt mahIpatiH // NA rP_2,3.7 //
   paṭahaṃ vāraṇe dhṛtvā vādayeddhari vāsare /	pawaham vAraNe DRtvA vAdayet hari vAsare /
   aṣṭavarṣādhiko yastu pañcāśītyūnavarṣakaḥ // NarP_2,3.8 //	azwa varza aDikaH yaH tu paQcASIti Una varzakaH // NA rP_2,3.8 //
   bhunakti mānavo hyadya viṣṇorahani mandadhīḥ /	Bunakti mAnavaH hi adya vizNoH ahani manda DIH /
   sa me daṇḍyaścaga vadhyaśca nirvāsyo nagarādbahiḥ // NarP_2,3.9 //	sa me daNxyaH caga vaDyaH ca nirvAsyaH nagarAt bahis // NA rP_2,3.9 //
   pitā ca yadi vā bhrātā putro bhāryā suhṛnmama /	pitA ca yadi vA BrAtA putraH BAryA suhRd mama /
   padmanābhadine bhoktā nigrāhyo dasyuvadbhavet // NarP_2,3.10 //	padmanABa dine BoktA nigrAhyaH dasyu vat Bavet // NA rP_2,3.10 //
   dadaghvaṃma vipramukhyabhyo majjadhvaṃ jāhnavījale /	dadaGvaMma vipra muKi aByaH majjaDvam jAhnavI jale /
   mameda vacanaṃ śṛtvā rājyaṃ bhuñjīta māmakam // NarP_2,3.11 //	mama ida vacanam SRtvA rAjyam BuQjIta mAmakam // NA rP_2,3.11 //
   vāsare vāsare viṣṇoḥ śuklapakṣe mahīpatiḥ /	vAsare vAsare vizNoH Sukla pakze mahIpatiH /
   aśukle tu viśeṣeṇa paṭahe hemasaṃpuṭe // NarP_2,3.12 //	aSukle tu viSezeNa pawahe hema saMpuwe // NA rP_2,3.12 //
   evaṃ praghuṣṭe bhūpena sarvabhūmau dvijottamāḥ /	evam praGuzwe BUpena sarva BUmO dvijottamAH /
   gacchidbhiḥ saṃkulo mārgaḥ kṛto kṛto lokairharerdvijāḥ // NarP_2,3.13 //	gacCidBiH saMkulaH mArgaH kRtaH kRtaH lokEH hareH dvijAH // NA rP_2,3.13 //
   ye kecinnidhanaṃ yānti bhūpālaviṣaye narāḥ /	ye kecid niDanam yAnti BUpAla vizaye narAH /
   jñānātpramādato vāpi te yānti harimandiram // NarP_2,3.14 //	jQAnAt pramAdataH vA api te yAnti hari mandiram // NA rP_2,3.14 //
   avaśyaṃ vaiṣṇavo lokaḥ prāpyate mānavairdvijāḥ /	avaSyam vEzNavaH lokaH prApyate mAnavEH dvijAH /
   vyājenāpi prakurvāṇairdvādaśīṃ pāpanāśinīm // NarP_2,3.15 //	vyAjena api prakurvANEH dvAdaSIm pApa nASinIm // NA rP_2,3.15 //
   so 'śnāti pārthivaṃ pāpaṃ yo 'śnāti harivāsare /	saH aSnAti pArTivam pApam yaH aSnAti hari vAsare /
   sa prāpnoti dharādharmaṃ yo nāśnāti harerdine // NarP_2,3.16 //	sa prApnoti DarA Darmam yaH na aSnAti hareH dine // NA rP_2,3.16 //
