   Stage director	Stage directoH-
   praviśya|ācārya etatkūrmāsanam| āsyatām| pitāmaha etatsiṃhāsanam| āsyatām|	praviSya-|AcAryaH etat-kUrma-Asanam| AsyatAm| pitAmahaH etat-siMhAsanam| AsyatAm|
   mātula	mAtula
   etaccarmāsanam| āsyatām| āryau vaikarṇavarṣadevau āsātāṃ bhavantau| bho	etat-carma-Asanam| Asya-tAm| AryO vEkarNa-varza-devO AsAtAm BavantO| Bo
   bhoḥ	BoH
   sarvakṣatriyāḥ	sarva-kzatriyAH
   svairamāsatāṃ bhavantaḥ| kimiti kimiti| mahārājo nāsta iti| aho	svEram-Asa-tAm BavantaH| kim-iti kim-iti| mahA-rAjaH na-aste iti| aho
   sevādharmaḥ|	sevA-DarmaH|
   nanvayamahamāse|	nanu-ayam-aham-Ase|
   vayasya karṇa tvamapyāssva|	vayasya karNa tvam-api-Assva|
   upaviśya|āryau vaikarṇavarṣadevau ucyatām| asti	upaviSya-|AryO vEkarNa-varza-devO ucya-tAm| asti
   mamaikādaśākṣauhiṇībalasamudayaḥ| asya kaḥ	mama-ekAdaSa-akzOhiNI-bala-samudayaH| asya kaH
   senāpatirbhavitumarhatīti|	senApatiH-Bavitum-arhati-iti|
   kimāhaturbhavantau| atrabhavāngāndhārarājo vakṣyatīti| bhavatu	kim-AhatuH-BavantO| atraBavAn-gAnDAra-rAjaH vakzyati-iti| Bavatu
   mātulenābhidhīyatām|	mAtulena-aBiDIyatAm|
   kimāha mātulaḥ| atrabhavati gāṅgeye sthite ko.anyaḥ	kim-Aha mAtulaH| atraBavati gAFgeye sTite ko.anyaH
   senāpatirbhavitumarhatīti|	senApatiH-Bavitum-arhati-iti|
   samyagāha mātulaḥ|	samyak-Aha mAtulaH|
   bhavatu bhavatu pitāmaha eva bhavatu| vayamapyetadabhilaṣāmaḥ|	Bavatu Bavatu pitAmahaH eva Bavatu| vayam-api-etat-aBilazAmaH|
   senāninādapaṭahasvanaśaṅkhanādai- ścaṇḍānilāhatamahodadhinādakalpaiḥ|	senA-ninAda-pawaha-svana-SaFKa-nAdE ScaNxa-anila-Ahata-mahodaDi-nAda-kalpEH|
   gāṅgeyamūrdhni	gAFgeya-mUrDni
   patitairabhiṣekatoyaiḥ sārdhaṃ patantu hṛdayāni narādhipānām|| 5||	patitEH-aBizeka-toyEH sArDam patantu hRdayAni nara-aDipAnAm|| 5||
   praviśya|	praviSya|
   kāñcukīyaḥ	kAQcukIyaH
   jayatu mahārājaḥ| eṣa khalu pāṇḍavaskandhāvārāddautyenāgataḥ puruṣottamo	jayatu mahA-rAjaH| eza Kalu pANxava-skanDAvArAt-dOtyena-AgataH puruzottamaH-
   nārāyaṇaḥ|	nArAyaNaH|
   duryodhanaḥ	duryoDanaH
   mā tāvat| bho bādarāyaṇa kiṃ kiṃ kaṃsabhṛtyo dāmodarastava puruṣottamaḥ|	mA tAvat| Bo bAdarAyaNa kim kim kaMsa-BRtyaH dAmodaraH-tava puruzottamaH|
   sa	sa
   gopālakastava	gopAlakaH-tava
   puruṣottamaḥ| bārhadrathāpahṛtaviṣayakīrtibhogastava puruṣottamaḥ| aho	puruzottamaH| bArhat-raTa-apahRta-vizaya-kIrti-BogaH-tava puruzottamaH| aho
   pārthivāsannamāśritya	pArTiva-Asannam-ASritya
   bhṛtyajanasya samudācāraḥ| sagarvaṃ khalvasya vacanam| ā apadhvaṃsa|	BRtya-janasya samudAcAraH| sa-garvam Kalu-asya vacanam| A apaDvaMsa|
   kāñcukīyaḥ	kAQcukIyaH
   prasīdatu mahārājaḥ| saṃbhrameṇa samudācāro vismṛtaḥ|pādayoḥ patati|	prasIdatu mahA-rAjaH| saMBrameNa samudAcAraH vismRtaH|pAdayoH patati|
   duryodhanaḥ	duryoDanaH
   saṃbhrama iti| ā manuṣyāṇāmastyeva saṃbhramaḥ| uttiṣṭhotiṣṭha|	saMBramaH iti| A manuzyANAm-asti-eva saMBramaH| uttizWotizWa|
   kāñcukīyaḥ	kAQcukIyaH
   anugṛhīto.asmi|	anugRhItaH-.asmi|
   duryodhanaḥ	duryoDanaH
   idānīṃ prasanno.asmi| ka eṣa dūtaḥ prāptaḥ|	idAnIm prasannaH-.asmi| kaH eza dUtaH prAptaH|
   kāñcukīyaḥ	kAQcukIyaH
   dūtaḥ prāptaḥ keśavaḥ|	dUtaH prAptaH keSavaH|
   duryodhanaḥ	duryoDanaH
   keśava iti| evameṣṭavyam| ayameva samudācāraḥ| bho bho rājānaḥ	keSavaH iti| evam-ezwavyam| ayam-eva samudAcAraH| Bo Bo rAjAnaH
   dautyenāgatasya	dOtyena-Agatasya
   keśavasya kiṃ	keSavasya kim
   yuktam|	yuktam|
   kimāhurbhavantaḥ| arghyapradānena pūjayitavyaḥ keśava iti| na me rocate|	kim-AhuH-BavantaH| arGya-pradAnena pUjayitavyaH keSavaH iti| na me rocate|
   grahaṇamasyātra hitaṃ	grahaNam-asya-atra hitam
   paśyāmi|	paSyAmi|
   grahaṇamupagate tu vāsubhadre hṛtanayanā iva pāṇḍavā bhaveyuḥ|	grahaNam-upagate tu vAsuBadre hRta-nayanAH iva pANxavAH BaveyuH|
   gatimatirahiteṣu	gati-mati-rahitezu
   pāṇḍaveṣu	pANxavezu
   kṣitirakhilāpi bhavenmamāsapatnā|| 6||	kzitiH-aKilA-api Bavet-mama-asapatnA|| 6||
   api ca yo.atra keśavasya pratyutthāsyati sa mayā dvādaśasuvarṇabhāreṇa	api ca yaH-.atra keSavasya pratyutTAsyati sa mayA dvAdaSa-suvarNa-BAreNa
   daṇḍyaḥ|	daNxyaH|
   tadapramattā	tat-apramattA
   bhavantu bhavantaḥ|ātmagatam|ko nu khalvidānīṃ mamāpratyutthānasyopāyaḥ|	Bavantu BavantaH|Atma-gatam|kaH nu Kalu-idAnIm mama-apratyutTAnasya-upAyaH|
   hanta	hanta
   dṛṣṭa	dRzwa
   upāyaḥ|prakāśam|bādarāyaṇa ānīyatāṃ sa citrapaṭo nanu yatra	upAyaH|prakASa-m|bAdarAyaNaH AnIyatAm sa citra-pawaH nanu yatra
   draupadīkeśāmbarāvakarṣaṇamālikhitam|ātmagatam|tasmindṛṣṭivinyāsaṃ	drOpadI-keSa-ambara-avakarzaNam-AliKitam-|Atma-gatam|tasmin-dRzwi-vinyAsam
   kurvannotthāsyāmi	kurvan=-a-utTAsyAmi
   keśavasya|	keSavasya|
   kāñcukīyaḥ	kAQcukIyaH
   yadājñāpayati mahārājaḥ|niṣkramya praviśya|jayatu mahārājaḥ| ayaṃ sa	yat-AjQApayati mahA-rAjaH|nizkramya praviSya|jayatu mahA-rAjaH| ayam sa
   citrapaṭaḥ|	citra-pawaH|
   duryodhanaḥ	duryoDanaH
   mamāgrataḥ prasāraya|	mama-agratas prasAraya|
   kāñcukīyaḥ	kAQcukIyaH
   yadājñāpayati mahārājaḥ|prasārayati|	yat-AjQApayati mahA-rAjaH|prasArayati|
   duryodhanaḥ	duryoDanaH
   aho darśanīyo.ayaṃ citrapaṭaḥ| eṣa duḥśāsano draupadīṃ keśahaste	aho darSanIyaH-.ayam citra-pawaH| eza duHSAsanaH drOpadIm keSa-haste
   gṛhītavān| eṣā	gRhItavAn| ezA
   khalu	Kalu
   draupadī|	drOpadI|
   duḥśāsanaparāmṛṣṭā saṃbhramotphullalocanā| rāhuvaktrāntaragatā	duHSAsana-parAmRzwA saMBrama-utPulla-locanA| rAhu-vaktra-antara-gatA
   candralekheva	candra-leKA-iva
   śobhate|| 7||	SoBate|| 7||
   eṣa durātmā bhīmaḥ sarvarājasamakṣamavamānitāṃ draupadīṃ dṛṣṭvā	eza durAtmA BImaH sarva-rAja-samakzamavamAni-tAm drOpadIm dRzwvA
   pravṛddhāmarṣaḥ	pravRdDa-amarzaH
   sabhāstambhaṃ tulayati| eṣa yudhiṣṭhiraḥ	saBA-stamBam tulayati| eza yuDizWiraH
   satyadharmaghṛṇāyukto dyūtavibhraṣṭacetanaḥ| karotyapāṅgavikṣepaiḥ	satya-Darma-GRNA-yuktaH dyUta-viBrazwa-cetanaH| karoti-apAFga-vikzepEH
   śāntāmarṣaṃ	SAnta-amarzam
   vṛkodaram|| 8||	vRkodaram|| 8||
   eṣa idānīmarjunaḥ|	ezaH idAnIm-arjunaH|
   roṣākulākṣaḥ sphuritādharoṣṭhastṛṇāya matvā ripumaṇḍalaṃ tat|	roza-Akula-akzaH sPurita-aDara-uzWaH-tRNAya matvA ripu-maNxalam tat|
   utsādayiṣyanniva	utsAdayizyan=-iva
   sarvarājñaḥ	sarva-rAjQaH
   śanaiḥ samākarṣati gāṇḍivajyām|| 9||	SanEs samAkarzati gANxiva-jyAm|| 9||
   eṣa yudhiṣṭhiro.arjunaṃ nivārayati| etau nakulasahadevau	eza yuDizWiraH-.arjunam nivArayati| etO nakula-sahadevO
   kṛtaparikarabandhau carmanistriṃśahastau paruṣitamukharāgau	kRta-parikara-banDO carma-nistriMSa-hastO paruzita-muKa-rAgO
   spaṣṭadaṣṭādharoṣṭhau|	spazwa-dazwa-aDara-uzWO|
   vigatamaraṇaśaṅkau satvaraṃ bhrātaraṃ me harimiva mṛgapotau	vigata-maraNa-SaFkO sa-tvaram BrAtaram me harim-iva mRga-potO
   tejasābhiprayātau||	tejasA-aBiprayAtO||
   eṣa yudhiṣṭhiraḥ kumārāvupetya nivārayati|	eza yuDizWiraH kumArO=-upetya nivArayati|
   nīco.ahameva viparītamatiḥ kathaṃ vā roṣaṃ parityajatamadya nayānayajñau|	nIcaH-.aham-eva viparIta-matiH kaTam vA rozam parityajatam-adya nayAnayajQO|
   dyūtādhikāramavamānamamṛṣyamāṇāḥ sattvādhikeṣu vacanīyaparākramāḥ syuḥ||	dyUta-aDikAram-avamAnam-amRzyamANAH sattva-aDikezu vacanIya-parAkramAH syuH||
   iti| eṣa gāndhārarājaḥ	iti| eza gAnDAra-rAjaH
   akṣānkṣipansa kitavaḥ prahasansagarvaṃ saṃkocayanniva mudaṃ dviṣatāṃ	akzAn-kzipan-sa kitavaH prahasan-sa-garvam saMkocayan=-iva mudam dvizatAm
   svakīrtyā| svairāsano	sva-kIrtyA| svEra-AsanaH-
   drupadarājasutāṃ rudantīṃ kākṣeṇa paśyati likhatyapi gāṃ nayajñaḥ|| 12||	drupada-rAja-sutAm rudantIm kAkzeNa paSyati liKati-api gAm naya-jQaH|| 12||
   etāvācāryapitāmahau tāṃ dṛṣṭvā lajjāyamānau paṭāntāntarhitamukhau sthitau|	etO=-AcArya-pitAmahO tAm dRzwvA lajjAyamAnO pawa-anta-antarhita-muKO sTitO|
   aho	aho
   asya	asya
   varṇāḍhyatā| aho bhāvopapannatā| aho yuktalekhatā| suvyaktamālikhito.ayaṃ	varNa-AXya-tA| aho BAva-upapanna-tA| aho yukta-leKatA| su-vyaktam-AliKitaH-.ayam
   citrapaṭaḥ|	citra-pawaH|
   prīto.asmi| ko.atra|	prItaH-.asmi| ko.atra|
   kāñcukīyaḥ	kAQcukIyaH
   jayatu mahārājaḥ|	jayatu mahA-rAjaH|
   duryodhanaḥ	duryoDanaH
   bādarāyaṇa ānīyatāṃ sa vihagavāhanamātravismito dūtaḥ|	bAdarAyaNaH AnIyatAm sa vihaga-vAhana-mAtra-vismitaH dUtaH|
   kāñcukīyaḥ	kAQcukIyaH
   yadājñāpayati mahārājaḥ|	yat-AjQApayati mahA-rAjaH|
   niṣkrāntaḥ| duryodhanaḥ	nizkrAntaH| duryoDanaH
   vayasya karṇa	vayasya karNa
   prāptaḥ kilādya vacanādiha pāṇḍavānāṃ dautyena bhṛtya iva kṛṣṇamatiḥ sa	prAptaH kila-adya vacanAt-iha pANxavAnAm dOtyena BRtyaH iva kRzNa-matiH sa
   kṛṣṇaḥ|	kRzNaH|
   śrotuṃ	Srotum
   sakhe tvamapi sajjaya karṇa karṇau nārīmṛdūni vacanāni yudhiṣṭhirasya||	saKe tvam-api sajjaya karNa karNO nArI-mRdUni vacanAni yuDizWirasya||
   13|| tataḥ	13|| tatas-
   praviśati	praviSati
   vāsudevaḥ kāñcukīyaśca| vāsudevaḥ	vAsudevaH kAQcukIyaH-ca| vAsudevaH
   adya khalu dharmarājavacanāddhanaṃjayākṛtrimamitratayā	adya Kalu DarmarAja-vacanAt-DanaMjaya-akRtrima-mitra-tayA
   cāhavadarpamanuktagrāhiṇaṃ	ca-Ahavadarpam-anukta-grAhiNam
   suyodhanaṃ prati mayāpyanucitadautyasamayo.anuṣṭhitaḥ| atha ca	suyoDanam prati mayA-api-anucita-dOtya-samayaH-.anuzWitaH| aTa ca
   kṛṣṇāparābhavabhuvā ripuvāhinībha- kumbhasthalīdalanatīkṣṇagadādharasya|	kRzNa-aparABava-BuvA ripu-vAhinI-iBa kumBa-sTalI-dalana-tIkzNa-gadA-Darasya|
   bhīmasya	BImasya
   kopaśikhinā yudhi pārthapattri- caṇḍānilaiśca kuruvaṃśavanaṃ vinaṣṭam||	kopa-SiKinA yuDi pArTa-pattri caNxa-anilEH-ca kuru-vaMSa-vanam vinazwam||
   idaṃ suyodhanaśibiram| iha hi	idam suyoDana-Sibiram| iha hi
   āvāsāḥ pārthivānāṃ surapurasadṛśāḥ svacchandavihitā vistīrṇāḥ śastraśālā	AvAsAH pArTivAnAm sura-pura-sadRSAH svacCanda-vihitAH vistIrNAH Sastra-SAlA
   bahuvidhakaraṇaiḥ śastrairupacitāḥ| heṣante mandurāsthāsturagavaraghaṭā	bahuviDa-karaNEH SastrEH-upacitAH| hezante mandura-AsTAH-turaga-vara-GawA
   bṛṃhanti	bRMhanti
   kariṇa	kariNa
   aiśvaryaṃ sphītametatsvajanaparibhavādāsannavilayam|| 15||	ESvaryam sPItam-etat-sva-jana-pariBavAt-Asanna-vilayam|| 15||
   bhoḥ	BoH
   duṣṭavādī guṇadveṣī śaṭhaḥ svajananirdayaḥ| suyodhano hi māṃ dṛṣṭvā naiva	duzwa-vAdI guNa-dvezI SaWaH sva-jana-nirdayaH| suyoDanaH hi mAm dRzwvA na-eva
   kāryaṃ kariṣyati||	kAryam karizyati||
   bho bādarāyaṇa kiṃ praveṣṭavyam|	Bo bAdarAyaNa kim pravezwavyam|
   kāñcukīyaḥ	kAQcukIyaH
   atha kimatha kim| praveṣṭumarhati padmanābhaḥ|	aTa kim-aTa kim| pravezwum-arhati padmanABaH|
   vāsudevaḥ	vAsudevaH
   praviśya| kathaṃ kathaṃ māṃ dṛṣṭvā saṃbhrāntāḥ sarvakṣatriyāḥ| alamalaṃ	praviSya| kaTam kaTam mAm dRzwvA saMBrAntAH sarva-kzatriyAH| alam-alam
   saṃbhrameṇa|	saMBrameNa|
   svairamāsatāṃ bhavantaḥ|	svEra-m-Asa-tAm BavantaH|
   duryodhanaḥ	duryoDanaH
   kathaṃ kathaṃ keśavaṃ dṛṣṭvā saṃbhrāntāḥ sarvakṣatriyāḥ| alamalaṃ	kaTam kaTam keSavam dRzwvA saMBrAntAH sarva-kzatriyAH| alam-alam
   saṃbhrameṇa|	saMBrameNa|
   smaraṇīyaḥ pūrvamāśrāvito daṇḍaḥ| nanvahamājñaptā|	smaraNIyaH pUrvam-ASrAvitaH daNxaH| nanu-aham-AjQaptA|
   vāsudevaḥ	vAsudevaH
   upagamya|bhoḥ suyodhana kimāsse|	upagamya|BoH suyoDana kimAsse|
   duryodhanaḥ	duryoDanaH
   āsanātpatitvātmagatam|suvyaktaṃ prāpta eva keśavaḥ|	AsanAt-patitva-Atma-gatam|su-vyaktam prAptaH eva keSavaH|
   utsāhena matiṃ kṛtvāpyāsīno.asmi samāhitaḥ| keśavasya prabhāvena	utsAhena matim kRtvA-api-AsInaH-.asmi samAhitaH| keSavasya praBAvena
   calito.asmyāsanādaham|| 17||	calitaH-.asmi-AsanAt-aham|| 17||
   aho bahumāyo.ayaṃ dūtaḥ|prakāśam|bho dūta etadāsanamāsyatām|	aho bahu-mAyaH-.ayam dUtaH|-prakASam|BaH dUtaH etat-Asanam-Asya-tAm|
   vāsudevaḥ	vAsudevaH
   ācārya āsyatāṃ| gāṅgeyapramukhā rājānaḥ svairamāsatāṃ bhavantaḥ|	AcAryaH AsyatAM| gAFgeya-pramuKAH rAjAnaH svEramAsatAm BavantaH|
   vayamapyupaviśāmaḥ|upaviśya|aho darśanīyo.ayaṃ citrapaṭaḥ| mā tāvat|	vayam-api-upaviSAmaH|upaviSya-|ahaH darSanIyaH-.ayam citra-pawaH| mA tAvat-|
   draupadīkeśāmbarākarṣaṇamatrālikhitam| aho nu khalu	drOpadI-keSa-ambara-AkarzaNam-atra-AliKitam| aho nu Kalu
   suyodhano.ayaṃ svajanāvamānaṃ parākramaṃ paśyati bāliśatvāt| ko nāma loke	suyoDanaH-.ayam sva-jana-avamAnam parAkramam paSyati bAliSa-tvA-at| kaH nAma loke
   svayamātmadoṣamudghāṭayennaṣṭaghṛṇaḥ sabhāsu|| 18||	svayam-Atma-dozam-udGAwayet-nazwa-GRNaH saBAsu|| 18||
   āḥ apanīyatāmeṣa citrapaṭaḥ|	AH apanIyatAm-eza citra-pawaH|
   duryodhanaḥ	duryoDanaH
   bādarāyaṇa apanīyatāṃ kila citrapaṭaḥ|	bAdarAyaNa apanIyatAm kila citra-pawaH|
   kāñcukīyaḥ	kAQcukIyaH
   yadājñāpayati maharājaḥ|apanayati|	yat-AjQApayati maharAjaH-|apanayati|
   duryodhanaḥ	duryoDanaH
   bho dūta	Bo dUta
   dharmātmajo vāyusutaśca bhīmo bhrātārjuno me tridaśendrasūnuḥ| yamau ca	DarmAtmajaH vAyu-sutaH-ca BImaH BrAtA-arjunaH me tridaSa-indra-sUnuH| yamO ca
   tāvaśvisutau vinītau	tO=-aSvi-sutO vinItO
   sarve sabhṛtyāḥ kuśalopapannāḥ|| 19|| vāsudevaḥ	sarve sa-BRtyAH kuSala-upapannAH|| 19|| vAsudevaH
   sadṛśametadgāndhārīputrasya| atha kimatha kim| kuśalinaḥ sarve| bhavato	sadRSam-etat-gAnDArI-putrasya| aTa kim-aTa kim| kuSalinaH sarve| BavataH-
   rājye	rAjye
   śarīre	SarIre
   bāhyābhyantare ca kuśalamanāmayaṃ ca pṛṣṭvā vijñāpayanti yudhiṣṭhirādayaḥ	bAhya-aByantare ca kuSalam-anAmayam ca pRzwvA vijQApayanti yuDizWira-AdayaH
   pāṇḍavāḥ|	pANxavAH|
   anubhūtaṃ mahadduḥkhaṃ saṃpūrṇaḥ samayaḥ sa ca| asmākamapi dharmyaṃ	anuBUtam mahat-duHKam saMpUrNaH samayaH sa ca| asmAkam-api Darmyam
   yaddāyādyaṃ	yat-dAyAdyam
   tadvibhajyatām|| 20||	tad-viBajya-tAm|| 20||
   iti|	iti|
   duryodhanaḥ	duryoDanaH
   kathaṃ kathaṃ dāyādyamiti| bhoḥ	kaTam kaTam dAyAdyam-iti| BoH
   vane pitṛvyo mṛgayāprasaṃgataḥ kṛtāparādho muniśāpamāptavān|	vane pitRvyaH mRgayA-prasaMgataH kRta-aparADaH muni-SApam-AptavAn-|
   tadāprabhṛtyeva sa	tadA-praBRti-eva sa
   dāraniḥspṛhaḥ parātmajānāṃ pitṛtāṃ kathaṃ vrajet|| 21|| vāsudevaḥ	dAra-niHspRhaH para-AtmajAnAm pitRtAm kaTam vrajet-|| 21|| vAsudevaH
   purāvidaṃ bhavantaṃ pṛcchāmi|	purO=-idam Bavantam pRcCAmi|
   vicitravīryo viṣayī vipattiṃ kṣayeṇa yātaḥ punarambikāyām| vyāsena jāto	vicitravIryaH vizayI vipattim kzayeNa yAtaH punar-ambikAyAm| vyAsena jAtaH-
   dhṛtarāṣṭra eva labheta	DRtarAzwraH eva laBeta
   rājyaṃ janakaḥ kathaṃ te|| 22||	rAjyam janakaH kaTam te|| 22||
   mā mā bhavān|	mA mA BavAn|
   evaṃ parasparavirodhavivardhanena śīghraṃ bhavetkurukulaṃ nṛpa nāmaśeṣam|	evam paraspara-viroDa-vivarDanena SIGram Bavet-kuru-kulam nRpa nAma-Sezam|
   tatkartumarhati	tat-kartum-arhati
   bhavānapakṛtya roṣaṃ yattvāṃ yudhiṣṭhiramukhāḥ praṇayādbruvanti|| 23||	BavAn-apakRtya rozam yat-tvAm yuDizWira-muKAH praNayAt-bruvanti|| 23||
   duryodhanaḥ	duryoDanaH
   bho dūta na jānāti bhavānrājyavyavahāram|	Bo dUta na jAnAti BavAn-rAjya-vyavahAram|
   rājyaṃ nāma nṛpātmajaiḥ sahṛdairjitvā ripūnbhujyate talloke na tu yācyate	rAjyam nAma nRpa-AtmajEH sahRdEH-jitvA ripUn-Bujyate tat-loke na tu yAcyate
   na tu	na tu
   punardīnāya vā	punar-dInAya vA
   dīyate| kāṅkṣā cennṛpatitvamāptumacirātkurvantu te sāhasaṃ svairaṃ vā	dIyate| kAFkzA ced-nRpati-tvam-Aptum-acirAt-kurvantu te sAhasam svEram vA
   praviśantu	praviSantu
   śāntamatibhirjuṣṭaṃ śamāyāśramam|| 24|| vāsudevaḥ	SAnta-matiBiH-juzwam SamAya-ASramam|| 24|| vAsudevaH
   bhoḥ suyodhana alaṃ bandhujane paruṣamabhidhātum|	BoH suyoDana alam banDu-jane paruzam-aBiDAtum|
   puṇyasaṃcayaprāptāmadhigamya nṛpaśriyam| vañcayedyaḥ suhṛdbandhūnsa	puNya-saMcaya-prAptAm-aDigamya nRpa-Sriyam| vaQcayet-yaH suhRd-banDUn-sa
   bhavedviphalaśramaḥ|| 25|| duryodhanaḥ	Bavet-viPala-SramaH|| 25|| duryoDanaH
   bho dūta	Bo dUta
   syālaṃ tava gurorbhūpaṃ kaṃsaṃ na te dayā| kathamasmākamevaṃ syātteṣu	syAlam tava guroH-BUpam kaMsam na te dayA| kaTam-asmAkam-evam syAt-tezu
   nityāpakāriṣu|| 26||	nitya-apakArizu|| 26||
   vāsudevaḥ	vAsudevaH
   alaṃ tanmaddoṣato jñātum|	alam tat-mad-dozataH jQAtum|
   kṛtvā putraviyogārtāṃ bahuśo jananīṃ mama| vṛddhaṃ svapitaraṃ baddhvā	kRtvA putra-viyoga-ArtAm bahuSas jananIm mama| vRdDam sva-pitaram badDvA
   hato.ayaṃ	hataH-.ayam
   mṛtyunā	mRtyunA
