   (Dhs, Vaidya 329)	(Dhs, VEdyaH 329)
   cakṣurvijñānaśrotravijñānaghrāṇavijñānajihvāvijñānakāyavijñānamanovijñānaghātavaśceti	cakzuH vijQAna Srotra vijQAna GrANa vijQAna jihvA vijQAna kAya vijQAna manaH vijQAna GAtavaH ca iti
   26. tatraikādaśa rūpaskandhāḥ // cakṣuḥ, śrotram, ghrāṇam, jihvā, kāyaḥ,	26. tatra ekAdaSa rUpa skanDAH // cakzuH, Srotram, GrANam, jihvA, kAyaH,
   rūpam, śabdaḥ, gandhaḥ, rasaḥ, sparśaḥ vijñaptiśceti //	rUpam, SabdaH, ganDaH, rasaH, sparSaH vijQaptiH ca iti //
   27. vedanā trividhā / sukhāḥ, duḥkhā, aduḥkhāsukhā ceti //	27. vedanA triviDA / suKAH, duHKA, aduHKa asuKA ca iti //
   28. saṃjñāskandhaḥ / nimittodgahaṇātmikā //	28. saMjQA skanDaH / nimitta udgahaNa AtmikAH //
   29. saṃskārā dvividhāḥ / tatra cittasaṃprayuktasaṃskārāḥ,	29. saMskArAH dviviDAH / tatra citta saMprayukta saMskArAH,
   cittaviprayuktasaṃskārāśceti //	citta viprayukta saMskArAH ca iti //
   30. cittasaṃprayuktasaṃskārāścatvāriṃśat / tadyathā   vedanā, saṃjñā,	30. citta saMprayukta saMskArAH catvAriMSat / tat yaTA  vedanA, saMjQA,
   cetanā, chandaḥ, sparśaḥ, matiḥ, smṛtiḥ, manaskāraḥ, adhimokṣaḥ, samādhiḥ,	cetanA, CandaH, sparSaH, matiH, smRtiH, manaskAraH, aDimokzaH, samADiH,
   śraddhā, apramādaḥ, prasrabdhiḥ, upekṣā, hrīḥ, apatrapā, alobhaḥ, adveṣaḥ,	SradDA, apramAdaH, prasrabDiH, upekzA, hrIH, apatrapA, aloBaH, advezaH,
   ahiṃsā, vīryam, mohaḥ, pramādaḥ, kausīdyam, aśrāddhyam, styānam,	ahiMsA, vIryam, mohaH, pramAdaH, kOsIdyam, aSrAdDyam, styAnam,
   auddhatyam, ahrīkatā, anapatrapā, krodhaḥ, upanāhaḥ, śāṭhyam, īrṣyā,	OdDatyam, ahrIka tA, anapatrapA, kroDaH, upanAhaH, SAWyam, IrzyA,
   pradānaḥ, mrakṣaḥ, mātsaryam, māyā, madaḥ, vihiṃsā, vitarkaḥ, vicāraśceti	pradAnaH, mrakzaH, mAtsaryam, mAyA, madaH, vihiMsA, vitarkaH, vicAraH ca iti
   31. tatra cittaviprayuktasaṃskārāsrayodaśa / prāptiḥ, aprāptiḥ, sabhāgatā,	31. tatra citta viprayukta saMskAra asrayodaSa / prAptiH, aprAptiH, saBA gatA,
   asaṃjñikam, samāptiḥ, jīvitam, jātiḥ, jarā, sthitiḥ, anityatā, nāmakāyaḥ,	asaMjQikam, samAptiH, jIvitam, jAtiH, jarA, sTitiH, anitya tA, nAma kAyaH,
   padakāyaḥ, vyañjanakāyaśceti //	padakAyaH, vyaQjana kAyaH ca iti //
   32. trīṇyasaṃskṛtāni / tadyathā   ākāśaḥ, pratisaṃkhyānirodhaḥ,	32. trINi asaMskRtAni / tat yaTA  AkASaH, pratisaMKyA niroDaH,
   apratisaṃkhyānirodhaśceti //	apratisaMKyA niroDaH ca iti //
   33. ṣaḍ viṣayāḥ / tadyathā   rūpam, śabdaḥ, gandhaḥ, rasaḥ, sparśaḥ,	33. zaw vizayAH / tat yaTA  rUpam, SabdaH, ganDaH, rasaH, sparSaH,
   dharmaśceti //	DarmaH ca iti //
   (Dhs, Vaidya 331)	(Dhs, VEdyaH 331)
   34. tatra rūpaṃ viṣayasvabhāvam / nīlam, pītam, lohitam, avadātam,	34. tatra rUpam vizaya svaBAvam / nIlam, pItam, lohitam, avadAtam,
   haritam, dīrgham, hrasvam, parimaṇḍalam, unnatam, avanatam, sātam,	haritam, dIrGam, hrasvam, parimaNxalam, unnatam, avanatam, sAtam,
   visātam, accham, dhūmaḥ, rajaḥ, mahikā, chāyā, ātapaḥ, ālokaḥ,	visAtam, acCam, DUmaH, rajaH, mahikA, CAyA, AtapaH, AlokaH,
   andhakāraśceti //	anDakAraH ca iti //
   35. aṣṭāviṃśatividhaḥ śabdaḥ / sapta puruṣavākśabdāḥ, sapta	35. azwAviMSativiDaH SabdaH / sapta puruza vAc SabdAH, sapta
   puruṣahastādiśabdāḥ / eta eva(manojñā)manojñabhedenāṣṭāviṃśatiḥ //	puruza hasta Adi SabdAH / ete eva( manojQA)manojQa Bedena azwAviMSatiH //
   36. rasaḥ ṣaḍvidhaḥ / tadyathā   madhuraḥ, amlaḥ, lavaṇaḥ, kaṭuḥ, tiktaḥ,	36. rasaH zaxviDaH / tat yaTA  maDuraH, amlaH, lavaNaH, kawuH, tiktaH,
   kaṣāyaśceti //	kazAyaH ca iti //
   37. catvāro gandhāḥ / tadyathā   sugandhaḥ, durgandhaḥ, samagandhaḥ,	37. catvAraH ganDAH / tat yaTA  suganDaH, durganDaH, sama ganDaH,
   viṣamagandhaśceti //	vizama ganDaH ca iti //
   38. ekādaśa spraṣṭavyāni / pṛthvī, āpaḥ, tejaḥ, vāyuḥ, ślakṣṇatvam,	38. ekAdaSa sprazwavyAni / pRTvI, ApaH, tejaH, vAyuH, SlakzNa tvam,
   karkaśatvam, laghutvam, gurutvam, śītam, jighatsā pipāsā ceti //	karkaSa tvam, laGu tvam, guru tvam, SItam, jiGatsA pipAsA ca iti //
   39. pañca mahābhūtāni / pṛthvī, āpaḥ, tejaḥ, vāyuḥ, ākāśceti //	39. paQca mahABUtAni / pRTvI, ApaH, tejaH, vAyuH, AkAH ca iti //
   40. pañca bhautikāni / rūpam, śabdaḥ, gandhaḥ, rasaḥ, sparśaśceti //	40. paQca BOtikAni / rUpam, SabdaH, ganDaH, rasaH, sparSaH ca iti //
   41. viṃśatiḥ śūnyatāḥ / tadyathā   adhyātmaśūnyatā, bahirdhāśūnyatā,	41. viMSatiH SUnyatAH / tat yaTA  aDyAtma SUnyatA, bahirDA SUnyatA,
   adhyātmabahirdhāśūnyatā, śūnyatāśūnyatā, mahāśūnyatā, paramārthaśūnyatā,	aDyAtma bahirDA SUnyatA, SUnyatA SUnyatA, mahA SUnyatA, parama arTa SUnyatA,
   saṃskṛtaśūnyatā, asaṃskṛtaśūnyatā, atyantaśūnyatā, anavarāgraśūnyatā,	saMskRta SUnyatA, asaMskRta SUnyatA, atyanta SUnyatA, anavara agra SUnyatA,
   anavakāraśūnyatā, prakṛtiśūnyatā, sarvadharmaśūnyatā, lakṣaṇaśūnyatā,	anavakAra SUnyatA, prakRti SUnyatA, sarva Darma SUnyatA, lakzaNa SUnyatA,
   alakṣaṇaśūnyatā, bhāvaśūnyatā, abhāvaśūnyatā, svabhāvaśūnyatā,	alakzaNa SUnyatA, BAva SUnyatA, aBAva SUnyatA, svaBAva SUnyatA,
   abhāvasvabhāvaśūnyatā, parabhāvaśūnyatā ceti //	aBAva svaBAva SUnyatA, para BAva SUnyatA ca iti //
   42. dvādaśāṅgapratītyasamutpādaḥ / avidyā, saṃskārāḥ, vijñānam, nāmarūpam,	42. dvAdaSa aFga pratItyasamutpAdaH / avidyA, saMskArAH, vijQAnam, nAma rUpam,
   ṣaḍāyatanam, sparśaḥ, vedanā, tṛṣṇā, upādānam, bhavaḥ, jātiḥ, jarāmaraṇam,	zaz Ayatanam, sparSaH, vedanA, tRzNA, upAdAnam, BavaH, jAtiH, jarA maraNam,
   śokaparidevaduḥkhadaurmanasyopāyāsāśceti //	Soka parideva duHKa dOrmanasya upAyAsAH ca iti //
   43. saptatriṃśadbodhipākṣikā dharmāḥ / catvāri smṛtyupasthānāni // 4 //	43. saptatriMSat boDi pAkzikAH DarmAH / catvAri smRti upasTAnAni // 4 //
   catvāri samyakprahāṇāni // 8 // catvāra ṛddhipādāḥ // 12 // pañcendriyāṇi	catvAri samyak prahANAni // 8 // catvAraH RdDi pAdAH // 12 // paQca indriyANi
   // 17 // pañca balāni // 22 // sapta bodhyaṅgāni // 29 //	// 17 // paQca balAni // 22 // sapta boDi aFgAni // 29 //
   āryāṣṭāṅgikamārgaśceti // 37 //	Arya azwa AFgika mArgaH ca iti // 37 //
   44. tatra katamāni smṛtyupasthānāni? tadyathā   kāye	44. tatra katamAni smRti upasTAnAni? tat yaTA  kAye
   kāyānudarśasmṛtyupasthānam, vedanāyāṃ vedanānudarśasmṛtyupasthānam, citte	kAya anudarSa smRti upasTAnam, vedanAyAm vedanA anudarSa smRti upasTAnam, citte
   cittānudarśasmṛtyupasthānam, dharme dharmānudarśasmṛtyupasthānam //	citta anudarSa smRti upasTAnam, Darme Darma anudarSa smRti upasTAnam //
   45. katamāni catvāri samyakprahāṇāni? tadyathā   utpannānāṃ kuśalamūlānāṃ	45. katamAni catvAri samyak prahANa ani? tat yaTA  utpannAnAm kuSala mUlAnAm
   saṃrakṣaṇam / anutpannānāṃ samutpādaḥ / utpannānāmakuśalānāṃ dharmāṇāṃ	saMrakzaNam / anutpannAnAm samutpAdaH / utpannAnAm akuSalAnAm DarmANAm
   prahāṇam / anutpannānāṃ punaranutpādaśceti //	prahANam / anutpannAnAm punar anutpAdaH ca iti //
   46. catvāraḥ ṛddhipādāḥ / tadyathā   chandasamādhiprahāṇāya	46. catvAraH RdDi pAdAH / tat yaTA  Canda samADi prahANAya
   saṃskārasamanvāgata ṛddhipādaḥ / evaṃ cittaṛddhipādaḥ / vīryaṛddhipādaḥ /	saMskAra samanvAgataH RdDipAdaH / evam citta RdDi pAdaH / vIrya RdDipAdaH /
   mīmāṃsāsamādhiprahāṇāya saṃskārasamanvāgataṛddhipādaśceti //	mImAMsA samADi prahANAya saMskAra samanvAgata RdDipAdaH ca iti //
   (Dhs, Vaidya 332)	(Dhs, VEdyaH 332)
   47. pañcendriyāṇi / tadyathā   śraddhāsamādhivīryasmṛtiprajñendriyaṃ ceti	47. paQca indriyANi / tat yaTA  SradDA samADi vIrya smRti prajQA indriyam ca iti
   48. pañca balāni / śraddhāvīryasmṛtisamādhiprajñābalaṃ ceti //	48. paQca balAni / SradDA vIrya smRti samADi prajQA balam ca iti //
   49. sapta bodhyaṅgāni / tadyathā   smṛtisaṃbodhyaṅgam,	49. sapta boDi aFgAni / tat yaTA  smRti saMboDi aFgam,
   dharmavicayasaṃbodhyaṅgam, vīryasaṃbodhyaṅgam, prītisaṃbodhyaṅgam,	Darma vicaya saMboDi aFgam, vIrya saMboDi aFgam, prIti saMboDi aFgam,
   prasrabdhisaṃbodhyaṅgam, samādhisaṃbodhyaṅgam, upekṣāsaṃbodhyaṅgamiti //	prasrabDi saMboDi aFgam, samADi saMboDi aFgam, upekzA saMboDi aFgam iti //
   50. āryāṣṭāṅgikamārgaḥ // samyagdṛṣṭiḥ, samyaksaṃkalpaḥ, samyagvāk,	50. Arya azwAFgika mArgaH // samyak dRzwiH, samyak saMkalpaH, samyak vAc ,
   samyakkarmāntaḥ, samyagvyāyāmaḥ, samyaksmṛtiḥ, samyaksamādhiśceti / ete	samyak karmAntaH, samyak vyAyAmaH, samyak smRtiH, samyak samADiH ca iti / ete
   saptatriṃśabdodhipākṣikā dharmāḥ //	saptatriMSabdoDi pAkzikAH DarmAH //
   51. catasraḥ pratisaṃvidaḥ / tadyathā   dharmapratisaṃvit,	51. catasraH pratisaMvidaH / tat yaTA  Darma pratisaMvit,
   arthapratisaṃvit, niruktipratisaṃvit, pratibhānapratisaṃvicceti //	arTa pratisaMvit, nirukti pratisaMvit, pratiBAna pratisaMvid ca iti //
   52. catasro dhāraṇyaḥ / tadyathā   ātmadhāraṇī, granthadhāraṇī,	52. catasraH DAraNyaH / tat yaTA  Atma DAraNI, granTa DAraNI,
   dharmadhāraṇī, mantradhāraṇī ceti //	DarmaDAraNI, mantra DAraNI ca iti //
   53. catvāri pratiśaraṇāni / tadyathā   arthapratiśaraṇatā na	53. catvAri pratiSaraNAni / tat yaTA  arTa pratiSaraNa tA na
   vyañjanapratiśaraṇatā / jñānapratiśaraṇatā na vijñānapratiśaraṇatā /	vyaQjana pratiSaraNa tA / jQAna pratiSaraNa tA na vijQAna pratiSaraNa tA /
   nītārthapratiśaraṇatā na neyārthapratiśaraṇatā / dharmapratiśaraṇatā na	nIta arTa pratiSaraNa tA na neya arTa pratiSaraNa tA / Darma pratiSaraNa tA na
   pudgalapratiśaraṇatā ceti //	pudgala pratiSaraNa tA ca iti //
   54. ṣaḍanusmṛtayaḥ / buddhānusmṛtiḥ, dharmānusmṛtiḥ, saṃghānusmṛtiḥ,	54. zaz anusmRtayaH / budDa anusmRtiH, Darma anusmRtiH, saMGa anusmRtiH,
   tyāgānusmṛtiḥ, śīlānusmṛtiḥ, devānusmṛtiśceti //	tyAga anusmRtiH, SIla anusmRtiH, deva anusmRtiH ca iti //
   55. catvāri dharmapadāni / tadyathā   anityāḥ sarvasaṃskārāḥ / duḥkhāḥ	55. catvAri Darma padAni / tat yaTA  anityAH sarva saMskArAH / duHKAH
   sarvasaṃskārāḥ / nirātmānaḥ sarvasaṃskārāḥ / śāntaṃ nirvāṇaṃ ceti //	sarva saMskArAH / nirAtmAnaH sarva saMskArAH / SAntam nirvANam ca iti //
   56. daśākuśalāni / tadyathā   prāṇātipātaḥ, adattādānam, kāmamithyācāraḥ,	56. daSa akuSalAni / tat yaTA  prANa atipAtaH, adatta AdAnam, kAma miTyA AcAraH,
   mṛṣāvādaḥ, paiśunyam, pāruṣyam, saṃbhinnapralāpaḥ, abhidhyā, vyāpādaḥ,	mRzAvAdaH, pESunyam, pAruzyam, saMBinna pralApaH, aBiDyA, vyApAdaH,
   mithyādṛṣṭiśceti //	miTyAdRzwiH ca iti //
   57. gatayaḥ ṣaṭ / tadyathā   narakaḥ, tiryak, pretaḥ, asuraḥ, manuṣyaḥ,	57. gatayaH zaw / tat yaTA  narakaH, tiryak, pretaH, asuraH, manuzyaH,
   devaśceti //	devaH ca iti //
   58. ṣaḍ dhātavaḥ / pṛthvī, āpaḥ, tejaḥ, vāyuḥ, ākāśaḥ, vijñānaṃ ceti //	58. zaw DAtavaH / pRTvI, ApaH, tejaH, vAyuH, AkASaH, vijQAnam ca iti //
   59. aṣṭau vimokṣāḥ / tadyathā   rūpī rūpāṇī paśyati śūnyam /	59. azwO vimokzAH / tat yaTA  rUpI rUpANI paSyati SUnyam /
   ādhyātmārūpasaṃjñī bahirdhārūpāṇi paśyati śūnyam / ākāśānantyāyatanaṃ	ADyAtmA rUpa saMjQI bahirDA rUpANi paSyati SUnyam / AkASAnantya Ayatanam
   paśyati śūnyam / vijñānānantyāyatanaṃ paśyati śūnyam / ākiṃcanyāyatanaṃ	paSyati SUnyam / vijQAna Ananti Ayatanam paSyati SUnyam / AkiMcanya Ayatanam
   paśyati śūnyam / naivasaṃjñānāsaṃjñāyatanaṃ paśyati śūnyam /	paSyati SUnyam / na eva saMjQAna asaMjQA yatanam paSyati SUnyam /
   saṃjñāvedayitanirodhaṃ paśyati śūnyaṃ ceti //	saMjQA vedayita niroDam paSyati SUnyam ca iti //
   60. pañcānantaryāṇi / tadyathā   mātṛvadhaḥ, pitṛvadhaḥ arhadvadhaḥ,	60. paQca AnantaryANi / tat yaTA  mAtR vaDaH, pitR vaDaH arhat vaDaH,
   tathāgataduṣṭacittarudhirotpādaḥ, saṃghabhedaśceti //	taTAgata duzwa citta ruDira utpAdaH, saMGa BedaH ca iti //
   61. aṣṭau lokadharmāḥ // lābhaḥ, alābhaḥ, sukham, duḥkham, yaśaḥ, ayaśaḥ,	61. azwO loka DarmAH // lABaH, alABaH, suKam, duHKam, yaSaH, ayaSaH,
   nindā, praśaṃsā ceti //	nindA, praSaMsA ca iti //
   62. navāṅgapravacanāni / tadyathā   sūtram, geyam, vyākaraṇam, gāthā,	62. nava aFga pravacanAni / tat yaTA  sUtram, geyam, vyAkaraNam, gATA,
   udānam, jātakam, vaipulyam, adbhutadharmaḥ, upadeśaśceti //	udAnam, jAtakam, vEpulyam, adButa DarmaH, upadeSaH ca iti //
   (Dhs, Vaidya 333)	(Dhs, VEdyaH 333)
   63. dvādaśa dhūtaguṇāḥ / paiṇḍapātikaḥ, traicīvarikaḥ,	63. dvAdaSa DUta guNAH / pENxapAtikaH, trEcIvarikaH,
   khalupaścādbhaktikaḥ, naiṣadyikaḥ, yathāsaṃstarikaḥ, vṛkṣamūlikaḥ,	Kalu paScAt BaktikaH, nEzadyikaH, yaTA AsaM= tarikaH, vRkzamUlikaH,
   ekāsanikaḥ, ābhyavakāśikaḥ, āraṇyakaḥ, śmāśānikaḥ, pāṃśūkūlikaḥ,	eka AsanikaH, AByavakASikaH, AraNyakaH, SmASAnikaH, pAMSUkUlikaH,
   nāmantikaśceti //	nAmantikaH ca iti //
   64. daśa bhūmayaḥ / pramuditā, vimalā, prabhākarī, arciṣmatī, sudurjayā,	64. daSa BUmayaH / pramuditA, vimalA, praBAkarI, arcizmatI, su durjayA,
   abhimukhī, dūraṃgamā, acalā, sādhumatī, dharmameghā ceti //	aBimuKI, dUraMgamA, acalA, sADumatI, Darma meGA ca iti //
   65. samantaprabhā, nirupamā, jñānavatī / etāḥ sahitāsrayodaśa bhūmayaḥ //	65. samanta praBA, nirupamA, jQAnavatI / etAH sahita asrayodaSa BUmayaH //
   66. pañca cakṣūṃṣī / māṃsacakṣuḥ, dharmacakṣuḥ, prajñācakṣuḥ, divyacakṣuḥ,	66. paQca cakzUMzI / mAMsacakzuH, Darma cakzuH, prajQAcakzuH, divya cakzuH,
   buddhacakṣuśceti //	budDacakzuH ca iti //
   67. ṣaṭ kleśāḥ / rāgaḥ, pratighaḥ, mānaḥ, avidyā, kudṛṣṭiḥ, vicikitsā ceti	67. zaw kleSAH / rAgaH, pratiGaH, mAnaH, avidyA, kudRzwiH, vicikitsA ca iti
   68. pañca dṛṣṭayaḥ / satkāyadṛṣṭiḥ, antagrāhadṛṣṭiḥ, mithyādṛṣṭiḥ,	68. paQca dRzwayaH / sat kAya dRzwiH, anta grAha dRzwiH, miTyAdRzwiH,
   dṛṣṭiparāmarśaḥ, śīlaparāmarśaḥ //	dRzwi parAmarSaH, SIla parAmarSaH //
   69. catuviṃśatirupakleśāḥ / tadyathā   krodhaḥ, upanāhaḥ, mrakṣaḥ,	69. catuviMSatiH upakleSAH / tat yaTA  kroDaH, upanAhaH, mrakzaH,
   pradāśaḥ, īrṣyāḥ, mātsaryam, śāṭhyam, māyā, madaḥ, vihiṃsā, hrīḥ,	pradASaH, IrzyAH, mAtsaryam, SAWyam, mAyA, madaH, vihiMsA, hrIH,
   anapatrapā, styānam, aśrāddhyam, kausīdyam, pramādaḥ, muṣitasmṛtiḥ,	anapatrapA, styAnam, aSrAdDyam, kOsIdyam, pramAdaH, muzita smRtiH,
   vikṣepaḥ, asaṃprajanyam, kaukṛtyam, middham, vitarkaḥ, vicāraśceti //	vikzepaH, asaMprajanyam, kOkRtyam, midDam, vitarkaH, vicAraH ca iti //
   70. pañcāhārāḥ / dhyānāhārāḥ, kavalīkārāhārāḥ, pratyāhārāḥ, sparśāhārāḥ,	70. paQca AhArAH / DyAna AhArAH, kavalIkAra AhArAH, pratyAhArAH, sparSa AhArAH,
   saṃcetanikāhārāśceti //	saMcetanikA AhArAH ca iti //
   71. pañca bhayāni / ājīvikābhayam, śokabhayam, maraṇabhayam,	71. paQca BayAni / AjIvika aBayam, Soka Bayam, maraNa Bayam,
   durgatibhayam, parṣadasādyabhayaṃ ceti //	durgati Bayam, parzada sa Adi aBayam ca iti //
   72. catvāri dhyānāni / tadyathā   savitarkaṃ savicāraṃ vivekajaṃ	72. catvAri DyAnAni / tat yaTA  sa vitarkam sa vicAram viveka jam
   prītisukhamiti prathamadhyānam / adhyātmapramodanātprītisukhamiti dvitīyam	prIti suKam iti praTama DyAnam / aDyAtma pramodanAt prIti suKam iti dvitIyam
   / upekṣāsmṛtisaṃprajanyaṃ sukhamiti tṛtīyam /	/ upekzA smRti saMprajanyam suKam iti tRtIyam /
   upekṣāsmṛtipariśuddhiraduḥkhāsukhā vedaneti caturthaṃ dhyānamiti //	upekzA smRti pariSudDiH aduHKa asuKA vedanA iti caturTam DyAnam iti //
   73. trayo vimokṣāḥ / śūnyatā, animittaḥ, apraṇihitaśceti //	73. trayaH vimokzAH / SUnyatA, animittaH, apraNihitaH ca iti //
   74. bodhisattvānāṃ daśa vaśitāḥ / āyurvaśitā, cittavaśitā,	74. boDisattvAnAm daSa vaSitAH / AyuH vaSitA, citta vaSitA,
