   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   1.26ab: sā caikā vyāpinī sūkṣmā niṣkalā jagato nidhiḥ	1.26ab: sA ca-ekA vyApinI sUkzmA nizkalA jagataH niDiH
   1.26cd: anādyantāśiveśānī vyayahīnā ca kathyate	1.26cd: anAdi-anta-aSiva-ISAnI vyaya-hInA ca kaTyate
   1.27ab: asūta sā kalātattvaṃ yad yogād abhavat pumān	1.27ab: asUta sA kalA-tattvam yat yogAt aBavat pumAn
   1.27cd: jātakartṛtvasāmarthyo vidyārāgau tato 'sṛjat	1.27cd: jAta-kartR-tva-sAmarTyaH vidyA-rAgO tatas asRjat-
   1.28ab: vidyā vivecayaty asya karma tatkāryakāraṇe	1.28ab: vidyA vivecayati asya karma tad-kArya-kAraNe
   1.28cd: rāgo 'nurañjayaty enaṃ svabhogeṣv aśuciṣv api	1.28cd: rAgaH anuraQjayati enam sva-Bogezu aSucizu api
   1.29ab: niyatir yojayaty enaṃ svake karmaṇi pudgalam	1.29ab: niyatiH yojayati enam svake karmaNi pudgalam
   1.29cd: kālo 'pi kalayaty enaṃ tuṭyādibhir avasthitaḥ	1.29cd: kAlaH api kalayati enam tuwi-AdiBiH avasTitaH
   1.30ab: tata eva kalātattvād avyaktam asṛjat tataḥ	1.30ab: tatas eva kalA-tattvAt avyaktam asRjat tatas-
   1.30cd: guṇān aṣṭaguṇāṃ tebhyo dhiyaṃ dhīto 'py ahaṅkṛtim	1.30cd: guNAn azwaguNAm teByaH Diyam DItaH api ahaFkRtim
   1.31ab: tat tridhā taijasāt tasmān mano 'kṣeśam ajāyata	1.31ab: tat triDA tEjasAt tasmAt manaH akzeSam ajAyata
   1.31cd: vaikārikāt tato 'kṣāṇi tanmātrāṇi tṛtīyakāt	1.31cd: vEkArikAt tatas akzANi tanmAtrANi tRtIyakAt-
   1.32ab: śrotraṃ tvakcakṣuṣī jihvā ghrāṇaṃ buddhīndriyāṇi tu	1.32ab: Srotram tvac-cakzuzI jihvA GrANam budDIndriyANi tu
   1.32cd: karmendriyāṇi vākpāṇipāyūpasthāṅghrayaḥ kramāt	1.32cd: karmendriyANi vAc-pANi-pAyu-upasTa-aFGrayaH kramAt-
   1.33ab: kalādikṣitiparyantam etat saṃsāramaṇḍalam	1.33ab: kalA-Adi-kziti-paryantam etat saMsAra-maNxalam
   1.33cd: samudrādi jagat kṛtsnaṃ parivartayatīcchayā	1.33cd: samudra-Adi jagat kRtsnam parivartayati-icCayA
   1.34ab: bhedaḥ paraḥ kalādīnāṃ bhuvanatvena yaḥ sthitaḥ	1.34ab: BedaH paraH kalA-AdInAm Buvana-tvena yaH sTitaH
   1.34cd: asṛjat tam asāv eva bhogināṃ bhogasiddhaye	1.34cd: asRjat tam asO eva BoginAm Boga-sidDaye
   1.35ab: ity anena kalādyena dharāntena samanvitāḥ	1.35ab: iti anena kalA-Adyena DarA-antena samanvitAH
   1.35cd: pumāṃsaḥ sakalā jñeyās tadavasthājighāṃsubhiḥ	1.35cd: pumAMsaH sakalAH jQeyAH tad-avasTA-jiGAMsuBiH
   1.36ab: avasthātritaye 'py asmiṃs tirobhāvanaśīlayā	1.36ab: avasTA-tritaye api asmin tiroBAvana-SIlayA
   1.36cd: śivaśaktyā samākrāntāḥ prakurvanti viceṣṭitam	1.36cd: Siva-SaktyA samAkrAntAH prakurvanti vicezwitam
   1.37ab: evaṃ jagati sarvatra rudrāṇāṃ yogyatāvaśāt	1.37ab: evam jagati sarvatra rudrANAm yogyatA-vaSAt
   1.37cd: aṅguṣṭhamātrapūrvāṇāṃ śatam aṣṭādaśottaram	1.37cd: aFguzWa-mAtra-pUrvANAm Satam azwAdaSa-uttaram
   1.38ab: anugṛhya śivaḥ sākṣān mantreśatve niyuktavān	1.38ab: anugRhya SivaH sAkzAt mantreSa-tve niyuktavAn
   1.38cd: te svagocaram āsādya bhuktimuktiphalārthinām	1.38cd: te sva-gocaram AsAdya Bukti-mukti-Pala-arTinAm
   1.39ab: brahmādīnāṃ prayacchanti svabalena samaṃ phalam	1.39ab: brahma-AdInAm prayacCanti sva-balena samam Palam
   1.39cd: ṛṣibhyas te 'pi te cānu manvantebhyo mahādhipāḥ	1.39cd: RziByaH te api te ca-anu manvanteByaH mahA-aDipAH
   1.40ab: heyopādeyavijñānaṃ kathayanti śivoditam	1.40ab: heya-upAdeya-vijQAnam kaTayanti Siva-uditam
   1.40cd: brahmādistambaparyante jātamātre jagaty alam	1.40cd: brahma-Adi-stamba-paryante jAta-mAtre jagati alam
   1.41ab: mantrāṇāṃ koṭayas tisraḥ sārdhāḥ śivaniyojitāḥ	1.41ab: mantrANAm kowayaH tisraH sArDAH Siva-niyojitAH
   1.41cd: anugṛhyāṇusaṃghātaṃ yātāḥ padam anāmayam	1.41cd: anugRhya-aNu-saMGAtam yAtAH padam anAmayam
   1.42ab: evam asyātmanaḥ kāle kasmiṃś cid yogyatāvaśāt	1.42ab: evam asya-AtmanaH kAle kasmin cit yogyatA-vaSAt
   1.42cd: śaivī saṃbadhyate śaktiḥ śāntā muktiphalapradā	1.42cd: SEvI saMbaDyate SaktiH SAntA mukti-Pala-pradA
   1.43ab: tatsaṃbandhāt tataḥ kaś cit tatkṣaṇād apavṛjyate	1.43ab: tad-saMbanDAt tatas kaH cit tad-kzaNAt apavRjyate
   1.43cd: ajñānena sahaikatvaṃ kasya cid vinivartate	1.43cd: ajQAnena saha-ekatvam kasya cit vinivartate
   1.44ab: rudraśaktisamāviṣṭaḥ sa yiyāsuḥ śivecchayā	1.44ab: rudra-Sakti-samAvizwaH sa yiyAsuH Siva-icCayA
   1.44cd: bhuktimuktiprasiddhyarthaṃ nīyate sadguruṃ prati	1.44cd: Bukti-mukti-prasidDi-arTam nIyate sat-gurum prati
   1.45ab: tam ārādhya tatas tuṣṭād dīkṣām āsādya śāṅkarīm	1.45ab: tam ArADya tatas tuzwAt dIkzAm AsAdya SAFkarIm
   1.45cd: tatkṣaṇād vopabhogād vā dehapāte śivaṃ vrajet	1.45cd: tad-kzaNAt vA-upaBogAt vA dehapAte Sivam vrajet-
   1.46ab: yogadīkṣāṃ samāsādya jñātvā yogaṃ samabhyaset	1.46ab: yoga-dIkzAm samAsAdya jQAtvA yogam samaByaset-
   1.46cd: yogasiddhim avāpnoti tadante śāśvataṃ padam	1.46cd: yoga-sidDim avApnoti tad-ante SASvatam padam
   1.47ab: anena kramayogena saṃprāptaḥ paramaṃ padam	1.47ab: anena krama-yogena saMprAptaH paramam padam
   1.47cd: na bhūyaḥ paśutām eti śuddhe svātmani tiṣṭhati	1.47cd: na BUyas paSu-tAm eti SudDe sva-Atmani tizWati
   1.48ab: ātmā caturvidho hy eṣa punar eṣa caturvidhaḥ	1.48ab: AtmA caturviDaH hi eza punar eza caturviDaH
   1.48cd: ācāryatvādibhedena śuddhātmā paripaṭhyate	1.48cd: AcArya-tva-Adi-Bedena SudDa-AtmA paripaWyate
   1.49ab: nityāditritayaṃ kuryād guruḥ sādhaka eva ca	1.49ab: nitya-Adi-tritayam kuryAt guruH sADakaH eva ca
   1.49cd: nityam eva dvayaṃ cānyo yāvajjīvaṃ śivājñayā	1.49cd: nityam eva dvayam ca-anyaH yAvajjIvam Siva-AjQayA
   1.50ab: upādeyaṃ ca heyaṃ ca tad etat parikīrtitam	1.50ab: upAdeyam ca heyam ca tat etat parikIrtitam
   1.50cd: jñātvaitaj jñeyasarvasvaṃ sarvasiddhyaraho bhavet	1.50cd: jQAtvA-etat jQeya-sarvasvam sarva-sidDi-arahaH Bavet-
   iti śrīmālinīvijayottare tantre prathamo 'dhikāraḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre praTamaH aDikAraH samAptaH
   vyāptyadhikāro dvitīyaḥ	vyApti-aDikAraH dvitIyaH
   2.1ab: athaiṣām eva tattvānāṃ dharādīnām anukramāt	2.1ab: aTa-ezAm eva tattvAnAm DarA-AdInAm anukramAt-
   2.1cd: prapañcaḥ kathyate leśād yogināṃ yogasiddhaye	2.1cd: prapaQcaH kaTyate leSAt yoginAm yoga-sidDaye
   2.2ab: śaktimacchaktibhedena dharātattvaṃ vibhidyate	2.2ab: Saktimat-Sakti-Bedena DarA-tattvam viBidyate
   2.2cd: svarūpasahitaṃ tac ca vijñeyaṃ daśapañcadhā	2.2cd: svarUpa-sahitam tat ca vijQeyam daSa-paQcaDA
   2.3ab: śivādisakalātmāntāḥ śaktimantaḥ prakīrtitāḥ	2.3ab: Siva-Adi-sakala-Atma-antAH SaktimantaH prakIrtitAH
   2.3cd: tacchaktayaś ca vijñeyās tadvad eva vicakṣaṇaiḥ	2.3cd: tad-SaktayaH ca vijQeyAH tadvat eva vicakzaNEH
   2.4ab: evaṃ jalādimūlāntaṃ tattvavrātam idaṃ mahat	2.4ab: evam jala-Adi-mUla-antam tattva-vrAtam idam mahat-
   2.4cd: pṛthag bhedair imair bhinnaṃ vijñeyaṃ tatphalepsubhiḥ	2.4cd: pRTak BedEH imEH Binnam vijQeyam tad-Pala-IpsuBiH
   2.5ab: anenaiva vidhānena puṃstattvāt tu kalāntikam	2.5ab: anena-eva viDAnena puMstattvAt tu kalA-antikam
   2.5cd: trayodaśavidhaṃ jñeyaṃ rudravat pralayākalaḥ	2.5cd: trayodaSaviDam jQeyam rudra-vat pralayAkalaH
   2.6ab: tadvan māyāpi vijñeyā navadhā jñānakevalaḥ	2.6ab: tadvat mAyA-api vijQeyA navaDA jQAna-kevalaH
   2.6cd: mantrāḥ saptavidhās tadvat pañcadhā mantranāyakāḥ	2.6cd: mantrAH saptaviDAH tadvat paQcaDA mantra-nAyakAH
   2.7ab: tridhā mantreśvareśānāḥ śivaḥ sākṣān na bhidyate	2.7ab: triDA mantreSvara-ISAnAH SivaH sAkzAt na Bidyate
   2.7cd: bhedaḥ prakathito leśād ananto vistarād ayam	2.7cd: BedaH prakaTitaH leSAt anantaH vistarAt ayam
   2.8ab: evaṃ bhuvanamālāpi bhinnā bhedair imaiḥ sphuṭam	2.8ab: evam Buvana-mAlA-api BinnA BedEH imEH sPuwam
   2.8cd: vijñeyā yogasiddhyarthaṃ yogibhir yogapūjitā	2.8cd: vijQeyA yoga-sidDi-arTam yogiBiH yoga-pUjitA
   2.9ab: eteṣām eva tattvānāṃ bhuvanānāṃ ca śāṅkari	2.9ab: etezAm eva tattvAnAm BuvanAnAm ca SAFkari
   2.9cd: ya ekam api jānāti so 'pi yogaphalaṃ labhet	2.9cd: yaH ekam api jAnAti saH api yoga-Palam laBet-
   2.10ab: yaḥ punaḥ sarvatattvāni vetty etāni yathārthataḥ	2.10ab: yaH punar sarva-tattvAni vetti etAni yaTArTataH
   2.10cd: sa gurur matsamaḥ prokto mantravīryaprakāśakaḥ	2.10cd: sa guruH mad-samaH proktaH mantra-vIrya-prakASakaH
   2.11ab: dṛṣṭāḥ saṃbhāṣitās tena spṛṣṭāś ca prītacetasā	2.11ab: dRzwAH saMBAzitAH tena spRzwAH ca prIta-cetasA
   2.11cd: narāḥ pāpaiḥ pramucyante saptajanmakṛtair api	2.11cd: narAH pApEH pramucyante sapta-janma-kRtEH api
   2.12ab: ye punar dīkṣitās tena prāṇinaḥ śivacoditāḥ	2.12ab: ye punar dIkzitAH tena prANinaH Siva-coditAH
   2.12cd: te yatheṣṭaṃ phalaṃ prāpya gacchanti paramaṃ padam	2.12cd: te yaTezwam Palam prApya gacCanti paramam padam
   2.13ab: rudraśaktisamāveśas tatra nityaṃ pratiṣṭhitaḥ	2.13ab: rudra-Sakti-samAveSaH tatra nityam pratizWitaH
   2.13cd: sati tasmiṃś ca cihnāni tasyaitāni vilakṣayet	2.13cd: sati tasmin ca cihnAni tasya-etAni vilakzayet-
   2.14ab: tatraitat prathamaṃ cihnaṃ rudre bhaktiḥ suniścalā	2.14ab: tatra-etat praTamam cihnam rudre BaktiH su-niScalA
   2.14cd: dvitīyaṃ mantrasiddhiḥ syāt sadyaḥpratyayakārikā	2.14cd: dvitIyam mantra-sidDiH syAt sadyas-pratyaya-kArikA
   2.15ab: sarvasattvavaśitvaṃ ca tṛtīyaṃ lakṣaṇaṃ smṛtam	2.15ab: sarva-sattva-vaSi-tvam ca tRtIyam lakzaNam smRtam
   2.15cd: prārabdhakāryaniṣpattiś cihnam āhuś caturthakam	2.15cd: prArabDa-kArya-nizpattiH cihnam AhuH caturTakam
   2.16ab: kavitvaṃ pañcamaṃ proktaṃ sālaṃkāraṃ manoharam	2.16ab: kavi-tvam paQcamam proktam sa-alaMkAram manoharam
   2.16cd: sarvaśāstrārthavettṛtvam akasmāc cāsya jāyate	2.16cd: sarva-SAstra-arTa-vettR-tvam akasmAt ca-asya jAyate
   2.17ab: rudraśaktisamāveśaḥ pañcadhā paripaṭhyate	2.17ab: rudra-Sakti-samAveSaH paQcaDA paripaWyate
   2.17cd: bhūtatattvātmamantreśaśaktibhedād varānane	2.17cd: BUta-tattva-Atma-mantreSa-Sakti-BedAt varAnane
   2.18ab: pañcadhā bhūtasaṃjñas tu tathā triṃśatidhā paraḥ	2.18ab: paQcaDA BUtasaMjQaH tu taTA triMSatiDA paraH
   2.18cd: ātmākhyas trividhaḥ prokto daśadhā mantrasaṃjñakaḥ	2.18cd: Atma-AKyaH triviDaH proktaH daSaDA mantra-saMjQakaH
   2.19ab: dvividhaḥ śaktisaṃjño 'pi jñātavyaḥ paramārthataḥ	2.19ab: dviviDaH Sakti-saMjQaH api jQAtavyaH paramArTataH
   2.19cd: pañcāśadbhedabhinno 'yaṃ samāveśaḥ prakīrtitaḥ	2.19cd: paQcASat-Beda-BinnaH ayam samAveSaH prakIrtitaH
   2.20ab: āṇavo 'yaṃ samākhyātaḥ śākto 'py evaṃvidhaḥ smṛtaḥ	2.20ab: ANavaH ayam samAKyAtaH SAktaH api evaMviDaH smRtaH
   2.20cd: evaṃ śāmbhavam apy ebhir bhedair bhinnaṃ vilakṣayet	2.20cd: evam SAmBavam api eBiH BedEH Binnam vilakzayet-
   2.21ab: uccārakaraṇadhyānavarṇasthānaprakalpanaiḥ	2.21ab: uccAra-karaNa-DyAna-varNa-sTAna-prakalpanEH
   2.21cd: yo bhavet sa samāveśaḥ samyag āṇava ucyate	2.21cd: yaH Bavet sa samAveSaH samyak ANavaH ucyate
   2.22ab: uccārarahitaṃ vastu cetasaiva vicintayan	2.22ab: uccAra-rahitam vastu cetasA-eva vicintayan
   2.22cd: yam āveśam avāpnoti śāktaḥ so 'trābhidhīyate	2.22cd: yam AveSam avApnoti SAktaH saH atra-aBiDIyate
   2.23ab: akiṃciccintakasyaiva guruṇā pratibodhataḥ	2.23ab: akiMcid-cintakasya-eva guruNA pratiboDataH
   2.23cd: jāyate yaḥ samāveśaḥ śāmbhavo 'sāv udīritaḥ	2.23cd: jAyate yaH samAveSaH SAmBavaH asO udIritaH
   2.24ab: sārdham etac chataṃ proktaṃ bhedānām anupūrvaśaḥ	2.24ab: sArDam etat Satam proktam BedAnAm anupUrvaSas-
   2.24cd: saṃkṣepād vistarād asya parisaṃkhyā na vidyate	2.24cd: saMkzepAt vistarAt asya parisaMKyA na vidyate
   2.25ab: saṃvittiphalabhedo 'tra na prakalpyo manīṣibhiḥ	2.25ab: saMvitti-Pala-BedaH atra na prakalpyaH manIziBiH
   2.25cd: bhedo 'paro 'pi saṃkṣepāt kathyamāno 'vadhāryatām	2.25cd: BedaH aparaH api saMkzepAt kaTyamAnaH avaDAryatAm
   2.26ab: jāgratsvapnādibhedena sarvāveśakramo budhaiḥ	2.26ab: jAgrat-svapna-Adi-Bedena sarva-AveSa-kramaH buDEH
   2.26cd: pañcabhinnaḥ parijñeyaḥ svavyāpārāt pṛthak pṛthak	2.26cd: paQca-BinnaH parijQeyaH sva-vyApArAt pRTak pRTak-
   2.27ab: tatra svarūpaṃ śaktiś ca sakalaś ceti tattrayam	2.27ab: tatra svarUpam SaktiH ca sakalaH ca-iti tat-trayam
   2.27cd: iti jāgradavastheyaṃ bhede pañcadaśātmake	2.27cd: iti jAgrat-avasTeyam Bede paQcadaSa-Atmake
   2.28ab: akalau dvau parijñeyau samyak svapnasuṣuptayoḥ	2.28ab: akalO dvO parijQeyO samyak svapna-suzuptayoH
   2.28cd: mantrāditatpatīśānavargas turya iti smṛtaḥ	2.28cd: mantra-Adi-tad-pati-ISAna-vargaH turyaH iti smRtaH
   2.29ab: śaktiśaṃbhū parijñeyau turyātīte varānane	2.29ab: Sakti-SaMBU parijQeyO turyAtIte varAnane
   2.29cd: trayodaśātmake bhede svarūpam akalāv ubhau	2.29cd: trayodaSa-Atmake Bede sva-rUpam akalO uBO
   2.30ab: mantramantreśvareśānāḥ śaktiśaṃbhū ca kīrtitau	2.30ab: mantra-mantreSvara-ISAnAH Sakti-SaMBU ca kIrtitO
   2.30cd: pralayākalabhede 'pi svaṃ vijñānakalāv ubhau	2.30cd: pralayAkala-Bede api svam vijQAna-kalO uBO
   2.31ab: mantramantreśvareśānāḥ śaktīśāv api pūrvavat	2.31ab: mantra-mantreSvara-ISAnAH Sakti-ISO api pUrvavat-
   2.31cd: navadhā kīrtite bhede svaṃ mantrā mantranāyakāḥ	2.31cd: navaDA kIrtite Bede svam mantrAH mantra-nAyakAH
   2.32ab: tadīśāḥ śaktiśaṃbhū ca pañcāvasthāḥ prakīrtitāḥ	2.32ab: tad-ISAH Sakti-SaMBU ca paQca-avasTAH prakIrtitAH
   2.32cd: pūrvavat saptabhede 'pi svaṃ mantreśeśaśaktayaḥ	2.32cd: pUrvavat sapta-Bede api svam mantreSa-ISa-SaktayaH
   2.33ab: śivaś ceti parijñeyāḥ pañcaiva varavarṇini	2.33ab: SivaH ca-iti parijQeyAH paQca-eva varavarNini
   2.33cd: svaṃ śaktiḥ sanijeśānā śaktiśaṃbhū ca pañcake	2.33cd: svam SaktiH sa-nija-ISAnA Sakti-SaMBU ca paQcake
   2.34ab: trike svaśaktiśaktīcchāśivapadaṃ vilakṣayet	2.34ab: trike sva-Sakti-Sakti-icCA-Siva-padam vilakzayet-
   2.34cd: svavyāpārādhipatvena taddhīnaprerakatvataḥ	2.34cd: sva-vyApAra-aDipatvena tad-hIna-preraka-tvataH
   2.35ab: icchānivṛtteḥ svasthatvād abhinnam api pañcadhā	2.35ab: icCA-nivRtteH svasTa-tvAt aBinnam api paQcaDA
   2.35cd: iti pañcātmake bhede vijñeyaṃ vastu kīrtitam	2.35cd: iti paQca-Atmake Bede vijQeyam vastu kIrtitam
   2.36ab: bhūyo 'py āsām avasthānāṃ saṃjñābhedaḥ prakāśyate	2.36ab: BUyas api AsAm avasTAnAm saMjQA-BedaH prakASyate
   2.36cd: piṇḍasthaḥ sarvatobhadro jāgrannāmadvayaṃ matam	2.36cd: piNxa-sTaH sarvatoBadraH jAgrat-nAma-dvayam matam
   2.37ab: dvisaṃjñaṃ svapnam icchanti padasthaṃ vyāptir ity api	2.37ab: dvi-saMjQam svapnam icCanti pada-sTam vyAptiH iti api
   2.37cd: rūpasthaṃ tu mahāvyāptiḥ suṣuptasyāpi taddvayam	2.37cd: rUpa-sTam tu mahAvyAptiH suzuptasya-api tad-dvayam
   2.38ab: pracayaṃ rūpātītaṃ ca samyak turyam udāhṛtam	2.38ab: pracayam rUpa-atItam ca samyak turyam udAhRtam
   2.38cd: mahāpracayam icchanti turyātītaṃ vicakṣaṇāḥ	2.38cd: mahA-pracayam icCanti turyAtItam vicakzaNAH
   2.39ab: pṛthak tattvaprabhedena bhedo 'yaṃ samudāhṛtaḥ	2.39ab: pRTak tattva-praBedena BedaH ayam samudAhRtaH
   2.39cd: sarvāṇi eva tattvāni pañcaitāni yathā śṛṇu	2.39cd: sarvANi eva tattvAni paQca-etAni yaTA SRNu
   2.40ab: bhūtatattvābhidhānānāṃ yo 'ṃśo 'dhiṣṭheya iṣyate	2.40ab: BUta-tattva-aBiDAnAnAm yaH aMSaH aDizWeyaH izyate
   2.40cd: piṇḍastham iti taṃ prāhuḥ padastham aparaṃ viduḥ	2.40cd: piNxa-sTam iti tam prAhuH pada-sTam aparam viduH
   2.41ab: mantrās tatpatayaḥ seśā rūpastham iti kīrtyate	2.41ab: mantrAH tad-patayaH sa-ISA rUpa-sTam iti kIrtyate
