   Apohasiddhiḥ /	Apoha sidDiH /
   bhedaprāpteḥ; na hi svarūpabhedādaparo vastubhedaḥ / na ca	Beda prApteH; na hi svarUpa BedAt aparaH vastu BedaH / na ca
   pratibhāsabhedādapara svarūpabhedaḥ; anyathā trailokyamekameva vastu syāt	pratiBAsa BedAt apara svarUpa BedaH; anyaTA trElokyam ekam eva vastu syAt 
   / dūrāsannadeśavarttinoḥ puruṣayoḥ ekatra śākhini	/ dUra Asanna deSa varttinoH puruzayoH ekatra SAKini
   spaṣṭāspaṣṭapratibhāsabhedepi na śākhibheda iti cet? na brūmaḥ	spazwa aspazwa pratiBAsa Bedepi na SAKi BedaH iti cet? na brUmaH
   pratibhāsabhedobhinnavastu niyataḥ / kintu , ekaviṣayatvābhāvaniyata iti /	pratiBAsa BedaH Binna vastu niyataH / kintu , eka vizaya tva aBAva niyate iti /
   tato yatrārthakriyābhedādisacivaḥ pratibhāsabhedaḥ tatra vastubhedaḥ,	tatas yatra arTa kriyA Beda Adi sacivaH pratiBAsa BedaH tatra vastu BedaH,
   ghaṭavat / anyatra punarnniyame naikaviṣayatāṃ pariharatītyekapratibhāso	Gawa vat / anyatra punar nniyame na eka vizaya tAm pariharati iti eka pratiBAsaH 
   bhrāntaḥ /	BrAntaH /
   etena yadāha vācaspatiḥ; na ca śabdapratyakṣayovvastugocaratve	etena yat Aha vAcaspatiH; na ca Sabda pratyakzayovvastu gocara tve
   pratyayābhedaḥ kāraṇabhedena pārokṣyāpārokṣyabhedopapatteriti /	pratyaya aBedaH kAraNa Bedena pArokzya apArokzya Beda upapatteH iti /
   tannopayogi / parokṣapratyayasya vastugocaratvāsamarthanāt /	tat na upayogi / parokza pratyayasya vastu gocara tva asam arTanAt /
   parokṣatāśrayastu kāraṇabheda indriyagocaragrahaṇaviraheṇaiva kṛtārthaḥ /	parokzata ASrayaH tu kAraNa BedaH indriya gocara grahaNa viraheNa eva kRtArTaH /
   tanna śābde pratyaye svalakṣaṇam parisphurati kiñca svalakṣaṇātmani	tat na SAbde pratyaye sva lakzaNam parisPurati kiQca sva lakzaNa Atmani
   vastuni vācye sarvvātmanā pratipatteḥ, vidhiniṣedhayorayogaḥ / tasya hi	vastuni vAcye sarvu AtmanA pratipatteH, viDi nizeDayoH ayogaH / tasya hi
   sadbhāvestīti vyartha, nāstītyasamartham; asadbhāve nāstīti vyarthamastī	sadBAvesti iti vyarTa, na asti iti asamarTam; asadBAve na asti iti vyarTam astI
   tyasamartham / asti cāstyādipadaprayogaḥ / tasmāt śabdapratibhāsasya	tyasamarTam / asti ca asti Adi pada prayogaH / tasmAt Sabda pratiBAsasya
   vāhyārthabhāvābhāvasādhāraṇyaṃ na tadviṣayatāṃ kṣamate /	vAhya arTa BAva aBAva sADAraNyam na tat vizaya tAm kzamate /
   yacca vācaspatinā jātimabdyaktivācyatāṃ svavācaiva prastu tyānanantarameva	yat ca vAcaspatinA jAtim abdyakti vAcya tAm sva vAcA eva prastu tyAn anantaram eva
   na ca śabdārthasya jāterbhāvābhāvasādhāraṇyaṃ nopapadyate; sā hi svarūpato	na ca Sabda arTasya jAteH BAva aBAva sADAraNyam na upapadyate; sA hi svarUpataH 
   nityāpi deśakālaviprakīrṇānekavyaktyāśrayatayā	nityA api deSa kAla viprakIrNa aneka vyakti ASraya tayA
   bhāvābhāvasādhāraṇībhavannastinā stisambandhayogyā;	BAva aBAva sADAraNI Bavat nastinA stisambanDa yogyA;
   varttamānavyaktisambandhitā hi jāterastitā; atītānāgatavyaktisambandhitā	varttamAna vyakti sambanDitA hi jAteH astitA; atIta anAgata vyakti sambanDi tA
   ca nāstiteti	ca na astitA iti
   sandigdhavyatirekitvādanaikāntikambhāvābhāvasādhāraṇyamanyathāsiḍvaṃ veti	sandigDa vyatireki tvAt anEkAnti kamBAva aBAva sADAraNyam anyaTA asixvam vA iti
   vilapitaṃ / tāvanna prakṛtakṣatiḥ / jātau bharaṃ nyasyatā	vilapitam / tAvat na prakRta kzatiH / jAtO Baram nyasyatA
   svalakṣaṇāvācyatvasya svayaṃ svīkārāt / kiñca sarvvatra padārthasya	sva lakzaNa avAcya tvasya svayam svIkArAt / kiQca sarvu atra padArTasya
   svalakṣaṇasvarūpeṇaivāstitvādikaṃ cintyate / jātestu	sva lakzaNa svarUpeNa eva astitva Adikam cintyate / jAteH tu
   varttamānādivyaktisambandho stitvādikamiti tu bālapratāraṇam / evaṃ	varttamAna Adi vyakti sambanDo stitvA Adikam iti tu bAla pratAraNam / evam
   jātimavdhyaktivacane 'pi doṣaḥ; vyakteścet pratītisiddhiḥ, jātiradhikā	jAti mavDyakti vacane api dozaH; vyakteH ced pratIti sidDiH, jAtiH aDikA
   pratīyatām, mā vā, na tu vyaktipratītidoṣanmuktiḥ / ete na yaducyate	pratIyatAm, mA vA, na tu vyakti pratIti dozat muktiH / ete na yat ucyate
   kaumārilaiḥ / sabhāgatvādeva vastuno na sādhāraṇyadoṣaḥ / vṛkṣatvaṃ	kOmArilEH / saBAga tvAt eva vastunaH na sADAraNya dozaH / vRkza tvam
   hyanirdvāritabhāvābhāvaṃ śabdādavagamyate / tayoranyatareṇa	hi anirdvArita BAva aBAvam SabdAt avagamyate / tayoH anyatareNa
   śabdāntarāvagatena sambadhyata iti / tadapyasaṅgatam; sāmānyasya nityasya	Sabda antara avagatena sambaDyate iti / tat api asaFgatam; sAmAnyasya nityasya
   pratipattāvanirdvāritabhāvābhāvatvāyogāt / yacceḍhaṃ na ca pratyakṣasyeva	pratipattO= aniH dvArita BAva aBAva tva ayogAt / yat ceXam na ca pratyakzasya iva
   śabdānāṃ arthapratyāyanaprakāro yena taddṛṣṭa ivāstyādiśabdāpekṣā na syāt;	SabdAnAm arTa pratyAyana prakAraH yena tat dRzwaH iva asti Adi Sabda apekzAH na syAt ;
   vicitraśaktitvāt pramāṇānāmiti	vicitra Sakti tvAt pramANAnAm iti
   tadapyaindriyakaśābdapratibhāsayorekasvarūpagrāhitve bhinnāvabhāsadūṣaṇena	tat api Endriya kaSAbda pratiBAsayoH eka svarUpa grAhi tve Binna avaBAsa dUzaNena
   dūṣitam vicitraśaktitvañca pramāṇānāṃ sākṣātkārādhyavasāyābhyāmapi	dUzitam vicitra Sakti tvaQca pramANAnAm sAkzAtkAra aDyavasAyAByAm api
   caritārtham /	caritArTam /
   tato yadi pratyakṣārthapratipādanaṃ śābdena tadvadevāvabhāsaḥ syāt;	tatas yadi pratyakza arTa pratipAdanam SAbdena tadvat eva avaBAsaH syAt ;
   abhavaṃśca na tadviṣayakhyāpanaṃ kṣamate / nanu vṛkṣaśabdena vṛkṣatvāṃśe	aBavan= ca na tad vizaya KyApanam kzamate / nanu vRkza Sabdena vRkza tva aMSe
   codite sattvādyaṃśaniścayanārthamastyādipadaprayoga iti cet? niraṃśatvena	codite sattva Adi aMSa niScayana arTam asti Adi pada prayogaH iti cet? niraMSa tvena
   pratyakṣasamadhigatasya svalakṣaṇasya ko 'vakāśaḥ padāntareṇa;	pratyakza samaDigatasya sva lakzaNasya kaH avakASaH pada antareNa;
   dharmmāntaravidhiniṣedhayoḥ pramāṇāntareṇa vā / pratyakṣe 'pi	Darmma antara viDi nizeDayoH pramANa antareNa vA / pratyakze api
   pramāṇāntarāpekṣā dṛṣṭe ti cet? bhavatu tasyāniścayātmatvāt	pramANa antara apekzA dRzwe ti cet? Bavatu tasya aniScaya Atma tvAt 
   anabhyastasvarūpaviṣaye; vikalpastu svayanniścayātmako yatra grāhī tatra	anaByasta svarUpa vizaye; vikalpaH tu svayat niScaya AtmakaH yatra grAhI tatra
   kimapareṇa? asti ca śabdaliṅgāntarāpekṣā tato na vastu svarūpagrahaḥ /	kim apareNa? asti ca Sabda liFga antara apekzA tatas na vastu svarUpa grahaH /
   nanu bhinnā jātyādayo dharmmāḥ parasparaṃ dharmmiṇaśceti	nanu BinnAH jAti AdayaH DarmmAH parasparam DarmmiNaH ca iti
   jātilakṣaṇaikadharmmadvāreṇa pratītepi śākhini dharmmāntaravattayā na	jAti lakzaNa eka Darmma dvAreNa pratItepi SAKini Darmma antaravat tayA na
   pratītiriti kinna bhinnā bhidhānādhī no dharmāntarasya	pratItiH iti kinna BinnA BiDAna aDI naH Darma antarasya
   nīlacaloccaistaratvāderavavodhaḥ / tadetadasaṅgatam; akhaṇḍātmanaḥ	nIla cala uccEstara tvAt eH avavoDaH / tat etat asaFgatam; aKaNxa AtmanaH
   svalakṣaṇasya pratyakṣe pratibhāsāt / dṛśyasya dharmmadharmmibhedasya	sva lakzaNasya pratyakze pratiBAsAt / dRSyasya Darmma Darmmi Bedasya
   pratyakṣapratikṣiptatvā danyathā sarvvaṃ sarvvatra syādityatiprasaṅgaḥ /	pratyakza pratikzipta tvA danyaTA sarvvam sarvu atra syAt iti atiprasaFgaH /
   kālpanikabhedāśrayastu dharmmadharmmivyavahāra iti prasādhitam śāstre;	kAlpanika Beda ASrayaH tu Darmma Darmmi vyavahAraH iti prasADitam SAstre;
   bhavatu vā paramārthiko dharmmadharmmibhedaḥ / tathāpyanayoḥ samavāyāde	Bavatu vA paramArTikaH Darmma Darmmi BedaH / taTA api anayoH samavAya Ade
   rdūṣitatvādupakāralakṣaṇaiva pratyāsattireṣitavyā / evañca	rdUzita tvAt upakAra lakzaNA eva pratyAsattiH ezitavyAH / evaQca
   yathendriyapratyāsattyā pratyakṣeṇa dharmmipratipattau	yaTA indriya pratyAsattyA pratyakzeNa Darmmi pratipattO
   sakalataddvarmmapratipattiḥ / tathā śabdaliṅgābhyāmapi vācyavācakādi	sakala tad dvarmma pratipattiH / taTA Sabda liFgAByAm api vAcya vAcaka Adi
   sambandhapratibaddhābhyāṃ dharmmipratipattau niravaśeṣataḍvarmmapratipatti	sambanDa pratibadDAByAm Darmmi pratipattO niravaSeza taxvarmma pratipatti
   rbhavet; pratyāsattimātrasyāviśeṣāt /	rBavet; pratyAsatti mAtrasya aviSezAt /
   yacca vācaspatiḥ; nacaikopādhinā sattve viśiṣṭe tasmin gṛhīte; upādhyanta	yat ca vAcaspatiH; naca eka upADinA sattve viSizwe tasmin gRhIte; upADyanta
   raviśiṣṭatabgdrahaḥ / svabhāvoṃ hi dravyasya upādhibhirvviśiṣyate /	ravi Sizwatabj drahaH / svaBAvom hi dravyasya upADiBiH vviSizyate /
   natūpādhayo vā viśeṣyatvaṃ vā tasya svabhāva iti / tadapi plavata eva /	natu upADayaH vA viSezya tvam vA tasya svaBAvaH iti / tat api plavate eva /
   nahyabhedādupādhyantaragrahaṇañcamāsañji tam / bhedaṃ	na hi aBedAt upADi antara graha NaQcama asaQji tam / Bedam
   puraskṛtyaivopakārakagrahaṇe upakāryyagrahaṇaprasañjanāt / na	puraskRtya eva upakAraka grahaNe upakAryya grahaNa prasaQjanAt / na
   cāgnidhūmayoḥ kāryyakāraṇabhāva iva svabhāvata eva dharmmadharmmiṇoḥ	ca agni DUmayoH kAryya kAraNa BAvaH iva svaBAvataH eva Darmma DarmmiNoH
   pratiniyamakalpanamucitam / tayorapi pramāṇāsiddha tvāt / pramāṇasiddhe ca	pratiniyama kalpanam ucitam / tayoH api pramANa asidDa tvAt / pramANa sidDe ca
   svabhāvopavarṇanamiti nyāyaḥ //	svaBAva upavarNanam iti nyAyaH //
   yaccātra nyāyabhūṣaṇena sūryyādigrahaṇe tadupakāryyāśeṣa	yat ca atra nyAya BUzaNena sUryyAdi grahaNe tad upakAryya aSeza
   vasturāśigrahaṇaprasañjanamuktam; tadabhiprāyānavagāhana phalam tathā hi	vasturASi grahaNa prasaQjanam uktam; tad aBiprAyAn avagAhana Palam taTA hi
   tvanmate dharmmadharmmiṇorbhedaḥ upakāralakṣaṇaiva ca pratyāsattiḥ /	tvad mate Darmma DarmmiNoH BedaH upakAra lakzaNA eva ca pratyAsattiH /
   tadopakārakagrahaṇe samānadeśasyaiva dharmmarūpasyaiva copakāryyasya	tadA upakAraka grahaNe samAna deSasya eva Darmma rUpasya eva ca upakAryyasya
   grahaṇamāsañjitam / tat kathaṃ sūryyo pakāryyasya bhinnadeśasya	grahaNam Asan jitam / tat kaTam sUryyaH pakAryyasya Binna deSasya
