   || śrīḥ ||	|| SrIH ||
   ādeśam anugantum" iti | sa evaṃ gṛhasthadharmam apahāya putradārādikaṃ ca,	AdeSam anugantum" iti | saH evam gRhasTa-Darmam apahAya putra-dAra-Adikam ca,
   pravrajito bhagavataḥ kila kapilācāryasya yoginaḥ prāṇāḥ(?) śiṣyo babhūva	pravrajitaH BagavataH kila kapila-AcAryasya yoginaH prANAH(?) SizyaH baBUva
   tatra yadi kaścid evaṃ brūyāt --- kuto 'sya jijñāsā samutpannā yayāsau	tatra yadi kaScid evam brUyAt -- kutas asya jijQAsA samutpannA yayA-asO
   gurukulam abhigata iti | tatrāyaṃ prativādaḥ | duḥkhatrayābhighātāj	guru-kulam aBigataH iti | tatra-ayam prativAdaH | duHKa-traya-aBiGAta-aj
   jijñāsā samutpannā | kam iha paraṃ, kiṃ yāthātmyaṃ, kiṃ niḥśreyasaṃ, kiṃ	jijQAsA samutpannA | kam iha paran, kim yATAtmyan, kim niHSreyasaM, kim
   kṛtvā kṛtārthaḥ syām iti matvāsau gurukulam abhigata iti | tathā hi ---	kRtvA kRtArTaH syAm iti matvA-asO guru-kulam aBigataH iti | taTA hi ---
   "tat tapaḥ sa japaḥ sā dhīs taj jñānaṃ sā ca vaiduṣī /	"tat tapaH sa japaH sA DIH tat jQAnam sA ca vEduzI /
   yato naiva nipātaḥ syād antaḥsaṃsārasāgaram" //	yatas na-eva nipAtaH syAt antar-saMsAra-sAgaram" //
   iti śravaṇāt |	iti SravaNAt |
   kiñ ca ---	kiQ ca ---
   ihopapattir mama kena karmaṇā kva ca prayātavyam ito bhavād iti /	iha-upapattiH mama kena karmaNA kva ca prayAtavyam itas BavAt iti /
   vicāraṇā yasya na jāyate kṣitau kathaṃ sa dharmapravaṇo bhaviṣyati //	vicAraNA yasya na jAyate kzitO kaTam sa Darma-pravaNaH Bavizyati //
   tasmāt samīcīnam idaṃ yad asyetijijñāsā samudapādi |	tasmAt samIcInam idam yat asya-iti-jijQAsA samudapAdi |
   kiṃ punas tad duḥkhatrayaṃ, tad āha --- ādhyātmikam, ādhibhautikam,	kim punar tat duHKa-trayan, tat Aha -- ADyAtmikam, ADiBOtikam,
   ādhidaivikam | tatra prathamaṃ dvividhaṃ, śārīraṃ mānasaṃ ca | tatra	ADidEvikam | tatra praTamam dviviDaM, SArIram mAnasam ca | tatra
   śārīraṃ vātapittaśleṣmaṇāṃ dehadhātūnāṃ vaiṣamyād yad duḥkham ātmānaṃ	SArIram vAta-pitta-SlezmaNAm deha-DAtUnAm vEzamyAt yat duHKam AtmAnam
   deham adhikṛtya jvarātīsārādi pravartate | mānasaṃ priyaviyogād	deham aDikRtya jvara-atIsAra-Adi pravartate | mAnasam priya-viyogAt-
   apriyasaṃyogāc ca dvividham | etad ādhyātmikaṃ duḥkham abhihitam |	apriya-saMyogAt ca dviviDam | etat ADyAtmikam duHKam aBihitam |
   ādhibhautikaṃ tu bhūtāny adhikṛtya yat pravartate	ADiBOtikam tu BUtAni aDikRtya yat pravartate
   mānuṣapaśupakṣisarīsṛpasthāvaranimittam | ādhidaivikaṃ tu divam adhikṛtya	mAnuza-paSu-pakzi-sarIsRpa-sTAvara-nimittam | ADidEvikam tu divam aDikRtya
   yat pravartate śītoṣṇavātavarṣādikam | evam etais tribhir duḥkhair	yat pravartate SIta-uzNa-vAta-varza-Adikam | evam etEH triBiH duHKEH-
   abhihatasyāsurisagotrasya brāhmaṇasya jijñāsā samutpannā | kva	aBihatasya-Asuri-sagotrasya brAhmaNasya jijQAsA samutpannA | kva
   viṣaye?(p.2) tadabhighātake hetau | teṣāṃ trayāṇāṃ duḥkhānām abhighātako	vizaye?(p.2) tad-aBiGAtake hetO | tezAm trayANAm duHKAnAm aBiGAta-kaH-
   vināśako yo 'sau hetus tatra | tāṃ jijñāsām āha | kim amūni duḥkhāni	vinASakaH yaH asO hetuH tatra | tAm jijQAsAm Aha | kim amUni duHKAni
   vapuṣaḥ, āhosvit tadvyatirikto 'sti kaścid anyaḥ puruṣo yasyemāni trīṇi	vapuzaH, Ahosvit tad-vyatiriktaH asti kaScid anyaH puruzaH yasya-imAni trINi
   duḥkhāni jāyante, utāmīṣāṃ pratīkāropāyo 'py asti na vā | yady asti	duHKAni jAyante, uta-amIzAm pratIkAra-upAyaH api asti na vA | yadi asti
   tadānīṃ tam evāsthāsyāmaḥ | no cet prathamaprāvṛḍāsāraṃ ṣaṇḍha[?] ivāmūni	tadAnIm tam eva-AsTAsyAmaH | no ced praTama-prAvRz-AsAram zaNXa[?] iva-amUni
   nimīlitanetrā vayaṃ soḍhāraḥ | vṛścikādidaṣṭa eva viṣapratīkārāya	nimIlita-netrAH vayam soXAraH | vRScika-Adi-dazwaH eva viza-pratIkArAya
   jāṅgulikaṃ gaveṣayati no vā viṣabhavapīḍāsahaḥ | evam	jAFgulikam gavezayati naH vA viza-Bava-pIxA-sahaH | evam
   asahyaduḥkhābhibhūtasyāsures tadabhighātake hetau jijñāsā samutpannā | sa	asahya-duHKa-aBiBUtasya-asureH tad-aBiGAtake hetO jijQAsA samutpannA | sa
   ca samutpannaduḥkhābhāvaṃ jijñāsus tatpratīkārakuśalaṃ bhagavantaṃ	ca samutpanna-duHKa-aBAvam jijQAsuH tad-pratIkAra-kuSalam Bagavantam
   kapilācāryaṃ śaraṇam abhyupagataḥ, ayaṃ madabhilaṣitaduḥkhapratīkāropāyaṃ	kapila-AcAryam SaraNam aByupagataH, ayam mad-aBilazita-duHKa-pratIkAra-upAyam
   vakṣyatīti |	vakzyati-iti |
   nanu duḥkhebhya eva jijñāsā samutpannā kathaṃ teṣām evābhāvāya kāraṇatvam	nanu duHKeByaH eva jijQAsA samutpannA kaTam tezAm eva-aBAvAya kAraNa-tvam
   upayāti | na hi janayitrīsakāśād utpannas tanayas tasyā eva vyāpādanaṃ	upayAti | na hi janayitrI-sakASAt utpannaH tanayaH tasyAH eva vyApAdanam
   kurute | satyam | iha loke yady asmād utpadyate tat tasyāpi vipattikāraṇaṃ	kurute | satyam | iha loke yadi asmAt utpadyate tat tasya-api vipatti-kAraNam
   dṛśyate | yathā karkaṭako 'śvataro vā janayitryāḥ samutpannas tām eva	dRSyate | yaTA karkawakaH aSvataraH vA janayitryAH samutpannaH tAm eva
   vyāpādayati | yad vā yathā kaścid āśīviṣaḥ śuṣkatṛṇabahulapradeśe sthitaḥ	vyApAdayati | yat vA yaTA kaScid ASIvizaH Suzka-tRNa-bahula-pradeSe sTitaH
   pratisarpaṃ dṛṣṭvā kruddhas tasya mukhaniḥśvāsanirgato vahnis tṛṇāni taṃ	pratisarpam dRzwvA krudDaH tasya muKa-niHSvAsa-nirgataH vahniH tRNAni tam
   vāpi sarpaṃ dadāha | amunā nyāyena duḥkhebhya eva jijñāsā niṣpannā	vA-api sarpam dadAha | amunA nyAyena duHKeByaH eva jijQAsA nizpannA
   duḥkhānām evābhāvaṃ kariṣyatīty arthasaṅgatiḥ |	duHKAnAm eva-aBAvam karizyati-iti arTa-saFgatiH |
   atrocyate | dṛṣṭe sāpārthā cet | ced ity ayaṃ nipātaḥ śaṅkāyāṃ vartate |	atra-ucyate | dRzwe sA-apArTA ced | ced iti ayam nipAtaH SaFkAyAm vartate |
   iha loke sakalasamutpannaduḥkhānāṃ pratīkāro 'sty eva, kiṃ tadarthaṃ	iha loke sakala-samutpanna-duHKAnAm pratIkAraH asti eva, kim tad-arTam
   kapilopasarpaṇeneti bhāvaḥ | tam eva hetuṃ dṛṣṭaṃ darśayati |	kapila-upasarpaNena-iti BAvaH | tam eva hetum dRzwam darSayati |
   śārīrādhyātmikānāṃ jvarātīsārādisakalavyādhīnāṃ santy evāgadaṅkārā	SArIra-ADyAtmikAnAm jvara-atIsAra-Adi-sakala-vyADInAm santi eva-agadaFkArA
   aṣṭāṅgāyurvedavido bhiṣajaḥ	azwAFga-Ayurveda-vidaH BizajaH
   kāyaśalyaśalākāviṣonmādaklībajarākumāracikitsānipuṇāḥ |	kAya-Salya-SalAkA-viza-unmAda-klIba-jarA-kumAra-cikitsA-nipuNAH |
   mānasasyādhyātmikatāpasya pratīkāraḥ priyavastusaṃyogād apriyasya dūrataḥ	mAnasasya-aDyAtmika-tApasya pratIkAraH priya-vastu-saMyogAt apriyasya dUratas-
   pariharaṇāc ca | ādhibhautikasya tu grāmanagarādikalpanayā prahāṇopapattiḥ	pariharaNAt ca | ADiBOtikasya tu grAma-nagara-Adi-kalpanayA prahANa-upapattiH
   | ādhidaivikasyābhivātayātaprāvaraṇāvaraṇādibhiḥ | atas	| ADidEvikasya-aBivAta-yAta-prAvaraNa-AvaraNa-AdiBiH | atas-
   tadabhighātakāraṇāt kiṃ kapilopasarpaṇeneti bhāvaḥ | tathā ca laukikānām	tad-aBiGAta-kAraNAt kim kapila-upasarpaNena-iti BAvaH | taTA ca lOkikAnAm
   ābhāṇakaḥ ---	ABANakaH ---
   arke cen madhu vindeta kimarthaṃ parvataṃ vrajet /	arke ced maDu vindeta kim-arTam parvatam vrajet /
   iṣṭasya līlayā siddhau ko vidvān yatnam āśrayet //	izwasya lIlayA sidDO kaH vidvAn yatnam ASrayet //
   atrocyate --- na | na ity ayaṃ pūrvapakṣavākyaniṣedhe | naivaṃ vācyam ity	atra-ucyate -- na | naH iti ayam pUrva-pakza-vAkya-nizeDe | na-evam vAcyam iti-
   arthaḥ | ekāntātyantato 'bhāvāt | ekāntato 'vaśyaṃ tvaduktahetubhir na	arTaH | ekAnta-atyantataH aBAvAt | ekAntataH avaSyam tvad-ukta-hetuBiH na
   pratīkāraḥ | yataś cikitsakānāṃ suprayuktāgadānāṃ yathāśakti yatatām api	pratIkAraH | yatas cikitsakAnAm su-prayukta-agadAnAm yaTASakti yatatAm api
   kadācij jantur(p.3) vipadyate kadācij jīvati | vaidyagṛhe 'pi	kadAcid jantuH-(p.3) vipadyate kadAcid jIvati | vEdya-gRhe api
   vadhūputrakalatrabhrātṛpitṛpabhṛtīnām aparihāryamaraṇadarśanān nāyam	vaDU-putra-kalatra-BrAtR-pitRpa-BRtInAm aparihArya-maraNa-darSanAt na-ayam
   aikāntikapratīkāra ādhyātmikasya | aparam, atyantato 'pi nāsau pratīkāraḥ	EkAntika-pratIkAraH ADyAtmikasya | aparam, atyantataH api na-asO pratIkAraH
   | agadena nīrujīkṛtānām api jvarādīnāṃ punaḥ katipayadivasair	| agadena nIrujIkRtAnAm api jvara-AdInAm punar katipaya-divasEH-
   utpattidarśanāt | ataḥ sarvathā ātyantiko 'pi na dṛṣṭaḥ pratīkāra	utpatti-darSanAt | atas sarvaTA AtyantikaH api na dRzwaH pratIkAra
   ādhyātmikaduḥkhāpanayane samarthaḥ | vasantādīnām apagatānām api punar	ADyAtmika-duHKa-apanayane samarTaH | vasanta-AdInAm apagatAnAm api punar-
   āgamanavat | bhavanti cātra ślokāḥ ---	Agamana-vat | Bavanti ca-atra SlokAH ---
   punar dāhaḥ samutpannaḥ punar jātaś ca vepathuḥ /	punar dAhaH samutpannaH punar jAtaH ca vepaTuH /
   bādhate ca punar hikkā jvaraś ca punar āgataḥ //	bADate ca punar hikkA jvaraH ca punar AgataH //
   anyac ca ---	anyat ca ---
   puṣpitākṣaḥ śalākī ca kuṣṭhī kāyacikitsakaḥ /	puzpita-akzaH SalAkI ca kuzWI kAya-cikitsakaH /
   pṛcchanti bālabhiṣajaṃ kathaṃ te dārakā mṛtāḥ //	pRcCanti bAla-Bizajam kaTam te dArakAH mRtAH //
   kiñ ca nāsti samyagdhātuparijñānanipuṇatayā bhaiṣajyam | tathā hi ---	kiQ ca na-asti samyak-DAtu-parijQAna-nipuNa-tayA BEzajyam | taTA hi ---
   yāni kāni ca mūlāni yena kena ca peṣayet /	yAni kAni ca mUlAni yena kena ca pezayet /
   yasmai kasmai ca dātavyaṃ yad vā tad vā bhaviṣyati //	yasmE kasmE ca dAtavyam yat vA tat vA Bavizyati //
   anyac ca --- kāryārthijanadravyabhakṣaṇāya, svaśaktikhyāpanāya ca svalpam	anyat ca -- kArya-arTi-jana-dravya-BakzaNAya, sva-Sakti-KyApanAya ca su-alpam
   api rogaṃ purastād vardhayanti bhiṣajaḥ | tataś ca kadācid asau teṣām	api rogam purastAt varDayanti BizajaH | tatas ca kadAcid asO tezAm
   evāsādhyatām āyāti | tathā ca ---	eva-asADya-tAm AyAti | taTA ca ---
   vaidya vaidya namas tubhyaṃ kṣapitāśeṣamānava /	vEdya vEdya namaH tuByam kzapita-aSeza-mAnavaH /
   tvayi vinyastabhāro 'yaṃ kṛtāntaḥ sukham edhate //	tvayi vinyasta-BAraH ayam kRtAntaH suKam eDate //
   evam asau dṛṣṭenāgadādihetunā, ekātanto 'vaśyam, atyantataḥ sarvathā,	evam asO dRzwena-agada-Adi-hetunA, ekAtantaH avaSyam, atyantataH sarvaTA,
   śārīrasyādhyātmikaduḥkhasya na pratīkāraḥ | evaṃ mānasasyāpi	SArIrasya-ADyAtmika-duHKasya na pratIkAraH | evam mAnasasya-api
   śabdādipriyasaṃyogād api kadācin na nivṛttiḥ | evam ādhibhautikam apy	Sabda-Adi-priya-saMyogAt api kadAcid na nivRttiH | evam ADiBOtikam api-
   upāyaiḥ kadācid vyapaiti, kadācic ca neti | evam ādhidaivikam api kadācid	upAyEH kadAcid vyapEti, kadAcid ca na-iti | evam ADidEvikam api kadAcid-
   vyapaiti kadācic ca na | kiñ ca vyapagatir api duḥkhasya punarutpādād	vyapEti kadAcid ca na | kiQ ca vyapagatiH api duHKasya punar-utpAdAt-
   anarthiketi | asya tu śiṣyasyaikāntika ātyantikaś ca duḥkhavyapagame hetur	anarTikA-iti | asya tu Sizyasya-EkAntikaH AtyantikaH ca duHKa-vyapagame hetuH-
   iṣṭaḥ | tasmād yuktaṃ tadarthaṃ gurūpasarpaṇam iti // SkMv_1 //	izwaH | tasmAt yuktam tad-arTam guru-upasarpaNam iti // SkMu-_1 //
   yady evaṃ tadā dṛṣṭavyatirekeṇāpy ānuśravikaḥ śrutipraṇītaḥ	yadi evam tadA dRzwa-vyatirekeNa-api AnuSravikaH Sruti-praNItaH
   svargādisādhanarūpo yajñādir hetur astu | nākapṛṣṭhe 'pi	svarga-Adi-sADana-rUpaH yajQa-AdiH hetuH astu | nAka-pRzWe api
   tāpatrayāsambhavāt | tatraikāntikam ātyantikaṃ vānuśrave vede śrūyate |	tApa-traya-asamBavAt | tatra-ekAntikam Atyantikam vA-anuSrave vede SrUyate |
   guruṇoktaṃ paścād vedaṃ śṛṇvanti śiṣyā ity anuśravo vedaḥ | tatra bhava	guruNA-uktam paScAt vedam SRNvanti SizyAH iti anuSravaH vedaH | tatra Bava
   ānuśravikaḥ | śrauto yajñādirūpo 'yaṃ duḥkhatrayapratīkārahetur ucito 'sti	AnuSravikaH | SrOtaH yajQa-Adi-rUpaH ayam duHKa-traya-pratIkAra-hetuH ucitaH asti
   | evaṃ hy āha --- "tarati mṛtyuṃ, tarati śokaṃ, tarati pāpmānaṃ, tarati	| evam hi Aha -- "tarati mRtyuM, tarati SokaM, tarati pApmAnaM, tarati
   brahmahatyāṃ yo 'śvamedhena yajate" [śatapathabrāhmaṇa 13 |3 |1 |1] iti |	brahmahatyAm yaH aSvameDena yajate" [SatapaTa-brAhmaNaH 13 |3 |1 |1] iti |
   yac cainaṃ devāḥ punar apy āhuḥ ---(p.4)	yat ca-enam devAH punar api AhuH ---(p.4)
   "apāma somam amṛtā abhūmāganma jyotir avidāma devān /	"apAma somam amRtAH aBUma-aganma jyotiH avidAma devAn /
   kiṃ nūnam asmān kṛṇavad arātiḥ kim u dhūrtir amṛta martyasya" //	kim nUnam asmAn kRNavat arAtiH kim u DUrtiH amRta martyasya" //
   [ṛgvedasaṃhitā 8 |48 |3] iti |	[Rgveda-saMhitA 8 |48 |3] iti |
   iha --- śrutāv aikāntikam ātyantikaṃ ca phalaṃ śrūyate | atrāsya vyākhyā	iha -- SrutO EkAntikam Atyantikam ca Palam SrUyate | atra-asya vyAKyA
   kadācit kilendro devān upasthitān niśamya ity avocat --- bho bho devatvād	kadAcid kila-indraH devAn upasTitAn niSamya iti avocat -- Bo Bo deva-tvAt-
   anyad api kim apy asti sukham | tatas te devā ūcuḥ --- nāsty anyat sukham	anyat api kim api asti suKam | tatas te devAH UcuH -- na-asti anyat suKam
   | ata evāsmannivāsasya nāka ity abhidhānam | kam iti sukhanāma, tasya	| atas eva-asmad-nivAsasya nAkaH iti aBiDAnam | kam iti suKa-nAma, tasya
   niṣedhaḥ akam asukhaṃ tan na iti nākam | kevalaṃ sukham eva | dvau nañau	nizeDaH akam asuKam tat naH iti nAkam | kevalam suKam eva | dvO naQO
   prakṛtam arthaṃ gamayataḥ | tataḥ prāhendraḥ --- katham iti | tatas te	prakRtam arTam gamayataH | tatas prAha-indraH -- kaTam iti | tatas te
   ūcuḥ --- anena hetunā apāma pītavantaḥ | somaṃ yajñe somarasaṃ, tena	UcuH -- anena hetunA apAma pItavantaH | somam yajQe soma-rasaM, tena
   tatpānena amṛtā amarā abhūma sampannāḥ | kiṃ ca aganma prāptavantaḥ jyotiḥ	tad-pAnena amRtAH amarAH aBUma sampannAH | kim ca aganma prAptavantaH jyotiH
   svargam | anyac ca avidāma jānīmo devān | asmin svarge iyanto devā iti	svargam | anyat ca avidAma jAnImaH devAn | asmin svarge iyantaH devAH iti
   vidmaḥ | kim ity ākṣepe | nūnaṃ niścitam | asmān asmākaṃ	vidmaH | kim iti Akzepe | nUnam niScitam | asmAn asmAkam
   vibhaktivipariṇāmaḥ | kṛṇavat kartā | arātiḥ śatrur mṛtyuḥ | kiṃ vā dhṛtir	viBakti-vipariNAmaH | kRNavat kartA | arAtiH SatruH mRtyuH | kim vA DRtiH-
   jarā asmākaṃ kariṣyati | amṛtamartyasya amṛtapāyināṃ martyānām iti |	jarA asmAkam karizyati | amRta-martyasya amRta-pAyinAm martyAnAm iti |
   "bahulaṃ chandasi"[ ] iti vacanavipariṇāmaḥ | evam anyo 'pi yaḥ somaṃ	"bahulam Candasi"[ ] iti vacana-vipariNAmaH | evam anyaH api yaH somam
   pāsyati tasyaikāntiko 'vaśyam ātyantikaḥ sarvathā duḥkhatrayābhighāto	pAsyati tasya-EkAntikaH avaSyam AtyantikaH sarvaTA duHKa-traya-aBiGAtaH-
   bhaviṣyati | ato brūmaḥ kiṃ pravrajyayā sāṅkhyajñānena vā kāryaṃ vedoktaṃ	Bavizyati | atas brUmaH kim pravrajyayA sAFKya-jQAnena vA kAryam veda-uktam
   kariṣyāmaḥ | duḥkhapratīkāraś ca svargo bhāvīti vedavādināṃ vacanam	karizyAmaH | duHKa-pratIkAraH ca svargaH BAvi-iti veda-vAdinAm vacanam
   upaśrutya sāṅkhyācāryas tannivāraṇāya svamatapratiṣṭhāyai ca dvitīyām	upaSrutya sAFKya-AcAryaH tad-nivAraNAya sva-mata-pratizWAyE ca dvitIyAm
   āryām āha ---	AryAm Aha ---
   dṛṣṭavad ānuśravikaḥ sa hy aviśuddhaḥ kṣayātiśayayuktaḥ /	dRzwa-vat AnuSravikaH sa hi aviSudDaH kzaya-atiSaya-yuktaH /
   tadviparītaḥ śreyān vyaktāvyaktajñavijñānāt // ISk_2 //	tad-viparItaH SreyAn vyakta-avyakta-jQa-vijQAnAt // ISc-_2 //
   ya eṣa ānuśravikaḥ śrauto 'gnihotrādikaḥ svargasādhanatayā	yaH ezaH AnuSravikaH SrOtaH agnihotra-AdikaH svarga-sADana-tayA
   tāpatrayapratīkārahetur uktaḥ, so 'pi dṛṣṭavad anaikāntikaḥ pratīkāraḥ |	tApa-traya-pratIkAra-hetuH uktaH, saH api dRzwa-vat anEkAntikaH pratIkAraH |
   tathā hi --- "madhyamapiṇḍaṃ putrakāmā patnī prāśnīyāt "ādhatta pitaro	taTA hi -- "maDyama-piNxam putra-kAmA patnI prASnIyAt "a-ADatta pitaraH-
   garbham"(vājasaneyisaṃhitā 2 |33) iti mantreṇa"[āpastambaśrautasūtra 2 |7	garBam"(vAjasaneyi-saMhitA 2 |33) iti mantreNa"[Apastamba-SrOta-sUtra 2 |7
   |14] | tad evaṃ vedavacasā bahūn piṇḍān paraḥśatān aśnāti yāvad eko 'pi	|14] | tat evam veda-vacasA bahUn piNxAn paraHSatAn aSnAti yAvat ekaH api
   putro na jāyate | tathā "paśyema śaradaḥ śataṃ jīvema śaradaḥ	putraH na jAyate | taTA "paSyema SaradaH Satam jIvema SaradaH
   śatam"[ṛgvedasaṃhitā 7 |66 |16] iti śrutāv āste | paraṃ garbhastho	Satam"[Rgveda-saMhitA 7 |66 |16] iti SrutO Aste | param garBa-sTaH-
   jātamātro bālo yuvāpi kumāro mriyate | kiṃ cānyat --- sa śrauto hetuḥ	jAta-mAtraH bAlaH yuvA-api kumAraH mriyate | kim ca-anyat -- sa SrOtaH hetuH
   aviśuddhaḥ paśuhiṃsātmakatvāt | kṣayayuktaḥ punaḥ pātāt | atiśayayuktaḥ	aviSudDaH paSu-hiMsA-Atmaka-tvAt | kzaya-yuktaH punar pAtAt | atiSaya-yuktaH
   tatrāpi svāmibhṛtyabhāvaśravaṇāt | uktaṃ ca ---(p.5)	tatra-api svAmi-BRtya-BAva-SravaNAt | uktam ca ---(p.5)
   "ṣaṭśatāni niyujyante paśūnāṃ madhyame 'hani /	"zaz-SatAni niyujyante paSUnAm maDyame ahani /
   aśvamedhasya vacanād ūnāni paśubhis tribhiḥ" //	aSvameDasya vacanAt UnAni paSuBiH triBiH" //
   paśuvadho 'gniṣṭome mānuṣavadhaḥ gosavavyavasthā sautrāmaṇyāṃ surāpānaṃ	paSu-vaDaH agnizwome mAnuza-vaDaH gosava-vyavasTA sOtrAmaNyAm surA-pAnam
