   daśamaḥ paricchedaḥ	daSamaH paricCedaH
   bāṣpaḥ aśru, kaṇṭhe lagnaḥ saktaḥ sana, stanataṭaṃ, kucaprāntaṃ, muhuḥ	bAzpaH aSru, kaNWe lagnaH saktaH sana, stana tawaM, kuca prAntaM, muhur 
   punaḥ punaḥ taralayati kampayati /	punar punar taralayati kampayati /
   evamanena prakāreṇa nāyako nāyikāmupālabhate /	evam anena prakAreNa nAyakaH nAyikAm upAlaBate /
   manyuḥ krodhaḥ, tava priyo jātaḥ ayi niranurodhe ! anaṅgīkṛtānuvarttane !	manyuH kroDaH, tava priyaH jAtaH ayi niranuroDe ! anaFgIkRta anuvarttane !
   vayaṃ priyā hitāḥ na bhavāmaḥ iti sambandhaḥ /	vayam priyAH hitAH na BavAmaH iti sambanDaH /
   atra patrālīmarddanavāyāpāreṇa saubhāgyahārī manyuḥ tava priyo jāta	atra patra AlI marddana vAyA pAreNa sOBAgya hArI manyuH tava priyaH jAta
   ityanena tvadanurodhakāriṇo vayaṃ tava hitā na bhavāma ityanena ca	iti anena tvad anuroDa kAriNaH vayam tava hitA na BavAmaH iti anena ca
   upālambho gamyate /	upAlamBaH gamyate /
   nāyikā, svīyā madhyā, nāyakastu śaṭhaḥ /	nAyikA, svIyA maDyA, nAyakaH tu SaWaH /
   mānakṛto vipralambhaśṛṅgāraḥ /	mAna kRtaH vipralamBa SRFgAraH /
   atra sopalambhavacanaṃ narma /	atra sa upalamBa vacanam narma /
   ākṣepo 'laṅkāraḥ"ityādau /	AkzepaH alaFkAraH"ityAdO /
   mama tātapādānāṃ prabhāvatīpariṇaye prabhāvatīvarṇanaṃ yathā   	mama tAta pAdAnAm praBAvatI pariNaye praBAvatIvarNanam yaTA   
   kalākulagṛhaṃ manaḥ  patagapañjaraṃ kāmināṃ vaśīkaraṇabheṣajaṃ,	kalA Akula gRham manaH  pataga paQjaram kAminAm vaSIkaraNa BezajaM,
   paramakauśalaṃ vedhasaḥ /	parama kOSalam veDasaH /
   jagadvijayakarmaṇi smaramahībhujaḥ kārmaṇaṃ dṛśornigaḍabandhanaṃ	jagat vijaya karmaNi smara mahIBujaH kArmaNam dRSoH nigaxa banDanam
   trijagatāṃ paraṃ bhūṣaṇam //	trijagatAm param BUzaNam //
   ityādau alaṅkāraṇāṃ nirvāhakarasasambandhākṣiptacetasaḥ	ityAdO alaFkAraNAm nirvAhaka rasa sambanDa Akzipta cetasaH
   kaverapṛthak yatnanivarttyatvāt na doṣaḥ, ityato 'tīvarasaparipoṣakatvam /	kavera pRTak  yatna nivarttya tvAt na dozaH, iti atas atIva rasa paripozaka tvam /
   yaduktaṃ dhvanikṛtā    rasākṣiptatayā yasya bandhaḥ śakyakiyo bhavet /	yat uktam Dvani kRtA   rasa Akzipta tayA yasya banDaH Sakya kiyaH Bavet /
   apṛthakyatnanirvarttyaḥ so 'laṅkāro dhvanermataḥ /	apRTak yatna nirvarttyaH saH alaFkAraH DvaneH mataH /
   tathālaṅkārantaraṇi nirūpyamāṇadurghaṭanānyapi rasasamāhitacetasaḥ	taTA alaFkArantaraNi nirUpyamANa durGawanAni api rasa samAhita cetasaH
   pratibhānavataḥ kaverahaṃpūrvikayā parāpatanti /	pratiBAnavataH kaveH a haMpUrvikayA parApatanti /
   yathā   	yaTA   
   "iyamamlīpattaśamanī tridoṣadamanī bubhukṣukamīnayā /	"iyam amlIpatta SamanI tridoza damanI buBukzukam InayA /
   marttyānāmamṛtavaṭī rasagandhakaparpaṭī jayati" //	marttyAnAm amRtavawI rasa ganDaka parpawI jayati" //
   ityādau /	ityAdO /
   satyapi rase tamapi nopakurvanti anuprāsādayaḥ /	sati api rase tam api na upakurvanti anuprAsa AdayaH /
   yathā   "auvaṭṭai ullaṭṭai" ityatra anuprāsaḥ /	yaTA   "OvawwEH ullawwE" iti atra anuprAsaH /
   "mitre kvāpi gate saroruhavane baddhānane tāmyati kandatsu bhramareṣu	"mitre kvApi gate saroruha vane badDa Anane tAmyati kandatsu Bramarezu
   vīkṣya dayitā sannaṃ puraḥ sārasam /	vIkzya dayitA sannam puras sArasam /
   cakāhvena viyoginā bisalatā nāsvāditā nojjhitā kaṇṭhe kevalamargaleva	cakAhvena viyoginA bisalatA na AsvAditA na ujJitA kaNWe kevala margalA iva
   nihitā jīvasya nirgacchataḥ" //	nihitAH jIvasya nirgacCataH" //
   ityatra coddīpanarūpāyā bisalatāyāḥ prayatnajīvaharaṇāvasānopakārakatvāt	iti atra ca uddIpana rUpAyAH bisa latAyAH prayatna jIva haraNa avasAna upakAraka tvAt
   jīvananirodhārgalarūpotprekṣāyāṃ	jIvana niroDa argala rUpa utprekzAyAm
   vipralambhaśṛṅgāratadābhāsayorananuguṇatvānnālaṅkāraḥ rasasyopakārakaḥ /	vipralamBa SRFgAra tad ABAsayoH ananuguNa tvAt na alaFkAraH rasasya upakArakaH /
   iha nopameti utprekṣānirūpaṇe vakṣyate /	iha na upamA iti utprekzA nirUpaNe vakzyate /
   tadeva suṣṭhūktaṃ śabdārthaśobhātiśayadvāreṇa rasāderupakārakā alaṅkārā	tat eva suzWu uktam Sabda arTa SoBA atiSaya dvAreNa rasa AdeH upakArakAH alaFkArA
   iti /	iti /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   alaṅkārā asthirā iti naiṣāṃ guṇavadāvaśyarakī sthitiḥ /	alaFkArAH asTirAH iti na ezAm guNavat AvaSyarakI sTitiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) naiṣāṃ guṇavaditi   mādhuryyādīnāṃ śṛṅgārādivyāpakatvāt	(vi, Ka) na ezAm guNavat iti    mADuryya AdInAm SRFgAra Adi vyApaka tvAt 
   tatra teṣāmavaśyasthiteḥ /	tatra tezAm avaSya sTiteH /
        Locanā:	LocanA:
        (lo, i) asthirā iti   kārikāpamanūdya vivṛṇoti /	(lo, i) asTirAH iti   kArikA apamanUdya vivRNoti /
        naiṣāmiti  guṇādīnāṃ vākyeṣvanvayavyatirekānuvidhāyino rasasya	na ezAmiti   guNa AdInAm vAkyezu anvaya vyatireka anuviDAyinaH rasasya
   dharmatvena avasthitiḥ /	Darma tvena avasTitiH /
        alaṅkārāṇāṃ ca kvacidabhāve 'pi na kāvyatvahānirityarthaḥ /	alaFkArANAm ca kvacid aBAve api na kAvya tva hAniH iti arTaH /
        yathā guṇā rasasya sthiradharmāstathā naite śabdārthayoḥ /	yaTA guNAH rasasya sTira DarmAH taTA na ete Sabda arTayoH /
        evaṃ śabdārthayoranupacaritadharmatvenāsthiratvena	evam Sabda arTayoH anupacarita Darma tvena asTira tvena
   śabdārthaśobhādhānadvāreṇa rasopakārakatvena ca	Sabda arTa SoBA ADAna dvAreNa rasa upakAraka tvena ca
   guṇavyatiriktatvamalaṅkārāṇāṃ darśitam /	guNa vyatirikta tvam alaFkArANAm darSitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   śabdārthayoḥ prathamaṃ śabdasya buddhiviṣayatvācchabdālaṅkāreṣu vaktavyeṣu	Sabda arTayoH praTamam Sabdasya budDi vizaya tvAt Sabda alaFkArezu vaktavyezu
   śabdārthālaṅkāsyāpi punaruktavadābhāsasya cirantanaiḥ śabdālaṅkāramadhye	Sabda arTa alaFkA asya api punar ukta vat ABAsasya cirantanEH Sabda alaFkAra maDye
   lakṣitatvātprathamaṃ tamevāha  	lakzita tvAt praTamam tam eva aha  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) tatrādau punaruktavadābhāsasya śabdārthobhayālaṅkāratve	(vi, ga) tatra AdO punar ukta vat ABAsasya Sabda arTa uBaya alaFkAra tve
   śabdālaṅkāratayā kathanabījaṃ pradarśayaṃstamāha   śabdālaṅkārasyāpīti /	Sabda alaFkAra tayA kaTana bIjam pradarSayan= tam Aha    Sabda alaFkArasya api iti /
        Locanā:	LocanA:
        (lo, ī) samapratītyavatāryya tadbhedānāha  śabdārthayoriti /	(lo, I) sama pratIti avatAryya tad Beda AnAha   Sabda arTayoH iti /
        āha lakṣayatītyarthaḥ /	Aha lakzayati iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āpātato yadarthasya paunaruktyena bhāsanam /	ApAtatas yad arTasya pOnaruktyena BAsanam /
   punaruktavadābhāsaḥ sa bhinnākāraśabdagaḥ // VisSd_10.2 //	punar ukta vat ABAsaH sa Binna AkAra Sabda gaH // VisSd _10.2 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) āpātato yadarthasyeti /	(vi, Ga) ApAtataH yad arTasya iti /
        āpātata eva na tu praṇidhāne 'pyarthapaunaruktyam /	ApAtatas eva na tu praNiDAne api arTa pOnaruktyam /
        bhinnākāraśabdatvena paunaruktyaprasaktistu nāstyeva /	Binna AkAra Sabda tvena pOnarukti aprasaktiH tu na asti eva /
        Locanā:	LocanA:
        (lo, u) āpātataḥ paunarukatyāvabhāsanaṃ, punaruktivat pratyayaḥ,	(lo, u) ApAtataH pOnaruka tyA avaBAsanaM, punarukti vat pratyayaH,
   paryyavasāne tu na tathā /	paryyavasAne tu na taTA /
        ataḥ punaruktavadābhāsa ityarthavannāmālaṅkāraḥ /	atas punar ukta vat ABAsaH iti arTavat nAma alaFkAraH /
        bhinnākāraśabdaga ityanena yamakavyavacchedaḥ /	Binna AkAra Sabda gaH iti anena yamaka vyavacCedaH /
        atra "navapalāśapalāśavanaṃ puraḥ" ityādāvapi āpātataḥ	atra "nava palASa palASa vanam puraH" iti AdO= api ApAtataH
   paunaruktyāvabhāsanaṃ; kintu tadekarūpaśabdagatam /	pOnaruktyA avaBAsanan; kintu tad eka rUpa Sabda gatam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   udāharaṇam  	udAharaNam  
   bhujaṅgakuṇḍalī vyaktaśaśiśubhrāṃśuśītaguḥ /	BujaFga kuNxalI vyakta SaSi SuBra aMSu SItaguH /
   jagantyapi sadāpāyādavyāccetoharaḥ śivaḥ //	jaganti api sadA apAyAt avyAt cetaH haraH SivaH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) bhujaṅgakuṇḍalīti /	(vi, Fa) BujaFga kuNxalI iti /
        śivo jagantyapi sadāpāyādavyād avatu /	SivaH jaganti api sadA apAyAt avyAt avatu /
        kīdṛśaḥ, bhujaṅgarūpakuṇḍalavān; tathā vyaktena śaśinaḥ śubhrāṃśunā	kIdRSaH, BujaFga rUpa kuNxalavAn; taTA vyaktena SaSinaH SuBra aMSunA
   śītaḥ śītalaḥ gaurvṛṣaḥ yasya tādṛśaḥ /	SItaH SItalaH gOH vRzaH yasya tAdRSaH /
        cetoharaḥ manoharaḥ /	cetaH haraH manoharaH /
        Locanā:	LocanA:
        (lo, ū) kuṇḍalī sarpaḥ; kuṇḍalavāṃśca /	(lo, U) kuNxalI sarpaH; kuNxalavAn= ca /
        śaśisubhrāṃśuśītaguśabdāstraya eva āpātataścandrārthāḥ /	SaSi su BrAMSu SIta gu SabdAH trayaH eva ApAtataH candra arTAH /
        paryyavasāne tu śaśinaḥ śubhrā ujjvalā yeṃ'śavaḥ tadvat śītā gāvaḥ	paryyavasAne tu SaSinaH SuBrAH ujjvalAH yeM aSavaH tadvat SItAH gAvaH
   kāntayo yasya iti /	kAntayaH yasya iti /
        apāyāt apāyataḥ avyāt rakṣatāt /	apAyAt apAyataH avyAt rakzatAt /
        haraḥ sadāśivaḥ manoharaśca /	haraH sadASivaH manoharaH ca /
        atra pāyāditi pādhātoḥ, avyāditi avadhātoḥ rakṣaṇārthasya liṅantatve	atra pAyAt iti pADAtoH, avyAt iti avaDAtoH rakzaNa arTasya liFanta tve
   paunaruktyāvabhāsaḥ /	pOnaruktyA avaBAsaH /
        paryyavasāne tu sandhihetukaṃ luptamakāramādāyāpāyaśabdasya	paryyavasAne tu sanDi hetukam lupta m akAram AdAya apAya Sabdasya
   subantatvamityarthaḥ /	subanta tvam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra bhujaṅgakuṇḍalyādiśabdānāmāpātamātreṇa sarpādyarthatayā	atra BujaFga kuNxalI Adi SabdAnAm ApAta mAtreNa sarpa Adi arTa tayA
   paunaruktyapratibhāsanam /	pOnarukti apratiBAsanam /
   paryavasāne tu bhujaṅgarūpaṃ kuṇḍalaṃ vidyate yasyetyādyanyārthatvam /	paryavasAne tu BujaFga rUpam kuNxalam vidyate yasya ityAdi anyArTa tvam /
   "pāyādavyāt" ityatra kriyāgato 'yamalaṅgāraḥ, "pāyāt" ityāsya "apāyāt"	"pAyAt avyAt" iti atra kriyA gataH ayam alaFgAraH, "pAyAt" iti Asya "apAyAt"
   ityatra paryavasānāt /	iti atra paryavasAnAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) apāyādityatra paryyavasānāditi /	(vi, ca) apAyAt iti atra paryyavasAnAt iti /
        praśliṣṭākārapratisandhānāt tatra paryyavasānam /	praSlizwa AkAra pratisanDAnAt tatra paryyavasAnam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "bhujaṅgakuṇḍalī" iti śabdayoḥ prathamasyaiva parivṛttisahatvam /	"BujaFga kuNxalI" iti SabdayoH praTamasya eva parivRtti saha tvam /
   "haraḥ śivaḥ" iti dvitīyasyaiva /	"haraH SivaH" iti dvitIyasya eva /
   "śaśisubhrāṃśu" iti dvayorapi /	"SaSi suBra aMSu" iti dvayoH api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) prathamasyaiveti /	(vi, Ca) praTamasya eva iti /
        sarpakuṇḍalītyukte 'pi paunaruktyasya bhānāt /	sarpa kuNxalI iti ukte api pOnarukti asya BAnAt /
        dvitīyasyaiveti /	dvitIyasya eva iti /
        parivṛttisahatvamityanvayaḥ /	parivRtti saha tvam iti anvayaH /
        mṛḍo bhava ityuktāvapi tathātvāt /	mRxaH BavaH iti uktO= api taTAtvAt /
        dvayorapīti /	dvayoH api iti /
        parivṛttisahatvāmityanvayaḥ /	parivRtti saha tvAm iti anvayaH /
        candraśītāṃśupadadāne 'pi tathātvāt /	candra SItAMSu pada dAne api taTA tvAt /
        Locanā:	LocanA:
        (lo, ṛ) asya ca śabdārthālaṅkāratve hetumāha   bhujaṅgeti /	(lo, R) asya ca Sabda arTa alaFkAra tve hetum Aha   BujaFgA iti /
        parivṛttisahatvam; ahi  kuṇḍalī, sarpakuṇḍalītyādyuktāvapi	parivRtti saha tvam; ahi   kuNxalI, sarpa kuNxalI ityAdi uktO= api
   paunaruktyāvabhāsatā /	pOnaruktyA avaBAsa tA /
        tenātra kuṇḍalīti padasya na parivṛttisahatvam /	tena atra kuNxalI iti padasya na parivRtti saha tvam /
        evaṃ "haraḥ śivaḥ'; ityādāvapi boddhavyam /	evam "haraH SivaH a; iti AdO= api bodDavyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "bhāti sadānatyāgaḥ" iti na dvayorapi /	"BAti sadAna tyAgaH" iti na dvayoH api /
   iti śabdaparivṛttisahatvāsatvābhyāmasyobhayālaṅkāratvam /	iti Sabda parivRtti sahatva asa tvAByAm asya uBaya alaFkAra tvam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) bhātīti /	(vi, ja) BAti iti /
        bhāti sadānatyāgaḥ sthiratāyāmiti	BAti sadAna tyAgaH sTira tAyAm iti
   kāvyaprakāśoktyaikadeśapradarśanamidam /	kAvya prakASa uktyA eka deSa pradarSanam idam /
        tatra bhavān sadā anatyā paranatirāhityena bhātīti /	tatra BavAn sadA anatyA paranati H Ahityena BAti iti /
        sthiratāyāmagaḥ parvataścetyarthaḥ /	sTiratA AyAm agaH parvataH ca iti arTaH /
        tatra dānatyāgapadapaunaruktyāvabhāsaḥ /	tatra dAna tyAga pada pOna ruktyA avaBAsaH /
        atra na dvayorapi parivṛttisahatvam /	atra na dvayoH api parivRtti saha tvam /
        Locanā:	LocanA:
        (lo, ṝ) tṛtīyādau ca dānatyāgābhyāṃ saha varttate iti	(lo, L) tRtIya AdO ca dAna tyAgAByAm saha varttate iti
   paunaruktyāvabhāsaḥ /	pOnaruktyA avaBAsaH /
        sadā sarvadā anatvā, anamanena, agaḥ parvata iti paryyavasānam /	sadA sarvadA anatvA, anam anena, agaH parvataH iti paryyavasAnam /
        na dvayordānatyāgayoḥ /	na dvayoH dAna tyAgayoH /
        parivṛttisahatvāsahatvābhyāṃ kvacit parivṛttisahatvādarthālaṅkāratva;	parivRtti saha tvA saha tvAByAm kvacid parivRtti saha tvAt arTa alaFkAra tva;
   kvacittadasahatvācchabdājaṅkāratvaṃ, doṣaguṇālaṅkārāṇāṃ śabdārthagatatvena	kvacid tad asahatvAt Sabda ajaFkAra tvaM, doza guNa alaFkArANAm Sabda arTa gata tvena
   vyavasthiteranvayavyatirekābhyāṃ niyamanādityarthaḥ /	vyavasTiteH anvaya vyatirekAByAm niyamanAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anuprāsaḥ śabdasāmyaṃ vaiṣamye 'pi svarasya yat /	anuprAsaH Sabda sAmyam vEzamye api svarasya yat /
   svaramātrasādṛśyaṃ tu vaicitryābhāvānna gaṇitam /	svara mAtra sAdRSyam tu vEcitrya aBAvAt na gaNitam /
   rasādyanugatatvena prakarṣeṇa nyāso 'nuprāsaḥ /	rasa Adi anugata tvena prakarzeNa nyAsaH anuprAsaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) anuprāsālaṅkāramāha   anuprāsa iti /	(vi, Ja) anuprAsa alaFkAram Aha   anuprAse iti /
        svaramātrasādṛśyamitimātrapadāt vyañjanasāmyavyudāsaḥ /	svara mAtra sAdRSya miti mAtra padAt vyaQjana sAmya vyudAsaH /
        tena "ke vāte sevayā deśe gehe ca lebhire yaśa"ityatra nānuprāsaḥ /	tena "ke vAte sevayA deSe gehe ca leBire yaSa" iti atra na anuprAsaH /
        vyañjanamātrasāmye tu kupitakapikapoletyādau anuprāsa eva /	vyaQjana mAtra sAmye tu kupita kapi kapola ityAdO anuprAse eva /
        kvacidubhayasāmye 'pi yathā   "dhūtacūtaprasūna" iti /	kvacid uBaya sAmye api yaTA   "DUta cUta prasUna" iti /
        yathā vā   "guṇasindhuḥ satāṃ bandhusatvabandhustvaparo janaḥ /	yaTA vA   "guNa sinDuH satAm banDu satva banDuH tu aparaH janaH /
        "kevalaṃ svaramātrasāmyaṃ vyudastaṃ bodhyam /	"kevalam svara mAtra sAmyam vyudastam boDyam /
        anuprāsapadavyutpattimāha   rasādyeti /	anuprAsa pada vyutpatti mAha   rasAdya iti /
        anugamaśca vyañjanā /	anugamaH ca vyaQjanAH /
        anupārasaviśiṣṭapadavākyābhyāṃ rasādivyañjanāt /	anupArasa viSizwa pada vAkyAByAm rasa Adi vyaQjanAt /
        ādipadād vakturvaidagdhyaparigrahaḥ /	Adi padAt vaktuH vEdagDya parigrahaH /
        Locanā:	LocanA:
        (lo, ḷ) anuprāsa iti   svaravaiṣamye 'pi śabdasāmyamityatra śabdā	(lo, ?) anuprAsaH iti   svara vEzamye api Sabda sAmyam iti atra SabdA
   vyañjanānyeva /	vyaQjanAni eva /
        svarāṇāṃ svarānādhāratvāt /	svarANAm svara anADAra tvAt /
        tenaiṣā bālāyātītyādau svaramātrasya asakṛdāvṛttāvapi	tena ezA bAlAya ati ityAdO svara mAtrasya asakRt AvRttO= api
   vyañjanavaisādṛśye cārutvābhāvasya sahṛdayasaṃvedyatvānnālaṅkāraḥ /	vyaQjana vEsAdRSye cArutvA aBAvasya sahRdaya saMvedya tvAt na alaFkAraH /
        etadevoktaṃ vṛttau svaramātra ityādinā /	etat eva uktam vRttO svara mAtraH ityAdinA /
        kiñca svarasya vaiṣamye 'pi ityanena "kāverī vārī"	kiQca svarasya vEzamye api iti anena "kAverI vArI"
   tyāderetadavāhyatvam /	tyAdeH etat avAhya tvam /
        apiśabdāt "darduraduradhyavasāya sāyam" ityādau duraśabādasāmye	api SabdAt "dardura duraDyavasAya sAyam" ityAdO duraSabAda sAmye
   svarasāmye 'pyanuprāsatvam /	svara sAmye api anuprAsa tvam /
        "navapālaśapalāśavanaṃ pura" ityādau	"nava pAla SapalASa vanam pura" iti AdO
   yamakasyāpavādatvenānuprāsabādhakatā /	yamakasya apavAda tvena anuprAsa bADaka tA /
        darduradura ityādau prathamaduraśabdadakārasya mūrdhri rephalogānna	dardura duraH ityAdO praTama dura Sabda dakArasya mUrDri rePa logAn na
   yamakam /	yamakam /
        duradhyavasāya sāyamityādau cānusvārayogādanuprasā eva na yamakam /	duraDi avasAya sAyam iti AdO ca anusvAra yogAt anuprasAH eva na yamakam /
        "ākarṇya karṇamadhurāṇī" tyādau ca prathamakarṇaśabdasya svataḥ	"a AkarNya karNa maDurANI" tyAdO ca praTama karNa Sabdasya svatas 
   svarāyoge 'pi dvitīyakarṇaśabdaniṣṭhasvabhāvāt svaravaiṣamyam /	svarA yoge api dvitIya karNa Sabda nizWa svaBAvAt svara vEzamyam /
        naitrānandena candreṇa māhendrī digalaṅkṛtetyādau	nEtra Anandena candreNa mAhendrI diS alaFkRtA ityAdO
   nakārarapheyuktadakārayordūrāvasthānād anuprāsābhāvabuddhirna kāryyā,	nakAra raPeyukta dakArayoH dUra avasTAnAt anuprAsa aBAva budDiH na kAryyA,
   saṃskāravicchedābhāvād	saMskAra vicCeda aBAvAt 
   yaduktaṃ  "pūrvānubhavasaṃskārabodhanīyetyadūrate"ti /	yat uktaM  " pUrva anuBava saMskAra boDanIyA iti adUrate"ti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   cheko vyañjanasaṅghasya sakṛtsāmyamanekadhā // VisSd_10.3 //	CekaH vyaQjana saFGasya sakRt sAmyam anekaDA // VisSd _10.3 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) tatra chekānuprāsalakṣaṇamāha   cheka iti /	(vi, Qa) tatra Ceka anuprAsa lakzaNam Aha   SekaH iti /
        vyañjanasaṅgatvamatra ekavyañjanabhinnatvamātraṃ vivakṣitam /	vyaQjana saFga tvam atra eka vyaQjana Binna tva mAtram vivakzitam /
        tena dvayostṣādīnāṃ ca tathātvam /	tena dvayoH tza AdInAm ca taTAtvam /
        Locanā:	LocanA:
        (lo, e) tad bhedānāha /	(lo, e) tat BedAn Aha /
        saṅghaśabdenātra naikasya vyañjanasyāsakṛdekavāramanekadhā svarūpataḥ	saFGa Sabdena atra na ekasya vyaQjanasya asakRt eka vAram anekaDA svarUpataH
   kramataśca /	kramataH ca /
        etadevoktaṃ vṛttāvanekadhetyādinā /	etat eva uktam vRttO= anekaDA itya AdinA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
