   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   rājño vipad-bandhu-viyoga-duḥkhaṃ deśa-cyutir durgama-mārga-khedaḥ /	rAjQaH vipad-banDu--viyoga--duHKam deSa--cyutiH durgama--mArga---KedaH /
   āsvādyate 'syāḥ kaṭu-niṣphalāyāḥ phalaṃ mayaitac cira-jīvitāyāḥ //	AsvAdyate asyAH kawu-nizPalAyAH Palam mayA-etat cira--jIvitAyAH //
   HPri_1.4 //	HPri_1.4 //
   (sa-śokaṃ sa-vismayaṃ ca) | tādṛśasyāpi nāmāpratihata-śakti-trayasya	(sa-Sokam sa-vismayam ca) | tAdRSasya-api nAma-apratihata--Sakti--trayasya
   Raghu-Dilīpa-Nala-tulyasya devasya Dṛḍhavarmaṇo mat-prārthyamānāpy anena	RaGu-DilI-pa-Nala--tulyasya devasya DRXavarmaNaH mat--prArTyamAnA-api anena
   sva-duhitā Vatsarājāya datteti baddhānuśayena Vatsarājo bandhanān na	sva--duhitA Vatsa-rAjAya dattA-iti badDa-anuSayena Vatsa-rAjaH banDanAt na
   nivartata iti ca labdha-randhreṇa sahasāgatya Kaliṅga-hatakena vipattir	nivartate iti ca labDa-ranDreNa sahasA-Agatya KaliFga-hatakena vipattiH-
   īdṛśī kriyata iti yat satyam upapannam api na śraddadhe | katham	IdRSI kriyate iti yat satyam upapannam api na SraddaDe | kaTam
   ekānta-niṣṭhuram īdṛśaṃ ca daivam asmāsu | yena sāpi rājaputrī	ekAnta--nizWuram IdRSam ca dEvam asmAsu | yena sA-api rAja-putrI
   yathā-kathaṃcid enāṃ Vatsarājāyopanīya svāminam an-ṛṇaṃ kariṣyāmīti matvā	yaTA-a-kaTaMcid enAm Vatsa-rAjAya-upanIya svAminam an-RNam karizyAmi-iti matvA
   mayā tādṛśād api pralaya-kāla-dāruṇād avaskanda-saṃbhramād apavāhya	mayA tAdRSAt api pralaya--kAla-dAruNAt avaskanda--saMBramAt apavAhya
   devasya Dṛḍhavarmaṇo mitra-bhāvānvitasyaivāṭavikasya nṛpater Vindhyaketor	devasya DRXavarmaNaH mitra-BAva-anvitasya-eva-Awavikasya nRpateH VinDyaketor
   gṛhe sthāpitā satī snānāya nātidūram ity Agastya-tīrthaṃ gate mayi kṣaṇāt	gRhe sTApitA satI snAnAya na-ati-dUram iti Agastya-tIrTam gate mayi kzaNAt-
   kair api nipatya hate Vindhyaketau rakṣobhir iva nirmānuṣī-kṛte dagdhe	kEH api nipatya hate VinDya-ketO rakzoBiH iva nirmAnuzI--kRte dagDe
   sthāne na jñāyate kasyām avasthāyāṃ vartata iti | nipuṇaṃ ca vicitam etan	sTAne na jQAyate kasyAm avasTAyAm vartate iti | nipuNam ca vicitam etat-
   mayā sarvaṃ sthānam | na ca jñātaṃ kiṃ tair eva dasyubhir nītāthavā	mayA sarvam sTAnam | na ca jQAtam kim tEH eva dasyuBiH nItA-aTavA
   dagdheti | tat kiṃ karomi manda-bhāgyaḥ | (vicintya) | aye | śrutaṃ mayā	dagDA-iti | tat kim karomi manda--BAgyaH | (vicintya) | aye | Srutam mayA
   bandhanāt paribhraṣṭaḥ Pradyota-tanayām apahṛtya Vatsarājaḥ Kauśāmbīm	banDanAt pariBrazwaH Pradyota-tanayAm apahRtya Vatsa-rAjaH KOSAmbIm
   āgata iti | [p. 5] kiṃ tatraiva gacchāmi | (niḥśvasyātmano 'vasthāṃ	AgataH iti | [p. 5] kim tatra-eva gacCAmi | (niHSvasya-AtmanaH avasTAm
   paśyan) | kim iva hi rājaputryā vinā tatra gatvā kathayiṣyāmi | aye |	paSyan) | kim iva hi rAja-putryA vinA tatra gatvA kaTayizyAmi | aye |
   kathitaṃ cādya mama Vindhyaketunā -- mā bhaiṣīḥ | jīvati tatra-bhavān	kaTitam ca-adya mama VinDya-ketunA - mA BEzIH | jIvati tatra-BavAn
   mahā-rājo Dṛḍhavarmā gāḍha-prahāra-jarjarī-kṛto baddhas tiṣṭhati | iti |	mahA--rAjaH DRXavarmA gAXa--prahAra--jarjarI--kRtaH badDaH tizWati | iti |
   tad adhunā svāminam eva gatvā pāda-paricaryayā jīvita-śeṣam ātmanaḥ	tat aDunA svAminam eva gatvA pAda--paricaryayA jIvita--Sezam AtmanaH
   saphalayiṣyāmi (parikramyordhvam avalokya) | aho atidāruṇatā śaradātapasya	saPalayizyAmi (parikramya-UrDvam avalokya) | aho ati-dAruNa-tA Sarad-Atapasya
   | yad evam aneka-duḥkha-saṃtāpitenāpi mayā tīkṣṇo 'vagamyate |	| yat evam aneka--duHKa--saMtApitena-api mayA tIkzNaH avagamyate |
   ghana-bandhana-mukto 'yaṃ kanyā-grahaṇāt paraṃ tulāṃ prāpya /	Gana-banDana-muktaH ayam kanyA--grahaNAt param tulAm prApya /
   ravir adhigata-sva-dhāmā pratapati khalu Vatsarāja iva // HPri_1.5 //	raviH aDigata-sva-DAmA pratapati Kalu Vatsa-rAjaH iva // HPri_1.5 //
   (iti niṣkrāntaḥ) |	(iti nizkrAntaH) |
   (iti viṣkambhakaḥ) |	(iti vizkamBakaH) |
   (tataḥ praviśati rājā vidūṣakaś ca) |	(tatas praviSati rAjA vidUzakaH ca) |
   rājā -	rAjA -
   bhṛtyānām avikāritā parigatā dṛṣṭā matir mantriṇāṃ	BRtyAnAm avikAritA parigatA dRzwA matiH mantriNAm
   mitrāṇy apy upalakṣitāni viditaḥ paurānurāgo 'dhikam /	mitrANi api upalakzitAni viditaH pOra-anurAgaH aDikam /
   nirvyūḍhā raṇa-sāhasa-vyasanitā strī-ratnam āsāditaṃ	nirvyUXA raNa--sAhasa--vyasani-tA strI--ratnam AsAditam
   nirvyājād iva dharmataḥ kim iva na prāptaṃ mayā bandhanāt // HPri_1.6 //	nirvyAjAt iva DarmataH kim iva na prAptam mayA banDanAt // HPri_1.6 //
   [p. 6]	[p. 6]
   vidūṣakaḥ - (sa-roṣam) | bho vassa | kahaṃ taṃ evva dāsīe uttaṃ	vidUzakaH  (sa-rozam) | Bo vassa | kaham tam evva dAsIe uttam
   bandhaṇa-hadaaṃ pasaṃsesi | taṃ dāṇiṃ visumaridaṃ | jaṃ taha ṇava-ggaho	banDaNa-hadaam pasaMsesi | tam dANim visumaridam | jam taha Nava-ggahaH-
   via gaa-vaī khala-khalāamāṇa-loha-siṅkhalābandha-paḍikkhalanta-calaṇo	via gaa-vaI Kala--KalAa-mANa--loha--siFKalA-banDa--paxik-Kalanta--calaNaH-
   suṇṇa-dukkhara-pisuṇida-hiaa-saṃdāvo rosa-vas'-uttambhida-diṭṭhī	suNNa-dukKara-pisuNi-da-hiaa--saMdAvaH rosa-vas-a-uttamBi-da-diwWI
   gurua-kara-phoḍia-dharaṇi-maggo raaṇīsu vi aṇiddā-suhaṃ aṇuhūdo si | [bho	gurua-kara-Poxia-DaraNi-maggaH raaNIsu vi aNiddA-suham aNuhUdaH si | [Bo
   vayasya | kathaṃ tam eva dāsyāḥ putraṃ bandhana-hatakaṃ praśaṃsasi | tad	vayasya | kaTam tam eva dAsyAH putram banDana-hatakam praSaMsasi | tat-
   idānīṃ vismṛtam | yat tathā nava-graha iva gaja-patiḥ	idAnIm vismRtam | yat taTA nava-grahaH iva gaja--patiH
   khala-khalāyamāna-loha-śṛṅkhalābandha-pratiskhalac-caraṇaḥ	Kala--KalAyamAna--loha--SRFKalA-banDa--pratisKala-c-caraNaH
   śūnya-mukha-puṣkara-piśunita-ddhṛdaya-saṃtāpo roṣa-vaśottambhita-dṛṣṭir	SUnya--muKa--puzkara--piSuni-ta-dhRdaya--saMtApaH roza--vaSa-uttamBita-dRzwiH-
   guruka-kara-sphoṭita-dharaṇi-mārgo rajanīṣv apy anidrā-sukham anubhūto	guru-ka-kara--sPowita--DaraNi--mArgaH rajanIzu api anidrA--suKam anuBUtaH-
   'si] |	asi] |
   rājā - Vasantaka durjanaḥ khalv asi | paśya |	rAjA  Vasantaka durjanaH Kalu asi | paSya |
   dṛṣṭaṃ cārakam andhakāra-gahanaṃ no tan-mukhendu-dyutiḥ	dRzwam cArakam anDakAra--gahanam no tan--muKa-indu-dyutiH
   pīḍā te nigala-svanena madhurās tasyā giro na śrutāḥ /	pIxA te nigala--svanena maDurAH tasyAH giraH na SrutAH /
   krūrā bandhana-rakṣiṇo 'dya manasi snigdhāḥ kaṭākṣā na te	krUrAH banDana--rakziNaH adya manasi snigDAH kawAkzAH na te
   doṣān paśyasi bandhanasya na punaḥ Pradyota-putryā guṇān // HPri_1.7 //	dozAn paSyasi banDanasya na punar Pradyota-putryAH guNAn // HPri_1.7 //
   vidūṣakaḥ - (sa-garvam) | bho | jai dāva bandhaṇaṃ suha-ṇibandhaṇaṃ hoi tā	vidUzakaH  (sa--garvam) | Bo | jE dAva banDaNam suha-NibanDaNam hoi tA
   kīsa tumaṃ Diḍhavammā baddho tti Kaliṅga-raṇṇo uvari rosaṃ bandhesi |	kIsa tumam DiXavam-mA badDaH tti KaliFga-raNNaH uvari rosam banDesi |
   [bhoḥ | yadi tāvad bandhanaṃ sukha-nibandhanaṃ bhavati [p. 7] tat kasmāt	[BoH | yadi tAvat banDanam suKa--nibanDanam Bavati [p. 7] tat kasmAt-
   tvaṃ Dṛḍhavarmā baddha iti Kaliṅga-rājasyopari roṣaṃ badhnāsi] |	tvam DRXavarmA badDaH iti KaliFga--rAjasya-upari rozam baDnAsi] |
   rājā - (vihasya) | dhiṅ mūrkha | na khalu sarvo Vatsarājo ya evaṃ	rAjA  (vihasya) | Dik mUrKaH | na Kalu sarvaH Vatsa-rAjaH yaH evam
   Vāsavadattām avāpya bandhanān niryāsyati | tad āstāṃ tāvad iyaṃ kathā |	VAsavadattAm avApya banDanAt niryAsyati | tat AstAm tAvat iyam kaTA |
   Vindhyaketor upari bahūny ahāni Vijayasenasya preṣitasya na cādyāpi	VinDya-ketoH upari bahUni ahAni Vijayasenasya prezitasya na ca-adya-api
   tat-sakāśāt kaścid āgataḥ | tad āhūyatāṃ tāvad amātyo Rumaṇvān | tena saha	tat--sakASAt kaScid AgataH | tat AhUyatAm tAvat amAtyaH RumaNvAn | tena saha
   kiṃcid ālapitum icchāmi |	kiMcid Alapitum icCAmi |
   (praviśya) |	(praviSya) |
   pratīhārī - jedu jedu devvo | eso kkhu Vijaaseṇo amacco Rumaṇṇo vi	pratIhArI  jedu jedu devvaH | esaH kKu VijaaseNaH amaccaH Ru-maNNaH vi
   paḍihāra-bhūmiṃ uvaṭṭhio | [jayatu jayatu devaḥ | eṣa khalu Vijayaseno	paxihAra--BUmim uvawWiaH | [jayatu jayatu devaH | eza Kalu Vijayasena-u
   'mātyo Rumaṇvān api pratīhāra-bhūmim upasthitau] |	amAtyaH RumaNvAn api pratIhAra--BUmim upasTitO] |
   rājā - tvaritaṃ praveśaya tau |	rAjA  tvaritam praveSaya tO |
   pratīhārī - jaṃ devo āṇavedi | [yad deva ājñāpayati] | (iti niṣkrāntā) |	pratIhArI  jam devaH ANavedi | [yat devaH AjQApayati] | (iti nizkrAntA) |
   (tataḥ praviśati Rumaṇvān Vijayasenaś ca)	(tatas praviSati RumaNvAn VijayasenaH ca)
   Rumaṇvān - (vicintya) |	RumaNvAn  (vicintya) |
   tat kṣanam api niṣkrāntāḥ kṛta-doṣā iva vināpi doṣeṇa /	tat kzanam api nizkrAntAH kRta-dozAH iva vinA-api dozeNa /
   praviśanti śaṅkamānā rāja-kulaṃ prāyaśo bhṛtyāḥ // HPri_1.8 //	praviSanti SaFkamAnAH rAja--kulam prAyaSas BRtyAH // HPri_1.8 //
   (upasṛtya) | jayatu devaḥ |	(upasRtya) | jayatu devaH |
   rājā - (āsanaṃ nirdiśya) | Rumaṇvan | ita āsyatām |	rAjA  (Asanam nirdiSya) | RumaNvan | itas AsyatAm |
   Rumaṇvān - (sa-smitam upaviśya | eṣa khalu jita-Vindhyaketur Vijayasenaḥ	RumaNvAn  (sa--smitam upaviSya | eza Kalu jita--VinDyaketuH VijayasenaH
   praṇamati |	praNamati |
   (Vijayasenas tathā karoti) |	(VijayasenaH taTA karoti) |
   rājā - (sādaraṃ pariṣvajya) | api kuśalī bhavān |	rAjA  (sAdaram parizvajya) | api kuSalI BavAn |
   Vijayasenaḥ - adya svāminaḥ prasādāt |	VijayasenaH  adya svAminaH prasAdAt |
   rājā - Vijayasena upaviśyatām |	rAjA  Vijayasena upaviSyatAm |
   [p. 8]	[p. 8]
   (Vijayasena upaviśati) |	(Vijayasena upaviSati) |
   rājā - Vijayasena kathaya Vindhyaketor vṛttāntam |	rAjA  Vijayasena kaTaya VinDya-ketoH vRttAntam |
   Vijayasenaḥ - deva kim aparaṃ kathayāmi | yādṛśaḥ svāmini kupite |	VijayasenaH  deva kim aparam kaTayAmi | yAdRSaH svAmini kupite |
   rājā - tathāpi vistarataḥ śrotum icchāmi |	rAjA  taTA-api vistarataH Srotum icCAmi |
   Vijayasenaḥ - deva śrūyatām | ito vayaṃ deva-pādādeśād yathādiṣṭena	VijayasenaH  deva SrUyatAm | itas vayam deva-pAda-AdeSAt yaTA-Adizwena
   kari-turaga-padāti-dainyena mahāntam apy adhvānaṃ divasa-trayeṇollaṅghya	kari--turaga-padAti-dEnyena mahAntam api aDvAnam divasa--trayeNa-ullaFGya
   prabhāta-velāyām atarkitā eva Vindhyaketor upari nipatitāḥ smaḥ |	praBAta--velAyAm atarkitAH eva VinDyaketoH upari nipatitAH smaH |
   rājā - tatas tataḥ |	rAjA  tatas tatas |
   Vijayasenaḥ - tataḥ so 'py asmad-bala-tumula-kalakalākarṇanena	VijayasenaH  tatas saH api asmad--bala--tumula--kalakala-AkarNanena
   pratibuddhaḥ kesarīva Vindhya-kandarān nirgatya Vindhyaketur	pratibudDaH kesarI-iva VinDya--kandarAn nirgatya VinDyaketuH-
   an-apekṣita-bala-vāhano yathāsaṃnihita katipaya-sahāyaḥ sahasā	an-apekzita-bala--vAhanaH yaTA-saMnihita katipaya--sahAyaH sahasA
   sva-nāmodghoṣayann asmān abhiyoddhuṃ pravṛttaḥ |	sva-nAma-udGozayan asmAn aBiyodDum pravRttaH |
   rājā - (Rumaṇvantam avalokya sa-smitam) | śobhitaṃ Vindhyaketunā | tatas	rAjA  (RumaNvantam avalokya sa--smitam) | SoBitam VinDya-ketunA | tatas-
   tataḥ |	tatas |
   Vijayasenaḥ - tato 'smābhir ayam asāv iti	VijayasenaH  tatas asmABiH ayam asO iti
   dviguṇatara-baddha-matsarotsāhair mahatā vimardena niḥśeṣita-sahāya eka	dviguNatara--badDa--mad-sara-utsAhEH mahatA vimardena niHSezita--sahAyaH eka
   eva vimarditādhika-bala-krodha-vego dāruṇataraṃ saṃprahāram akarot |	eva vimardita-aDika-bala--kroDa--vegaH dAruNataram saMprahAram akarot |
   rājā - sādhu Vindhyaketo | sādhu sādhu |	rAjA  sADu VinDyaketo | sADu sADu |
   Vijayasenaḥ - kiṃ vā varṇyate deva | saṃkṣepato vijñāpayāmi |	VijayasenaH  kim vA varNyate deva | saMkzepataH vijQApayAmi |
   pādātaṃ pātter eva prathamataram uraḥ-peṣa-mātreṇa piṣṭvā	pAdAtam pAtteH eva praTamataram uraH-peza--mAtreNa pizwvA
   dūrān nītvā śaraughair hariṇa-kulam iva trastam aśvīyam āśāḥ /	dUrAt nItvA Sara-oGEH hariNa-kulam iva trastam aSvIyam ASAH /
   [p. 9]	[p. 9]
   sarvatrotsṛṣṭa-sarva-praharaṇa-nivahas tūrṇam utkhāya khaḍgaṃ	sarvatra-utsRzwa--sarva--praharaNa--nivahaH tUrNam utKAya Kaxgam
   paścāt kartuṃ pravṛttaḥ kari-kara-kadalī-kānana-ccheda-līlām // HPri_1.9	paScAt kartum pravRttaH kari-kara--kadalI--kAnana--=-Ceda--lIlAm // HPri_1.9
   evaṃ bala-tritayam ākulam eka eva	evam bala-tritayam Akulam ekaH eva
   kurvan kṛpāṇa-kiraṇa-cchuritāṃsa-kūṭaḥ /	kurvan kRpANa--kiraNa--cCurita-aMsa-kUwaH /
   śastra-prahāra-śata-jarjaritoru-vakṣāḥ	Sastra--prahAra--Sata--jarjarita-Uru-vakzAH
   śrāntaś cirād vinihato yudhi Vindhyaketuḥ // HPri_1.10 //	SrAntaH cirAt vinihataH yuDi VinDyaketuH // HPri_1.10 //
   rājā - Rumaṇvan | sat-puruṣocitaṃ mārgam anugacchato yat satyaṃ vrīḍitā	rAjA  RumaNvan | sat--puruza-ucitam mArgam anugacCataH yat satyam vrIxitA
   eva vayaṃ Vindhyaketor maraṇena |	eva vayam VinDya-ketoH maraNena |
   Rumaṇvān - deva tvad-vidhānām evaṃ guṇaika-pakṣa-pātināṃ ripor api guṇāḥ	RumaNvAn  deva tvad--viDAnAm evam guNa-eka--pakza--pAtinAm ripoH api guNAH
   prītiṃ janayanti |	prItim janayanti |
   rājā - Vijayasena apy asti Vindhyaketor apatyaṃ yatrāsya paritoṣasya	rAjA  Vijayasena api asti VinDya-ketoH apatyam yatra-asya paritozasya
   phalaṃ darśayāmi |	Palam darSayAmi |
   Vijayasenaḥ - deva idam api vijñāpayāmi | evaṃ sa-bandhu-parivāre hate	VijayasenaH  devaH idam api vijQApayAmi | evam sa-banDu--parivAre hate
   Vindhyaketau tam anusṛtāsu saha-dharma-cāriṇīṣu Vindhya-śikharāśriteṣu	VinDyaketO tam anusRtAsu saha--Darma--cAriNIzu VinDya--SiKara-ASritezu
   jana-padeṣu śūnyī-bhūte tat-sthāne hā tāta hā mātaḥ iti	jana--padezu SUnyI--BUte tat-sTAne hA tAta hA mAtar iti
   kṛta-kṛpaṇa-pralāpā Vindhyaketor veśmany ābhijātyānurūpā kanyakā	kRta--kRpaNa--pralApAH VinDya-ketoH veSmani ABijAtya-anurUpA kanyakA
   tad-duhitety asmābhir ānītā dvāri tiṣṭhati | tāṃ prati devaḥ pramāṇam |	tat--duhitA-iti asmABiH AnItAH dvAri tizWati | tAm prati devaH pramANam |
   [p. 10]	[p. 10]
   rājā - Yaśodhare gaccha | tvam eva Vāsavadattāyāḥ samarpaya | vaktavyā ca	rAjA  YaSoDare gacCa | tvam eva VAsavadattAyAH samarpaya | vaktavyA ca
   devī | bhaginī-buddhyā tvayaiva sarvadā draṣṭavyā | gīta-nṛtta-vādyādiṣu	devI | BaginI--budDyA tvayA-eva sarvadA drazwavyA | gIta-nRtta-vAdya-Adizu
   viśiṣṭa-kanyakocitaṃ sarvaṃ śikṣayitavyā | yadā vara-yogyā bhaviṣyati tadā	viSizwa-kanyakA-ucitam sarvam SikzayitavyA | yadA vara-yogyA Bavizyati tadA
   māṃ smārayeti |	mAm smAraya-iti |
   pratīhārī - jaṃ devo āṇavedi | [yad deva ājñāpayati] | (iti niṣkrāntā) |	pratIhArI  jam devaH ANavedi | [yat devaH AjQApayati] | (iti nizkrAntA) |
   (nepathye vaitālikaḥ) |	(nepaTye vEtAlikaH) |
   līlā-majjana-maṅgalopakaraṇa-snānīya-sampādinaḥ	lIlA-a-majjana--maFgala-upakaraNa--snAnIya--sampAdinaH
   sarvāntaḥpura-vāra-vibhramavatī-lokasya te saṃprati /	sarva-antaHpura--vAra--viBramavatI--lokasya te saMprati /
   āyāsa-skhalad-aṃśukāvyavahita-cchāyāvadātaiḥ stanair	AyAsa--sKalat--aMSuka-avyavahita--=-CAyA-avadAtEH stanEH-
   utkṣiptāpara-śātakumbha-kalaśevālaṃkṛtā snāna-bhūḥ // HPri_1.11 //	utkzipta-apara-SAtakumBa-kala-Seva-alaMkRtA snAna--BUH // HPri_1.11 //
   rājā - (ūrdhvam avalokya) | aye kathaṃ nabho-madhyam adhyāste bhagavān	rAjA  (u-UrDvam avalokya) | aye kaTam naBo-maDyam aDyAste BagavAn
   sahasra-dīdhitiḥ | saṃprati hi |	sahasra-dIDitiH | saMprati hi |
   ābhāty arkāṃśu-tāpa-kvathad iva śapharodvartanair dīrghikāmbhaś	ABAti arka-aMSu-tApa--kvaTat iva SaPara-udvartanEH dIrGikA-amBaS
   chatrābhaṃ nṛtta-līlā-śithilam api śikhī barha-bhāraṃ tanoti /	Catra-ABam nRtta--lIlA--SiTilam api SiKI barha-BAram tanoti /
   [p. 11]	[p. 11]
   chāyā-cakraṃ tarūṇāṃ hariṇa-śiśur upaityālavālāmbu-lubdhaḥ	CAyA-cakram tarUNAm hariNa--SiSuH upEti-AlavAla-ambu--lubDaH
   sadyas tyaktvā kapolaṃ viśati madhu-karaḥ karṇa-pālīṃ gajasya // HPri_1.12	sadyas tyaktvA kapolam viSati maDu-karaH karNa-pAlIm gajasya // HPri_1.12
   Rumaṇvan | uttiṣṭhottiṣṭha | praviśyābhyantaram eva kṛta-yathocita-kriyāḥ	RumaNvan | uttizWa-uttizWa | praviSya-aByantaram eva kRta--yaTocita-kriyAH
   sat-kṛtya Vijayasenaṃ Kaliṅgocchittaye preṣayāmaḥ |	sat-kRtya Vijayasenam KaliFga-ucCittaye prezayAmaH |
   (iti niṣkrāntāḥ sarve) |	(iti nizkrAntAH sarve) |
   (iti prathamo 'ṅkaḥ) ||	(iti praTamaH aFkaH) ||
   vidūṣakaḥ - ṇaṃ bhaṇido mhi Indīvariāe jaha ajja uvavāsa-ṇiama-ṭṭhiā devī	vidUzakaH  Nam BaNidaH mhi IndIvariAe jaha ajjaH uvavAsa-Niam-a-wWiA devI
   Vāsavadattā sotthi-vāaṇa-ṇimittaṃ saddāvedi tti | tā jāva	VAsavadattA sa-utTi-vAaNa--Nimittam sat-dAvedi tti | tAH jAva
   dhārā-ghar'-ujjāṇa-digghiāe ṇhāia devī-pāsaṃ gadua kukkuṭa-vādaṃ karissaṃ	DArA-Gar-a-ujjANa--diS-hiAe NhAia devI--pAsam gadua kukkuwa-vAdam karissaM
   | aṇṇahā kahaṃ amhāṇaṃ sarisā brahmaṇā (sic) rāa-kule paḍiggahaṃ karenti |	| aNNa-hA kaham amhANam sarisA brahmaNA (sic) rAa-kule paxiggaham karenti |
   (nepathyābhimukham avalokya) kahaṃ eso pia-vaasso ajja devīe	(nepaTya-aBimuKam avalokya) kaham esaH pia-vaassaH ajja devIe
   virah'-ukkaṇṭha-viṇodaṇā-ṇimittaṃ dhārā-ghar'-ujjāṇe evva patthido | tā	viraha-uj-kaNWa-viNA-udaNa-a-Ni-mittam DArA-Gar-a-ujjANe evva patTi-daH | tA
   jāva vaasseṇa saha evva gadua jahodidaṃ aṇuciṭṭhissaṃ | [nanu bhaṇito	jAva vaasseNa saha evva gadua jahodidam aNu-ciwWissam | [nanu BaNitaH-
   'smīndivarikayā yathā upavāsa-niyama-sthitā devī Vāsavadattā	asmIn-divarikayA yaTA upavAsa--niyama--sTitA devI VAsavadattA
