   Ārya Maitreyavyākaraṇaṃ	Ārya MEtreya-vyAkaraNam
   iyaṃ me paścimā jāti nāsti bhūyaḥ punarbhavaḥ /	iyam me paScimA jAti na-asti BUyas punarBavaH /
   na punarabhā gamiṣyāmi nirvāsyāmi nirāsravaḥ // Mvyā_36 //	na punar-aBA gamizyAmi nirvAsyAmi nirAsravaH // MvyAH-_36 //
   saṃsārārṇavamagnānāṃ sattvānāṃ duḥkhabhāgināṃ /	saMsAra-arNava-magnAnAm sattvAnAm duHKa-BAginAm /
   tṛṣṇābandhanabaddhānāṃ kariṣyāmi vimocanam // Mvyā_37 //	tRzNA-banDana-badDAnAm karizyAmi vimocanam // MvyAH-_37 //
   śvetaṃ cāsya surāśchatraṃ dhārayiṣyanti mūrdhani /	Svetam ca-asya surAH-Catram DArayizyanti mUrDani /
   śītoṣṇavāridhārābhyāṃ nāgendrau snāpayiṣyataḥ // Mvyā_38 //	SIta-uzNa-vAri-DArAByAm nAga-indrO snApayizyataH // MvyAH-_38 //
   pratigṛhya ca taṃ dhātrī dvātriṃśadvaralakṣaṇam /	pratigRhya ca tam DAtrI dvAtriMSat-vara-lakzaNam /
   śriyā jvalantaṃ maitreyaṃ mātre samupaneṣyati // Mvyā_39 //	SriyA jvalantam mEtreyam mAtre samupanezyati // MvyAH-_39 //
   manoramāṃ ca śivikāṃ nānāratnavibhūṣitāṃ /	manoramAm ca SivikAm nAnA-ratna-viBUzitAm /
   ārūḍhāṃ putrasahitāṃ vahiṣyanti ca devatā // Mvyā_40 //	ArUXAm putra-sahitAm vahizyanti ca devatAH // MvyAH-_40 //
   tatastūrya sahasreṣu vādyamāneṣu tatpuraṃ /	tatas-tUrya sahasrezu vAdyamAnezu tat-puram /
   praviṣṭamātre maitreye puṣpavarṣaṃ patiṣyati // Mvyā_41 //	pravizwa-mAtre mEtreye puzpa-varzam patizyati // MvyAH-_41 //
   dṛṣṭaivaṃ putraṃ subrahmā dvātriṃśadvaralakṣaṇam /	dRzwA-evam putram subrahmA dvAtriMSat-vara-lakzaNam /
   pratyavīkṣātha mantreṣu tadā prīto bhaviṣyati // Mvyā_42 //	pratyavIkzA-aTa mantrezu tadA prItaH Bavizyati // MvyAH-_42 //
   gatidvayaṃ kumārasya yathā mantreṣu dṛśyate /	gati-dvayam kumArasya yaTA mantrezu dRSyate /
   narādhipaścakravarttī buddho vā dvipadottamaḥ // Mvyā_43 //	narADipaH-cakravarttI budDaH vA dvipada-uttamaH // MvyAH-_43 //
   sa ca yauvanasaṃprāpto maitreyaḥ puruṣottamaḥ /	sa ca yOvana-saMprAptaH mEtreyaH puruzottamaH /
   cintayiṣyati dharmātmā duḥkhitā khalviyaṃ prajāḥ // Mvyā_44 //	cintayizyati Darma-AtmA duHKitA Kalu-iyam prajAH // MvyAH-_44 //
   brahmakharo mahāghoṣo hemavarṇo mahādyutiḥ /	brahmaKaraH mahA-GozaH hema-varNaH mahA-dyutiH /
   viśālavakṣaḥ pīnāṃsaḥ padmapatranibhekṣaṇaḥ // Mvyā_45 //	viSAla-vakzaH pIna-aMsaH padma-patra-niBa-IkzaNaH // MvyAH-_45 //
   hastaḥ pañcāśaducchrāya tasya kāyo bhaviṣyati /	hastaH paQcASat-ucCrAya tasya kAyaH Bavizyati /
   visṛtaśca tato 'rddheṇa śubhavarṇasamucchrayaḥ // Mvyā_46 //	visRtaH-ca tatas ardDeNa SuBa-varNa-samucCrayaH // MvyAH-_46 //
   aśītibhiścaturbhiśca sahasraiḥ saṃpuraskṛtaḥ /	aSItiBiH-caturBiH-ca sahasrEH saMpuraskRtaH /
   mānavānāṃ sa maitreyo mantrānadhyāpayiṣyati // Mvyā_47 //	mAnavAnAm sa mEtreyaH mantrAn-aDyApayizyati // MvyAH-_47 //
   atha śaṃkho narapatiḥ yūpamucchrāpayiṣyati /	aTa SaMKaH narapatiH yUpam-ucCrApayizyati /
   tiryañca ṣoḍaśavyāmaṃ ūrddhva vyāmasahasrakam // Mvyā_48 //	tiryaQca zoxaSa-vyAmam UrdDva vyAma-sahasrakam // MvyAH-_48 //
   sa taṃ yūpaṃ narapatirnānāratnavibhūṣitaṃ /	sa tam yUpam narapatiH-nAnA-ratna-viBUzitam /
   pradāsyati dvijātibhyo yajñaṃ kṛtvā puraḥsaraṃ // Mvyā_49 //	pradAsyati dvijAtiByaH yajQam kRtvA puraHsaram // MvyAH-_49 //
   tañca ratnamayaṃ yūpaṃ dattamātraṃ manoramaṃ /	taQca ratna-mayam yUpam datta-mAtram manoramam /
   brāhmaṇāṇāṃ sahasrāṇi vikiriṣyanti tatkṣaṇāt // Mvyā_50 //	brAhmaNANAm sahasrANi vikirizyanti tad-kzaNAt // MvyAH-_50 //
   yūpasyatasya maitreyo dṛṣṭvā caitāmanityatāṃ /	yUpasyatasya mEtreyaH dRzwvA ca-etAm-anitya-tAm /
   kṛtasraṃ vicintya saṃsāraṃ pravrajyāṃ rocayiṣyati // Mvyā_51 //	kRtasram vicintya saMsAram pravrajyAm rocayizyati // MvyAH-_51 //
   yatvahaṃ pravrajitveha spṛśeyamamṛtaṃ padaṃ /	yatu-aham pravrajitvA-iha spRSeyam-amRtam padam /
   vimocayeyaṃ janatāṃ vyādhimṛtyujarābhayāt // Mvyā_52 //	vimocayeyam janatAm vyADi-mRtyu-jarA-BayAt // MvyAH-_52 //
   aśītibhiḥ sahasraissa caturbhiśca puraskṛtaḥ /	aSItiBiH sahasrEH-sa caturBiH-ca puraskRtaH /
   niṣkramiṣyati maitreyaḥ pravrajyāmagrapugdalaḥ // Mvyā_53 //	nizkramizyati mEtreyaH pravrajyAm-agra-pugdalaH // MvyAH-_53 //
   nāgavṛkṣastadā tasya bodhivṛkṣo bhaviṣyati /	nAgavRkzaH-tadA tasya boDivRkzaH Bavizyati /
   pañcāśadyojanānyasya śākhā ūrddhaṃ samucchritāḥ // Mvyā_54 //	paQcASat-yojanAni-asya SAKAH UrdDam samucCritAH // MvyAH-_54 //
   niṣadya tasya cādhastānmaitreyaḥ puruṣottamaḥ /	nizadya tasya ca-aDastAt-mEtreyaH puruzottamaH /
   anuttarāṃ śivāṃ bodhiṃ samavāpsyati nāyakaḥ // Mvyā_55 //	anuttarAm SivAm boDim samavApsyati nAyakaH // MvyAH-_55 //
   yasyāmeva ca rātrau sa pravrajyāṃ niṣkramiṣyati /	yasyAm-eva ca rAtrO sa pravrajyAm nizkramizyati /
   tasyāṃ eva ca rātrau hi parāṃ bodhimavāpsyati // Mvyā_56 //	tasyAm eva ca rAtrO hi parAm boDim-avApsyati // MvyAH-_56 //
   aṣṭāṅgopetayā vācā tataḥ sa puruṣottamaḥ /	azwAFga-upetayA vAcA tatas sa puruzottamaH /
   deśayiṣyati saddharmaṃ sarvaduḥkhāpahaṃ śivam // Mvyā_57 //	deSayizyati sadDarmam sarva-duHKa-apaham Sivam // MvyAH-_57 //
   prasannāṃ janatāṃ dṛṣṭvā satyāni kathayiṣyati /	prasannAm janatAm dRzwvA satyAni kaTayizyati /
   duḥkhaṃ duḥkhasamutpādaṃ duḥkhasya samatikramaṃ // Mvyā_58 //	duHKam duHKa-samutpAdam duHKasya samatikramam // MvyAH-_58 //
   āryaṃ cāṣṭāṅgikaṃ mārgaṃ kṣemaṃ nirvāṇagāminaṃ /	Aryam ca-azwa-AFgikam mArgam kzemam nirvANa-gAminam /
   taṃ cāpi dharmaṃ saṃśrutya pratipatsyanti śāsane // Mvyā_59 //	tam ca-api Darmam saMSrutya pratipatsyanti SAsane // MvyAH-_59 //
   udyāne puṣpasaṃcchanne sannipāto bhaviṣyati /	udyAne puzpa-saMcCanne sannipAtaH Bavizyati /
   pūrṇaṃ ca yojanaśataṃ parṣattasya bhaviṣyati // Mvyā_60 //	pUrNam ca yojana-Satam parzattasya Bavizyati // MvyAH-_60 //
   śrutvā narapati rājā śaṅkho nāma mahāyaśāḥ /	SrutvA narapati rAjA SaFKaH nAma mahA-yaSAH /
   datvā dānamasaṃkhyeyaṃ pravrajyāṃ niṣkramiṣyati // Mvyā_61 //	datvA dAnam-asaMKyeyam pravrajyAm nizkramizyati // MvyAH-_61 //
   aśītibhiścaturbhiśca sahasraiḥ parivāritaḥ /	aSItiBiH-caturBiH-ca sahasrEH parivAritaH /
   narādhipo viniṣkramya pravrajyāmupayāsyati // Mvyā_62 //	narADipaH vinizkramya pravrajyAm-upayAsyati // MvyAH-_62 //
   anenaiva pramāṇena mānavānāṃ puraskṛtaḥ /	anena-eva pramANena mAnavAnAm puraskRtaH /
   maitreyasya pitā tatra pravrajyāṃ niṣkramiṣyati // Mvyā_63 //	mEtreyasya pitA tatra pravrajyAm nizkramizyati // MvyAH-_63 //
   tato gṛhapatistatra sudhano nāma viśrutaḥ /	tatas gRhapatiH-tatra suDanaH nAma viSrutaH /
   pravrajiṣyati śuddhātmā maitreyasyānuśāsane // Mvyā_64 //	pravrajizyati SudDa-AtmA mEtreyasya-anuSAsane // MvyAH-_64 //
   strīratnamatha śaṅkhasya viśākhā nāma viśrutā /	strI-ratnam-aTa SaFKasya viSAKA nAma viSrutA /
   aśītibhiścaturbhiśca sahasraiḥ saṃpuraṣkṛtā //	aSItiBiH-caturBiH-ca sahasrEH saMpurazkRtA //
   nārīṇāmabhiniṣkramya pravrajyāṃ rocayiṣyati // Mvyā_65 //	nArINAm-aBinizkramya pravrajyAm rocayizyati // MvyAH-_65 //
   prāṇinaḥ tatra samaye sahasrāṇi śatāni ca /	prANinaH tatra samaye sahasrANi SatAni ca /
   pravrajyāmupayāsyanti maitreyasyānuśāsane // Mvyā_66 //	pravrajyAm-upayAsyanti mEtreyasya-anuSAsane // MvyAH-_66 //
   supuṣpite 'sminnudyāne sannipāto bhaviṣyati /	su-puzpite asmin=-udyAne sannipAtaH Bavizyati /
   samantato yojanaśataṃ parṣat tasya bhaviṣyati // Mvyā_67 //	samantataH yojana-Satam parzad tasya Bavizyati // MvyAH-_67 //
   tataḥ kāruṇikaḥ śāstā maitreyaḥ puruṣottamaḥ /	tatas kAruNikaH SAstA mEtreyaH puruzottamaH /
   samitiṃ vyavalokyātha imamarthaṃ pravakṣayati // Mvyā_68 //	samitim vyavalokya-aTa imam-arTam pravakzayati // MvyAH-_68 //
   sarvete śākyasiṃhena guṇiśreṣṭheṇa trāyinā /	sarvete SAkya-siMhena guNi-SrezWeNa trAyinA /
   arthato lokanāthena dṛṣṭvā saddharmadhātunā /	arTataH lokanATena dRzwvA sadDarma-DAtunA /
   ropitā mokṣamārgeṇa vikṣiptā mama śāsane // Mvyā_69 //	ropitA mokza-mArgeNa vikziptAH mama SAsane // MvyAH-_69 //
   chatradhvajapatākābhirgandhamālyavilepanaiḥ /	Catra-Dvaja-patAkABiH-ganDa-mAlya-vilepanEH /
   kṛtvā stūpeṣu satkāraṃ āgatā hi mamāntikam // Mvyā_70 //	kRtvA stUpezu satkAram AgatA hi mama-antikam // MvyAH-_70 //
   saṃghe datvā ca dānāni cīvaraṃ pānabhojanaṃ /	saMGe datvA ca dAnAni cIvaram pAna-Bojanam /
   vividhaṃ glānabhaiṣajyaṃ āgatā hi mamāntikam // Mvyā_71 //	viviDam glAna-BEzajyam AgatA hi mama-antikam // MvyAH-_71 //
   kuṃkumodakasekaṃ ca candanenānulepanaṃ /	kuMkuma-udaka-sekam ca candanena-anulepanam /
   datvā śākyamuneḥ stūpeṣvāgatā hi mamāntikam // Mvyā_72 //	datvA SAkya-muneH stUpezu-AgatA hi mama-antikam // MvyAH-_72 //
   śikṣāpadāni cādhāya śākyasiṃhasya śāsane /	SikzA-padAni ca-ADAya SAkya-siMhasya SAsane /
   paripālaya yathābhūtaṃ āgatā hi mamāntikam // Mvyā_73 //	paripAlaya yaTABUtam AgatA hi mama-antikam // MvyAH-_73 //
   upoṣadhaṃ upoṣyeha āryamaṣṭāṅgikaṃ śubhaṃ /	upozaDam upozya-iha Aryam-azwa-AFgikam SuBam /
   caturdaśīṃ pañcadaśīṃ pakṣasyehāṣṭamīṃ tathā /	caturdaSIm paQcadaSIm pakzasya-iha-azwamIm taTA /
   prātihārikapakṣaṃ cāṣyaṣṭāṅgaṃ susamāhitaṃ // Mvyā_74 //	prAtihArika-pakzam ca-azi-azwa-aFgam su-samAhitam // MvyAH-_74 //
   śīlāni ca samādāya saṃprāptāni ca śāsanam /	SIlAni ca samAdAya saMprAptAni ca SAsanam /
   buddhaṃ dharmeṃ ca saṃghaṃ ca sattvāste śāsanaṃ gatāḥ //	budDam Darmem ca saMGam ca sattvAH-te SAsanam gatAH //
   kṛtvā ca kuśalaṃ karma macchāsanamupāgatāḥ // Mvyā_75 //	kRtvA ca kuSalam karma mad-SAsanam-upAgatAH // MvyAH-_75 //
   tenaite preṣitāḥ sattvā pratiṣṭāśca mayāpyamī /	tena-ete prezitAH sattvAH pratizwAH-ca mayA-api-amI /
   gaṇiśreṣṭheṇa muninā parītā bhūrimedhasā // Mvyā_76 //	gaNi-SrezWeNa muninA parItA BUri-meDasA // MvyAH-_76 //
   prasannāṃ janatāṃ dṛṣṭvā satyāni kathayiṣyati /	prasannAm janatAm dRzwvA satyAni kaTayizyati /
   śrutvā ca te tato dharmaṃ prāpsyanti padamuttamam // Mvyā_77 //	SrutvA ca te tatas Darmam prApsyanti padam-uttamam // MvyAH-_77 //
   prātihāryatrayeṇāsau śrāvakānvinayiṣyati /	prAtihArya-trayeNa-asO SrAvakAn-vinayizyati /
   sarvete āsravāstatra kṣipayiṣyanti suratāḥ // Mvyā_78 //	sarvete AsravAH-tatra kzipayizyanti suratAH // MvyAH-_78 //
   prathamaḥ sannipātosya śrāvakāṇāṃ bhaviṣyati /	praTamaH sannipAtosya SrAvakANAm Bavizyati /
   pūrṇāḥ ṣaṇṇavatikoṭyaḥ śrāvakāṇāṃ bhavacchidāṃ // Mvyā_79 //	pUrNAH zaNNavati-kowyaH SrAvakANAm Bavat-CidAm // MvyAH-_79 //
   dvitīyaḥ sannipātosya śrāvakāṇāṃ bhaviṣyati /	dvitIyaH sannipAtosya SrAvakANAm Bavizyati /
   pūrṇāścaturnavati koṭyaḥ śāntānāṃ bhūrimedhasāṃ // Mvyā_80 //	pUrNAH-caturnavati kowyaH SAntAnAm BUri-meDasAm // MvyAH-_80 //
   tṛtīyaḥ sannipātosya śrāvakāṇāṃ bhaviṣyati /	tRtIyaH sannipAtosya SrAvakANAm Bavizyati /
   pūrṇāḥ dvāviṃśati koṭyaḥ śāntānāṃ śāntacetasāṃ // Mvyā_81 //	pUrNAH dvAviMSati kowyaH SAntAnAm SAnta-cetasAm // MvyAH-_81 //
   dharmacakraṃ pravartyātha vinīya suramānuṣān /	Darma-cakram pravartya-aTa vinIya sura-mAnuzAn /
   sārdhaṃ śrāvakasaṃgheṇa pure piṇḍaṃ cariṣyati // Mvyā_82 //	sArDam SrAvaka-saMGeNa pure piNxam carizyati // MvyAH-_82 //
   tataḥ praviśatastasyāṃ ramyāṃ ketumatīṃ purīṃ /	tatas praviSataH-tasyAm ramyAm ketumatIm purIm /
   māndārakāṇi puṣpāṇi patiṣyanti purottame //	mAndArakANi puzpANi patizyanti pura-uttame //
   devatāḥ prakiriṣyanti tasmin puragate munau // Mvyā_83 //	devatAH prakirizyanti tasmin pura-gate munO // MvyAH-_83 //
   catvāraśca mahārājā śakraśca tridaśādhipaḥ /	catvAraH-ca mahA-rAjA SakraH-ca tridaSa-aDipaH /
   brahmā devagaṇaiḥ sārdhaṃ pūjāṃ tasya kariṣyati // Mvyā_84 //	brahmA deva-gaNEH sArDam pUjAm tasya karizyati // MvyAH-_84 //
   utpalaṃ kumudaṃ padmaṃ puṇḍarīkaṃ sugandhikaṃ /	utpalam kumudam padmam puNxarIkam suganDikam /
   aguruṃ candanaṃ cāpi divyaṃ mālyaṃ patiṣyati // Mvyā_85 //	agurum candanam ca-api divyam mAlyam patizyati // MvyAH-_85 //
   cailakṣepaṃ kariṣyanti devaputrā maharddhikāḥ /	cEla-kzepam karizyanti deva-putrAH mahardDikAH /
   taṃ lokanāthamudvīkṣapa praviśantaṃ purottamam // Mvyā_86 //	tam loka-nATam-udvIkzapa praviSantam pura-uttamam // MvyAH-_86 //
   divyaśca tūryanirghoṣo divyaṃ mālyaṃ patiṣyati /	divyaH-ca tUrya-nirGozaH divyam mAlyam patizyati /
   devatā prakiriṣyanti tasmin puragate munau // Mvyā_87 //	devatA prakirizyanti tasmin pura-gate munO // MvyAH-_87 //
   ye tu ketumatīṃ kecit vāsayaṣyanti mānuṣāḥ /	ye tu ketumatIm kecid vAsayazyanti mAnuzAH /
   tepi taṃ pūjayiṣyanti praviśantaṃ purottamam // Mvyā_88 //	tepi tam pUjayizyanti praviSantam pura-uttamam // MvyAH-_88 //
   pathi bhūmyāstaraṃ tatra mṛdutūlapicopamam /	paTi BUmi-Astaram tatra mRdu-tUla-pica-upamam /
