   Upāyahṛdayam /	UpAya hRdayam /
   laukikamithyājñānakuśalatāsahacarabhrāntisamudbhūtakukarmabhiḥ	lOkika miTyA jQAna kuSa la tA sahacara BrAnti samudBUta kukarmaBiH
   saṃsāradurgatiḥ sadarthahāniśca /	saMsAra durgatiH sat arTa hAniH ca /
   vādāvagame tu svayaṃ sulakṣadurlakṣaṇaśūnyalakṣaṇaparijñānatvāt sarve	vAda avagame tu svayam su lakza durlakzaNa SUnya lakzaNa parijQAna tvAt sarve
   mārāstīrthikā mithyādṛṣṭimanuṣyāśca viheṭhanāsamarthā (# Uh 4.#)	mArAH tIrTikAH miTyA dRzwi manuzyAH ca viheWanA samarTAH (# Uh 4.#)
   apratibandhakārāśca / tasmātsattvahitecchayeha loke saddharmasya	apratibanDa kArAH ca / tasmAt sattva hita icCayA iha loke sadDarmasya
   pracārecchayā ca mayaiṣa samyagvāda ārabhyate /	pracAra icCayA ca mayA eza samyak vAdaH AraByate /
   yathāsraphalaparipuṣṭikāmena tat(phala)parirakṣaṇārthaṃ	yaTA asra Pala paripuzwi kAmena tat( Pala) parirakzaNa arTam
   bahirbahutīkṣṇakaṇṭakanikaravinyāsaḥ kriyate /	bahis bahu tIkzNa kaNwaka nikara vinyAsaH kriyate /
   vādārambho 'pi tathaivādhunā saddharmmarakṣaṇecchayā na tu khyātilābhāya /	vAda AramBaH api taTA eva aDunA sadDarmma rakzaNa icCayA na tu KyAti lABAya /
   yaduktaṃ (bhavatā) pūrvaṃ [eṣa vādo] vivādapravardhaka iti / tadayuktam /	yat uktam (BavatA) pUrvam [eza vAdo] vivAda pravarDakaH iti / tat ayuktam /
   dharmarakṣaṇārthameva hi vāda ārabdhavyaḥ /	Darma rakzaNa arTam eva hi vAdaH ArabDavyaH /
   āha / yaduktaṃ pūrvaṃ bhavatā yadyetaṃ vādaṃ	Aha / yat uktam pUrvam BavatA yadi etam vAdam
   jānīyādvādadharmānavagacchediti vaktavyametasya lakṣaṇam /	jAnIyAt vAda DarmAn avagacCet iti vaktavyam etasya lakzaNam /
   atrocyate / tasya vādasyāṣṭavidho bhedaḥ / tadarthagatiprajñānasāmarthye	atra ucyate / tasya vAdasya azwaviDaH BedaH / tad arTa gati prajQAna sAmarTye
   paravādāvagamaḥ, yathā dhānyamuptvā siktā codakena tasya puṣṭiḥ	para vAda avagamaH, yaTA DAnyam uptvA siktA ca udakena tasya puzwiH
   samṛddhiśca sādhyate / tṛṇādyanutsāraṇe tūṭkṛṣṭāṅkurā na jāyante / yadi	samRdDiH ca sADyate / tRNa Adi anutsAraNe tu uwkRzwa aFkurAH na jAyante / yadi
   kaścidetamaṣṭāvidhaṃ [vādaṃ] śṛṇuyādarthantu tasya nāvagacchettadā [tasya]	kaScid etam azwAviDam [vAdaM] SRNuyAt arTantu tasya na avagacCet tadA [tasya]
   sarveṣu vādeṣu saṃśayo bhavet / yadi kaścidetamaṣṭavidhamarthaṃ	sarvezu vAdezu saMSayaH Bavet / yadi kaScid etam azwaviDam arTam
   parijānīyānniyatameva sarvavādadharmāvagame samartho bhavet /	parijAnIyAt niyatam eva sarva vAda Darma avagame samarTaH Bavet /
   āha / etadvādaparijñānādeva vādadharmā niyatamavagamyanta iti	Aha / etad vAda parijQAnAt eva vAdaDarmAH niyatam avagamyante iti
   (bhavato)ktam / atha tīrthikānāṃ vādadharmāḥ santi na vā / atrocyate	(BavatA u)ktam / aTa tIrTikAnAm vAda DarmAH santi na vA / atra ucyate
   santyeva / yathā vaiśeṣikāṇāṃ ṣaṭ padārthāḥ / dravyaṃ guṇaḥ sāmānyaṃ	santi eva / yaTA vESezikANAm zaw padArTAH / dravyam guNaH sAmAnyam
   viśeṣaḥ karma samavāyaścetyādikavādadharmeṣu svavagateṣvapi	viSezaH karma samavAyaH ca iti Adika vAda Darmezu su avagatezu api
   parasūtraśāstrāṇāmapratītiḥ /	para sUtra SAstrANAm apratItiH /
   ato vādanayapratipādanārthaṃ prapañcocchedanārthañcaite 'ṣṭavidhā	atas vAdanaya pratipAdana arTam prapaQca ucCedana arTaQcA ete azwaviDA
   gambhīrāḥ sadvādadharmāḥ saṃkṣepato mayā kathyante / (# Uh 5.#) dṛṣṭāntaḥ	gamBIrAH sa dvAda DarmAH saMkzepataH mayA kaTyante / (# Uh 5.#) dRzwAntaH
   siddhānto vākyapraśaṃsā vākyadoṣaḥ pramāṇaṃ prāptakālavākyaṃ hetvābhāso	sidDAntaH vAkya praSaMsA vAkya dozaH pramANam prApta kAla vAkyam hetvABAsaH 
   vākchalam /	vAkCalam /
   dṛṣṭānto dvividhaḥ / saṃpūrṇadṛṣṭānta āśiṃkadṛṣṭāntaśca / siddhānto	dRzwAntaH dviviDaH / saMpUrNa dRzwAnte ASiMka dRzwAntaH ca / sidDAntaH 
   niścitārtha iti / vākyapraśaṃsā vākyasyārthānugamaḥ / vākyadoṣo vākyasya	niScitA arTaH iti / vAkya praSaMsA vAkyasya arTa anugamaH / vAkya dozaH vAkyasya
   yuktivyatyayaḥ / pramāṇaṃ dvividhajñāpakaheturutpattiheturvyañjanahetuśca	yukti vyatyayaH / pramANam dviviDa jQApaka hetuH utpatti hetuH vyaQjana hetuH ca
   / prāptakāla vākyam / yathā yadi pūrvaṃ dhātvāyatanāni vadet / paścāttu	/ prApta kAla vAkyam / yaTA yadi pUrvam DAtu AyatanAni vadet / paScAt tu
   pañcaskandhān tadaitadaprāptakālamityucyate / prāptakālavākyaṃ tu	paQca skanDAn tadA etat aprApta kAlam iti ucyate / prApta kAla vAkyam tu
   vākyakramāvagame / hetvābhāso yathā marīcābudakābhāsaḥ, na tu vastuta	vAkya krama avagame / hetvABAsaH yaTA marIca abudaka ABAsaH, na tu vastuta
   udakam / yadi vādī svalaṅkṛtairvākyairudakamiti vadettadā sa hetvābhāsaḥ /	udakam / yadi vAdI su alaFkRtEH vAkyEH udakam iti vadet tadA sa hetvABAsaH /
   vākchalaṃ yathā / navakambala ityukte taddūṣayan vadet / vastraṃ na kālaḥ	vAkCalam yaTA / nava kambalaH iti ukte tat dUzayan vadet / vastram na kAlaH
   kathaṃ nava ityucyate / iti chalam / evaṃ samāmato 'ṣṭavidho 'rthaḥ	kaTam navaH iti ucyate / iti Calam / evam samAmataH azwaviDaH arTaH
   samākhyātaḥ / idānīṃ krameṇa tallakṣaṇāni vistareṇa vyākhyāsyāmaḥ /	samAKyAtaH / idAnIm krameNa tad lakzaNAni vistareNa vyAKyAsyAmaH /
   āha / ukto bhavatā pūrvaṃ dṛṣṭāntaḥ / kastāvadupāyo dṛṣṭāntasya sthāpane /	Aha / uktaH BavatA pUrvam dRzwAntaH / kaH tAvat upAyaH dRzwAntasya sTApane /
   atrocyate / dṛṣṭāntavacanaṃ hi yatra pṛthagjanānāmāryāṇāñca buddhisāmyaṃ	atra ucyate / dRzwAnta vacanam hi yatra pRTagjanAnAm AryANAn ca budDi sAmyam
   tadā vaktavyam / yathā cittaṃ cañcalaṃ drutavāyuvat / sarveṣāṃ janānāṃ	tadA vaktavyam / yaTA cittam caQcalam druta vAyu vat / sarvezAm janAnAm
   vāyucāñcalyasya pratīteḥ / tadā cittasthiratāyā niścayaḥ / apratītau	vAyucAQcalyasya pratIteH / tadA citta sTira tAyAH niScayaH / apratItO
   dṛṣṭāntālābhaḥ / āha / kasmātsadartha eva nocyate 'pi tu dṛṣṭāntaḥ /	dRzwAnta alABaH / Aha / kasmAt sadarTaH eva na ucyate api tu dRzwAntaH /
   atrocyate / dṛṣṭāntavacanaṃ hi sadarthadyotanārtham /	atra ucyate / dRzwAnta vacanam hi sat arTa dyotana arTam /
   āha / bhavatā pūrvamuktam pṛthagjanānāmāryāṇāñca buddhisāmyadṛṣṭāntalābha	Aha / BavatA pUrvam uktam pRTagjanAnAm AryANAn ca budDi sAmya dRzwAnta lABa
   iti / kiṃ sāmyaṃ ko vā viśeṣaḥ / atrocyate / pūrvavat / vāyudṛṣṭāntasya	iti / kim sAmyam kaH vA viSezaH / atra ucyate / pUrvavat / vAyu dRzwAntasya
   sāmyamityucyate / (# Uh 6.#) āryāṇāṃ nirvāṇaprāptiḥ pṛthagjanānāṃ	sAmyam iti ucyate / (# Uh 6.#) AryANAm nirvANa prAptiH pRTagjanAnAm
   tvaprāptirayaṃ viśeṣa ityucyate /	tu aprAptiH ayam viSezaH iti ucyate /
   āha / uktaṃ dṛṣṭāntalakṣaṇam / kiṃ punaḥ siddhāntalakṣaṇam / atrocyate /	Aha / uktam dRzwAnta lakzaNam / kim punar sidDAnta lakzaNam / atra ucyate /
   sādhyasya hetubhirvistareṇa sthāpanaṃ nirṇayaśca / etatsiddhāntalakṣaṇam /	sADyasya hetuBiH vistareNa sTApanam nirNayaH ca / etad sidDAnta lakzaNam /
   āha / siddhāntadharmāḥ kiyantaḥ / atrocyate / catvāraḥ / sarvasamaḥ	Aha / sidDAnta DarmAH kiyantaH / atra ucyate / catvAraH / sarva samaH
   sarvabhinna ādau samaḥ paścādbhinna ādau bhinnaḥ paścātsamaśca / āha /	sarva BinnaH AdO samaH paScAt BinnaH AdO BinnaH paScAt samaH ca / Aha /
   adhunā bhavataitāni catvāri lakṣaṇāni vyākhyātavyāni /	aDunA BavatA etAni catvAri lakzaNAni vyAKyAtavyAni /
   atrocyate / arthasthāpanamicchatā caturvidhaṃ jñānamāśrayitavyam / kiṃ	atra ucyate / arTa sTApanam icCatA caturviDam jQAnam ASrayitavyam / kim
   taccaturvidham / pratyakṣamanumānamupamānamāgamaśca /	tat caturviDam / pratyakzam anumAnam upamAnam AgamaH ca /
   sarvasamo yathā, (vādī vadeda)ātmātmīyañca na vidyete, prativadyapi	sarva samaH yaTA, (vAdI vadet a)AtmA AtmIyaQca na vidyete, prativadi api
   vadedātmātmīyañca na vidyeta ityayaṃ sarvasamaḥ / sarvabhinno yathā, (vādī	vadet AtmA AtmIyaQca na vidyeta iti ayam sarva samaH / sarva BinnaH yaTA, (vAdI
   vadet) pṛthagiti prativādī tu vadedekamityayam sarvabhinnaḥ / ādau samaḥ	vadet) pRTak iti prativAdI tu vadet ekam iti ayam sarva BinnaH / AdO samaH
   paścādbhinno yathā, (vādī vadet) sarvaṃ dṛṣṭadharmaṃ sat / ātmā	paScAt BinnaH yaTA, (vAdI vadet) sarvam dRzwa Darmam sat / AtmA
   punarapratyakṣo 'pi sag / prativādī vadedyatpratyakṣadharmakaṃ tadeva	punar apratyakzaH api sac / prativAdI vadet yat pratyakza Darmakam tat eva
   saditi vaktavyam / ātmā cedapratyakṣaḥ kathaṃ san / anumānena cedātmā	sat iti vaktavyam / AtmA ced apratyakzaH kaTam san / anumAnena ced AtmA
   sanniti tarhi pratyakṣapūrvakamanumānamiti / apratyakṣadharmaka ātmā	san= iti tarhi pratyakza pUrvakam anumAnam iti / apratyakza DarmakaH AtmA
   kathamanumīyate / yadi punarupamānenātmā sanniti, atha	kaTam anumIyate / yadi punar upamAnena AtmA sanniti, aTa
   sādharmyapūrvakamupamānamityātmā kenopamīyate / yadi tvāgamenātmā siddha	sADarmya pUrvakam upamAnam iti AtmA kena upamIyate / yadi tu Agamena AtmA sidDa
   ityucyate tadayuktam / durbodhaṃ hi sūtram / kutracitsanniti	iti ucyate tat ayuktam / durboDam hi sUtram / kutracid san= iti
   kutracidasanniti kathaṃ tatpratītirityayamādau samaḥ paścādbhinnaḥ / ādau	kutracid asan= iti kaTam tad pratItiH iti ayam AdO samaH paScAt BinnaH / AdO
   bhinnaḥ (# Uh 7.#) paścātsamo yathā, (vādī vadeda)ātmātmīyañca na vidyete	BinnaH (# Uh 7.#) paScAt samaH yaTA, (vAdI vadet a)AtmA AtmIyaQca na vidyete
   / prativādī tu vadedastyātmā, asti puruṣaḥ /	/ prativAdI tu vadet asti AtmA, asti puruzaH /
   nirvāṇābhyupagamastrūbhayorvādinoḥ / ayamucyata bhinnaḥ paścātsamaḥ /	nirvANa aByupagama stru uBayoH vAdinoH / ayam ucyata BinnaH paScAt samaH /
   api cāparimitāni lakṣaṇāni siddhāntasya, tadyathā dvādaśa nidānāni,	api ca aparimitAni lakzaNAni sidDAntasya, tat yaTA dvAdaSa nidAnAni,
   duḥkhaṃ, samudayaḥ, nirodhaḥ, mārgaḥ saptatriṃśatpakṣāḥ, catvāri	duHKaM, samudayaH, niroDaH, mArgaH saptatriMSat pakzAH, catvAri
   śrāmaṇyaphalānītyādayo dharmā buddhasya samyagarthā ityucyante /	SrAmaNya PalAni ityAdayaH DarmAH budDasya samyak arTAH iti ucyante /
   sandhyāpūjā, balidānaṃ, dhūpadīpanaṃ, tailadīpanivedanamiti caturvidhā	sanDyA pUjA, bali dAnaM, DUpa dIpanan, tEla dIpa nivedanam iti caturviDA
   yājñikatīrthikānāṃ kriyā /	yAjQika tIrTikAnAm kriyA /
   triṣaṣṭyakṣarāṇāṃ caturṇāṃ ca padānāmartha iti śābdikāstīrthikāḥ /	trizazwi akzarANAm caturNAm ca padAnAm arTaH iti SAbdikAH tIrTikAH /
   oṣadhividyā ṣaḍvidhā / oṣadhināma, oṣadhiguṇaḥ, oṣadhirasaḥ, oṣadhivīryaṃ,	ozaDi vidyA zaxviDA / ozaDi nAma, ozaDi guNaH, ozaDi rasaH, ozaDi vIryaM,
   sannipātaḥ, vipākaśceti bhaiṣājyadharmāḥ /	sannipAtaH, vipAkaH ca iti BEzAjya DarmAH /
   ṣaṭpadārthā vaiśeṣikāṇām //	zaz padArTAH vESezikANAm //
   pradhanasyaikyaṃ puruṣā bahavaḥ / [teṣāṃ ca] vimuktiriti sāṃkhyāḥ /	praDanasya Ekyam puruzAH bahavaH / [tezAm ca] vimuktiH iti sAMKyAH /
   aṣṭau sūkṣmāṇi yathā / catvāri mahābhūtāni buddhirākāśo, vidyā, avidyā,	azwO sUkzmANi yaTA / catvAri mahABUtAni budDiH AkASo, vidyA, avidyA,
   aṣṭaiśvaryāṇi [tadyathā] aṇimā, mahimā, laghimā, prāptiḥ, prākāmyaṃ,	azwa ESvaryANi [tat yaTA] aNimA, mahimA, laGimA, prAptiH, prAkAmyaM,
   kāyavibhāgaḥ, īśitvaṃ tirobhāvaśca / iti yogatīrthikāḥ /	kAya viBAgaH, ISitvam tiroBAvaH ca / iti yoga tIrTikAH /
   jīvo 'jīvaḥ pāpaṃ puṇyamāśravaḥ, nirjarā, sambaraḥ, bandhaḥ, mokṣaḥ /	jIvaH ajIvaH pApam puNyam ASravaH, nirjarA, sambaraH, banDaH, mokzaH /
   pañcajñānāni [tadyathā] śrutajñānaṃ, matijñānaṃ, avadhijñānaṃ,	paQca jQAnAni [tat yaTA] Sruta jQAnaM, mati jQAnan, avaDi jQAnaM,
   manaḥparyāyajñānaṃ, kevalajñānam / ṣaḍāvaraṇāni, (# Uh 8.#)	manaH paryAya jQAnaM, kevala jQAnam / zaz AvaraNAni, (# Uh 8.#)
   darśanāvaraṇaṃ, duḥkhavedanīyāvaraṇaṃ, mohāvaraṇamāyurāvaraṇaṃ,	darSana AvaraNan, duHKa vedanIya AvaraNaM, moha AvaraNam AyuH AvaraNaM,
   gotrāvaraṇaṃ, nāmāvaraṇañca / catvāraḥ kaṣāyāḥ [tadyathā] krodhaḥ, mānaḥ,	gotra AvaraNaM, nAma AvaraNaQca / catvAraH kazAyAH [tat yaTA] kroDaH, mAnaH,
   lābhaḥ, māyā ceti nirgranthadharmāḥ /	lABaH, mAyA ca iti nirgranTa DarmAH /
   apare 'pi santi ye vadanti sarvamekaṃ sadbhāvājjñeyam / sarvadharmāṇāṃ ca	apare api santi ye vadanti sarvam ekam sadBAvAt jQeyam / sarva DarmANAm ca
   guṇavattvādaikyam, kiñca pradhānāt samutpannaṃ sarvamekaṃ jñeyamekamūlatvā	guNavat tvAt Ekyam, kiQca praDAnAt samutpannam sarvam ekam jQeyam eka mUla tvA
   ityevamekavādinastīrthikāḥ /	iti evam eka vAdinaH tIrTikAH /
   apare vadanti / sarvaṃ pṛthak / kuta iti cet / yathā śiraḥpadādi	apare vadanti / sarvam pRTak / kutas iti ced / yaTA SiraH pada Adi
   kāyātpṛthak / api ca lakṣaṇapṛthaktaṃ yathā vṛṣabho 'śvavilakṣaṇaḥ /	kAyAt pRTak / api ca lakzaNa pRTaktam yaTA vRzaBaH aSva vilakzaNaH /
   tasmātsarvaṃ pṛthagiti jñeyam / iti pṛthagvādinastīrthikāḥ /	tasmAt sarvam pRTak iti jQeyam / iti pRTak vAdinaH tIrTikAH /
   atha kathaṃ sarvamekaṃ sadbhāvāditi / yataḥ saddhi dvedhā	aTa kaTam sarvam ekam sadBAvAt iti / yatas sat hi dveDA
   cetanamacetanañca / tatkathamekaṃ hetuvaiṣamyāṃditi / evaṃ dharmāṇāṃ	cetanam acetanaQca / tat kaTam ekam hetu vEzamyAn= iti / evam DarmANAm
   samāsato dūṣaṇam /	samAsatas dUzaNam /
   yadi punaḥ	yadi punar 
   kaścidvadedduḥkhasamudayanirodhamārgadvādaśanidānasaṃskṛtādidharmāṇāmekatvaṃ	kaScid vadet duHKa samudaya niroDa mArga dvAdaSa nidAna saMskRta Adi DarmANAm eka tvam
   pṛthaktaṃ veti sarvametadasaddhetukam / kasmāt / yadyekatvaṃ tadā	pRTaktam vA iti sarvam etat asat hetukam / kasmAt / yadi eka tvam tadA
   duḥkhāntavādāpattiḥ / yadi pṛthaktaṃ tadā sukhāntavādāpattiḥ / tasmāduktaṃ	duHKa anta vAda ApattiH / yadi pRTaktam tadA suKa antavAda ApattiH / tasmAt uktam
   [ekatve pṛthakte vā]ntadvayavādāpattiḥ / naiṣa buddhadharmasyārtha iti /	[eka tve pRTak te vA a]nta dvaya vAda ApattiH / na eza budDa Darmasya arTaH iti /
   api ca yathā kecidvadanti nirvāṇabhāvaḥ na duḥkhaṃ na ca sukham / kathaṃ	api ca yaTA kecid vadanti nirvANa BAvaH na duHKam na ca suKam / kaTam
   jñātamiti cet / sarve hi dharmāścetanāḥ saduḥkhasukhā nirvāṇaṃ tvacetanaṃ	jQAtam iti ced / sarve hi DarmAH cetanAH sa duHKa suKAH nirvANam tu acetanam
   kathaṃ sukhaṃ syāt /	kaTam suKam syAt /
   api ca kecidvādinaḥ sukhaṃ vadanti / kuta iti cet / sukhaṃ trividham /	api ca kecid vAdinaH suKam vadanti / kutas iti ced / suKam triviDam /
   sukhavedanāsukhaṃ, anupaghātaḥ, anākāṅkṣā ca / nirvāṇa	suKa vedanA suKan, anupaGAtaH, anAkAFkzA ca / nirvANa
   ākāṅkṣābhāvānnirvāṇaṃ sukham /	AkAFkzA BAvAt nirvANam suKam /
   (# Uh 9.#)	(# Uh 9.#)
   api ca nirvāṇaṃ nityamiti mayā pūrvaṃ jñātam / idānīntu [vaktavyaṃ]	api ca nirvANam nityam iti mayA pUrvam jQAtam / idAnIntu [vaktavyaM]
   saṃskārebhyastat pṛthak na veti kecit / atrocyate / nirvāṇaṃ nityamiti	saMskAreByaH tat pRTak na vA iti kecid / atra ucyate / nirvANam nityam iti
   pūrvaṃ jñātaṃ kimucyate saṃksāraistattulyam / saṃskārāṇāṃ svabhāvaḥ	pUrvam jQAtam kim ucyate saMksArEH tad tulyam / saMskArANAm svaBAvaH
   pariṇāmaḥ pradhvaṃsaśca / nirvāṇabhāvasya tu nityatā sukhatvañca / kathaṃ	pariNAmaH praDvaMsaH ca / nirvANa BAvasya tu nityatA suKa tvaQca / kaTam
   vidvāṃstatsaṃskāraistulyaṃ vadet /	vidvAn= tad saMskArEH tulyam vadet /
   anyacca kecidāhuḥ / ātmabhāvasya rūpavattve nityo 'nityo vāyamiti na	anyat ca kecid AhuH / Atma BAvasya rUpavat tve nityaH anityaH vA ayam iti na
   niścīyate /	niScIyate /
   atrocyate / sarvaṃ mūrtamanityameva yathā murto ghaṭo vināśī / ātmāpi	atra ucyate / sarvam mUrtam anityam eva yaTA murtaH GawaH vinASI / AtmA api
   tadvaditi cettadānitya eva / ātmano mūrtatvantu sūtrairna samarthitaṃ,	tadvat iti ced tadA anityaH eva / AtmanaH mUrta tvantu sUtrEH na samarTitaM,
   yuktihīnañcaitat / yathā ratnabudhyā sikatopalādānaṃ tathā bhavato	yukti hInaQca etat / yaTA ratna buDyA sikatA upala AdAnam taTA BavataH 
   vacanamatīva mithyā / atha kasmādātmāmurta iti cenmayā pūrvamuktaṃ ghaṭo	vacanam atIva miTyA / aTa kasmAt AtmAmurtaH iti ced mayA pUrvam uktam Gawo
   mūrtatvādvināśīti / yadyātmaivaṃ syāt, tadā so 'pi vināśī bhavet /	mUrta tvAt vinASI iti / yadi AtmA evam syAt, tadA saH api vinASI Bavet /
   kathamidānīṃ bhavatā pṛcchyate `kasmādātmāmūrta' iti /	kaTam idAnIm BavatA pRcCyate `kasmAt Atma amUrta a iti /
   aparañca / aniyatasiddhāntalakṣaṇam, yathā kaścit pṛcchet / kiṃ śabdo	aparaQca / aniyata sidDAnta lakzaNam, yaTA kaScid pRcCet / kim SabdaH 
   vastu[bhūto] nityo 'nityo vā / atrocyate / yadvibhāganiṣpannaṃ	vastu[BUto] nityaH anityaH vA / atra ucyate / yad viBAga nizpannam
   tadanityameva / śabdo 'pi vibhāganiṣpannaḥ kathaṃ nityo bhavet /	tat anityam eva / SabdaH api viBAga nizpannaH kaTam nityaH Bavet /
   atha kiṃ nāma śabdo vastu[bhūtaḥ] / atrocyate / aniścaye kathaṃ praśnaḥ /	aTa kim nAma SabdaH vastu[BUtaH] / atra ucyate / aniScaye kaTam praSnaH /
   atha kiṃ kevala evātmānāgate 'dhvani sukhaduḥkhe vedayate saśarīro vā /	aTa kim kevalaH eva Atma anAgate aDvani suKa duHKe vedayate sa SarIraH vA /
   atrocyate / etasmiccharīre vinaṣṭa ātmano 'parasmiñcharīre vedanam /	atra ucyate / etasmic SarIre vinazwaH AtmanaH aparasmin SarIre vedanam /
   (# Uh 10.#)	(# Uh 10.#)
   nanu ka eṣa ātmā yo 'nāgate 'dhvani sukhaduḥkhe vedayate / atrocyate /	nanu kaH ezaH AtmA yaH anAgate aDvani suKa duHKe vedayate / atra ucyate /
   'ātmā, iti pūrvamuktaṃ bhavatā / kathaṃ punaḥ sannasan vātmā' iti	aAtmA, iti pUrvam uktam BavatA / kaTam punar sannasan vA AtmA a iti
   pṛcchyate / ayuktametat /	pRcCyate / ayuktam etat /
   atha siddhāntārtha uktaḥ / kiṃ punarvākyapraśaṃsālakṣaṇam / atrocyate /	aTa sidDAnta arTaH uktaH / kim punar vAkya praSaMsA lakzaNam / atra ucyate /
   yuktyaviruddhamanadhikamanyūnamadhigatapadārthaṃ vacanadharmanibaddhaṃ	yukti avirudDam anaDika manyUnam aDigata padArTam vacana Darma nibadDam
   prasiddhadṛṣṭāntāviruddhamananuyojyañca /	prasidDa dRzwAnta avirudDam ananuyojyaQca /
   ebhirhetubhirvākyapraśaṃsetyucyate /	eBiH hetuBiH vAkya praSaMsA iti ucyate /
   nanu kiṃ nāma yuktyaviruddham / atrocyate / vijñānamevātmeti kecinmanyante	nanu kim nAma yukti avirudDam / atra ucyate / vijQAnam eva AtmA iti kecid manyante
   sarvaskārāṇāṃ śūnyatvādanātmatvācca / na hi sarve saṃskārā vijñānamiti	sarvaskArANAm SUnya tvAt anAtma tvAt ca / na hi sarve saMskArAH vijQAnam iti
   tadayuktam / saṃskārā hi vijñānasya hetavaḥ / hetūnāṃ cānātmatvāt, kathaṃ	tat ayuktam / saMskArAH hi vijQAnasya hetavaH / hetUnAm ca anAtma tva at, kaTam
   vijñānamātmā /	vijQAnam AtmA /
   atha sarve dharmāṃ anityāḥ śabdastu naiva sarvaṃ, tasmācchabdo nitya iti /	aTa sarve DarmAm anityAH SabdaH tu na eva sarvan, tasmAt SabdaH nityaH iti /
   atrocyate / bhavatā sarvamityuktam, ko 'rthaḥ punaḥ śabdasya, yo naiva	atra ucyate / BavatA sarvam iti uktam, kaH arTaH punar Sabdasya, yaH na eva
   sarvam / etadahetukamayuktañca /	sarvam / etat ahetukam ayuj taQca /
   anyacca / sarve kṛtakadharmā anityā eva / agnisantānavat / śabdo 'pi tathā	anyat ca / sarve kRtaka DarmAH anityAH eva / agni santAna vat / SabdaH api taTA
   / tasmādanityaḥ / etadaviruddhalakṣaṇam /	/ tasmAt anityaH / etat avirudDa lakzaNam /
   atha kimanadhikamanyūnañca / atrocyate / ahikanyūnatvayorlakṣaṇaṃ	aTa kim anaDikam anyUnaQca / atra ucyate / ahika nyUna tvayoH lakzaNam
   pūrvamuktam / nyūnatvaṃ trividham hetunyūnatvaṃ vākyanyūnatvaṃ	pUrvam uktam / nyUna tvam triviDam hetu nyUna tvam vAkya nyUna tvam
   dṛṣṭāntanyūnatvañca / yadi kaścidvadet / ṣaḍvijñānanyanityāni ghaṭavat /	dRzwAnta nyUna tvaQca / yadi kaScid vadet / zaz vijQAnanya nityAni Gawa vat /
   kāraṇantu na vadettadā taddhetunyūnatvamityucyate / yadi kaścidvadeheho	kAraNantu na vadet tadA tad hetuni Una tvam iti ucyate / yadi kaScid vadeha ihaH 
   'yamanātmā sakāraṇatvāt / śabdo 'pyanātmā sakāraṇatvādetadṛṣṭāntanyūnatvam	ayam anAtmA sa kAraNa tvAt / SabdaH api anAtmA sa kAraNa tvAt etat Rzwa anta nyUna tvam
   (# Uh 11.#)	(# Uh 11.#)
   yadi kaścidvadedanityāni catvāri mahābhūtāni ghaṭavatkṛtakāni /	yadi kaScid vadedanityAni catvAri mahABUtAni Gawa vat kRtakAni /
   etadvākyanyūnatvam / etadvīparītaṃ tu sampannamityucyate /	etad vAkya nyUna tvam / etat vIparItam tu sampannam iti ucyate /
   sampannañca yathā / ātmavādyevaṃ praṣṭavyaḥ / yaduktaṃ bhavatātmeti sa	sampannaQca yaTA / Atma vAdi evam prazwavyaH / yat uktam BavatA AtmA iti sa
