   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   anye tu kaśūr iti kaścid rākṣasaḥ pūrvasmin kāle babhūva |	anye tu kaSUH iti kaScid rAkzasaH pUrvasmin kAle baBUva |
   tasyaiva rakṣasasya marpadavācyā ekā apsarāḥ parīpadavācyā taddhastagatāpy	tasya-eva rakzasasya marpada-vAcyAH ekA apsarAH parIpada-vAcyA tad-hasta-gatA-api-
   āsīt |	AsIt |
   tābhyām eva sarvatra bambhramyamāṇābhyāṃ yad atra manohare maṇḍale	tAByAm eva sarvatra bamBramyamANAByAm yat atra manohare maNxale
   svanivāsārthaṃ sthitir āsāditā |	sva-nivAsa-arTam sTitiH AsAditA |
   ataḥ kaśmar iti tadākhyayaiva prathām āgatyāyaṃ deśaḥ sarvajagatprasiddhaḥ	atas kaSmar iti tad-AKyayA-eva praTAm Agatya-ayam deSaH sarva-jagat-prasidDaH
   sampanna ityādi svapustakeṣu likhanti |	sampannaH ityAdi sva-pustakezu liKanti |
   paraṃ tu asmin nāmani grāmīṇānāṃ nāgarikānāṃ ca kvāpy uccāraṇādiviṣaye	param tu asmin nAmani grAmINAnAm nAgarikAnAm ca kvApi uccAraNa-Adi-vizaye
   bhedo nāstīti śam ||	BedaH na-asti-iti Sam ||
   2. Nīlanāgaḥ Varanāgo vā	2. NIla-nAgaH Vara-nAgaH vA
   ślo 28 nambara 2 nāgādhīśena nīlena |	SlaH 28 nambara 2 nAga-aDISena nIlena |
   ayaṃ nīlābhidho nāgaḥ kaśyaparṣiputraḥ |	ayam nIla-aBiDaH nAgaH kaSyapa-Rzi-putraH |
   kaśmīrasthāne ka nāgānām adhipatiḥ |	kaSmIra-sTAne kaH nAgAnAm aDipatiH |
   tena kaśyapena svakīyapitrā kaśmīrāsampādanakāla eva teṣām asaṃkhyānāṃ	tena kaSyapena svakIya-pitrA kaSmIrA-sampAdana-kAle eva tezAm asaMKyAnAm
   nāgānām ādhipatye sukarmaśikṣāyai kukarmaṇo nivṛttaye cābhiṣiktaḥ |	nAgAnAm ADipatye su-karma-SikzAyE kukarmaNaH nivRttaye ca-aBiziktaH |
   śāhūbād puragaṇo yo 'dhunā śrīraṇavīrasiṃghapurā iti nāma dhārayati	SAhUbAt pura-gaNaH yaH aDunA SrIraNa-vIra-siMGapurA iti nAma DArayati
   tasminn eva puragaṇe pīr pañcāl iti khyāto yo 'yaṃ kaśmīradeśasya	tasmin eva pura-gaNe pIH paQcAt iti KyAtaH yaH ayam kaSmIra-deSasya
   pañcanadadeśasya ca madhye sīmaiva gaṇanīyatām āgataḥ parvato 'sti |	paQcanada-deSasya ca maDye sImA-eva gaNanIya-tAm AgataH parvataH asti |
   tasmād eva parvatād ardhakrośamite kaśmīraunmukhyabhājimārge mahān	tasmAt eva parvatAt arDa-kroSa-mite kaSmIra-OnmuKya-BAji-mArge mahAn
   aṣṭakoṇo 'gādhaḥ śītalajalaś ca nīlanāganivāsasthānaṃ jalāśayo vartate |	azwa-koNaH agADaH SItala-jalaH ca nIla-nAga-nivAsa-sTAnam jalASayaH vartate |
   asya varanāgaḥ nīlanāgaḥ vīranāgaḥ ityādīni nāmāni santi |	asya varanAgaH nIla-nAgaH vIra-nAgaH ityAdIni nAmAni santi |
   tatra varanāgaḥ uttamanāgaḥ nīlanāgaḥ nīlanāmānāgaḥ nīlavarṇajalavān nāgaś	tatra varanAgaH uttama-nAgaH nIla-nAgaH nIla-nAmA-nAgaH nIla-varNa-jalavAn nAgaH-
   ca vīranāgaḥ vīraś cāsau nāga iti grāmīṇas tu asya sthānasya vernāga iti	ca vIranAgaH vIraH ca-asO nAgaH iti grAmINaH tu asya sTAnasya vernAgaH iti
   nāma kathayanti |	nAma kaTayanti |
   eto vernāg evādhunā grāmanāmāpy asti |	etaH vernAk eva-aDunA grAma-nAmA-api asti |
   varanāgaveranāgayoś ca sādṛśyam evoccāraṇe 'pi vartate |	varanAgavera-nAgayoH ca sAdRSyam eva-uccAraNe api vartate |
   kecana bhṛṅgīśasaṃhitāmatāmatāśrayiṇo vīrī iti grāmasya nāmoktā	kecana BRFgi-ISa-saMhitAmatAmata-ASrayiNaH vIrI iti grAmasya nAma-uktA
   vīrīviṣayasthito nāgaḥ vīrīnāga iti nāma kathayanti |	vIrI-vizaya-sTitaH nAgaH vIrInAgaH iti nAma kaTayanti |
   asmiñ jalāśaye matsyā asaṃkhyāḥ santi |	asmin jalASaye matsyAH asaMKyAH santi |
   punaś ca asya jalāśayasya pāścāttye taṭa ekā bṛhacchālā purātanakālīnena	punar ca asya jalASayasya pAScAttye tawaH ekA bRhat-SAlA purAtanakAlInena
   jyahāṃgīrarājñā sampāditā yasyām ādhunikarājñā jīrṇoddhārādikaṃ niramīyata	jyahAMgIra-rAjQA sampAditA yasyAm ADunika-rAjQA jIrNa-udDAra-Adikam niramIyata
   atraika ārāmo 'pi purātanarājasampādito bhavati ||	atra-ekaH ArAmaH api purAtana-rAja-sampAditaH Bavati ||
   3. Kapaṭeśvaraḥ	3. Ka-pawa-ISvaraH
   ślo 32 nambara 3 kāṣṭharūpam umāpatim |	SlaH 32 nambara 3 kAzWa-rUpam umApatim |
   kāṣṭharūpaṃ kāṣṭhākṛtim umāyāḥ pārvatyāḥ patir bhartā śivaḥ |	kAzWa-rUpam kAzWa-AkRtim umAyAH pArvatyAH patiH BartA SivaH |
   taṃ śivaṃ samyak sparśaṃ kurvatāṃ puruṣāṇāṃ bhogaprāptir bhavati |	tam Sivam samyak sparSam kurvatAm puruzANAm Boga-prAptiH Bavati |
   purā sarvair munibhiḥ prārthitena śivena teṣām evānugrahārthaṃ kapaṭenaiva	purA sarvEH muniBiH prArTitena Sivena tezAm eva-anugraha-arTam kapawena-eva
   svamūrtiprākaṭyakaraṇaṃ munibhyo 'ṅgīkṛtam |	sva-mUrti-prAkawya-karaNam muniByaH aFgIkRtam |
   athaitādṛśaṃ śivād varaṃ labdhvāgatya cāsmin sthāne kāṣṭhā eva jale	aTa-etAdRSam SivAt varam labDvA-Agatya ca-asmin sTAne kAzWAH eva jale
   vivartamānā dṛṣṭāḥ |	vivartamAnAH dRzwAH |
   ato 'sya tīrthībhūtasya jalāśayasya kapaṭeśvara iti nāma kṛtam |	atas asya tIrTIBUtasya jalASayasya kapaweSvaraH iti nAma kRtam |
   adhunāpy asmiñ jalāśaya eko bṛhatkāṣṭho darīdṛśyate |	aDunA-api asmin jalASayaH ekaH bRhat-kAzWaH darIdRSyate |
   nīlamate 'pi kapaṭeśvaramāhātmyavarṇane kapaṭena darśanaṃ dāsyāmi	nIla-mate api kapaweSvara-mAhAtmya-varNane kapawena darSanam dAsyAmi
   bhavadbhya iti munīn prati śivenoktaṃ yadā tadaivāgatya munibhir asmiñ	BavadByaH iti munIn prati Sivena-uktam yadA tadA-eva-Agatya muniBiH asmin-
   jale kāṣṭhākṛteḥ śivasya darśanaṃ kṛtam |	jale kAzWa-AkRteH Sivasya darSanam kRtam |
   ato 'sya sthānasya kapaṭeśvara iti nāma sampannam |	atas asya sTAnasya kapaweSvaraH iti nAma sampannam |
   etādṛśy eva kathā vistare soktāsti |	etAdRSi eva kaTA vistare sa-uktA-asti |
   grāmīṇāḥ kaśmīrabhāṣayā asya sthānasya koṭyher iti nāma vadanti |	grAmINAH kaSmIra-BAzayA asya sTAnasya kowyheH iti nAma vadanti |
   ata eva kuṭahārapuragaṇo 'pi anenaiva nāmnā prakhyātiṃ prāptaḥ yasminn	atas eva kuwahAra-pura-gaNaH api anena-eva nAmnA praKyAtim prAptaH yasmin=-
   ayam eko grāmaḥ koṭyher iti nāmnādhunāpi kathyamāno 'sti |	ayam ekaH grAmaH kowyheH iti nAmnA-aDunA-api kaTyamAnaH asti |
   ayaṃ puragaṇaḥ pūrvoktāt śāhūbādapuragaṇād adhastāt krośacatuṣṭayena	ayam pura-gaNaH pUrva-uktAt SAhUbAda-pura-gaNAt aDastAt kroSa-catuzwayena
   bhavati |	Bavati |
   asminn eva achyabal iti sthānaṃ sarvajanamate priyaṃ sarvataḥ prakhyātaṃ	asmin eva aCyabat iti sTAnam sarva-jana-mate priyam sarvatas praKyAtam
   ca bhavati |	ca Bavati |
   grāmīṇā asya jalāśayasya saṅkarṣaṇ nāg iti nāmāpi vadanto vartante ||	grAmINAH asya jalASayasya saFkarzaw nAk iti nAma-api vadantaH vartante ||
   4. Pāpasūdanatīrtham	4. PApasUdana-tIrTam
   ślo 32 nambara 4 pāpasūdanaṃ tīrthāntaḥ |	SlaH 32 nambara 4 pApa-sUdanam tIrTa-antaH |
   pāpāni sūdayati nāśayati yat tat pāpasūdanaṃ pāpanāśakaṃ tīrtham |	pApAni sUdayati nASayati yat tat pApa-sUdanam pApa-nASakam tIrTam |
   tasmiṃs tīrthasaṃspṛśatāṃ snānaṃ kurvatāṃ puruṣāṇāṃ muktiprāptir bhavati |	tasmin tIrTa-saMspRSatAm snAnam kurvatAm puruzANAm mukti-prAptiH Bavati |
   atrāpi mahāñ jalāśayo vartate |	atra-api mahAn jalASayaH vartate |
   kaśmīrabhāṣāyām apy asya jalāśayasya pāpaharaṇ nāg iti nāma sarvatra	kaSmIra-BAzAyAm api asya jalASayasya pApa-haraw nAk iti nAma sarvatra
   grāmīṇāḥ kathayanti |	grAmINAH kaTayanti |
   ayaṃ jalāśayaḥ pūrvoktāt kuṭahārapargaṇād alpāntaravartini	ayam jalASayaH pUrva-uktAt kuwahAra-pargaNAt alpa-antara-vartini
   vāmapārśvapuragaṇe ādhunike kāle khourpor iti khyāta puragaṇe 'sti |	vAma-pArSva-pura-gaNe ADunike kAle KourpoH iti KyAta pura-gaNe asti |
   tatrāpi sālīpāṃjamul iti khyātaṃ grāmadvayam asti |	tatra-api sAlIpa-aMjam-ut iti KyAtam grAma-dvayam asti |
   tayor eva madhye 'yaṃ pāpaharaṇ nāg ityabhidho jalāśayo vartate |	tayoH eva maDye ayam pApa-haraw nAk iti-aBiDaH jalASayaH vartate |
   atra pāpasūdanapāpaharaṇapadayoḥ sadṛśārthatvena saṃskṛte kaśmīrabhāṣāyām	atra pApa-sUdana-pApa-haraNa-padayoH sadRSa-arTa-tvena saMskRte kaSmIra-BAzAyAm
   api asmin pade tādṛśo bhedo nāsti |	api asmin pade tAdRSaH BedaH na-asti |
   ayaṃ jalāśayaś catuṣkoṇo nīlanāgād alpataro 'pi vartate |	ayam jalASayaH catuzkoNaH nIla-nAgAt alpataraH api vartate |
   kadācana vāriparṇīyasya kaśmīrabhāṣāyāṃ muṅgol nāmāsti |	kadAcana vAriparNIyasya kaSmIra-BAzAyAm muFgot nAma-asti |
   tathācchādito 'pi dṛśyate ||	taTA-AcCAditaH api dRSyate ||
   5. Trisandhyā Devī	5. Tri-sanDyA DevI
   ślo 33 nambara 5 sandhyā devī |	SlaH 33 nambara 5 sanDyA devI |
   samyak dhyāyate dvijātibhir yā sā sandhyā |	samyak DyAyate dvijAtiBiH yA sA sanDyA |
   sā cāsau devī dyotanaśīlā krīḍanaśīlā ceti asya tīrthavarasya	sA ca-asO devI dyotana-SIlA krIxana-SIlA ca-iti asya tIrTa-varasya
   sarvajagatprasiddhaṃ trisandhyā iti nāma sarve kathayanti |	sarva-jagat-prasidDam tri-sanDyA iti nAma sarve kaTayanti |
   etat tīrthaṃ parvatasya kukṣau vartate |	etat tIrTam parvatasya kukzO vartate |
   atra jalāśayo vartulākāro 'dhastāt saṃkucita uparitane bhāge vistṛtākāro	atra jalASayaH vartula-AkAraH aDastAt saMkucitaH uparitane BAge vistRta-AkAraH-
   bhavati |	Bavati |
   punaś cāyaṃ sadaiva śuṣko vasantakāle paripūrṇajalo grīṣmakāle trivāraṃ	punar ca-ayam sadA-eva SuzkaH vasanta-kAle paripUrNa-jalaH grIzma-kAle tri-vAram
   dine trivāraṃ rātrau ca paripūrṇajalaḥ śuṣkajalo 'pi bhavati |	dine tri-vAram rAtrO ca paripUrNa-jalaH Suzka-jalaH api Bavati |
   arthāt cañcalatayā jalavān jalābhāvavāṃś ca bhavati |	arTAt caQcala-tayA jalavAn jala-aBAvavAn ca Bavati |
   tathā coktaṃ bhṛṅgīśasaṃhitādiśāstrabhedeṣu	taTA ca-uktam BRFgISa-saMhita-Adi-SAstra-Bedezu
        sadā śuṣkā madhau pūrṇā grīṣme cañcalavāhinī |	sadA SuzkA maDO pUrNA grIzme caQcala-vAhinI |
        trikālavāhinī sandhyā sā sandhyā mokṣādāyinīti	tri-kAla-vAhinI sanDyA sA sanDyA mokza-AdAyini-iti
   ato grīṣmakāle jyaiṣṭhe māsi yathā prabhāte madhyāhne sāyaṃkāle ca	atas grIzma-kAle jyEzWe mAsi yaTA praBAte maDyAhne sAyaMkAle ca
   sandhyopāsanaṃ kriyate |	sanDyA-upAsanam kriyate |
   tathaivāsya tīrthavarasya yātrā sandhyeva bhavati |	taTA-eva-asya tIrTa-varasya yAtrA sanDyA-iva Bavati |
   ayaṃ jalāśayo madhye pārśvayoś ca vartulākāraiḥ prastarair bharito 'sti |	ayam jalASayaH maDye pArSvayoH ca vartula-AkArEH prastarEH BaritaH asti |
   yasmin kāle sandhyāṃ vidhāya jalaṃ śuṣkatāṃ gacchati tasmin kāle tebhya	yasmin kAle sanDyAm viDAya jalam Suzka-tAm gacCati tasmin kAle teByaH-
   eva pāṣāṇarandhrebhya ākhavo nirgatya bhaktaiḥ pūjārthaṃ jalāśaye pātitam	eva pAzANa-ranDreByaH AKavaH nirgatya BaktEH pUjA-arTam jalASaye pAtitam
   akṣatādikaṃ bhakṣayanti |	akzata-Adikam Bakzayanti |
   asya tīrthavarasya samīpe saptarṣīṇāṃ saptajalāśayā bhavanti |	asya tIrTa-varasya samIpe saptarzINAm sapta-jala-ASayAH Bavanti |
   tebhya ekā kulyāpi nirgacchati |	teByaH ekA kulyA-api nirgacCati |
   sālpā nady asya parvatasthatīrthavarasyādhastād vartate |	sa-alpAH nadI asya parvata-sTa-tIrTa-varasya-aDastAt vartate |
   sandhyākaraṇavelāyāṃ tīrthajalaṃ jalāśayān nirgatya nadījalamadhye patati	sanDyA-karaNa-velAyAm tIrTa-jalam jalASayAt nirgatya nadI-jala-maDye patati
   tatra saṃgamatīrthe snānādikaṃ bhavati |	tatra saMgamatIrTe snAna-Adikam Bavati |
   ayaṃ jalāśayo bhṛṅgpuragaṇe pūrvoktakuṭahārapuragaṇanikaṭavartini yo	ayam jalASayaH BRFgpura-gaNe pUrva-ukta-kuwahAra-pura-gaNa-nikawa-vartini yaH-
   divalgāsanāmā grāmo 'sti |	divalgAsa-nAmA grAmaH asti |
   tanmadhye khyātimad bhavati |	tad-maDye KyAtimat Bavati |
   grāmīṇāḥ kāśmīrikāś cāsya tīrthasya sundabhrār iti nāma vadanti |	grAmINAH kASmIrikAH ca-asya tIrTasya sundaBrAH iti nAma vadanti |
   tatra bhrār kaśmīrabhāṣāyāṃ devīnāma bhavati |	tatra BrAs kaSmIra-BAzAyAm devI-nAma Bavati |
   ataḥ sundabhrār sundaradevīty arthaḥ |	atas sundaBrAH sundara-devI-iti arTaH |
   asya puragaṇasya bhṛṅggrāmasya ca divalgon iti grāmīṇānām uccaraṇaviṣaye	asya pura-gaNasya BRFggrAmasya ca divalgon iti grAmINAnAm uccaraNa-vizaye
   vartate |	vartate |
   asya grāmasyādhastāt bihū jalan gām iti khyātaṃ grāmadvayaṃ bhavati |	asya grAmasya-aDastAt bihU jalan gAm iti KyAtam grAma-dvayam Bavati |
   asya tīrthavarasya śirasi eko vṛkṣaḥ pippalavṛkṣa ivopalakṣaṇībhūto 'pi	asya tIrTa-varasya Sirasi ekaH vRkzaH pippala-vRkzaH iva-upalakzaNIBUtaH api
   vartate |	vartate |
   sandhyākaraṇavelāyāṃ jalaprādurbhāvakāle puṣpākṣatanaivedyādipātanenāpy	sanDyA-karaNa-velAyAm jala-prAdurBAva-kAle puzpa-akzata-nEvedya-Adi-pAtanena-api-
   antardhānaṃ jalam āgacchati |	antarDAnam jalam AgacCati |
   tadā jalāśayād eva jalaṃ uddhṛtya snānādikaṃ sarve kurvanti |	tadA jalASayAt eva jalam udDRtya snAna-Adikam sarve kurvanti |
   atha dvitīyasandhyākaraṇavelāyāṃ vinītatayā pratīkṣamāṇair janair yadā	aTa dvitIya-sanDyA-karaNa-velAyAm vinIta-tayA pratIkzamANEH janEH yadA
   sthīyate tadā jalaṃ pūrvavad bahir nirgatya saṃgamajalena militvā	sTIyate tadA jalam pUrvavat bahis nirgatya saMgama-jalena militvA
   snānādikaṃ sidhyati |	snAna-Adikam siDyati |
   ye kecana daṇḍadhāriṇo rājapuruṣāḥ khaḍgādyāyudhādibhis sahaivāvinītavat	ye kecana daNxa-DAriNaH rAja-puruzAH Kaxga-Adi-AyuDa-AdiBiH saha-eva-avinIta-vat
   sandhyākaraṇavelāyāṃ jalāśayasyāsya taṭe 'śucitayaivāgacchanti tān aśucīn	sanDyA-karaNa-velAyAm jalASayasya-asya tawe aSuci-tayA-eva-AgacCanti tAn aSucIn
   avinītāṃś ca dṛṣṭvā jalam adarśanaṃ yāti |	avinItAn ca dRzwvA jalam adarSanam yAti |
   ataḥ sarvathaivāyaṃ tīrthavaro 'dbhuto mānyaḥ pūjyaś cāsmin deśe	atas sarvaTA-eva-ayam tIrTa-varaH adButaH mAnyaH pUjyaH ca-asmin deSe
   khyātatamo 'pi vartate |	KyAtatamaH api vartate |
   ata eva	atas eva
        darśanaṃ puṇyapāpānām anvayavyatirekayor	darSanam puNya-pApAnAm anvaya-vyatirekayoH-
   iti kalhaṇoktaṃ satyatayā bhāti yato 'sya puṇyavanta eva darśanaṃ	iti kalhaNa-uktam satya-tayA BAti yatas asya puNyavantaH eva darSanam
   prāpnuvanti |	prApnuvanti |
   pāpinas tu tatra gatvāpi darśanarahitā eva pratyāgacchanti ||	pApinaH tu tatra gatvA-api darSana-rahitAH eva pratyAgacCanti ||
   6. Svayambhūḥ Agniḥ	6. SvayamBUH AgniH
   śloka 34 nambara 6 svayambhūr |	SlokaH 34 nambara 6 svayamBUH |
   hutabhuk svayam eva na tu anyena kenāpi prajvālyamāno yo bhavati sa	hutaBuj svayam eva na tu anyena kena-api prajvAlyamAnaH yaH Bavati sa
   svayambhūḥ |	svayamBUH |
   etādṛśo yo hutabhuk agniḥ |	etAdRSaH yaH hutaBuj agniH |
   asya māhātmyavarṇane purā kila munīnāṃ bhaktānāṃ ca prārthanayā śivena	asya mAhAtmya-varNane purA kila munInAm BaktAnAm ca prArTanayA Sivena
   svakīyāyāḥ kālāgnirūdramūrteḥ prākaṭyam asmin sthāne sampāditam ityādi	svakIyAyAH kAlAgni-rUdra-mUrteH prAkawyam asmin sTAne sampAditam ityAdi
   likhitam asti |	liKitam asti |
   atra sarvatra marubhūmir yasyā bhāṣāyāṃ hindīty abhidhāyāṃ karevā	atra sarvatra maru-BUmiH yasyAH BAzAyAm hindI-iti aBiDAyAm karevA
   kaśmīrabhāṣāyāṃ ca uḍarnāma vartate |	kaSmIra-BAzAyAm ca uxarnAma vartate |
   saiva bhūmir anekeṣu sthāneṣu pakvatām āptādādhā ca darīdṛśyate |	sA-eva BUmiH anekezu sTAnezu pakva-tAm Apta-AdADA ca darI-dRSyate |
   ato jñāyate 'gnir ayaṃ sarvadā ekasmād eva sthānān na samunmiṣati |	atas jQAyate agniH ayam sarvadA ekasmAt eva sTAnAt na samunmizati |
   kiṃ tu kadāpy ekatra kadāpy anyatra kadācana tato 'py atra samudayaṃ	kim tu kadA-api ekatra kadApi anyatra kadAcana tatas api atra samudayam
   prāpnoti |	prApnoti |
   vadanti ca vṛddhāḥ sarvadaivāyam agnir asmin eva sthāne dvādaśavarṣādhike	vadanti ca vRdDAH sarvadA-eva-ayam agniH asmin eva sTAne dvAdaSa-varza-aDike
   kāle tato 'py adhike vā prādurbhavati |	kAle tatas api aDike vA prAdurBavati |
   atra yātrikā āgatya śuddhatayā svasvabhāṇḍāni saṃśodhya teṣv eva bhāṇḍeṣu	atra yAtrikA Agatya SudDa-tayA sva-sva-BANxAni saMSoDya tezu eva BANxezu
   yathāparimāṇaṃ taṇḍulaṃ jalaṃ ca sampātayya kāṣṭhollikhitāyāṃ bhūmau	yaTA-parimANam taNxulam jalam ca sampAtayya kAzWa-ulliKitAyAm BUmO
   gartākāraṃ kṛtvā tāni bhāṇḍāni tasyām eva taptāyāṃ bhūmau muhūrtārdhaṃ	garta-AkAram kRtvA tAni BANxAni tasyAm eva taptAyAm BUmO muhUrta-arDam
   sthāpayitvā yāvad gartebhyo 'svasvabhāṇḍāni niṣkāsayanti |	sTApayitvA yAvat garteByaH asu-asva-BANxAni nizkAsayanti |
   tāvad eva tad annaṃ teṣv annabhāṇḍeṣu supakvaṃ pratyuta sarvajanair	tAvat eva tat annam tezu anna-BANxezu supakvam pratyuta sarva-janEH-
   indhanādipacyamānānnāc chobhanaṃ ca paśyanti |	inDana-Adi-pacyamAna-annAt SoBanam ca paSyanti |
   atha te yātrikās tenaivānnena svapitṝṇāṃ piṇḍadānapūrvakaṃ yathāruci	aTa te yAtrikAH tena-eva-annena sva-pitLNAm piNxa-dAna-pUrvakam yaTAruci
   yathāvidhi ca śrāddhādi kurvanti |	yaTAviDi ca SrAdDa-Adi kurvanti |
   ye kecana homavidhyabhilāṣiṇas te tu tasyām eva taptāyāṃ bhūmau sarvataḥ	ye kecana homa-viDi-aBilAziNaH te tu tasyAm eva taptAyAm BUmO sarvatas-
   śuṣkakāṣṭhāni pātayitvā ghṛtādinā jvālā udbhāvayanti |	Suzka-kAzWAni pAtayitvA GRta-AdinA jvAlAH udBAvayanti |
   tāsv eva jvālāsu svagṛhyoktavidhānena homaṃ kurvanti |	tAsu eva jvAlAsu sva-gRhya-ukta-viDAnena homam kurvanti |
   ato	atas-
        juhvatāṃ pratigṛhṇāti jvālābhujavanair havir	juhvatAm pratigRhNAti jvAlA-Buja-vanEH haviH-
   ityādi kalhaṇoktam api saṃgacchate |	ityAdi kalhaNa-uktam api saMgacCate |
   yataḥ prajvālyamānāgner adhikajvālāvān ayam agnir havir gṛhṇāti |	yatas prajvAlyamAna-agneH aDika-jvAlAvAn ayam agniH haviH gRhNAti |
   yasmin bhūbhāge 'syāgneḥ prādurbhāvaḥ sa bhūmibhāga atyuṣṇo	yasmin BU-BAge asya-agneH prAdurBAvaH sa BUmi-BAga ati-uzNaH-
   hastādisparśenāpi lakṣyate |	hasta-Adi-sparSena-api lakzyate |
   asya sthānasya svayam iti sarvajagatprasiddhaṃ nāma grāmīṇā nāgarikāś ca	asya sTAnasya svayam iti sarva-jagat-prasidDam nAma grAmINAH nAgarikAH ca
   vadanti |	vadanti |
   etat sthānaṃ kramarājyasthe macchepor ityākhye puragaṇe vartate |	etat sTAnam krama-rAjya-sTe mad-SepoH iti-AKye pura-gaNe vartate |
   grāmīṇā etasmin kāle kramarājyapadasya kamrāj asya puragaṇasya tapay	grAmINAH etasmin kAle krama-rAjya-padasya kamrAt asya pura-gaNasya tapay
   macchyapūr iti vadanti |	mad-Si-apUH iti vadanti |
   yasmin grāme 'yam agnis tasya grāmasya nicyahaum iti vadamānā dṛśyante |	yasmin grAme ayam agniH tasya grAmasya nicyahOm iti vadamAnAH dRSyante |
   asya nicyahaumgrāmasya nikaṭe 'nyad grāmadvayam apy asti |	asya nicya-hOmgrAmasya nikawe anyat grAma-dvayam api asti |
   tatraikasya nicyahaumsamīpavartino grāmasya rājypaur iti tasyādhastād	tatra-ekasya nicya-hOm-samIpa-vartinaH grAmasya rAjypOH iti tasya-aDastAt-
   vartino 'nyasya grāmasya jacyalaur iti te eva grāmīṇāḥ kathayanti |	vartinaH anyasya grAmasya jacyalOH iti te eva grAmINAH kaTayanti |
   asmin grāmadvaye rājyapadavācyā janā mlecchā nivasamānā bhavanti |	asmin grAma-dvaye rAjya-pada-vAcyAH janAH mlecCAH nivasamAnAH Bavanti |
   ayaṃ nicyahaumgrāmo 'syāgner āścaryībhūtaḥ suyyapurasthānād yasya	ayam nicya-hOmgrAmaH asya-agneH AScaryIBUtaH suyyapura-sTAnAt yasya
   grāmīṇoccaraṇena sopor iti nāmādhunikaṃ vartate |	grAmINa-uccaraNena sa-upoH iti nAma-aDunikam vartate |
   tasmāt sthānād viṃśatikrośadūre pradeśo bhavati |	tasmAt sTAnAt viMSati-kroSa-dUre pradeSaH Bavati |
   asmin grāme 'gnisamākalitasthānādau yady api marubhūmir evāsti tathāpi	asmin grAme agni-samAkalita-sTAna-AdO yadi api maru-BUmiH eva-asti taTA-api
   tasya nikaṭa ubhayor eva pārśvayoḥ sasyakṣetreṣu sasyādisamutpattir	tasya nikawaH uBayoH eva pArSvayoH sasya-kzetrezu sasya-Adi-samutpattiH-
   bhavaty eva ||	Bavati eva ||
   7. Haṃsavāgīśvarī Bheḍā Devīty Aparaparyāyā	7. HaMsavAgISvarI BhexA DevI-iti Apara-paryAyA
   śloka 35 nambar 7 haṃsarūpā sarasvatī |	SlokaH 35 nambar 7 haMsa-rUpA sarasvatI |
