   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   sarvaparṣanmaṇḍalāt, sūrya iva sarvalokamavabhāsayan, candra iva	sarva-parzad-maNxalAt, sUryaH iva sarva-lokam-avaBAsayan, candraH iva
   sarvajagadavabhāsayan, bramheva praśāntavihārī, śakra iva durāsadakāyaḥ,	sarva-jagat-avaBAsayan, bramhA-iva praSAnta-vihArI, SakraH iva durAsada-kAyaH,
   cakravartīva saptabodhyaṅgaratnasamanvāgataḥ, siṃha	cakravartI-iva sapta-boDi-aFga-ratna-samanvAgataH, siMha
   ivānātmaśūnyasarvadharmavādī, agniskandha iva sarvajagadavabhāsakaraḥ,	iva-anAtma-SUnya-sarva-Darma-vAdI, agni-skanDaH iva sarva-jagat-avaBAsa-karaH,
   sarvadevaprabhāsamaṇiratnasamuccayamaṇirājavaddedīpyamānaḥ, sarvaṃ	sarva-deva-praBAsa-maNi-ratna-samuccaya-maNi-rAja-vat-dedIpyamAnaH, sarvam
   trisāhasramahāsāhasraṃ lokadhātumābhayā sphuritvā bramhasvararutaravitena	tri-sAhasra-mahA-sAhasram lokaDAtum-A-aBayA sPuritvA bramha-svara-ruta-ravitena
   sarvasattvavijñāpanānugatena ghoṣeṇāśuviniścitārthaḥ	sarva-sattva-vijQApana-anugatena GozeNa-ASu-viniScita-arTaH
   sarvadharmaparamapāramiprāptaḥ parṣadgato dharmaṃ deśayati sma ādau	sarva-Darma-parama-pArami-prAptaH parzad-gataH Darmam deSayati smaH AdO
   kalyāṇaṃ madhye kalyāṇaṃ paryavasāne kalyāṇam, svarthaṃsuvyañjanaṃ kevalaṃ	kalyANam maDye kalyANam paryavasAne kalyANam, svarTaMsu-vyaQjanam kevalam
   paripūrṇaṃ pariśuddhaṃ paryavadātaṃ bramhacaryaṃ saṃprakāśayati sma //	paripUrNam pariSudDam paryavadAtam bramhacaryam saMprakASayati sma //
   atha khalu prāmodyarājo nāma bodhisattvo mahāsattvastasyāmeva parṣadi	aTa Kalu prAmodya-rAjaH nAma boDisattvaH mahAsattvaH-tasyAm-eva parzadi
   saṃnipatito 'bhūt saṃniṣaṇṇaḥ /	saMnipatitaH aBUt saMnizaNNaH /
   sa bhagavantaṃ siṃhāsanasthaṃ sūryasahasrātirekayā prabhayā	sa Bagavantam siMhAsana-sTam sUrya-sahasra-atirekayA praBayA
   sarvaparṣanmaṇḍalaṃ jihmīkurvantamatīva virocamānaṃ dṛṣṭvā hṛṣṭatuṣṭaḥ	sarva-parzad-maNxalam jihmIkurvantam-atIva virocamAnam dRzwvA hRzwa-tuzwaH
   prasādāvarjirahṛdaya utthāyāsanātkṛtakarapuṭo	prasAda-avarjira-hRdayaH utTAya-AsanAt-kRta-kara-puwaH-
   bhagavantamābhirgāthābhirabhyaṣṭāvīt -	BagavantamABiH-gATABiH-aByazwAvIt -
   abhibhūya jino jagadetān devagaṇāsurakinnaranāgān /	aBiBUya jinaH jagat-etAn deva-gaNa-asura-kinnara-nAgAn /
   śrāvakabuddhasutān merutejā bhāsati hemagiriḥ sa yathaiva // 1 //	SrAvaka-budDa-sutAn meru-tejAH BAsati hemagiriH sa yaTA-eva // 1 //
   (Vaidya, RP 121)	(VEdya, RS 121)
   merurivāmarasaṃghanivāsaḥ sāgaramadhyagato 'pi virājan /	meruH-iva-amara-saMGa-nivAsaH sAgara-maDya-gataH api virAjan /
   kṛpasāgaramadhyagato 'sau muñcati raśmisahasraśatāni // 2 //	kRpa-sAgara-maDya-gataH asO muQcati raSmi-sahasra-SatAni // 2 //
   bramhavihāragataḥ sa ca bramha bramhapurastha ivābhirarāja /	bramha-vihAra-gataH sa ca bramha bramha-pura-sTaH iva-aBiH-arAja /
   dhyānavimokṣasamādhivihārī bhāsati sarvajage varasattvaḥ // 3 //	DyAna-vimokza-samADi-vihArI BAsati sarva-jage vara-sattvaH // 3 //
   śakra iva tridaśeṣu virājan devatamadhyagataḥ pṛthutejāḥ /	SakraH iva tridaSezu virAjan devata-maDya-gataH pRTu-tejAH /
   bhāsati sarvajage munirājā lakṣaṇacitrita jñānaguṇāḍhyaḥ // 4 //	BAsati sarva-jage muni-rAjA lakzaNa-citrita jQAna-guNa-AXyaH // 4 //
   dvīpacaturnṛpatirhyavabhāsī śobhati lokamimaṃ tvanubhāsan /	dvIpa-catur-nRpatiH-hi-ava-BAsI SoBati lokam-imam tu-anuBAsan /
   āryapathe ca neyojayamānaḥ śobhati eṣa kṛpāśayabuddhiḥ // 5 //	Arya-paTe ca neyojayamAnaH SoBati eza kRpA-Saya-budDiH // 5 //
   agnimaṇiprabhadhyāmakaro 'sau bhāsati khe pratiyanniva sūryaḥ /	agni-maNi-praBa-DyAmakaraH asO BAsati Ke pratiyan=-iva sUryaH /
   sūryasahasraviśiṣṭaprabhāso bhāsati buddharavirjagatīha // 6 //	sUrya-sahasra-viSizwa-praBAsaH BAsati budDa-raviH-jagati-iha // 6 //
   candra ivāmala bhāti niśīthe bhāsati sarvajageṣu viśuddhaḥ /	candraH iva-amala BAti niSITe BAsati sarva-jagezu viSudDaH /
   pūrṇaśaśāṅkanibhaṃ jinavaktraṃ sarvaprabhāmabhibhūya vibhāti // 7 //	pUrNa-SaSAFka-niBam jina-vaktram sarva-praBAm-aBiBUya viBAti // 7 //
   parvatamūrdhani agniryathaiva rātripraśānta prabhāsati sattvān /	parvata-mUrDani agniH-yaTA-eva rAtri-praSAnta praBAsati sattvAn /
   mohatamo nikhitaṃ vinihatya bhāsati jñānaprabhāsu maharṣiḥ // 8 //	mohatamaH niKitam vinihatya BAsati jQAna-praBAsu mahA-RziH // 8 //
   parvatakandaradhīraninādī trāsayatīha mṛgān bhuvi siṃhaḥ /	parvata-kandara-DIra-ninAdI trAsayati-iha mRgAn Buvi siMhaH /
   śūnyanirātmaninādi narendraḥ bhāsayate hi tathāparatīrthyān // 9 //	SUnya-nirAtma-ninAdi narendraH BAsayate hi taTA-apara-tIrTyAn // 9 //
   sanmaṇirāja ivojjvalatejā bhāsati sarvamaṇīnabhibhūya /	sat-maNi-rAjaH iva-ujjvala-tejAH BAsati sarva-maNIn-aBiBUya /
   kāñcanavarṇanibho jinakāyo bhāsati sarvajagatyabhibhūya // 10 //	kAQcana-varNa-niBaH jina-kAyaH BAsati sarva-jagati-aBiBUya // 10 //
   na ca te 'sti samaḥ kvaci loke uttari nāpi ca vidyati sattvaḥ /	na ca te asti samaH kvaci loke uttari na-api ca vidyati sattvaH /
   puṇyatu jñānatu vīryaupāyaiḥ sarvaguṇaiśca samo na tavāsti // 11 //	puNyatu jQAna-tu vIrya-OpAyEH sarva-guNEH-ca samaH na tava-asti // 11 //
   bhāsayate hi jagannaravīro dṛṣṭu mayā guṇasāgara nāthaḥ /	BAsayate hi jagat-nara-vIraH dRzwu mayA guNa-sAgara nATaH /
   gauravajātavivardhitaprītiḥ pādatale patito 'smi jināya // 12 //	gOrava-jAta-vivarDita-prItiH pAda-tale patitaH asmi jinAya // 12 //
   stutya mayā rūpasāgarabuddhiṃ sarvaguṇākara lokapradīpam /	stutya mayA rUpa-sAgara-budDim sarva-guNa-Akara loka-pradIpam /
   puṇyamupārjitamatra tena sarvajagatspṛśatāṃ varabodhim // 13 //	puNyam-upArjitam-atra tena sarva-jagat-spRSatAm vara-boDim // 13 //
   atha khalu prāmodyarājo bodhisattvo mahāsattvo	aTa Kalu prAmodya-rAjaH boDisattvaH mahAsattvaH-
   bhagavantamābhirgāthābhirabhiṣṭutya kṛtāñjalipuṭo 'nimiṣābhyāṃ nayanābhyāṃ	BagavantamABiH-gATABiH-aBizwutya kRta-aQjali-puwaH animizAByAm nayanAByAm
   tathāgatakāyamavalokayan dharmadhātumeva vicārayamāṇo gambhīraṃ	taTAgata-kAyam-avalokayan DarmaDAtum-eva vicArayamANaH gamBIram
   duravagāhaṃ durdṛśaṃ duranubodhamatarkyaṃ tarkāpagataṃ śāntaṃ sūkṣmaṃ	duravagA-aham durdRSam duranuboDam-atarkyam tarka-apagatam SAntam sUkzmam
   cānupraviśan, acintyaṃ buddhagocaramanuvicārayamāṇaḥ, sarvadharmaprasṛtaṃ	ca-anupraviSan, acintyam budDa-gocaram-anuvicArayamANaH, sarva-Darma-prasRtam
   tathāgatajñānamanucintayamānaḥ, asamasamaṃ buddhaviṣayaṃ saṃpaśyamānaḥ,	taTAgata-jQAnam-anucintayamAnaH, asama-samam budDa-vizayam saMpaSyamAnaH,
   acintyaṃ tathāgatopāyaviṣayagocaramavataran,	acintyam taTAgata-upAya-vizaya-gocaram-avataran,
   dahrmadhātunayasvabhāvāvatāratāṃ ca buddhānāṃ bhagavatāmavakalpayamānaḥ,	dahrma-DAtu-naya-svaBAva-avatAra-tAm ca budDAnAm BagavatAm-avakalpayamAnaH,
   anālayagaganagocarā hi buddhā bhagavanta iti saṃpaśyan,	anAlaya-gagana-gocarAH hi budDAH BagavantaH iti saMpaSyan,
   bhūtakoṭyakoṭisvabhāvāvatāraṃ sarvadharmāṇāmityadhimucyamānaḥ, anāvaraṇaṃ	BUta-kowya-kowi-svaBAva-avatAram sarva-DarmANAm-iti-aDimucyamAnaH, anAvaraNam
   ca buddhavimokṣamabhilaṣamāṇaḥ, (Vaidya, RP 122) dhruvaṃ śivaṃ śāśvataṃ ca	ca budDa-vimokzam-aBilazamANaH, (VEdya, RS 122) Druvam Sivam SASvatam ca
   buddhānāṃ bhagavatāṃ kāyamityavataramāṇaḥ, sarvabuddhakṣetraprasarānugatāṃ	budDAnAm BagavatAm kAyam-iti-avataramANaH, sarva-budDa-kzetra-prasara-anugatAm
   sarvasattvābhimukhatā ca tathāgatakāyasyāvataran, aparāntakalpakoṭibhirapi	sarva-sattva-aBimuKa-tA ca taTAgata-kAyasya-avataran, apara-anta-kalpa-kowiBiH-api
   nāsti buddhānāṃ bhagavatāṃ guṇaparyantaṃ ityanusmaran, prāmodyarājo	na-asti budDAnAm BagavatAm guNa-paryantam iti-anusmaran, prAmodya-rAjaH-
   bodhisattvo mahāsattvastūṣṇīvyavasthito 'bhūt dharmadhātumeva	boDisattvaH mahAsattvaH-tUzNI-vyavasTitaH aBUt DarmaDAtum-eva
   vicārayamāṇaḥ //	vicArayamANaH //
   tena khalu punaḥ samayena āyuṣmān rāṣṭrapālaḥ śrāvastyāṃ traimāsyaṃ	tena Kalu punar samayena AyuzmAn rAzwrapAlaH SrAvastyAm trEmAsyam
   varṣamupagataḥ / traimāsyātyayena kṛtacīvaro niṣṭhitacīvaraḥ sa	varzam-upagataH / trEmAsya-atyayena kRta-cIvaraH nizWita-cIvaraH sa
   pātracīvaramādāya bhikṣusaṃghena sārdhaṃ	pAtra-cIvaram-AdAya Bikzu-saMGena sArDam
   navakairādikarmikairacirapravrajitairanupūrveṇa janapadacārikāṃ caran yena	navakEH-Adi-karmikEH-acira-pravrajitEH-anupUrveNa janapada-cArikAm caran yena
   rājagṛhaṃ mahānagaraṃ yena ca gṛdhrakūṭaḥ parvatarājastenopasaṃkrāntaḥ //	rAja-gRham mahA-nagaram yena ca gRDrakUwaH parvata-rAjaH-tena-upasaMkrAntaH //
   atha khalvāyuṣmān rāṣṭrapālo yena bhagavāṃstenopasaṃkrāmat / upasaṃkramya	aTa Kalu-AyuzmAn rAzwrapAlaH yena BagavAn=-tena-upasaMkrAmat / upasaMkramya
   bhagavataḥ pādau śirasābhivandya bhagavantaṃ triḥ pradakṣiṇikṛtyaikānte	BagavataH pAdO SirasA-aBivandya Bagavantam tris pradakziNikRtya-ekAnte
   'tiṣṭhat / ekāntasthitaścāyuṣmān rāṣṭrapālaḥ kṛtāñjalipuṭo	atizWat / ekAnta-sTitaH-ca-AyuzmAn rAzwrapAlaH kRta-aQjali-puwaH-
   bhagavantamābhirgāthābhirabhyaṣṭavīt -	BagavantamABiH-gATABiH-aByazwavIt -
   vandamo naravaraṃ prabhaṃkaraṃ vandamo gaganatulyamānasam // 14 //	vandamaH nara-varam praBaMkaram vandamaH gagana-tulya-mAnasam // 14 //
   kīrtayanti tava varṇa nāyakāḥ kṣetrakoṭiprasarātsamantataḥ /	kIrtayanti tava varNa nAyakAH kzetra-kowi-prasarAt-samantataH /
   śrutva buddhasuta enti harṣitāḥ pūjanāya guṇasāgaraṃ munim // 15 //	Srutva budDa-sutaH enti harzitAH pUjanAya guNa-sAgaram munim // 15 //
   pūja kṛtva sugatānurūpato dharma śrutva virajaṃ mahāmuneḥ /	pUja kRtva sugata-anurUpataH Darma Srutva virajam mahA-muneH /
   yānti kṣetra svaka hṛṣṭamānasā varṇamāla tava tāṃ prabhāṣataḥ // 16 //	yAnti kzetra svaka hRzwa-mAnasA varNa-mAla tava tAm praBAzataH // 16 //
   kalpakoṭinayutānacintiyān sattvakāraṇamacāracārikām /	kalpa-kowina-yutAn-acintiyAn sattva-kAraNam-acAra-cArikAm /
   no ca asti tava khinna mānasaṃ eṣamāṇa varabodhimuttamām // 17 //	no ca asti tava Kinna mAnasam ezamANa vara-boDim-uttamAm // 17 //
   dānaśīlacarito 'si nāyakā kṣāntivīrya api dhyānaśikṣitaḥ /	dAna-SIla-caritaH asi nAyakA kzAnti-vIrya api DyAna-SikzitaH /
   prajñupāya sada pāramiṃ gatā tena vandasi mahāvināyakam // 18 //	prajQupAya sada pAramim gatA tena vandasi mahA-vinAyakam // 18 //
   ṛddhipādavarabhijñakovidam indriyairbalavimokṣaśikṣitam /	RdDi-pAda-varaBijQa-kovidam indriyEH-bala-vimokza-Sikzitam /
   sarvasattvacarite gatiṃ gataṃ vandamo asamajñānapāragam // 19 //	sarva-sattva-carite gatim gatam vandamaH asama-jQAna-pAragam // 19 //
   cittadhāra jagataḥ prajānase yā cariryatha ca karmasaṃbhavaḥ /	citta-DAra jagataH prajAnase yA cariH-yaTa ca karma-saMBavaH /
   yena vā nayamukhena mucyate taṃ ca vetsi bhagavannarottamā // 20 //	yena vA naya-muKena mucyate tam ca vetsi Bagavat-nara-uttamA // 20 //
   rāgadveṣa jahi mohasaṃbhavaṃ yena sattva trirapāyagāminaḥ /	rAga-dveza jahi moha-saMBavam yena sattva tris-apAya-gAminaH /
   yena yānti sugatiṃ ca karmaṇā jānase sukṛtaduṣkṛtaṃ jage // 21 //	yena yAnti su-gatim ca karmaNA jAnase sukRta-duzkRtam jage // 21 //
   ye jagaddhitakarā atītakāḥ sāṃprataṃ ca naradevapūjitāḥ /	ye jagat-hita-karAH atItakAH sAMpratam ca naradeva-pUjitAH /
   ye anāgata guṇāgrapāragāstāṃ ca sarvasugatān prajānase // 22 //	ye anAgata guNa-agra-pAragAH-tAm ca sarva-sugatAn prajAnase // 22 //
   kṣetraśuddhirapi cāpi saṃbhavo bodhisattvagaṇāḥ śrāvakāstathā /	kzetra-SudDiH-api ca-api saMBavaH boDisattva-gaNAH SrAvakAH-taTA /
   yāvadāyuratha vā maharṣiṇāṃ sarvathā hyakhilato vijānasi // 23 //	yAvat-Ayus-aTa vA mahA-RziNAm sarvaTA hi-aKilataH vijAnasi // 23 //
   (Vaidya, RP 123)	(VEdya, RS 123)
   nirvṛtau ca sthiti dharma yādṛśī yādṛśī ca jinadhātupūjanā /	nirvRtO ca sTiti Darma yAdRSI yAdRSI ca jina-DAtu-pUjanA /
   dharmakośadhara tatra yādṛśā tān prajānasi narottamākhilān // 24 //	DarmakoSa-Dara tatra yAdRSA tAn prajAnasi nara-uttama-aKilAn // 24 //
   jñāna daśabalasya viditaṃ hyanāvṛtaṃ vartate satatamadhvasu triṣu /	jQAna daSa-balasya viditam hi-anAvRtam vartate satatam-aDvasu trizu /
   sarvadharmanayayuktamānasā jñānasāgara jinā namo 'stu te // 25 //	sarva-Darma-naya-yukta-mAnasA jQAna-sAgara jinAH namaH astu te // 25 //
   nāsti te samasamaḥ kutottaro lakṣaṇaiśca pratimaṇḍitāśrayaḥ /	na-asti te sama-samaH kuta-uttaraH lakzaNEH-ca pratimaNxita-ASrayaH /
   tārakābhiriva khaṃ vicitritaṃ vandamo munivaraṃ narottamam // 26 //	tArakABiH-iva Kam vicitritam vandamaH muni-varam narottamam // 26 //
   rūpamapyasamakaṃ manoramaṃ jimha kurvati jagatsadevakam /	rUpam-api-asamakam manoramam jimha kurvati jagat-sa-devakam /
   bramha śakra akaniṣṭhadevatā agratastava na te virājite // 27 //	bramha Sakra akanizWa-devatAH agratas-tava na te virAjite // 27 //
   kāñcanācala ivāsi nirmalaḥ snigdha keśa mṛdu dakṣiṇotthitā /	kAQcana-acalaH iva-asi nirmalaH snigDa keSa mRdu dakziNa-utTitA /
   merurāja iva uṣṇiṣodgato bhāsate vipulapuṇyasaṃbhavaḥ // 28 //	meru-rAjaH iva uzNiza-udgataH BAsate vipula-puNya-saMBavaH // 28 //
   raśmikoṭiniyutān pramuñcato rājatorṇa tava ca bhruvostaṭe /	raSmi-kowi-niyutAn pramuQcataH rAjata-UrNa tava ca BruvoH-tawe /
   netra utpalanibhaṃ manoramaṃ yena vīkṣyasi jagatkṛpāśayaḥ // 29 //	netre utpala-niBam manoramam yena vIkzyasi jagat-kRpA-ASayaH // 29 //
   pūrṇacandra iva nirmale nabhe bhāsate tava mukhaṃ vināyaka /	pUrNa-candraH iva nirmale naBe BAsate tava muKam vinAyakaH /
   tṛpyate na hi nirīkṣako jano vandamo suvadanaṃ narottamam // 30 //	tRpyate na hi nirIkzakaH janaH vandamaH su-vadanam narottamam // 30 //
   haṃsabarhimṛgarājavikramā mattavāraṇavilambagāminaḥ /	haMsa-barhi-mRgarAja-vikramAH matta-vAraNa-vilamba-gAminaH /
   kampayan vrajasi medinītalaṃ vandamo daśabalaṃ dṛḍhavratam // 31 //	kampayan vrajasi medinI-talam vandamaH daSa-balam dRXa-vratam // 31 //
   dīrghavṛttarucirā karāṅgulī śuddhatāmra nakhajālacitritam /	dIrGa-vRtta-rucirA kara-aFgulI SudDa-tAmra naKa-jAla-citritam /
   utthitaḥ spṛśati jānumaṇḍale vandamo kanakavarṇasaṃnibham // 32 //	utTitaH spRSati jAnu-maNxale vandamaH kanaka-varNa-saMniBam // 32 //
   citrayan vrajasi midinītalaṃ cakrajālacitapādavikramaiḥ /	citrayan vrajasi midinI-talam cakra-ja-Ala-cita-pAda-vikramEH /
   pādaraśmiparipācitāścyutā devalokamupayānti mānavāḥ // 33 //	pAda-raSmi-paripAcitAH-cyutAH deva-lokam-upayAnti mAnavAH // 33 //
   dharmarāja dhanasaptadāyakā dharmadānapati dāntamānasā /	DarmarAja Dana-saptadAyakAH Darma-dAnapati dAnta-mAnasA /
   śāsamānu jaga dharmacaryayā dharmasvāmi praṇamāmi nāyakam // 34 //	SAsamAnu jaga Darma-caryayA DarmasvAmi praNamAmi nAyakam // 34 //
   maitra varma smṛti khaḍgamuttamaṃ śīla cāpamiṣu prajñupāyataḥ /	mA-etra varma smRti Kaxgam-uttamam SIla ca-apamizu prajQu-pAyataH /
   yena kleśaripavo vighātitāṃ jātimṛtyubhavatṛṣṇavardhakāḥ // 35 //	yena kleSa-ripavaH viGAtitAm jAti-mRtyu-Bava-tRzNa-varDakAH // 35 //
   tīrṇa tārayasi sattvakoṭiyo mukta mocayasi bandhanājjagat /	tIrNa tArayasi sattva-kowiyaH mukta mocayasi banDanAt-jagat /
   mārga darśayasi kṣema nirjvaraṃ yena yānti sugatāḥ śivaṃ padam // 36 //	mArga darSayasi kzema nirjvaram yena yAnti sugatAH Sivam padam // 36 //
   yatra jātimaraṇā na vidyate viprayoga na ca duḥkhasaṃbhavaḥ /	yatra jAti-maraNAH na vidyate viprayoga na ca duHKa-saMBavaH /
   taṃ śivaṃ padavaraṃ hyasaṃskṛtaṃ deśitāsi karuṇāmupetya hi // 37 //	tam Sivam pada-varam hi-asaMskRtam deSitA-asi karuNAm-upetya hi // 37 //
   stutya lokapravaraṃ mahāmuniṃ sarvadharmavaśipāragaṃ jinam /	stutya loka-pravaram mahA-munim sarva-Darma-vaSi-pAragam jinam /
   puṇyamatra yadupārjitaṃ mayā tena bodhimabhibudhyatāṃ jagat // 38 //	puNyam-atra yat-upArjitam mayA tena boDim-aBibuDyatAm jagat // 38 //
   atha khalvāyuṣmān rāṣṭrapālo bhagavantamābhirgāthābhirabhiṣṭutya	aTa Kalu-AyuzmAn rAzwrapAlaH BagavantamABiH-gATABiH-aBizwutya
   kṛtāñjalipuṭa utthāyāsanādekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ	kRta-aQjali-puwaH utTAya-AsanAt-eka-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam
   pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ (Vaidya, RP 124) praṇamya	pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim (VEdya, Rc 124) praNamya
   bhagavantametadavecat - pṛccheyamahaṃ bhagavantaṃ tathāgatamarhantaṃ	Bagavantam-etat-avecat  pRcCeyam-aham Bagavantam taTAgatam-arhantam
   samyaksaṃbuddhaṃ kaṃcideva pradeśam, sacenme bhagavānavakāśaṃ kuryātpṛṣṭaḥ	samyaksaMbudDam kaMcid-eva pradeSam, saced-me BagavAn-avakASam kuryAt-pRzwaH
   praśnavyākaraṇāya / evamukte bhagavānāyuṣmāntaṃ rāṣṭrapālametadavocat -	praSna-vyAkaraNAya / evam-ukte BagavAn-Ayuzma-antam rAzwrapAlam-etat-avocat -
   pṛccha tvaṃ rāṣṭrapāla yadyadevākāṅkṣasi / ahaṃ te tasyaiva praśnasya	pRcCa tvam rAzwrapAla yat-yat-eva-AkAFkzasi / aham te tasya-eva praSnasya
   pṛṣṭasya vyākaraṇena cittamārādhayiṣyāmi //	pRzwasya vyAkaraNena cittam-ArADayizyAmi //
   evamukte āyuṣmān rāṣṭrapālo bhagavantametadavocat - katamairbhagavan	evam-ukte AyuzmAn rAzwrapAlaH Bagavantam-etat-avocat  katamEH-Bagavan
   dharmaiḥ samanvāgato bodhisattvo mahāsattvaḥ	DarmEH samanvAgataH boDisattvaH mahAsattvaH
   sattvadharmaguṇaviśeṣatāmanuprāpnoti, aparādhīnajñānatāṃ ca pratilabhate,	sattva-Darma-guNa-viSeza-tAm-anuprApnoti, apara-aDIn-a-jQAna-tAm ca pratilaBate,
   āśuprajñatāṃ cānuprāpnoti, viniścayapratibhānatāṃ ca pratilabhate,	ASu-prajQa-tAm ca-anuprApnoti, viniScaya-pratiBAna-tAm ca pratilaBate,
   ālokatāṃ ca pratilabhate, sarvajñatāpraveśaṃ sattvaparipākaṃ	AlokatAm ca pratilaBate, sarvajQa-tA-praveSam sattva-paripAkam
   vimatiprahāṇaṃ kāṅkṣaprahāṇaṃ sarvajñatāviniścayaṃ pratilabhate,	vimati-prahANam kAFkza-prahANam sarvajQa-tA-viniScayam pratilaBate,
   sattvāvatārakauśalyaṃ yathā vāditathākāritāṃ ca bhūtasaṃdhāyavacanaṃ	sattva-avatAra-kOSalyam yaTA vAditaTA-kAritAm ca BUtasaMDAya-vacanam
   sattvakauśalyatāṃ ca, buddhānusmṛtipratilābhaṃ sarvapraśnaparipṛcchanatāṃ	sattva-kOSalya-tAm ca, budDa-anusmRti-pratilABam sarva-praSna-paripRcCana-tAm
   ca, sarvadharmadhāraṇatāṃ ca kṣipraṃ ca sarvajñatā manuprāpnoti ? atha	ca, sarva-Darma-DAraNa-tAm ca kzipram ca sarvajQa-tA manuprApnoti ? aTa
   khalvāyuṣmān rāṣṭrapālastasyāṃ velāyāmimā gāthā abhāṣata -	Kalu-AyuzmAn rAzwrapAlaH-tasyAm velAyAm-imAH gATAH aBAzata -
   bodhisattvacaryā suniścitā tattvato bhavati yo 'sya saṃbhavaḥ /	boDisattva-caryA su-niScitA tattvataH Bavati yaH asya saMBavaH /
   jñāgasāgarakathāviniścayaṃ bhāṣatāṃ mama jino narottamā // 39 //	jQAga-sAgara-kaTA-viniScayam BAzatAm mama jinaH nara-uttamA // 39 //
   uttaptacāmikaravigrahopamā agrasattvavara puṇyasaṃcayā /	uttapta-cAmi-kara-vigraha-upamAH agra-sattva-vara puNya-saMcayAH /
