   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   gṛhā antarikṣe te vimitaṃ hiraṇmayaṃ taddevānāṃ hṛdayānyayasmaye kumbhe	gRhAH antarikze te vimitam hiraNmayam tad-devAnAm hRdayAni-ayasmaye kumBe
   antaḥ saṃnihitāni tāni balabhūśca baladhā ca rakṣaṇo mā pramadaḥ satyaṃ te	antar saMnihitAni tAni balaBUH-ca balaDA ca rakzaNaH mA pramadaH satyam te
   dvādaśa putrāste tvā saṃvatsaresaṃvatsare kāmapreṇa yajñena yājayitvā	dvAdaSa putrAH-te tvA saMvatsaresaMvatsare kAma-preNa yajQena yAjayitvA
   punarbrahmacaryamupayanti tvaṃ devānāṃ brāhmaṇo 'syahaṃ manuṣyāṇāṃ	punar-brahmacaryam-upayanti tvam devAnAm brAhmaNaH asi-aham manuzyANAm
   brāhmaṇo vai brāhmaṇāmupadhāvati taṃ tvopadhāvāmi japantaṃ mā mā	brAhmaNaH vE brAhmaNAm-upaDAvati tam tvA-upaDAvAmi japantam mA mA
   pratijāpsīrjuhvantaṃ mā mā pratihauṣīḥ kurvantaṃ mā mā pratikārṣīstvāṃ	pratijA-apsIH-juhvantam mA mA pratihOzIH kurvantam mA mA pratikArzIH-tvAm
   prapadde tvayā prasūta idaṃ karma kariṣyāmi tanme samṛdhyatāṃ virupākṣāya	prapadde tvayA prasUtaH idam karma karizyAmi tat-me samRDyatAm virupAkzAya
   dantājjaye brahmaṇāḥ putrāya jyeṣṭhāya śreṣṭhāyāmodhāya karmādhipataye	dantAt-jaye brahmaNAH putrAya jyezWAya SrezWAyAmoDAya karma-aDipataye
   nama iti // JaimGS_1.2 //	namaH iti // JEmGS_1.2 //
   JaimGS 1.3:	JEmGS 1.3:
   sruvaṃ praṇītāsu praṇīya niṣṭapya darbhaiḥ saṃmṛjya	sruvam praNItAsu praNIya nizwapya darBEH saMmRjya
   saṃmārgānabhyukṣyāgnāvādhāya dakṣiṇāṃ jānvācyāmedhyaṃ cetkiṃcidājye	saMmArga-an-aByukzya-agnO=-ADAya dakziNAm jAnu-Acya-ameDyam ced-kiMcid-Ajye
   'vapadyeta ghuṇāstryambukā makṣikā pipīliketyā pañcabhya	avapadyeta GuNAH-tryambukA makzikA pipIliketyA paQcaBya
   ḥddhatyābhyukṣyotpūya jūhuyātparitadhinparidadhāti madhyamaṃ sthavīyasaṃ	HdDatya-aByukzya-utpUya jUhuyAt-paritaDin-paridaDAti maDyamam sTavIyasam
   paścāddīrdhaṃ madhyamaṃ dakṣiṇātaḥ kanīyasamuttarataḥ saṃspṛṣṭāndakṣiṇāto	paScAt-dIrDam maDyamam dakziNAtaH kanIya-samuttaratas saMspRzwAn-dakziNAto
   'gnerapāṃ kośaṃ ninayatyadite 'numanyasvetyanumate 'nmanyasveti	agneH-apAm koSam ninayati-adite anumanyasva-iti-anumate anmanyasva-iti
   paścātsarasvate 'numanyasvetyuttarato deva savitaḥ prasuveti triḥ	paScAt-sarasvate anumanyasva-iti-uttaratas deva savitar prasuvA-iti tris-
   pradakṣiṇamagniṃ pariṣiñceddeva savitaḥ prasuva yajñaṃ prasuva yajñapatiṃ	pradakziNam-agnim pariziQcet-deva savitar prasuva yajQam prasuva yajQapatim
   bhagāya divyo gandharvaḥ ketapūḥ ketaṃ naḥ punātu vācaspatirvācaṃ naḥ	BagAya divyaH ganDarvaH ketapUH ketam naH punAtu vAcaspatiH-vAcam naH
   svadatviti sakṛdyajuṣā dvistūṣṇīmathedhmamādāya sruveṇājyaṃ	svadatu-iti sakRt-yajuzA dvis-tUzNIm-aTa-iDmam-AdAya sruveNa-Ajyam
   gṛhītvābhighāryāgnāvabhyādadhātyayaṃ ta idhma ātmā jātavedastena vardhasva	gRhItvA-aBiGArya-agnO=-aByAdaDAtyayam te iDmaH AtmA jAtavedaH-tena varDasva
   cedhyasva cendvi vardhaya cāsmānprajayā paśubhirbrahmavarcasenānnādyena	ceDyasva ca-indvi varDaya ca-asmAn-prajayA paSuBiH-brahmavarcasena-annAdyena
   samedhaya svāheti manasāghārau juhoti saṃtatamakṣṇāyā prajāpataye	sameDaya svAhA-iti manasA-aGArO juhoti saMtatam-akzNAyAH prajApataye
   svāhetyuttaraṃ paridhisandhimanvavahṛtya sruvamundrāya svāheti dakṣiṇāṃ	svAhA-iti-uttaram pariDi-sanDim-anvavahRtya sruvam-undrAya svAhA-iti dakziNAm
   paridhisandhimanvavahṛtyāghārau hutvājyabhāgau juhotyagnaye	pariDi-sanDim-anvavahRtya-aGArO hutvA-Ajya-BAgO juhoti-agnaye
   svāhetyattarataḥ somāya svāheti dakṣiṇatastāvantareṇāhutiloko bhūḥ svāhā	svAhA-iti-attarataH somAya svAhA-iti dakziNatas-tO=-antareNa-Ahuti-lokaH BUH svAhA
   bhuvaḥ svāhā svaḥ svāhā bhūrbhuvaḥ svaḥ svāhetyagnaye 'gnīṣomābhyāmiti	BuvaH svAhA svar svAhA BUH-BuvaH svar svAhA-iti-agnaye agnIzomAByAm-iti
   paurṇamāsāsyāmagnaya indrāgnibhyāmityamāvāsyāyāmuttarapūrvāma	pOrNamAsa-AsyAm-agnayaH indra-agniByAm-iti-amAvAsyAyAm-uttara-pUrvAma
   uttarapūrvāmāhutiṃ juhotyanabhijuhvadāhutyāhutiṃ pratyak	uttara-pUrvAm-Ahutim juhoti-anaBijuhvat-Ahuti-Ahutim pratyak
   sauviṣṭakṛtasthānānnityo 'gniḥ purastātsviṣṭakṛdante 'nyatra	sOvizwa-kRta-sTAnAt-nityaH agniH purastAt-svizwakRt-ante anyatra
   vapāhomājyahomābhyāṃ na sviṣṭakṛtaṃ pratyabhighārayati sruve	vapAhoma-Ajya-homAByAm na svizwakRtam pratyaBiGArayati sruve
   sakṛdājyamupastṛṇāti dvirhaviṣo 'vadyati dvisakṛdājyonābhighārya	sakRt-Ajyam-upastRNAti dvis-havizaH avadyati dvi-sakRt-Ajya-Una-aBiGArya
   pratyabhidhā rayatyāṅguṣṭhenāṅgulibhyāṃ ca māṃsasaṃhitābhyāṃ dvarhaviṣo	pratyaBiDA rayati-AFguzWena-aFguliByAm ca mAMsa-saMhitAByAm dvarha-vizaH-
   'vadyati dvirājyenābhidhārya pratyabhighārayati jāmadagnyānāṃ tadvi	avadyati dvi-rAjyena-aBiDArya pratyaBiGArayati jAmadagnyAnAm tat-vi
   pancāvattaṃ bhavatyaṅgulyā tṛṇakūrcena vā eṣā homāvṛtsarvatra //	pancAvattam Bavati-aFgulyA tRNa-kUrcena vE ezA homa-AvRt-sarvatra //
   JaimGS_1.3 //	JEmGS_1.3 //
   JaimGS 1.4:	JEmGS 1.4:
   sapavitraṃ prastaramādatte tasyāgrāṇi sruve 'nakti divyaṅkṣveti	sa-pavitram prastaram-Adatte tasya-agrANi sruve anakti divyaFkzva-iti
   madhyamājye 'ntarikṣe 'ṅkṣveti mūlāni haviṣi pṛthivyāmaṅkṣvavati	maDyamAjye antarikze aFkzva-iti mUlAni havizi pRTivyAm-aFkzvavati
   prastarāttṛṇaṃ nirasyatyāyuṣe tveti prastaramagnāvanupraharatyagnaye	prastarAt-tRNam nirasyati-Ayuze tvA-iti prastaram-agnO=-anupraharati-agnaye
   'numataye svāheti paścāttṛṇamanupraharati dviṣantaṃ me 'bhidhehi taṃ caiva	anumataye svAhA-iti paScAt-tRNam-anupraharati dvizantam me aBiDehi tam ca-eva
   pradaha svāheti ghṛtenāktāḥ samidha ādadhāti samṛddhyai svāheti	pradaha svAhA-iti GRtena-aktAH samiDaH AdaDAti samRdDyE svAhA-iti
   bhūmimārabhya śīrṣaṇyānprāṇānupaspṛśedapa upaspṛśya dvādaśa	BUmim-AraBya SIrzaNyAn-prANAn-upaspRSet-apaH upaspRSya dvAdaSa
   prāyaścittāhutīrjuhotyākūtyai svāhā //	prAyaScitta-AhutIH-juhoti-AkUtyE svAhA //
   kāmāya svāhā //	kAmAya svAhA //
   samṛddhayai svāhā //	samRdDayE svAhA //
   ṛcā stomaṃ samardhaya gāyatreṇa rathaṃtaraṃ bṛhadgāyatravartani svāhā //	RcA stomam samarDaya gAyatreNa raTaMtaram bRhat-gAyatra-vartani svAhA //
   udu tyaṃ jātavedasaṃ devaṃ vahanti ketavaḥ /	udu tyam jAtavedasam devam vahanti ketavaH /
   d daśe viśvāya sūryaṃ svāhā //	d daSe viSvAya sUryam svAhA //
   citraṃ devānāmudagādanīkaṃ cakṣurmitrasya varuṇasyāgneḥ /	citram devAnAm-udagAt-anIkam cakzuH-mitrasya varuNasya-agneH /
   āprā dyāvāpṛthivī antarikṣaṃ sūrya ātmā jagatastasthuṣaśca svāhā //	AprA dyAvApRTivI antarikzam sUryaH AtmA jagataH-tasTuzaH-ca svAhA //
   udvayaṃ tamasaspari svaḥ paśyanto jyotirūttaram /	udvayam tamasaspari svar paSyantaH jyotiru-uttaram /
   devaṃ devatrā sūryamaganma jyotirūttamaṃ svāhā //	devam devatrA sUryam-aganma jyotirUttamam svAhA //
   prajāpate na tvadetānyanyo viśvā jātāni pari tā babhūva /	prajApate na tvad-etAni-anyaH viSvA jAtAni pari tAH baBUva /
   yatkāmāste juhumastanno 'stu vayaṃ syāma patayo rayīṇāṃ svāhā //	yat-kAmAH-te juhumaH-tat-naH astu vayam syAma patayaH rayINAm svAhA //
   bhūḥ svāhā //	BUH svAhA //
   bhuvaḥ svāhā //	BuvaH svAhA //
   svaḥ svāhā //	svar svAhA //
   bhūrbhuvaḥ svaḥ svāhetyathāstīrṇāndarbhānānīya praṇītānāṃ ca sruvasya	BUH-BuvaH svar svAhA-iti-aTa-AstIrNAn-darBAn-AnIya praNItAnAm ca sruvasya
   copariṣṭātkṛtvāpastrāvayañjapati sadasi sanme bhūyāḥ sarvamasi sarvaṃ me	ca-uparizwAt-kRtvA-apastrAvayan-japati sadasi sat-me BUyAH sarvam-asi sarvam me
   bhūyāḥ pūrṇamasi pūrṇaṃ me bhūyā akṣitamasi mā me kṣeṣṭhā iti	BUyAH pUrNam-asi pUrNam me BUyAH akzitamasi mA me kzezWAH iti
   pratidiśamapa utsiñcati prācyāṃ diśi devā ṛtvijo mārjayantāmiti	pratidiSam-apaH utsiQcati prAcyAm diSi devAH RtvijaH mArjayantAm-iti
   prācīnāvītī dakṣiṇāsyāṃ diśi māsāḥ pitaro mārjayantāmiti yajñopavītī	prAcInAvItI dakziNA-asyAm diSi mAsAH pitaraH mArjayantAm-iti yajQa-upavItI
   bhūtvāpa upaspṛśya pratīcyāṃ diśi gṛhāḥ paśavo mārjayantāmityudīcyāṃ	BUtvA-apaH upaspRSya pratIcyAm diSi gRhAH paSavaH mArjayantAm-iti-udIcyAm
   diśyāpa oṣadhayo vanaspatayo mārjayantāmityūdhvāyāṃ diśi yajñaḥ saṃvatsaro	diSi-ApaH ozaDayaH vanaspatayaH mArjayantAm-iti-UDvAyAm diSi yajQaH saMvatsaraH-
   yajñapatirmārjayantāmiti samudraṃ vaḥ prahiṇomītyapo ninīya samudraṃ vaḥ	yajQapatiH-mArjayantAm-iti samudram vaH prahiNomi-iti-apaH ninIya samudram vaH
   prahiṇobhyakṣitāḥ svāṃ yonimapi gacchata /	prahiNa-uByakzitAH svAm yonim-api gacCata /
   ariṣṭā asmākaṃ vīrāḥ santu mā parāseci naḥ svamiti yadapsu te	arizwAH asmAkam vIrAH santu mA parAseci naH svam-iti yat-apsu te
   sarasvatītyaṅguṣṭhenopakaniṣṭhikayā cākṣiṇī vimṛjedyadapsu te sarasvati	sarasvatI-iti-aFguzWena-upakanizWikayA ca-akziNI vimRjet-yat-apsu te sarasvati
   goṣvaśveṣu yanmadhu /	gozu-aSvezu yat-maDu /
   tena me vājināvati mukhamaṅdhi sarasvatīti darbhānparidhīṃścāgnāvādhāya	tena me vAjinAvati muKam-aFDi sarasvatI-iti darBAn-pariDIn=-ca-agnO=-ADAya
   vāmadevyena śāntiṃ kṛtvā triḥ paryukṣetsahaviṣkaṃ pradakṣiṇamanvamaṃsthāḥ	vAmadevyena SAntim kRtvA tris paryukzet-saha-vizkam pradakziNam-anvamaMsTAH
   prāsāvīriti mantrānsaṃnamayetpūrṇapātramupanihitaṃ sā dakṣiṇā	prAsAvIH-iti mantrAn-saMnamayet-pUrNa-pAtram-upanihitam sA dakziNA
   yathāśraddhadakṣiṇāḥ pākayajñāḥ pūrṇapātraṃ vā // JaimGS_1.4 //	yaTA-SradDa-dakziNAH pAkayajQAH pUrNa-pAtram vA // JEmGS_1.4 //
   JaimGS 1.5:	JEmGS 1.5:
   puṃsavanaṃ tṛtīyo māsyanyatra gṛṣṭerghṛte caruṃ śrapayitvā pṛṣadājyaṃ vā	puMsavanam tRtIyaH mAsi-anyatra gRzweH-GRte carum SrapayitvA pRzadAjyam vA
   sthālīpākavatsaṃskṛtya pūruṣasūktena juhuyānmāṣau ca yavaṃ ca pulliṅgaṃ	sTAlIpAka-vat-saMskRtya pUruzasUktena juhuyAt-mAzO ca yavam ca put-liFgam
   kṛtvā dadhidrapsenaināṃ prāśayetprajāpatiḥ puruṣaḥ parameṣṭhi sa me putraṃ	kRtvA daDi-drapsena-enAm prASayet-prajApatiH puruzaH paramezWi sa me putram
   dadātvāyuṣmantaṃ yaṣasvinaṃ saha patyā jīvasūrbhūyāsamiti nyagrodhaśuṅgaṃ	dadAtu-Ayuzmantam yazasvinam saha patyA jIvasUH-BUyAsam-iti nyagroDa-SuFgam
   phalābhyāmupahitaṃ śuklaratkābhyāṃ sūtrābhyāṃ grathitvā kaṇṭhe	PalAByAm-upahitam Sukla-ratkAByAm sUtrAByAm graTitvA kaNWe
   dhārayeddhruvakumārāyetyācakṣate vāso dakṣiṇā // JaimGS_1.5 //	DArayet-Druva-kumArAya-iti-Acakzate vAsaH dakziNA // JEmGS_1.5 //
   JaimGS 1.6:	JEmGS 1.6:
   athāto nāndīmukhebhyaḥ pitṛbhyaḥ pūrveddurvyākhyāsyāma āpūryamāṇapakṣe	aTa-atas nAndImuKeByaH pitRByaH pUrvet-durvyAKyAsyAmaH ApUryamANa-pakze
   puṇye nakṣatre śvaḥ kariṣyamīti śvo bhūte vānnaṃ saṃskṛtyaśucīn	puNye nakzatre Svas karizyami-iti Svas BUte vA-annam saMskRtyaSucIn
   śrotriyānbrāhmaṇānanumantrayate śuciḥ śuklamanārdramācchādya	SrotriyAn-brAhmaNAn-anumantrayate SuciH Suklam-anArdram-AcCAdya
   yajñopavītyapa ācamya catuḥśuklānbalīnharatī dadhi taṇḍulāḥ surabhi śuklāḥ	yajQopavIti-apaH Acamya catur-SuklAn-balIn-haratI daDi taNxulAH suraBi SuklAH
   sumanasa ityagnyāyatane prāgagrāndarbhānsaṃstīryāgnaye somāya prajāpataye	sumanasaH iti-agni-Ayatane prAc-agrAn-darBAn-saMstIrya-agnaye somAya prajApataye
   viśvebhyo devebhya ṛṣibhyo bhūtyebhyaḥ pitṛbhyaḥ sarvābhyo devatābhyo nama	viSveByaH deveByaH RziByaH BUtyeByaH pitRByaH sarvAByaH devatAByaH nama
   iti haviṣyamannaṃ brāhmaṇobhyaḥ pradāya dadhrā	iti havizyam-annam brAhmaNoByaH pradAya daDrA
   māṣamatsyamāṃsabhakṣyāśanairityaparamatha catuṣṭayamādāya	mAza-matsya-mAMsa-Bakzya-aSanEH-iti-aparam-aTa catuzwayam-AdAya
   vrīhiyavapuṣpasarṣapāṇīti saha tairevodakumbhamādāya manaḥ samādhīyaṃtāṃ	vrIhi-yava-puzpa-sarzapANi-iti saha tEH-eva-uda-kumBam-AdAya manaH samADIyaMtAm
   prasīdantu bhavanta ityutkā sapraṇavaṃ nāndīmukhāḥ pitaraḥ	prasIdantu BavantaH iti-utkA sa-praNavam nAndImuKAH pitaraH
   prīyantāmityevaṃ yathārthamitare pratibrūyuḥ // JaimGS_1.6 //	prIyantAm-iti-evam yaTArTam-itare pratibrUyuH // JEmGS_1.6 //
   JaimGS 1.7:	JEmGS 1.7:
   sīmantonnayanaṃ caturthe māsi ṣaṣṭhe 'ṣṭame vā pūrvapakṣe puṇye nakṣatre	sImantonnayanam caturTe mAsi zazWe azwame vA pUrva-pakze puNye nakzatre
   hastottarābhirvā kuryāttilamudgamiśraṃ sthālīpākaṃ śrapayitvānvārabdhāyāṃ	hasta-uttarABiH-vA kuryAt-tila-mudga-miSram sTAlIpAkam SrapayitvA-anvArabDAyAm
   juhuyānmahāvyāhṛtibhirhutvā prājāpatyayā cāthaināṃ paścādagnerbhadrapīṭha	juhuyAt-mahAvyAhRtiBiH-hutvA prAjApatyayA ca-aTa-enAm paScAt-agneH-BadrapIWa
   upaveśyairakāyāṃ vāhatottarāyāṃ tasyai triḥ śuklayā śalalyā prāṇasaṃmitaṃ	upaveSyEH-akAyAm vAhata-uttarAyAm tasyE tris SuklayA SalalyA prANa-saMmitam
   sīmaṃntaṃ kuryācchuklenā mūrdhraḥ prāṇāya tvāpānāya tvetyathāsyā dakṣiṇaṃ	sImaMntam kuryAt-SuklenA mUrDraH prANAya tvA-apAnAya tvA-iti-aTa-asyAH dakziNam
   keśāntaṃ sragbhiralaṃkṛtya tathottaraṃ hiraṇyavatīnāmapāṃ kāṃsyaṃ	keSAntam sragBiH-alaMkRtya taTA-uttaram hiraNyavatInAm-apAm kAMsyam
   pūrayitvā tatraināmavekṣayanpṛccheddhiṃ bhūrbhuvaḥ svaḥ kiṃ paśyasīti parā	pUrayitvA tatra-enAm-avekzayan-pRcCet-Dim BUH-BuvaH svar kim paSyasi-iti parA
   pratyāha prajāṃ paśūnsaubhāgyaṃ mahyaṃ dīrghamāyuḥ patyuriti vāso dakṣiṇā	pratyAha prajAm paSUn-sOBAgyam mahyam dIrGam-AyuH patyuH-iti vAsaH dakziNA
   hiraṇyaṃ vā // JaimGS_1.7 //	hiraNyam vA // JEmGS_1.7 //
   JaimGS 1.8:	JEmGS 1.8:
   kumāre jāte jātakarma prākstanaprāśanāhrīhiṃ ca yavaṃ ca	kumAre jAte jAtakarma prAc-stana-prASanA-hrIhim ca yavam ca
   jātarūpeṇāvaghṛṣyedamannamiti prāśayedidamannamayaṃ rasa idaṃ prāṇenāmṛtaṃ	jAtarUpeNa-avaGRzya-idam-annam-iti prASayet-idam-anna-mayam rasaH idam prANena-amRtam
   saha pṛthivī te mātā dyauḥ pitā jīvāhi śaradaḥ śataṃ paśyāhi śaradaḥ	saha pRTivI te mAtA dyOH pitA jIvAhi SaradaH Satam paSyAhi SaradaH
   śatamityathainamabhimantrayate 'ṅgādaṅgātsaṃbhavasi hṛdayādadhi jāyase /	Satam-ityaTa-enam-aBimantrayate aFgAt-aFgAt-saMBavasi hRdayAt-aDi jAyase /
   ātmā vai putranāmāsi sa jīva śaradaḥ śataṃ paśyāhi śaradaḥ	AtmA vE putra-nAmA-asi sa jIva SaradaH Satam paSyAhi SaradaH
   śatamityathainaṃ paridadātyahno tvā paridadāmyahastvā rātryai paridadātu	Satam-iti-aTa-enam paridadAti-ahnaH tvA paridadAmi-ahar-tvA rAtryE paridadAtu
   rātristvāhorātrābhyāṃ paridadātvahorātrau tvārdhamāsebhyaḥ	rAtriH-tva-ahorAtrAByAm paridadAtu-ahorAtrO tvA-arDa-mAseByaH
   paridattāmardhamāsāstvā māsebhyaḥ paridadatu māsāstvartubhyaḥ	paridattAm-arDa-mAsAH-tvA mAseByaH paridadatu mAsAH-tu-artuByaH
   paridadattvṛtastvā saṃvatsarāya paridadatu saṃvatsarastvā jarāyai mṛtyave	paridadat-tu-RtaH-tvA saMvatsarAya paridadatu saMvatsaraH-tvA jarAyE mRtyave
   paridadātviti ko 'si katamo 'sītyāha saṃ māsaṃ praviśāsāvityathāsya guhyaṃ	paridadAtu-iti kaH asi katamaH asi-iti-Aha sam mAsam praviSA-asO=-iti-aTa-asya guhyam
   nāma dadāti vedo 'sītyathāsya mūrdhānamupajighratyaśmā bhava paraśurbhava	nAma dadAti vedaH asi-iti-aTa-asya mUrDAnam-upajiGrati-aSmA Bava paraSuH-Bava
   hiraṇayamastṛtaṃ bhava paśūnāṃ tvā hiṃkāreṇābhijighrāmītyevameva	hiraNayam-astRtam Bava paSUnAm tvA hiMkAreNa-aBijiGrAmi-iti-evam-eva
   pravāsādetya putrāṇāṃ mūrdhānamupajighrati	pravAsAt-etya putrANAm mUrDAnam-upajiGrati
   phalīkaraṇamiśrānsarṣapāndaśarātramagnau juhuyāt śaṇaḍāyeti dvābhyāṃ	PalIkaraNa-miSrAn-sarzapAndaSa-rAtram-agnO juhuyAt SaNaxAya-iti dvAByAm
   śaṇaḍāya markāyopavīrāya śauṇḍikera ulūkhalo malimluco duṇāśi cyavano	SaNaxAya markAya-upavIrAya SONxikeraH ulUKalaH malimlucaH duNASi cyavanaH-
