   sphuṭārthā	sPuwa arTA
   tām udbhāvya yathāvad vihiteha mayānyathā vyākhyā. ||	tAm udBAvya yaTAvat vihitA iha mayA anyaTA vyAKyA. ||
   abhidharmavibhāṣāyāṃ kṛtaśramā ye 'bhidharmakośe ca |	aBiDarma viBAzAyAm kRta SramAH ye aBiDarma koSe ca |
   pravicāryatām iyaṃ tair vyākhyā yuktā na vā yuktā. ||	pravicAryatAm iyam tEH vyAKyA yuktAH na vA yuktA. ||
   yuktā ced grāhyeyaṃ na eed apohyānyathā vidhātavyā |	yuktA ced grAhyA iyam na eet apohya anyaTA viDAtavyAH |
   na hi viṣame 'rthe skhalituṃ na saṃbhaven mādṛśāṃ buddhiḥ. ||	na hi vizame arTe sKalitum na saMBavet mAdRSAm budDiH. ||
   yaḥ sarvathā sarvahatāndhakāraḥ	yaH sarvaTA sarva hata anDakAraH
   saṃsārapaṃkāj jagad ujjahāra	saMsAra paMkAt jagat ujjahAra
   tasmai namaskṛtya yathārthaśāstre	tasmE namaskRtya yaTArTa SAstre
   śāstraṃ pravakṣyāmy abhidharmakośam.	SAstram pravakzyAmi aBiDarma koSam.
   ity asya ślokasyārthaṃ vivṛṇvāna ācārya āha. śātraṃ praṇetukāmaḥ svasya	iti asya Slokasya arTam vivRNvAnaH AcAryaH Aha. SAtram praNetu kAmaH svasya
   (Abhidh k vy 2) śāstur māhātmyajñāpanārthaṃ guṇākhyānapūrvakaṃ tasmai	(a aBiD k vi 2) SAstuH mAhAtmya jQApana arTam guNa AKyAna pUrvakam tasmE
   namaskāram ārabhata iti. śāstram abhidharmakośaṃ praṇetukāmaḥ kartukāmaḥ	namaskAram AraBataH iti. SAstram aBiDarma koSam praNetu kAmaH kartu kAmaH
   svasya ṣāstur ātmīyasya śāstuḥ. sa hi bhagavān ācāryasyātmīyaḥ śāstā.	svasya zAstuH AtmIyasya SAstuH. sa hi BagavAn AcAryasya AtmIyaH SAstA.
   tacchāsanapratipannatvāt. [Tib. 2b] tena vā śāstrā mahākaruṇāparatantreṇa	tad SAsana pratipanna tva at. [Ti b. 2b] tena vA SAstrA mahA karuNA paratantreNa
   sakalo lokaḥ svatvena parigṛhītaḥ. tasmād ācāryasyāpi svatvena gṛhītasya	sakalaH lokaH sva tvena parigRhItaH. tasmAt AcAryasya api sva tvena gRhItasya
   sa bhagavān svaḥ śāstā bhavati. māhātmyajñāpanārtham iti. mahātmatvaṃ	sa BagavAn svar SAstA Bavati. mAhAtmya jQApana arTam iti. mahAtma tvam
   māhātmyaṃ svaparārthapratipattisampat tajjñāpanārthaṃ tadavabodhārtham.	mAhAtmyam sva para arTa pratipatti sampad tad jQApana arTam tad avaboDa arTam.
   guṇākhyānapūrvakaṃ guṇakathanapūrvakaṃ tasmai namaskāram ārabhate tasmai	guNa AKyAna pUrvakam guNa kaTana pUrvakam tasmE namaskAram AraBate tasmE
   praṇāmaṃ	praNAmam
   karotīty arthaḥ. atītakālatvād ārabdhavān iti vaktavye vartamānakāle	karoti iti arTaH. atIta kAla tvAt ArabDavAn iti vaktavye vartamAna kAle
   padaprayogo 'dyāpi namaskārārambhābhiprāyāt. śiṣyaparaṃparayā vā	pada prayogaH adya api namaskAra AramBa aBiprAyAt. Sizya paraMparayA vA
   namaskārāraṃbhāvirāmāt. śabdaśāstre 'pīdṛśa eva śabdaprayogo dṛśyate. atha	namaskAra AraMBAviH AmAt. Sabda SAstre api IdRSaH eva Sabda prayogaH dRSyate. aTa
   śabdānuśāsanam. athety ayaṃ śabdo 'dhikārārthaḥ prayujyata iti.	Sabda anuSAsanam. aTa iti ayam SabdaH aDikAra arTaH prayujyate iti.
   guṇākhyānamātreṇa māhātmyāvabodho na namaskāreṇeti cet. na. tasya	guNa AKyAna mAtreNa mAhAtmya avaboDaH na namaskAreNa iti cet. na. tasya
   tatsūcakatvāt. namaskāreṇa hi māhātmyaṃ sūcyate. atha vā guṇākhyānenaiva	tad sUcaka tvAt. namaskAreNa hi mAhAtmyam sUcyate. aTa vA guNa AKyAnena eva
   māhātmyaṃ jñāpyate na namaskāreṇa. namaskārārambhas tu	mAhAtmyam jQApyate na namaskAreNa. namaskAra AramBaH tu
   svapuṇyaprasavārtham. sadācāranuvṛttipradarśanārthaṃ vā.	sva puNya prasava arTam. sat AcAra nuvRtti pradarSana arTam vA.
   kṛtābhimatadevatāpūjāstutinamaskārā hi santaḥ kriyām ārabhanta iti satām	kRta aBimata devatA pUjA stuti namaskArAH hi santaH kriyAm AraBante iti satAm
   ācārāt. tatra māhātmyajñāpanaṃ kimartham ity ācakṣmahe.	AcArAt. tatra mAhAtmya jQApanam kimarTam iti Acakzmahe.
   tadgauravotpādanārtham. gauravotpādanaṃ punas	tad gOrava utpAdana arTam. gOrava utpAdanam punar 
   tatpravacanasatkṛtyaśravaṇārtham. satkṛtyaśravaṇaṃ krameṇa	tad pravacana satkRtya SravaNa arTam. satkRtya SravaNam krameNa
   śrutacintābhāvanāmayaprajñotpādanārtham. tadutpād	Sruta cintA BAvanA maya prajQA utpAdana arTam. tad utpAd
   anaṃ kleśaprahāṇārtham. tat punaḥ	anam kleSa prahANa arTam. tat punar 
   sarvaduḥkhopaśamalakṣaṇanirvāṇaprāpaṇārtham [Tib. 3a] iti prayojananiṣṭhā.	sarva duHKa upaSama lakzaNa nirvANa prApaNa arTam [Ti b. 3a] iti prayojana nizWA.
   māhātmyajñāpanaṃ tv ekam ācāryeṇa prayojanam uktaṃ sākṣātprayojanatvāt.	mAhAtmya jQApanam tu ekam AcAryeNa prayojanam uktam sAkzAt prayojana tvAt.
   taditarāṇi tv abhyūhituṃ śakyānīti noktāni. ya iti buddhaṃ bhagavaṃtam	tad itarANi tu aByUhitum SakyAni iti na uktAni. yaH iti budDam BagavaMtam
   adhikṛtyāheti. sāmānyaśabdo 'pi yacchabdo vihitaviśeṣaṇatvāt viśeṣavṛttir	aDikRtya Aha iti. sAmAnya SabdaH api yat SabdaH vihita viSezaNa tvAt viSeza vRttiH 
   bhavati. tadyathā ya eṣāṃ brāhmaṇānāṃ gauraḥ śukravāsāḥ sa evaśarmeti.	Bavati. tat yaTA yaH ezAm brAhmaNAnAm gOraH Sukra vAsAH saH evaSarmA iti.
   tadvad ihāpi.	tadvat iha api.
   yaḥ sarvathā sarvahatāndhakāraḥ	yaH sarvaTA sarva hata anDakAraH
   saṃsārapaṅkāj jagad ujjahāra	saMsAra paFkAt jagat ujjahAra
   tasmai namaskṛtyeti	tasmE namaskRtya iti
   buddha eva bhagavati yacchabdo vartate. na hi buddhād anya evaṃ	budDaH eva Bagavati yat SabdaH vartate. na hi budDAt anyaH evam
   guṇaviśiṣṭaḥ saṃbhavatīti ato vyācaṣṭe. ya iti buddhaṃ bhagavantam	guNa viSizwaH saMBavati iti atas vyAcazwe. yaH iti budDam Bagavantam
   adhikṛtyāheti. buddha iti kartari ktavidhānaṃ. buddher vikasanād buddhaḥ.	aDikRtya aha iti. budDaH iti kartari kta viDAnan. budDeH vikasanAt budDaH.
   vibuddha ity arthaḥ. vibuddhaṃ padmam iti yathā. atha	vibudDaH iti arTaH. vibudDam padmam iti yaTA. aTa
   yāvidyānidrādvayāpagamād buddhaḥ prabuddha ity arthaḥ. prabuddhapuruṣa iti	yA avidyA nidrA dvaya apagamAt budDaH prabudDaH iti arTaH. prabudDa puruzaH iti
   yathā. karmakartari ktavidhānam (Abhidh k vy 3) ity apare. svayaṃ budhyata	yaTA. karma kartari kta viDAnam (a aBiD k vI 3) iti apare. svayam buDyata
   iti buddha ity arthaḥ. karmaṇy api ktavidhānam apy adoṣaṃ paśyāmaḥ.	iti budDaH iti arTaH. karmaNi api kta viDAnam api adozam paSyAmaH.
   sarvaguṇasaṃpatsaṃpannatayā sarvadoṣavinirmuktatayā ca buddhair anyair vā	sarva guNa saMpad saMpanna tayA sarva doza vinirmukta tayA ca budDEH anyEH vA
   buddho jñāta ity arthaḥ. bhagavantam iti dvitīyapadopādānam	budDaH jQAtaH iti arTaH. Bagavantam iti dvitIya pada upAdAnam
   anādarasaṃbhāvanānivṛttyarthaṃ. nirupapadānām abhidhānānāṃ hi loke anādaro	anAdara saMBAvanA nivRtti arTaM. nirupapadAnAm aBiDAnAnAm hi loke anAdaraH 
   dṛśyate. evadatta iti. vinayavibhāṣākārās tu catuṣkoṭikāṃ kurvanti. asti	dRSyate. evadattaH iti. vinaya viBAzA AkArAH tu catuzkowikAm kurvanti. asti
   buddho na bhagavān. pratyekabuddhaḥ svayaṃbhutvād buddha iti śakyate	budDaH na BagavAn. pratyekabudDaH svayaMBu tvAt budDaH iti Sakyate
   vaktum. na tu bhagavān. aparipūrṇadānādisaṃbhāratvāt. yo hi māhātmyavān sa	vaktum. na tu BagavAn. aparipUrNa dAna Adi saMBAra tvAt. yaH hi mAhAtmyavAn sa
   bhagavān ucyate. asti bhagavān na buddhaḥ. caramabhaviko bodhisattvaḥ	BagavAn ucyate. asti BagavAn na budDaH. carama BavikaH boDisattvaH
   paripūrṇadānādipāramitatvāt [Tib. 3b] anabhisaṃbuddhatvāc ca. asty	paripUrNa dAna Adi pAramita tvAt [Ti b. 3b] anaBisaMbudDa tvAt ca. asti 
   ubhayathā buddho bhagavān. asti nobhayathā etān ākārān sthāpayitveti. ato	uBayaTA budDaH BagavAn. asti na uBayaTA etAn AkArAn sTApayitvA iti. atas 
   buddhaṃ bhagavantam ity ubhayaviśeṣaṇam. hatam asyāndhakāram anena veti	budDam Bagavantam iti uBaya viSezaNam. hatam asya anDakAram anena vA iti
   hatāndhakāraḥ. ṣaṣṭhībahuvrīhau mārgeṇa hatam iti kartṛbhūto mārgo	hata anDakAraH. zazWI bahuvrIhO mArgeNa hatam iti kartR BUtaH mArgaH 
   adhyāhāryaḥ. tṛtīyābahuvrīhau tu mārgeṇeti karaṇam adhyāhāryam. apara āha.	aDyAhAryaH. tRtIyA bahuvrIhO tu mArgeNa iti karaNam aDyAhAryam. aparaH Aha.
   vigrahadvayapradarśanaṃ hana hiṃsāgatyor iti	vigraha dvaya pradarSanam hana hiMsA gatyoH iti
   hantyarthadvayaparigrahārtham. yadā hatam asyāndhakāram iti vigraham. tadā	hanti arTa dvaya parigraha arTam. yadA hatam asya anDakAram iti vigraham. tadA
   gatyartho hantir gṛhyate. gatam asyāndhakāram ity arthaḥ. yadā punas	gati arTaH hantiH gRhyate. gatam asya anDakAram iti arTaH. yadA punar 
   tṛtīyābahuvrīhiḥ. tadā hiṃsārtho hantir gṛhyate. hiṃsitam anenāndhakāram	tRtIyA bahuvrIhiH. tadA hiMsA arTaH hantiH gRhyate. hiMsitam anena anDakAram
   ity arthaḥ. evam uttarayoḥ padayor aikapadyaṃ kṛtvā paścāt	iti arTaH. evam uttarayoH padayoH Ekapadyam kRtvA paScAt 
   saptamītatpuruṣaṃ karoti. sarvasmin hatāndhakāraḥ sarvahatāndhakāra iti.	saptamI tatpuruzam karoti. sarvasmin hata anDakAraH sarva hata anDakAraH iti.
   tathā ca sati hataśabdo 'tra na pūrvaṃ nipatati. saptamīsamāsas tv iha	taTA ca sati hata SabdaH atra na pUrvam nipatati. saptamI samAsaH tu iha
   kena lakṣaṇena bhavatīti cintyam. saptamī śauṇḍair iti samāsaḥ.	kena lakzaNena Bavati iti cintyam. saptamI SONxEH iti samAsaH.
   hatāndhakāraśabdaḥ śauṇdādiṣu paṭhyate. śauṇḍādīnām ākṛtīkṛtatvāt	hata anDakAra SabdaH SONda Adizu paWyate. SONxa AdInAm AkRtIkRta tvAt 
   tatrāsyānupraveśo 'vagantavyaḥ. saptamīti yogavibhāgād vā. utsargeṇa vā	tatra asya anupraveSaH avagantavyaH. saptamI iti yoga viBAgAt vA. utsargeNa vA
   samāsaḥ. saha supeti sub iti vartamāne subantaṃ subantena saha samasyate.	samAsaH. saha supa iti suB iti vartamAne subantam subantena saha samasyate.
   yatreṣṭam iti akṛtalakṣaṇo vā tatpuruṣo mayūravyaṃsakādiṣu draṣṭavya ity	yatra izwam iti akRta lakzaNaH vA tatpuruzaH mayUra vyaMsaka Adizu drazwavyaH iti 
   anena vā katham upasarjanībhūtam andhakāraṃ sarvasminn ity	anena vA kaTam upasarjanIBUtam anDakAram sarvasmin iti 
   anenabhisaṃbadhyate. satyaṃ nāndhakāram anenabhisaṃbadhyate.	anena BisaMbaDyate. satyam na anDakAram anena BisaMbaDyate.
   andhakāraghātas tv anenābhisaṃbadhyate. yena hy andhakāraghātena yogād	anDakAra GAtaH tu anena aBisaMbaDyate. yena hi anDakAra GAtena yogAt 
   bhagavān hatāndhakāraḥ. sa tasyāndhakāraghātaḥ sarvādhāro 'vagantavyaḥ.	BagavAn hata anDakAraH. sa tasya anDakAra GAtaH sarva ADAraH avagantavyaH.
   yathā akṣeṣu dhūrta iti. yena dhaurtyalakṣaṇena guṇena yogāt. asau dhūrtaḥ	yaTA akzezu DUrtaH iti. yena DOrtya lakzaNena guNena yogAt. asO DUrtaH
   so 'kṣādhāraḥ. evam ihāpy avagantavyam. anyathāpi ceha saṃbhavantaṃ	saH akza ADAraH. evam iha api avagantavyam. anyaTA api ca iha saMBavantam
   samāsaṃ paśyāmaḥ. sarvasmin hataṃ sarvahatam. sarveṇa prakāreṇa sarvahataṃ	samAsam paSyAmaH. sarvasmin hatam sarva hatam. sarveNa prakAreNa sarva hatam
   sarvathā sarvahatam. sarvathā sarvahatam asyāndhakāram anena veti sarvathā	sarvaTA sarva hatam. sarvaTA sarva hatam asya anDakAram anena vA iti sarvaTA
   sarvahatāndhakāraḥ. evaṃ hataśabdasyāndhakāreṇa sāmānādhikaraṇyam	sarva hata anDakAraH. evam hata Sabdasya anDakAreNa sAmAnADikaraNyam
   (Abhidh k vy 4). na ca pūrvanipāta iti. sarveṇa prakāreṇeti	(a aBiD k vi 4). na ca pUrva nipAtaH iti. sarveNa prakAreNa iti
   kliṣṭākliṣṭāndhakāravigamataḥ. sarvasmin jñeye dvādaśāyatanalakṣaṇe.	klizwa aklizwa anDakAra vigamataH. sarvasmin jQeye dvAdaSa Ayatana lakzaNe.
   sarvaṃ sarvam iti brāhmaṇa yāvad eva dvādaśāyatanānīti sūtre vacanāt. kim	sarvam sarvam iti brAhmaNa yAvat eva dvAdaSa AyatanAni iti sUtre vacanAt. kim
   atra śārvaraṃ tamo 'ndhakāraśabdenocyate. nety āha. ajñānaṃ hi	atra SArvaram tamaH anDakAra Sabdena ucyate. na iti Aha. ajQAnam hi
   bhūtārthadarśanapratibandhād andhakāram ity avagantavyam. andhakāraśabdo	BUta arTa darSana pratibanDAt anDakAram iti avagantavyam. anDakAra SabdaH 
   hi naiśe tamasi prasiddhaḥ. andham iva janaṃ karotīti andhakāraḥ.	hi nESe tamasi prasidDaH. anDam iva janam karoti iti anDakAraH.
   sadbhūtaghaṭapaṭādirūpadarśanapratibandhāt. tatsādharmyāt ajñānam [Tib.	sat BUta Gawa pawa Adi rUpa darSana pratibanDAt. tad sADarmyAt ajQAnam [Ti b.
   4a] apy andhakārākhyaṃ labhate. bhūtārthaduḥkhādisatyadarśanapratibandhāt.	4a] api anDakAra AKyam laBate. BUta arTa duHKa Adi satya darSana pratibanDAt.
   tac ceti tad ajñānam. pratipakśalābheneti āryamārgalābhena. vipakṣaḥ	tat ca iti tat ajQAnam. pratipakSalABena iti Arya mArga lABena. vipakzaH
   kleśaḥ vipakṣapratighātāya pakṣaḥ pratipakṣa iti kṛtvā. atha vā jñānaṃ	kleSaH vipakza pratiGAtAya pakzaH pratipakzaH iti kRtvA. aTa vA jQAnam
   anāsravam ajñānapratipakṣaḥ tasya lābhena. atyantaṃ sarvathā sarvatra	anAsravam ajQAna pratipakzaH tasya lABena. atyantam sarvaTA sarvatra
   jñeye puṇaranutpattidhamatvāt hatam asamudācāraprahāṇīkṛtam ity arthaḥ.	jQeye puNara nud patti Dama tvAt hatam asamudAcAra prahANIkRtam iti arTaH.
   ato 'sāv iti bhagavān. pratyekabuddhaśrāvakā apy abhyarhitavāt	atas asO iti BagavAn. pratyekabudDa SrAvakAH api aByarhitavAt 
   pratyekabuddhaśabdaḥ pūrvanipātaḥ. kāmam ity anujñāyām. na tu sarvatheti.	pratyekabudDa SabdaH pUrva nipAtaH. kAmam iti anujQAyAm. na tu sarvaTA iti.
   akliṣṭasaṃmohānatyantavigamāt. nanu ca sarvaṃ sāsravavastu	aklizwa saMmohAn atyanta vigamAt. nanu ca sarvam sa Asrava vastu
   śrāvakapratyekabuddhānām api buddhavat prahīṇam. kim idam ueyate.	SrAvaka pratyekabudDAnAm api budDa vat prahINam. kim idam ueyate.
   kliṣṭasaṃmohasya teṣām atyantavigama iti. tathā hy uktam. nāham ekadharmam	klizwa saMmohasya tezAm atyanta vigamaH iti. taTA hi uktam. na aham eka Darmam
   apy anabhijñāya aparijñāya duḥkhasyāntakriyāṃ vadāmīti. tathā nāham	api anaBijQAya aparijQAya duHKasya anta kriyAm vadAmi iti. taTA na aham
   ekadharmam apy aparijñāyāprahāya duḥkhasyāntakriyāṃ vadāmīti. tasmāc	eka Darmam api aparijQAya aprahAya duHKasya anta kriyAm vadAmi iti. tasmAt 
   chrāvakapratyekabuddhānām api tad akliṣṭam ajñānaṃ cakṣurādivac	CrAvaka pratyekabudDAnAm api tat aklizwam ajQAnam cakzuH Adi vat 
   chandarāgaprahāṇāt prahīṇam eva. anyathā hi śrāvakapratyekabuddhānāṃ	Canda rAga prahANAt prahINam eva. anyaTA hi SrAvaka pratyekabudDAnAm
   duḥkhāntakriyā na bhavet. satam asty etad evam. prahīṇam eva teṣāṃ	duHKAnta kriyA na Bavet. satam asti etat evam. prahINam eva tezAm
   kliṣṭavad akliṣṭam apy ajñānaṃ. tat tu teṣāṃ cakṣurādivat prahīṇam api	klizwa vat aklizwam api ajQAnan. tat tu tezAm cakzuH Adi vat prahINam api
   samudācarati. buddhasya tu prahīṇaṃ san na samudācarati. ata eva ca	samudAcarati. budDasya tu prahINam san na samudAcarati. atas eva ca
   viśeṣitaṃ punaranutpattidharmatvāt hatam [Tib. 4b] iti. anyathā tat	viSezitam punar anutpatti Darma tvAt hatam [Ti b. 4b] iti. anyaTA tat 
   sarvathā sarvatra jñeye prahīṇam ity evāvakṣyat. ye tu vyācakṣate	sarvaTA sarvatra jQeye prahINam iti eva avakzyat. ye tu vyAcakzate
   śrāvakapratyekabuddhānāṃ kliṣṭasaṃmohamātravigamāt saṃkleśavinivṛttir iti.	SrAvaka pratyekabudDAnAm klizwa saMmoha mAtra vigamAt saMkleSa vinivRttiH iti.
   tad apavyākhyānam eṣāṃ yathoktam iti pratyācakṣyate. tathā hy eṣām iti	tat apavyAKyAnam ezAm yaToktam iti pratyAcakzyate. taTA hi ezAm iti
   vistaraḥ. tathā hīti yasmād ity arthaḥ. atha vā tatheti yathā na sarvathā	vistaraH. taTA hi iti yasmAt iti arTaH. aTa vA taTA iti yaTA na sarvaTA
   tatheti. hiśabdo hetau. eṣām iti śrāvakapratyekabuddhānāṃ. buddhadharmeṣv	taTA iti. hi SabdaH hetO. ezAm iti SrAvaka pratyekabudDAnAM. budDa Darmezu 
   āveṇikādiṣu. ativiprakṛṣṭadeśakāleṣu cārtheṣu ativiprakṛṣṭadeśeṣu	AveNika Adizu. ati viprakRzwa deSa kAlezu ca arTezu ati viprakRzwa deSezu
   ativiprakṛṣṭakāleṣu ca. anantaprabhedeṣu cābuddhadharmasvabhāveṣv api	ati viprakRzwa kAlezu ca. ananta praBedezu ca abudDa Darma svaBAvezu api
   rūpādiṣv artheṣu. bhavaty evākliṣṭam ajñānaṃ samudācaraty eva tad ity	rUpa Adizu arTa izu. Bavati eva aklizwam ajQAnam samudAcarati eva tat iti 
   arthaḥ. tatra ye buddhadharmā āveṇikādayaḥ. teṣu	arTaH. tatra ye budDa DarmAH AveNika AdayaH. tezu
   svabhāvaparamasūkṣmagambhīratvād buddhād anyeṣām ajñānam. yathoktaṃ.	svaBAva parama sUkzma gamBIra tvAt budDAt anyezAm ajQAnam. yaToktaM.
   jānīṣe (Abhidh k vy 5) tvaṃ śāriputra tathāgatasya śīlaskandhaṃ	jAnIze (a aBiD k vi 5) tvam SAriputra taTAgatasya SIla skanDam
   samādhiskandhaṃ prajñāskandhaṃ vimuktiskandhaṃ vimuktijñānadarśanaskandham	samADi skanDam prajQA skanDam vimukti skanDam vimukti jQAna darSana skanDam
   iti bhagavatā pṛṣṭena sthaviraśāradvatīputreṇoktam. no hīdaṃ bhagavann	iti BagavatA pRzwena sTavira SAradvatI putreNa uktam. no hi idam Bagavat = 
   iti. ye tv anye 'rthā rūpiṇaḥ paramāṇusaṃcitāḥ. te ativiprakṛṣṭadeśā yadi	iti. ye tu anye arTAH rUpiNaH paramANu saMcitAH. te ati viprakRzwa deSA yadi
   bhavanti. ye 'py avijñaptyarūpiṇaḥ. te 'pi yady ativiprakṛṣṭadeśādhāratvāt	Bavanti. ye api avijQapti arUpiNaH. te api yadi ati viprakRzwa deSa ADAra tvAt
   ativiprakṛṣṭadeśā bhavanti. teṣv api teṣām ajñānam	ati viprakRzwa deSAH Bavanti. tezu api tezAm ajQAnam
   anekalokadhātvantaritadeśatvāt. śrūyate hi sthaviramaudgalyāyanasya	aneka loka DAtu antarita deSa tva at. SrUyate hi sTavira mOdgalyAyanasya
   ativiprakṛṣṭadeśamārīcīlokadhātujātasvamātṛdeśaparijñānam.	ati viprakRzwa deSa mArIcI loka DAtu jAta sva mAtR deSa parijQAnam.
   ativiprakṛṣtakāleṣv apy atīteṣu anāgateṣu vā teṣv artheṣv	ati viprakRzta kAlezu api atItezu anAgatezu vA tezu arTezu 
   atibahukalpāntarāntaritavināśaprādurbhāvatvāt [Tib. 5a] teṣāṃ bhavaty	ati bahu kalpa antara antarita vinASa prAdurBAva tvAt [Tib. 5a] tezAm Bavati 
   evājñānam. śrūyate hi sthaviraśāriputreṇa mokṣabhāgīyakuśalamūlādarśanāt	eva ajQAnam. SrUyate hi sTavira SAriputreNa mokza BAgIya kuSala mUla adarSanAt 
   pravrajyāpekṣapuruṣapratyākhyānam. bhagavatā tu tasya mokṣabhāgīyaṃ dṛṣṭam	pravrajyA apekza puruza pratyAKyAnam. BagavatA tu tasya mokza BAgIyam dRzwam
   uktaṃ ca	uktam ca
   mokṣabījam ahaṃ hy asya susūkṣmam upalakṣaye	mokza bIjam aham hi asya su sUkzmam upalakzaye
   dhātupāṣāṇavivare nilīnam iva kāṃcanam	DAtu pAzANa vivare nilInam iva kAMcanam
   iti. sa ca puruṣaḥ pravrājita iti. anantaprabhedeṣv iti.	iti. sa ca puruzaH pravrAjitaH iti. ananta praBedezu iti.
   dhātugatiyonyupapattyādiprabhede durbodheṣv artheṣu. teṣām ajñānaṃ bhavaty	DAtu gati yoni upapatti Adi praBede durboDezu arTezu. tezAm ajQAnam Bavati 
   eva. tathā hy āha.	eva. taTA hi Aha.
   sarvākāraṃ kāraṇam ekasya mayūracandrakasyāpi	sarva AkAram kAraNam ekasya mayUra candrakasya api
   nāsarvajñair jñeyaṃ sarvajñabalaṃ hi tajjñānam	na asarva jQEH jQeyam sarvajQa balam hi tat jQAnam
   iti. tāny etāni catvāry ajñānakāraṇāni bhavanti. teṣāṃ kvacid ekaṃ kvacid	iti. tAni etAni catvAri ajQAna kAraNAni Bavanti. tezAm kvacid ekam kvacid 
   dve kvacit trīṇi kvacit catvāsrīti saṃbhavato yojyāni. ity	dve kvacid trINi kvacid catvAsrI iti saMBavataH yojyAni. iti 
   ātmahitapratipattisampad iti vistaraḥ. ātmahitāya pratipattiḥ	Atma hita pratipatti sampad iti vistaraH. Atma hitAya pratipattiH
   ātmahitapratipattiḥ. ātmahitapratipatteḥ sampat ātmahitapratipattisampat	Atma hita pratipattiH. Atma hita pratipatteH sampad Atma hita pratipatti sampad 
   phalaniṣpattir ity arthaḥ. sā ceyaṃ saṃpat jñānaprahāṇasaṃpatsvabhāvā	Pala nizpattiH iti arTaH. sA ca iyam saMpad jQAna prahANa saMpad svaBAvA
   veditavyā. parahitapratipattisaṃpad api tathaiva carcanīyā. apare	veditavyA. para hita pratipatti saMpad api taTA eva carcanIyA. apare
   vyācakṣate. ātmahitapratipattir ātmahitapratipādanam. ātmahitopagraha ity	vyAcakzate. Atma hita pratipattiH Atma hita pratipAdanam. Atma hita upagrahaH iti 
   arthaḥ. tasyāḥ sampat ātmahitapratipattisampat. evaṃ	arTaH. tasyAH sampad Atma hita pratipatti sampat. evam
   parahitapratipattisaṃpad api vyākhyeyā. sā punaḥ	para hita pratipatti saMpad api vyAKyeyA. sA punar 
   sarvaduḥkhopaśamanirvāṇapariprāpaṇasvabhāvā.	sarva duHKa upaSama nirvANa pariprApaNa svaBAvA.
   saṃsārapaṅkāj jagad ujjahāreti	saMsAra paFkAt jagat ujjahAra iti
   vacanāt. saṃsaraṇaṃ saṃsāra [Tib. 5b] ājavaṃjavībhāvaḥ	vacanAt. saMsaraNam saMsAraH [Ti b. 5b] AjavaMjavIBAvaH
   janmamaraṇaparaṃparety arthaḥ. atha vā saṃsaranty asmin sattvā iti	janma maraNa paraMpara iti arTaH. aTa vA saMsaranti asmin sattvAH iti
   saṃsāras traidhātukam. saṃsāraḥ paṅka iva saṃsārapaṅkaḥ paṃkasādharmyāt.	saMsAraH trEDAtukam. saMsAraH paFkaH iva saMsAra paFkaH paMkasADarmyAt.
   ata āha. saṃsāro hi jagadāsaṅgasthānatvād duruttaratvāc ca paṅkabhūta iti.	atas Aha. saMsAraH hi jagat AsaFga sTAna tvAt duruttara tvAt ca paFka BUtaH iti.
