   āpastambaśulbasūtraṃ	Apastamba-Sulba-sUtram
   lakṣaṇaṃ kṛtvārdhamagamayet | antyayoḥ pāśau kṛtvā madhyame saviśeṣaṃ	lakzaNam kRtvA-arDam-agamayet | antyayoH pASO kRtvA maDyame sa-viSezam
   pratimucya pūrvasminn itaraṃ lakṣaṇena dakṣiṇamaṅkam āyacchet | unmucya	pratimucya pUrvasmin itaram lakzaNena dakziNam-aFkam AyacCet | unmucya
   pūrvasmād aparasmin pratimucya lakṣaṇenaiva dakṣiṇāṃ śroṇim āyacchet |	pUrvasmAt aparasmin pratimucya lakzaNena-eva dakziNAm SroNim AyacCet |
   evam uttarau śroṇyaṃsau || ĀpŚus_2.1b ||	evam uttarO SroNi-aMsO || ĀpŚuH-_2.1B ||
   pramāṇaṃ tiryag dvikaraṇy āyāmas tasyākṣṇayārajjus trikaraṇī || ĀpŚus_2.2	pramANam tiryak dvi-karaNI AyAmaH tasya-akzNayA-rajjuH tri-karaNI || ĀpŚuH-_2.2
   tṛtīyakaraṇyetena vyākhyātā | vibhāgastu navadhā || ĀpŚus_2.3 ||	tRtIya-karaNI-etena vyAKyAtAH | viBAgaH-tu navaDA || ĀpŚuH-_2.3 ||
   tulyayoś caturaśrayor uktaḥ samāsaḥ | nānāpramāṇayoś caturaśrayoḥ samāsaḥ	tulyayoH caturaSrayoH uktaH samAsaH | nAnA-pramANayoH caturaSrayoH samAsaH
   || ĀpŚus_2.4a ||	|| ĀpŚuH-_2.4aH ||
   hrasīyasaḥ karaṇyā varṣīyaso vṛddhram ullikhet | vṛddhrasyākṣṇayārajjur	hrasIyasaH karaNyAH varzIyasaH vRdDram ulliKet | vRdDrasya-akzNayA-rajjuH-
   ubhe samasyati | tad uktam || ĀpŚus_2.4b ||	uBe samasyati | tat uktam || ĀpŚuH-_2.4B ||
   caturaśrāc caturaśraṃ nirjihīrṣan yāvan nirjihīrṣet tasya karaṇyā	caturaSrAt caturaSram nirjihIrzan yAvat nirjihIrzet tasya karaNyA
   varṣīyaso vṛddhramullikhet || ĀpŚus_2.5a ||	varzIyasaH vRdDram-ulliKet || ĀpŚuH-_2.5aH ||
   vṛrdhasya pārśvamānīm akṣṇayetarat pārśvam upasaṃharet || ĀpŚus_2.5b ||	vRrDasya pArSvamAnIm akzNayA-itarat pArSvam upasaMharet || ĀpŚuH-_2.5B ||
   sā yatra nipatet tad apacchindyāt || ĀpŚus_2.5c ||	sA yatra nipatet tat apacCindyAt || ĀpŚuH-_2.5t ||
   chinnayā nirastam || ĀpŚus_2.5d ||	CinnayA nirastam || ĀpŚuH-_2.5d ||
   upasaṃhṛtākṣaṇayārajjuḥ sā catuṣkaraṇī chinnā cetarā ca yat pṛthagbhūte	upasaMhRta-akzaNayA-rajjuH sA catuzkaraNI CinnA ca-itarA ca yat pRTak-BUte
   kurutas tad ubhayaṃ karoti || ĀpŚus_2.6a ||	kurutaH tat uBayam karoti || ĀpŚuH-_2.6aH ||
   tiryaṅmānī puruṣaṃ śeṣas trīn || ĀpŚus_2.6c ||	tiryak-mAnI puruzam SezaH trIn || ĀpŚuH-_2.6t ||
   tad uktam || ĀpŚus_2.6d ||	tat uktam || ĀpŚuH-_2.6d ||
   dīrghacaturaśraṃ samacaturaśraṃ cikīrṣan tiryaṅmānyāpacchidya śeṣaṃ	dIrGa-caturaSram sama-caturaSram cikIrzan tiryak-mAni-ApacCidya Sezam
   vibhajyobhayata upadadhyāt || ĀpŚus_2.7a ||	viBajya-uBayatas upadaDyAt || ĀpŚuH-_2.7aH ||
   khaṇḍam āgantunā saṃpurayet || ĀpŚus_2.7b ||	KaNxam AgantunA saMpurayet || ĀpŚuH-_2.7B ||
   tasya nirhāra uktaḥ || ĀpŚus_2.7c ||	tasya nirhAraH uktaH || ĀpŚuH-_2.7t ||
   samacaturaśraṃ dīrghacaturaśraṃ cukīrṣanā yāvaccikīrṣet tāvatīṃ	sama-caturaSram dIrGa-caturaSram cukIrzanAH yAvat-cikIrzet tAvatIm
   pārśvamānīṃ kṛtvā yadadhikaṃ syād yathāyogam upadadhyāt || ĀpŚus_3.1 ||	pArSvamAnIm kRtvA yat-aDikam syAt yaTAyogam upadaDyAt || ĀpŚuH-_3.1 ||
   caturaśraṃ maṇḍalaṃ cikīrṣan madhyāt koṭyāṃ nipātayet || ĀpŚus_3.2a ||	caturaSram maNxalam cikIrzan maDyAt kowyAm nipAtayet || ĀpŚuH-_3.2aH ||
   pārśvataḥ parikṛṣyātiśayatṛtīyena saha maṇḍalaṃ parilikhet || ĀpŚus_3.2b	pArSvatas parikRzya-atiSaya-tRtIyena saha maNxalam pariliKet || ĀpŚuH-_3.2b
   sā nityā maṇḍalam || ĀpŚus_3.2c ||	sA nityAH maNxalam || ĀpŚuH-_3.2t ||
   yāvad dhīyate tāvad āgantu || ĀpŚus_3.2d ||	yAvat DIyate tAvat Agantu || ĀpŚuH-_3.2d ||
   maṇḍalaṃ caturaśraṃ cikīrṣan viṣkambhaṃ pañcadaśa bhāgān kṛtvā dvāv	maNxalam caturaSram cikIrzan vizkamBam paQcadaSa BAgAn kRtvA dvO=-
   uddharet | trayodaśāvaśiṣyante | sā nityā caturaśram || ĀpŚus_3.3 ||	udDaret | trayodaSa-avaSizyante | sA nityA caturaSram || ĀpŚuH-_3.3 ||
   pramāṇena pramāṇaṃ vidhīyate || ĀpŚus_3.4 ||	pramANena pramANam viDIyate || ĀpŚuH-_3.4 ||
   caturaśram ādeśād anyat || ĀpŚus_3.5 ||	caturaSram AdeSAt anyat || ĀpŚuH-_3.5 ||
   dvābhyāṃ catvāri || ĀpŚus_3.6a ||	dvAByAm catvAri || ĀpŚuH-_3.6aH ||
   tribhir nava || ĀpŚus_3.6b ||	triBiH nava || ĀpŚuH-_3.6B ||
   yāvatpramāṇā rajjus tāvatastāvato vargān karoti || ĀpŚus_3.8a ||	yAvat-pramANAH rajjuH tAvataH-tAvataH vargAn karoti || ĀpŚuH-_3.8aH ||
   ardhatṛtīyapuruṣā ṣaṭ sapādān || ĀpŚus_3.8b ||	arDa-tRtIya-puruzA zaw sa-pAdAn || ĀpŚuH-_3.8B ||
   athātyanta pradeśaḥ || ĀpŚus_3.9a ||	aTa-atyanta pradeSaH || ĀpŚuH-_3.9aH ||
   yāvatā yāvatādhikena parilikhati tatpārśvayor upadadhāti | yac ca tena	yAvatA yAvatA-aDikena pariliKati tad-pArSvayoH upadaDAti | yat ca tena
   caturaśraṃ kriyate tat koṭyām || ĀpŚus_3.9b ||	caturaSram kriyate tat kowyAm || ĀpŚuH-_3.9B ||
   ardhapramāṇena pādapramāṇaṃ vidhīyate || ĀpŚus_3.10a ||	arDa-pramANena pAda-pramANam viDIyate || ĀpŚuH-_3.10aH ||
   ardhasya dvipramāṇāyāḥ pādapūraṇatvāt || ĀpŚus_3.10b ||	arDasya dvi-pramANAyAH pAda-pUraNa-tvAt || ĀpŚuH-_3.10B ||
   tṛtīyena navamī kalā || ĀpŚus_3.10c ||	tRtIyena navamI kalAH || ĀpŚuH-_3.10t ||
   āgnyādheyike vihāre gārhapatyāhavanīyayor antarāle vijñāyate || ĀpŚus_4.1a	AgnyADeyike vihAre gArhapatya-AhavanIyayoH antarAle vijQAyate || ĀpŚuH-_4.1a
   aṣṭāsu prakrameṣu brāhmaṇo 'gnim ādadhīta | ekādaśasu rājanyaḥ | dvādaśasu	azwAsu prakramezu brAhmaNaH agnim AdaDIta | ekAdaSasu rAjanyaH | dvAdaSasu
   vaiśyaḥ || ĀpŚus_4.1b ||	vESyaH || ĀpŚuH-_4.1B ||
   caturviṃśatyām aparimite yāvatā vā cakṣuṣā manyate tasmān nātidūram ādheya	caturviMSatyAm aparimite yAvatA vA cakzuzA manyate tasmAt na-ati-dUram ADeya
   iti sarveṣām aviśeṣeṇa śrūyate || ĀpŚus_4.2 ||	iti sarvezAm aviSezeNa SrUyate || ĀpŚuH-_4.2 ||
   dakṣiṇataḥ purastād vitṛtīyadeśe gārhapatyasya nedīyasi dakṣiṇāgner	dakziNatas purastAt vitRtIya-deSe gArhapatyasya nedIyasi dakziNa-agneH-
   vijñāyate || ĀpŚus_4.3 ||	vijQAyate || ĀpŚuH-_4.3 ||
   gārhapatyāhavanīyayor antarālaṃ pañcadhā ṣaḍdhā vā saṃvibhajya ṣaṣṭhaṃ	gArhapatya-AhavanIyayoH antarAlam paQcaDA zaxDA vA saMviBajya zazWam
   saptamaṃ vā bhāgam āgantum upasamasya samaṃ traidhaṃ vibhajyāparasmiṃs	saptamam vA BAgam Agantum upasamasya samam trEDam viBajya-aparasmin=-
   tṛtīye lakṣaṇaṃ kṛtvā gārhapatyāhavanīyayor antau niyamya lakṣaṇena	tRtIye lakzaNam kRtvA gArhapatya-AhavanIyayoH antO niyamya lakzaNena
   dakṣiṇāpāyamya nimittaṃ karoti tad dakṣiṇāgner āyatanam | śrutisāmarthyāt	dakziNA-apAyamya nimittam karoti tat dakziNa-agneH Ayatanam | Sruti-sAmarTyAt-
   || ĀpŚus_4.4 ||	|| ĀpŚuH-_4.4 ||
   yajamānamātrī prācy aparimitā vā yathāsannāni havīṃṣi saṃbhaved evaṃ	yajamAna-mAtrI prAcI aparimitAH vA yaTAsannAni havIMzi saMBavet evam
   tiraścī prāñcau vedyaṃsāv unnayati | pratīcī śroṇī purastād aṃhīyasī	tiraScI prAQcO vedI-aMsO unnayati | pratIcI SroNI purastAt aMhIyasI
   paścāt prathīyasī madhye saṃnatataraivam iva hi yoṣeti dārśikyā veder	paScAt praTIyasI maDye saMnatatara-evam iva hi yoza-iti dArSikyAH vedeH-
   vijñāyate || ĀpŚus_4.5 ||	vijQAyate || ĀpŚuH-_4.5 ||
   apareṇāhavanīyaṃ yajamānamātrī dīrghaṃ caturaśraṃ vihṛtya tāvatīṃ rajjum	apareNa-AhavanIyam yajamAna-mAtrI dIrGam caturaSram vihRtya tAvatIm rajjum
   āyamya madhye lakṣaṇaṃ kṛtvā dakṣiṇayoḥ śroṇyaṃsayor antarā niyamya	Ayamya maDye lakzaNam kRtvA dakziNayoH SroNi-aMsayoH antarA niyamya
   lakṣaṇena dakṣiṇāpāyamya nimittaṃ karoti | nimitte rajjuṃ niyamyāntau	lakzaNena dakziNA-apAyamya nimittam karoti | nimitte rajjum niyamya-antO
   samasya | dakṣiṇāyāḥ śroṇer dakṣiṇam aṃsam ālikhet | evam uttarataḥ |	samasya | dakziNAyAH SroNeH dakziNam aMsam AliKet | evam uttaratas |
   tiryaṅmānīṃ dviguṇāṃ tathā kṛtvā paścāt purastāc copalikhet | vimitāyāṃ	tiryak-mAnIm dviguNAm taTA kRtvA paScAt purastAt ca-upaliKet | vimitAyAm
   purastāt pārśvamānyāv upasaṃharet | śrutisāmarthyāt || ĀpŚus_4.6 ||	purastAt pArSvamAnyO upasaMharet | Sruti-sAmarTyAt || ĀpŚuH-_4.6 ||
   triṃśat padāni prakramā vā paścāttiraśvī bhavati | ṣaṭtriṃśat prācī	triMSat padAni prakramA vA paScAt-tiraSvI Bavati | zawtriMSat prAcI
   caturviṃśatiḥ purastāt tiraścīti saumikyā veder vijñāyate || ĀpŚus_5.1 ||	caturviMSatiH purastAt tiraScI-iti sOmikyAH vedeH vijQAyate || ĀpŚuH-_5.1 ||
   ṣaṭtriṃśikāyām aṣṭādaśopasamasya aparasmād antād dvādaśasu lakṣaṇaṃ	zawtriMSikAyAm azwAdaSa-upasamasya aparasmAt antAt dvAdaSasu lakzaNam
   pañcadaśasu lakṣaṇaṃ pṛṣṭhyāntayor antau niyamya pañcadaśakena	paQcadaSasu lakzaNam pRzWyA-antayoH antO niyamya paQcadaSakena
   dakṣiṇāpāyamya śaṅkuṃ nihantyevam uttarataḥśroṇī | viparyasyāṃsau	dakziNA-apAyamya SaFkum nihanti-evam uttaratas-SroNI | viparyasya-aMsO
   pañcadaśikenaivāpāyamya dvādaśike śaṅkuṃ nihanti | evam uttaratastāv aṃsau	paQcadaSikena-eva-apAyamya dvAdaSike SaFkum nihanti | evam uttaratas-tO aMsO
   || ĀpŚus_5.2a ||	|| ĀpŚuH-_5.2aH ||
   tadekarajjvā viharaṇam || ĀpŚus_5.2b ||	tat-eka-rajjvA viharaNam || ĀpŚuH-_5.2B ||
   trikacatuṣkayoḥ pañcikākṣṇayārajjuḥ | tābhis trirabhyastābhir aṃsau |	trika-catuzkayoH paQcikA-akzNayA-rajjuH | tABiH tris-aByastABiH aMsO |
   caturabhyastābhiḥśroṇī || ĀpŚus_5.3 ||	catur-aByastABiH-SroNI || ĀpŚuH-_5.3 ||
   dvādaśikāpañcikayos trayodaśikākṣṇayārajjuḥ, tābhir aṃsau dvirabhyastābhiḥ	dvAdaSikA-paQcikayoH trayodaSikAkzNayA-rajjuH, tABiH aMsO dvis-aByastABiH
   śroṇī || ĀpŚus_5.4 ||	SroNI || ĀpŚuH-_5.4 ||
   pañcadaśikāṣṭikayoḥ saptadaśikākṣṇayārajjuḥ | tābhiḥśroṇī || ĀpŚus_5.5a ||	paQcadaSi-kAzwikayoH saptadaSikAkzNayA-rajjuH | tABiH-SroNI || ĀpŚuH-_5.5aH ||
   dvādaśikāpañcatriṃśikayoḥ saptatriṃśikākṣṇayārajjuḥ | tābhir aṃsau ||	dvAdaSikA-paQcatriMSikayoH saptatriMSika-akzNayA-rajjuH | tABiH aMsO ||
   ĀpŚus_5.5b ||	ĀpŚuH-_5.5B ||
   etāvanti jñeyāni vediviharaṇāni bhavanti || ĀpŚus_5.6 ||	etAvanti jQeyAni vedi-viharaNAni Bavanti || ĀpŚuH-_5.6 ||
   aṣṭaviṃśatyonaṃ padasahasraṃ mahāvediḥ || ĀpŚus_5.7a ||	azwaviMSati-onam pada-sahasram mahAvediH || ĀpŚuH-_5.7aH ||
   dakṣiṇasmād aṃsād dvādaśasu dakṣiṇasyāṃ śroṇyāṃ nipātayet | chedaṃ	dakziNasmAt aMsAt dvAdaSasu dakziNasyAm SroNyAm nipAtayet | Cedam
   viparyasyottarata upadadhyāt | sā dīrghā caturaśrā | tathā yuktāṃ	viparyasya-uttaratas upadaDyAt | sA dIrGA caturaSrA | taTA yuktAm
   saṃcakṣīta || ĀpŚus_5.7b ||	saMcakzIta || ĀpŚuH-_5.7B ||
   saumikyā veditṛtīyadeśe yajeteti sautrāmaṇyā veder vijñāyate || ĀpŚus_5.8a	sOmikyAH vedi-tRtIya-deSe yajeta-iti sOtrAmaNyAH vedeH vijQAyate || ĀpŚuH-_5.8a
   prakramāsya dvikaraṇī prakramasthānīyā bhavati trikaraṇyā vā || ĀpŚus_5.8b	prakrama-asya dvi-karaNI prakrama-sTAnIyA Bavati tri-karaNyA vA || ĀpŚuH-_5.8b
   aṣṭikā daśiketi tiryaṅmānyau | dvādaśikā pṛṣṭhayā || ĀpŚus_5.8c ||	azwikA daSikA-iti tiryak-mAnyO | dvAdaSikA pRzWayA || ĀpŚuH-_5.8t ||
   trīṇi caturviṃśāni padaśatāni sautrāmaṇikī vediḥ || ĀpŚus_5.9 ||	trINi caturviMSAni pada-SatAni sOtrAmaNikI vediH || ĀpŚuH-_5.9 ||
   dvistāvā vedir bhavatīty aśvamedhe vijñāyate || ĀpŚus_5.10 ||	dvis-tAvAH vediH Bavati-iti aSvameDe vijQAyate || ĀpŚuH-_5.10 ||
   prakramasya dvikaraṇī prakamasthānīyā bhavati || ĀpŚus_6.1 ||	prakramasya dvi-karaNI prakama-sTAnIyAH Bavati || ĀpŚuH-_6.1 ||
   prakramo dvipadastripado vā | prakrame yāthākāmī śabdārthasya viśayitvāt	prakramaH dvipadaH-tri-padaH vA | prakrame yATA-kAmI Sabda-arTasya viSayitvAt-
   || ĀpŚus_6.2a ||	|| ĀpŚuH-_6.2aH ||
   yajamānasyādhvaryorvā | eṣa hi ceṣṭānāṃ kartā bhavati || ĀpŚus_6.2b ||	yajamAnasya-aDvaryoH-vA | eza hi ca-izwAnAm kartA Bavati || ĀpŚuH-_6.2B ||
   rathamātrī nirūḍhapaśubandhasya vedir bhavatīti vijñāyate || ĀpŚus_6.3a ||	raTa-mAtrI nirUXa-paSubanDasya vediH Bavati-iti vijQAyate || ĀpŚuH-_6.3aH ||
   tasya khalvāhū rathākṣamātrī paścāt tiryag īṣayā prācī | vipathayugena	tasya Kalu-AhuH raTa-akza-mAtrI paScAt tiryak IzayA prAcI | vipaTa-yugena
   purastāt || ĀpŚus_6.3b ||	purastAt || ĀpŚuH-_6.3B ||
   yāvatā vā bāhye chidre || ĀpŚus_6.3c ||	yAvatA vA bAhye Cidre || ĀpŚuH-_6.3t ||
   tadekarajjvoktam | pañcadaśikenaivāpāyamyārdhākṣeṇārdhayugena śroṇyaṃsān	tat-eka-rajjva-uktam | paQcadaSikena-eva-apAyamya-arDa-akzeNa-arDa-yugena SroNi-aMsAn
   nirharet || ĀpŚus_6.4 ||	nirharet || ĀpŚuH-_6.4 ||
   athāpyudāharanti || ĀpŚus_6.5a ||	aTa-api-udAharanti || ĀpŚuH-_6.5aH ||
   aṣṭāśītiśatamīṣā tiryag akṣaścatuḥśatam | ṣaḍaśītiyugaṃ cāsya rathaścāraṇa	azwASIti-Satam-IzA tiryak akzaH-catur-Satam | zaz-aSIti-yugam ca-asya raTaH-cAraNa
   ucyate iti rathaparimāṇam || ĀpŚus_6.5b ||	ucyate iti raTa-parimANam || ĀpŚuH-_6.5B ||
   aratnibhir vā caturbhiḥ paścāt ṣaḍbhiḥ prācī tribhiḥ purastāt | tad	aratniBiH vA caturBiH paScAt zaxBiH prAcI triBiH purastAt | tat-
   ekarajjvoktaṃ pañcadaśikenaivāpāyamya dvābhyām adhyardheneti śroṇyaṃsān	ekarajjva-uktam paQcadaSikena-eva-apAyamya dvAByAm aDyarDena-iti SroNi-aMsAn
   nirharet || ĀpŚus_6.6 ||	nirharet || ĀpŚuH-_6.6 ||
   yajamānamātrī catuḥsraktir bhavatīti paitṛkyā veder vijñāyate,	yajamAna-mAtrI catur-sraktiH Bavati-iti pEtRkyAH vedeH vijQAyate,
   tadekarajjvoktaṃ pañcadaśikenaivāpāyamyārdhena tataḥ śroṇyaṃsān nirharet	tat-eka-rajjva-uktam paQcadaSikena-eva-apAyamya-arDena tatas SroNi-aMsAt nirharet-
   || ĀpŚus_6.7 ||	|| ĀpŚuH-_6.7 ||
   daśapadottarā vedir bhavatīti some vijñāyate | tad ekarajjvoktaṃ	daSa-pada-uttarA vediH Bavati-iti some vijQAyate | tat ekarajjva-uktam
   pañcadaśikenaivāpāyamyārdhena tataḥ śroṇyaṃsān nirharet || ĀpŚus_6.8 ||	paQcadaSikena-eva-apAyamya-arDena tatas SroNi-aMsAn nirharet || ĀpŚuH-_6.8 ||
   tāṃ yugena yajamānasya vā padair vimāya śamyayā parimimīte || ĀpŚus_6.9 ||	tAm yugena yajamAnasya vA padEH vimAya SamyayA parimimIte || ĀpŚuH-_6.9 ||
   pade yuge 'ratnāv iyati śamyāyāṃ ca mānārtheṣu yathākāmī śabdārthasya	pade yuge aratnO iyati SamyAyAm ca mAna-arTezu yaTAkAmI Sabda-arTasya
   viśayitvāt || ĀpŚus_6.10 ||	viSayitvAt || ĀpŚuH-_6.10 ||
   vimitāyāṃ purastāt pārśvamānyā upasaṃharet | śrutisāmarthyāt || ĀpŚus_6.11	vimitAyAm purastAt pArSva-mAnyAH upasaMharet | Sruti-sAmarTyAt || ĀpŚuH-_6.11
   navāratni tiryak saptaviṃśatir udag āyatam iti sadaso vijñāyate ||	nava-aratni tiryak saptaviMSatiH udak Ayatam iti sadasaH vijQAyate ||
   ĀpŚus_7.1 ||	ĀpŚuH-_7.1 ||
   aṣṭhādaśetyekeṣāṃ || ĀpŚus_7.2 ||	azWAdaSa-iti-ekezAm || ĀpŚuH-_7.2 ||
   tadekarajjvoktaṃ pañcadaśikenaivāpāyamyārdhapañcamaiḥ śroṇyaṃsān nirharet	tat-eka-rajjva-uktam paQcadaSikena-eva-apAyamya-arDa-paQcamEH SroNi-aMsAt nirharet-
   || ĀpŚus_7.3 ||	|| ĀpŚuH-_7.3 ||
   prādeśamukhāḥ prādeśāntarālā bhavantīty uparavāṇāṃ vijñāyate |	prAdeSa-muKAH prAdeSa-antarAlAH Bavanti-iti uparavANAm vijQAyate |
   aratnimātraṃ caturaśraṃ vihṛtya sraktiṣu śaṅkūn nihatyārdhaprādeśena taṃ	aratni-mAtram caturaSram vihRtya sraktizu SaFkUn nihatya-arDa-prAdeSena tam
   taṃ parilikhec chrutisāmarthyāt || ĀpŚus_7.4 ||	tam pariliKet Sruti-sAmarTyAt || ĀpŚuH-_7.4 ||
   vyāyāmamātrī bhavatīti gārhapatyaciter vijñāyate || ĀpŚus_7.5 ||	vyAyAma-mAtrI Bavati-iti gArhapatya-citeH vijQAyate || ĀpŚuH-_7.5 ||
   caturaśrety ekeṣām, parimaṇḍaletyekeṣām || ĀpŚus_7.6 ||	caturaSra-iti ekezAm, parimaNxala-iti-ekezAm || ĀpŚuH-_7.6 ||
   karaṇaṃ vyāyāmasya tṛtīyāyāmaṃ saptamavyāsaṃ kārayet || ĀpŚus_7.7 ||	karaNam vyAyAmasya tRtIya-AyAmam saptama-vyAsam kArayet || ĀpŚuH-_7.7 ||
   tā ekaviṃśatir bhavanti || ĀpŚus_7.8 ||	tAH ekaviMSatiH Bavanti || ĀpŚuH-_7.8 ||
   prāgāyāmāḥ prathame prastāre 'parasminn udagāyāmāḥ || ĀpŚus_7.9 ||	prAc-AyAmAH praTame prastAre aparasmin udak-AyAmAH || ĀpŚuH-_7.9 ||
   maṇḍalāyāṃ mṛdo dehaṃ kṛtvā madhye śaṅkuṃ nihatyārdhavyāyāmena saha	maNxalAyAm mRdaH deham kRtvA maDye SaFkum nihatya-arDa-vyAyAmena saha
   maṇḍalaṃ parilikhet || ĀpŚus_7.10a ||	maNxalam pariliKet || ĀpŚuH-_7.10aH ||
   tasmiṃś caturaśram avadadhyād yāvat sambhavet tan navadhā vyavalikhya	tasmin caturaSram avadaDyAt yAvat samBavet tat navaDA vyavaliKya
   traidham ekaikaṃ pradhikaṃ vibhajet || ĀpŚus_7.10b ||	trEDam ekEkam praDikam viBajet || ĀpŚuH-_7.10B ||
   upadhāne caturaśrasyāvāntaradeśān prati sraktīḥ sampādayet || ĀpŚus_7.11a	upaDAne caturaSrasya-avAntara-deSAn prati sraktIH sampAdayet || ĀpŚuH-_7.11a
   madhyānītarasminprastāre || ĀpŚus_7.11b ||	maDyAni-itarasmin-prastAre || ĀpŚuH-_7.11B ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_7.11c ||	vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_7.11t ||
   piśīlamātrā bhavantīti dhiṣṇyānāṃ vijñāyate || ĀpŚus_7.12 ||	piSIla-mAtrAH Bavanti-iti DizNyAnAm vijQAyate || ĀpŚuH-_7.12 ||
   caturaśrā ityekeṣāṃ parimaṇḍalā ityekeṣām || ĀpŚus_7.13 ||	caturaSrAH iti-ekezAm parimaNxalAH iti-ekezAm || ĀpŚuH-_7.13 ||
   mṛdo dehān kṛtvāgnīdhrīyaṃ navadhā vyavalikhya, ekasyāḥ sthāne 'śmānam	mRdaH dehAn kRtvA-agnIDrIyam navaDA vyavaliKya, ekasyAH sTAne aSmAnam
   upapadhyāt || ĀpŚus_7.14 ||	upapaDyAt || ĀpŚuH-_7.14 ||
