   agatitvam atiśraddhā NKv_9a	agati-tvam atiSradDA NKu-_9a
   ekaiva kavitā puṃsāṃ NKv_36a	ekA-eva kavi-tA puMsAm NKu-_36a
   etad dambhasya jīvitam NKv_91d	etat damBasya jIvitam NKu-_91d
   evam ca tathyavyutpattir NKv_6c	evam ca taTya-vyutpattiH NKu-_6c
   kaṇṭḥe madaḥ kodravajo NKv_66a	kaNwHe madaH kodrava-jaH NKu-_66a
   kathaṃ tarantu kavayaḥ NKv_39c	kaTam tarantu kavayaH NKu-_39c
   kathaṃ te taṃ laghūkartuṃ NKv_70c	kaTam te tam laGUkartum NKu-_70c
   kadā tasyāstu nirvṛtis NKv_7d	kadA tasyAH-tu nirvRtiH NKu-_7d
   kanyakety eva mātari NKv_15b	kanyakA-iti eva mAtari NKu-_15b
   kanyā nirmārṣṭi mandiram NKv_46d	kanyA nirmArzwi mandiram NKu-_46d
   kartṛkarmavyatīhārād NKv_79c	kartR-karma-vyatIhArAt NKu-_79c
   kalinā daśamāṃśena NKv_99c	kalinA daSama-aMSena NKu-_99c
   kaler etad viḍambanam NKv_102b	kaleH etat vixambanam NKu-_102b
   kavayaḥ stotum udyatās NKv_34b	kavayaH stotum udyatAH NKu-_34b
   kavinā nīlakaṇṭhena NKv_102a	kavinA nIlakaNWena NKu-_102a
   kavau daśa naṭe śatam NKv_82b	kavO daSa nawe Satam NKu-_82b
   kāṭhinyaṃ kutra vartate NKv_8d	kAWinyam kutra vartate NKu-_8d
   kātarā dīrgharogāś ca NKv_23c	kAtarAH dIrGa-rogAH ca NKu-_23c
   kātaryaṃ durvinītatvaṃ NKv_33a	kAtaryam durvinIta-tvam NKu-_33a
   kāmapāramyavādinas NKv_39d	kAma-pAramya-vAdinaH NKu-_39d
   kāmam astu jagat sarvaṃ NKv_101a	kAmam astu jagat sarvam NKu-_101a
   kārpaṇyam avivekatām NKv_33b	kArpaNyam aviveka-tAm NKu-_33b
   kāryaḥ kolāhalo mahān NKv_5d	kAryaH kolAhalaH mahAn NKu-_5d
   kālakālaṃ prapannānāṃ NKv_101c	kAla-kAlam prapannAnAm NKu-_101c
   kālasyāsya vaśaṃvadam NKv_101b	kAlasya-asya vaSaMvadam NKu-_101b
   kālaḥ kiṃ naḥ kariṣyati? NKv_101d	kAlaH kim naH karizyati? NKu-_101d
   kālāntare hy anarthāya NKv_74a	kAla-antare hi anarTAya NKu-_74a
   kim upakriyate nṛpais NKv_71b	kim upakriyate nRpEH NKu-_71b
   kimcitkopāya durdhiyām NKv_95b	kimcid-kopAya durDiyAm NKu-_95b
   kiyatī tatra varṇanā NKv_35d	kiyatI tatra varNanA NKu-_35d
   kiṃkarāḥ sarvapārthivās NKv_93d	kiMkarAH sarva-pArTivAH NKu-_93d
   kiṃ cid astuvatām teṣāṃ NKv_34c	kim cit astuvatAm tezAm NKu-_34c
   kiṃ tasya sādhanair anyaiḥ NKv_93c	kim tasya sADanEH anyEH NKu-_93c
   kiṃ prakṣyatīti lubdho 'pi NKv_76c	kim prakzyati-iti lubDaH api NKu-_76c
   kiṃ vakṣyatīva dhanikād NKv_76a	kim vakzyati-iva DanikAt NKu-_76a
   kīṭabuddhir manuṣyeṣu NKv_60c	kIwa-budDiH manuzyezu NKu-_60c
   kītaḥ kaś cid alir nāma NKv_35c	kItaH kaH cit aliH nAma NKu-_35c
   kīrtanīyā dhanārthibhis NKv_87d	kIrtanIyAH Dana-arTiBiH NKu-_87d
   kule 'py avataraty eṣa NKv_67c	kule api avatarati ezaH NKu-_67c
   kuṣṭhāpasmāravat katham NKv_67d	kuzWa-apasmAra-vat kaTam NKu-_67d
   kṛtānto lālayiṣyati NKv_71d	kRtAntaH lAlayizyati NKu-_71d
   ke cid ṛkṣāṇi jānate NKv_21b	ke cit RkzANi jAnate NKu-_21b
   kaupīnaṃ bhasitālepo NKv_86a	kOpInam Basita-AlepaH NKu-_86a
   kṣaṇamātraṃ grahāveśo NKv_64a	kzaNa-mAtram graha-AveSaH NKu-_64a
   kṣīrapāṃs taskarān api NKv_47d	kzIrapAn taskarAn api NKu-_47d
   khalānām asṛjad vidhis NKv_98d	KalAnAm asRjat viDiH NKu-_98d
   khalo gṛhasamīpasthaḥ NKv_74c	KalaH gRha-samIpa-sTaH NKu-_74c
   garbhapraśneṣu kathayan NKv_15c	garBa-praSnezu kaTayan NKu-_15c
   giraṃ skhalantīṃ mīlantīṃ NKv_55a	giram sKalantIm mIlantIm NKu-_55a
   gṛdhro gehopari sthitas NKv_74b	gRDraH geha-upari sTitaH NKu-_74b
   gṛhiṇī bhaginī tasyāḥ NKv_41a	gRhiNI BaginI tasyAH NKu-_41a
   gṛhiṇī svajanaṃ vakti NKv_47a	gRhiNI sva-janam vakti NKu-_47a
   Gokarṇe Bhadrakarṇe ca NKv_72a	GokarNe BhadrakarNe ca NKu-_72a
   grahacāraparijñānaṃ NKv_14c	graha-cAra-parijQAnam NKu-_14c
   grāmāyāśvāya hastine NKv_36b	grAmAya-aSvAya hastine NKu-_36b
   ghaṭakaṃ samyagārādhya NKv_83a	Gawakam samyak-ArADya NKu-_83a
   cārān vicārya daivajñair NKv_14a	cArAn vicArya dEva-jQEH NKu-_14a
   cirād āsādya rogiṇam NKv_29b	cirAt AsAdya rogiNam NKu-_29b
   ceṣṭitvā vinivartate NKv_65b	cezwitvA vinivartate NKu-_65b
   jantubhir nāsti kiṃ cana NKv_23b	jantuBiH na-asti kim cana NKu-_23b
   japayajñaś ca yajñeṣu NKv_75c	japa-yajQaH ca yajQezu NKu-_75c
   japo duṣkarmanāśanas NKv_72b	japaH duzkarma-nASanaH NKu-_72b
   jāmātaro bhāgineyā NKv_42a	jAmAtaraH BAgineyA NKu-_42a
   jāmātur duhitā balam NKv_43b	jAmAtuH duhitA balam NKu-_43b
   jāmātur bhāgyadhoraṇī NKv_45d	jAmAtuH BAgya-DoraNI NKu-_45d
   jāmātur vakratā tāvad NKv_44a	jAmAtuH vakra-tA tAvat NKu-_44a
   jigīṣunā hriyaṃ tyaktvā NKv_5c	jigIzunA hriyam tyaktvA NKu-_5c
   jihīrṣanti cikitsakās NKv_28d	jihIrzanti cikitsakAH NKu-_28d
   jihvā phuraphurāyate NKv_34d	jihvA PuraPurAyate NKu-_34d
   jīrṇau ca mātāpitarāv NKv_49c	jIrNO ca mAtA-pitarO NKu-_49c
   jīryanti rājavidveṣā NKv_56a	jIryanti rAja-vidvezA NKu-_56a
   jīryanty avihitāny api NKv_56b	jIryanti avihitAni api NKu-_56b
   jīvanaṃ duḥkhaśāliṣu NKv_12b	jIvanam duHKa-SAlizu NKu-_12b
   jīvanto bahumanyante NKv_16c	jIvantaH bahu-manyante NKu-_16c
   jṛmbhamāṇeṣu rogeṣu NKv_27a	jRmBamANezu rogezu NKu-_27a
   jñāteyaṃ jñānahīnatvaṃ NKv_97a	jQAtA-iyam jQAna-hIna-tvam NKu-_97a
   jñānābhāsena tṛptatā NKv_9b	jQAna-ABAsena tRpta-tA NKu-_9b
   jyāyān asaṃstavo duṣṭair NKv_96a	jyAyAn asaMstavaH duzwEH NKu-_96a
   jhaṭiti prativaktavyaṃ NKv_1c	Jawiti prativaktavyam NKu-_1c
   ta eva tu viḍambyante NKv_59c	te eva tu vixambyante NKu-_59c
   tattvaṃ jijñāsunā ciram NKv_5b	tattvam jijQAsunA ciram NKu-_5b
   tatronmadaḥ pravartatām NKv_67b	tatra-unmadaH pravartatAm NKu-_67b
   tathā dharmaṃ caret sarvaṃ NKv_89c	taTA Darmam caret sarvam NKu-_89c
   tathāpi dhaniko janas NKv_63d	taTA-api DanikaH janaH NKu-_63d
   tathāpy udvejite manas NKv_52d	taTA-api udvejite manaH NKu-_52d
   tad diśe 'pi namo namas NKv_97d	tat diSe api namaH namaH NKu-_97d
   tasmai śrīkalaye namas NKv_100d	tasmE SrI-kalaye namaH NKu-_100d
   tāmbūlāya ca kalpate NKv_36d	tAmbUlAya ca kalpate NKu-_36d
   tāvatsaṃkṣipyate sarvaṃ NKv_92c	tAvat-saMkzipyate sarvam NKu-_92c
   tāvad arthāḥ prasiddhyanti NKv_83c	tAvat arTAH prasidDyanti NKu-_83c
   tāvad udvijate tatas NKv_76d	tAvat udvijate tatas NKu-_76d
   tāvad dīrghaṃ nityakarma NKv_92a	tAvat dIrGam nityakarma NKu-_92a
   tāvan māhātmyarūpeṇa NKv_13c	tAvat mAhAtmya-rUpeNa NKu-_13c
   tāval loko na mṛṣyati NKv_69d	tAvat lokaH na mRzyati NKu-_69d
   tiṣṭhāsur atithiś ciram NKv_81d	tizWAsuH atiTiH ciram NKu-_81d
   tulasīkāṣṭham ekatas NKv_84b	tulasI-kAzWam ekatas NKu-_84b
   tulasyāḥ paṭhatā guṇan NKv_85b	tulasyAH paWatA guNan NKu-_85b
   tṛṇīkurvanti paṇḍitān NKv_68b	tRNIkurvanti paNxitAn NKu-_68b
   te dhanyāḥ khalu māntrikās NKv_12d	te DanyAH Kalu mAntrikAH NKu-_12d
   te vācaspatayaḥ svayam NKv_21d	te vAcaspatayaH svayam NKu-_21d
   teṣām āvaśyakaṃ yatas NKv_14d	tezAm AvaSyakam yatas NKu-_14d
   trayaḥ śiṣyaguṇā hy ete NKv_9c	trayaH Sizya-guNAH hi ete NKu-_9c
   tritayaṃ ye vijānanti NKv_21c	tritayam ye vijAnanti NKu-_21c
   daṇḍyamānā vikurvanti NKv_94a	daNxyamAnAH vikurvanti NKu-_94a
   dattāṃ vā deyam arthiṣu NKv_69b	dattAm vA deyam arTizu NKu-_69b
   datte svāminy upasthite NKv_78b	datte svAmini upasTite NKu-_78b
   darbhā rudrākṣamālikā NKv_86b	darBA rudrAkzamAlikA NKu-_86b
   dātāro 'rthibhir arthyante NKv_79a	dAtAraH arTiBiH arTyante NKu-_79a
   dātṛbhiḥ punar arthinas NKv_79b	dAtRBiH punar arTinaH NKu-_79b
   dāyādāḥ saṃprarohanti NKv_29c	dAyAdAH saMprarohanti NKu-_29c
   dāyinīti guṇadvayam NKv_85d	dAyini-iti guNa-dvayam NKu-_85d
   dāridryaṃ paramauṣadham NKv_54d	dAridryam parama-OzaDam NKu-_54d
   dāridryaṃ rogasaṃbhavas NKv_49b	dAridryam roga-saMBavaH NKu-_49b
   dāridrye tu na kiṃ cana NKv_53d	dAridrye tu na kim cana NKu-_53d
   dīpayaty udare vahniṃ NKv_54c	dIpayati udare vahnim NKu-_54c
   durjanānām ato nyāyyaṃ NKv_94c	durjanAnAm atas nyAyyam NKu-_94c
   dūrād eva visarjanam NKv_94d	dUrAt eva visarjanam NKu-_94d
   dṛṣṭāntas tu purohitas NKv_4b	dRzwAntaH tu purohitaH NKu-_4b
   dṛṣṭiṃ pādau visaṃsthulau NKv_55b	dRzwim pAdO visaMsTulO NKu-_55b
   dṛṣṭe prajñā vinaśyati NKv_50b	dRzwe prajQA vinaSyati NKu-_50b
   devatānām [[amī trayaḥ]] NKv_22b	devatAnAm [[amI trayaH]] NKu-_22b
   devatābuddhir ātmani NKv_60b	devatA-budDiH Atmani NKu-_60b
   deśadharmas tv anācāre NKv_88c	deSa-DarmaH tu anAcAre NKu-_88c
   deśo hy aratnimātre 'pi NKv_20c	deSaH hi aratni-mAtre api NKu-_20c
   dainyaṃ rājyād api jyāyo NKv_57c	dEnyam rAjyAt api jyAyaH NKu-_57c
   daivajñatvaṃ māntrikatā NKv_31a	dEvajQa-tvam mAntrika-tA NKu-_31a
   daivajñānām amī trayas NKv_22d	dEvajQAnAm amI trayaH NKu-_22d
   daivajñānām upālambho NKv_19c	dEvajQAnAm upAlamBaH NKu-_19c
   daivajñā māntrikā api NKv_29d	dEvajQAH mAntrikAH api NKu-_29d
   daivajño vijayī bhavet NKv_15d	dEvajQaH vijayI Bavet NKu-_15d
   dviguṇaṃ triguṇaṃ caiva NKv_71c	dviguNam triguNam ca-eva NKu-_71c
   dvitriyogas tu durlabhas NKv_31d	dvi-tri-yogaH tu durlaBaH NKu-_31d
   dhanapālaḥ piśāco hi NKv_78a	Dana-pAlaH piSAcaH hi NKu-_78a
   dhanabhāro hi lokasya NKv_70a	Dana-BAraH hi lokasya NKu-_70a
   dhanayogo mahān ayam NKv_32b	Dana-yogaH mahAn ayam NKu-_32b
   dhanalubdhaḥ piśācas tu NKv_78c	Dana-lubDaH piSAcaH tu NKu-_78c
   dhaninām adhikaṃ dhanam NKv_18b	DaninAm aDikam Danam NKu-_18b
   na kasmai cana ditsate NKv_78d	na kasmE cana ditsate NKu-_78d
   na kāraṇam apekṣante NKv_34a	na kAraNam apekzante NKu-_34a
   na kālaniyamaḥ kaś cid NKv_51c	na kAla-niyamaH kaH cit NKu-_51c
   na dāyādā na pārthivās NKv_57b	na dAyAdAH na pArTivAH NKu-_57b
   na paśyāmo mukhe daṃṣṭrāṃ NKv_52a	na paSyAmaH muKe daMzwrAm NKu-_52a
   na pāśaṃ vā karāñjale NKv_52b	na pASam vA kara-aQjale NKu-_52b
   na preryante ca kena cit NKv_73b	na preryante ca kena cit NKu-_73b
   na bibheti na jihreti NKv_63c	na biBeti na jihrA-iti NKu-_63c
   na bhetavyaṃ na boddhavyaṃ NKv_1a	na Betavyam na bodDavyam NKu-_1a
   na vṛthā kiṃ cid ācaret NKv_89d	na vRTA kim cit Acaret NKu-_89d
   na śrāvyaṃ vādino vacaḥ NKv_1b	na SrAvyam vAdinaH vacaH NKu-_1b
   na stauti cet svayaṃ ca svaṃ NKv_7c	na stOti ced svayam ca svam NKu-_7c
   na svato guṇadarśinas NKv_35b	na svatas guNa-darSinaH NKu-_35b
   na svārthaṃ kimcid icchanti NKv_73a	na sva-arTam kimcid icCanti NKu-_73a
   nātidhairyaṃ pradātavyaṃ NKv_24a	na-ati-DEryam pradAtavyam NKu-_24a
   nātibhītiś ca rogiṇi NKv_24b	na-atiBItiH ca rogiNi NKu-_24b
   nāsti daivajñavarjitas NKv_20d	na-asti dEvajQa-varjitaH NKu-_20d
   nāsya corā na piśunā NKv_57a	na-asya corA na piSunA NKu-_57a
   nityaṃ laśunagandhavat NKv_65d	nityam laSuna-ganDa-vat NKu-_65d
   nityaḥ kāryaviparyaye NKv_19d	nityaH kArya-viparyaye NKu-_19d
   nidānaṃ roganāmāni NKv_26a	nidAnam roga-nAmAni NKu-_26a
   nirdhanānāṃ dhanāvāptiṃ NKv_18a	nirDanAnAm Dana-avAptim NKu-_18a
   niścityaivaṃ svayam api NKv_80c	niScitya-evam svayam api NKu-_80c
   nisargaśatravaḥ sṛṣṭā NKv_22c	nisarga-SatravaH sRzwAH NKu-_22c
   nūtanāyāḥ śriyaḥ phalam NKv_60d	nUtanAyAH SriyaH Palam NKu-_60d
   naimittikāḥ svapnadṛśo NKv_22a	nEmittikAH svapna-dRSaH NKu-_22a
   nairāśyād eva nāntime NKv_24d	nErASyAt eva na-antime NKu-_24d
   naiścintyān nādime dānaṃ NKv_24c	nEH-cintyAt na-Adime dAnam NKu-_24c
   pakṣapāto 'dhiropyatām NKv_3d	pakzapAtaH aDiropyatAm NKu-_3d
   pañca prāṇā ime 'pare NKv_41d	paQca prANAH ime apare NKu-_41d
   pañcaite jayahetavas NKv_2d	paQca-ete jaya-hetavaH NKu-_2d
   paṇḍito yadi tatraiva NKv_3c	paNxitaH yadi tatra-eva NKu-_3c
   patipakṣyāṃs tu bahvāśān NKv_47c	pati-pakzyAn tu bahu-ASAn NKu-_47c
   pathyaṃ tu kaṭhinaṃ vadet NKv_25b	paTyam tu kaWinam vadet NKu-_25b
   parachidreṣu hṛdayaṃ NKv_98a	para-Cidrezu hRdayam NKu-_98a
   paramarmāsu vācaṃ ca NKv_98c	para-marmAsu vAcam ca NKu-_98c
   paravārtāsu ca śravas NKv_98b	para-vArtAsu ca SravaH NKu-_98b
   parārtheṣu pravartante NKv_73c	para-arTezu pravartante NKu-_73c
   paryavasyati māntrike NKv_13d	paryavasyati mAntrike NKu-_13d
   paśyanto 'pi na jānate NKv_61b	paSyantaH api na jAnate NKu-_61b
   pāṭhanair granthanirmāṇaiḥ NKv_6a	pAWanEH granTa-nirmANEH NKu-_6a
   piśunatvaṃ daridratā NKv_97b	piSuna-tvam daridra-tA NKu-_97b
   piśunair eva dhāryate NKv_70b	piSunEH eva DAryate NKu-_70b
   putra ity eva pitari NKv_15a	putraH iti eva pitari NKu-_15a
   putradāramukheṣv api NKv_66d	putra-dAra-muKezu api NKu-_66d
   putrāṇām upalālanais NKv_46b	putrANAm upalAlanEH NKu-_46b
   pṛcchatāṃ siddham uttaram NKv_88d	pRcCatAm sidDam uttaram NKu-_88d
   prakāśayaty ahaṃkāraṃ NKv_58a	prakASayati ahaMkAram NKu-_58a
   pratiṣṭhā tāvad āpyate NKv_6b	pratizWA tAvat Apyate NKu-_6b
   pratiṣṭheta dine dine NKv_81b	pratizWeta dine dine NKu-_81b
   pradīyate viduṣy ekaṃ NKv_82a	pradIyate viduzi ekam NKu-_82a
   prabuddhe 'smin palāyanam NKv_44d	prabudDe asmin palAyanam NKu-_44d
   prabudhyamāne sāralyaṃ NKv_44c	prabuDyamAne sAralyam NKu-_44c
   prayogaś cyutasaṃkṛtau NKv_88b	prayogaH cyuta-saMkRtO NKu-_88b
   pralapanto 'nyathānyathā NKv_39b	pralapantaH anyaTA-anyaTA NKu-_39b
   pravartanārtham ārambhe NKv_28a	pravartana-arTam AramBe NKu-_28a
   pravartayati taskarān NKv_58b	pravartayati taskarAn NKu-_58b
   praśaṃsanto narābhāsān NKv_39a	praSaMsantaH nara-ABAsAn NKu-_39a
   prasiddhaś ca mṛto gurus NKv_87b	prasidDaH ca mRtaH guruH NKu-_87b
   prasthāsyamānaḥ praviśet NKv_81a	prasTAsyamAnaH praviSet NKu-_81a
   prāṇinām kalinā sṛṣṭāḥ NKv_41c	prANinAm kalinA sRzwAH NKu-_41c
   prāmāṇyabuddhiḥ stotreṣu NKv_60a	prAmANya-budDiH stotrezu NKu-_60a
   protsāhayati dāyādāṃl NKv_58c	protsAhayati dAyAdAn NKu-_58c
   protsāhayati yācñāyāṃ NKv_55c	protsAhayati yAcQAyAm NKu-_55c
   bahumānārtham ante ca NKv_28c	bahu-mAna-arTam ante ca NKu-_28c
   bālonmattapiśācavat NKv_62d	bAla-unmatta-piSAca-vat NKu-_62d
   bibhartu bhṛtyān dhaniko NKv_69a	biBartu BRtyAn DanikaH NKu-_69a
   bruvāṇāḥ sarvathā grāhyā NKv_18c	bruvANAH sarvaTA grAhyA NKu-_18c
   bhakṣayanty ākhuvad gṛhe NKv_42d	Bakzayanti AKu-vat gRhe NKu-_42d
   bhaginī pativarjitā NKv_48b	BaginI pati-varjitA NKu-_48b
   bhāryā jyeṣṭhā śiśuḥ śyālaḥ NKv_45a	BAryA jyezWA SiSuH SyAlaH NKu-_45a
   bhārye dve putraśālinyau NKv_48a	BArye dve putra-SAlinyO NKu-_48a
   bhārye dve bahavaḥ putrā NKv_49a	BArye dve bahavaH putrAH NKu-_49a
   bhikṣākabalam ekaikaṃ NKv_77c	BikzAka-balam ekEkam NKu-_77c
   bhiṣajāṃ bhāgyahetavas NKv_23d	BizajAm BAgya-hetavaH NKu-_23d
   bhuṅkte lubdhaḥ kathaṃ cana NKv_80d	BuFkte lubDaH kaTam cana NKu-_80d
   bhūṣaṇair vāsanaiḥ pātraiḥ NKv_46a	BUzaNEH vAsanEH pAtrEH NKu-_46a
   bhaiṣajyaṃ cāṭukauśalam NKv_31b	BEzajyam cAwu-kOSalam NKu-_31b
   bhaiṣajyaṃ tu yathākāmaṃ NKv_25a	BEzajyam tu yaTAkAmam NKu-_25a
   bhaiṣajyeṣu ca laṅghanam NKv_75b	BEzajyezu ca laFGanam NKu-_75b
   madhyasthaś ced apaṇḍitas NKv_3b	maDyasTaH ced apaNxitaH NKu-_3b
   madhye kiṃ cid dhanavyayas NKv_30b	maDye kim cit Dana-vyayaH NKu-_30b
   madhye tv auṣadhahetave NKv_28b	maDye tu OzaDa-hetave NKu-_28b
   madhye madhye 'kṣimīlanam NKv_90b	maDye maDye akzi-mIlanam NKu-_90b
   mantrabhraṃśe saṃpradāyaḥ NKv_88a	mantra-BraMSe saMpradAyaH NKu-_88a
   mātulasya balaṃ mātā NKv_43a	mAtulasya balam mAtA NKu-_43a
   mātulā dārabāndhavās NKv_42b	mAtulAH dAra-bAnDavAH NKu-_42b
   māntrikās tu bhaviṣyāmo NKv_10c	mAntrikAH tu BavizyAmaH NKu-_10c
   māntrikair āpyate yaśas NKv_11b	mAntrikEH Apyate yaSaH NKu-_11b
   milanti yadi catvāri NKv_97c	milanti yadi catvAri NKu-_97c
   mūrkhasaṃjīvanāni ṣaṭ NKv_86d	mUrKa-saMjIvanAni zaw NKu-_86d
   mūrkhasya jagatītale NKv_7b	mUrKasya jagatI-tale NKu-_7b
   mūrkhācāryasya bhāgyajās NKv_9d	mUrKa-AcAryasya BAgya-jAH NKu-_9d
   mṛtāḥ prakṣyanti kaṃ punas NKv_16d	mRtAH prakzyanti kam punar NKu-_16d
   mṛtyau mṛtyuñjayadhyānaṃ NKv_53c	mRtyO mRtyuQjaya-DyAnam NKu-_53c
   maunam ekāsikā ceti NKv_86c	mOnam ekAsikA ca-iti NKu-_86c
   mriyamāṇeṣu jantuṣu NKv_27b	mriyamANezu jantuzu NKu-_27b
   yatante 'parathā svatas NKv_70d	yatante aparaTA svatas NKu-_70d
   yatra dharmo 'rthasādhanam NKv_100b	yatra DarmaH arTa-sADanam NKu-_100b
   yatra bhāryāgiro vedā NKv_100a	yatra BAryA-giraH vedAH NKu-_100a
   yatra svapratibhā mānaṃ NKv_100c	yatra sva-pratiBA mAnam NKu-_100c
   yatrāsīd asti vā lakṣmīs NKv_67a	yatra-AsIt asti vA lakzmIH NKu-_67a
   yat sandarbhe yad ullekhe NKv_40a	yat sandarBe yat ulleKe NKu-_40a
   yathā jānanti bahavo NKv_89a	yaTA jAnanti bahavaH NKu-_89a
   yathā vakṣyanti dātari NKv_89b	yaTA vakzyanti dAtari NKu-_89b
   yadi tattvaṃ prabudhyate NKv_57d	yadi tattvam prabuDyate NKu-_57d
   yadi na kvāpi vidyāyāṃ NKv_10a	yadi na kvApi vidyAyAm NKu-_10a
   yad vyaṅgye nibhṛtaṃ manas NKv_40b	yat vyaFgye niBRtam manaH NKu-_40b
   yasya svecchāvaśaṃvadau NKv_93b	yasya sva-icCA-vaSaMvadO NKu-_93b
   yāmamātraṃ surāmadas NKv_64b	yAma-mAtram surAmadaH NKu-_64b
   yāvac cāpalam āvṛtam NKv_83d	yAvat cApalam AvRtam NKu-_83d
   yāvac chyālasya bālatā NKv_44b	yAvat SyAlasya bAla-tA NKu-_44b
   yāvat syād draṣṭṛmelanam NKv_92b	yAvat syAt drazwR-melanam NKu-_92b
   yāvad ajñānato maunam NKv_13a	yAvat ajQAnataH mOnam NKu-_13a
   yāvad udvijate 'dhanas NKv_76b	yAvat udvijate aDanaH NKu-_76b
   yāvad draṣṭā na vidyate NKv_92d	yAvat drazwA na vidyate NKu-_92d
   yāvad yācakasādharmyaṃ NKv_69c	yAvat yAcaka-sADarmyam NKu-_69c
   ye hi paśyanti meruvat NKv_77d	ye hi paSyanti meru-vat NKu-_77d
   yogino yatayo 'pi vā NKv_10d	yoginaH yatayaH api vA NKu-_10d
   yogo dāridryakārakas NKv_32d	yogaH dAridrya-kArakaH NKu-_32d
   yogo 'yaṃ gṛhamedhinām NKv_48d	yogaH ayam gRhameDinAm NKu-_48d
   rakṣakaḥ saṃbhaved iti NKv_80b	rakzakaH saMBavet iti NKu-_80b
   racitaṃ viduṣāṃ prītyai NKv_102c	racitam viduzAm prItyE NKu-_102c
   rājakarṇe japaḥ sadyaḥ NKv_72c	rAjakarNe japaH sadyas NKu-_72c
   rājājñeva daridratā NKv_55d	rAjA-AjQA-iva daridra-tA NKu-_55d
   rājāsthānānumodanam NKv_102d	rAjA-sTAna-anumodanam NKu-_102d
   rogatattveṣu śanakair NKv_27c	roga-tattvezu SanakEs NKu-_27c
   rogasyopakrame sāntvaṃ NKv_30a	rogasya-upakrame sAntvam NKu-_30a
