   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   gṛhasthaṃ vā karoti kāye daṇḍaiḥ praharati cārake vā prakṣipati	gRhasTam vA karoti kAye daNxEH praharati cArake vA prakzipati
   jīvitena vā viyojayatîyaṃ tṛtīyā mūlâpattiḥ ||	jIvitena vA viyojayatîyam tRtIyA mUlâpattiH ||
   yaḥ punaḥ kṣatriyaḥ saṃcintya mātaraṃ jīvitād vyaparopayati	yaH punar kzatriyaH saMcintya mAtaram jIvitAt vyaparopayati
   pitaram arhantaṃ bhagavacchrāvakaṃ vā jīvitād vyaparopayati	pitaram arhantam Bagavat-SrAvakam vA jIvitAt vyaparopayati
   samagraṃ vā saṃghaṃ bhinatti tathāgatasyârhataḥ	samagram vA saMGam Binatti taTAgatasyârhataH
   samyaksaṃbuddhasya saṃcintya duṣṭacitto rudhiram utpādayati ||	samyaksaMbudDasya saMcintya duzwa-cittaH ruDiram utpAdayati ||
   ebhiḥ pañcabhir ānantaryair karmabhir anyatarânyataraṃ karmôtpādayatîyaṃ	eBiH paQcaBiH AnantaryEH karmaBiH anyatarânyataram karmôt-pAda-yatîyam
   caturthī mūlâpattiḥ ||	caturTI mUlâpattiH ||
   yaḥ punaḥ kṣatriyo 'hetuvādī bhavati paralokôpekṣakaḥ |	yaH punar kzatriyaH ahetuvAdI Bavati para-lokôpekzakaH |
   daśâkuśalān karmapathān samādāya vartate 'nyāṃś ca bahūn	daSâ-kuSalAn karma-paTAn samAdAya vartate anyAn ca bahUn
   satvān daśasv akuśaleṣu karmapatheṣu samādāpayati vinayati	satvAn daSasu akuSalezu karma-paTezu samAdApayati vinayati
   niveśayati pratiṣṭhāpayatîyaṃ pañcamī mūlâpattiḥ ||	niveSayati pratizWApayatîyam paQcamI mUlâpattiH ||
   pe ||	pe ||
   yaḥ punar grāmabhedaṃ janapadabhedaṃ nagarabhedaṃ rāṣṭrabhedaṃ karotîyaṃ	yaH punar grAma-Bedam janapada-Bedam nagara-Bedam rAzwra-Bedam karotîyam
   mūlâpattiḥ ||	mUlâpattiH ||
   pe ||	pe ||
   ādikarmiṇāṃ mahāyānasaṃprasthitānāṃ-	Adi-karmiNAm mahAyAna-saMprasTitAnAM-
   [ Cambridge MS f35b ---> ]	[ Cambridge M f35B ---> ]
   kulaputrāṇāṃ kuladuhit-rṇāṃ vâṣṭau mūlâpattayo |	kula-putrANAm kula-duhit-rNAm vâzwO mUlâpattayaH |
   yābhir mūlâpattibhiḥ skhalitâdikarmikā mahāyānasaṃprasthitāḥ sarvāṇi	yABiH mUlâpattiBiH sKalitâ-dikarmikAH mahAyAna-saMprasTitAH sarvANi
   pūrvâvaropitāni kuśalamūlāni	pUrvâvaropitAni kuSala-mUlAni
   jhāṣayanti |	JAzayanti |
   vastupatitāḥ parājitā devamanuṣyamahāyānamukhād apāyagāmino bhavanti ciraṃ	vastu-patitAH parAjitAH deva-manuzya-mahAyAna-muKAt apAya-gAminaH Bavanti ciram
   ca saṃsāre sīdanti	ca saMsAre sIdanti
   kalyāṇamitravirahitāḥ |	kalyANa-mitra-virahitAH |
   katamâṣṭau |	katamâzwO |
   ye satvāḥ pūrvaduścaritahetunâsmin kliṣṭe pañcakaṣāye loke	ye satvAH pUrva-duScarita-hetunâsmin klizwe paQca-kazAye loke
   upapannās tae itvarakuśalamūlāḥ kalyāṇamitraṃ saṃniḥśrityêdaṃ paramaṃ	upapannAH tae itvara-kuSala-mUlAH kalyANa-mitram saMniHSrityêdam paramam
   gambhīraṃ mahāyānaṃ śṛṇvanti |	gamBIram mahAyAnam SRNvanti |
   te ca parīttabuddhayo 'pi kulaputrânuttarāyāṃ samyaksaṃbodhau	te ca parItta-budDayaH api kula-putrâ-nuttarAyAm samyaksaMboDO
   cittam utpādayanti |	cittam utpAdayanti |
   teṣāṃ ādikarmikā ye ca bodhisatvêdaṃ paramagambhīraṃ śūnyatāpratisaṃyuktaṃ	tezAm Adi-karmikA ye ca boDisatvêdam parama-gamBIram SUnyatA-pratisaMyuktam
   sūtrântaṃ śṛṇvanti uddiśanti paṭhanti |	sUtrântam SRNvanti uddiSanti paWanti |
   te yathāśrutaṃ yathāparyavāptaṃ pareṣāṃ pūrvabuddhisadṛśānāṃ svarthaṃ	te yaTASrutam yaTA-paryavAptam parezAm pUrva-budDi-sadRSAnAm svarTam
   suvyañjanaṃ vistareṇâgrataḥ smārayanti prakāśayanti |	su-vyaQjanam vistareNâgrataH smArayanti prakASayanti |
   te hy akṛtaśamā bālāḥ pṛthagjanāḥ śṛṇvantôttrasyanti	te hi akRta-SamAH bAlAH pRTagjanAH SRNvantôttrasyanti
   saṃtrasyanti saṃtrāsam āpadyante |	saMtrasyanti saMtrAsam Apadyante |
   te saṃtrāsena vivarttayanty anuttarāyāḥ	te saMtrAsena vivarttayanti anuttarAyAH
   [ Bendall ed p61 ---> ]	[ Bet-dalt ed p61 ---> ]
   samyaksaṃbodheś cittaṃ śrāvakayāne cittaṃ praṇidadhati |	samyaksaMboDeH cittam SrAvaka-yAne cittam praNidaDati |
   eṣâdikarmikabodhisatvasya mūlâpattiḥ prathamā ||	ezâdi-karmika-boDisatvasya mUlâpattiH praTamA ||
   yayā mūlâpattyā sa kulaputraḥ sarvaṃ pūrvâvaropitaṃ kuśalamūlaṃ jhāṣayati	yayA mUlâpattyA sa kula-putraH sarvam pUrvâvaropitam kuSala-mUlam JAzayati
   vastupatitaḥ parājitaḥ svargâpavargasukhāt |	vastu-patitaH parAjitaH svargâpavarga-suKAt |
   visaṃvāditaṃ câsya bodhicittam apāyagāmi bhavati |	visaMvAditam ca-asya boDi-cittam apAya-gAmi Bavati |
   tasmād bodhisatvena mahāsatvena parapudgalānām āśayânuśayaṃ prathamaṃ	tasmAt boDisatvena mahAsatvena para-pudgalAnAm ASayânuSayam praTamam
   jñātvā yathâśayānāṃ satvānām anupūrveṇa	jQAtvA yaTâSayAnAm satvAnAm anupUrveNa
   dharmadeśanā kartavyā |	Darma-deSanA kartavyA |
   tad yathā mahāsamudre 'nupūrveṇâvatārayati ||	tat yaTA mahA-samudre anupUrveNâvatArayati ||
   pe ||	pe ||
   punar aparam ādikarmiko bodhisatvaḥ kasyacid eva	punar aparam AdikarmikaH boDisatvaH kasyacid eva
   [ Cambridge MS f36a ---> ]	[ Cambridge M f36aH ---> ]
   vakṣyati ||	vakzyati ||
   na tvaṃ śakyasi ṣaṭpāramitāsu caryāṃ cartuṃ |	na tvam Sakyasi zaz-pAramitAsu caryAm cartum |
   na tvaṃ śakyasy anuttarāṃ samyaksaṃbodhim abhisaṃboddhuṃ |	na tvam Sakyasi anuttarAm samyaksaMboDim aBisaMbodDum |
   śīghraṃ tvaṃ śrāvakayāne pratyekabuddhayāne vā cittam	SIGram tvam SrAvaka-yAne pratyekabudDa-yAne vA cittam
   utpādaya |	utpAdaya |
   tena tvaṃ saṃsārān niryāsyasi |	tena tvam saMsArAt niryAsyasi |
   yāvad yathāpūrvôktam iyam ādikarmikasya bodhisatvasya dvit-yā	yAvat yaTApUrvôktam iyam Adikarmikasya boDisatvasya dvit-yA
   mūlâpattiḥ ||	mUlâpattiH ||
   punar aparam ādikarmiko bodhisatvaḥ kasyacid evaṃ vakṣyati |	punar aparam AdikarmikaH boDisatvaH kasyacid evam vakzyati |
   kiṃ bhoḥ prātimokṣavinayena |	kim BoH prAtimokza-vinayena |
   śīlena surakṣitena śīghraṃ tvam anuttarāyāṃ samyaksaṃbodhau	SIlena su-rakzitena SIGram tvam anuttarAyAm samyaksaMboDO
   cittam utpādayasva |	cittam utpAdayasva |
   mahāyānaṃ paṭha |	mahAyAnam paWa |
   yat te kiñcit kāyavāṅmanobhiḥ kleśapratyayād akuśalaṃ karma	yat te kiQcid kAya-vAc-manoBiH kleSa-pratyayAt akuSalam karma
   samudānītaṃ tena pāṭhena śuddhir bhavaty avipākaṃ |	samudAnItam tena pAWena SudDiH Bavati avipAkam |
   yāvad yathāpūrvôktam ayam ādikarmikasya bodhisatvasya tṛtīyā	yAvat yaTApUrvôktam ayam Adikarmikasya boDisatvasya tRtIyA
   mūlâpattiḥ ||	mUlâpattiH ||
   punar aparaṃ kulaputra keṣāñcid ādikarmiko bodhisatvâivaṃ vakṣyati |	punar aparam kula-putra kezAQcid AdikarmikaH boDisatvâivam vakzyati |
   varjayata yūyaṃ kulaputrāḥ śrāvakayānakathāṃ |	varjayata yUyam kula-putrAH SrAvaka-yAna-kaTAm |
   mā śṛṇuta mā paṭhata mā pareṣām upadiśata |	mA SRNuta mA paWata mA parezAm upadiSata |
   gopayata śrāvakayānakathāṃ |	gopayata SrAvaka-yAna-kaTAm |
   na yūyaṃ tasmāt mahat phalaṃ prāpsyatha |	na yUyam tasmAt mahat Palam prApsyaTa |
   na yūyaṃ tato nidānāc chaktāḥ kleśântaṃ kartuṃ |	na yUyam tatas nidAnAt SaktAH kleSântam kartum |
   śraddadhata mahāyānakathāṃ |	SraddaData mahAyAna-kaTAm |
   śṛṇuta mahāyānaṃ paṭhata mahāyānaṃ pareṣāṃ côpadiśata |	SRNuta mahAyAnam paWata mahAyAnam parezAm côpadiSata |
   tato yūyaṃ sarvadurgatyapāyapathān śamayiṣyatha |	tatas yUyam sarva-durgatyapAya-paTAn SamayizyaTa |
   kṣipraṃ cânuttarāṃ samyaksaṃbodhim abhisaṃbhotsyatha ||	kzipram cânuttarAm samyaksaMboDim aBisaMBotsyaTa ||
   yadi te tasya vacanakāriṇo bhavantîdṛśaṃ dṛṣṭigatam	yadi te tasya vacana-kAriNaH Bavantî-dRSam dRzwi-gatam
   upagṛhṇīyuḥ |	upagRhNIyuH |
   ubhayor api mūlâpatir bhavatîyam ādikarmikasya bodhisatvasya	uBayoH api mUlâpatiH Bavatîyam Adikarmikasya boDisatvasya
   caturthī mūlâpattiḥ ||	caturTI mUlâpattiH ||
   punar aparam ādikarmikā bodhisatvā dvijihvikā bhavanti anyathā	punar aparam AdikarmikAH boDisatvAH dvijihvikAH Bavanti anyaTA
   nidarśayanti |	nidarSayanti |
   idaṃ ca mahāyānaṃ kīrtiśabdaślokârthaṃ lŌübhasatkŌürahetoḥ paṭhanti	idam ca mahAyAnam kIrti-Sabda-SlokârTam lŌüBa-sat-kŌüra-hetoH paWanti
   svâdhyŌüyanti dhŌürayanti vŌücayanti	su-âDyŌüyanti DŌürayanti vŌücayanti
   [ Bendall ed p62 ---> ]	[ Bet-dalt ed p62 ---> ]
   deśayanti pareṣāṃ ca śrutamā-	deSayanti parezAm ca Sruta-mA-
   [ Cambridge MS f36b ---> ]	[ Cambridge M f36B ---> ]
   tram upadiśanti |	tram upadiSanti |
   evaṃ ca vakṣyanti |	evam ca vakzyanti |
   vayaṃ mahāyānikā nânye |	vayam mahAyAnikAH nânye |
   te pareṣām īrṣyāyanti lābhasatkārahetor yatas te labhante	te parezAm IrzyAyanti lABa-satkAra-hetoH yatas te laBante
   upabhogaparibhogān parebhyas tatpratyayāt te prakupyanti teṣāṃ câvarṇaṃ	upaBoga-pariBogAn pareByaH tad-pratyayAt te prakupyanti tezAm câvarNam
   niścārayanti kutsanti paṃsayanti vijugupsanti |	niScArayanti kutsanti paMsayanti vijugupsanti |
   ātmānaṃ côtkarṣayanti na tān |	AtmAnam côtkarzayanti na tAn |
   atas te īrṣyahetunā côttarimanuṣyadharmair ātmānaṃ vijñapayanti |	atas te Irzya-hetunA côttari-manuzya-DarmEH AtmAnam vijQapayanti |
   tatas te tena vastunā patitāḥ parājitā mahāyānasukhād etāṃ mahāgurukām	tatas te tena vastunA patitAH parAjitAH mahAyAna-suKAt etAm mahA-gurukAm
   āpattim āpadyante yayâpāyagāmino bhavanti |	Apattim Apadyante yayâ-pAya-gAminaH Bavanti |
   yathā kaścit puruṣo ratnadvīpaṃ gacched gantuṃ nāvā samudram	yaTA kaScid puruzaH ratnadvIpam gacCet gantum nAvA samudram
   avatarate sa mahāsamudre svayam eva tāṃ nāvaṃ bhindyāt tatrâiva	avatarate sa mahA-samudre svayam eva tAm nAvam BindyAt tatrâiva
   maraṇaṃ nigacched |	maraNam nigacCet |
   evam eva ye ādikarmikā bodhisatvā mahāguṇasāgaram	evam eva ye AdikarmikA boDisatvAH mahA-guNa-sAgaram
   avatartukāmêrṣyāhetos tad vadanti |	avatartukAmêrzyA-hetoH tat vadanti |
   tatpratyayāt te śraddhānāvaṃ bhittvā prajñājīvitena viyogaṃ prāpnuvanti |	tad-pratyayAt te SradDAnAvam BittvA prajQA-jIvitena viyogam prApnuvanti |
   evaṃ te bālâdikarmikā bodhisatvêrṣyāhetor anṛtapratyayā mahāgurukām	evam te bAlâdi-karmikA boDisatvêrzyA-hetoH anRta-pratyayAH mahA-gurukAm
   āpattim āpadyante |	Apattim Apadyante |
   iyaṃ pañcamī mūlâpattir ādikarmikasya bodhisatvasya ||	iyam paQcamI mUlâpattiH Adikarmikasya boDisatvasya ||
   punar aparaṃ kulaputra bhaviṣyanty anāgate 'dhvani	punar aparam kula-putra Bavizyanti anAgate aDvani
   gṛhasthapravrajitâdikarmikā bodhisatvā ye te gambhīrāḥ	gRhasTa-pravrajitâ-dikarmikAH boDisatvAH ye te gamBIrAH
   śūnyatāpratisaṃyuktāḥ	SUnyatA-pratisaMyuktAH
   sūtrântâdhāraṇīkṣāntisamādhibhūmisvalaṃkṛtamahāvidvatpuruṣāṇāṃ	sUtrântâ-DAraNI-kzAnti-samADi-BUmisu-alaMkRta-mahA-vidvat-puruzANAm
   kṛtaśramāṇāṃ bodhisatvānāṃ gocarās tān mahāyānasūtrântān dhārayanti	kRta-SramANAm boDisatvAnAm gocarAH tAn mahAyAna-sUtrântAn DArayanti
   paṭhanti svâdhyāyanti pareṣāṃ ca vistareṇa vācayitvā	paWanti svâDyAyanti parezAm ca vistareNa vAcayitvA
   prakāśayanti |	prakASayanti |
   ahaṃ cêmān dharmān svabuddhyā buddhvâivaṃ ca punar ahaṃ kāruṇyahetos	aham cêmAn DarmAn sva-budDyA budDvâivam ca punar aham kAruNya-hetoH-
   tavôpadiśāmi |	tavôpadiSAmi |
   tvayā vā punas tathā bhāvayitavyaṃ yathā tvam atra gambhīreṣu	tvayA vA punar taTA BAvayitavyam yaTA tvam atra gamBIrezu
   dharmeṣu	Darmezu
   [ Cambridge MS f37a ---> ]	[ Cambridge M f37aH ---> ]
   pratyakṣo bhaviṣyasi |	pratyakzaH Bavizyasi |
   evaṃ te jñānadarśanaṃ bhaviṣyati yathā mama |	evam te jQAna-darSanam Bavizyati yaTA mama |
   etarhi na punar eva dadāti paṭhitamātreṇâham imān evaṃrūpān	etarhi na punar eva dadAti paWita-mAtreNâham imAn evaMrUpAn
   dharmān gambhīragambhīrān upadiśāmi na sākṣātkriyayā ||	DarmAn gamBIra-gamBIrAn upadiSAmi na sAkzAt-kriyayA ||
   la-bhasatkārahetor ātmānaṃ vikrīṇāti |	la-Ba-satkAra-hetoH AtmAnam vikrINAti |
   tatpratyayāt sarvatryadhvagatānām arhatāṃ samyaksaṃbuddhānāṃ bodhisatvānām	tad-pratyayAt sarvatri-aDva-gatAnAm arhatAm samyaksaMbudDAnAm boDisatvAnAm
   āryapudgalānāṃ ca purataḥ sâparādhiko bhavati |	Arya-pudgalAnAm ca puratas sâpara-aDikaH Bavati |
   mahāgurukam āpattim āpadyate |	mahA-gurukam Apattim Apadyate |
   visaṃvādayati devamanuṣyān mahāyānena |	visaMvAdayati deva-manuzyAt mahAyAnena |
   śrāvakayānam evâsya na bhava-	SrAvaka-yAnam evâsya na Bava-
   [ Bendall ed p63 ---> ]	[ Bet-dalt ed p63 ---> ]
   ti |	ti |
   prāg eva mahāyānasyâvatāraviśeṣâdhigamaḥ |	prAk eva mahAyAnasi-âvatAra-viSezâDigamaH |
   prāg evânuttarā samyaksaṃbodhiḥ ||	prAk evânuttarA samyaksaMboDiH ||
   tad yathā kaścit puruṣo mahâṭavīṃ prasthitaḥ	tat yaTA kaScid puruzaH mahâwavIm prasTitaH
   kṣuttarṣaprapīḍitaḥ sa tatra mahāphalavṛkṣe pratiṣṭhitaḥ |	kzuD-tarza-prapIxitaH sa tatra mahA-Pala-vRkze pratizWitaH |
   āhārârthaṃ sôdāraphalavṛkṣam apahāya gandhasaṃpannaṃ rasasaṃpannam	AhArârTam sôdAra-Pala-vRkzam apahAya ganDa-saMpannam rasa-saMpannam
   anāsvādya viṣavṛkṣam abhiruhya viṣaphalāni	anAsvAdya viza-vRkzam aBiruhya viza-PalAni
   bhuñjīta bhuktvā ca kālaṃ kuryāt |	BuQjIta BuktvA ca kAlam kuryAt |
   tadupamāṃs tān pudgalān vadāmi |	tad-upamAn tAn pudgalAn vadAmi |
   ye durlabhaṃ manuṣyalābhaṃ labdhvā kalyāṇamitraṃ sanniśritya	ye durlaBam manuzya-lABam labDvA kalyANa-mitram sat-niSritya
   mahāyānam avatartukāmā lābhasatkārayaśohetor ātmānam	mahAyAnam avatartu-kAmA lABa-satkAra-yaSaH-hetoH AtmAnam
   upadarśayanti parān paṃsayanti evaṃrūpāṃ mahāgurukām āpattim	upadarSayanti parAn paMsayanti evaMrUpAm mahA-gurukAm Apattim
   āpadyante yayā gurukayâpattyā sarvavijñānāṃ paramajugupsitā bhavanti |	Apadyante yayA gurukayâpattyA sarva-vijQAnAm parama-jugupsitAH Bavanti |
   apāyagāminas tathārūpāś ca pudgalā na sevanīyāḥ	apAya-gAminaH taTArUpAH ca pudgalAH na sevanIyAH
   sarvakṣatriyabrāhmaṇaviṭśūdrāṇāṃ |	sarva-kzatriya-brAhmaNa-viS-SUdrANAm |
   yaś ca tān sevate sa sâtisāro bhavati sarvavijñānāṃ |	yaH ca tAn sevate sa sâtisAraH Bavati sarva-vijQAnAm |
   iyaṃ kulaputra bodhisatvasya ṣaṣṭhī mūlâpattiḥ ||	iyam kula-putra boDisatvasya zazWI mUlâpattiH ||
   punar aparaṃ kulaputra bhaviṣyanty anāgate 'dhvani	punar aparam kula-putra Bavizyanti anAgate aDvani
   kṣatriyāṇāṃ purohitacaṇḍālâmātyacaṇḍālā bhaṭacaṇḍālā mūrkhāḥ paṇḍitamānino	kzatriyANAm purohita-caNxAlâ-mAtya-caNxAlAH Bawa-caNxAlAH mUrKAH paNxita-mAninaH-
   mahādhanā mahābhogāḥ |	mahADanAH mahA-BogAH |
   bahuvidheṣu dānamayapuṇyakriyāvastu-	bahuviDezu dAna-maya-puNya-kriyA-vastu-
   [ Cambridge MS f37b ---> ]	[ Cambridge M f37B ---> ]
   ṣu saṃdṛśyante te	zu saMdRSyante te
   tyāgamadamattā mānamadadarpeṇa kṣatriyaṃ vibhedayanti |	tyAga-mada-mattAH mAna-mada-darpeNa kzatriyam viBedayanti |
   śramaṇān kṣatriyaiḥ |	SramaNAn kzatriyEH |
   te kṣatriyān niśritya śramaṇān daṇḍāpayanti |	te kzatriyAn niSritya SramaNAn daNxApayanti |
   arthaṃ daṇḍena muṣanti |	arTam daNxena muzanti |
   tenôpadraveṇa te bhikṣavaḥ paudgalikaṃ vā sāṃghikaṃ vā	tenôpadraveNa te BikzavaH pOdgalikam vA sAMGikam vA
   cāturdiśasāṃghikaṃ vā staupikaṃ vā śramaṇair apahṛtya	cAturdiSa-sAMGikam vA stOpikam vA SramaNEH apahRtya
   teṣāṃ prāhṛtaṃ pradāpyante |	tezAm prAhRtam pradApyante |
   te punaś caṇḍālāḥ kṣatriyasyôpanāmayiṣyanti |	te punar caNxAlAH kzatriyasi-ôpanAmayizyanti |
   te ubhayato 'pi mūlâpattim āpadyante |	te uBayatas api mUlâpattim Apadyante |
   ye kṣatriyacaṇḍālāḥ śramaṇaiḥ sārddhaṃ praduṣyanti	ye kzatriya-caNxAlAH SramaNEH sArdDam praduzyanti
   tathārūpaṃ ca te dharmaṃ prajñapayiṣyanti |	taTArUpam ca te Darmam prajQapayizyanti |
   adharmaṃ vā dharmam apahāya |	aDarmam vA Darmam apahAya |
   sūtravinayaśikṣânapekṣya kālôpadeśamahāpradeśān apahāya |	sUtra-vinaya-Sikzân-apekzya kAlôpadeSa-mahA-pradeSAn apahAya |
   mahākaruṇānetrīprajñāpāramitaśikṣôpāyakauśalyaśikṣāḥ	mahA-karuNA-netrI-prajQApAramita-Sikzô-pAya-kOSalya-SikzAH
   yāś câpareṣu sūtreṣu śikṣôpadiṣṭās tâpahāya |	yAH câ-parezu sUtrezu SikzôpadizwAH tâpahAya |
   tathārūpāṃ dharmayuktiṃ bhikṣūṇāṃ viheṭhana-	taTArUpAm Darma-yuktim BikzUNAm viheWana-
   [ Bendall ed p64 ---> ]	[ Bet-dalt ed p64 ---> ]
   arthapūrvakaṃ kriyâkāraṃ prajñapayanti |	arTa-pUrvakam kriyâkAram prajQapayanti |
   yaiḥ kriyâkārair bhikṣūṇāṃ viheṭhanā bhavati |	yEH kriyâkArEH BikzUNAm viheWanA Bavati |
   rañcati śamathavipaśyanânuyogamanaskāraṃ |	raQcati SamaTa-vipaSyanânuyoga-manaskAram |
   te 'vadhyāyanto vyāpādabahulā bhavanti |	te avaDyAyantaH vyApAda-bahulAH Bavanti |
   tena ca hetunā bhikṣūṇām apy upaśāntāḥ kleśā nôpaśamyanti	tena ca hetunA BikzUNAm api upaSAntAH kleSAH nôpaSamyanti
   na tanūbhavanti |	na tanUBavanti |
   tatkāle punas te bhikṣavâśayavipannā bhavanti śīlavipannāś ca bhavanti |	tad-kAle punar te BikzavâSaya-vipannAH Bavanti SIla-vipannAH ca Bavanti |
   ācāravipannā bhavanti dṛṣṭivipannā bhavanti taddhetoḥ	AcAra-vipannAH Bavanti dRzwi-vipannAH Bavanti tad-hetoH
   śaithilikā bhavanti |	SETilikAH Bavanti |
   bāhulikā bhavanti |	bAhulikAH Bavanti |
   aśramaṇāḥ śramaṇapratijñāḥ |	aSramaNAH SramaNa-pratijQAH |
   abrahmacāriṇo brahmacāripratijñāḥ śaṅkhasvarasamācārāḥ	abrahmacAriNaH brahmacAri-pratijQAH SaFKa-svara-sam-AcArAH
   praṣṭavyadharmadeśakāḥ |	prazwavya-Darma-deSakAH |
   te bhūyasyā mātrayā saparicārasya kṣatriyasya satkṛtā bhavanti	te BUyasyAH mAtrayA sa-paricArasya kzatriyasya satkRtAH Bavanti
   mānitāḥ pūjitā bhavanti |	mAnitAH pUjitAH Bavanti |
   te ca prahāṇâbhiyuktānāṃ bhikṣūṇāṃ gṛhastheṣv avarṇaṃ niścārayanti |	te ca prahANâBiyuktAnAm BikzUNAm gRhasTezu avarNam niScArayanti |
   sa ca kṣatriyaḥ saparivāraḥ prahāṇâbhiyuktānāṃ bhikṣūṇām	sa ca kzatriyaH sa-parivAraH prahANâBiyuktAnAm BikzUNAm
   [ Cambridge MS f38a ---> ]	[ Cambridge M f38aH ---> ]
   antike praduṣyati avadhyāyati |	antike praduzyati avaDyAyati |
   yas tatra prahāṇikānāṃ bhikṣūṇām upabhogaparibhogas taṃ	yaH tatra prahANikAnAm BikzUNAm upaBoga-pariBogaH tam
   svâdhyāyâbhiratānāṃ bhikṣūṇāṃ niryātayanti |	svâDyAyâBi-ratAnAm BikzUNAm niryAtayanti |
   te ubhayato mūlâpattim āpadyante |	te uBayatas mUlâpattim Apadyante |
   tat kasya hetoḥ ||	tat kasya hetoH ||
   dhyāyī bhikṣuḥ sukṣetraṃ |	DyAyI BikzuH sukzetram |
   nâdhyayanavaiyāvṛtyâśritā nâdhyayanâbhiyuktāḥ ||	nâDyayana-vEyAvRtyâSritAH nâDyayanâBiyuktAH ||
   sam-dhidhāraṇīkṣāntibhūmiṣu bhājanībhūtā dakṣiṇīyāḥ	sam-Di-DAraNI-kzAnti-BUmizu BAjanIBUtAH dakziNIyAH
   pātrabhūtāḥ |	pAtra-BUtAH |
   ālokakarâlokasya mārgôpadeśakāḥ |	Aloka-karâ-lokasya mArgôpadeSakAH |
   karmakṣetrakleśakṣetrān satvān uttārayanti |	karma-kzetra-kleSa-kzetrAn satvAn uttArayanti |
   nirvāṇagamane ca mārge pratiṣṭhāpayanti |	nirvANa-gamane ca mArge pratizWApayanti |
   imāḥ kulaputrâṣṭau mūlâpattayêti ||	imAH kula-putrâzwO mUlâpattayêti ||
   āsāṃ niḥsaraṇam ihâiva sūtre 'bhihitaṃ |	AsAm niHsaraNam ihâiva sUtre aBihitam |
   yadi te bodhisatvâkāśagarbhasya bodhisatvasya nāma śrutvā	yadi te boDisatvâkASa-garBasya boDisatvasya nAma SrutvA
   darśanam asyâkāṅkṣeran |	darSanam asi-âkAFkzeran |
   apāyaprapatanabhayāt mūlâpattīr daśayitukāmā |	apAya-prapatana-BayAt mUlâpattIH daSayitu-kAmAH |
   yadi te ākāśagarbhaṃ bodhisatvaṃ namaskuryuḥ nāma câsya	yadi te AkASa-garBam boDisatvam namaskuryuH nAma câsya
   parikīrttayeyus teṣāṃ sa kulaputro yathā bhāgyatayā svarūpeṇâgratas	parikIrttayeyuH tezAm sa kula-putraH yaTA BAgya-tayA svarUpeNâgratas
