   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   bhaṇḍanakārakāṇāṃ vigṛhītānāṃ vivādam āpannānām ādhikaraṇikānāṃ tarjanīyaṃ	BaNxana-kArakANAm vigRhItAnAm vivAdam ApannAnAm ADikaraNikAnAm tarjanIyam
   karma iti / yo vā punar anyo 'py evaṃjātīyaḥ /	karma iti / yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 1.2a paṃcabhiḥ kāraṇāis tarjanīyaṃ karma kṛtam adharmakarma ca	PANx-u § 1.2a paMcaBiH kAraNAiH tarjanIyam karma kRtam aDarma-karma ca
   tad avinayakarma ca saṃghaś ca tena sātisāraḥ / katamaiḥ paṃcabhiḥ /	tat avinaya-karma ca saMGaH ca tena sa-atisAraH / katamEH paMcaBiH /
   acodayitvā kurvanty asmārayitvā avastukam apratijñayā asaṃmukhībhūtasya	acodayitvA kurvanti asmArayitvA avastukam apratijQayA asaMmuKIBUtasya
   kurvanti /	kurvanti /
   Pāṇḍ-v § 1.2b paṃcabhis tu kāraṇais tarjanīyaṃ karma kṛtaṃ dharmakarma ca	PANx-u § 1.2b paMcaBiH tu kAraNEH tarjanIyam karma kRtam Darma-karma ca
   tad vinayakarma ca saṃghaś ca tena na sātisāraḥ / katamaiḥ paṃcabhiḥ /	tat vinaya-karma ca saMGaH ca tena na sa-atisAraH / katamEH paMcaBiH /
   codayitvā kurvanti smārayitvā savastukaṃ pratijñayā saṃmukhībhūtasya	codayitvA kurvanti smArayitvA sa-vastukam pratijQayA saMmuKIBUtasya
   kurvanti /	kurvanti /
   Pāṇḍ-v § 1.3 evaṃ ca punaḥ kartavyaṃ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u § 1.3 evam ca punar kartavyam / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam* /	saMnipatite ekena BikzuNA jQaptim kRtvA karma kartavyam* /
   Pāṇḍ-v § 1.4 śṛṇotu bhadantāḥ saṃghaḥ / ime pāṇḍulohitakā bhikṣavaḥ	PANx-u § 1.4 SRNotu BadantAH saMGaH / ime pANxu-lohitakAH BikzavaH
   kalahakārakā bhaṇḍanakārakā vigrahakārakā vivādakārakā ādhikaraṇikāḥ / ta	kalaha-kArakAH BaNxana-kArakAH vigraha-kArakAH vivAda-kArakAH ADikaraNikAH / ta
   ete abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayanti yena saṃghaḥ kalahajāto	ete aBIkzNam saMGe aDikaraNAni utpAdayanti yena saMGaH kalaha-jAtaH-
   viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ / sacet saṃghasya	viharati BaNxana-jAtaH vigRhItaH vivAdam ApannaH / saced saMGasya
   prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ	prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH pANxu-lohitakAnAm BikzUNAm
   kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ vigrahakārakāṇāṃ vivādakārakāṇām	kalaha-kArakANAm BaNxana-kArakANAm vigraha-kArakANAm vivAda-kArakANAm
   ādhikaraṇikānāṃ tarjanīyaṃ karma kuryād ity eṣā jñaptiḥ //	ADikaraNikAnAm tarjanIyam karma kuryAt iti ezA jQaptiH //
   Pāṇḍ-v § 1.5 tataḥ karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ime	PANx-u § 1.5 tatas karma kartavyam / SRNotu BadantAH saMGaH / ime
   pāṇḍulohitakā bhikṣavaḥ kalahakārakā bhaṇḍanakārakā vigrahakārakā	pANxu-lohitakAH BikzavaH kalaha-kArakA BaNxana-kArakA vigraha-kArakA
   vivādakārakā ādhikaraṇikāḥ / ta ete abhīkṣṇaṃ saṃghe adhikaraṇāny	vivAda-kArakAH ADikaraNikAH / te ete aBIkzNam saMGe aDikaraNAni-
   utpādayanti yena saṃghaḥ kalahajāto viharati bhaṇḍanajāto viharati	utpAdayanti yena saMGaH kalaha-jAtaH viharati BaNxana-jAtaH viharati
   vigṛhīto vivādam āpannaḥ / tat saṃghaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ	vigRhItaH vivAdam ApannaH / tat saMGaH pANxu-lohitakAnAm BikzUNAm
   kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ vigrahakārakāṇāṃ vivādakārakāṇām	kalaha-kArakANAm BaNxana-kArakANAm vigraha-kArakANAm vivAda-kArakANAm
   ādhikaraṇikānāṃ tarjanīyakarma karoti / yeṣām (289r1 = GBM 890) āyuṣmatāṃ	ADikaraNikAnAm tarjanIya-karma karoti / yezAm (289r1  GBm 890) AyuzmatAm
   kṣamate pāṇḍulohitakānāṃ bhikṣūṇāṃ pūrvavad yāvat tarjanīyaṃ karma kartuṃ	kzamate pANxu-lohitakAnAm BikzUNAm pUrvavat yAvat tarjanIyam karma kartum
   te tūṣṇīṃ na kṣamate bhāṣantām / iyaṃ prathamā karmavācanā / evaṃ dvitīyā	te tUzNIm na kzamate BAzantAm / iyam praTamA karma-vAcanA / evam dvitIyA
   tṛtīyā karmavācanā kartavyā // kṛtaṃ saṃghena pāṇḍulohitakānāṃ bhikṣūṇāṃ	tRtIyA karma-vAcanA kartavyA // kRtam saMGena pANxu-lohitakAnAm BikzUNAm
   pūrvavad yāvat tarjanīyaṃ karma / kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīm	pUrvavat yAvat tarjanIyam karma / kzAntam anujQAtam saMGena yasmAt tUzNIm
   evam etad dhārayāmi /	evam etat DArayAmi /
   Pāṇḍ-v § 1.6 tarjanīyakarmakṛtasyāhaṃ bhikṣor āsamudācārikān dharmān	PANx-u § 1.6 tarjanIya-karma-kRtasya-aham BikzoH AsamudAcArikAn DarmAn
   prajñapayāmi Ś tarjanīyakarmakṛtena bhikṣuṇā na pravrājayitavyaṃ /	prajQapayAmi Ś tarjanIya-karma-kRtena BikzuNA na pravrAjayitavyam /
   nopasaṃpādayitavyaṃ Ś na niśrayo deyaḥ / na śramaṇoddeśa upasthāpayitavyaḥ	na-upasaMpAdayitavyam Ś na niSrayaH deyaH / na SramaNa-uddeSaH upasTApayitavyaH
   / na bhikṣuṇy avavādayitavyā / na bhikṣuṇyavavādakaḥ saṃmantavyo / nāpi	/ na BikzuNI avavAdayitavyA / na BikzuNyavavAdakaH saMmantavyaH / na-api
   pūrvasaṃmatena bhikṣuṇy avavādayitavyā / na bhikṣuś codayitavyaḥ	pUrva-saMmatena BikzuNI avavAdayitavyA / na BikzuH codayitavyaH
   smārayitavyaḥ śīlavipattyā dṛṣṭivipattyā ācāravipattyā ājīvavipattyā	smArayitavyaH SIla-vipattyA dRzwi-vipattyA AcAra-vipattyA AjIva-vipattyA
   sthāpayitavyo / na poṣadho na pravāraṇā na jñaptikarma na jñapticaturthaṃ	sTApayitavyaH / na pozaDaH na pravAraNA na jQapti-karma na jQapti-caturTam
   karma / tarjanīyakarmakṛto bhikṣur yathā prajñaptān āsamudācārikān dharmān	karma / tarjanIya-karma-kRtaH BikzuH yaTA prajQaptAn AsamudAcArikAn DarmAn
   na samādāya vartate sātisāro bhavati /	na samAdAya vartate sa-atisAraH Bavati /
   Pāṇḍ-v § 1.7 ta evaṃ tarjanīyakarmakṛtā utkacaprakacāḥ saṃghe roma	PANx-u § 1.7 te evam tarjanIya-karma-kRtAH utkaca-prakacAH saMGe roma
   pātayanti niḥsaraṇaṃ pravartayanti sāmīcīm upadarśayanty antaḥsīmāyāṃ	pAtayanti niHsaraNam pravartayanti sAmIcIm upadarSayanti antar-sImAyAm
   sthitvā osāraṇāṃ yācante kalahakārakatvāc ca prativiramāma iti kathayanti	sTitvA osAraNAm yAcante kalaha-kAraka-tvAt ca prativiramAmaH iti kaTayanti
   / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti Ś bhagavān āha / osārayata	/ etat prakaraNam BikzavaH BagavataH Arocayanti Ś BagavAn Aha / osArayata
   yūyaṃ bhikṣavaḥ pāṇḍulohitakān bhikṣūn kalahakārakāṃs tarjanīyakarmakṛtān	yUyam BikzavaH pANxu-lohitakAn BikzUn kalaha-kArakAn tarjanIya-karma-kRtAn
   iti Ś yo vā punar anyo 'py evaṃjātīyaḥ /	iti Ś yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 1.8a paṃcabhir dharmaiḥ samanvāgatas tarjanīyakarmakṛto	PANx-u § 1.8a paMcaBiH DarmEH samanvAgataH tarjanIya-karma-kRtaH-
   nosārayitavyaḥ / katamaiḥ paṃcabhiḥ / notkacaprakacaḥ saṃghe roma pātayati	na-usArayitavyaH / katamEH paMcaBiH / na-utkaca-prakacaH saMGe roma pAtayati
   Ś na niḥsaraṇaṃ pravartayati na sāmīcīm upadarśayati nāntaḥsīmāyāṃ sthitvā	Ś na niHsaraNam pravartayati na sAmIcIm upadarSayati na-antar-sImAyAm sTitvA
   osāraṇāṃ yācate Ś tasmāc ca kalahakārakatvāc ca na prativiramāmīti vadaty	osAraNAm yAcate Ś tasmAt ca kalaha-kAraka-tvAt ca na prativiramAmi-iti vadati-
   / ebhiḥ paṃcabhir dharmaiḥ samanvāgataḥ pūrvavat* /	/ eBiH paMcaBiH DarmEH samanvAgataH pUrvavat* /
   Pāṇḍ-v § 1.8b aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.8B aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛto nosārayitavyaḥ / katamaiḥ paṃcabhiḥ /	tarjanIya-karma-kRtaH na-usArayitavyaH / katamEH paMcaBiH /
   rājakulapratisaraṇo bhavati yuktakulapratisaraṇas tīrthikapratisaraṇaḥ	rAja-kula-pratisaraNaH Bavati yukta-kula-pratisaraNaH tIrTika-pratisaraNaH
   pudgalapratisaraṇo na saṃghapratisaraṇaḥ / ebhiḥ paṃcabhir dharmaiḥ	pudgala-pratisaraNaH na saMGa-pratisaraNaH / eBiH paMcaBiH DarmEH
   samanvāgataḥ pūrvavat* /	samanvAgataH pUrvavat* /
   Pāṇḍ-v § 1.8c aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.8c aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛto nosārayitavyaḥ / katamaiḥ paṃcabhiḥ / āgārikadhvajaṃ	tarjanIya-karma-kRtaH na-usArayitavyaH / katamEH paMcaBiH / AgArika-Dvajam
   dhārayati tīrthikadhvajaṃ dhārayati tīrthyān sevate bhajate paryupāste	DArayati tIrTika-Dvajam DArayati tIrTyAn sevate Bajate paryupAste
   anadhyācāram ācarati bhikṣuśikṣāyāṃ na śikṣate / ebhiḥ paṃcabhir dharmaiḥ	anaDyAcAram Acarati Bikzu-SikzAyAm na Sikzate / eBiH paMcaBiH DarmEH
   samanvāgataḥ pūrvavat* /	samanvAgataH pUrvavat* /
   Pāṇḍ-v § 1.8d aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.8d aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛto nosārayitavyaḥ / katamaiḥ paṃcabhiḥ / bhikṣūn ākrośati	tarjanIya-karma-kRtaH na-usArayitavyaH / katamEH paMcaBiH / BikzUn AkroSati
   roṣayati paribhāṣate Ś saṃghasya ca alābhāya avasādāya cetayati / ebhiḥ	rozayati pariBAzate Ś saMGasya ca alABAya avasAdAya cetayati / eBiH
   paṃcabhir dharmaiḥ pūrvavat* /	paMcaBiH DarmEH pUrvavat* /
   Pāṇḍ-v § 1.9a paṃcabhis tu dharmaiḥ samanvāgatas tarjanīyakarmakṛta	PANx-u § 1.9a paMcaBiH tu DarmEH samanvAgataH tarjanIya-karma-kRta
   osārayitavyaḥ / katamaiḥ paṃcabhir dharmaiḥ / utkacaprakacaḥ saṃghe roma	osArayitavyaH / katamEH paMcaBiH DarmEH / utkaca-prakacaH saMGe roma
   pātayati niḥsaraṇaṃ pravartayati sāmīcīm upadarśayaty antaḥsīmāyāṃ sthitvā	pAtayati niHsaraNam pravartayati sAmIcIm upadarSayati antar-sImAyAm sTitvA
   osāraṇāṃ yācate / kalahakārakatvāc ca prativiramāmīti Ś vadati Ś ebhiḥ	osAraNAm yAcate / kalaha-kAraka-tvAt ca prativiramAmi-iti Ś vadati Ś eBiH
   paṃcabhir dharmaiḥ samanvāgatas (289v1 = GBM 891) tarjanīyakarmakṛta	paMcaBiH DarmEH samanvAgataH (289v1  GBm 891) tarjanIya-karma-kRta
   osārayitavyaḥ /	osArayitavyaH /
   Pāṇḍ-v § 1.9b aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.9B aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛta osārayitavyaḥ / katamaiḥ paṃcabhiḥ / na	tarjanIya-karma-kRtaH osArayitavyaH / katamEH paMcaBiH / na
   rājakulapratisaraṇo bhavati na yuktakulapratisaraṇo na	rAja-kula-pratisaraNaH Bavati na yukta-kula-pratisaraNaH na
   tīrthikapratisaraṇaḥ saṃghapratisaraṇo na pudgalapratisaraṇaḥ / ebhiḥ	tIrTika-pratisaraNaH saMGa-pratisaraNaH na pudgala-pratisaraNaH / eBiH
   paṃcabhir dharmaiḥ samanvāgataḥ pūrvavat* //	paMcaBiH DarmEH samanvAgataH pUrvavat* //
   Pāṇḍ-v § 1.9c aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.9c aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛta osārayitavyaḥ / katamaiḥ paṃcabhiḥ / nāgārikadhvajaṃ	tarjanIya-karma-kRtaH osArayitavyaH / katamEH paMcaBiH / nAgArika-Dvajam
   dhārayati na tīrthikadhvajaṃ dhārayati na tīrthyāṃ sevate na bhajate na	DArayati na tIrTika-Dvajam DArayati na tIrTyAm sevate na Bajate na
   paryupāste adhyācāram ācarati bhikṣuśikṣāyāṃ śikṣate Ś ebhiḥ paṃcabhir	paryupAste aDyAcAram Acarati Bikzu-SikzAyAm Sikzate Ś eBiH paMcaBiH-
   dharmaiḥ pūrvavat* /	DarmEH pUrvavat* /
   Pāṇḍ-v § 1.9d aparair api paṃcabhir dharmaiḥ samanvāgatas	PANx-u § 1.9d aparEH api paMcaBiH DarmEH samanvAgata-s
   tarjanīyakarmakṛta osārayitavyaḥ / katamaiḥ paṃcabhiḥ / na bhikṣūn	tarjanIya-karma-kRtaH osArayitavyaH / katamEH paMcaBiH / na BikzUn
   ākrośati na roṣayati na paribhāṣate saṃghasya lābhāya anavasādāya cetayate	AkroSati na rozayati na pariBAzate saMGasya lABAya anavasAdAya cetayate
   / ebhiḥ paṃcabhir dharmaiḥ pūrvavat* /	/ eBiH paMcaBiH DarmEH pUrvavat* /
   Pāṇḍ-v § 1.10 evaṃ ca punar osārayitavyaḥ / śayanāsanaprajñaptiṃ kṛtvā	PANx-u § 1.10 evam ca punar osArayitavyaH / Sayana-Asana-prajQaptim kRtvA
   gaṇḍīm ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	gaNxIm Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite pāṇḍulohitakair bhikṣubhir yathāvṛddhikayā sāmīcīṃ kṛtvā	saMnipatite pANxu-lohitakEH BikzuBiH yaTAvRdDikayA sAmIcIm kRtvA
   vṛddhānte utkuṭukena sthitvā añjaliṃ pragṛhya idaṃ syād vacanīyaṃ /	vRdDAnte utkuwukena sTitvA aQjalim pragRhya idam syAt vacanIyam /
   Pāṇḍ-v § 1.11 śṛṇotu bhadantāḥ saṃghaḥ / vayaṃ pāṇḍulohitakā bhikṣavaḥ	PANx-u § 1.11 SRNotu BadantAH saMGaH / vayam pANxu-lohitakAH BikzavaH
   kalahakārakā bhaṇḍanakārakā vigrahakārakā vivādakārakā ādhikaraṇikāḥ / te	kalaha-kArakAH BaNxana-kArakAH vigraha-kArakAH vivAda-kArakAH ADikaraNikAH / te
   vayam abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayāmo yena saṃghaḥ kalahajāto	vayam aBIkzNam saMGe aDikaraNAni utpAdayAmaH yena saMGaH kalaha-jAtaH-
   viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ / teṣām asmākaṃ	viharati BaNxana-jAtaH vigRhItaH vivAdam ApannaH / tezAm asmAkam
   pāṇḍulohitakānāṃ bhikṣūṇāṃ kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ	pANxu-lohitakAnAm BikzUNAm kalaha-kArakANAm BaNxana-kArakANAm
   vigrahakārakāṇāṃ vivādakārakāṇām ādhikaraṇikānāṃ saṃghena tarjanīyaṃ karma	vigraha-kArakANAm vivAda-kArakANAm ADikaraNikAnAm saMGena tarjanIyam karma
   kṛtaṃ / te vayaṃ tarjanīyakarmakṛtā utkacaprakacāḥ saṃghe roma pātayāmo	kRtam / te vayam tarjanIya-karma-kRtAH utkaca-prakacAH saMGe roma pAtayAmaH-
   niḥsaraṇaṃ pravartayāmaḥ sāmīcīm upadarśayāmaḥ antaḥsīmāyāṃ sthitvā	niHsaraNam pravartayAmaH sAmIcIm upadarSayAmaH antar-sImAyAm sTitvA
   osāraṇāṃ yācāmahe Ś kalahakārakatvāc ca prativiramāmaḥ osārayatv asmākaṃ	osAraNAm yAcAmahe Ś kalaha-kAraka-tvAt ca prativiramAmaH osArayatu asmAkam
   bhadantāḥ saṃghaḥ pāṇḍulohitakān bhikṣūn kalahakārakān vivādakārakān	BadantAH saMGaH pANxu-lohitakAn BikzUn kalaha-kArakAn vivAda-kArakAn
   ādhikaraṇikāṃs tarjanīyakarmakṛtān anukaṃpakaḥ anukaṃpām upādāya / evaṃ	ADikaraNikAn tarjanIya-karma-kRtAn anukaMpakaH anukaMpAm upAdAya / evam
   dvir api trir api /	dvis api tris api /
   Pāṇḍ-v § 1.12 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	PANx-u § 1.12 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam /
   śṛṇotu bhadantāḥ saṃghaḥ / ime pāṇḍulohitakā bhikṣavaḥ kalahakārakā yāvad	SRNotu BadantAH saMGaH / ime pANxu-lohitakAH BikzavaH kalaha-kArakAH yAvat-
   ādhikaraṇikāḥ / ta ete abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayanti Ś yena	ADikaraNikAH / te ete aBIkzNam saMGe aDikaraNAni utpAdayanti Ś yena
   saṃghaḥ kalahajāto viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ / tad	saMGaH kalaha-jAtaH viharati BaNxana-jAtaH vigRhItaH vivAdam ApannaH / tat-
   eṣāṃ saṃghena kalahakāraka iti tarjanīyakarma kṛtaṃ / ta ete	ezAm saMGena kalaha-kArakaH iti tarjanIya-karma kRtam / te ete
   tarjanīyakarmakṛtā utkacaprakacāḥ saṃghe roma pātayanti Ś niḥsaraṇaṃ	tarjanIya-karma-kRtAH utkaca-prakacAH saMGe roma pAtayanti Ś niHsaraNam
   pravartayanti sāmīcīm upadarśayanty antaḥsīmāyāṃ sthitvā osāraṇāṃ yācante	pravartayanti sAmIcIm upadarSayanti antar-sImAyAm sTitvA osAraNAm yAcante
   / kalahakārakatvāc ca prativiramāma iti vadanti Ś sacet saṃghasya	/ kalaha-kAraka-tvAt ca prativiramAmaH iti vadanti Ś saced saMGasya
   prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ pāṇḍulohitakān bhikṣūn	prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH pANxu-lohitakAn BikzUn
   osārayati niḥsaraṇaṃ pravartayati / eṣā jñaptiḥ /	osArayati niHsaraNam pravartayati / ezA jQaptiH /
   Pāṇḍ-v § 1.13 tataḥ karma kartavyam* / śṛṇotu bhadantāḥ saṃghaḥ / ime	PANx-u § 1.13 tatas karma kartavyam* / SRNotu BadantAH saMGaH / ime
   pāṇḍulohitakā bhikṣavaḥ kalahakārakā yāvad (290r1 = GBM 892) ādhikaraṇikāḥ	pANxu-lohitakAH BikzavaH kalaha-kArakAH yAvat (290r1  GBm 892) ADikaraNikAH
   / ta ete abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayanti yena saṃghaḥ kalahajāto	/ te ete aBIkzNam saMGe aDikaraNAni utpAdayanti yena saMGaH kalaha-jAtaH-
   viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ / tad eṣāṃ saṃghena	viharati BaNxana-jAtaH vigRhItaH vivAdam ApannaH / tat ezAm saMGena
   kalahakārakā iti tarjanīyakarma kṛtaṃ / ta ete tarjanīyakarmakṛtā	kalaha-kArakAH iti tarjanIya-karma kRtam / te ete tarjanIya-karma-kRtA
   utkacaprakacāḥ saṃghe roma pātayanti niḥsaraṇaṃ pravartayanti sāmīcīm	utkaca-prakacAH saMGe roma pAtayanti niHsaraNam pravartayanti sAmIcIm
   upadarśayanti antaḥsīmāyāṃ sthitvā osāraṇāṃ yācante / kalahakārakatvāc ca	upadarSayanti antar-sImAyAm sTitvA osAraNAm yAcante / kalaha-kAraka-tvAt ca
   prativiramāma iti vadanti / tat saṃghaḥ pāṇḍulohitakān bhikṣūn	prativiramAmaH iti vadanti / tat saMGaH pANxu-lohitakAn BikzUn
   kalahakārakāṃs tarjanīyakarmakṛtān osārayati / yeṣām āyuṣmatāṃ kṣamate	kalaha-kArakAn tarjanIya-karma-kRtAn osArayati / yezAm AyuzmatAm kzamate
   pāṇḍulohitakān bhikṣūn kalahakārakāṃs tarjanīyakarmakṛtān osārayituṃ te	pANxu-lohitakAn BikzUn kalaha-kArakAn tarjanIya-karma-kRtAn osArayitum te
   tūṣṇīṃ na kṣamante bhāṣantāṃ / osāritāḥ saṃghena pāṇḍulohitakā bhikṣavaḥ	tUzNIm na kzamante BAzantAm / osAritAH saMGena pANxu-lohitakAH BikzavaH
   kalahakārakās tarjanīyakarmakṛtāḥ / kṣāntam anujñātaṃ saṃghena yasmāt	kalaha-kArakAH tarjanIya-karma-kRtAH / kzAntam anujQAtam saMGena yasmAt-
   tūṣṇīm evam etad dhārayāmi // //	tUzNIm evam etat DArayAmi // //
   Pāṇḍ-v § 2.1 buddho bhagavāṃ śrāvastyāṃ viharati jetavane	PANx-u § 2.1 budDaH BagavAm SrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārāme Ś tena khalu samayena śreyako bhikṣur abhīkṣṇāpattiko	anATapiNxadasya-ArAme Ś tena Kalu samayena SreyakaH BikzuH aBIkzNApatti-ko
   'bhīkṣṇaṃ saṃghāvaśeṣām āpattim āpadyate Ś tasya bhikṣavaḥ parivāsaṃ	aBIkzNam saMGO=-aSezAm Apattim Apadyate Ś tasya BikzavaH parivAsam
   dadanto mūlaparivāsaṃ mānāpyam āvarhantaś ca bahukṛtyā bhavanti	dadantaH mUla-parivAsam mAnApyam AvarhantaH ca bahu-kRtyAH Bavanti
   bahukaraṇīyā riṃcanty uddeśaṃ pāṭhaṃ svādhyāyaṃ yogaṃ manasikāram	bahu-karaNIyAH riMcanti uddeSam pAWam svADyAyam yogam manasikAram
   adhyātmaṃ cetaḥśamatham* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	aDyAtmam cetaH-SamaTam* / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / kuruta yūyaṃ bhikṣavaḥ śreyakasya bhikṣor	BagavAn Aha / kuruta yUyam BikzavaH Sreyakasya BikzoH-
   abhīkṣṇāpattikasya nigarhaṇīyaṃ karma iti / yo vā punar anyo 'py	aBIkzNApattikasya nigarhaNIyam karma iti / yaH vA punar anyaH api-
   evaṃjātīyaḥ /	evaMjAtIyaH /
   Pāṇḍ-v § 2.2a paṃcabhiḥ kāraṇair nigarhaṇīyaṃ karma kṛtam adharmadharma ca	PANx-u § 2.2a paMcaBiH kAraNEH nigarhaNIyam karma kRtam aDarma-Darma ca
   tad avinayakarma ca saṃghaś ca tena sātisāraḥ / katamaiḥ paṃcabhiḥ /	tat avinaya-karma ca saMGaH ca tena sa-atisAraH / katamEH paMcaBiH /
   acodayitvā kurvanti asmārayitvā avastukam apratijñayā asaṃmukhībhūtasya	acodayitvA kurvanti asmArayitvA avastukam apratijQayA asaMmuKIBUtasya
   kurvanti Ś	kurvanti Ś
   Pāṇḍ-v § 2.2b paṃcabhis tu kāraṇair nigarhaṇīyaṃ karma kṛtaṃ dharmakarma	PANx-u § 2.2b paMcaBiH tu kAraNEH nigarhaNIyam karma kRtam Darma-karma
   ca tad vinayakarma ca saṃghaś ca tena na sātisāraḥ / katamaiḥ paṃcabhiḥ /	ca tat vinaya-karma ca saMGaH ca tena na sa-atisAraH / katamEH paMcaBiH /
