   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   ātmīye saṃsthitā dharme nṛpāḥ śakratvam āpnuyuḥ /	AtmIye saMsTitAH Darme nRpAH Sakra-tvam ApnuyuH /
   avīcivāsino ye tu vyapetācāriṇaḥ sadā // K_009 //	avIci-vAsinaH ye tu vyapeta-AcAriNaH sadA // K_009 //
   gacchet samyagavijñāya vaśaṃ krodhasya yo nṛpaḥ /	gacCet samyak-avijQAya vaSam kroDasya yaH nRpaH /
   vaset sa narake ghore kalpārdhaṃ tu na saṃśayaḥ // K_010 //	vaset sa narake Gore kalpa-arDam tu na saMSayaH // K_010 //
   etair eva guṇair yuktam amātyaṃ kāryacintakam /	etEH eva guNEH yuktam amAtyam kArya-cintakam /
   brāhmaṇaṃ tu prakurvīta nṛpabhaktaṃ kulodvaham // K_011 //	brAhmaNam tu prakurvIta nRpa-Baktam kula-udvaham // K_011 //
   mantriṇo yatra sabhyāś ca vaidyāś ca priyavādinaḥ /	mantriNaH yatra saByAH ca vEdyAH ca priya-vAdinaH /
   rājyād dharmāt sukhāt tatra kṣipraṃ hīyeta pārthivaḥ // K_012 //	rAjyAt DarmAt suKAt tatra kzipram hIyeta pArTivaH // K_012 //
   na tasya vacane kopam eteṣāṃ tu pravartayet /	na tasya vacane kopam etezAm tu pravartayet /
   yasmād etaiḥ sadā vācyaṃ nyāyyaṃ supariniṣṭhitam // K_013 //	yasmAt etEH sadA vAcyam nyAyyam su-parinizWitam // K_013 //
   yatra karmāṇi nṛpatiḥ svayaṃ paśyati dharmataḥ /	yatra karmANi nRpatiH svayam paSyati DarmataH /
   tatra sādhusamācārā nivaseyuḥ sukhaṃ prajāḥ // K_014 //	tatra sADu-samAcArAH nivaseyuH suKam prajAH // K_014 //
   prajānāṃ rakṣaṇaṃ nityaṃ kaṇṭakānāṃ ca śodhanam /	prajAnAm rakzaNam nityam kaNwakAnAm ca SoDanam /
   dvijānāṃ pūjanaṃ caiva etad arthaṃ kṛto nṛpaḥ // K_015 //	dvijAnAm pUjanam ca-eva etat arTam kRtaH nRpaH // K_015 //
   bhūsvāmī tu smṛto rājā nānyadravyasya sarvadā /	BU-svAmI tu smRtaH rAjA na-anya-dravyasya sarvadA /
   tatphalasya hi ṣaḍbhāgaṃ prāpnuyān nānyathaiva tu // K_016 //	tad-Palasya hi zaz-BAgam prApnuyAt na-anyaTA-eva tu // K_016 //
   bhūtānāṃ tannivāsitvāt svāmitvaṃ tena kīrtitam /	BUtAnAm tat-nivAsi-tvAt svAmi-tvam tena kIrtitam /
   tatkriyā baliṣaḍbhāgaṃ śubhāśubhanimittajam // K_017 //	tad-kriyA bali-zaz-BAgam SuBa-aSuBa-nimitta-jam // K_017 //
   evaṃ pravartate yas tu lobhaṃ tyaktvā narādhipaḥ /	evam pravartate yaH tu loBam tyaktvA narADipaH /
   tasya putrāḥ prajāyante rāṣṭraṃ kośaś ca vardhate // K_018 //	tasya putrAH prajAyante rAzwram koSaH ca varDate // K_018 //
   anyāyena hi yo rāṣṭrāt karaṃ daṇḍaṃ ca pārthivaḥ /	anyAyena hi yaH rAzwrAt karam daNxam ca pArTivaH /
   sasyabhāgaṃ ca śulkaṃ cāpy ādadīta sa pāpabhāk // K_019 //	sasya-BAgam ca Sulkam ca-api AdadIta sa pApa-BAj // K_019 //
   arthaśāstroktam utsṛjya dharmaśāstroktam āvrajet // K_020 //	arTaSAstra-uktam utsRjya Darma-SAstra-uktam Avrajet // K_020 //
   duṣṭasyāpi narendrasya tadrāṣṭraṃ na vināśayet /	duzwasya-api narendrasya tat-rAzwram na vinASayet /
   na prajānumato yasmād anyāyeṣu pravartate // K_021 //	na prajA-anumataH yasmAt anyAyezu pravartate // K_021 //
   akleśenārthine yas tu rājā samyaṅ nivedayet /	akleSena-arTine yaH tu rAjA samyak nivedayet /
   tat tārayaty anantaṃ syād dharmārthaṃ dānam īdṛśam // K_022 //	tat tArayati anantam syAt Darma-arTam dAnam IdRSam // K_022 //
   nyāyenākramya yallabdhaṃ ripuṃ nirjitya pārthivaiḥ /	nyAyena-Akramya yat-labDam ripum nirjitya pArTivEH /
   tac chuddhaṃ tatpradeyaṃ tan nānyathopahṛtaṃ kvacit // K_023 //	tat SudDam tat-pradeyam tat na-anyaTA-upahRtam kvacid // K_023 //
   rājā purohitaṃ kuryād uditaṃ brāhmaṇaṃ hitam /	rAjA purohitam kuryAt uditam brAhmaNam hitam /
   kṛtādhyayanasaṃpannam alubdhaṃ satyavādinam // K_024 //	kRta-aDyayana-saMpannam alubDam satya-vAdinam // K_024 //
   [vyavahāralakṣaṇādi]	[vyavahAra-lakzaNa-Adi]
   prayatnasādhye vicchinne dharmākhye nyāyavistare /	prayatna-sADye vicCinne Darma-AKye nyAya-vistare /
   sādhyamūlas tu yo vādo vyavahāraḥ sa ucyate // K_025 //	sADya-mUlaH tu yaH vAdaH vyavahAraH saH ucyate // K_025 //
   vi nānārthe 'va saṃdehe haraṇaṃ hāra ucyate /	vi nAnA-arTe ava saMdehe haraNam hAraH ucyate /
   nānāsaṃdehaharaṇād vyavahāra iti smṛtaḥ // K_026 //	nAnA-saMdeha-haraNAt vyavahAraH iti smRtaH // K_026 //
   na rājā tu viśitvena dhanalobhena vā punaḥ /	na rAjA tu viSi-tvena Dana-loBena vA punar /
   svayaṃ kāryāṇi kurvīta narāṇām avivādinām // K_027 //	svayam kAryANi kurvIta narANAm avivAdinAm // K_027 //
   utpādayati yo hiṃsāṃ deyaṃ vā na prayacchati /	utpAdayati yaH hiMsAm deyam vA na prayacCati /
   yācam ānaya dauḥśīlyād ākṛṣyo 'sau nṛpājñayā // K_028 //	yAcam Anaya dOHSIlyAt AkRzyaH asO nRpa-AjQayA // K_028 //
   dvipade sādhyabhedāt tu padāṣṭādaśatāṃ gate /	dvipade sADya-BedAt tu pada-azwAdaSa-tAm gate /
   aṣṭādaśa kriyābhedād bhinnāny aṣṭasahasraśaḥ // K_029 //	azwAdaSa kriyA-BedAt BinnAni azwa-sahasraSas // K_029 //
   sādhyavādasya mūlaṃ syād vādinā yan niveditam /	sADya-vAdasya mUlam syAt vAdinA yat niveditam /
   deyāpradānaṃ hiṃsā cety utthānadvayam ucyate // K_030 //	deyA-pradAnam hiMsA ca-iti utTAna-dvayam ucyate // K_030 //
   pūrvapakṣaś cottaraṃ ca pratyākalitam eva ca /	pUrva-pakzaH ca-uttaram ca pratyAkalitam eva ca /
   kriyāpādaś ca tenāyaṃ catuṣpāt samudāhṛtaḥ // K_031 //	kriyA-pAdaH ca tena-ayam catuzpAd samudAhRtaH // K_031 //
   dharmaśāstrārthaśāstre tu skandhadvayam udāhṛtam /	Darma-SAstra-arTaSAstre tu skanDa-dvayam udAhRtam /
   jayaś caivāvasāyaś ca dve phale samudāhṛte // K_032 //	jayaH ca-eva-avasAyaH ca dve Pale samudAhRte // K_032 //
   śāstreṇa ninditaṃ tv artha- mukhyo rājñā pracoditaḥ /	SAstreNa ninditam tu arTa muKyaH rAjQA pracoditaH /
   āvedayati yaḥ pūrvaṃ stobhakaḥ sa udāhṛtaḥ // K_033 //	Avedayati yaH pUrvam stoBakaH saH udAhRtaH // K_033 //
   nṛpeṇaiva niyukto yaḥ padadoṣam avekṣitum /	nRpeNa-eva niyuktaH yaH pada-dozam avekzitum /
   nṛpasya sūcayej jñātvā sūcakaḥ sa udāhṛtaḥ // K_034 //	nRpasya sUcayet jQAtvA sUcakaH saH udAhRtaH // K_034 //
   [dharmavyavahāracaritrarājaśāsanādīṇāṃ balābalavicāraḥ]	[Darma-vyavahAra-caritra-rAja-SAsana-AdINAm bala-abala-vicAraH]
   doṣakārī tu kartṛtvaṃ dhanasvāmī svakaṃ dhanam /	doza-kArI tu kartR-tvam DanasvAmI svakam Danam /
   vivāde prāpnuyād yatra dharmeṇaiva sa nirṇayaḥ // K_035 //	vivAde prApnuyAt yatra DarmeNa-eva sa nirNayaH // K_035 //
   smṛtiśāstraṃ tu yat kiṃcit prathitaṃ dharmasādhakaiḥ /	smRti-SAstram tu yat kiMcid praTitam Darma-sADakEH /
   kāryāṇāṃ nirṇayārthe tu vyavahāraḥ smṛto hi saḥ // K_036 //	kAryANAm nirNaya-arTe tu vyavahAraH smRtaH hi saH // K_036 //
   yad yad ācaryate yena dharmyaṃ vādharmyam eva vā /	yat yat Acaryate yena Darmyam vA-aDarmyam eva vA /
   deśasyācaraṇān nityaṃ caritraṃ tatprakīrtitam // K_037 //	deSasya-AcaraNAt nityam caritram tat-prakIrtitam // K_037 //
   nyāyaśāstrāvirodhena deśadṛṣṭes tathaiva ca /	nyAya-SAstra-aviroDena deSa-dRzweH taTA-eva ca /
   yaṃ dharmaṃ sthāpayed rājā nyāyyaṃ tadrājaśāsanam // K_038 //	yam Darmam sTApayet rAjA nyAyyam tat-rAja-SAsanam // K_038 //
   yuktiyuktaṃ tu kāryaṃ syād divyaṃ yatra vivarjitam /	yukti-yuktam tu kAryam syAt divyam yatra vivarjitam /
   dharmas tu vyavahāreṇa bādhyate tatra nānyathā // K_039 //	DarmaH tu vyavahAreNa bADyate tatra na-anyaTA // K_039 //
   pratilomaprasūteṣu tathā durganivāsiṣu /	pratiloma-prasUtezu taTA durga-nivAsizu /
   viruddhaṃ niyataṃ prāhus taṃ dharmaṃ na vicālayet // K_040 //	virudDam niyatam prAhuH tam Darmam na vicAlayet // K_040 //
   nirṇayaṃ tu yadā kuryāt tena dharmeṇa pārthivaḥ /	nirNayam tu yadA kuryAt tena DarmeNa pArTivaH /
   vyavahāraś caritreṇa tadā tenaiva bādhyate // K_041 //	vyavahAraH caritreNa tadA tena-eva bADyate // K_041 //
   viruddhaṃ nyāyato yat tu caritraṃ kalpyate nṛpaiḥ /	virudDam nyAyataH yat tu caritram kalpyate nRpEH /
   evaṃ tatra nirasyeta caritraṃ tu nṛpājñayā // K_042 //	evam tatra nirasyeta caritram tu nRpa-AjQayA // K_042 //
   anena vidhinā yuktaṃ bādhakaṃ yad yad uttaram /	anena viDinA yuktam bADakam yat yat uttaram /
   anyathābādhanaṃ yatra tatra dharmo vihanyate // K_043 //	anyaTAbADanam yatra tatra DarmaH vihanyate // K_043 //
   asvargyā lokanāśāya parānīkabhayāvahā /	asvargyA loka-nASAya para-anIka-Baya-AvahAH /
   āyurbījaharī rājñāṃ sati vākye svayaṃ kṛtiḥ // K_044 //	AyuH-bIja-harI rAjQAm sati vAkye svayam kRtiH // K_044 //
   tasmāc chāstrānusāreṇa rājā kāryāṇi sādhayet /	tasmAt SAstra-anusAreNa rAjA kAryANi sADayet /
   vākyābhāve tu sarveṣāṃ deśadṛṣṭena sannayet // K_045 //	vAkya-aBAve tu sarvezAm deSa-dRzwena sannayet // K_045 //
   yasya deśasya yo dharmaḥ pravṛttaḥ sārvakālikaḥ /	yasya deSasya yaH DarmaH pravRttaH sArvakAlikaH /
   śrutismṛtyavirodhena deśadṛṣṭaḥ sa ucyate // K_046 //	Sruti-smRti-aviroDena deSa-dRzwaH saH ucyate // K_046 //
   deśapattanagoṣṭheṣu puragrāmeṣu vāsinām /	deSa-pattana-gozWezu pura-grAmezu vAsinAm /
   teṣāṃ svasamayair dharma- śāstrato 'nyeṣu taiḥ saha // K_047 //	tezAm sva-samayEH Darma SAstrataH anyezu tEH saha // K_047 //
   deśasyānumatenaiva vyavasthā yā nirūpitā /	deSasya-anumatena-eva vyavasTA yA nirUpitA /
   likhitā tu sadā dhāryā mudritā rājam udrayā // K_048 //	liKitA tu sadA DAryA mudritAH rAjam udrayA // K_048 //
   śāstravad yatnato rakṣyā tāṃ nirīkṣya vinirṇayet /	SAstra-vat yatnataH rakzyA tAm nirIkzya vinirNayet /
   naigamasthais tu yat kāryaṃ likhitaṃ yad vyavasthitam // K_049 //	nEgama-sTEH tu yat kAryam liKitam yat vyavasTitam // K_049 //
   tasmāt tat saṃpravarteta nānyathaiva pravartayet /	tasmAt tat saMpravarteta na-anyaTA-eva pravartayet /
   pramāṇadeśadṛṣṭaṃ tu yad evam iti niścitam // K_050 //	pramANa-deSa-dRzwam tu yat evam iti niScitam // K_050 //
   aprvṛttaṃ kṛtaṃ yatra śrutismṛtyanumoditam /	aprvRttam kRtam yatra Sruti-smRti-anumoditam /
   nānyathā tat punaḥ kāryaṃ nyāyāpetaṃ vivarjayet // K_051 //	na-anyaTA tat punar kAryam nyAya-apetam vivarjayet // K_051 //
   [dharmādhikaraṇam]	[Darma-aDikaraNam]
   dharmaśāstravicāreṇa mūlasāravivecanam /	Darma-SAstra-vicAreNa mUla-sAra-vivecanam /
   yatrādhikriyate sthāne dharmādhikaraṇaṃ hi tat // K_052 //	yatra-aDikriyate sTAne Darma-aDikaraNam hi tat // K_052 //
   prātar utthāya nṛpatiḥ śaucaṃ kṛtvā samāhitaḥ /	prAtar utTAya nRpatiH SOcam kRtvA samAhitaH /
   guruṃ jyotirvidaṃ vaidyān devān viprān purohitān // K_053 //	gurum jyotiH-vidam vEdyAn devAn viprAn purohitAn // K_053 //
   yathārham etān saṃpūjya supuṣpābharaṇāmbaraiḥ /	yaTArham etAn saMpUjya su-puzpa-ABaraNa-ambarEH /
   abhivandya ca gurvādīn sumukhāṃ praviśet sabhām // K_054 //	aBivandya ca guru-AdIn su-muKAm praviSet saBAm // K_054 //
   vinītaveṣo nṛpatiḥ sabhāṃ gatvā samāhitaḥ /	vinIta-vezaH nRpatiH saBAm gatvA samAhitaH /
   āsīnaḥ prāṅmukhaḥ sthitvā paśyet kāryāṇi kāryiṇām /	AsInaH prAFmuKaH sTitvA paSyet kAryANi kAryiNAm /
   saha traividyavṛddhaiś ca mantrajñaiś caiva mantribhiḥ // K_055 //	saha trEvidya-vRdDEH ca mantra-jQEH ca-eva mantriBiH // K_055 //
   saprāḍvivākaḥ sāmātyaḥ sabrāhmaṇapurohitaḥ /	sa-prAxvivAkaH sa-amAtyaH sa-brAhmaNa-purohitaH /
   sasabhyaḥ prekṣako rājā svarge tiṣṭhati dharmataḥ // K_056 //	sasaByaH prekzakaH rAjA svarge tizWati DarmataH // K_056 //
   saha sabhyaiḥ sthirair yuktaiḥ prājñair maulair dvijottamaiḥ /	saha saByEH sTirEH yuktEH prAjQEH mOlEH dvijottamEH /
   dharmaśāstrārthakuśalair arthaśāstraviśāradaiḥ // K_057 //	Darma-SAstra-arTa-kuSalEH arTa-SAstra-viSAradEH // K_057 //
   kulaśīlavayovṛtta- vittavadbhir amatsaraiḥ /	kula-SIla-vayaH-vRtta vittavadBiH amatsarEH /
   vaṇigbhiḥ syāt katipayaiḥ kulabhūtair adhiṣṭhitam // K_058 //	vaNigBiH syAt katipayEH kula-BUtEH aDizWitam // K_058 //
   śrotāro vaṇijas tatra kartavyā nyāyadarśinaḥ // K_059 //	SrotAraH vaNijaH tatra kartavyA nyAya-darSinaH // K_059 //
   [kāryadarśanakālaḥ]	[kArya-darSana-kAlaH]
   sabhāsthāneṣu pūrvāhṇe kāryāṇāṃ nirṇayaṃ nṛpaḥ /	saBA-sTAnezu pUrvAhNe kAryANAm nirNayam nRpaH /
   kuryāc chāstrapraṇītena mārgeṇāmitrakarṣaṇaḥ // K_060 //	kuryAt SAstra-praNItena mArgeNa-amitra-karzaNaH // K_060 //
   divasasyāṣṭamaṃ bhāgaṃ muktvā kālatrayaṃ tu yat /	divasasya-azwamam BAgam muktvA kAla-trayam tu yat /
   sa kālo vyavahārāṇāṃ śāstradṛṣṭaḥ paraḥ smṛtaḥ // K_061 //	sa kAlaH vyavahArANAm SAstra-dRzwaH paraH smRtaH // K_061 //
   ādyād ahno 'ṣṭabhāgād yad ūrdhvaṃ bhāgatrayaṃ bhavet /	AdyAt ahnaH azwa-BAgAt yat UrDvam BAga-trayam Bavet /
   sa kālo vyavahārasya śāstre dṛṣṭo manīṣibhiḥ // K_062 //	sa kAlaH vyavahArasya SAstre dRzwaH manIziBiH // K_062 //
   [prāḍvivākaḥ]	[prAxvivAkaH]
   yadā kuryān na nṛpatiḥ svayaṃ kāryavinirṇayam /	yadA kuryAt na nRpatiH svayam kArya-vinirNayam /
   tadā tatra niyuñjīta brāhmaṇaṃ śāstrapāragam // K_063 //	tadA tatra niyuQjIta brAhmaNam SAstra-pAragam // K_063 //
   dakṣaṃ kulīnamadhyastham anudvegakaraṃ sthiram /	dakzam kulIna-maDya-sTam anudvega-karam sTiram /
   paratra bhīruṃ dharmiṣṭham udyuktaṃ krodhavarjitam // K_064 //	paratra BIrum DarmizWam udyuktam kroDa-varjitam // K_064 //
   akrūro madhuraḥ snigdhaḥ kṣamāyāto vicakṣaṇaḥ /	akrUraH maDuraH snigDaH kzamA-AyAtaH vicakzaNaH /
   utsāhavān alubdhaś ca vāde yojyo nṛpeṇa tu // K_065 //	utsAhavAn alubDaH ca vAde yojyaH nRpeNa tu // K_065 //
   ekaśāstram adhīyāno na vidyāt kāryaniścayam /	eka-SAstram aDIyAnaH na vidyAt kArya-niScayam /
   tasmād bahvāgamaḥ kāryo vivādeṣūttamo nṛpaiḥ // K_066 //	tasmAt bahu-AgamaH kAryaH vivAdezu-uttamaH nRpEH // K_066 //
   brāhmaṇo yatra na syāt tu kṣatriyaṃ tatra yojayet /	brAhmaNaH yatra na syAt tu kzatriyam tatra yojayet /
   vaiśyaṃ vā dharmaśāstrajñaṃ śūdraṃ yatnena varjayet // K_067 //	vESyam vA Darma-SAstra-jQam SUdram yatnena varjayet // K_067 //
   ato 'nyair yat kṛtaṃ kāryam anyāyena kṛtaṃ tu tat /	atas anyEH yat kRtam kAryam anyAyena kRtam tu tat /
   niyuktair api vijñeyaṃ daivād yady api śāstrataḥ // K_068 //	niyuktEH api vijQeyam dEvAt yadi api SAstrataH // K_068 //
   vyavahārāśritaṃ praśnaṃ pṛcchati prāṅ iti sthitiḥ /	vyavahAra-ASritam praSnam pRcCati prAF iti sTitiH /
   vivecayati yas tasmin prāḍvivākas tataḥ smṛtaḥ // K_069 //	vivecayati yaH tasmin prAxvivAkaH tatas smRtaH // K_069 //
   anirṇīte tu yady arthe saṃbhāṣeta raho 'rthinā /	anirNIte tu yadi arTe saMBAzeta rahaH arTinA /
   prāḍvivāko 'tha daṇḍyaḥ syāt sabhyāś caiva viśeṣataḥ // K_070 //	prAxvivAkaH aTa daNxyaH syAt saByAH ca-eva viSezataH // K_070 //
   [sabhyāḥ]	[saByAH]
   alubdhā dhanavantaś ca dharmajñāḥ satyavādinaḥ /	alubDAH DanavantaH ca Darma-jQAH satya-vAdinaH /
   sarvaśāstrapravīṇāś ca sabhyāḥ kāryā dvijottamāḥ // K_071 //	sarva-SAstra-pravINAH ca saByAH kAryAH dvijottamAH // K_071 //
   nyāyaśāstram atikramya sabhyair yatra viniścitam /	nyAya-SAstram atikramya saByEH yatra viniScitam /
   tatra dharmo hy adharmeṇa hato hanti na saṃśayaḥ // K_072 //	tatra DarmaH hi aDarmeNa hataH hanti na saMSayaH // K_072 //
   yatra dharmo hy adharmeṇa satyaṃ yatrānṛtena ca /	yatra DarmaH hi aDarmeNa satyam yatra-anRtena ca /
   hanyate prekṣamāṇānāṃ hatās tatra sabhāsadaḥ // K_073 //	hanyate prekzamANAnAm hatAH tatra saBAsadaH // K_073 //
   adharmataḥ pravṛttaṃ tu nopekṣeran sabhāsadaḥ /	aDarmataH pravRttam tu na-upekzeran saBAsadaH /
   upekṣamāṇāḥ sanṛpā narakaṃ yānty adhomukhāḥ // K_074 //	upekzamANAH sa-nRpAH narakam yAnti aDomuKAH // K_074 //
   anyāyenāpi taṃ yāntaṃ ye 'nuyānti sabhāsadaḥ /	anyAyena-api tam yAntam ye anuyAnti saBAsadaH /
   te 'pi tadbhāginas tasmād bodhanīyaḥ sa tair nṛpaḥ // K_075 //	te api tad-BAginaH tasmAt boDanIyaH sa tEH nRpaH // K_075 //
   nyāyamārgād apetaṃ tu jñātvā cittaṃ mahīpateḥ /	nyAya-mArgAt apetam tu jQAtvA cittam mahIpateH /
   vaktavyaṃ tatpriyaṃ tatra na sabhyaḥ kilviṣī bhavet // K_076 //	vaktavyam tat-priyam tatra na saByaH kilvizI Bavet // K_076 //
   sabhyenāvaśyavaktavyaṃ dharmārthasahitaṃ vacaḥ /	saByena-avaSya-vaktavyam Darma-arTa-sahitam vacaH /
   śṛṇoti yadi no rājā syāt tu sabhyas tato 'naghaḥ // K_077 //	SRNoti yadi naH rAjA syAt tu saByaH tatas anaGaH // K_077 //
   adharmāya yadā rājā niyuñjīta vivādinām /	aDarmAya yadA rAjA niyuQjIta vivAdinAm /
   vijñāpya nṛpatiṃ sabhyas tadā kāryaṃ nivartayet // K_078 //	vijQApya nRpatim saByaH tadA kAryam nivartayet // K_078 //
   snehād ajñānato vāpi lobhād vā mohato 'pi vā /	snehAt ajQAnataH vA-api loBAt vA mohataH api vA /
   tatra sabhyo 'nyathāvādī daṇḍyo 'sabhyaḥ smṛto hi saḥ // K_079 //	tatra saByaH anyaTAvAdI daNxyaH asaByaH smRtaH hi saH // K_079 //
   kāryasya nirṇayaṃ samyag jñātvā sabhyas tato vadet /	kAryasya nirNayam samyak jQAtvA saByaH tatas vadet /
   anyathā naiva vaktavyaṃ vaktā dviguṇadaṇḍabhāk // K_080 //	anyaTA na-eva vaktavyam vaktA dviguNa-daNxa-BAj // K_080 //
   sabhyadoṣāt tu yan naṣṭaṃ deyaṃ sabhyena tat tadā /	saBya-dozAt tu yat nazwam deyam saByena tat tadA /
   kāryaṃ tu kāryiṇām eva niścitaṃ na vicālayet // K_081 //	kAryam tu kAryiNAm eva niScitam na vicAlayet // K_081 //
   [kāryanirṇetṝṇāṃ gurulāghavam]	[kArya-nirNetLNAm gurulAGavam]
   kulāni śreṇayaś caiva gaṇas tv adhikṛto nṛpaḥ /	kulAni SreNayaH ca-eva gaNaH tu aDikRtaH nRpaH /
   pratiṣṭhā vyavahārāṇāṃ gurvebhyas tūttarottaram // K_082 //	pratizWA vyavahArANAm guru-eByaH tu-uttara-uttaram // K_082 //
   tapasvināṃ tu kāryāṇi traividyair eva kārayet /	tapasvinAm tu kAryANi trEvidyEH eva kArayet /
   māyāyogavidāṃ caiva na svayaṃ kopakāraṇāt // K_083 //	mAyA-yoga-vidAm ca-eva na svayam kopa-kAraNAt // K_083 //
   samyagvijñānasaṃpanno nopadeśaṃ prakalpayet /	samyak-vijQAna-saMpannaH na-upadeSam prakalpayet /
   utkṛṣṭajātiśīlānāṃ gurvācāryatapasvinām // K_084 //	utkRzwa-jAti-SIlAnAm guru-AcArya-tapasvinAm // K_084 //
   gotrasthitis tu yā teṣāṃ kramād āyāti dharmataḥ /	gotra-sTitiH tu yA tezAm kramAt AyAti DarmataH /
   kuladharmaṃ tu taṃ prāhuḥ pālayet taṃ tathaiva tu // K_085 //	kula-Darmam tu tam prAhuH pAlayet tam taTA-eva tu // K_085 //
   [praśnaprakāraḥ]	[praSna-prakAraH]
   kāle kāryārthinaṃ pṛcchet praṇataṃ purataḥ sthitam /	kAle kArya-arTinam pRcCet praNatam puratas sTitam /
   kiṃ kāryaṃ kā ca te pīḍā mā bhaiṣīr brūhi mānava // K_086 //	kim kAryam kA ca te pIxA mA BEzIH brUhi mAnavaH // K_086 //
   kena kasmin kadā kasmāt pṛcched evaṃ sabhāgataḥ /	kena kasmin kadA kasmAt pRcCet evam saBA-gataH /
   evaṃ pṛṣṭaḥ sa yad brūyāt tat sabhyair brāhmaṇaḥ sahaḥ // K_087 //	evam pRzwaH sa yat brUyAt tat saByEH brAhmaNaH sahaH // K_087 //
   vimṛśya kāryaṃ nyāyyaṃ ced āhvānārtham ataḥ param /	vimRSya kAryam nyAyyam ced AhvAna-arTam atas param /
   mudrāṃ vā nikṣipet tasmin puruṣaṃ vā samādiśet // K_088 //	mudrAm vA nikzipet tasmin puruzam vA samAdiSet // K_088 //
   [pratinidhiḥ]	[pratiniDiH]
   samarpito 'rthinā yo 'nyaḥ paro dharmādhikāriṇi /	samarpitaH arTinA yaH anyaH paraH Darma-aDikAriNi /
   prativādī sa vijñeyaḥ pratipannaś ca yaḥ svayam // K_089 //	prativAdI sa vijQeyaH pratipannaH ca yaH svayam // K_089 //
   adhikāro 'bhiyuktasya netarasyāsty asaṅgateḥ /	aDikAraH aBiyuktasya na-itarasya-asti asaFgateH /
   itaro 'py abhiyuktena pratirodhikṛto mataḥ // K_090 //	itaraH api aBiyuktena pratiroDi-kRtaH mataH // K_090 //
   arthinā saṃniyukto vā pratyarthiprahito 'pi vā /	arTinA saMniyuktaH vA pratyarTi-prahitaH api vA /
   yo yasyārthe vivadate tayor jayaparājayau // K_091 //	yaH yasya-arTe vivadate tayoH jaya-parAjayO // K_091 //
   dāsāḥ karmakarāḥ śiṣyā niyuktā bāndhavās tathā /	dAsAH karmakarAH SizyAH niyuktAH bAnDavAH taTA /
   vādino na ca daṇḍyāḥ syuḥ yas tv ato 'nyaḥ sa daṇḍabhāk // K_092 //	vAdinaH na ca daNxyAH syuH yaH tu atas anyaH sa daNxa-BAj // K_092 //
   brahmahatyāsurāpāna- steyagurvaṅganāgame /	brahmahatyA-asurA-pAna steya-guru-aFganA-Agame /
   anyeṣu cātipāpeṣu prativādī na dīyate // K_093 //	anyezu ca-ati-pApezu prativAdI na dIyate // K_093 //
