   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   ājanmārjitabahuvidhamaṇimauktikakanakapūrṇakoṣasya &	Ajanma-arjita-bahuviDa-maNi-mOktika-kanaka-pUrNa-kozasya &
   eko mamaiṣa sūnuḥ saṃjātaḥ paścime vayasi // 1.15 //	ekaH mama-eza sUnuH saMjAtaH paScime vayasi // 1.15 //
   mohasthānaṃ bālyaṃ yauvanamapi madanamānasonmādam &	moha-sTAnam bAlyam yOvanam-api madana-mAnasa-unmAdam &
   anilāvalolanalinīdalajalacapalāśca vittacayāḥ // 1.16 //	anila-avalola-nalinI-dala-jala-capalAH-ca vitta-cayAH // 1.16 //
   hāriṇyo hariṇadṛśaḥ satataṃ bhogābjamadhukarā dhūrtāḥ &	hAriNyaH hariNa-dRSaH satatam Boga-abja-maDukarAH DUrtAH &
   patitā paraṃparaiṣā doṣāṇāṃ mama sutasyāsya // 1.17 //	patitA paraMparA-ezA dozANAm mama sutasya-asya // 1.17 //
   dhūrtakarakandukānāṃ vāravadhūcaraṇanūpuramaṇīnām &	DUrta-kara-kandukAnAm vAra-vaDU-caraNa-nUpura-maNInAm &
   dhanikagṛhotpannānāṃ muktirnāstyeva mugdhānām // 1.18 //	Danika-gRha-utpannAnAm muktiH-na-asti-eva mugDAnAm // 1.18 //
   ajñātadeśakālāś capalamukhāḥ paṅgavo'pi saplutayaḥ &	ajQAta-deSa-kAlAH capala-muKAH paFgavaH-api sa-plutayaH &
   navavihagā iva mugdhā bhakṣyante dhūrtamārjāraiḥ // 1.19 //	nava-vihagAH iva mugDAH Bakzyante DUrta-mArjArEH // 1.19 //
   āśritajanatanayo'yaṃ tava vidvannijasutādhikaḥ satyam &	ASrita-jana-tanayaH-ayam tava vidvat-nija-suta-aDikaH satyam &
   na yathā prayāti nāśaṃ tathāsya buddhiṃ prayaccha parām // 1.20 //	na yaTA prayAti nASam taTA-asya budDim prayacCa parAm // 1.20 //
   iti vinayanamraśirasā tena vaco yuktamuktamavadhārya &	iti vinaya-namra-SirasA tena vacaH yuktam-uktam-avaDArya &
   tamuvāca mūladevaḥ prītiprasaraiḥ prasāritauṣṭhāgraḥ // 1.21 //	tam-uvAca mUladevaH prIti-prasarEH prasArita-ozWa-agraH // 1.21 //
   āstāmeṣa sutaste mama bhavane nija iva prayatnaparaḥ &	AstAm-eza sutaH-te mama Bavane nijaH iva prayatna-paraH &
   jñāsyati mayopadiṣṭaṃ śanakaiḥ sakalaṃ kalāhṛdayam // 1.22 //	jQAsyati mayA-upadizwam SanakEs sakalam kalA-hRdayam // 1.22 //
   iti tasya śāsanena svasutaṃ niḥkṣaipya tadgṛhe matimān &	iti tasya SAsanena sva-sutam niHkzEpya tad-gRhe matimAn &
   natvātha sārthavāhaḥ prayayau nijamandiraṃ muditaḥ // 1.23 //	natvA-aTa sArTavAhaH prayayO nija-mandiram muditaH // 1.23 //
   atha śithilakiraṇajālo dhūmarakāntirnirambarastaraṇiḥ &	aTa SiTila-kiraNa-jAlaH DUmarakAntiH-nirambaraH-taraNiH &
   abhavadadṛkṣyaḥ śanakaiḥ dhūrtairiva nirjitaḥ kitavaḥ // 1.24 //	aBavat-adRkzyaH SanakEs DUrtEH-iva nirjitaH kitavaH // 1.24 //
   astamite divasakare timirabharadviradasaṃsaktā &	astamite divasa-kare timira-Bara-dvirada-saMsaktAH &
   sindūrapaṭalapāṭalakāntirivāgre babhau sandhyā // 1.25 //	sindUra-pawala-pAwala-kAntiH-iva-agre baBO sanDyA // 1.25 //
   tyaktāpi pratidivasaṃ divasadyutiranujagāma divasakaram &	tyaktA-api pratidivasam divasa-dyutiH-anujagAma divasa-karam &
   na tu raktāpi hi sandhyā hṛdayaṃ jānāti kaḥ strīṇām // 1.26 //	na tu raktA-api hi sanDyA hRdayam jAnAti kaH strINAm // 1.26 //
   gaganāṅgaṇakamalavane sandhyārāge gate śanaiḥ kvāpi &	gagana-aFgaNa-kamala-vane sanDyA-rAge gate SanEs kvApi &
   aprāptasthitivikalaṃ babhrāma bhramaravibhramaṃ timiram // 1.27 //	aprApta-sTiti-vikalam baBrAma Bramara-viBramam timiram // 1.27 //
   tīkṣṇāṃśuvirahamohaiḥ timirairiva mīlitā babhūva mahī &	tIkzNa-aMSu-viraha-mohEH timirEH-iva mIlitA baBUva mahI &
   tīvro'pi janasya sadāyātaḥ khalu vallabho bhavati // 1.28 //	tIvraH-api janasya sadA-AyAtaH Kalu vallaBaH Bavati // 1.28 //
   rajanī rarāja sitataratārakamuktākalāpakṛtaśobhā &	rajanI rarAja sitatara-tAraka-muktA-kalApa-kRta-SoBA &
   śabararamaṇīva paricitatimiramayūracchadābharaṇā // 1.29 //	Sabara-ramaNi-iva paricita-timira-mayUra=-Cada-ABaraNAH // 1.29 //
   atha pathikavadhūdahanaḥ śanakairudabhūnniśākarālokaḥ &	aTa paTika-vaDU-dahanaH SanakEs-udaBUt-niSAkara-AlokaH &
   kumudaprabodhadūto vyasanaguruścakravākīṇām // 1.30 //	kumuda-praboDa-dUtaH vyasana-guruH-cakravAkINAm // 1.30 //
   manmathasitātapatraṃ digvanitāsphaṭikadarpaṇo vimalaḥ &	manmaTa-sitA-Atapatram diS-vanitA-sPawika-darpaNaH vimalaH &
   virarāja rajaniramaṇīsitatilako yāminīnāthaḥ // 1.31 //	virarAja raja-niramaNI-sita-tilakaH yAminI-nATaH // 1.31 //
   nijakaramṛṇālavallīvalayavilāsī lalāsa sitakāntiḥ &	nija-kara-mRNAlavallI-valaya-vilAsI lalAsa sita-kAntiH &
   gaganataṭinītaṭānte rajanikaro rājahaṃsa iva // 1.32 //	gagana-tawinI-tawa-ante rajanikaraH rAjahaMsaH iva // 1.32 //
   śyāmā śuśubhe śaśinā tayā manobhūrmadhūtsavastena &	SyAmA SuSuBe SaSinA tayA manaH-BUH-maDUtsavaH-tena &
   madamuditamānasānāṃ tenāpi mṛgīdṛśāṃ līlā // 1.33 //	mada-mudita-mAnasAnAm tena-api mRgI-dRSAm lIlA // 1.33 //
   dhūrtāḥ samṛddhisacivā vicchāyāṃ padminīṃ parityajya &	DUrtAH samRdDi-sacivAH vicCAyAm padminIm parityajya &
   phullāni viviśuralayaḥ sānandāḥ kumudavṛndāni // 1.34 //	PullAni viviSuH-alayaH sa-AnandAH kumuda-vRndAni // 1.34 //
   jyotsnābhasmasmerā sulalitaśaśiśakalapeśalakapālā &	jyotsnA-Basma-smerA su-lalita-SaSi-Sakala-peSala-kapAlAH &
   tārāsthipaṭalahārā śuśubhe kāpālikīva niśā // 1.35 //	tAra-asTi-pawala-hArA SuSuBe kApAlikI-iva niSA // 1.35 //
   tasminprauḍhaniśākarakiraṇaprakaraprakāśitāśeṣe &	tasmin-prOXa-niSAkara-kiraNa-prakara-prakASita-aSeze &
   nijamaṇibhavanodyāne nirvartitabhāvanāsamādhānaḥ // 1.36 //	nija-maNi-Bavana-udyAne nirvartita-BAvanA-samADAnaH // 1.36 //
   sphaṭikāsanopaviṣṭaḥ saha śaśinā nirvibhāgamitreṇa &	sPawika-Asana-upavizwaH saha SaSinA nirviBAga-mitreNa &
   kandalimukhyaiḥ śiṣyaiḥ parivāritapādapīṭhāntaḥ // 1.37 //	kandali-muKyEH SizyEH parivArita-pAda-pIWa-antaH // 1.37 //
   provāca mūladevo vīkṣya ciraṃ sārthavāhasutamagre &	provAca mUladevaH vIkzya ciram sArTavAha-sutam-agre &
   kurvandaśanamayūkhaiḥ lajjālīnāmiva jyotsnām // 1.38 //	kurvan-daSanamayUKEH lajjA-AlInAm-iva jyotsnAm // 1.38 //
   śṛṇu putra vañcakānāṃ sakalakalāhṛdayasāramatikuṭilam &	SRNu putra vaQcakAnAm sakala-kalA-hRdaya-sAram-ati-kuwilam &
   jñāte bhavanti yasmin kṣaṇarucicapalāḥ śriyo'pyacalāḥ // 1.39 //	jQAte Bavanti yasmin kzaNa-ruci-capalAH SriyaH-api-acalAH // 1.39 //
   eko'sminbhavagahane tṛṇapallavavalayajālasaṃcchannaḥ &	ekaH-asmin-Bava-gahane tRNa-pallava-valaya-jAla-saMcCannaH &
   kūpaḥ patanti yasmin mugdhakuraṅgā nirālambe // 1.40 //	kUpaH patanti yasmin mugDa-kuraFgAH nirAlambe // 1.40 //
   so'yaṃ nidhānakumbho dambho nāṃa svabhāvagambhīraḥ &	saH-ayam niDAna-kumBaH damBaH nAMa svaBAva-gamBIraH &
   kuṭilaiḥ kuhakabhujaṃgaiḥ saṃvṛtavadanaḥ sthito loke // 1.41 //	kuwilEH kuhaka-BujaMgEH saMvRta-vadanaH sTitaH loke // 1.41 //
   māyārahasyamantraścintāmaṇirīpsitārthānām &	mAyA-rahasya-mantraH-cintAmaNiH-Ipsita-arTAnAm &
   dambhaḥ prabhāvakārī dhūrtānāṃ śrīvaśīkaraṇam // 1.42 //	damBaH praBAva-kArI DUrtAnAm SrI-vaSIkaraNam // 1.42 //
   matsyāsyevāpsu sadā dambhasya jñāyate gatiḥ kena &	matsya-asi-eva-apsu sadA damBasya jQAyate gatiH kena &
   nāsya karau na ca pādau na śiro durlakṣya evāsau // 1.43 //	na-asya karO na ca pAdO na SiraH durlakzya eva-asO // 1.43 //
   mantrabalena bhujaṃgā mugdhakuraṅgāśca kūṭayantreṇa &	mantra-balena BujaMgAH mugDa-kuraFgAH-ca kUwayantreNa &
   sthalajālena vihaṅgā gṛhyante mānavāśca dambhena // 1.44 //	sTala-jAlena vihaFgAH gRhyante mAnavAH-ca damBena // 1.44 //
   janahṛdayavipralambho māyāsthambho jagajjayārambhaḥ &	jana-hRdaya-vipralamBaH mAyA-sTamBaH jagat-jaya-AramBaH &
   jayati sadānupalambho māyārambhodayo dambhaḥ // 1.45 //	jayati sadA-anupalamBaH mAyA-AramBa-udayaH damBaH // 1.45 //
   satatāvartabhrānte duḥsahamāyāsahasrakuṭilāre &	satata-Avarta-BrAnte duHsaha-mAyA-sahasra-kuwila-are &
   mūlaṃ dambho nābhirvipulatare cakrikācakre // 1.46 //	mUlam damBaH nABiH-vipulatare cakrikA-cakre // 1.46 //
   nayananimīlanamūlaḥ suciraṃ snānārdracūlajalasiktaḥ &	nayana-nimIlana-mUlaH su-ciram snAna-Ardra-cUla-jala-siktaH &
   dambhataruḥ śucikusumaḥ sukhaśataśākhāśataiḥ phalitaḥ // 1.47 //	damBa-taruH SucikusumaH suKa-Sata-SAKA-SatEH PalitaH // 1.47 //
   vrataniyamairbakadambhaḥ saṃvṛtaniyamaiśca kūrmajo dambhaḥ &	vrata-niyamEH-bakadamBaH saMvRta-niyamEH-ca kUrma-jaH damBaH &
   nibhṛtagatinayananiyamairghoro mārjārajo dambhaḥ // 1.48 //	niBRta-gati-nayana-niyamEH-GoraH mArjAra-jaH damBaH // 1.48 //
   bakadambho dambhapatirdambhanarendraśca kūrmajo dambhaḥ &	bakadamBaH damBa-patiH-damBa-narendraH-ca kUrma-jaH damBaH &
   mārjāradambha eva prāpto dambheṣu cakravartitvam // 1.49 //	mArjAradamBaH eva prAptaH damBezu cakravarti-tvam // 1.49 //
   nīcanakhaśmaśrukacaścūlī jaṭilaḥ pralambakūrco vā &	nIca-naKa-SmaSrukacaH-cUlI jawilaH pralamba-kUrcaH vA &
   bahumṛttikāpiśācaḥ parimitabhāṣī prayatnapādatraḥ // 1.50 //	bahu-mRttikA-apiSAcaH parimita-BAzI prayatna-pAdatraH // 1.50 //
   sthūlagranthipavitrakapṛṣṭhārpitahemavallīkaḥ &	sTUla-granTi-pavitraka-pRzWa-arpita-hema-vallIkaH &
   kakṣārpitapatapallavaruddhabhujo bhāṇḍahasta iva // 1.51 //	kakza-arpita-pata-pallava-rudDa-BujaH BANxa-hastaH iva // 1.51 //
   aṅgulibhaṅgavikalpana vividhavivādapravṛttapāṇḍityaḥ &	aFguli-BaFga-vikalpana viviDa-vivAda-pravRtta-pANxityaH &
   japacapaloṣṭhaḥ sajane dhyānaparo nagararathyāsu // 1.52 //	japa-capa-lozWaH sa-jane DyAna-paraH nagara-raTyAsu // 1.52 //
   sābhinayāñcitaculakairācamanaiḥ suciramajjanaistīrthe &	sa-aBinaya-AQcita-culakEH-AcamanEH su-cira-majjanEH-tIrTe &
   saṃruddhasakalalokaḥ punaḥ punaḥ karṇakoṇasaṃsparśī // 1.53 //	saMrudDa-sakala-lokaH punar punar karNa-koNa-saMsparSI // 1.53 //
   sītkṛtadantaninādāveditahemantaduḥsahasnānaḥ &	sItkRta-danta-ninAda-Avedita-hemanta-duHsaha-snAnaH &
   vistīrṇatilakacarcāsūcitasarvopacārasurapūjaḥ // 1.54 //	vistIrNa-tilaka-carcA-sUcita-sarva-upacAra-sura-pUjaH // 1.54 //
   śirasā bibarti kusumaṃ vinipatitāṃ kākadṛṣṭim iva racayan &	SirasA bibarti kusumam vinipatitAm kAka-dRzwim iva racayan &
   evaṃ rūpaṃ puruṣo yo yaḥ sa sa dāmbhiko jñeyaḥ // 1.55 //	evam rUpam puruzaH yaH yaH sa sa dAmBikaH jQeyaH // 1.55 //
   nirguṇalokapraṇataḥsaguṇe stabdhaḥ svabandhuṣu dveṣī &	nirguNa-loka-praNataHsa-guNe stabDaH sva-banDuzu dvezI &
   purajanakaruṇābandhuḥ kīrtyārthī dāṃbhiko dhūrtaḥ // 1.56 //	pura-jana-karuNA-banDuH kIrtyA-arTI dAMBikaH DUrtaH // 1.56 //
   kāryopayogakāle praṇataśirāścāṭuśatakārī &	kArya-upayoga-kAle praNata-SirAH-cAwu-Sata-kArI &
   sabhrūbhaṅgo maunī kṛtakāryo dāmbhikaḥ krūraḥ // 1.57 //	sa-BrU-BaFgaH mOnI kRta-kAryaH dAmBikaH krUraH // 1.57 //
   stambhitavibudhasamṛddhirdaityo yo'bhūtpurā jambhaḥ &	stamBita-vibuDa-samRdDiH-dEtyaH yaH-aBUt-purA jamBaH &
   dambhaḥ so'yaṃ nivasati bhūmitale bhūtadeheṣu // 1.58 //	damBaH saH-ayam nivasati BUmi-tale BUta-dehezu // 1.58 //
   śucidambhaḥ śamadambhaḥ snātakadambhaḥ samādhidambhaśca &	SucidamBaH SamadamBaH snAta-kadamBaH samADi-damBaH-ca &
   niḥspṛhadambhasya tulāṃ yānti tu naite śatāṃśena // 1.59 //	niHspRhadamBasya tulAm yAnti tu na-ete Sata-aMSena // 1.59 //
   śaucācāravivādī mṛtkṣayakārī svabāndhavasparśī &	SOca-AcAra-vivAdI mRd-kzaya-kArI sva-bAnDava-sparSI &
   śucidambhena jano'yaṃ viśvāmitratvamāyāti // 1.60 //	Suci-damBena janaH-ayam viSvAmitra-tvam-AyAti // 1.60 //
   saṃhṛtabahuvidhasattvo niḥkṣepadraviṇavāribahutṛṣṇaḥ &	saMhRta-bahuviDa-sattvaH niHkzepa-draviNa-vAri-bahu-tRzNaH &
   satatamahiṃsādambho vaḍavāgniḥ sarvabhakṣo'yam // 1.61 //	satatam-ahiMsAdamBaH vaxavAgniH sarva-BakzaH-ayam // 1.61 //
   muṇḍo jaṭilo nagnaśchatrī daṇḍī kaṣāyacārī vā &	muNxaH jawilaH nagnaH-CatrI daNxI kazAya-cArI vA &
   bhasmasmeraśarīro diśi diśi bhogī vijṛmbhate dambhaḥ // 1.62 //	Basma-smera-SarIraH diSi diSi BogI vijRmBate damBaH // 1.62 //
   khalvāṭaḥ sthūlavapuḥ śuṣkatanurmunisamānarūpo vā &	KalvAwaH sTUla-vapuH Suzka-tanuH-muni-samAna-rUpaH vA &
   śāṭakaveṣṭitaśīrṣaścaityonnataśikharaveṣṭano vāpi // 1.63 //	SAwaka-vezwita-SIrzaH-cEtya-unnata-SiKara-vezwanaH vA-api // 1.63 //
   lobhaḥ pitātivṛddho jananī māyā sahodaraḥ kūṭaḥ &	loBaH pitA-ativRdDaH jananI mAyA sahodaraH kUwaH &
   kuṭilākṛtiśca gṛhiṇī putro dambhasya huṃkāraḥ // 1.64 //	kuwila-AkRtiH-ca gRhiNI putraH damBasya huMkAraH // 1.64 //
   bhagavānpurā svayaṃbhūḥ kṛtvā bhuvanāni bhūtasargaṃ ca &	BagavAn-purA svayaMBUH kRtvA BuvanAni BUta-sargam ca &
   viratavyāpāratayā suciraṃ cintānvitastasthau // 1.65 //	virata-vyApAra-tayA su-ciram cintA-anvitaH-tasTO // 1.65 //
   dṛṣṭvā sa martyaloke divyadṛśā mānuṣānnirālambān &	dRzwvA sa martya-loke divya-dRSA mAnuzAt-nirAlambAn &
   ārjavayogaviśeṣādaprāptadhanādisaṃbhogān // 1.66 //	Arjava-yoga-viSezAt-aprApta-Dana-Adi-saMBogAn // 1.66 //
   mīlitanayanaḥ kṣaipraṃ sthitvā māyāmaye samādhāne &	mIlita-nayanaH kzEpram sTitvA mAyA-maye samADAne &
   asṛjannṛṇāṃ (nṝṇāṃ?) vibhūtyai dambhaṃ saṃbhāvanādhāram // 1.67 //	asRjat-nRNAm (nLNAM?) viBUtyE damBam saMBAvanA-DAram // 1.67 //
   bibhrāṇaḥ kuśapūlīṃ pustakamāle kamaṇḍaluṃ śūnyam &	biBrANaH kuSa-pUlIm pustaka-mAle kamaNxalum SUnyam &
   nijahṛdayakuṭilaśṛṅgaṃ daṇḍaṃ kṛṣṇājinaṃ khanitraṃ ca // 1.68 //	nija-hRdaya-kuwila-SRFgam daNxam kRzNAjinam Kanitram ca // 1.68 //
   sthūlatarakuśapavitrakalāñchitakarṇaḥ pavitrapāṇiśca &	sTUlatara-kuSa-pavitra-kalAQCita-karNaH pavitra-pANiH-ca &
   suvyaktamuṇḍamastakakuśaveṣṭitacūlamūlasitakusumaḥ // 1.69 //	su-vyakta-muNxa-mastaka-kuSa-vezwita-cUla-mUla-sita-kusumaH // 1.69 //
   kāṣṭhastabdhagrīvo japacapaloṣṭhaḥ samādhilīnākṣaḥ &	kAzWa-stabDagrIvaH japa-capa-lozWaH samADi-lInAkzaH &
   rudrākṣavalayahasto mṛtparipūrṇaṃ vahanpātram // 1.70 //	rudrAkza-valaya-hastaH mRd-paripUrNam vahan-pAtram // 1.70 //
   nayanāñcalaiḥ sakopairbhrukuṭīhuṃkāravadanasaṃjñābhiḥ &	nayana-aQcalEH sa-kopEH-BrukuwI-huMkAra-vadana-saMjQABiH &
   bahuvidhakadarthanābhiḥ kathitākhilahṛdayavāñchito maunī // 1.71 //	bahuviDa-kadarTanABiH kaTita-aKila-hRdaya-vAQCitaH mOnI // 1.71 //
   rakṣanparasaṃsparśaṃ śaucārthī brahmaloke'pi &	rakzan-para-saMsparSam SOca-arTI brahma-loke-api &
   dambhaḥ puro'sya tasthāvutthita evāsanākāṅkṣī // 1.72 //	damBaH puraH-asya tasTO=-utTitaH eva-Asana-AkAFkzI // 1.72 //
   ākalpena sumahatā sahasāsya vaśīkṛtāḥ paraṃ tena &	Akalpena su-mahatA sahasA-asya vaSIkRtAH param tena &
   saptarṣayo'pi tasmai praṇatāstasthuḥ kṛtāñjalayaḥ // 1.73 //	saptarzayaH-api tasmE praNatAH-tasTuH kRtAQjalayaH // 1.73 //
   taṃ dṛṣṭvā parameṣṭhī līlākṛtasakalasargavargo'pi &	tam dRzwvA paramezWI lIlA-kRta-sakala-sarga-vargaH-api &
   gauravavismayaharṣairniḥspandāndolitastasthau // 1.74 //	gOrava-vismaya-harzEH-niHspanda-An-dolitaH-tasTO // 1.74 //
   tasyātitīvraniyamādgraste'gastye'tivismayeneva &	tasya-ati-tIvra-niyamAt-graste-agastye-ati-vismayena-iva &
   alpatapovratalajjākuñcitapṛṣṭhe vasiṣṭhe ca // 1.75 //	alpa-tapaH-vrata-lajjA-kuQcita-pRzWe vasizWe ca // 1.75 //
   atisaralanijamunivrataparigatakutse ca kūṇite kautse &	ati-sarala-nija-muni-vrata-parigata-kutse ca kUNite kOtse &
   ḍambararahitātmataponirādare nārade vihite // 1.76 //	xambara-rahita-Atma-tapaH-niH-Adare nArade vihite // 1.76 //
   nijajānusaṃdhiśikhare jamadagnau magnavadane ca &	nija-jAnu-saMDi-SiKare jamadagnO magna-vadane ca &
   traste viśvāmitre valitagule gālavebhṛgau magne // 1.77 //	traste viSvAmitre valita-gule gAlaveBRgO magne // 1.77 //
   sucirotthitamatikopādāsanakamale niviṣṭadṛṣṭiṃ ca &	sucira-utTitam-ati-kopAda-Asana-kamale nivizwa-dRzwim ca &
   śūlaprotamivāgre niḥspandamamandagarvagurugātram // 1.78 //	SUla-protam-iva-agre niHspandam-amanda-garva-guru-gAtram // 1.78 //
   jñātvā tamāsanārthinamavadaddevaścaturmukhaḥ prītyā &	jQAtvA tam-Asana-arTinam-avadat-devaH-caturmuKaH prItyA &
   vikasannijadaśānarucā vihasanniva vāhanaṃ haṃsaṃ // 1.79 //	vikasat-nija-daSAna-rucA vihasan=-iva vAhanam haMsam // 1.79 //
   upaviśa putra mamāṅke niyamena mahīyasāticitreṇa &	upaviSa putra mama-aFke niyamena mahIyasA-ati-citreNa &
   arho'si guṇagaṇodgatagauravasaṃvādinānena // 1.80 //	arhaH-asi guNa-gaNa-udgata-gOrava-saMvAdinA-anena // 1.80 //
   ityukto viśvasṛjā tasyāṅkamaśaṅkayā sasaṃkocaḥ &	iti-uktaH viSvasRjA tasya-aFkam-aSaFkayA sa-saMkocaH &
   abhyukṣya vārimuṣṭyā kṛcchreṇopāviśaddambhaḥ // 1.81 //	aByukzya vAri-muzwyA kRcCreNa-upAviSat-damBaH // 1.81 //
   dambha uvāca // noccairvācyamavaśyaṃ yadi vācyaṃ hastapadmena &	damBaH uvAca // na-uccEs-vAcyam-avaSyam yadi vAcyam hasta-padmena &
   ācchādya vaktrarandhraṃ spṛṣṭo na syāṃ yathāsyavātāṃśaiḥ // 1.82 //	AcCAdya vaktra-ranDram spRzwaH na syAm yaTA-Asya-vAta-aMSEH // 1.82 //
   tattasya śaucamatulaṃ dṛṣṭvā smerānano brahmā &	tat-tasya SOcam-atulam dRzwvA smera-AnanaH brahmA &
   dambho'sīti jagāda prāyo hastāgramākampya // 1.83 //	damBaH-asi-iti jagAda prAyas hasta-agram-Akampya // 1.83 //
   uttiṣṭhāḷsakalajalanidhiparikhāvalimekhalāṃ mahīmakhilām &	uttizWA?-sakala-jalaniDi-pariKA-Avali-meKalAm mahIm-aKilAm &
   avatīrya bhuṅkṣvā bhogānvibudhairapi tattvato na vijñātaḥ // 1.84 //	avatIrya BuFkzvA BogAn-vibuDEH-api tattvataH na vijQAtaH // 1.84 //
   ityādarādvisṛṣṭo vidhinā saṃsārasāgaragatānām &	iti-AdarAt-visRzwaH viDinA saMsAra-sAgara-gatAnAm &
   kaṇṭḥe śīlāṃ nibadhnanmartyānāmavatatāra mahīm // 1.85 //	kaNwHe SIlAm nibaDnat-martyAnAm-avatatAra mahIm // 1.85 //
   atha martyalokametya bhrāntvā dambho vanāni nagarāṇi &	aTa martya-lokam-etya BrAntvA damBaH vanAni nagarANi &
   viniveśya gauḍaviṣaye nijajayaketuṃ jagāma diśaḥ // 1.86 //	viniveSya gOxa-vizaye nija-jaya-ketum jagAma diSaH // 1.86 //
