   akhyāter jīvatā param UtAjp_21d	aKyAteH jIvatA param UtAju-_21d
   tato bhede tu bhāsasya UtAjp_27a	tatas Bede tu BAsasya UtAju-_27a
   tat prāṇādi prameyaṃ syān UtAjp_19c	tat prANa-Adi prameyam syAt UtAjp_19c
   tatrāpy arthakriyā siddha- UtAjp_08a	tatra-api arTa-kriyA sidDa UtAju-_08a
   tadakhyātimayaṃ hy etaj UtAjp_24c	tat-aKyAti-mayam hi etat UtAjp_24c
   tadadvayamayaṃ jagat UtAjp_27d	tat-advaya-m-ayam jagat UtAjp_27d
   tadapekṣāṃ vinā bhāvā- UtAjp_05c	tad-apekzAm vinA BAvA UtAjp_05c
   tadātmanaiva tasya syāt UtAjp_21a	tad-AtmanA-eva tasya syAt UtAjp_21a
   tasyāhaṃbhāvabhāginaḥ UtAjp_26b	tasya-ahaMBAva-BAginaH UtAjp_26b
   tāvatā ca prayojanam UtAjp_04d	tAvatA ca prayojanam UtAjp_04d
   tulyaiva prāgvad ātmani UtAjp_09d	tulyA-eva prAgvat Atmani UtAjp_09d
   tenoktam pratyabhijñāyāṃ UtAjp_27c	tena-uktam pratyaBijQAyAm UtAjp_27c
   dvidhā sa eṣa evātmā UtAjp_16a	dviDA saH ezaH eva-AtmA UtAjp_16a
   na cāpy avyatirekātma- UtAjp_18a	na ca-api avyatireka-Atma UtAjp_18a
   na caivānubhavo 'py asti UtAjp_14a	na ca-eva-anuBavaH api asti UtAjp_14a
   na pramātānyato bhramāt UtAjp_19d	na pramAtA-ani-atas BramAt UtAju-_19d
   na siddho 'prathanād eva UtAjp_19a	na sidDaH apraTanAt eva UtAjp_19a
   nārthavyavasthā prāṇādāv UtAjp_22a	na-arTa-vyavasTA prANa-AdO UtAjp_22a
   nāsatas tu viśiṣyate UtAjp_07d	na-asataH tu viSizyate UtAju-_07d
   nāsty asāv iti niścayaḥ UtAjp_01d	na-asti asO iti niScayaH UtAju-_01d
   nirviśeṣo nijātmani UtAjp_06d	nirviSezaH nija-Atmani UtAjp_06d
   niścayo 'nyajaḍātmanoḥ UtAjp_12b	niScayaH anya-jaxa-AtmanoH UtAjp_12b
   naitat svarūpaṃ spṛśati UtAjp_02c	na-etat svarUpam spRSati UtAjp_02c
   paramātmani sā sthitā UtAjp_20d	paramAtmani sA sTitAH UtAju-_20d
   paramātmā tv akhaṇḍitaḥ UtAjp_16d	paramAtmA tu aKaNxitaH UtAju-_16d
   parāpekṣitayā naika- UtAjp_03c	para-apekzitayA na-eka UtAjp_03c
   pādhisaṃbhedam āgataḥ UtAjp_07b	pADi-saMBedam AgataH UtAjp_07b
   puryaṣṭakaniyantrite UtAjp_20b	puryazwaka-niyantrite UtAjp_20b
   prakāśasyātmaviśrāntir UtAjp_22c	prakASasya-Atma-viSrAntiH UtAjp_22c
   prakāśasyaiva santy amī UtAjp_13b	prakASasya-eva santi amI UtAjp_13b
   prakāśe 'nyasya vastunaḥ UtAjp_11b	prakASe anyasya vastunaH UtAjp_11b
   prakhyopākhyā ca sattā yad UtAjp_02a	praKyA-upAKyA ca sattA yat UtAjp_02a
   prakhyopākhyāviṣayatāpy UtAjp_03a	praKyA-upAKyA-vizaya-tA-api UtAjp_03a
   pratiṣṭhātmakatāṃ gacched UtAjp_11c	pratizWA-Atmaka-tAm gacCet UtAjp_11c
   pratiṣṭhā saṃvidāśrayā UtAjp_08d	pratizWA saMvid-ASrayAH UtAju-_08d
   pratiṣṭhāspadatām iyāt UtAjp_10d	pratizWA-AspadatAm iyAt UtAjp_10d
   prāṇādinā niruddho 'ṇuḥ UtAjp_16c	prANa-AdinA nirudDaH aNuH UtAjp_16c
   bhāti paryantavartinyāṃ UtAjp_18c	BAti paryanta-vartinyAm UtAjp_18c
   bhāvayor aviśiṣṭatā UtAjp_05d	BAvayoH aviSizwa-tA UtAju-_05d
   bhāvavyavasthā yan niṣṭhā UtAjp_26a	BAva-vyavasTAH yat nizWA UtAjp_26a
   bhāvābhāvau tataḥ punaḥ UtAjp_04b	BAva-aBAvO tatas punar UtAjp_04b
   bhāsanād adhikaṃ jaḍam UtAjp_18d	BAsanAt aDikam jaxam UtAju-_18d
   bhinnābhinnaviniścayam UtAjp_14b	Binna-aBinna-viniScayam UtAjp_14b
   bhūmiḥ sarvārthasaṃvidām UtAjp_17b	BUmiH sarva-arTa-saMvidAm UtAjp_17b
   mātṛtattvam anādi tat UtAjp_25d	mAtR-tattvam anAdi tat UtAjp_25d
   mā bhūd viśeṣaḥ prakhyādi- UtAjp_04a	mA BUt viSezaH praKyAdi UtAjp_04a
   māyābhidās tacchakter eva UtAjp_24a	mAyA-aBidAH tad-SakteH eva UtAjp_24a
   mito 'parimitas tathā UtAjp_16b	mitaH aparimitaH taTA UtAjp_16b
   muktvānvayasya prakāśasya UtAjp_14c	muktvA-anvayasya prakASasya UtAjp_14c
   mukhyam īśvaratāpi ca UtAjp_23d	muKyam ISvara-tA-api ca UtAjp_23d
   yathā sadasatām naiva UtAjp_01a	yaTA sat-asatAm na-eva UtAjp_01a
   yad asattā viparyayaḥ UtAjp_02b	yat asattA viparyayaH UtAjp_02b
   yady apy arthasthitiḥ prāṇa- UtAjp_20a	yadi api arTa-sTitiH prANa UtAjp_20a
   yāvatārthakriyāṃ hi san UtAjp_06b	yAvatA-arTa-kriyAm hi san UtAjp_06b
   yā svasvarūpe viśrāntir UtAjp_15c	yA sva-svarUpe viSrAntiH UtAjp_15c
   rūpatve sattvalaṅghanāt UtAjp_03d	rUpa-tve sattva-laFGanAt UtAjp_03d
   rūpā cet tad asāv api UtAjp_09b	rUpA ced tat asO api UtAjp_09b
   vastuno jñātṛgāmy adaḥ UtAjp_02d	vastunaH jQAtR-gAmI adaH UtAju-_02d
   vimarśarahitātmanaḥ UtAjp_14d	vimarSa-rahita-AtmanaH UtAju-_14d
   vimarśasya kṛtārthatā UtAjp_15b	vimarSasya kRtArTa-tA UtAjp_15b
   vimarśaḥ so 'ham ity ayam UtAjp_15d	vimarSaH saH aham iti ayam UtAjp_15d
   vimarśātmany ahaṃvidi UtAjp_18b	vimarSa-Atmani ahaMvidi UtAjp_18b
   viśeṣo 'sti nijātmani UtAjp_01b	viSezaH asti nija-Atmani UtAjp_01b
   vyatireketarābhyām hi UtAjp_12a	vyatireka-itarAByAm hi UtAjp_12a
   vyavasthitiḥ pratiṣṭhā ca UtAjp_12c	vyavasTitiH pratizWA ca UtAjp_12c
   vyāpitvam anusaṃdhānaṃ UtAjp_26c	vyApi-tvam anusaMDAnam UtAjp_26c
   ṣaktā sattocitā bhavet UtAjp_05b	zaktA satta-ucitA Bavet UtAjp_05b
   sattākārthe na varṇitā UtAjp_08b	sattAkA-arTe na varNitA UtAjp_08b
   sann arthaḥ syāt svarūpeṇa UtAjp_07c	san arTaH syAt sva-rUpeNa UtAjp_07c
   samam evānayos tena UtAjp_08c	samam eva-anayoH tena UtAjp_08c
   sarvāpekṣānirodhataḥ UtAjp_23b	sarva-apekzA-niroDataH UtAjp_23b
   saṃvid apy aparāmarśa- UtAjp_09a	saMvid api aparAmarSa UtAjp_09a
   sādhitā pratyabhijñāyām UtAjp_21c	sADitA pratyaBijQAyAm UtAjp_21c
   sā proktā sarvasaṃvidām UtAjp_25b	sA proktA sarva-saMvidAm UtAjp_25b
   siddhir nirvṛttir ucyate UtAjp_12d	sidDiH nirvRttiH ucyate UtAju-_12d
   siddhyaty eva viśeṣo 'tra UtAjp_04c	sidDyati eva viSezaH atra UtAjp_04c
   saivaṃ bhūtātmanā svenāpy UtAjp_10a	sA-evam BUtAtmanA svena-api UtAjp_10a
   svasaṃvedanaparyāya- UtAjp_25c	sva-saMvedana-paryAya UtAjp_25c
   svātantryam atha kartṛtvaṃ UtAjp_23c	svAtantryam aTa kartR-tvam UtAjp_23c
   svātmanaḥ svaparātmabhiḥ UtAjp_13d	sva-AtmanaH sva-para-AtmaBiH UtAju-_13d
