   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   adṛśyata sthāvararājakanyā Ks_3.52d	adRSyata sTAvara-rAja-kanyA KH-_3.52d
   adṛṣṭakusumaṃ phalam Ks_6.54b	adRzwa-kusumam Palam KH-_6.54b
   adya tūccaistaraṃ tasmāt Ks_6.19c	adya tu-uccEstaram tasmAt Ks_6.19c
   adyaprabhṛti bhūtānām Ks_6.56a	adya-praBRti BUtAnAm KH-_6.56a
   adyaprabhṛty avanatāṅgi tavāsmi dāsaḥ Ks_5.86a	adya-praBRti avanata-aFgi tava-asmi dAsaH KH-_5.86a
   adrirājatanaye tapasvinaḥ Ks_8.47a	adrirAja-tanaye tapasvinaH KH-_8.47a
   adriḥ sutāṃ grāhayituṃ śaśāka Ks_1.52b	adriH sutAm grAhayitum SaSAka KH-_1.52b
   adhaḥ kathaṃ cid dhṛtabhūmibhāgaḥ Ks_3.59b	aDas kaTam cit DRta-BUmi-BAgaH KH-_3.59b
   adhaḥpravarttitāśvena Ks_6.7a	aDas-pravarttita-aSvena KH-_6.7a
   adhigamyo 'smi śuddhaye Ks_6.56b	aDigamyaH asmi SudDaye KH-_6.56b
   adhīraviprekṣitam āyatākṣyā Ks_1.46b	aDIra-viprekzitam Ayata-akzyA KH-_1.46b
   adho vivasvān parivartamānaḥ Ks_1.16b	aDas vivasvAn parivartamAnaH KH-_1.16b
   adhyaśeta śayanaṃ priyāsakhaḥ Ks_8.82c	aDyaSeta Sayanam priyA-saKaH KH-_8.82c
   adhyāpitasyośanasāpi nītiṃ Ks_3.6a	aDyApitasya-uSanasA-api nItim KH-_3.6a
   adhvaryavaḥ pūrvavṛtā mayeti Ks_7.47d	aDvaryavaH pUrva-vRtA mayA-iti KH-_7.47d
   adhvānam adhvāntavikāralaṅghyas Ks_7.48c	aDvAnam aDva-anta-vikAra-laFGyaH KH-_7.48c
   anaghāpi hi saṃśrayadrume Ks_4.31c	anaGA-api hi saMSraya-drume KH-_4.31c
   anaṅgalekhakriyayopayogam Ks_1.7d	anaFga-leKa-kriyayA-upayogam KH-_1.7d
   anantapuṣpasya madhor hi cūte Ks_1.27c	anantapuzpasya maDoH hi cUte Ks_1.27c
   anantaratnaprabhavasya yasya Ks_1.3a	ananta-ratna-praBavasya yasya Ks_1.3a
   ananyadṛṣṭiḥ savitāram aikṣata Ks_5.20d	ananya-dRzwiH savitAram Ekzata KH-_5.20d
   ananyanārīkamanīyam aṅkam Ks_1.37d	ananya-nArI-kamanIyam aFkam KH-_1.37d
   ananyabhājaṃ patim āpnuhīti Ks_3.63a	ananya-BAjam patim Apnuhi-iti KH-_3.63a
   ananyasādhāraṇam eva karma Ks_3.19d	ananya-sADAraNam eva karma KH-_3.19d
   anabhijñās tamisrāṇāṃ Ks_6.43c	anaBijQAH tamisrANAm Ks_6.43c
   anarghyam arghyeṇa tam adrināthaḥ Ks_1.58a	anarGyam arGyeNa tam adri-nATaH KH-_1.58a
   anāvṛttibhayaṃ yasya Ks_6.77c	anAvRtti-Bayam yasya Ks_6.77c
   anāsavākhyaṃ karaṇaṃ madasya Ks_1.31b	anAsava-AKyam karaNam madasya KH-_1.31b
   anāsthā bāhyavastuṣu Ks_6.63d	anAsTAH bAhya-vastuzu KH-_6.63d
   anukūlayatīndro 'pi Ks_2.39c	anukUlayati-indraH api KH-_2.39c
   anugarjitasaṃdigdhāḥ Ks_6.40c	anugarjita-saMdigDAH KH-_6.40c
   anugrahaṃ saṃsmaraṇapravṛttam Ks_3.3c	anugraham saMsmaraNa-pravRttam Ks_3.3c
   anudgīrṇasurāyudham Ks_2.20b	anudgIrNa-surAyuDam KH-_2.20b
   anuprayātā vanadevatābhyām Ks_3.52c	anuprayAtAH vana-devatAByAm KH-_3.52c
   anekaśaḥ kinnararājakanyakā Ks_5.56c	anekaSas kinnara-rAja-kanyakA KH-_5.56c
   anena dagdhaṃ kusumāyudhasya Ks_7.67b	anena dagDam kusumAyuDasya KH-_7.67b
   anena dharmaḥ saviśeṣam adya me Ks_5.38a	anena DarmaH sa-viSezam adya me KH-_5.38a
   anena saṃbandham upetya diṣṭyā Ks_7.68a	anena saMbanDam upetya dizwyA KH-_7.68a
   antarātmāsi dehinām Ks_6.21d	antarAtmA-asi dehinAm KH-_6.21d
   antargatam apāstaṃ me Ks_6.60c	antargatam apAstam me KH-_6.60c
   antardadhe bhūtapatiḥ sabhūtaḥ Ks_3.74d	antardaDe BUtapatiH sa-BUtaH KH-_3.74d
   antarniviṣṭāmalapiṅgatāram Ks_7.33b	antar-nivizwa-amala-piFga-tAram KH-_7.33b
   antaścarāṇāṃ marutāṃ nirodhān Ks_3.48c	antar-carANAm marutAm niroDAn KH-_3.48c
   antaḥpuraṃ caikakulopameyam Ks_7.2d	antaHpuram ca-eka-kula-upameyam KH-_7.2d
   anyonyam utpīḍayad utpalākṣyāḥ Ks_1.40a	anyonyam utpIxayat utpala-akzyAH KH-_1.40a
   anyonyalolāni vilocanāni Ks_7.75d	anyonya-lolAni vilocanAni KH-_7.75d
   anyonyaśobhājananād babhūva Ks_1.42c	anyonya-SoBA-jananAt baBUva KH-_1.42c
   anyonyasaṃsaktam ahastriyāmam Ks_7.79d	anyonya-saMsaktam ahar-triyAmam KH-_7.79d
   anvabhūt suratamardanakṣamān Ks_8.22d	anvaBUt surata-mardana-kzamAn KH-_8.22d
   anvarajyata varas tathaiva tām Ks_8.16b	anvarajyata varaH taTA-eva tAm KH-_8.16b
   anvāsta ity apsarasāṃ mukhebhyaḥ Ks_3.17c	anvAste iti apsarasAm muKeByaH KH-_3.17c
   apameghodayaṃ varṣam Ks_6.54a	apameGa-udayam varzam Ks_6.54a
   aparṇayā pelavayāpi taptam Ks_7.65b	aparNayA pelavayA-api taptam KH-_7.65b
   apavādair ivotsargāḥ Ks_2.27c	apavAdEH iva-utsargAH KH-_2.27c
   apaviddhagado bāhur Ks_2.22c	apavidDa-gadaH bAhuH KH-_2.22c
   apaśyatām apsarasāṃ muhūrtaṃ Ks_7.91c	apaSyatAm apsarasAm muhUrtam Ks_7.91c
   apaśyad anyaṃ na vidhiṃ vicinvatī Ks_5.59b	apaSyat anyam na viDim vicinvatI KH-_5.59b
   apāṅgayoḥ kevalam asya dīrghayoḥ Ks_5.21c	apAFgayoH kevalam asya dIrGayoH KH-_5.21c
   apām ivādhāram anuttaraṅgam Ks_3.48b	apAm iva-ADAram anuttaraFgam KH-_3.48b
   api kriyārthaṃ sulabhaṃ samitkuśaṃ Ks_5.33a	api kriyA-arTam sulaBam samiD-kuSam KH-_5.33a
   api tvadāvarjitavārisaṃbhṛtaṃ Ks_5.34a	api tvad-Avarjita-vAri-saMBRtam KH-_5.34a
   api prasannaṃ hariṇeṣu te manaḥ Ks_5.35a	api prasannam hariNezu te manaH KH-_5.35a
   api vyāptadigantāni Ks_6.59c	api vyApta-diS-antAni KH-_6.59c
   api śayanasakhībhyo dattavācaṃ kathaṃcit Ks_7.95c	api Sayana-saKIByaH datta-vAcam kaTaMcid Ks_7.95c
   api svaśaktyā tapasi pravartase Ks_5.33c	api sva-SaktyA tapasi pravartase KH-_5.33c
   apṛcchad avyañjitaharṣalakṣaṇaḥ Ks_5.62d	apRcCat avyaQjita-harza-lakzaNaH KH-_5.62d
   apekṣate pratyayam uttamaṃ tvāṃ Ks_3.18c	apekzate pratyayam uttamam tvAm KH-_3.18c
   apekṣyate sādhujanena vaidikī Ks_5.73c	apekzyate sADu-janena vEdikI Ks_5.73c
   apaurādaranirmitā Ks_6.41d	apOra-Adara-nirmitA KH-_6.41d
   apy anyapuṣṭā pratikūlaśabdā Ks_1.45c	api anya-puzwA pratikUla-SabdA KH-_1.45c
   apy aprasiddhaṃ yaśase hi puṃsām Ks_3.19c	api aprasidDam yaSase hi puMsAm Ks_3.19c
   apy avastuni kathāpravṛttaye Ks_8.6a	api avastuni kaTA-pravRttaye KH-_8.6a
   apragalbhayavasūcikomalāś Ks_8.62c	apragalBa-yavasUci-komalAH Ks_8.62c
   apratarkyavidhiyoganirmitām Ks_8.78c	apratarkya-viDi-yoga-nirmitAm KH-_8.78c
   aprameyagatinā kakudmatā Ks_8.21d	aprameya-gatinA kakudmatA KH-_8.21d
   abhijñāś chedapātānāṃ Ks_2.41c	aBijQAH Ceda-pAtAnAm KH-_2.41c
   abhidhāyotthitayā tayā puraḥ Ks_4.3b	aBiDAya-utTitayA tayA puras KH-_4.3b
   abhilāṣam udīritendriyaḥ Ks_4.41a	aBilAzam udIrita-indriyaH KH-_4.41a
   abhiśaptaḥ phalam etad anvabhūt Ks_4.41d	aBiSaptaH Palam etat anvaBUt KH-_4.41d
   abhyaṅganepathyam alañcakāra Ks_7.7d	aByaFga-nepaTyam alaQcakAra KH-_7.7d
   abhyarthanābhaṅgabhayena sādhur Ks_1.52c	aByarTanA-BaFga-Bayena sADuH KH-_1.52c
   abhyasyanti taṭāghātaṃ Ks_2.50c	aByasyanti tawa-AGAtam KH-_2.50c
   abhyunnatāṅguṣṭhanakhaprabhābhir Ks_1.33a	aByunnata-aFguzWa-naKa-praBABiH KH-_1.33a
   amaṅgalābhyāsaratiṃ vicintya taṃ Ks_5.65c	amaFgala-aByAsa-ratim vicintya tam Ks_5.65c
   amī ca katham ādityāḥ Ks_2.24a	amI ca kaTam AdityAH KH-_2.24a
   amī hi vīryaprabhavaṃ bhavasya Ks_3.15a	amI hi vIrya-praBavam Bavasya KH-_3.15a
   amunā nanu pārśvavartinā Ks_4.29a	amunA nanu pArSva-vartinA KH-_4.29a
   amunaiva kaṣāyitastanī Ks_4.34a	amunA-eva kazAyita-stanI KH-_4.34a
   amṛgyam aiśvaryasukhaṃ navaṃ vayas Ks_5.41c	amRgyam ESvarya-suKam navam vayaH Ks_5.41c
   ambhasām oghasaṃrodhaḥ Ks_2.25c	amBasAm oGa-saMroDaH KH-_2.25c
   ayaskāntena lohavat Ks_2.59d	ayaskAntena loha-vat KH-_2.59d
   ayaṃ janaḥ praṣṭumanās tapodhane Ks_5.40c	ayam janaH prazwu-manAH tapoDane Ks_5.40c
   ayācatāraṇyanivāsam ātmanaḥ Ks_5.6c	ayAcata-araNya-nivAsam AtmanaH KH-_5.6c
   ayācitāraṃ na hi devadevam Ks_1.52a	ayAcitAram na hi devadevam KH-_1.52a
   ayācitopasthitam ambu kevalaṃ Ks_5.22a	ayAcita-upasTitam ambu kevalam KH-_5.22a
   ayi jīvitanātha jīvasīty Ks_4.3a	ayi jIvita-nATa jIvasi-iti KH-_4.3a
   ayi saṃprati dehi darśanaṃ Ks_4.28a	ayi saMprati dehi darSanam KH-_4.28a
   ayīdam evaṃ parihāsa ity umām Ks_5.62c	ayi-idam evam parihAsaH iti umAm Ks_5.62c
   ayuktarūpaṃ kim ataḥ paraṃ vada Ks_5.69a	ayukta-rUpam kim atas param vada KH-_5.69a
   araṇyabījāñjalidānalālitās Ks_5.15a	araNya-bIja-aQjali-dAna-lAlitAH KH-_5.15a
   ariviprakṛtair devaiḥ Ks_6.27c	ari-viprakRtEH devEH Ks_6.27c
   arūpahāryaṃ madanasya nigrahāt Ks_5.53c	arUpa-hAryam madanasya nigrahAt Ks_5.53c
   arthino munayaḥ prāptaṃ Ks_6.88c	arTinaH munayaH prAptam Ks_6.88c
   artho 'yam arthāntarabhāvya eva Ks_3.18b	arTaH ayam arTa-antara-BAvyaH eva KH-_3.18b
   ardhācitā satvaram utthitāyāḥ Ks_7.61a	arDa-AcitA sa-tvaram utTitAyAH KH-_7.61a
   ardhopabhuktena bisena jāyāṃ Ks_3.37c	arDa-upaBuktena bisena jAyAm KH-_3.37c
   arhanti tejāṃsy aparāṇi havyam Ks_1.51d	arhanti tejAMsi aparANi havyam KH-_1.51d
   alakām ativāhyeva Ks_6.37a	alakAm ati-vAhya-iva KH-_6.37a
   alaktakāṅkāni padāni pādayor Ks_5.68c	alaktaka-aFkAni padAni pAdayoH Ks_5.68c
   alaktakāṅkāṃ padavīṃ tatāna Ks_7.58d	alaktaka-aFkAm padavIm tatAnaH KH-_7.58d
   alabhyaśokābhibhaveyam ākṛtir Ks_5.43a	alaBya-Soka-aBiBavA-iyam AkRtiH KH-_5.43a
   alaṃ dagdhuṃ hi tattapaḥ Ks_2.56d	alam dagDum hi tad-tapaH KH-_2.56d
   alaṃ vivādena yathā śrutas tvayā Ks_5.82a	alam vivAdena yaTA SrutaH tvayA KH-_5.82a
   alipaṅktir anekaśas tvayā Ks_4.15a	ali-paFktiH anekaSas tvayA KH-_4.15a
   alokasāmānyam acintyahetukaṃ Ks_5.75c	aloka-sAmAnyam acintya-hetukam KH-_5.75c
   alpam antaram analpatāṃ gatam Ks_8.32d	alpam antaram analpa-tAm gatam KH-_8.32d
   avagamya kathīkṛtaṃ vapuḥ Ks_4.13a	avagamya kaTIkRtam vapuH KH-_4.13a
   avacitabalipuṣpā vedisaṃmārgadakṣā Ks_1.60a	avacita-bali-puzpA vedi-saMmArga-dakzA KH-_1.60a
   avataṃsotpalatāḍanāni vā Ks_4.8d	avataMsa-utpala-tAxanAni vA KH-_4.8d
   avaterur jaṭābhārair Ks_6.48c	avateruH jawA-BArEH KH-_6.48c
   avadhānapare cakāra sā Ks_4.2a	avaDAna-pare cakAra sA KH-_4.2a
   avastunirbandhapare kathaṃ nu te Ks_5.66a	avastu-nirbanDa-pare kaTam nu te KH-_5.66a
   avāpyate vā katham anyathā dvayaṃ Ks_5.2c	avApyate vA kaTam anyaTA dvayam Ks_5.2c
   avālambiṣyathā na cet Ks_6.68d	avAlambizyaTAH na ced KH-_6.68d
   aviddhamuktāphalabhakticitre Ks_7.10b	avidDa-muktAPala-Bakti-citre KH-_7.10b
   avibhajya paratra taṃ mayā Ks_4.37c	aviBajya paratra tam mayA KH-_4.37c
   aviṣahyavyasanapradhūṣitām Ks_4.30d	avizahya-vyasana-praDUzitAm KH-_4.30d
   avṛṣṭisaṃrambham ivāmbuvāham Ks_3.48a	avRzwi-saMramBam iva-ambuvAham KH-_3.48a
   avedanājñaṃ kuliśakṣatānām Ks_1.20d	avedana-AjQam kuliSa-kzatAnAm KH-_1.20d
   avaimi te sāram ataḥ khalu tvāṃ Ks_3.13a	avEmi te sAram atas Kalu tvAm KH-_3.13a
   avaimi pūtam ātmānaṃ Ks_6.57a	avEmi pUtam AtmAnam KH-_6.57a
   avaimi saubhāgyamadena vañcitaṃ Ks_5.49a	avEmi sOBAgya-madena vaQcitam Ks_5.49a
   aśaner amṛtasya cobhayor Ks_4.43c	aSaneH amRtasya ca-uBayoH Ks_4.43c
   aśeta sā bāhulatopadhāyinī Ks_5.12c	aSeta sA bAhu-latA-upaDAyinI KH-_5.12c
   aśokanirbhartsitapadmarāgam Ks_3.53a	aSoka-nirBartsita-padmarAgam KH-_3.53a
   aśocyā hi pituḥ kanyā Ks_6.79c	aSocyAH hi pituH kanyA KH-_6.79c
   asati tvayi vāruṇīmadaḥ Ks_4.12c	asati tvayi vAruNI-madaH KH-_4.12c
   asatyakaṇṭhārpitabāhubandhanā Ks_5.57d	asatya-kaNWa-arpita-bAhu-banDanA KH-_5.57d
   asamāpte parikarmaṇi smṛtaḥ Ks_4.19b	asamApte parikarmaNi smRtaH KH-_4.19b
   asahyahuṃkāranivartitaḥ purā Ks_5.54a	asahya-huMkAra-nivartitaH purA KH-_5.54a
   asaṃpadas tasya vṛṣeṇa gacchataḥ Ks_5.80a	asaMpadaH tasya vRzeNa gacCataH KH-_5.80a
   asaṃbhṛtaṃ maṇḍanam aṅgayaṣṭer Ks_1.31a	asaMBRtam maNxanam aFga-yazweH Ks_1.31a
   asaṃmataḥ kas tava muktimārgaṃ Ks_3.5a	asaMmataH kaH tava mukti-mArgam KH-_3.5a
   asaṃśayaṃ parvatarājaputryāḥ Ks_1.48b	asaMSayam parvata-rAja-putryAH KH-_1.48b
   asūta sadyaḥ kusumāny aśokaḥ Ks_3.26a	asUta sadyas kusumAni aSokaH KH-_3.26a
   asūta sā nāgavadhūpabhogyaṃ Ks_1.20a	asUta sA nAga-vaDU-upaBogyam KH-_1.20a
   asoḍhasiṃhadhvanir unnanāda Ks_1.56d	asoXa-siMha-DvaniH unnanAda KH-_1.56d
   astam eti yugabhugnakesaraiḥ Ks_8.42c	astam eti yuga-Bugna-kesarEH KH-_8.42c
   astotuḥ stūyamānasya Ks_6.83a	astotuH stUyamAnasya KH-_6.83a
   asty uttarasyāṃ diśi devatātmā Ks_1.1a	asti uttarasyAm diSi devatA-AtmA KH-_1.1a
   aspṛṣṭapuruṣāntaram Ks_6.75b	aspRzwa-puruza-antaram KH-_6.75b
   asmatsaṃkrāmitaiḥ padaiḥ Ks_6.78d	asmad-saMkrAmitEH padEH KH-_6.78d
   asmin dvaye rūpavidhānayatnaḥ Ks_7.66c	asmin dvaye rUpa-viDAna-yatnaH KH-_7.66c
   aham asya daśeva paśya mām Ks_4.30c	aham asya daSA-iva paSya mAm Ks_4.30c
   aham etya pataṅgavartmanā Ks_4.20a	aham etya pataFga-vartmanA KH-_4.20a
   aho batāsi spṛhaṇīyavīryaḥ Ks_3.20d	aho bata-asi spRhaNIya-vIryaH KH-_3.20d
   aho sthiraḥ ko 'pi tavepsito yuvā Ks_5.47a	aho sTiraH kaH api tava-IpsitaH yuvA KH-_5.47a
   ahnāya sā niyamajaṃ klamam utsasarja Ks_5.86c	ahnAya sA niyama-jam klamam utsasarja Ks_5.86c
   aṃśād ṛte niṣiktasya Ks_2.57c	aMSAt Rte niziktasya KH-_2.57c
   ākālikīṃ vīkṣya madhupravṛttim Ks_3.34b	AkAlikIm vIkzya maDu-pravRttim KH-_3.34b
   ākāśagaṅgāsrotassu Ks_6.5c	AkASagaFgA-srotassu KH-_6.5c
   ākulālakam araṃsta rāgavān Ks_8.88c	Akula-alakam araMsta rAgavAn KH-_8.88c
   ākṛṣṭamuktāphalajālaśobham Ks_7.89b	AkRzwa-muktAPala-jAla-SoBam KH-_7.89b
   ākṛṣṭahemadyutikarṇikāram Ks_3.53b	AkRzwa-hema-dyuti-karNikAram KH-_3.53b
   ākrāntisaṃbhāvitapādapīṭham Ks_3.11b	AkrAnti-saMBAvita-pAda-pIWam KH-_3.11b
   ākrīḍaparvatās tena Ks_2.43c	AkrIxa-parvatAH tena Ks_2.43c
   ākṣipya kācid dravarāgam eva Ks_7.58b	Akzipya kAcid drava-rAgam eva KH-_7.58b
   ākhaṇḍalaḥ kāmam idaṃ babhāṣe Ks_3.11d	AKaNxalaH kAmam idam baBAze KH-_3.11d
   āgulphakīrṇāpaṇamārgapuṣpam Ks_7.55d	AgulPa-kIrNa-ApaNa-mArga-puzpam KH-_7.55d
   ācacāma salavaṅgakesaraś Ks_8.25c	AcacAma sa-lavaFga-kesaraH KH-_8.25c
   ācāradhūmagrahaṇād babhūva Ks_7.82d	AcAra-DUma-grahaNAt baBUva KH-_7.82d
   ājagāma vijayānivedanāt Ks_8.90d	AjagAma vijayA-nivedanAt KH-_8.90d
   ājahratus taccaraṇau pṛthivyāṃ Ks_1.33c	AjahratuH tad-caraNO pRTivyAm KH-_1.33c
   ājñāpaya jñātaviśeṣa puṃsāṃ Ks_3.3a	AjQApaya jQAta-viSeza puMsAm KH-_3.3a
   ājñāṃ me dātum arhatha Ks_6.62b	AjQAm me dAtum arhaTa KH-_6.62b
   ātaṅkaḥ kusumāyudhaḥ Ks_6.44b	AtaFkaH kusumAyuDaH KH-_6.44b
   ātmajāvirahaduḥkhakheditam Ks_8.21b	AtmajA-viraha-duHKa-Keditam KH-_8.21b
   ātmanā kṛtinā ca tvam Ks_2.10c	AtmanA kRtinA ca tvam KH-_2.10c
   ātmany eva pralīyase Ks_2.10d	Atmani eva pralIyase KH-_2.10d
   ātmānam ātmanā vetsi Ks_2.10a	AtmAnam AtmanA vetsi KH-_2.10a
   ātmānam ātmany avalokayantam Ks_3.50d	AtmAnam Atmani avalokayantam KH-_3.50d
   ātmānam ādhāya madhur jajṛmbhe Ks_3.24d	AtmAnam ADAya maDuH jajRmBe KH-_3.24d
   ātmānam ālokya ca śobhamānam Ks_7.22a	AtmAnam Alokya ca SoBamAnam KH-_7.22a
   ātmānam āsannagaṇopanīte Ks_7.36c	AtmAnam Asanna-gaNa-upanIte KH-_7.36c
   ātmānurūpāṃ vidhinopayeme Ks_1.18d	Atma-anurUpAm viDinA-upayeme KH-_1.18d
   ātmeśvarāṇāṃ na hi jātu vighnāḥ Ks_3.40c	Atma-ISvarANAm na hi jAtu viGnAH KH-_3.40c
   ādade vacasām ante Ks_6.87c	Adade vacasAm ante Ks_6.87c
   ādarśabimbe stimitāyatākṣī Ks_7.22b	AdarSa-bimbe stimita-Ayata-akzI KH-_7.22b
   ādāya mūrdhnā madanaḥ pratasthe Ks_3.22b	AdAya mUrDnA madanaH pratasTe KH-_3.22b
   āditsubhir nūpurasiñjitāni Ks_1.34d	AditsuBiH nUpura-siQjitAni KH-_1.34d
   ādhatta lakṣmīḥ kamalātapatram Ks_7.89d	ADatta lakzmIH kamala-Atapatram KH-_7.89d
   ānanena na tu tāvad īśvaraś Ks_8.80c	Ananena na tu tAvat ISvaraH Ks_8.80c
   ā niṣpatteḥ pratīkṣate Ks_2.37d	A nizpatteH pratIkzate KH-_2.37d
   āpāṇḍurībhūtamukhacchavīnām Ks_3.33b	ApANxurIBUta-muKa=-CavInAm KH-_3.33b
   āprasādārthinaḥ priyāḥ Ks_6.45d	AprasAda-arTinaH priyAH KH-_6.45d
   āplutās tīramandāra- Ks_6.5a	AplutAH tIra-mandAra KH-_6.5a
   āmananti hi sādhavaḥ Ks_6.31d	Amananti hi sADavaH KH-_6.31d
   āmucyamānābharaṇā cakāse Ks_7.21d	AmucyamAna-ABaraNA cakAse KH-_7.21d
   āmṛṣṭaṃ naḥ paraiḥ padam Ks_2.31b	AmRzwam naH parEH padam KH-_2.31b
   āmekhalaṃ saṃcaratāṃ ghanānāṃ Ks_1.5a	AmeKalam saMcaratAm GanAnAm KH-_1.5a
