   Anityatā-sūtram	Anitya-tA--sUtram
   5. ye 'pi te bhikṣavaḥ rājānaḥ kṣatriyāś ca mūrdhnābhiṣiktā	5. ye api te BikzavaH rAjAnaH kzatriyAH ca mUrDnA-aBiziktA
   jānapadaiśvaryāsthāmavīryam anuprāptā mahāntaṃ pṛthvīmaṇḍalam	jAnapada-ESvarya-AsTAm-avIryam anuprAptAH mahAntam pRTvI-maNxalam
   abhinirjityāvasanti, teṣām api maraṇāntaṃ hi jīvitaṃ maraṇaparyavasānaṃ	aBinirjitya-avasanti, tezAm api maraNa-antam hi jIvitam maraNa-paryavasAnam
   nāsti jātasyāmaraṇaṃ //	na-asti jAtasya-amaraNam //
   (As 32)	(AH 32)
   ye 'pi te bhikṣava ṛṣayo vānaprasthāḥ pramuktaphalāhārāḥ	ye api te BikzavaH RzayaH vAnaprasTAH pramukta-Pala-AhArAH
   pramuktaphalabhojinaḥ pramuktaphalena yāpanti, teṣām api maraṇāntaṃ hi	pramukta-Pala-BojinaH pramukta-Palena yApanti, tezAm api maraNa-antam hi
   jīvitaṃ maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ //	jIvitam maraNa-paryavasAnam na-asti jAtasya-amaraNam //
   7. ye 'pi te bhikṣavaḥ kāmāvacarā devāś cāturmahārājikā devās trayastriṃśā	7. ye api te BikzavaH kAmAvacarAH devAH cAturmahArAjikAH devAH trayastriMSA
   devā yāmā devās tuṣitā devā nirmāṇaratayo devāḥ paranirmitavaśavartino	devAH yAmAH devAH tuzitAH devAH nirmANa-ratayaH devAH paranirmitavaSavartinaH-
   devās, teṣām api maraṇāntaṃ hi jīvitaṃ maraṇaparyavasānaṃ nāsti	devAs, tezAm api maraNa-antam hi jIvitam maraNa-paryavasAnam na-asti
   jātasyāmaraṇaṃ //	jAtasya-amaraNam //
   8. ye 'pi te bhikṣavo rūpino devāḥ, prathamadhyānalābhino brahmakāyikā	8. ye api te BikzavaH rUpinaH devAH, praTa-maDyA-analABinaH brahmakAyikA
   brahmapurohitā brahmapārṣadyā mahābrahmāṇā, dvitīyadhyānalābhinaḥ	brahma-purohitAH brahmapArzadyAH mahA-brahmANA, dvitIya-DyAna-lABinaH
   parittaśubhā apramāṇaśubhā ābhāsvarās, tṛtīyadhyānalābhinaḥ parittaśubhā	paritta-SuBAH apramANa-SuBAH ABAsvarAs, tRtIya-DyAna-lABinaH parittaSuBA
   apramāṇaśubhāḥ śubhakṛtsnāś, caturthadhyānalābhino	apramANa-SuBAH SuBa-kRtsnA-AS, caturTa-DyA-analABino
   'nabhrakāḥ puṇyaprasavā vṛhatphalā asaṃjñisattvā avṛhā (As 33) atapāḥ	anaBrakAH puNya-prasavAH vRhat-PalAH asaMjQi-sattvAH avRhAH (AH 33) atapAH
   sudarśāḥ sudarśanā akaniṣṭhāś ca devās, teṣām api maraṇāntaṃ hi jīvitaṃ	sudarSAH sudarSanAH akanizWAH ca devAs, tezAm api maraNa-antam hi jIvitam
   maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ //	maraNa-paryavasAnam na-asti jAtasya-amaraNam //
   9. ye 'pi te bhikṣavo 'rūpino devā ākāśānantyāyatanopagā	9. ye api te BikzavaH arUpinaH devAH AkASa-AnantyAyatana-upagA
   vijñānānantyāyatanopagā ākiṃcityāyatanopagā naivasaṃjñānāsaṃjñāyatanopagāś	vijQAna-AnantyAyatana-upagAH AkiMcitya-Aya-tana-upagAH na-eva-saMjQAna-asaMjQA-Ayatana-upagAS
   ca devāś ca, teṣām api maraṇāntaṃ hi jīvitaṃ maraṇaparyavasānaṃ nāsti	ca devAH ca, tezAm api maraNa-antam hi jIvitam maraNa-paryavasAnam na-asti
   jātasyāmaraṇaṃ / traidhātukam idaṃ //	jAtasya-amaraNam / trEDAtukam idam //
   10. ye 'pi te bhikṣavo 'rhantaḥ kṣīṇāśravā kṛtakṛtyāḥ kṛtakaraṇīyā	10. ye api te BikzavaH arhantaH kzINa-ASravA kRtakRtyAH kRta-karaNIyA
   apahṛtabhārā anuprāptasvakārthāḥ parikṣīṇabhavasaṃyojanāḥ	apahRta-BArAH anuprApta-svaka-arTAH parikzINa-Bava-saMyojanAH
   samyagājñāsuvimuktacittāḥ sarvacetovasiparamapāramitāprāptās, teṣām api	samyak-AjQA-su-vimukta-cittAH sarva-cetaH-vasi-parama-pAramitA-prApta-as, tezAm api
   kāyā nikṣepaṇadharmāḥ //	kAyAH nikzepaNa-DarmAH //
   11. ye 'pi te bhikṣavaḥ pratyekabuddhāḥ khaḍgaviṣāṇakalpā ekam ātmānaṃ	11. ye api te BikzavaH pratyekabudDAH Kaxga-vizANa-kalpAH ekam AtmAnam
   damanti ekam ātmānaṃ śamayanti ekam ātmānaṃ parinirvāpayanti, teṣām apy	damanti ekam AtmAnam Samayanti ekam AtmAnam parinirvApayanti, tezAm api-
   ayaṃ kāyo nikṣepaṇadharmaḥ //	ayam kAyaH nikzepaNa-DarmaH //
   12. ye 'pi te bhikṣavas tathāgatā arhantaḥ samyaksaṃbuddhā daśabalabalinaḥ	12. ye api te BikzavaH taTAgatAH arhantaH samyaksaMbudDAH daSa-bala-balinaH
   udārārṣabhāḥ samyaksiṃhanādanādinaś caturvaiśāradyaṃ,	udAra-ArzaBAH samyak-siMhanAdanAdinaH catur-vESAradyaM,
   dharmārohaṇavaiśāradyaṃ sarvadharmadeśanāvaiśāradyaṃ	Darma-ArohaNa-vESAradyam sarva-Darma-deSanA-vESAradyam
   nirvāṇamārgāvatāraṇavaiśāradyaṃ āśravajñānaprahāṇavaiśāradyaṃ,	nirvANa-mArga-avatAraNa-vESAradyam ASrava-jQAna-prahANa-vESAradyaM,
   viśadādṛḍhanārāyaṇasaṃhatakāyās, (As 34) teṣām apy ayam kāyo	viSada-adRXa-nArAyaNa-saMhataka-AyAs, (AH 34) tezAm api ayam kAyaH-
   nikṣepaṇadharmaḥ //	nikzepaNa-DarmaH //
   13. tadyathāpi nāma bhikṣavaḥ kumbhākārakṛtāni bhāṇḍā āmāni vā pakvāni vā	13. tat-yaTA-api nAma BikzavaH kumBa-AkAra-kRtAni BANxAH AmAni vA pakvAni vA
   bhedanaparyantāni bhedanaparyavasāny, evam eva bhikṣavaḥ sarveṣāṃ	Bedana-paryantAni Bedana-paryavasA-any, evam eva BikzavaH sarvezAm
   sattvānāṃ sarveṣāṃ bhūtānāṃ sarveṣāṃ prāṇināṃ maraṇāntaṃ hi jīvitaṃ	sattvAnAm sarvezAm BUtAnAm sarvezAm prANinAm maraNa-antam hi jIvitam
   maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ //	maraNa-paryavasAnam na-asti jAtasya-amaraNam //
   14. idam avocad bhagavān, idam uktvā sugato hy athāparāvocat śāstā /	14. idam avocat BagavAn-, idam uktvA sugataH hi aTa-apara-avocat SAstA /
   anityā vata saṃskārā utpādavyayadharminaḥ /	anityAH vata saMskArAH utpAda-vyaya-DarminaH /
   utpadya hi nirūdhyante teṣāṃ vyupaśamaḥ sukhaṃ //	utpadya hi nirUDyante tezAm vyupaSamaH suKam //
   yathāhi kumbhakāreṇa mṛttikābhājanaṃ kṛtaṃ /	yaTA-hi kumBakAreNa mRttikA-BAjanam kRtam /
   sarvam bhedanaparyantaṃ sattvānāṃ jīvitaṃ tathā //	sarvam Bedana-paryantam sattvAnAm jIvitam taTA //
   yathā phalānāṃ pakvānāṃ śaśvat patanato bhayaṃ /	yaTA PalAnAm pakvAnAm SaSvat patanataH Bayam /
   tathā saṃskārajāḥ sattvānāṃ nityaṃ maraṇato bhayaṃ //	taTA saMskAra-jAH sattvAnAm nityam maraNataH Bayam //
   sarve kṣayāntā nicayāḥ patanāntāḥ samucchrayāḥ /	sarve kzaya-antAH nicayAH patana-antAH samucCrayAH /
   saṃyogāś ca viyogāntā maraṇāntaṃ hi jīvitaṃ //	saMyogAH ca viyoga-antAH maraNa-antam hi jIvitam //
   (As 35)	(AH 35)
   15. idam avocad bhagavān āttamanas te ca bhiksavas te ca parṣado bhagavato	15. idam avocat BagavAn Atta-manaH te ca BiksavaH te ca parzadaH BagavataH-
   bhāṣitam abhyanandan //	BAzitam aByanandan //
   ity āryānityatāsūtraṃ samāptaṃ //	iti AryAn-iti-a-tA-sUtram samAptam //
   @All the verses used here are found in the Udānavarga (Sanskrittexte aus	@Alt Te verseH uset here are fount id Te UdAna-vargaH (San-skritta-Ixte Os
   den Turfanfunden X, herausgegeben von F. Bernhard, Bd. I, Göttingen 1965),	det Turfanfunden X, herOsgegebet von F. Bernhard, Bd. I, Göttinget 1965),
   Anityavarga, verses Nos. 3, 12, 11 and 22.@@	Anitya-varga, verseH Nos. 3, 12, 11 and 22.@@
