   śrīḥ	SrIH
   pratimucya lakṣaṇena dakṣiṇāpāyamya nimittaṃ cihnaṃ tatra kuryāt /	pratimucya lakzaNena dakziNA apAyamya nimittam cihnam tatra kuryAt /
   tannimittaṃ dhanurākṛterdakṣiṇāgnermadhyamaṃ, viśeṣāśravaṇāt /	tad nimittam DanuH AkRteH dakziNa agneH maDyamaM, viSeza aSravaNAt /
   gārhapatyāhavanīyayormadhyamaśaṅkvorantau niyamyeti kecit /	gArhapatya AhavanIyayoH maDyama SaFkvoH antO niyamya iti kecid /
   śrutisāmarthyāt /	Sruti sAmarTyAt /
   "dakṣiṇataḥ purastāt' ityādi śrutibalādityarthaḥ /	"dakziNatas purastAt a ityAdi Sruti balAt iti arTaH /
   atra pañcadhāpakṣe gārhapatyāhavanīyayorantarālasya	atra paQcaDA pakze gArhapatya AhavanIyayoH antarAlasya
   dakṣiṇāgnayāyatanamadhyopakrāntāddakṣiṇottaralambāt paścimo bhāga	dakziNA gnaya Ayatana maDya upakrAntAt dakziNa uttara lambAt paScimaH BAga
   ekatriṃśadaṅgulayaḥ tribhāgonasaptatilāś ca /	ekatriMSat aFgulayaH tri BAga Una saptatilAH ca /
   pūrvabhāgo 'ṣṭāviṃśatiraṅgulayaḥ tribhāgādhikasaptaviṃśatitilāś ca /	pUrva BAgaH azwAviMSatiH aFgulayaH tri BAga aDika saptaviMSati tilAH ca /
   lambakaḥ ṣaṭtriṃśadaṅgulayaḥ pādonaṣoḍaśatilāś ca /	lambakaH zawtriMSat aFgulayaH pAda Una zoxaSa tilAH ca /
   ṣaḍdhāpakṣe dvātriṃśadaṅgulayaḥ sārdhasaptaviṃśatitilāś ca pūrvabhāgaḥ /	zaxDA pakze dvAtriMSat aFgulayaH sArDa saptaviMSati tilAH ca pUrva BAgaH /
   lambakastriṃśadaṅgulayaḥ saptatilāś ca /	lambakaH triMSat aFgulayaH saptatilAH ca /
   pādāṣṭakamite 'ntarālavat prakramite ekādaśādiṣu ca bhāgayorlambakasya	pAda azwaka mite antarAla vat prakramite ekAdaSa Adizu ca BAgayoH lambakasya
   pramāṇamunneyaṃ, unnayanaprakāraṃ cātraiva vakṣyāmaḥ /	pramANam unneyan, unnayana prakAram ca atra eva vakzyAmaH /
   atrāpyāyatanāni piśīlamātrāṇi, athavā asyaiṣa dhiṣṇyo līyata iti	atra api AyatanAni piSIla mAtrANi, aTavA asya eza DizNyaH lIyate iti
   prājahitasyāpi dhiṣṇyatvadarśanādāyatanānāṃ	prAja hitasya api DizNya tva darSanAt AyatanAnAm
   caturaśramaṇḍalatvayoraniyamena prāptayorapi maṇḍajalameva	caturaSra maNxala tvayoH aniyamena prAptayoH api maNxa jalam eva
   gārhapatyāyatanaṃ agnanayo vai trayī vidyetyatrānuvākaparyāye tasya	gArhapatya Ayatanam agnanayaH vE trayI vidyA iti atra anuvAka paryAye tasya
   pṛthivīstuteḥ tadākāratvāccatasyāḥ ardhamaṇḍalākāraṃ dhanurākāraṃ	pRTivI stuteH tad AkAra tvAt catasyAH arDa maNxala AkAram DanuH AkAram
   dakṣiṇāgnayāyatanaṃ, tatraivāntarīkṣastuteḥ tadākāratvācca	dakziNa agnaya AyatanaM, tatra eva antarIkza stuteH tad AkAra tvAt ca
   nabhasaścaturaśramāhavanīyam, tatraiva dyulokastuteḥ	naBasaH caturaSrama AhavanIyam, tatra eva dyuloka stuteH
   caturaśramaindrasthānamiti śāstrāntare darśanācca sabhyāvasathyayorapi	caturaSrama Endra sTAnam iti SAstra antare darSanAt ca saByAvasaTyayoH api
   caturaśrameva, tayostaddvikāratvāt /	caturaSrameva, tayoH tad dvikAra tvAt /
   atra yogaḥ gārhapatyāyatane piśīlamātraṃ caturaśraṃ vihṛtya maṇḍalaṃ	atra yogaH gArhapatya Ayatane piSIla mAtram caturaSram vihRtya maNxalam
   kuryāddakṣiṇāgnerapi vacanāt, viśīladvikaraṇyā caturaśraṃ vihṛtya	kuryAt dakziNa agneH api vacanAt, viSIla dvi karaNyA caturaSram vihRtya
   maṇḍalakṭitya maṇḍalaviṣkambhacaturbhāgena dakṣiṇāgnanayāyatanaṃ	maNxalakwitya maNxala vizkamBa catur BAgena dakziNa agna naya Ayatanam
   tannimittāduttarataḥśaṅkuṃ nihatya tatra śaṅkau tadviṣkambhamadhyaṃ	tad nimittAt uttarataHSaFkum nihatya tatra SaFkO tat vizkamBa maDyam
   niyamyāntau samau kṛtvā maṇḍalaṃ vilikhya maṇḍaladhye prācīṃ lekhāṃ	niyamya antO samO kRtvA maNxalam viliKya maNxalaDye prAcIm leKAm
   vilikhya udagardhaṃ tyajet /	viliKyaH udagarDam tyajet /
   dakṣiṇārdha āyatanaṃ gārhapatyasya purastādaṣṭaprakramādīnatītya	dakziNa arDaH Ayatanam gArhapatyasya purastAt azwa prakrama AdIn atItya
   piśīlamātraṃ caturaśramāhavanīyaṃ kuryāt tatpurastāt sañcaramavaśiṣya	piSIla mAtram caturaSrama AhavanIyam kuryAt tad purastAt saQcaram avaSizya
   āhavanīyavat sabhyaṃ tatpurastādāvasathyamapi /	AhavanIya vat saByam tat purastAt AvasaTyam api /
   tadvat piśīlapramāṇaṃ ca /	tadvat piSIla pramANam ca /
   dviprādeśaṃ piśīlam /	dvi prAdeSam piSIlam /
   muṣṭikṛto 'ratniḥ piśīlamityeke /	muzwi kRtaH aratniH piSIlam iti eke /
   bāhvorantarālaṃ piśīlamityeka iti kecit /	bAhvoH antarAlam piSIlam iti ekaH iti kecid /
   prakramyata iti pakrama iti padasyāpi prakramatāmicchanti /	prakramyate iti pakramaH iti padasya api prakramatAm icCanti /
   tathāpi labhyate, ayamatra vimānakramaḥ  gārhapatyāhavanīyadhiṣṇiyau	taTA api laByate, ayam atra vimAna kramaH   ga arhapatya AhavanIya DizNiyO
   vimāya gārhapatyāhavanīyayorantarālamityādi dakṣiṇāpāyamya niyamya	vimAya gArhapatya AhavanIyayoH antarAlam ityAdi dakziNA apAyamya niyamya
   nimittaṃ kṛtvā tenaiva lakṣaṇenottarataś ca nimittaṃ viparyasya dakṣiṇata	nimittam kRtvA tena eva lakzaNena uttaratas ca nimittam viparyasya dakziNata
   uttarataś ca nimittaṃ kṛtvā	uttaratas ca nimittam kRtvA
   piśīladvikaraṇīcaturaśramaṇḍalīvaṣkambhacaturthāṃśena	piSIla dvi karaNI caturaSramaNxalI vazkamBa caturTa aMSena
   dakṣiṇayornimittayorudakkṛtanimittadvayānukūlyena śaṅkuṃ nikhanet /	dakziNayoH nimittayoH udak kRta nimitta dvaya AnukUlyena SaFkum niKanet /
   anayoḥ paścimaśaṅkau piśīladvikaraṇī caturaśramaṇḍalaviṣkambhārdhena	anayoH paScima SaFkO piSIla dvi karaNI caturaSra maNxala vizkamBa arDena
   maṇḍalamālikhya purvaśaṅkvānukūlyena prācīṃ jñātvā maṇḍalasyottarārdhaṃ	maNxalam AliKya purva SaFkva AnukUlyena prAcIm jQAtvA maNxalasya uttara arDam
   tyajet /	tyajet /
   dakṣiṇārdho dakṣiṇāgnidhiṣṇiyo bhavati /	dakziNa arDaH dakziNa agni DizNiyaH Bavati /
   sundararājīyā vyākhyā.	sundara rAjIyA vyAKyA.
   (gārhapatyāhavanīyayoḥaśrutisāmarthāt.)	(ga arhapatya AhavanIya yoHa Sruti sAmarTa at.)
   tatkathaṃ grāhyamityata āha    	tat kaTam grAhyam iti atas Aha    
   samaṃ sarvaṃ, gārhapatyāhavanīyayoḥ gārhapatyasya paurastye śaṅkau	samam sarvan, gArhapatya AhavanIyayoH gArhapatyasya pOrastye SaFkO
   āhavanīyasya pāśvātye śaṅkau ca dakṣiṇato dakṣiṇāgnayāyatanam /	AhavanIyasya pASvAtye SaFkO ca dakziNatas dakziNa agnaya Ayatanam /
   tadāyatanamadhyamityanye /	tad Ayatana maDyam iti anye /
   tasmin, pakṣe gārhapatyāhavanīyayorāpi madhyayoreva grahaṇam /	tasmin, pakze gArhapatya AhavanIyayoH A api maDyayoH eva grahaNam /
   sarvāṇyevāgrayāyatanāni piśīlamātrāṇi caturaśrāṇi parimaṇḍalāni vā	sarvANi eva agrayA AyatanAni piSIla mAtrANi caturaSrANi parimaNxalAni vA
   dhiṣṇiyatvānmaṇḍalaṃ gārhapatyasya /	DizNiyatvAt maNxalam gArhapatyasya /
   ardhamaṇḍalaṃ dakṣiṇāgneścaturaśramāhavanīyasyetyaitihāsikāḥsarvāṇi	arDa maNxalam dakziNa agneH caturaSrama AhavanIyasya iti EtihAsikAH sarvANi
   cāyatanāni kṣetratastulyānītyāhuḥ /	ca AyatanAni kzetrataH tulyAni iti AhuH /
   tatrokto maṇḍalavidhiḥ āhavanīyasyākṣṇayārajjvā caturaśraṃ vihṛtya	tatra uktaH maNxala viDiH AhavanIyasya akzNayA rajjvA caturaSram vihRtya
   vidhānena maṇḍalaṃ kṛtvā uttarārvaṃ jahyāttaddakṣiṇāgnayāyatanam //	viDAnena maNxalam kRtvA uttarArvam jahyAt tad dakziNA gnaya Ayatanam //
   kapardikṣāṣyam	kapardi kzAzyam
   yajamānamātrī prācy aparimitā vā yathāsannāni havīṃṣi saṃbhaved evaṃ	yajamAna mAtrI prAcI aparimitAH vA yaTAsannAni havIMzi saMBavet evam
   tiraścī prāñcau vedyaṃsāv unnayati | pratīcī śroṇī purastād aṃhīyasī	tiraScI prAQcO vedI aMsO unnayati | pratIcI SroNI purastAt aMhIyasI
   paścāt prathīyasī madhye saṃnatataraivam iva hi yoṣeti dārśikyā veder	paScAt praTIyasI maDye saMnatatara evam iva hi yoza iti dArSikyAH vedeH 
   vijñāyate || ĀpŚus_4.5 ||	vijQAyate || ĀpŚuH _4.5 ||
   yajamānamātrītyādi dārśikyāvedeḥśrutiḥ /	yajamAna mAtrI ityAdi dArSikyA vedeH SrutiH /
   asyāḥśruterarthaṃ vimānavidhinaiva vyācaṣṭe /	asyAH SruteH arTam vimAna viDinA eva vyAcazwe /
   karavindiyā vyākhyā	karavindiyA vyAKyA
   āyatanaviharaṇānantaraṃ prakṛtibhūtayordarśapūrṇamāsayorviharaṇamucyate /	Ayatana viharaNa anantaram prakRti BUtayoH darSa pUrNamAsayoH viharaNam ucyate /
   (yajamānamātrī  vedervijñāyate.)	(yajamAna mAtrI   vedeH vijQAyate.)
   yajamānamātrīti // .//	yajamAna mAtrI iti // .//
   yajamāmātrī ṣaṇṇavatyaṅgulā prāktvenāpari mitā /	yajam AmAtrI zaNNavati aFgulA prAc tvena apari mitAH /
   tadadhikā prācī prāṅmukhā, saṃbhavo vyāptiḥ, yathā havīṃṣi	tad aDikA prAcI prAFmuKA, saMBavaH vyAptiH, yaTA havIMzi
   parasparasaṃbandhena āsannāni bhavanti tathā tiraśvī tiryaṅbhānī syāt,	paraspara saMbanDena AsannAni Bavanti taTA tiraSvI tiryaFBAnI syAt ,
   āyāmasya tribhāgonā paścattiraśvī /	AyAmasya tri BAga UnA paScattiraSvI /
   "āyāmāsyārdhena purastāttiraśvī' iti bodhāyanaḥ /	"AyAmA asya arDena purastAt tiraSvI a iti boDAyanaH /
   paśubandhe ca tathā dṛśyate, aratnibhirvā caturbhiḥ paścāt ṣaḍbhiḥ prācī	paSu banDe ca taTA dRSyate, aratniBiH vA caturBiH paScAt zaxBiH prAcI
   tribhiḥ purastāditi, vikṛtiṣu vahuhaviḥṣu bhahuvistārā, alpahaviḥ ṣu	triBiH purastAt iti, vikRtizu vahu haviHzu Bahu vistArA, alpa haviH zu
   prakṛtivat /	prakRti vat /
   prāñcau vedyaṃsāvunnayati prāktvena pūrvāntamatītāvaṃsau kuryāt pratīcī	prAQcO vedyaMsO= unnayati prAc tvena pUrva antam atItO= aMsO kuryAt pratIcI
   śroṇī tathā pṛthaktvena śroṇyākuryāt aṃhīyasī  tanvī prathīyasī   vistīrṇā	SroNI taTA pRTaktvena SroNyAkuryAt aMhIyasI  tanvI praTIyasI  vistIrNA
   sannatatarā atiśayena tanuḥ, evamiva hi yoṣeti /	sannatatarAH atiSayena tanuH, evam iva hi yoza iti /
   evamivahīti śabdo nipātasamudāyaḥ prasiddhavacanaḥ /	evam iva hi iti SabdaH nipAta samudAyaH prasidDa vacanaH /
   yathā  evamiva hi paśuḥ, evamiva hyannamadyata iti /	yaTA  evam iva hi paSuH, evam iva hi annamadyate iti /
   etadeva hi yoṣā sādṛśyamasyāḥ /	etat eva hi yozA sAdRSyam asyAH /
   yanmadhye kṛśatvaṃ pṛthvaṃsatvaṃ pṛthutaraśroṇītvaṃ ca /	yad maDye kRSa tvam pRTu aMsa tvam pRTutara SroNI tvam ca /
   etat "catuḥśikhaṇḍā yuvatiḥsupeśā' iti mantravarṇācca labhyeta, dārśikyā	etat "catur SiKaNxA yuvatiH supeSA a iti mantra varNAt ca laByeta, dArSikyA
   vedeḥ darśapurṇamāsayoḥsādhāraṇā ' pi vediḥ darśe pūrvedyurddaśyatayā	vedeH darSa purNamAsayoH sADAraNA a pi vediH darSe pUrvedyus ddaSyatayA
   dārśikītyucyate /	dArSikI iti ucyate /
   yadvā  darśapūrṇamāsayorekaśeṣaṃ kṛtvā nirdeśaḥ,	yat vA  darSa pUrNamAsayoH eka Sezam kRtvA nirdeSaH,
   sundararājīyā vyākhyā	sundara rAjIyA vyAKyA
   (yajamānamātrī vijñāyate.)	(yajamAna mAtrI vijQAyate.)
   yajamānamātrī caturaratniḥ pañcāratnirvā yathā'sannāni havīṣi saṃbhavet	yajamAna mAtrI catur aratniH paQcAratniH vA yaTA asannAni havIzi saMBavet 
   saṃgṛhṇīyāt /	saMgRhNIyAt /
   evaṃ tiraśvī ardhalakṣaṇaṃ tiryagityarthaḥ /	evam tiraSvI arDa lakzaNam tiryak iti arTaH /
   unnayati dīrghaṃ nayati /	unnayati dIrGam nayati /
   pratīcī pratīcyā yoṣāsādṛśyaṃ ca "catuḥśikhaṇḍā' iti mantravarṇāt	pratIcI pratIcyA yozA sAdRSyam ca "catur SiKaNxAa iti mantra varNAt 
   darśikyāḥ   darśapūrṇamāsikyāḥ /	darSikyAH  darSa pUrNamAsikyAH /
   kapardikṣāṣyam	kapardi kzAzyam
   apareṇāhavanīyaṃ yajamānamātrī dīrghaṃ caturaśraṃ vihṛtya tāvatīṃ rajjum	apareNa AhavanIyam yajamAna mAtrI dIrGam caturaSram vihRtya tAvatIm rajjum
   āyamya madhye lakṣaṇaṃ kṛtvā dakṣiṇayoḥ śroṇyaṃsayor antarā niyamya	Ayamya maDye lakzaNam kRtvA dakziNayoH SroNi aMsayoH antarA niyamya
   lakṣaṇena dakṣiṇāpāyamya nimittaṃ karoti | nimitte rajjuṃ niyamyāntau	lakzaNena dakziNA apAyamya nimittam karoti | nimitte rajjum niyamya antO
   samasya | dakṣiṇāyāḥ śroṇer dakṣiṇam aṃsam ālikhet | evam uttarataḥ |	samasya | dakziNAyAH SroNeH dakziNam aMsam AliKet | evam uttaratas |
   tiryaṅmānīṃ dviguṇāṃ tathā kṛtvā paścāt purastāc copalikhet | vimitāyāṃ	tiryak mAnIm dviguNAm taTA kRtvA paScAt purastAt ca upaliKet | vimitAyAm
   purastāt pārśvamānyāv upasaṃharet | śrutisāmarthyāt || ĀpŚus_4.6 ||	purastAt pArSvamAnyO upasaMharet | Sruti sAmarTyAt || ĀpŚuH _4.6 ||
   iti caturthakhaṇḍaḥ.	iti caturTa KaNxaH.
   apareṇāhavanīyaṃ ekarajjvādibhidīrṅghaṃ caturaśraṃ vihṛtya saṃpādya	apareNa AhavanIyam eka rajju Adi BidIrFGam caturaSram vihRtya saMpAdya
   yajamānamātrī pārśvamānī yathā sannāni havīṃṣi saṃbhavet	yajamAna mAtrI pArSva mAnI yaTA sannAni havIMzi saMBavet 
   parasparāsaṃghaṭitāni tiṣṭhanti tathā tiryaṅbhānī /	paraspara asaMGawitAni tizWanti taTA tiryaFBAnI /
   tasyāstribhāgona vā tiraśvīti bodhāyanīye śulbāntare pratipāditam /	tasyAH tri BAgona vA tiraSvI iti boDAyanIye Sulba antare pratipAditam /
   tāvatīṃ rajjumabhyasya ubhayataḥ pāśau kṛtvā dakṣiṇayoḥśroṇyaṃsayorantau	tAvatIm rajjum aByasya uBayatas pASO kRtvA dakziNayoH SroNi aMsayoH antO
   niyamya pāśau pratimucya lakṣaṇena jakṣiṇāpāyamya nimittaṃ śaṅkuṃ nihatya	niyamya pASO pratimucya lakzaNena jakziNA apAyamya nimittam SaFkum nihatya
   tāsmin śaṅkau rajjuṃ saṃyojya pāśāvunmucya tena hastena gṛhītvā dakṣiṇāṃ	tAsmin SaFkO rajjum saMyojya pASO= unmucya tena hastena gRhItvA dakziNAm
   śroṇimārabhya yāvaddakṣiṇāṃsamālikhet /	SroNim AraBya yAvat dakziNa aMsam AliKet /
   evamuttarapārśvamālikhet /	evam uttara pArSvam AliKet /
   etatsannatatvaṃ vedeḥ /	etat sannata tvam vedeH /
   tiryaṅbhānyāpyevaṃ kuryāt /	tiryaFBAnyA api evam kuryAt /
   tiryaṅbhānīpramāṇāṃ rajjumabhsya madhye lakṣaṇaṃ kṛtvā śroṇyorante pāśau	tiryaFBAnI pramANAm rajjum aBsya maDye lakzaNam kRtvA SroNyoH ante pASO
   pratimucya pārśvādapasārya tatra śaṅkuṃ nihatya tatra rajju prabadhyāntau	pratimucya pArSvAt apasArya tatra SaFkum nihatya tatra rajju prabaDya antO
   samasya dakṣiṇāṃ śroṇimārabhya yāvaduttarā kṣoṇī tāvadālikhet /	samasya dakziNAm SroNim AraBya yAvat uttarA kzoNI tAvat AliKet /
   evaṃ purastādapi karoti /	evam purastAt api karoti /
   evamunnayanaṃ śroṇyaṃsau /	evam unnayanam SroNi aMsO /
   evaṃprakārā hi yoṣā /	evaMprakArAH hi yozAH /
   hiśabdo rūpaprasiddhau /	hi SabdaH rUpa prasidDO /
   prākchirāḥstrī evamevetyarthaḥ /	prAc SirAH strI evam eva iti arTaH /
   vimitāyā mevaṃ caturaśramāpāditāyāṃ purastātpārśvamānyāvupasaṃharet,	vimitAyAH mevam caturaSrama ApAditAyAm purastAt pArSvamAnyO= upasaMharet,
   saṅkocayet /	saFkocayet /
   śrutisāmarthyāt  "purastādaṃhīyasī' iti yaiṣā śrutiḥ tasyāḥsāmarthyāt /	Sruti sAmarTyAt  " purastAt aMhIyasI a iti yA ezA SrutiH tasyAH sAmarTyAt /
   itarathā yoṣāsādṛśyamapi na syāt //	itaraTAH yozA sAdRSyam api na syAt //
   iti caturthaḥkhaṇḍaḥ	iti caturTaH KaNxaH
   karavindīyā vyākhyā	karavindIyA vyAKyA
   etādviharaṇena vyācaṣṭe.	etAt viharaNena vyAcazwe.
   (apareṇāhavanīyam evamuttarataḥ.)	(a pareNa AhavanIyam evam uttaratas .)
   apareṇeti /	apareNa iti /
   apareṇāhavanīyaṃ āhavanīyasya paścātsamīpe /	apareNa AhavanIyam AhavanIyasya paScAt samIpe /
   gārhapatyāhavanīyayoryadyapi mahadantarālaṃ tathāpyāhavanīyasamīpa eva	gArhapatya AhavanIyayoH yadi api mahat antarAlam taTA api AhavanIya samIpaH eva
   vediḥ /	vediH /
   kecidvistāradviguṇāyāmaṃ dīrghamicchanti /	kecid vistAra dviguNa AyAmam dIrGam icCanti /
   uktapramāṇaṃ dīrghacaturaśramāhavanīyamapareṇa vihṛtya śroṇyaṃseṣu	ukta pramANam dIrGa caturaSrama AhavanIyam apareNa vihRtya SroNi aMsezu
   śaṅkunnihatya yāvadāyāmaḥ tāvatīṃ rajjumabhyasya āyāmadviguṇāṃ rajjuṃ	SaFkunnihatya yAvadAyAmaH tAvatIm rajjum aByasya AyAma dviguNAm rajjum
   kṛtvā madhye lakṣaṇaṃ nirañjanaṃ kṛtvā dakṣimayoḥśroṇyaṃsayorantau niyamya	kRtvA maDye lakzaNam niraQjanam kRtvA dakzimayoH SroNi aMsayoH antO niyamya
   nirañjanena dakṣiṇāpāyamya śaṅkuṃ nihatya tasmin rajjuṃ pratimucya	niraQjanena dakziNA apAyamya SaFkum nihatya tasmin rajjum pratimucya
   pāśāvekīkṛtya śroṇyā ārabhya yāvadaṃsaṃ vṛttamārgeṇālikhet /	pASO= ekIkRtya SroNyAH AraBya yAvat aMsam vRtta mArgeNa AliKet /
   uttarapārśva uttarato 'pāyamya evameva kuryāt //	uttara pArSvaH uttaratas apAyamyaH evam eva kuryAt //
   (tiryaṅbhānīṃ dviguṇāṃ  likhet)	(tiryaFBAnIm dviguNAM  liKet)
   tiryaṅbhānīmiti /	tiryaFBAnIm iti /
   pūrvāṃ tiryaṅbhānīṃ pūrvavaddviguṇāṃ kṛtvā purato 'pāyamya	pUrvAm tiryaFBAnIm pUrvavat dviguNAm kRtvA puratas apAyamya
   dakṣiṇasmadaṃsāt prakramya uttaramaṃsamālikhet, paścimayā tiryaṅbhānyā	dakziNasmad aMsAt prakramya uttaram aMsam AliKet, paScimayA tiryaFBAnyA
   paścādapyevameva kuryāt, vediprācīmitāṃ rajjuṃ	paScAt api evam eva kuryAt, vedi prAcImitAm rajjum
   gārhapatyāhavanīyayorantarālamityuktaprakāreṇa vedyā dakṣiṇottaramāyamya	gArhapatya AhavanIyayoH antarAlam iti ukta prakAreNa vedyAH dakziNa uttaram Ayamya
   pūrvavaddvitṛtīyadeśe lakṣaṇaṃ kuryāt udagbahirvederuttarataḥ uttarārthaṃ	pUrvavat dvi tRtIya deSe lakzaNam kuryAt udak bahis vedeH uttaratas uttara arTam
   lakṣaṇaṃ ca kṛtvā vedyāḥ paścādapyavemeva vitṛtīye lakṣaṇaṃ kuryāt.	lakzaNam ca kRtvA vedyAH paScAt api avema iva vitRtIye lakzaNam kuryAt .
   gārhapatyāhavanīyayormadhyaṃ  madhyadeśaḥ tatra lakṣaṇaṃ kuryāt //	gArhapatya AhavanIyayoH maDyaM   maDya deSaH tatra lakzaNam kuryAt //
   (vimitāyāṃaśrutisāmarthyāt.)	(vimitAyAMa Sruti sAmarTyAt.)
   vimitāyāmiti /	vimitAyAm iti /
   vimitāyāṃ caturaśrīkṛtamātrāyāṃ lekhākaraṇāt prāgeva pārśvamānyau	vimitAyAm caturaSrI kRta mAtrAyAm leKA karaNAt prAk eva pArSva mAnyO
   purastātpurata upasaṃhāret  saṃkocayet /	purastAt puratas upasaMhAra it   saMkocayet /
   iti caturthaḥ khaṇḍaḥ.	iti caturTaH KaNxaH.
   sundararājīyā vyākhyā.	sundara rAjIyA vyAKyA.
   (apareṇa śrutisāmarthyāt)	(apareNa Sruti sAmarTyAt)
   tasyā viharaṇamāha  	tasyAH viharaNam Aha  
   nimitte rajjuṃ rajjumadhyaṃ niyamya pratimucya dakṣiṇāyai dakṣiṇasyāḥ	nimitte rajjum rajju maDyam niyamya pratimucya dakziNAyE dakziNasyAH
   śroṇerārabhya dakṣiṇamaṃsaṃ pratyālikhet /	SroNeH AraBya dakziNam aMsam pratyAliKet /
   tiryaṅbhānyorapi madhye lakṣaṇaṃ kṛtvā śroṇyoraṃsayośvāntau niyamya	tiryaFBAnyoH api maDye lakzaNam kRtvA SroNyoH aMsayaH SvAntO niyamya
   paścātpurastāccāpāyamyetyādi draṣṭavyam /	paScAt purastAt ca apAyamya ityAdi drazwavyam /
   etadeva śroṇyaṃsayorunnayanam /	etat eva SroNi aMsayoH unnayanam /
   vimitāyāṃ caturaśrīkṛtāyāṃ saṃnamanātpūrvameva kiñcidupasaṃharet,	vimitAyAm caturaSrIkRtAyAm saMnamanAt pUrvam eva kiQcid upasaMharet,
   "purastādaṃhīyasī' iti śrutisāmarthyāt /	"purastAt aMhIyasI a iti Sruti sAmarTyAt /
   atra bodhāyanaḥ  	atra boDAyanaH  
   "yajamānamātrī prācī, tasyā evārdhaṃ purastāttiraśvī, tribhāgonā paścāt	"yajamAna mAtrI prAcI, tasyAH eva arDam purastAt tiraSvI, tri BAga UnA paScAt 
   tiraśvī triṃśatpadāni' iti //	tiraSvI triMSat padAni a iti //
   kapardibhāṣyaṃ	kapardi BAzyam
   triṃśat padāni prakramā vā paścāttiraśvī bhavati | ṣaṭtriṃśat prācī	triMSat padAni prakramA vA paScAt tiraSvI Bavati | zawtriMSat prAcI
   caturviṃśatiḥ purastāt tiraścīti saumikyā veder vijñāyate || ĀpŚus_5.1 ||	caturviMSatiH purastAt tiraScI iti sOmikyAH vedeH vijQAyate || ĀpŚuH _5.1 ||
   ṣaṭtriṃśikāyām aṣṭādaśopasamasya aparasmād antād dvādaśasu lakṣaṇaṃ	zawtriMSikAyAm azwAdaSa upasamasya aparasmAt antAt dvAdaSasu lakzaNam
   pañcadaśasu lakṣaṇaṃ pṛṣṭhyāntayor antau niyamya pañcadaśakena	paQcadaSasu lakzaNam pRzWyA antayoH antO niyamya paQcadaSakena
   dakṣiṇāpāyamya śaṅkuṃ nihantyevam uttarataḥśroṇī | viparyasyāṃsau	dakziNA apAyamya SaFkum nihanti evam uttaratas SroNI | viparyasya aMsO
   pañcadaśikenaivāpāyamya dvādaśike śaṅkuṃ nihanti | evam uttaratastāv aṃsau	paQcadaSikena eva apAyamya dvAdaSike SaFkum nihanti | evam uttaratas tO aMsO
   || ĀpŚus_5.2a ||	|| ĀpŚuH _5.2aH ||
   padānītyasmadīyā śrutiḥ /	padAni iti asmadIyA SrutiH /
   triṃśatpadāni prakramā vā paścāttiraśvīti /	triMSat padAni prakramA vA paScAttiraSvI iti /
   tiryaṅbhānī bhavati /	tiryaFBAnI Bavati /
   ṣaṭtriṃśatpṛṣṭhyā prācī caturviṃśatiḥ purastāt tiryaṅbhānī bhavatīti	zawtriMSat pRzWyA prAcI caturviMSatiH purastAt tiryaFBAnI Bavati iti
   saumikyā vedeḥ some śrutiḥ /	sOmikyAH vedeH some SrutiH /
   ṣaṭtriṃśikāyāṃ rajjvāṃ aṣṭādaśopasamasya prakṣipyāntayoḥ pāśau	zawtriMSikAyAm rajjvAm azwAdaSa upasamasya prakzipya antayoH pASO
   kṛtvāparasmādantāddvādaśasu lakṣaṇaṃ pañcadaśasu lakṣaṇaṃ nirañjanaṃ kṛtvā	kRtvA aparasmAt antAt dvAdaSasu lakzaNam paQcadaSasu lakzaNam niraQjanam kRtvA
   pṛṣṭhyāntayoḥ prāgvaṃśasya madhyamāllālāṭikāttīnprācaḥ prakramān prakramya	pRzWyA antayoH prAc vaMSasya maDyamAt lAlAwikAt tIn prAcaH prakramAn prakramya
   śaṅkuṃ nihatya tasmācca purastāt ṣaṭtriṃśatprakrame śaṅkū nihatya tayoḥ	SaFkum nihatya tasmAt ca purastAt zawtriMSat prakrame SaFkU nihatya tayoH
   pāśau pratimucya pañcadaśakena dakṣiṇāpāyamya śaṅkaṃ nihanyāt /	pASO pratimucya paQcadaSakena dakziNA apAyamya SaFkam nihanyAt /
   sā dakṣiṇā śroṇī /	sA dakziNA SroNI /
   evamuttarato 'pasārya śaṅkuṃ nihanyāt /	evam uttaratas apasArya SaFkum nihanyAt /
   sottarā śroṇī /	sa uttarA SroNI /
   viparyastayāṃsau /	viparyastayA aMsO /
   pañcadaśikenaivopāyamya dvādaśake śaṅkū nihantyaivamuttaratastāvaṃsau /	paQcadaSikena eva upAyamya dvAdaSake SaFkU nihantyA evam uttarataH tO= aMsO /
   śaṅkoḥ pāśāvunmucya pūrvapāśamaparasminpratimuñcet /	SaFkoH pASO= unmucya pUrva pASam aparasmin pratimuQcet /
   aparaṃ pūrvasminpratimuñcet /	aparam pUrvasmin pratimuQcet /
   sa viparyāsaḥ /	sa viparyAsaH /
   viparyastayā  evaṃ kṛtayā rajjvāṃ'sau mātavyau /	viparyastayA  evam kRtayA rajjvAM asO mAtavyO /
   tenaiva nirañjanena dakṣiṇāpasārya dvādaśake śaṅkuṃ nihanyāt /	tena eva niraQjanena dakziNa apasArya dvAdaSake SaFkum nihanyAt /
