   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   smaraṃ satīm āpattiṃ nāviṣkaroti saṃprajānamṛṣāvādo 'sya bhavati	smaram satIm Apattim na-Avizkaroti saMprajAnam-RzA-vAdaH asya Bavati
   saṃprajānamṛṣāvādas tv āyuṣmanta antarāyiko dharma ity uktaṃ bhagavatā	saMprajAna-mRzA-vAdaH tu Ayuzmanta antarAyikaH DarmaH iti uktam BagavatA
   tasmād āpannena bhikṣuṇā viśuddhiprekṣiṇā smaratā satī āpattir	tasmAt Apannena BikzuNA viSudDi-prekziNA smaratA satI ApattiH-
   āviṣkartavyā / āviṣkṛtvāsya phāṣaṃ bhavati nānāviṣkṛtvā //	AvizkartavyA / AvizkRtvA-asya PAzam Bavati nAnA-vizkRtvA //
   V	V
   uddiṣṭaṃ mayāyuṣmantaḥ prātimokṣasūtroddeśasya nidānaṃ / tatrāham	uddizwam mayA-AyuzmantaH prAtimokza-sUtra-uddeSasya nidAnam / tatra-aham
   āyuṣmataḥ pṛcchāmi kaccit sthātra pariśuddhā dvir api trir api pṛcchāmi	AyuzmataH pRcCAmi kaccit sTA-atra pariSudDAH dvis api tris api pRcCAmi
   kaccit sthātra pariśuddhā(ḥ) pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam	kaccit sTA-atra pariSudDA(H) pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam
   evāhaṃ dhārayāmi //	eva-aham DArayAmi //
   I. pārājikā dharmāḥ	I. pArAjikAH DarmAH
   PrMoSū_Pār.0:	PrMA-uSU_PAr.0:
   ime punar āyuṣmantaś catvāraḥ pārājikā dharmā anvardhamāsaṃ	ime punar AyuzmantaH catvAraH pArAjikA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   PrMoSū_Pār.1:	PrMA-uSU_PAr.1:
   yaḥ punar bhikṣur bhikṣubhiḥ sārdhaṃ śikṣāsāmīcisamāpannaḥ śikṣām	yaH punar BikzuH BikzuBiH sArDam SikzA-sAmIci-samApannaH SikzAm
   apratyākhyā(ya śi)kṣādaurbalyaṃ vānāviṣkṛtvā maithunaṃ dharmaṃ pratiṣeveta	apratyAKyA(ya Si)kzA-dOrbalyam vA-anAvizkRtvA mETunam Darmam pratizeveta
   antatas tīryagyonigatayāpi sārdham ayaṃ bhikṣuḥ pārājiko bhavaty	antatas tIryagyoni-gatayA-api sArDam ayam BikzuH pArAjikaH Bavati-
   asaṃvāsyaḥ 1	asaMvAsyaH 1
   PrMoSū_Pār.2:	PrMA-uSU_PAr.2:
   yaḥ punar bhikṣur adattaṃ steyasaṃkhyātam ādadyād yathārūpeṇādattādānena	yaH punar BikzuH adattam steya-saMKyAtam AdadyAt yaTArUpeNa-Adatta-AdAnena
   rājā hy enaṃ gṛhītvā hanyād vā badhnīyād vā pravāsayed vā evaṃ cainaṃ	rAjA hi enam gRhItvA hanyAt vA baDnIyAt vA pravAsayet vE evam ca-enam
   vadec coro 'si bālo 'si mūḍho 'si steyo 'sīty evaṃrūpaṃ bhikṣur adattam	vadet coraH asi bAlaH asi mUXaH asi steyaH asi-iti evaMrUpam BikzuH adattam
   ādadānaḥ pārājiko bhavaty asaṃvāsyaḥ 2	AdadAnaH pArAjikaH Bavati asaMvAsyaH 2
   PrMoSū_Pār.3:	PrMA-uSU_PAr.3:
   yaḥ punar bhikṣur manuṣyaṃ svahastena saṃcintya jīvitād vyaparopayec	yaH punar BikzuH manuzyam sva-hastena saMcintya jIvitAt vyaparopayet-
   chastraṃ vainam ādhārayec chastrādhārakaṃ vāsya paryeṣayed evaṃ vainaṃ	Castram vA-enam ADArayet Sastra-ADArakam vA-asya paryezayet evam vA-enam
   vaded dhambhoḥ puruṣa kiṃ tavānena pāpakena durjīvitena mṛtaṃ te jīvitād	vadet DamBoH puruza kim tava-anena pApakena durjIvitena mRtam te jIvitAt-
   varam iti cittānumataṃ cittasaṃkalpitam anekaparyāyeṇa maraṇāya	varam iti citta-anumatam citta-saMkalpitam aneka-paryAyeNa maraNAya
   samādāpayen maraṇavarṇaṃ vāsyānusaṃvarṇayet sa ca tenopakrameṇa kālaṃ	samAdApayet maraNa-varNam vA-asya-anusaMvarNayet sa ca tena-upakrameNa kAlam
   kuryād ayam api bhikṣuḥ pārājiko bhavaty asaṃvāsyaḥ 3	kuryAt ayam api BikzuH pArAjikaH Bavati asaMvAsyaH 3
   PrMoSū_Pār.4:	PrMA-uSU_PAr.4:
   yaḥ punar bhikṣur anabhijāna(n)n aparijānann uttarimanuṣyadharmam	yaH punar BikzuH anaBijAna(n)n aparijAnan uttari-manuzya-Darmam
   alamāryaviśeṣādhigamaṃ jñānaṃ vā darśanaṃ vā pratijānīyāj jānāmīti	alam-Arya-viSeza-aDigamam jQAnam vA darSanam vA pratijAnIyAt jAnAmi-iti
   paśyāmīti so 'pareṇa samayena samanuyujyamāno vā asamanuyujyamāno vā evaṃ	paSyAmi-iti saH apareNa samayena samanuyujyamAnaH vA asam-anuyujyamAnaH vE evam
   vaded ajānamāno 'ham avocaṃ jānāmīty apaśyann avocaṃ paśyāmīti tucchaṃ	vadet ajAnamAnaH aham avocam jAnAmi-iti apaSyan avocam paSyAmi-iti tucCam
   mṛṣā vilapitam anyatrābhimānād ayam api bhikṣuḥ pārājiko bhavaty	mRzA vilapitam anyatra-aBimAnAt ayam api BikzuH pArAjikaH Bavati-
   asaṃvāsyaḥ 4 //	asaMvAsyaH 4 //
   uddiṣṭā mayāyuṣmantaś catvāraḥ pārājikā dharmā yeṣāṃ bhikṣur	uddizwAH mayA-AyuzmantaH catvAraH pArAjikA DarmAH yezAm BikzuH-
   anyatamānyatamaṃ dharmam āpanno na labhate bhikṣubhiḥ sārdhaṃ saṃvāsaṃ vā	anyatama-anyatamam Darmam ApannaH na laBate BikzuBiH sArDam saMvAsam vA
   saṃbhogaṃ vā yathā pūrvaṃ tathā paścāt pārājiko bhavaty asaṃvāsyaḥ	saMBogam vA yaTA pUrvam taTA paScAt pArAjikaH Bavati asaMvAsyaH
   tatrāham āyuṣmataḥ pṛcchāmi kaccit sthātra pariśuddhā dvir api trir api	tatra-aham AyuzmataH pRcCAmi kaccit sTA-atra pariSudDAH dvis api tris api
   pṛcchāmi kaccit sthātra pa(riśuddhāḥ pariśuddhā a)trāyuṣmanto yasmā(t)	pRcCAmi kaccit sTA-atra pa(ri-SudDAH pariSudDAH a)tra-AyuzmantaH yasmA(t)
   tūṣṇīm evam evāhaṃ dhārayāmi //	tUzNIm evam eva-aham DArayAmi //
   II. saṃghāvaśeṣā dharmāḥ	II. saMGa-avaSezAH DarmAH
   PrMoSū_SA.0:	PrMA-uSU_SA.0:
   ime punar āyuṣmantas trayodaśa saṃghāvaśeṣā dharmā anvardhamāsaṃ	ime punar AyuzmantaH trayodaSa saMGa-avaSezAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   PrMoSū_SA.1:	PrMA-uSU_SA.1:
   saṃcintya śukravisargo 'nyatra svapnāntarāt saṃghāvaśeṣaḥ 1	saMcintya Sukra-visargaH anyatra svapna-antarAt saMGa-avaSezaH 1
   PrMoSū_SA.2:	PrMA-uSU_SA.2:
   yaḥ punar bhikṣur udīrṇavipariṇatena cittena mātṛgrāmeṇa sārdhaṃ	yaH punar BikzuH udIrNa-vipariNatena cittena mAtR-grAmeNa sArDam
   kāyasaṃsargaṃ samāpadyeta hastagrahaṇaṃ vā veṇīgrahaṇaṃ vā	kAya-saMsargam samApadyeta hasta-grahaNam vA veNI-grahaNam vA
   anyatamānyatamasya vāṅgajātasyāmarśanaṃ parāmarśanaṃ vā saṃghāvaśeṣaḥ 2	anyatama-anyatamasya vA-aFga-jAtasya-AmarSanam parAmarSanam vA saMGa-avaSezaH 2
   PrMoSū_SA.3:	PrMA-uSU_SA.3:
   yaḥ punar bhikṣur udīrṇavipariṇatena cittena mātṛgrāmaṃ duṣṭhulayā vācā	yaH punar BikzuH udIrNa-vipariNatena cittena mAtR-grAmam duzWulayA vAcA
   ābhāṣeta pāpikayā asabhyayā maithunopasaṃhitayā yathāpi tad yuvā yuvatīm	ABAzeta pApikayA asaByayA mETuna-upasaMhitayA yaTA-api tat yuvA yuvatIm
   iti saṃghāvaśeṣaḥ 3	iti saMGa-avaSezaH 3
   PrMoSū_SA.4:	PrMA-uSU_SA.4:
   yaḥ punar bhikṣur udīrṇavipariṇatena cittena mātṛgrāmasyāntike ātmanaḥ	yaH punar BikzuH udIrNa-vipariNatena cittena mAtR-grAmasya-antike AtmanaH
   kāyaparicaryāyā varṇaṃ bhāṣeta eṣāgry(ā) bhagini paricaryāṇāṃ ya(n)	kAya-paricaryAyAH varNam BAzeta ezA-agry(A) Bagini paricaryANAm ya(n)
   mādṛśaṃ bhikṣuṃ śīlavantaṃ kalyāṇadharmāṇaṃ brahmacāriṇam ane(na) dharmeṇa	mAdRSam Bikzum SIlavantam kalyANa-DarmANam brahmacAriNam ane(na) DarmeNa
   paricared yaduta maithunopasaṃhitena saṃghāvaśeṣaḥ 4	paricaret yat-uta mETuna-upasaMhitena saMGa-avaSezaH 4
   PrMoSū_SA.5:	PrMA-uSU_SA.5:
   yaḥ punar bhikṣuḥ saṃcāritraṃ samāpadyeta striyā vā puruṣamatena puruṣasya	yaH punar BikzuH saMcAritram samApadyeta striyAH vA puruza-matena puruzasya
   vā strīmatena jāyātvena vā jāritvena vā antatas tatkṣaṇam api	vA strI-matena jAyA-tvena vA jAri-tvena vE antatas tad-kzaNam api
   saṃghāvaśeṣaḥ 5	saMGa-avaSezaH 5
   PrMoSū_SA.6:	PrMA-uSU_SA.6:
   svayācitāṃ bhikṣuṇā kuṭiṃ kārayatā asvāmikām ātmoddeśikāṃ prāmāṇikā kuṭiḥ	sva-yA-AcitAm BikzuNA kuwim kArayatA asvAmikAm AtmA-uddeSikAm prAmANikA kuwiH
   kārayitavyā tatredaṃ kuṭipramāṇaṃ dīrghato dvādaśa vitastayaḥ	kArayitavyA tatra-idam kuwi-pramANam dIrGatas dvAdaSa vitastayaH
   sugatavitastyā tīryak saptāntaratas	sugata-vitastyA tIryak sapta-antaratas
   tena bhikṣuṇā bhikṣavo 'bhinetavyā vāstu deśayitum abhinītair bhikṣubhir	tena BikzuNA BikzavaH aBinetavyAH vA-astu deSayitum aBinItEH BikzuBiH-
   vāstu deśayitavyam anārambhaṃ saparākramaṃ	vAstu deSayitavyam anAramBam sa-parAkramam
   sārambhe ced bhikṣur vāstuny aparākrame svayācitāṃ kuṭiṃ kārayamāṇa	sa-AramBe ced BikzuH vA-astuni aparAkrame sva-yA-AcitAm kuwim kArayamANa-
   asvāmikām ātmoddeśikāṃ bhikṣ(ū)n nābhinayed vāstu deśayituṃ pramāṇaṃ	asvAmikAm Atma-uddeSikAm Bikz(U)n na-aBinayet vA-astu deSayitum pramANam
   vātikramet saṃghāvaśeṣaḥ 6	vA-atikramet saMGa-avaSezaH 6
   PrMoSū_SA.7:	PrMA-uSU_SA.7:
   m(a)hallakaṃ bhikṣuṇā vihāraṃ kārayatā sasvāmikam ātmoddeśikaṃ tena	m(a)hallakam BikzuNA vihAram kArayatA sa-svAmikam Atma-uddeSikam tena
   bhikṣuṇā bhikṣavo 'bhineta(vyā vā)stu deśayitum abhinītair bhikṣubhir	BikzuNA BikzavaH aBineta(vyA vA)H-tu deSayitum aBinItEH BikzuBiH-
   vāstu deśayitavyam anāraṃbha(ṃ) saparākramaṃ	vAstu deSayitavyam anAraMBa(M) sa-parAkramam
   sāra(ṃ)bhe ced bhi(kṣur vāstu)ny aparākrame mahallakaṃ vihāraṃ kārayamāṇaḥ	sAra(M)Be ced Bi(kzuH vAstu)ni aparAkrame mahallakam vihAram kArayamANaH
   sasvāmikam ātmoddeśikaṃ bhikṣ(ū)n nābhinayed vāstudeśanāyai saṃghāvaśeṣaḥ	sa-svAmikam Atma-uddeSikam Bikz(U)n na-aBinayet vAstu-deSanAyE saMGa-avaSezaH
   PrMoSū_SA.8:	PrMA-uSU_SA.8:
   yaḥ punar bhikṣur duṣṭo doṣād apratītaḥ śuddhaṃ bhikṣum an(āpa)nna(m)	yaH punar BikzuH duzwaH dozAt apratItaH SudDam Bikzum an(Apa)nna(m)
   amūlakena pārājikena dharmeṇānudhvaṃsayed apy evainaṃ brahmacaryāc	amUlakena pArAjikena DarmeNa-anuDvaMsayet api eva-enam brahmacarya-At-
   cyāvayeyam iti	cyAvayeyam iti
   tasya sādhu ca suṣṭhu ca samanuyujyamānasya samanugāhyamānasya amūlaṃ	tasya sADu ca suzWu ca samanuyujyamAnasya samanugAhyamAnasya amUlam
   caiva tad adhikaraṇaṃ bhaved bhikṣuś cānudhvaṃsayitā doṣe pratitiṣṭhed	ca-eva tat aDikaraNam Bavet BikzuH ca-anuDvaMsayitA doze pratitizWet-
   doṣeṇ(āvocam iti) saṃghāvaśeṣ(aḥ) 8	dozeN(A-avocam iti) saMGa-avaSez(aH) 8
   PrMoSū_SA.9:	PrMA-uSU_SA.9:
   yaḥ punar bhikṣur duṣṭo doṣād apratītaḥ anyathābhāgīyasyādhikaraṇasya	yaH punar BikzuH duzwaH dozAt apratItaH anyaTA-BAgIyasya-aDikaraNasya
   kaṃcid eva leśamātraṃ dharmam upādāya apārājikaṃ bhikṣuṃ pārājikena	kaMcid eva leSa-mAtram Darmam upAdAya apArAjikam Bikzum pArAjikena
   dharmeṇānudhvaṃsayed apy evainaṃ brahmacaryāc cyāvayeyam iti	DarmeNa-anuDvaMsayet api eva-enam brahmacaryAt cyAvayeyam iti
   tasya sādhu ca suṣṭhu ca samanuyujyamānasya samanugāhyamānasya	tasya sADu ca suzWu ca samanuyujyamAnasya samanugAhyamAnasya
   anyathābhāgi tad adhikaraṇaṃ bhaved anyathābhāgīnaś cādhikaraṇāt kaścid	anyaTA-ABAgi tat aDikaraNam Bavet anyaTA-BAgInaH ca-aDikaraNAt kaScid-
   eva leśamātro dharma upādatto bhaved bhikṣuś cānudhvaṃsayitā doṣe	eva leSa-mAtraH DarmaH upAdattaH Bavet BikzuH ca-anuDvaMsayitA doze
   pratitiṣṭhed doṣeṇāvocam iti saṃghavaśeṣa(ḥ) 9	pratitizWet dozeNa-avocam iti saMGa-vaSeza(H) 9
   PrMoSū_SA.10:	PrMA-uSU_SA.10:
   yaḥ punar bhikṣuḥ samagrasya saṃghasya bhedāya parākramed	yaH punar BikzuH samagrasya saMGasya BedAya parAkramet-
   bhedasaṃvartanīyaṃ vādhikaraṇaṃ samādāya vigṛhya tiṣṭhet sa bhikṣur	Beda-saMvartanIyam vA-aDikaraNam samAdAya vigRhya tizWet sa BikzuH-
   bhikṣubhir evaṃ syād vacanīyo mā tvam āyuṣmaṃ samagrasya saṃghasya bhedāya	BikzuBiH evam syAt vacanIyaH mA tvam Ayuzmam samagrasya saMGasya BedAya
   parākrama mā bhedasaṃvartanīyam adhikaraṇaṃ samādāya vigṛhya sth(ā)ḥ	parAkrama mA Beda-saMvartanIyam aDikaraNam samAdAya vigRhya sT(A)H
   sametv āyuṣmaṃ sārdhaṃ saṃghena samagro hi saṃghaḥ sahitaḥ saṃmodamāna	sametu Ayuzmam sArDam saMGena samagraH hi saMGaH sahitaH saMmodamAna
   avivadamāna ekāgra ekoddeśa ekakṣīrodakībhūtaḥ sukhaṃ phāṣaṃ viharati	avivadamAnaH ekAgre eka-uddeSaH eka-kzIra-udakIBUtaH suKam PAzam viharati
   niḥsṛja tvam āyuṣmaṃ saṃghabhedakaraṃ vastu /	niHsRja tvam Ayuzmam saMGa-Beda-karam vastu /
   evaṃ cet sa bhikṣur bhikṣubhir ucyamānas tad eva vastu samādāya vigṛhya	evam ced sa BikzuH BikzuBiH ucyamAnaH tat eva vastu samAdAya vigRhya
   tiṣṭhen na pratiniḥsṛjet sa bhikṣur bhikṣubhir yāvat trir api	tizWet na pratiniHsRjet sa BikzuH BikzuBiH yAvat tris api
   samanuśāsitavyas tasya vastunaḥ pratiniḥsargāya sa yāvat trir api	samanuSAsitavyaH tasya vastunaH pratiniHsargAya sa yAvat tris api
   samanuśiṣyamāṇas tad vastu pratiniḥsṛjed ity evaṃ kuśalaṃ no cet	samanuSizyamANaH tat vastu pratiniHsRjet iti evam kuSalam no ced-
   pratiniḥsṛjet saṃghāvaśeṣaḥ 10	pratiniHsRjet saMGa-avaSezaH 10
   PrMoSū_SA.11:	PrMA-uSU_SA.11:
   tasya ced bhikṣor bhikṣavaḥ syur anuvartino vyagravādina eko vā dvau vā	tasya ced BikzoH BikzavaH syuH anuvartinaH vyagra-vAdinaH ekaH vA dvO vA
   saṃbahulā vā te tāṃ bhikṣūn evaṃ vadeyur mā yūyam āyuṣmaṃta itthaṃnāmānaṃ	saMbahulA vA te tAm BikzUn evam vadeyuH mA yUyam AyuzmaMtaH itTaMnAmAnam
   bhikṣum atra vastuniḥ kiṃcid vadantu tat kasmād dhetor dharmavādī caiṣa	Bikzum atra vastuniH kiMcid vadantu tat kasmAt DetoH Darma-vAdI ca-eza
   bhikṣur vinayavādī ca asmākaṃ caiṣa cchandaṃ ca ruciṃ cādāyānuvyāharati /	BikzuH vinaya-vAdI ca asmAkam ca-eza cCandam ca rucim ca-AdAya-anuvyAharati /
   jānaṃ caiṣa bhikṣur bhāṣate nājānaṃ yac cāsya bhikṣo rocate ca kṣamate ca	jAnam ca-eza BikzuH BAzate na-ajAnam yat ca-asya BikzaH rocate ca kzamate ca
   asmākam api tad rocate ca kṣamate ca /	asmAkam api tat rocate ca kzamate ca /
   te bhikṣavo bhikṣubhir evaṃ syur vacanīyāḥ naiṣa bhikṣur dharmavādī na	te BikzavaH BikzuBiH evam syuH vacanIyAH na-eza BikzuH Darma-vAdI na
   vinayavādī adharmaṃ caiṣo 'vinayaṃ cādāya vigṛhyānuvyāharati	vinaya-vAdI aDarmam ca-ezaH avinayam ca-AdAya vigRhya-anuvyAharati
   (niḥ)sṛja(ṃ)tv āyuṣmantaḥ saṃghabhedānuvartitāṃ vyagravāditāṃ samagro hi	(niH)sRja(M)tu AyuzmantaH saMGa-Beda-anuvartitAm vyagra-vAditAm samagraH hi
   saṃghaḥ sahitaḥ saṃmodamāna avivadamāna ekāgra ekoddeśa ekakṣīrodakībhūtaḥ	saMGaH sahitaH saMmodamAnaH avivadamAnaH ekAgre eka-uddeSaH eka-kzIra-udakIBUtaH
   sukhaṃ phāṣaṃ viharati	suKam PAzam viharati
   evaṃ cet te bhikṣavo bhikṣubhir uc(y)amānās tad eva vastu samādāya vigṛhya	evam ced te BikzavaH BikzuBiH uc(y)amAnAH tat eva vastu samAdAya vigRhya
   tiṣṭheyur na pratiniḥsṛjeyus te bhikṣavo bhikṣubhir yāvat t(ri)r api	tizWeyuH na pratiniHsRjeyuH te BikzavaH BikzuBiH yAvat t(ri)H api
   samanuśāsitavyās tasya vastunaḥ pratiniḥsargāya te yā(vat tr)ir api	samanuSAsitavyAH tasya vastunaH pratiniHsargAya te yA(vat tr)iH api
   samanuśiṣyamāṇās tad vastu pratiniḥsṛjeyur ity evaṃ kuśalaṃ (no cet	samanuSizyamANAH tat vastu pratiniHsRjeyuH iti evam kuSalam (no ced-
   pra)t(i)niḥsṛjeyuḥ saṃghāvaśeṣaḥ 11	pra)t(i)-niHsRjeyuH saMGa-avaSezaH 11
   PrMoSū_SA.12:	PrMA-uSU_SA.12:
   bhikṣuḥ punar anyatamaṃ grāmaṃ vā nigamaṃ vopaniḥś(ri)tya viharet sa ca	BikzuH punar anyatamam grAmam vA nigamam vA-upaniHS(ri)tya viharet sa ca
   syāt kuladūṣakaḥ pā(pa)samācāraḥ tasya kulāni duṣṭāni dṛśyeran vā śrūyeran	syAt kula-dUzakaH pA(pa)-samAcAraH tasya kulAni duzwAni dRSyeran vA SrUyeran
   vā prajñāyeran vā pāpakāś ca tasya samācārā dṛśyera(n) vā śrūyera(n) vā	vA prajQAyeran vA pApakAH ca tasya samAcArAH dRSyeH-a(n) vA SrUyera(n) vA
   prajñāyeran vā kuladūṣakaś ca syāt pāpasamācā(raḥ)	prajQAyeran vA kuladUzakaH ca syAt pApa-samAcA(raH)
   sa bhikṣur bhikṣubhir evaṃ syād vacanīyaḥ āyuṣmāṃ kuladūṣakaḥ	sa BikzuH BikzuBiH evam syAt vacanIyaH AyuzmAm kula-dUzakaH
