   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   niḥ santāno 'pi vai mantrī na yāti siddhigocaram /	niH santAnaH api vE mantrI na yAti sidDi gocaram /
   nūnam etat dvijaśreṣṭha sanmārgasyaiḥ kriyāparaiḥ // Paus_27.11 //	nUnam etat dvijaSrezWa sat mArgasyEH kriyA parEH // POH _27.11 //
   satkartavyaprakāreṇa tvanugrāhayāḥ sadaiva hi /	satkartavya prakAreNa tu anugrAhayAH sadA eva hi /
   samāsādyātra saṃyāti yathā divyaṃ paraṃ padam // Paus_27.12 //	samAsAdya atra saMyAti yaTA divyam param padam // POH _27.12 //
   ātastuḥ (?atastu) dīkṣitānāṃ ca sarveṣāṃ sā mayājinām /	AtastuH (?atastu) dIkzitAnAm ca sarvezAm sA mayA ajinAm /
   avaktavyaṃ ca vaktavyaṃ etat nirvartanāya ca // Paus_27.13 //	avaktavyam ca vaktavyam etat nirvartanAya ca // POH _27.13 //
   śrāddhakāle tu vai muktavā tair apyanyatra padmaja /	SrAdDa kAle tu vE muktavA tEH api anyatra padmaja /
   mantramudrākriyā dhyānamajñānādikriyāṃ vinā // Paus_27.14 //	mantra mudrA kriyA DyAnam ajQAna Adi kriyAm vinA // POH _27.14 //
   nābhyastavyā na yoktavyā bhaktaiḥ sāmayikādibhiḥ /	nAByastavyAH na yoktavyAH BaktEH sAmayika AdiBiH /
   samāśritya nimittaṃ vai deśakālādiktaṃ dvija // Paus_27.15 //	samASritya nimittam vE deSa kAlAt iktam dvija // POH _27.15 //
   kriyate yat pitṝṇāṃ ca bhavatyanṛṇavān naraḥ /	kriyate yat pitLNAm ca Bavati anRNavAn naraH /
   prayāti tṛptim atulāṃ tena karmavaśād api // Paus_27.16 //	prayAti tRptim atulAm tena karma vaSAt api // POH _27.16 //
   āgate gatim āyānti śrāddhād āhlādasaṃyutām /	Agate gatim AyAnti SrAdDAt AhlAda saMyutAm /
   sakṛdvaikaṃ tu bahudhā kālamādehalakṣaṇam // Paus_27.17 //	sakRt vEkam tu bahuDA kAlam Adeha lakzaNam // POH _27.17 //
   yuktaṃ tithigaṇena eva vātsarīyeṇa pauṣkāra /	yuktam tiTi gaNena eva vAtsarIyeNa pOzkAraH /
   kṣetrāptipūrveṇānnena sannimittagaṇena tu // Paus_27.18 //	kzetra Apti pUrveNa annena sat nimitta gaNena tu // POH _27.18 //
   saṃsāraduḥkhaśāntyarthaṃ duṣkṛtakṣapaṇāya ca /	saMsAra duHKa SAnti arTam duzkRta kzapaNAya ca /
   .... // Paus_27.19 //	.... // POH _27.19 //
   vyakte ca indriyacakrasya duḥkhajaṃ duṣkṛtaṃ hi yat /	vyakte ca indriya cakrasya duHKa jam duzkRtam hi yat /
   save (?yad ) dyanantakalpaṃ ca karmātmā ye?(?saṃ ) yato 'bjajī //	save (?yat ) dyananta kalpam ca karma AtmA ye?(?sam ) yatas abja jI //
   Paus_27.20 //	POH _27.20 //
   ato bhūtamayaṃ dehaṃ samantaram asya vai /	atas BUta mayam deham samantaram asya vE /
   duḥkhopalambhanaṃ kalpaṃ yasmāt kamalasaṃbhava // Paus_27.21 //	duHKa upalamBanam kalpam yasmAt kamala saMBavaH // POH _27.21 //
   duḥkhena śāmyate duḥkha sanyaskandhagate (?duḥkhamanyaskandhagataṃ ) yathā	duHKena SAmyate duHKaH sanya skanDa gate (? duHKam anya skanDa gatam ) yaTA
   skandhādgurutaraṃ bhāraṃ nṛṇāṃ duṣkṛtakāriṇām // Paus_27.22 //	skanDAt gurutaram BAram nRNAm duzkRta kAriNAm // POH _27.22 //
   nidrakrāntasvapiṇḍāt vai yathā nirgatya pauṣkara /	nidra krAnta sva piNxAt vE yaTA nirgatya pOzkara /
   vāsanādeham āśritya nānāceṣṭāṃ karoti ca // Paus_27.23 //	vAsanA deham ASritya nAnA cezwAm karoti ca // POH _27.23 //
   bhūtapiṇḍaṃ vinā tāsāṃ na śāntim anuvindati /	BUta piNxam vinA tAsAm na SAntim anuvindati /
   evam annāśritaṃ pūrvaṃ prāṇam indriyasaṃgraham // Paus_27.24 //	evam anna ASritam pUrvam prANam indriya saMgraham // POH _27.24 //
   vyaktikṛtaṃ na vai deva (?haṃ )dehabhāvena dehinām /	vyakti kRtam na vE deva (?ham )deha BAvena dehinAm /
   tāvat karmakṣayaṃ teṣāṃ kathameti mahāmate // Paus_27.25 //	tAvat karma kzayam tezAm kaTam eti mahAmate // POH _27.25 //
   antastad upacārārthaṃ jñānapūrveṇa karmaṇā /	antar tat upacAra arTam jQAna pUrveNa karmaNA /
   saṃpādya yadvaśāt śīghram anantaṃ sukhamedhate // Paus_27.26 //	saMpAdya yad vaSAt SIGram anantam suKam eDate // POH _27.26 //
   sāmānyaṃ vaiṣṇavānāṃ ca gurvādīnāṃ viśeṣataḥ /	sAmAnyam vEzNavAnAm ca guru AdInAm viSezataH /
   sādhāraḥ saṃpradhānākhyaḥ sāṃprataṃ vidhiḥ ucyate // Paus_27.27 //	sADAraH saMpraDAna AKyaH sAMpratam viDiH ucyate // POH _27.27 //
   nimantritaṃ vā saṃprāptaṃ nityam aṅgīkṛtaṃ tvatha /	nimantritam vA saMprAptam nityam aFgIkRtam tu aTa /
   dvijendraṃ pañjakālajñaṃ ṣaṭkarmanirataṃ tu vā // Paus_27.28 //	dvijendram paQja kAla jQam zawkarma niratam tu vA // POH _27.28 //
   snānādinā purā kṛtvā prayataḥ saṃviśet punaḥ /	snAna AdinA purA kRtvA prayataH saMviSet punar /
   svayam ardhyāmbunā vipra pavitrīkṛtya pāṇinā // Paus_27.29 //	svayam arDya ambunA vipra pavitrIkRtya pANinA // POH _27.29 //
   santāya kusumāstreṇa mantrāraścādhiṣṭhitena ca /	santAya kusuma astreNa mantra araH ca aDizWitena ca /
   samuddharan netramantraṃ mantrārthādhiṣṭhitena ca // Paus_27.30 //	samudDaran netra mantram mantra arTa aDizWitena ca // POH _27.30 //
   samuccaran netramantram avalokya atha kadviti (?vāstviti ) /	samuccaran netra mantram avalokya aTa kadu iti (?vA astu iti ) /
   niveśya bhagavatyagre (?to 'gre ) praṇavādhiṣṭhitāsane // Paus_27.31 //	niveSya Bagavati agre (?taH agre ) praNava aDizWita Asane // POH _27.31 //
   pūjite vitate pūte saṃmukhaṃ vottarānanam /	pUjite vitate pUte saMmuKam vA uttara Ananam /
   udakdigkṣamāṇaṃ ca viniveśya tathā ca tat // Paus_27.32 //	udak digkzamANam ca viniveSya taTA ca tat // POH _27.32 //
   yathā mantreśadigraśmiprasareṇa abhividhyate /	yaTA mantreSa digraSmi prasareNa aBiviDyate /
   mantreṇa ārādhya taṃ dhyātvā brūyāt saṃyatā (?ta ) vāgbhava // Paus_27.33	mantreNa ArADya tam DyAtvA brUyAt saMyatA (?te ) vAc Bava // POH _27.33
   samādhāya jagannāthra hṛtpadmagaganer'kavat /	samADAya jagannATra hRd padma gaganeH akavat /
   saptātrasyātha pātrāṇāṃ pātrābhyāṃ vābjasaṃbhava // Paus_27.34 //	saptAtrasya aTa pAtrANAm pAtrAByAm vA abja saMBavaH // POH _27.34 //
   evaṃ kṛtvā pratiṣṭhānaṃ prāg yatnenātra karmaṇi /	evam kRtvA pratizWAnam prAk yatnena atra karmaNi /
   samuddiśya pitṝn dadyāt dānama (?mā )ntaravedikam // Paus_27.35 //	samuddiSya pitLn dadyAt dAnamaH (?mA )ntara vedikam // POH _27.35 //
   niveśitaṃ dvijendraṃ yad vṛttistham api mantrarāṭ /	niveSitam dvijendram yat vRtti sTam api mantra rAj /
   antarvedī tu sā jñeyā tvābhyām abhyantaraṃ hi tat // Paus_27.36 //	antarvedI tu sA jQeyA tvAByAm aByantaram hi tat // POH _27.36 //
   saṃpradānaṃ pitṝṇāṃ yat kuryāt satpātrapiṇḍakam /	saMpradAnam pitLNAm yat kuryAt sat pAtra piNxakam /
   tad divyam amalaṃ yasmāt caitanyam avalaṃbyate // Paus_27.37 //	tat divyam amalam yasmAt cEtanyam avalaMbyate // POH _27.37 //
   tatkālaṃ saṃvibhajyāśca (?tha ) tiṣṭhanti kamalodbhava /	tad kAlam saMviBajyAH ca (?TaH ) tizWanti kamalodBavaH /
   pradātṛsaṅkalpavaśāt dattaṃ puṣkarasaṃbhava // Paus_27.38 //	pradAtR saFkalpa vaSAt dattam puzkara saMBavaH // POH _27.38 //
   ekasya vā bahūnāṃ vā pradadyād āsanopari /	ekasya vA bahUnAm vA pradadyAt Asana upari /
   punarevāsanaṃ dābhamigranthi bahubhiḥ kuśaiḥ // Paus_27.39 //	punar eva Asanam dABamigranTi bahuBiH kuSEH // POH _27.39 //
   vibhoḥ yajñāṅgadehasya lomāni tu kuśāḥ smṛtāḥ /	viBoH yajQa aFga dehasya lomAni tu kuSAH smRtAH /
   tā eva nāyaḥ sarvā tasya bhūtaśarīragāḥ // Paus_27.40 //	tAH eva na ayaH sarvA tasya BUta SarIra gAH // POH _27.40 //
   raśmayo bhūtadehe tu cinmūrteḥ śaktayo 'khilāḥ /	raSmayaH BUta dehe tu cit mUrteH SaktayaH aKilAH /
   ata eva hi viprendra pitṝṇāṃ tu kuśāsanam // Paus_27.41 //	atas eva hi vipra indra pitLNAm tu kuSAsanam // POH _27.41 //
   śrāddhakāle tu vihitam āhūtānāṃ tadūrdhvataḥ /	SrAdDa kAle tu vihitam AhUtAnAm tad UrDvatas /
   yat kiṃcid dīyate bhaktayā brahmabhūtaṃ tu tadbhavet // Paus_27.42 //	yat kiMcid dIyate BaktayA brahma BUtam tu tat Bavet // POH _27.42 //
   purā vai hetunānena nṛṇām aviditātmanām /	purA vE hetunA anena nRNAm avidita AtmanAm /
   karmavyatra kuśājālaṃ vihitaṃ kamalodbhava // Paus_27.43 //	karma vyatra kuSA jAlam vihitam kamalodBavaH // POH _27.43 //
   yeṣāṃ sarvagataṃ brahman mantrarūpīśvaro 'cyutaḥ /	yezAm sarva gatam brahman mantra rUpi ISvaraH acyutaH /
   bhāvasthatatvatastābhisteṣāṃ vai na prayojanam // Paus_27.44 //	BAva sTa tatvataH tABiH tezAm vE na prayojanam // POH _27.44 //
   athāścaparijaptena bhūtināvātmaśaṅkunā /	aTa aSca parijaptena BUtinO= Atma SaFkunA /
   masṛṇenāśmacūrṇena parighāsu yathāthavā // Paus_27.45 //	masRNena aSma cUrNena pariGAsu yaTA aTavA // POH _27.45 //
   bahistadāsane kāryā tvagre dairghyācchamādhikā /	bahis tad Asane kAryA tu agre dErGyAt Sama aDikAH /
   vaipulyācchamamānaṃ tu prāgvat pāvanatāṃ nayet // Paus_27.46 //	vEpulyAt SamamAnam tu prAgvat pAvana tAm nayet // POH _27.46 //
   nyaset tatrāpyabhagnāgrān udaṅmūlān kuśān dvija /	nyaset tatra api aBagna agrAn udak mUlAn kuSAn dvija /
   yasmād divyam udagbhāgaṃ pitryaṃ dakṣiṇasaṃjñakam // Paus_27.47 //	yasmAt divyam udak BAgam pitryam dakziNa saMjQakam // POH _27.47 //
   svakenāmṛtavīryeṇa nityaṃ saṃvardhayanti ca /	svakena amRta vIryeNa nityam saMvarDayanti ca /
   darbhamārgacchatenaiva pitṝṇāṃ te 'marān dvija // Paus_27.48 //	darBa mArga= Catena eva pitLNAm te amarAn dvija // POH _27.48 //
   vasatyantaḥ pitṛgaṇo bhāgamāśritya dakṣiṇam /	vasati antar pitR gaNaH BAgam ASritya dakziNam /
   citkalāṃśasvarūpeṇa nṛṇāmevaṃ hi cottare // Paus_27.49 //	cit kalA aMSa svarUpeNa nRNAm evam hi ca uttare // POH _27.49 //
   kṛtāspadāmalā nityā tvamṛtākhyākṣayā kalā /	kRta AspadA amalA nityA tu amRta AKya akzayA kalA /
   ata evaṃ hi yatkiñcid ābrahmaviditaiḥ dvija // Paus_27.50 //	atas evam hi yat kiQcid Abrahma viditEH dvija // POH _27.50 //
   pradīyate pitṝṇāṃ ca tat satyena tu pāṇinā /	pradIyate pitLNAm ca tat satyena tu pANinA /
   ye 'dhikṛtya jagadyoniṃ mantrātmānamajaṃ harim // Paus_27.51 //	ye aDikRtya jagadyonim mantra AtmAnam ajam harim // POH _27.51 //
   prayacchanti pitṝṇāṃ ca toyatarpaṇapūrvakam /	prayacCanti pitLNAm ca toya tarpaNa pUrvakam /
   teṣāṃ tadāśrayatvā yaduktaṃ nānakāraṇam // Paus_27.52 //	tezAm tadASrayatvA yat uktam nAna kAraNam // POH _27.52 //
   kartavyasya ca pāramyaṃ prakṛtasya mahāmate /	kartavyasya ca pAramyam prakRtasya mahAmate /
   sphuratyantargataṃ yeṣāṃ mantrārādhanapūrvakam // Paus_27.53 //	sPurati antargatam yezAm mantra ArADana pUrvakam // POH _27.53 //
   tat svottaravaśādyeṣāṃ mantrasāṃmukhyadigvaśāt /	tat sva uttara vaSa At i ezAm mantra sAMmuKya digvaSAt /
   cetasā nirvikalpena kṛtaṃ bhavati cākṣayam // Paus_27.54 //	cetasA nirvikalpena kRtam Bavati ca akzayam // POH _27.54 //
   kintu puṣkarasambhūta durlabhā bhuvi cetanāḥ /	kintu puzkara samBUta durlaBAH Buvi cetanAH /
   iti cetasi vai yeṣāṃ niścayīkṛtya vartate // Paus_27.55 //	iti cetasi vE yezAm niScayIkRtya vartate // POH _27.55 //
   satyatāmupanīye (?te )tvevanyasye kuśācaye /	satyatAm upanIye (?te )tu evanyasye kuSAcaye /
   tilāṃstathāścajaptāśca tadūrdhve vikiret punaḥ // Paus_27.56 //	tilAn= taTA aH ca japtAH ca tad UrDve vikiret punar // POH _27.56 //
   kuruvindastu darbhāgrairyasmādetad dvayaṃ dvija /	kuruvindaH tu darBa agrEH yasmAt etat dvayam dvija /
   sarvasya bhogajālasya janakaṃ bhuvanatraye // Paus_27.57 //	sarvasya Boga jAlasya janakam Buvanatraye // POH _27.57 //
   viśeṣāt pitṛdevasya śraddhāpūtasya vastunaḥ /	viSezAt pitR devasya SradDA pUtasya vastunaH /
   agnīṣomasvarūpeṇa śāntyātmā bhagavāna svayam // Paus_27.58 //	agnIzoma svarUpeNa SAnti AtmA BagavAn a svayam // POH _27.58 //
   vyaktaḥ karmātmaka ( ta ) tvānāṃ mūrtitvenātmasiddhaye /	vyaktaH karma AtmakaH ( te ) tvAnAm mUrti tvena Atma sidDaye /
   sa pitryasya ca divyasya vyāpārasyātivaddhaye // Paus_27.59 //	sa pitryasya ca divyasya vyApArasya ati vat haye // POH _27.59 //
   tattejastilabhāvena hlādo vartatyapātmanā /	tad tejaH tila BAvena hlAdaH vartati apAtmanA /
   ata evāprabuddhānāṃ prabuddhānāmapi dvija // Paus_27.60 //	atas eva aprabudDAnAm prabudDAnAm api dvija // POH _27.60 //
   tilodakena bhāvaṃ tu gacchataḥ śrāddhakarmaṇi /	tila udakena BAvam tu gacCataH SrAdDa karmaNi /
   śrāddhasya ca parā rakṣā te dve nityamamārntraṇām // Paus_27.61 //	SrAdDasya ca parA rakzA te dve nitya mama arntraNAm // POH _27.61 //
   tatsvarūpavidāṃ cai va viśeṣo mantravedinām /	tad svarUpa vidAm cE va viSezaH mantra vedinAm /
   nyastra strāṇyabhijaprāni tatra pātrāṇi vinyaset // Paus_27.62 //	nyastra strANi aBijaprAni tatra pAtrANi vinyaset // POH _27.62 //
   tatrādyaṃ cakavṛttāni hemādyutthāni ( ?nya ) saṃbhave /	tatra Adyam caka vRttAni hema Adi utTAni ( ?nyaH ) saMBave /
   pālāśakadalīpatratamālacchadanānyatha // Paus_27.63 //	pAlASa kadalI patra tamAlacCadanAni aTa // POH _27.63 //
   purānya strāmbuśaddhāni śubhaparṇamayāni ca /	purAnya stra ambu SadDAni SuBa parNa mayAni ca /
   pādayorapi pādyārthaṃ kaṃ kṣiped dakṣiṇāditaḥ // Paus_27.64 //	pAdayoH api pAdya arTam kam kzipet dakziNa AditaH // POH _27.64 //
   āmūrdham arcayet paścād ardhyapuṣpānulepanaiḥ /	AmUrDam arcayet paScAt arDya puzpa anulepanEH /
   vastrastragdhūpadīpaiḥ tu dadhyannaṃ phalavādiṇā // Paus_27.65 //	vastrastragDUpa dIpEH tu daDi annam Pala vAdiNA // POH _27.65 //
   satāmbūlena vittena yathāśakti mahāmate /	sa tAmbUlena vittena yaTASakti mahAmate /
   samuddiśya pitṝn sarvān sanābhīyān yathākramam // Paus_27.66 //	samuddiSya pitLn sarvAn sanABIyAn yaTAkramam // POH _27.66 //
   śabdabhāvasvarūpāstu jñavṛttisthānavigrahān /	Sabda BAva svarUpAH tu jQa vRtti sTAna vigrahAn /
   bahutve sati viprāṇāṃ pitṛṇāmevamācaret // Paus_27.67 //	bahu tve sati viprANAm pitRNAm evam Acaret // POH _27.67 //
   yatra dvijadvayaṃ vipra pitrarthaṃ viniveśitam /	yatra dvija dvayam vipra pitR arTam viniveSitam /
   ekāsmin svapitṛṇāṃ tu tadā kāryaśca sannidhiḥ // Paus_27.68 //	ekA asmin sva pitRNAm tu tadA kAryaH ca sanniDiH // POH _27.68 //
   dvitīye jananīyānāṃ tatha'nyeṣāṃ tu saṃsthitim /	dvitIye jananIyAnAm taTas anyezAm tu saMsTitim /
   sarveṣāmekaprāptaṃ tu tṛpraye yadi yojitam // Paus_27.69 //	sarvezAm eka prAptam tu tRpraye yadi yojitam // POH _27.69 //
   omādyamasmacchabdaṃ tu pitṛbhyastadanantaram /	oma Adyam asmad Sabdam tu pitRByaH tad anantaram /
   idam ardhyam idaṃ pādyaṃ tadante saṃsmaret svadhām // Paus_27.70 //	idam arDyam idam pAdyam tad ante saMsmaret svaDAm // POH _27.70 //
   sarvāsmin upacārānte vaṃ vā saṃsmaran naram /	sarvA asmin upacAra ante vam vA saMsmaran naram /
   namaḥ svadhāthavā brūyānnamontāṃ tvathavā svathavā svadhām // Paus_27.71	namaH svaDA aTavA brUyAt namontAm tu aTavA su aTavA svaDAm // POH _27.71
   evameva hi yaḥ kuryāt kartavyatvena pauṣkara /	evam eva hi yaH kuryAt kartavya tvena pOzkara /
   tulyānāṃ ca svakulyānāṃ namastatra ca kevalam // Paus_27.72 //	tulyAnAm ca sva kulyAnAm namaH tatra ca kevalam // POH _27.72 //
   satyukte vyatyaye nityaṃ vihitaṃ ca svadhā dvija /	sati ukte vyatyaye nityam vihitam ca svaDA dvija /
   svayameva hi sanyāsī dadāti ca phalārthinām // Paus_27.73 //	svayam eva hi sa nyAsI dadAti ca Pala arTinAm // POH _27.73 //
   kāryastena namaskāraḥ svadhānte nityameva hi /	kAryaH tena namaskAraH svaDA ante nityam eva hi /
   dadāti phalakāmastu yo nityaphalamārthinām // Paus_27.74 //	dadAti Pala kAmaH tu yaH nitya PalamArTinAm // POH _27.74 //
   svadhākārāvasāne tu hitaṃ tasya sadā namaḥ /	svaDAkAra avasAne tu hitam tasya sadA namaH /
   evam icchavaśenai va saṃvibhajya pitṝn dvija // Paus_27.75 //	evam icCa vaSenEH va saMviBajya pitLn dvija // POH _27.75 //
   pṛṣṭvā pātramukhenaiva satṛptiṃ ca punaḥ punaḥ /	pRzwvA pAtra muKena eva sa tRptim ca punar punar /
   tato 'mbhaśculakaṃ pāṇau hranmantreṇāmṛtopamam // Paus_27.76 //	tatas amBaH culakam pANO hrad mantreNa amRta upamam // POH _27.76 //
   dadyāt pūrṇendutulyaṃ taddhyātavyaṃ tatkalāḥ paḍhan /	dadyAt pUrNa indu tulyam tat DyAtavyam tad kalAH paXan /
   sānusvāram akārādyairbhinnaṃ ṣoḍaśabhiḥ svaraiḥ // Paus_27.77 //	sa anusvAram akAra AdyEH Binnam zoxaSaBiH svarEH // POH _27.77 //
   tvaṅkārananiniṣṭaṃ ca tatra prākasthaḥ satārakam /	tvaFka arana ninizwam ca tatra prAkasTaH sa tArakam /
   ityuktaṃ sakalasyendora vācakaṃ mantramabjaja // Paus_27.78 //	iti uktam sakalasya indora vAcakam mantram abja jaH // POH _27.78 //
   pāṇiprakṣakanāt pūrvaṃ pātavyaṃ tena pūrvavat /	pANi prakzakanAt pUrvam pAtavyam tena pUrvavat /
   yenāmṛtapurāntastham annavīryam anaśvaram // Paus_27.79 //	yena amRta pura anta sTam anna vIryam anaSvaram // POH _27.79 //
   bhavatyāpyāyakṛd brahman pitṛdevagaṇasya ca /	Bavati ApyAya kRt brahman pitR deva gaNasya ca /
   māṣacūṇādinā pāṇiṃ prakṣālyāmaṇibandhanāt // Paus_27.80 //	mAza cUNa AdinA pANim prakzAlyAmaNi banDanAt // POH _27.80 //
   samācamyopasaṃhṛtya ūcchiṣṭaṃ tu yathāvidhi /	samAcamya upasaMhRtya UcCizwam tu yaTAviDi /
   pavitrīkṛtya vasudhāṃ pāṇau kṛtvā tilodakam // Paus_27.81 //	pavitrIkRtya vasuDAm pANO kRtvA tila udakam // POH _27.81 //
   prīṇanaṃ bhagavatyagre samutthāyācaret tataḥ /	prINanam Bagavati agre samutTAya Acaret tatas /
   tavāstu bhagavan pūrvaḥ prītaḥ pitṛgaṇastathā // Paus_27.82 //	tava astu Bagavan pUrvaH prItaH pitR gaNaH taTA // POH _27.82 //
   śārīro devatāvyūha a ( ā )padā ( dyo )dyā vyavasthitaḥ /	SArIraH devatA vyUha a ( A )padA ( dyaH )dyAH vyavasTitaH /
   evaṃ suvitate kuryāt karmatvārādhanālaye // Paus_27.83 //	evam su vitate kuryAt karma tva ArADana Alaye // POH _27.83 //
   saṅkaṭe punaraanyatra yāyādabhyarcya mantrarāṭ /	saFkawe punar aanyatra yAyAt aByarcya mantra rAj /
   sthānaṃ saṃskārasaṃśudhdaṃ kṛtvā prāktānādinā // Paus_27.84 //	sTAnam saMskAra saMSuDdam kRtvA prAkta anAdinA // POH _27.84 //
   vyāptiśaktayāritaṃ bhūtastoyādhāragataṃ smaret /	vyApti SaktayAritam BUtaH toya ADAra gatam smaret /
   manyamarcanapūrvaṃ tu tadagra sarvamācaret // Paus_27.85 //	manyam arcana pUrvam tu tat agra sarvam Acaret // POH _27.85 //
   pātrāghrāṇapareṇaiva tatpātrasthena bhāvayet /	pAtra AGrANa pareNa eva tad pAtra sTena BAvayet /
   mādhuyuktena haviṣā darbhakāṇḍaistilaiḥ saha // Paus_27.86 //	mADu yuktena havizA darBa kANxEH tilEH saha // POH _27.86 //
   nirdeṣaṃ vahninā kṛtvā hṛdā darbhāgrakeṇa tu /	nirdezam vahninA kRtvA hRdA darBa agrakeNa tu /
   dhyātvā dhāma drumākāraṃ jñasvabhāvaṃ mahat prabham // Paus_27.87 //	DyAtvA DAma druma AkAram jQa svaBAvam mahat praBam // POH _27.87 //
   dravyadoṣagaṇa kṛtsnaṃ nirdahantaṃ samantataḥ /	dravya doza gaNa kRtsnam nirdahantam samantataH /
   devatānāṃ pitṝṇāṃ yat tṛptaye 'nnaṃ mahāmate // Paus_27.88 //	devatAnAm pitLNAm yat tRptaye annam mahAmate // POH _27.88 //
   tat sādhanaṃ ca vihitaṃ saṃskṛtena purānninā /	tat sADanam ca vihitam saMskRtena purAt ninA /
   dvābhyāṃ deśikapūrvābhyāme tad viṣayam abjaja // Paus_27.89 //	dvAByAm deSika pUrva aByAme tat vizayam abjaja // POH _27.89 //
   pradāpanamato 'nyeṣāṃ tatkālaṃ tasya vai hitam /	pradApanam atas anyezAm tad kAlam tasya vE hitam /
   sadaiva vidhinānena tadarthaṃ śubhasiddhaye // Paus_27.90 //	sadA eva viDinA anena tad arTam SuBa sidDaye // POH _27.90 //
   ekasyā śrayabījasya nānākarmavaśāt tu vai /	ekasyA Sraya bIjasya nAnA karma vaSAt tu vE /
   nānātvaṃ bhāvayed buddhayā pitṛkarmavyataḥ purā // Paus_27.91 //	nAnAtvam BAvayet budDayA pitR karma vyatas purA // POH _27.91 //
   tenaiva tarpaṇīyaṃ tat svayaṃbhūtā tadātmanā /	tena eva tarpaNIyam tat svayaMBUtA tad AtmanA /
   matpravāhavadantastho bhāvayed annapātragau // Paus_27.92 //	mad pravAha vat anta sTaH BAvayet anna pAtra gO // POH _27.92 //
   arhaṇāgrahagarbhau tu dvau darbhau tālasammitau /	arhaNa Agraha garBO tu dvO darBO tAla sammitO /
   hranmantramantritau kṛtvā tābhyāṃ saha samuddharet // Paus_27.93 //	hrad mantra mantritO kRtvA tAByAm saha samudDaret // POH _27.93 //
   rasarūpasvabhāvaṃ tat stha ( sthū )latvenānnatāṃ gatam /	rasa rUpa svaBAvam tat sTa ( sTuH )la tvena anna tAm gatam /
   caturaṅgulamātraṃ tu grāsaṃ grāsaṃ mahāmate // Paus_27.94 //	catur aFgula mAtram tu grAsam grAsam mahAmate // POH _27.94 //
