   | śrīḥ |	| SrIH |
   vācyo 'bhidheyo 'rthaḥ | tathā cāha -- jātir ityādi | iha yadyapi	vAcyaH aBiDeyaH arTaH | taTA ca-Aha - jAtiH ityAdi | iha yadi-api
   pravṛttinivṛttiviṣayo vyaktir eva, tathāpy ānantyad vyabhicārāc ca tatra	pravRtti-nivRtti-vizayaH vyaktiH eva, taTA-api Anantyat vyaBicArAt ca tatra
   saṅketaḥ kartum na pāryata iti gauḥ śuklaś calo ḍittha ityādīnām	saFketaH kartum na pAryate iti gOH SuklaH calaH xitTaH ityAdInAm
   ekārthatvaṃ mā prasāṅkṣīd iti ca śabdānām upādhāv eva saṅketaḥ | upādhiś	eka-arTa-tvam mA prasAFkzIt iti ca SabdAnAm upADO eva saFketaH | upADiH-
   ca vastudharmo vaktṛyadṛcchāsaṃniveśitaś ca | ādyaḥ siddhaḥ sādhyaś ca |	ca vastu-DarmaH vaktR-yadRcCA-saMniveSitaH ca | AdyaH sidDaH sADyaH ca |
   siddho 'pi dvividhaḥ padārthasya prāṇaprado viśeṣādhānahetuś ca | ādyo	sidDaH api dviviDaH padArTasya prANa-pradaH viSeza-ADAna-hetuH ca | AdyaH-
   jātiḥ | uktaṃ hi vākyapadīye -- "gaur hi svarūpeṇa na gauḥ, nāpy agauḥ,	jAtiH | uktam hi vAkyapadIye - "gOH hi svarUpeNa na gOH, na-api agOH,
   gotvābhisaṃbandhāt tu gauḥ" iti | dvitīyo guṇaḥ | śuklādinā hi	go-tva-aBisaMbanDAt tu gOH" iti | dvitIyaH guNaH | Sukla-AdinA hi
   labdhasattākaṃ vastu viśeṣyate | sādhyaḥ pūrvāparībhūtāvayavaḥ kriyārūpaḥ	labDa-sattAkam vastu viSezyate | sADyaH pUrva-aparIBUta-avayavaH kriyA-rUpaH
   | ḍitthādiśabdānāṃ antyabuddhinirgrāhyaṃ saṃhṛtakramaṃ svarūpaṃ vaktrā	| xitTa-Adi-SabdAnAm antya-budDi-nirgrAhyam saMhRta-kramam svarUpam vaktrA
   yadṛcchayā ḍitthādiṣv artheṣūpādhitayā saṃniveśyate iti ca saṃjñārūpo	yadRcCayA xitTa-Adizu arTezu-upADitayA saMniveSyate iti ca saMjQA-rUpaH-
   yadṛcchātmaka iti | gauḥ śuklaś calo ḍittha ityādau catuṣṭayī śabdānāṃ	yadRcCA-AtmakaH iti | gOH SuklaH calaH xitTaH ityAdO catuzwayI SabdAnAm
   pravṛttir bhāṣye kathitā | paramāṇutvādīnāṃ tu guṇamadhyapāṭhāt	pravRttiH BAzye kaTitAH | parama-aNu-tva-AdInAm tu guNa-maDya-pAWAt-
   pāribhāṣikaṃ guṇatvam | nanu payaḥśaṅkhādyāśrayībhūteṣu śuklādiguṇeṣu	pAriBAzikam guNa-tvam | nanu payaH-SaFKa-Adi-ASrayIBUtezu Sukla-Adi-guNezu
   yadvaśena śuklaḥ śukla ity abhinnāv abhidhānapratyayau stas	yad-vaSena SuklaH SuklaH iti aBinnO aBiDAna-pratyayO stas
   tacchuklatvādisāmānyam | guḍataṇḍulādipākeṣu evam eva pākatvādikam |	tad-Sukla-tva-Adi-sAmAnyam | guxa-taNxula-Adi-pAkezu evam eva pAka-tva-Adikam |
   śukasārikādyudīriteṣu ḍitthādiśabdeṣu ca ḍitthādiśabdatvaṃ pratikṣaṇaṃ	Suka-sArika-Adi-udIritezu xitTa-Adi-Sabdezu ca xitTa-Adi-Sabda-tvam pratikzaNam
   bhidyamāne vā ḍitthādyarthe ḍitthāditvam astīti katham catuṣṭayī śabdānāṃ	BidyamAne vA xitTa-Adi-arTe xitTa-Adi-tvam asti-iti kaTam catuzwayI SabdAnAm
   pravṛttiḥ | ucyate | saṃsthānāvasthānapramāṇavarṇair bhede 'pi vyaktīnāṃ	pravRttiH | ucyate | saMsTAna-avasTAna-pramANa-varNEH Bede api vyaktInAm
   śābaleyo gauḥ dhāvaleyo gaur ityādyekapratyayahetutvaṃ jāter eva |	SAbaleyaH gOH DAvaleyaH gOH ityAdi-eka-pratyaya-hetu-tvam jAteH eva |
   haṃsahārādīnāṃ ghṛtaguḍādīnāṃ śukasārikādyudīritaḍitthādiśabdānāṃ	haMsa-hAra-AdInAm GRta-guxa-AdInAm Suka-sArika-Adi-udIri-taxitTa-Adi-SabdAnAm
   nānāvasthaḍitthādyarthānāṃ ca bhede 'pi haṃsaḥ śuklaḥ, hāraḥ śuklaḥ,	nAnA-vasTaxitTa-Adi-arTAnAm ca Bede api haMsaH SuklaH, hAraH SuklaH,
   ghṛtaṃ pacyate, guḍaṃ pacyate, ḍitthaśabdo ḍitthaśabdaḥ, ḍittho ḍittha	GRtam pacyate, guxam pacyate, xitTa-SabdaH xitTa-SabdaH, xitTaH xitTa
   ityekākārāvagatinibandhanatvād ekarūpatvam eva guṇakriyāyadṛcchānām iti	iti-eka-AkAra-avagati-nibanDana-tvAt eka-rUpa-tvam eva guNa-kriyAyadRcCAnAm iti
   naitāsāṃ bhinneṣv abhinnābhidhānapratyayahetur jātir ghaṭata iti catvāry	na-etAsAm Binnezu aBinna-aBiDAna-pratyaya-hetuH jAtiH Gawate iti catvAri-
   eva śabdapravṛttinimittāni ||	eva Sabda-pravRtti-nimittAni ||
             aparam āha --	aparam Aha --
        tadbādhe rūḍhito 'rthād vā lakṣaṇīyas tadanvitaḥ || 1 ||	tad-bADe rUXitaH arTAt vA lakzaNIyaH tad-anvitaH || 1 ||
   śabde kuśala ityādau darbhagrahaṇādyayogāt gaṅgāyāṃ ghoṣa ityādau ca	Sabde kuSalaH ityAdO darBa-grahaNa-Adya-yogAt gaFgAyAm GozaH ityAdO ca
   gaṅgādīnāṃ ca ghoṣādhikaraṇatāsaṃbhavāt mukhyārthasya bādhaḥ, rūḍitaḥ	gaFgA-AdInAm ca Goza-aDikaraNa-tA-saMBavAt muKya-arTasya bADaH, rUxitaH
   prasiddheḥ tathā gaṅgātaṭa ityāder yeṣāṃ na tathā pratipattis teṣāṃ	prasidDeH taTA gaFgA-tawaH iti-AdeH yezAm na taTA pratipattiH tezAm
   pāvanatvādīnāṃ tathāpratipādanātmanā prayojanena | tena	pAvana-tva-AdInAm taTA-apratipAdana-AtmanA prayojanena | tena
   mukhyenārthenānvito lakṣaṇīyo lakṣaṇāvyāpāragocaraḥ | saṃbandhaś cātra	muKyena-arTena-anvitaH lakzaNIyaH lakzaNa-avyApAra-gocaraH | saMbanDaH ca-atra
   vivekatvādiḥ sāmīpyādiś ca | evaṃ vācyavācakārthaniṣṭhau vyāpārāv	viveka-tva-AdiH sAmIpya-AdiH ca | evam vAcya-vAcaka-arTa-nizWO vyApArO=-
   abhidhālakṣaṇe |	aBiDA-lakzaNe |
        svasiddhaye parākṣepaḥ parārthaṃ svasamarpaṇam |	sva-sidDaye parAkzepaH para-arTam sva-samarpaNam |
        upādānaṃ lakṣaṇaṃ cety uktā śuddhaiva sā dvividhā || 2 ||	upAdAnam lakzaNam ca-iti uktA SudDA-eva sA dviviDAH || 2 ||
   kuntān praveśaya yaṣṭī praveśayetyādau kuntādibhir ātmanaḥ praveśasiddhaye	kuntAn praveSaya yazwI praveSaya-ityAdO kunta-AdiBiH AtmanaH praveSa-sidDaye
   svasaṃyoginaḥ puruṣā ākṣipyante | tata upādāneneyaṃ lakṣaṇā | "gaur	sva-saMyoginaH puruzAH Akzipyante | tatas upAdAnena-iyam lakzaNA | "gOH-
   anubandhyaḥ" ityādau śruticoditam anubandhanaṃ kathaṃ me syād iti jātyā	anubanDyaH" ityAdO Sruti-coditam anubanDanam kaTam me syAt iti jAtyA
   vyaktir ākṣipyate na tu śabdenocyate | "viśeṣyaṃ nābhidhā gacchet	vyaktiH Akzipyate na tu Sabdena-ucyate | "viSezyam na-aBiDA gacCet-
   kṣiṇaśaktir viśeṣaṇe" iti nyāyād upādānalakṣaṇā nodāhartavyā | na hy atra	kziNa-SaktiH viSezaNe" iti nyAyAt upAdAna-lakzaNAH na-udAhartavyA | na hi atra
   prayojanam asti na vā rūḍhiḥ | vyaktyavinābhāvāt tu jātyā vyaktir	prayojanam asti na vA rUXiH | vyakti-avinA-aBAvAt tu jAtyA vyaktiH-
   ākṣipyate yathā kriyatām ity atra kartā, kurv ity atra karma, praviśa	Akzipyate yaTA kriyatAm iti atra kartA, kuru iti atra karma, praviSa
   piṇḍīm ityādau gṛhaṃ bhakṣayetyādi ca | pīno devadatto divā na bhuṅkte ity	piNxIm ityAdO gRham Bakzaya-ityAdi ca | pInaH devadattaH divA na BuFkte iti-
   atra ca rātribhojanaṃ na lakṣyate | śrutārthāpatter arthāpatter vā tasya	atra ca rAtri-Bojanam na lakzyate | Sruta-arTApatteH arTApatteH vA tasya
   viṣayatvāt | gaṅgāyāṃ ghoṣa ity atra taṭasya ghoṣādhikaraṇatāyāḥ siddhaye	vizaya-tvAt | gaFgAyAm GozaH iti atra tawasya Goza-aDikaraNa-tAyAH sidDaye
   gaṅgāśabdaḥ svārtham arpayatīty evamādau lakṣaṇenaiṣā lakṣaṇā | ubhayarūpā	gaFgA-SabdaH sva-arTam arpayati-iti evamAdO lakzaNena-ezA lakzaNA | uBaya-rUpA
   ceyaṃ śuddhā upacāreṇāmiśritvāt | anayor bhedayor lakṣyasya lakṣakasya ca	ca-iyam SudDAH upacAreNa-AmiSritvAt | anayoH BedayoH lakzyasya lakzakasya ca
   na bhedarūpaṃ taṭasthatvam | taṭādīnāṃ gaṅgādiśabdaiḥ pratipādane	na Beda-rUpam tawa-sTa-tvam | tawa-AdInAm gaFgA-Adi-SabdEH pratipAdane
   tattvapratipattau hi pratipipādayiṣitaprayojanasampratyayaḥ |	tattva-pratipattO hi pratipipAdayizita-prayojana-sampratyayaH |
   gaṅgāsambandhamātrapratītau tu gaṅgātaṭe ghoṣa iti mukhyaśabdābhidhānāl	gaFgA-sambanDa-mAtra-pratItO tu gaFgA-tawe GozaH iti muKya-Sabda-aBiDAna-Al
   lakṣaṇāyāḥ ko bhedaḥ ||	lakzaNAyAH kaH BedaH ||
        sāropānyā tu yatroktau viṣayī viṣayas tathā |	sAra-upAnyA tu yatra-uktO vizayI vizayaH taTA |
   āropyamāṇa āropaviśayaś ca yatrānupahnutabhedau sāmānādhikaraṇyena	AropyamANaH AropaviSayaH ca yatra-anupahnuta-BedO sAmAnADikaraNyena
   nirdiśyete sā lakṣaṇā sāropā |	nirdiSyete sA lakzaNA sAra-upAH |
        viṣayyantaḥkṛte 'nyasmin sā syāt sādhyavasānikā || 3 ||	vizayi-antaHkRte anyasmin sA syAt sADyavasAnikAH || 3 ||
   viṣayiṇāropyamāṇenāntaḥkṛte nigīrṇe 'nyasminn āropaviṣaye sati	vizayiNA-AropyamANena-antar-kRte nigIrNe anyasmin Aropa-vizaye sati
   sādhyavasānā |	sADyavasAnAH |
        bhedāv imau ca sādṛśyāt saṃbandhāntaratas tathā |	BedO imO ca sAdRSyAt saMbanDa-antarataH taTA |
        gauṇau śuddhau ca vijñeyau	gONO SudDO ca vijQeyO
   imāv āropādhyavasānarūpau sādṛśyahetū gaur vāhīka ity atra gaur ayam ity	imO Aropa-aDyavasAna-rUpO sAdRSya-hetU gOH vAhIkaH iti atra gOH ayam iti-
   atra ca | atra svārthasahacāriṇo guṇā jāḍyamāndyādayo lakṣyamāṇā api	atra ca | atra sva-arTa-sahacAriNaH guNAH jAxya-mAndya-AdayaH lakzyamANAH api
   gośabdasya parārthābhidhānaṃ prati nimittatvam upayāntīti kecit |	go-Sabdasya para-arTa-aBiDAnam prati nimitta-tvam upayAnti-iti kecid |
   svārthasahacāriguṇābhedena parārthagatā guṇā eva lakṣyante na tu parārtho	sva-arTa-sahacAri-guNa-aBedena para-arTa-gatAH guNAH eva lakzyante na tu para-arTaH-
   'bhidhīyata ity apare | sādhāraṇaguṇāśrayaṇena parārtha eva lakṣyata ity	aBiDIyate iti apare | sADAraNa-guNa-ASrayaNena para-arTaH eva lakzyate iti-
   anye | uktaṃ cānyatra --	anye | uktam ca-anyatra --
             abhidheyāvinābhūtapratītir lakṣaṇocyate |	aBiDeyAvinABUta-pratItiH lakzaNa-ucyate |
             lakṣyamāṇaguṇair yogād vṛtter iṣṭā tu gauṇatā	lakzyamANa-guNEH yogAt vRtteH izwA tu gONa-tA
   iti | avinābhāvo 'tra sambandhamātraṃ na tu nāntarīyakatvam | tattve hi	iti | avinA-aBAvaH atra sambanDa-mAtram na tu na-antarIyaka-tvam | tattve hi
   mañcāḥ krośantītyādau lakṣaṇā na syāt | avinābhāve cākṣepeṇaiva siddher	maQcAH kroSanti-ityAdO lakzaNAH na syAt | avinA-aBAve ca-AkzepeNa-eva sidDeH-
   lakṣaṇāyā nopayoga ity uktam | yena	lakzaNAyAH na-upayogaH iti uktam | yena
   gogatajāḍyamāndyādisadṛśajāḍyamāndyetyādy ucyate tena guṇābhedābhyupagame	go-gata-jAxya-mAndya-Adi-sadRSa-jAxyamAndya-ityAdi ucyate tena guNa-aBeda-aByupagame
   guṇajātiprasaṅgāc catuṣṭayī śabdānāṃ pravṛttir uktā vyāhanyate |	guNa-jAti-prasaFgAt catuzwayI SabdAnAm pravRttiH uktA vyAhanyate |
             āyur ghṛtam, āyur evedam ityādau sādṛśyād anyaḥ	AyuH GRtam, AyuH eva-idam iti-AdO sAdRSyAt anyaH
   kāryakāraṇabhāvādiḥ paraḥ sambandhaḥ | evamādau ca	kArya-kAraNa-BAva-AdiH paraH sambanDaH | evamAdO ca
   kāryakāraṇabhāvādilakṣaṇapūrve āropādhyavasāne | atra gauṇabhedayor bhede	kArya-kAraNa-BAva-Adi-lakzaNa-pUrve Aropa-aDi-avasAne | atra gONa-BedayoH Bede
   'pi tādrūpyapratītiḥ sarvathāivābhedāvagamaś ca prayojanam |	api tAdrUpya-pratItiH sarvaTA-aiva-aBeda-avagamaH ca prayojanam |
   śuddhabhedayos tv anyavailakṣaṇyenāvyabhicāreṇa ca kāryakāritvādi | kvacit	SudDa-BedayoH tu anya-vElakzaNyena-avyaBicAreNa ca kArya-kAri-tva-Adi | kvacid-
   tādarthyād upacāraḥ, yathā indrārthā sthūṇā indraḥ | kvacit	tAdarTyAt upacAraH, yaTA indra-arTA sTUNA indraH | kvacid-
   svasvāmibhāvāt, yathā rājakīyaḥ puruṣo rājā | kvacid avayavāvayavibhāvāt,	sva-svAmi-BAvAt, yaTA rAjakIyaH puruzaH rAjA | kvacid avayava-avayavi-BAvAt,
   yathā agrahasta ity atrāgramātrāvayave hastaḥ | kvacit tātkarmyāt, yathā	yaTA agra-hastaH iti atra-agra-mAtra-avayave hastaH | kvacid tAtkarmyA-at, yaTA
   atakṣā takṣā |	atakzA takzA |
                        lakṣaṇā tena ṣaḍvidhā || 4 ||	lakzaNA tena zaxviDAH || 4 ||
   ādyabhedābhyāṃ saha |	Adya-BedAByAm saha |
             sā ca "vaktur vākyasya vācyasya rūpabhedād vibhidyate" | tatra	sA ca "vaktuH vAkyasya vAcyasya rUpa-BedAt viBidyate" | tatra
   vaktṛsvarūpaparyālocanāt sā yathā --	vaktR-svarUpa-paryAlocanAt sA yaTA --
             upakṛtaṃ bahu tatra kim ucyate sujanatā prathitā bhavatā param |	upakRtam bahu tatra kim ucyate su-janatA praTitA BavatA param |
             vidadhad īdṛśam eva sadā sakhe sukhitam āssva tataḥ śaradām	vidaDat IdRSam eva sadA saKe suKitam Assva tatas SaradAm
   śatam ||	Satam ||
   bahubhir upakārais tāpyamānasya kasyacid uktir iyam | ato vaktṛmahimnā	bahuBiH upakArEH tApyamAnasya kasyacid uktiH iyam | atas vaktR-mahimnA
   mūrkhe bṛhaspatiḍśabdena mūrkhatvam ivāpakāriṇi durjanatvādy atra lakṣyate	mUrKe bRhaspatit-Sabdena mUrKa-tvam iva-apakAriNi durjana-tva-Adi atra lakzyate
             vākyaviśeṣāvadhāraṇād yathā --	vAkya-viSeza-avaDAraNAt yaTA --
             dhanyāsi yā kathayasi priyasaṅgame 'pi	DanyA-asi yA kaTayasi priya-saFgame api
                       visrambdhacāṭukaśatāni ratāntareṣu |	visrambDa-cAwuka-SatAni rata-antarezu |
             nīvīṃ prati praṇihite ca kare priyeṇa	nIvIm prati praNihite ca kare priyeNa
         sakhyaḥ śapāmi yadi kiṃcid api smarāmi ||	saKyaH SapAmi yadi kiMcid api smarAmi ||
   atra dhanyāsmi lakṣyate | vākyasyaivātra śaktiḥ |	atra DanyA-asmi lakzyate | vAkyasya-eva-atra SaktiH |
             vācyaviśeṣanirūpaṇād yathā --	vAcya-viSeza-nirUpaNAt yaTA --
             bhuvanābhayadānasaktaśakteḥ	Buvana-aBaya-dAna-sakta-SakteH
        sakalasvīkriyamāṇasampadas te |	sakala-svIkriyamANa-sampadaH te |
             na samānadhurādhirohadoṣaṃ	na samAna-Dura-aDiroha-dozam
        sumate ko 'pi kadāpi kartum īṣṭe ||	sumate kaH api kadApi kartum Izwe ||
   atra prāṇasamasya vyasane 'pi taṭasthas tṛṇamātram api dātum asamarthaś ca	atra prANa-samasya vyasane api tawasTaH tRNa-mAtram api dAtum asamarTaH ca
   vācyaḥ | evaṃ dvikabhedās trayaḥ trikabhedaś caika udāhāryaḥ |	vAcyaH | evam dvika-BedAH trayaH trika-BedaH ca-ekaH udAhAryaH |
             dṛṣṭiṃ he prativeśini kṣaṇam ihāpy asmadgṛhe dāsyasi	dRzwim he prativeSini kzaNam iha-api asmad-gRhe dAsyasi
        prāyo naiva śiśoḥ pitāsya virasāḥ kaupīr apaḥ pāsyasi |	prAyas na-eva SiSoH pitA-asya virasAH kOpIH apaH pAsyasi |
             ekākiny api yāmi tad drutam itaḥ srotas tamālākulaṃ	ekAkinI api yAmi tat drutam itas srotaH tamAla-Akulam
        nīrandhrās tanum ālikhantu jaraṭhacchedā naḍagranthayaḥ ||	nIranDrAH tanum AliKantu jaraWa=-CedAH naxa-granTayaH ||
   ity atra	iti atra
             prāptaśrīr eṣa kasmāt punar api mayi taṃ manthakhedaṃ vidadhyān	prApta-SrIH eza kasmAt punar api mayi tam manTa-Kedam vidaDyAn
        nidrām apy asya pūrvām analasamanaso naiva sambhāvayāmi |	nidrAm api asya pUrvAm anala-samanasaH na-eva samBAvayAmi |
             setuṃ badhnāti bhūyaḥ kim iti ca sakaladvīpanāthānuyāte	setum baDnAti BUyas kim iti ca sakala-dvIpa-nATa-anuyAte
        tvayy āyāte vitarkān iti dadhata ivābhāti kampaḥ payodheḥ ||	tvayi AyAte vitarkAn iti daDataH iva-ABAti kampaH payoDeH ||
   ity atra	iti atra
             durvārā madaneṣavo diśi diśi vyājṛmbhate mādhavo	durvArAH madana-izavaH diSi diSi vyAjRmBate mADavaH-
        hṛdy unmādakarāḥ śaśāṅkarucayaś cetoharā kokilāḥ |	hRdi unmAda-karAH SaSAFka-rucayaH cetaH-harA kokilAH |
             uttuṅgastanabhāradurdharam idam pratyagram anyadvayaḥ	uttuFga-stana-BAra-durDaram idam pratyagram anya-dvayaH
        soḍhavyāḥ sakhi sāmprataṃ katham amī pañcāgnayo duḥsahā ||	soXavyAH saKi sAmpratam kaTam amI paQca-agnayaH duHsahAH ||
   ity atra ca nādeyapānīyānayanena parapuruṣasambhogasya	iti atra ca nAdeya-pAnIya-Anayanena para-puruza-samBogasya
   naḍagranthalekhanena sambhāvyamānanakhadaśanakṣatānāṃ ca nihnavātmakaṃ	naxa-granTa-leKanena samBAvya-mAna-naKa-daSana-kzatAnAm ca nihnava-Atmakam
   vastu, bhavān harir iti rūpakālaṃkāraḥ, vipralambhaśṛṅgāraś ca raso	vastu, BavAn hariH iti rUpaka-alaMkAraH, vipralamBa-SRFgAraH ca rasaH-
   lakṣyata iti nodāhāryam | mukhyārthasya bādhābhāvāt | asakhyā api	lakzyate iti na-udAhAryam | muKya-arTasya bADA-BAvAt | asaKyAH api
   sakhyabhidhānasyaivaṃ sambhavāt | ākṣiptasyālaṅkārasya lakṣyatve ca	saKI-aBiDAnasya-evam samBavAt | Akziptasya-alaFkArasya lakzya-tve ca
   vahnyānayane pātrānayanasya lakṣyatvaprasaṅgāt | abādhitasyaiva vācyasya	vahni-Anayane pAtra-Anayanasya lakzya-tva-prasaFgAt | abADitasya-eva vAcyasya
   rasapratītikṛttvāt | saprayojanāyāṃ ca lakṣaṇāyāṃ tadatirikto vyāpāro	rasa-pratIti-kRt-tvAt | sa-prayojanAyAm ca lakzaNAyAm tad-atiriktaH vyApAraH-
   'vaśyam aṅgīkartavyaḥ | tathā ca sati prayojane lakṣaṇā | tac ca na	avaSyam aFgIkartavyaH | taTA ca sati prayojane lakzaNA | tat ca na
   mukhyārthabādhanimittavat pramāṇāntarād boddhavyam | tadartham eva	muKya-arTa-bADa-nimitta-vat pramANa-antarAt bodDavyam | tad-arTam eva
   lakṣaṇāśabdaprayogāt | na khalu śābde 'rthe pratyakṣaṃ kramate | nāpi	lakzaNA-Sabda-prayogAt | na Kalu SAbde arTe pratyakzam kramate | na-api
   tatpūrvakam anumānam | nānumānāntaram anavasthāpatteḥ | na smṛtiḥ	tad-pUrvakam anumAnam | na-anumAna-antaram anavasTA-patteH | na smRtiH
   tadanubhavābhāvāt | satyām api vā tasyāṃ niyatasmaraṇaṃ na syāt | tasmāc	tad-anuBava-aBAvAt | satyAm api vA tasyAm niyata-smaraNam na syAt | tasmAt-
   chabda eva tatra pramāṇam | nirvyāpāraś ca śabdo nārthapratītikṛt |	CabdaH eva tatra pramANam | nirvyApAraH ca SabdaH na-arTa-pratIti-kRt |
   vyāpāraś ca nābhidhā tatra saṅketābhāvāt | na lakṣaṇā tasmin sati hi sā na	vyApAraH ca na-aBiDA tatra saFketa-aBAvAt | na lakzaNA tasmin sati hi sA na
   tu tadviṣayā | nāpy asyā lakṣye bādho 'sti | lakṣyaprayojanayoś ca	tu tad-vizayA | na-api asyAH lakzye bADaH asti | lakzya-prayojanayoH ca
   sambandhasya prayojanasya cābhāvāt | tasyāpi lakṣaṇe 'navasthāpattir iti	sambanDasya prayojanasya ca-aBAvAt | tasya-api lakzaNe anavasTApattiH iti
   na lakṣaṇā syāt | asti ca sā | tataḥ prayojanaviṣayo vyāpārao	na lakzaNA syAt | asti ca sA | tatas prayojana-vizayaH vyApAraaH-
   'bhyupagantavyaḥ | sa ca	aByupagantavyaH | sa ca
   dhvananāvagamanaprakāśanadyotanādiśabdavyavahāryaḥ |	Dvanana-avagamana-prakASana-dyotana-Adi-Sabda-vyavahAryaH |
             nanu gaṅgātaṭe ghoṣa ityādisvaśabdād yādṛgarthapratītir na	nanu gaFgA-tawe GozaH iti-Adi-sva-SabdAt yAdRS-arTa-pratItiH na
   bhavati tādṛśī gaṅgāyāṃ ghoṣa ityādes tad eva prayojanaṃ	Bavati tAdRSI gaFgAyAm GozaH ityAdeH tat eva prayojanam
   pāvanatvādidharmākrāntaṃ ca taṭādi lakṣyate iti viśiśṭe lakṣaṇā na tu	pAvana-tva-Adi-Darma-AkrAntam ca tawa-Adi lakzyate iti viSiSwe lakzaNAH na tu
   lakṣite viśeṣāḥ | evaṃ hi taṭādeḥ pāvanatvādīnāṃ ca dharmadharmibhāvaś	lakzite viSezAH | evam hi tawa-AdeH pAvana-tva-AdInAm ca Darma-Darmi-BAvaH-
   caturtho vyāpāra urarīkartavyaḥ | lakṣaṇāphalaṃ ca katham anyena kriyate |	caturTaH vyApAraH urarIkartavyaH | lakzaNa-aPalam ca kaTam anyena kriyate |
   na ca vyāpārasya lakṣaṇātmano vyañjanātmā vyāpāro bhavati | śabdasyāsāv	na ca vyApArasya lakzaNa-AtmanaH vyaQjana-AtmA vyApAraH Bavati | Sabdasya-asO=-
   iti cen na | tarhi lakṣaṇāyāḥ prayojanaṃ tasmād viśiṣṭam eva lakṣyate |	iti ced na | tarhi lakzaNAyAH prayojanam tasmAt viSizwam eva lakzyate |
   ucyate | lakṣaṇāyās taṭādir viṣayaḥ | na ca tatra pāvanatvādayaḥ santi |	ucyate | lakzaNAyAH tawa-AdiH vizayaH | na ca tatra pAvana-tva-AdayaH santi |
   tat kathaṃ viśiṣṭe lakṣaṇā | sāmānyaniṣṭhaś ca saṅketa iti tritayātmanā	tat kaTam viSizwe lakzaNA | sAmAnya-nizWaH ca saFketa iti tritaya-AtmanA
   saṅketabhedena lakṣaṇā sā kathaṃ viśiṣṭaṃ gocarīkuryāt | vyajyate tv	saFketa-Bedena lakzaNA sA kaTam viSizwam gocarIkuryAt | vyajyate tu-
   asaṅketita eva | kiṃca lakṣaṇāyā gocaro lakṣyo na prayojanam |	asaFketitaH eva | kiMca lakzaNAyAH gocaraH lakzyaH na prayojanam |
   pratyakṣasya hi nīlaṃ viṣayaḥ | prakaṭatā saṃvittir vā phalam |	pratyakzasya hi nIlam vizayaH | prakawa-tA saMvittiH vA Palam |
   avyabhicārāc ca lakṣyasaṃvit phalatvenoktā | evaṃ hy abhidhāyā api phalaṃ	avyaBicArAt ca lakzya-saMvid Palatvena-uktA | evam hi aBiDAyAH api Palam
   śabdasya ca vācakasya saṃvid eva phalam | tac ca vinā vyāpārān na	Sabdasya ca vAcakasya saMvid eva Palam | tat ca vinA vyApArAt na
   sambhavati | na ca vyāpārasya vyāpāra iti śabdasyaivāsau vācyaḥ |	samBavati | na ca vyApArasya vyApAraH iti Sabdasya-eva-asO vAcyaH |
   lakṣaṇānvayavyatirekānuvidhānaṃ ca savyāpārasya phalasyeti tasyās tat	lakzaNa-anvaya-vyatireka-anuviDAnam ca sa-vyApArasya Palasya-iti tasyAH tat-
   kāryaṃ kāryaṃ ca phalam ucyate | kriyāntaraprāpyasya yāgaphalatvam iva	kAryam kAryam ca Palam ucyate | kriyA-antara-prApyasya yAga-Pala-tvam iva
