   (Vaidya 98)	(VEdyaH 98)
   śāriputrametadavocat - yaḥ kaścicchāriputra kulaputro va kuladuhitā vā	SAriputram-etat-avocat  yaH kaScid-SAriputra kula-putraH va kula-duhitA vA
   [asyāṃ] gambhīrāyāṃ prajñāpāramitāyāṃ caryāṃ cartukāmaḥ, tenaivaṃ	[asyAM] gamBIrAyAm prajQApAramitAyAm caryAm cartu-kAmaH, tena-evam
   vyavalokitavyam - pañca skandhāṃstāṃśca svabhāvaśūnyān samanupaśyati sma |	vyavalokitavyam  paQca skanDAn=-tAn=-ca svaBAva-SUnyAn samanupaSyati sma |
   rūpaṃ śūnyatā, śūnyataiva rūpam | rūpānna pṛthak śūnyatā, śūnyatāyā na	rUpam SUnyatA, SUnyatA-eva rUpam | rUpAn-na pRTak SUnyatA, SUnyatAyAH na
   pṛthag rūpam | yadrūpaṃ sā śūnyatā, yā śūnyatā tadrūpam | evaṃ	pRTak rUpam | yat-rUpam sA SUnyatA, yA SUnyatA tad-rUpam | evam
   vedanāsaṃjñāsaṃskāravijñānāni ca śūnyatā | evaṃ śāriputra sarvadharmāḥ	vedanA-saMjQA-saMskAra-vijQAnAni ca SUnyatA | evam SAriputra sarva-DarmAH
   śūnyatālakṣaṇā anutpannā aniruddhā amalā vimalā anūnā asaṃpūrṇāḥ |	SUnyatA-lakzaNAH anutpannAH anirudDAH amalAH vimalAH anUnAH asaMpUrNAH |
   tasmāttarhi śāriputra śūnyatāyāṃ na rūpam, na vedanā, sa saṃjñā, na	tasmAt-tarhi SAriputra SUnyatAyAm na rUpam, na vedanA, sa saMjQA, na
   saṃskārāḥ, na vijñānam, na cakṣurna śrotraṃ na ghrāṇaṃ na jihvā na kāyo na	saMskArAH, na vijQAnam, na cakzuH-na Srotram na GrANam na jihvA na kAyaH na
   mano na rūpaṃ na śabdo na gandho na raso na spraṣṭavyaṃ na dharmaḥ | na	manaH na rUpam na SabdaH na ganDaH na rasaH na sprazwavyam na DarmaH | na
   cakṣurdhāturyāvanna manodhāturna dharmadhāturna manovijñānadhātuḥ | na	cakzuH-DAtuH-yAvat-na manaH-DAtuH-na DarmaDAtuH-na manaH-vijQAna-DAtuH | na
   vidyā nāvidyā na kṣayo yāvanna jarāmaraṇaṃ na jarāmaraṇakṣayaḥ, na	vidyA na-avidyA na kzayaH yAvat-na jarA-maraNam na jarA-maraNa-kzayaH, na
   duḥkhasamudayanirodhamārgā na jñānaṃ na prāptirnāprāptiḥ |	duHKa-samudaya-niroDa-mArgA na jQAnam na prAptiH-na-aprAptiH |
   tasmācchāriputra aprāptitvena bodhisattvānāṃ prajñāpāramitāmāśritya	tasmAt-SAriputra aprApti-tvena boDisattvAnAm prajQApAramitAm-ASritya
   (PPhṛdv, Vaidya 99) viharati cittāvaraṇaḥ | cittāvaraṇanāstitvādatrasto	(PPhRdv, VEdyaH 99) viharati citta-AvaraNaH | citta-AvaraNa-nAstitvAt-atrastaH-
   viparyāsātikrānto niṣṭhanirvāṇaḥ | tryadhvavyavasthitāḥ sarvabuddhāḥ	viparyAsa-atikrAntaH nizWa-nirvANaH | tri-aDva-vyavasTitAH sarva-budDAH
   prajñāpāramitāmāśritya anuttarāṃ samyaksaṃbodhimabhisaṃbuddhāḥ | tasmād	prajQApAramitAm-ASritya anuttarAm samyaksaMboDim-aBisaMbudDAH | tasmAt-
   jñātavyaḥ prajñāpāramitāmahāmantraḥ anuttaramantraḥ asamasamamantraḥ	jQAtavyaH prajQApAramitA-mahA-mantraH anuttara-mantraH asama-sama-mantraH
   sarvaduḥkhapraśamanamantraḥ satyamamithyatvāt prajñāpāramitāyāmukto	sarva-duHKa-praSamana-mantraH satyam-amiTya-tvAt prajQApAramitAyAm-uktaH-
   mantraḥ | tadyathā - gate gate pāragate pārasaṃgate bodhi svāhā | evaṃ	mantraH | tat-yaTA  gate gate pAra-gate pAra-saMgate boDi svAhA | evam
   śāriputra gambhīrāyāṃ prajñāpāramitāyāṃ caryāyāṃ śikṣitavyaṃ bodhisattvena	SAriputra gamBIrAyAm prajQApAramitAyAm caryAyAm Sikzitavyam boDisattvena
   atha khalu bhagavān tasmātsamādhervyutthāya āryāvalokiteśvarasya	aTa Kalu BagavAn tasmAt-samADeH-vyutTAya Arya-avalokita-ISvarasya
   bodhisattvasya sādhukāramadāt - sādhu sādhu kulaputra | evametat	boDisattvasya sADukAram-adAt  sADu sADu kula-putra | evam-etat-
   kulaputra, evametad gambhīrāyāṃ prajñāpāramitāyāṃ caryaṃ cartavyaṃ yathā	kula-putra, evam-etat gamBIrAyAm prajQApAramitAyAm caryam ca-rtavyam yaTA
   tvayā nirdiṣṭam | anumodyate tathāgatairarhadbhiḥ ||	tvayA nirdizwam | anumodyate taTAgatEH-arhadBiH ||
   idamavocadbhagavān | ānandamanā āyuṣmān śāriputraḥ āryāvalokiteśvaraśca	idam-avocat-BagavAn | Ananda-manAH AyuzmAn SAriputraH Arya-avalokita-ISvaraH-ca
   bodhisattvaḥ sā ca sarvāvatī pariṣat sadevamānuṣāsuragandharvaśca loko	boDisattvaH sA ca sarvAvatI parizad sa-deva-mAnuza-asura-ganDarvaH-ca lokaH-
   bhagavato bhāṣitamabhyanandan ||	BagavataH BAzitam-aByanandan ||
   iti prajñāpāramitāhṛdayasūtraṃ samāptam |	iti prajQApAramitA-hRdaya-sUtram samAptam |
