   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   jāgradādivibhede 'pi tadabhinne prasarpati /	jAgrat-Adi-viBede api tad-aBinne prasarpati /
   nivartate nijānnaiva svarūpādupalabdhṛtaḥ //	nivartate nijAt-na-eva svarUpAt-upalabDRtaH //
   iti spandaśāstre / anādim purāṇaṃ sarvapratītīnāmanubhavitṛtayā	iti spandaSAstre / anAdim purANam sarva-pratItInAm-anuBavitRtayA
   pramātṛtvenādisiddhatvāt ekam ityasāhāyaṃ cidaikyena	pramAtR-tvena-Adi-sidDa-tvAt ekam iti-asAha-ayam cit-Ekyena
   sphuraṇādbhedasyānupapatteḥ / tathā niviṣṭam ityādi / evañjātīyakamapi	sPuraNAt-Bedasya-anupapatteH / taTA nivizwam ityAdi / evan-jAtIyakam-api
   svasvātantryeṇa bahudhā nānāprakārairbhedaiḥ guhāsu rudrakṣetrajñarūpāsu	sva-svAtantryeNa bahuDA nAnA-prakArEH-BedEH guhAsu rudra-kzetrajQa-rUpAsu
   hṛdguhāsvantarāviṣṭaṃ caitanyarūpo 'pi svayaṃ jaḍājaḍātmatāmābhāsya	hRd-guhAsu-antara-Avizwam cEtanya-rUpaH api svayam jaxAjaxa-Atma-tAm-ABAsya
   naṭavannānāpramātṛtayā sthita iti yāvat / ata eva sarvālayam iti sarvasya	nawa-vat-nAnA-pramAtR-tayA sTitaH iti yAvat / atas eva sarva-Alayam iti sarvasya
   rudrakṣetrajñādipramātṛprameyarūpasya jagataḥ ālayam viśrāntisthānaṃ /	rudra-kzetrajQa-Adi-pramAtR-prameya-rUpasya jagataH Alayam viSrAnti-sTAnam /
   sarvamidaṃ kila pūrṇapramātari sthitaṃ	sarvam-idam kila pUrNa-pramAtari sTitam
   sadgrāhyagrāhakayugalakāpekṣayonmagnamiva bhedena prakāśamānaṃ	sat-grAhya-grAhaka-yugala-ka-apekzayA-unmagnam-iva Bedena prakASamAnam
   nānārupairvyapadiśyate 'nyathaitasyaprakāśādbhinnasya sattaiva na syātkuta	nAnA-rupEH-vyapadiSyate anyaTA-etasya-prakASAt-Binnasya sattA-eva na syAt-kuta
   idaṃ viśvamiti sarvanāmapratyavamarśaḥ / naitāvatā bhagavataḥ samuttīrṇaṃ	idam viSvam-iti sarvanAma-pratyavamarSaH / na-etAvatA BagavataH samuttIrNam
   svarūpamityāha sarvacarācarastham iti / sarvamidaṃ yajjaḍājaḍasvabhāvaṃ	svarUpam-iti-Aha sarva-carAcara-sTam iti / sarvam-idam yat-jaxa-ajaxa-svaBAvam
   viśvaṃ tadrūpatayā tiṣṭhantaṃ	viSvam tad-rUpa-tayA tizWantam
   kartāsi sarvasya yataḥ svayaṃ vai vibho tataḥ sarvamidaṃ tvameva /	kartAsi sarvasya yatas svayam vE viBo tatas sarvam-idam tvam-eva /
   iti nyāyena hi vyatiriktasyānyasyāprakāśamānasya kāryatvānupapatteḥ /	iti nyAyena hi vyatiriktasya-anyasya-aprakASamAnasya kAryatva-anupapatteH /
   bhoktaiva bhogyabhāvena sadā sarvatra saṃsthitaḥ /	BoktA-eva Bogya-BAvena sadA sarvatra saMsTitaH /
   iti bhagavāneva tathā tathā cakāstīti / evaṃvidhaṃ tvāmanuttaraṃ sarvasya	iti BagavAn-eva taTA taTA cakAsti-iti / evaMviDam tvAm-anuttaram sarvasya
   svātmadevatāsvarūpaṃ parāhantācamatkārasāramapi gṛhītanānātvamatha	sva-Atma-devatA-svarUpam parAhanta-AcamatkAra-sAram-api gRhIta-nAnA-tvam-aTa
   cātyantākhaṇḍitasvasvātantryaparamādvayaprakāśasvabhāvaṃ bhagavantaṃ	ca-atyanta-aKaNxita-sva-svAtantrya-parama-advaya-prakASa-svaBAvam Bagavantam
   śaṃbhum prapadye śarīrādikṛtrimāhaṅkāraguṇīkāreṇaitādṛśaṃ tvāmeva	SaMBum prapadye SarIra-Adi-kRtrima-ahaFkAra-guNIkAreNa-etAdRSam tvAm-eva
   svātmānaṃ parāhantācamatkārasvarūpaṃ samāviśāmīti yāvat / anena	sva-AtmAnam parAhanta-AcamatkAra-svarUpam samAviSAmi-iti yAvat / anena
   grahaṇakavākyena paramopādeyāṃ svasvabhāvasamāveśamayīṃ daśāmupadiśatā	grahaNaka-vAkyena parama-upAdeyAm sva-svaBAva-samAveSa-mayIm daSAm-upadiSatA
   guruṇā vakṣyamāṇaheyopādeyatayā sakalagranthārthopakṣepaḥ kṛtaḥ // 1 //	guruNA vakzyamANa-heya-upAdeya-tayA sakala-granTa-arTa-upakzepaH kRtaH // 1 //
   evaṃ prakaraṇatātparyamadvayasvarūpaṃ stutidvāreṇa pratipādyedānīṃ	evam prakaraNa-tAtparyam-advaya-svarUpam stuti-dvAreNa pratipAdya-idAnIm
   śāstrāvatāramabhidadhatsaṃbandhābhidheyādikaṃ granthakṛdāryādvayenāha	SAstra-avatAram-aBidaDat-saMbanDa-aBiDeya-Adikam granTa-kRt-AryA-dvayena-Aha
   garbhādhivāsapūrvakamaraṇāntakaduḥkhacakravibhrāntaḥ /	garBa-aDivAsa-pUrvaka-maraNa-antaka-duHKa-cakra-viBrAntaH /
   ādhāraṃ bhagavantaṃ śiṣyaḥ papraccha paramārtham // 2 //	ADAram Bagavantam SizyaH papracCa parama-arTam // 2 //
   ādhārakārikābhistaṃ gururabhibhāṣate sma tatsāram /	ADAra-kArikABiH-tam guruH-aBiBAzate sma tad-sAram /
   kathayatyabhinavaguptaḥ śivaśāsanadṛṣṭiyogena // 3 //	kaTayati-aBinava-guptaH Siva-SAsana-dRzwi-yogena // 3 //
   kaścidbhagavatprasādātsamutpannavairāgyaḥ saṃsārādviratamatirguroḥ	kaScid-Bagavat-prasAdAt-samutpanna-vErAgyaH saMsArAt-virata-matiH-guroH
   śāsanīyo 'smīti matvā sadgurum ādhāraṃ bhagavantam śeṣākhyaṃ muniṃ	SAsanIyaH asmi-iti matvA sat-gurum ADAram Bagavantam Seza-AKyam munim
   samyagārādhya paramārthopadeśasvarūpaṃ pṛṣṭavān / tadā	samyak-ArADya parama-arTa-upadeSa-svarUpam pRzwavAn / tadA
   tadyogyatāparipākasvarūpapariśīlanakrameṇa tam śiṣyaṃ vigalitāntaḥkaraṇaṃ	tad-yogya-tA-paripAka-svarUpa-pariSIlana-krameNa tam Sizyam vigalita-antaHkaraNam
   matvā so 'pyanantanātho niḥśeṣaśāstropadeśajñaḥ paramārthasāranāmnā	matvA saH api-ananta-nATaH niHSeza-SAstra-upadeSa-jQaH parama-arTa-sAra-nAmnA
   ādhārakārikābhiḥ ityaparābhidhānagranthena sāṃkhyanayoktopadeśānusāreṇa	ADAra-kArikABiH iti-apara-aBiDAna-granTena sAMKyanayA-ukta-upadeSa-anusAreNa
   prakṛtipuruṣavivekajñānātparabrahmāvāptirityevametaṃ śiṣyaṃ proktavān / sa	prakRti-puruza-viveka-jQAnAt-para-brahma-avAptiH-iti-evam-etam Sizyam proktavAn / sa
   eva brahmopadeśaḥ paramādvayasvarūpasvasvātantryadṛṣṭyā pratipāditaḥ	eva brahma-upadeSaH parama-advaya-sva-rUpa-sva-svAtantrya-dRzwyA pratipAditaH
   sanyuktiyukto bhavatīti matvā sarvaṃ janamanugrahītuṃ	sanyukti-yuktaH Bavati-iti matvA sarvam janam-anugrahItum
   paramādvayaśaivanayayuktyā gururabhinavena alaukikena ciccamatkārasphāreṇa	parama-advaya-SEvanaya-yuktyA guruH-aBinavena alOkikena cit-camatkAra-sPAreNa
   guptaḥ guhyaḥ sarahasya iti / so 'yaṃ puṇyanāmākṣarāvaliḥ tatsāram tasya	guptaH guhyaH sa-rahasya iti / saH ayam puNya-nAma-akzara-AvaliH tad-sAram tasya
   paramārthopadeśasya yatsāraṃ dadhno navanītamivopādeyaṃ	parama-arTa-upadeSasya yat-sAram daDnaH navanItam-iva-upAdeyam
   parānugrahapravṛttaḥ sanpratipādayatīti / evaṃ	para-anugraha-pravRttaH san-pratipAdayati-iti / evam
   saṃbandhābhidheyābhidhānaprayojanādaya upapāditā neha punaḥ	saMbanDa-aBiDeya-aBiDAna-prayojana-AdayaH upapAditAH na-iha punar-
   śāstragauravabhayātpratanyante / kīdṛśaḥ sa śiṣya ityāha garbhādhivāsa iti	SAstra-gOrava-BayAt-pratanyante / kIdRSaH sa SizyaH iti-Aha garBa-aDivAsaH iti
   / garbhādhivāsaprārambhaṃ jāyate 'sti vardhate vipariṇamate 'pakṣīyate	/ garBa-aDivAsa-prAramBam jAyate asti varDate vipariNamate apakzIyate
   vinaśyatīti tattadavasthāvaicitryeṇa ṣaḍbhāvavikāranemiyuktaṃ yat	vinaSyati-iti tad-tad-avasTA-vEcitryeNa zaz-BAva-vikAra-nemi-yuktam yat-
   maraṇāntakaduḥkharūpam āvirbhāvatirobhāvātsaṃsaraṇasvabhāvatayā cakramiva	maraNa-antaka-duHKa-rUpam AvirBAva-tiroBAvAt-saMsaraNa-svaBAva-tayA cakram-iva
   cakram tasmin vibhrāntaḥ viparivṛttaḥ / anenāsya prāgjātismaraṇasvabhāvo	cakram tasmin viBrAntaH viparivRttaH / anena-asya prAc-jAti-smaraNa-svaBAvaH-
   bodhāvirbhāvo dyotito 'nyathā kathaṃ kāṣṭhāprāptilakṣaṇaṃ	boDa-AvirBAvaH dyotitaH anyaTA kaTam kAzWA-prApti-lakzaNam
   praśnakutūhalitvaṃ syāt / evaṃ ca yaḥ samutpannavairāgyaḥ	praSna-kutUhali-tvam syAt / evam ca yaH samutpanna-vErAgyaH
   parameśvarānugrahaśaktividdhahṛdayaḥ samuditasamyagjñāna	parameSvara-anugraha-Sakti-vidDa-hRdayaH samudita-samyak-jQAna
   upadeśapātratāmavāpya parameśvarākāraṃ samucitamapi guruṃ samāsādya	upadeSa-pAtra-tAm-avApya parameSvara-AkAram samucitam-api gurum samAsAdya
   paramādvayajñānamabhilaṣate sa eva ca gurūpadeśabhājanaṃ syāditi / etadeva	parama-advaya-jQAnam-aBilazate saH eva ca guru-upadeSa-BAjanam syAt-iti / etat-eva
   cānyatroktam	ca-anyatra-uktam
   śaktipātavaśāddevi nīyate sadguruṃ prati /	SaktipAta-vaSAt-devi nIyate sat-gurum prati /
   iti / iha ca purastādvakṣyate // 3 //	iti / iha ca purastAt-vakzyate // 3 //
   adhunā samutpattikrameṇa pīṭhikābandhaṃ vidhāya viśvavaicitryacitre	aDunA samutpatti-krameNa pIWikA-banDam viDAya viSva-vEcitrya-citre
   'smiñjagati pārameśvaramanuttamaṃ svātantryamekameva	asmin-jagati pArameSvaram-anuttamam svAtantryam-ekam-eva
   saṃyojanaviyojanakartṛtvaheturiti tacchaktivikāsameva	saMyojana-viyojana-kartR-tva-hetuH-iti tad-Sakti-vikAsam-eva
   viśvamaṇḍacatuṣṭayamukhenāvedayangranthamavatārayati	viSva-maNxa-catuzwaya-muKena-Avedayan-granTam-avatArayati
   nijaśaktivaibhavabharādaṇḍacatuṣṭayamidaṃ vibhāgena /	nija-Sakti-vEBava-BarAt-aNxa-catuzwayam-idam viBAgena /
   śaktirmāyā prakṛtiḥ pṛthvī ceti prabhāvitaṃ prabhuṇā // 4 //	SaktiH-mAyA prakRtiH pRTvI ca-iti praBAvitam praBuNA // 4 //
   cidānandaikaghanena prabhuṇā svatantreṇa bhagavatā	cit-Ananda-eka-Ganena praBuNA svatantreNa BagavatA
   maheśvareṇāṇḍacatuṣṭayaṃ viśvācchādakatvena kośarūpatayā vastupiṇḍabhūtam	maheSvareNa-aNxa-catuzwayam viSva-AcCAdaka-tvena koSa-rUpa-tayA vastu-piNxa-BUtam
   idam / yaduktam	idam / yat-uktam
   ... vastupiṇḍo 'ṇḍamucyate /	... vastu-piNxaH aNxam-ucyate /
   iti / prabhāvitam prakāśitaṃ bhavanakartṛtayā vā prayuktam / kasmādityāha	iti / praBAvitam prakASitam Bavana-kartRtayA vA prayuktam / kasmAt-iti-Aha
   nijaśaktivaibhavabharāt iti / nijaḥ svātmīyo yo 'sāvasādhāraṇa icchādyaḥ	nija-Sakti-vEBava-BarAt iti / nijaH svAtmIyaH yaH asO=-asADAraNaH icCA-AdyaH
   śaktipracayaḥ tasya yat vaibhavam vicitraḥ prasarastasya yo 'sau bharaḥ	Sakti-pracayaH tasya yat vEBavam vicitraH prasaraH-tasya yaH asO BaraH
   samudrekastasmāditi / bhagavataḥ kila svaśaktivikāsasphāra eva	samudrekaH-tasmAt-iti / BagavataH kila sva-Sakti-vikAsa-sPAraH eva
   jagannirmāṇam / yaduktaṃ śrīsarvamaṅgalāśāstre	jagat-nirmANam / yat-uktam SrI-sarva-maFgala-aSAstre
   śaktiśca śaktimāṃścaiva padārthadvayamucyate /	SaktiH-ca SaktimAn=-ca-eva padArTa-dvayam-ucyate /
   śaktayo 'sya jagatsarvaṃ śaktimāṃstu maheśvaraḥ //	SaktayaH asya jagat-sarvam SaktimAn=-tu maheSvaraH //
   iti / kiṃrūpāṇḍacatuṣṭayasaṃkhyetyāha śaktirmāyā prakṛtiḥ pṛthvī ca iti /	iti / kiMrU-pANxa-catuzwaya-saMKyA-iti-Aha SaktiH-mAyA prakRtiH pRTvI ca iti /
   viśvasya pramātṛprameyarūpasya parāhantācamatkārasārasyāpi	viSvasya pramAtR-prameya-rUpasya parAhanta-AcamatkAra-sArasya-api
   svasvarūpāpohanātmākhyātimayī niṣedhavyāpārarūpā yā pārameśvarī śaktiḥ	sva-svarUpa-apohana-Atma-AKyAti-mayI nizeDa-vyApAra-rUpA yA pArameSvarI SaktiH
   saivācchādakatvena bandhakatayā śaktyaṇḍamityucyate /	sA-eva-AcCAdaka-tvena banDaka-tayA Sakti-aNxam-iti-ucyate /
   sadāśiveśvaraśuddhavidyātattvaparyantadalaṃ	sadASiva-ISvara-SudDa-vidyA-tattva-paryanta-dalam
   sadvakṣyamāṇamaṇḍatritayamantaḥ samantādgarbhīkṛtyāvatiṣṭhata iti	sat-vakzyamANa-m-aNxa-tritayam-antar samantAt-garBIkRtya-avatizWate iti
   kośarūpatayaiṣā śaktiranena śabdena saṃjñitā / etasminnaṇḍe	koSa-rUpa-tayA-ezA SaktiH-anena Sabdena saMjQitAH / etasmin=-aNxe
   sadāśiveśvarāvevādhipatī /	sadASiva-ISvarO=-eva-aDipatI /
   anyacca malatrayasvabhāvaṃ mohamayaṃ bhedaikapravaṇatayā sarvapramātṝṇāṃ	anyat-ca mala-traya-svaBAvam moha-mayam Beda-eka-pravaNa-tayA sarva-pramAtLNAm
   bandharūpaṃ puṃstattvaparyantadalaṃ māyākhyamaṇḍamityucyate / tacca	banDa-rUpam puMstattva-paryanta-dalam mAyAKya-m-aNxam-iti-ucyate / tat-ca
   vakṣyamāṇamaṇḍadvayamantaḥ samantātsvīkṛtya sthitam / aṇḍādhipatiścātra	vakzyamANa-m-aNxa-dvayam-antar samantAt-svIkRtya sTitam / aNxa-aDipatiH-ca-atra
   gahanābhidhāno rudraḥ /	gahana-aBiDAnaH rudraH /
   tathā sattvarajastamomayī prakṛtiḥ kāryakaraṇātmanā pariṇatā satī	taTA sattva-rajaH-tamaH-mayI prakRtiH kArya-karaNa-AtmanA pariNatA satI
   paśupramātṝṇāṃ bhogyarūpā sukhaduḥkhamoharūpatayā bandhayitrī	paSu-pramAtLNAm Bogya-rUpA suKa-duHKa-moha-rUpa-tayA banDayitrI
   prakṛtyabhidhānamaṇḍamityucyate / tatrāpi mahāvibhūtiḥ	prakRti-aBiDAna-m-aNxam-iti-ucyate / tatra-api mahA-viBUtiH
   śrībhagavānviṣṇurbhedapradhāno 'ṇḍādhipatiḥ /	SrI-BagavAn-vizNuH-Beda-praDAnaH aNxa-aDipatiH /
   tathā pṛthvī caivaṃ manuṣyasthāvarāntānāṃ pramātṝṇāṃ pratiprākārarūpatayā	taTA pRTvI ca-evam manuzya-sTAvara-antAnAm pramAtLNAm pratiprAkAra-rUpa-tayA
   sthūlakañcukamayī bandhayitrīti kṛtvā pṛthvyaṇḍamityucyate / tatrāpi	sTUla-kaQcuka-mayI banDayitrI-iti kRtvA pRTvI-aNxam-iti-ucyate / tatra-api
   caturdaśavidhe bhūtasarge pradhānatayāṇḍādhipo bhagavānbrahmeti / evaṃ	caturdaSaviDe BUta-sarge praDAna-tayA-aNxa-aDipaH BagavAn-brahma-iti / evam
   parameśvaravijṛmbhitamidamaṇḍacatuṣṭayaṃ bhagavatetthaṃ prakāśitaṃ	parameSvara-vijRmBitam-idam-aNxa-catuzwayam BagavatA-itTam prakASitam
   parisphurati // 4 //	parisPurati // 4 //
   evametadaṇḍacatuṣṭayaṃ pratipādyātraiva bhogyabhoktṛtvapratipādanaparatayā	evam-etat-aNxa-catuzwayam pratipAdya-atra-eva Bogya-BoktR-tva-pratipAdana-para-tayA
   viśvasvarūpanirūpaṇāya kārikāmāha	viSva-sva-rUpa-nirUpaNAya kArikAm-Aha
   tatrāntarviśvamidaṃ vicitratanukaraṇabhuvanasaṃtānam /	tatra-antar-viSvam-idam vicitra-tanu-karaNa-Buvana-saMtAnam /
   bhoktā ca tatra dehī śiva eva gṛhītapaśubhāvaḥ // 5 //	BoktA ca tatra dehI SivaH eva gRhIta-paSu-BAvaH // 5 //
   tatra teṣu caturṣvaṇḍeṣvāgamaprasiddheṣu viśvamidamantaḥ madhye vartate /	tatra tezu caturzu-aNxezu-Agama-prasidDezu viSvam-idam-antar maDye vartate /
   kīdṛśamityāha vicitra iti / rudrakṣetrajñabhedabhinnā	kIdRSam-iti-Aha vicitraH iti / rudra-kzetrajQa-Beda-BinnA
   nānāmukhahastapādādiracanārūpāḥ tanavaḥ ākārā	nAnA-muKa-hasta-pAda-Adi-racanA-rUpAH tanavaH AkArA
   viśiṣṭasaṃsthānarūpeṇāścaryabhūtāḥ / tathānyonyabhedena sātiśayāni	viSizwa-saMsTAna-rUpeNa-AScarya-BUtAH / taTA-anyonya-Bedena sa-atiSayAni
   karaṇāni cakṣurādīni / tadyathā rudrapramātṝṇāṃ niratiśayāni	karaNAni cakzuH-AdIni / tat-yaTA rudra-pramAtLNAm niratiSayAni
   sarvajñatvādiguṇagaṇayuktāni taiḥ kila sarvamidamekasminkṣaṇe	sarvajQa-tva-Adi-guNa-gaNa-yuktAni tEH kila sarvam-idam-ekasmin-kzaNe
   yugapajjñāyate saṃpādyate ca / kṣetrajñānāṃ punaretānyeva karaṇāni	yugapad-jQAyate saMpAdyate ca / kzetrajQAnAm punar-etAni-eva karaNAni
   parameśvaraniyatiśaktiniyantritāni santi	parameSvara-niyati-Sakti-niyantritAni santi
   ghaṭādipadārthamātrajñānakaraṇasamarthānyeva na taiḥ sarvaṃ jñāyate nāpi	Gawa-Adi-padArTa-mAtra-jQAna-karaNa-samarTAni-eva na tEH sarvam jQAyate na-api
   kriyate / tatrāpi yogināmatiśayaḥ karaṇānāṃ	kriyate / tatra-api yoginAm-atiSayaH karaNAnAm
   yanniyatiśaktisamullaṅghanāttadīyaiḥ karaṇaiḥ dūravyavahitaviprakṛṣṭamapi	yat-niyati-Sakti-samullaFGanAt-tadIyEH karaNEH dUra-vyavahita-viprakRzwam-api
   paricchidyate parapramātṛgataṃ ca sukhaduḥkhādi jñāyate / evaṃ ca	paricCidyate para-pramAtR-gatam ca suKa-duHKa-Adi jQAyate / evam ca
   tiraścāmapi niyatiśaktyā saṃkucitānāmapi manuṣyebhyo 'pyatiśayaḥ karaṇānāṃ	tiraScAm-api niyati-SaktyA saMkucitAnAm-api manuzyeByaH api-atiSayaH karaNAnAm
   vidyate / tadyathā gāvaḥ svagṛhaṃ vyavahitamapi paśyantyaśvā rātrāvapi	vidyate / tat-yaTA gAvaH sva-gRham vyavahitam-api paSyanti-aSvAH rAtrO=-api
   mārgamīkṣante gṛdhrā yojanaśatagatamapyāmiṣamavalokayanti pakṣiṇo makṣikā	mArgam-Ikzante gRDrAH yojana-Sata-gatam-api-Amizam-avalokayanti pakziNaH makzikA
   maṣakaparyantā ākāśavihāriṇo dṛśyante sarīsṛpā urasā panthānaṃ gacchanti	mazaka-paryantAH AkASa-vihAriNaH dRSyante sarIsRpAH urasA panTAnam gacCanti
   dṛśā ca śṛṇvanti śabdānuṣṭrā dūrādapi gartācchvāsamātreṇa	dRSA ca SRNvanti Sabda-anuzwrA dUrAt-api gartAt-SvAsa-mAtreNa
   sarpamākarṣayantīti / evaṃ sarvatra karaṇavaicitryamūhyam / tathā	sarpam-Akarzayanti-iti / evam sarvatra karaNa-vEcitryam-Uhyam / taTA
   bhuvanāni āgamaprasiddhāni	BuvanAni Agama-prasidDAni
   vartulatryaśracaturaśrārdhacandracchatrākāratayā sātiśayasaṃsthānānīti /	vartula-tri-aSra-caturaSra-arDacandra=-Catra-AkAra-tayA sa-atiSaya-saMsTAnAni-iti /
   evam vicitraḥ nānātiśayādbhutasvabhāva eṣām tanukaraṇabhuvanānāṃ saṃtānaḥ	evam vicitraH nAnA-atiSaya-adButa-svaBAvaH ezAm tanu-karaNa-BuvanAnAm saMtAnaH
   aviratabandhapravāho yasminviśvasmiṃstadevaṃvidhaṃ viśvam / evaṃvidhe	avirata-banDa-pravAhaH yasmin-viSvasmin=-tat-evaMviDam viSvam / evaMviDe
   cātra bhogyasvabhāve viśvasminbhoktrā bhāvyamityāha bhoktā ca tatra dehī	ca-atra Bogya-svaBAve viSvasmin-BoktrA BAvyam-iti-Aha BoktA ca tatra dehI
   iti / malatrayāghrāto deho bhogāyatanaṃ vidyate yasyāṇoḥ sa dehī	iti / mala-traya-AGrAtaH dehaH Boga-Ayatanam vidyate yasya-aNoH sa dehI
   sukhaduḥkhādisvabhāvaḥ śarīrī sukhaduḥkhādimaye 'smin bhoktā	suKa-duHKa-Adi-svaBAvaH SarIrI suKa-duHKa-Adi-maye asmin BoktA
   sukhaduḥkhādyanubhavitā paśupramāteti kathyate / nanu	suKa-duHKa-Adi-anuBavitA paSu-pramAtA-iti kaTyate / nanu
   parapramātrapekṣayāṇumātrasyāpi na bhedo vidyate kutastadvyatirikto dehī	para-pramAtR-apekzayA-aNu-mAtrasya-api na BedaH vidyate kutas-tad-vyatiriktaH dehI
   nāma varākaḥ / yaduktam	nAma varAkaH / yat-uktam
   pradeśo 'pi brahmaṇaḥ sārvarūpyamanatikrāntaśca avikalpyaśca /	pradeSaH api brahmaNaH sArvarUpyam-anatikrAntaH-ca avikalpyaH-ca /
   iti /	iti /
   ekaikatra ca tattve 'pi ṣaṭtriṃśattattvarūpatā /	ekEkatra ca tattve api zawtriMSat-tattva-rUpa-tA /
   iti nyāyāccaika eva svaśaktiyukto mahāprakāśavapureva parameśvaraḥ pramātā	iti nyAyAt-ca-ekaH eva sva-Sakti-yuktaH mahA-prakASa-vapuH-A-iva parameSvaraH pramAtA
   sarvato 'bhinna evāvabhāsate / tato bhinnasyāprakāśamānasya dehino	sarvatas aBinnaH eva-avaBAsate / tatas Binnasya-aprakASamAnasya dehinaH-
   'stitvābhyupagame 'pi prakāśamānatvānupapatterna sattā niścīyate /	astitva-aByupagame api prakASamAnatva-anupapatteH-na sattA niScIyate /
   prakāśate cettasminparabrahmātmani tarhi prakāśābhinna evaikaḥ pramāteti	prakASate ced-tasmin-para-brahma-Atmani tarhi prakASa-aBinnaH eva-ekaH pramAtA-iti
   punarapi kiṃparatvenāyaṃ bhogyabhoktṛlakṣaṇaḥ sanbheda iti sarvaṃ	punar-api kiMparatvena-ayam Bogya-BoktR-lakzaNaH san-BedaH iti sarvam
   samarthayamāna āha śiva eva gṛhītapaśubhāvaḥ iti / yo 'yaṃ	samarTayamAnaH Aha SivaH eva gRhIta-paSu-BAvaH iti / yaH ayam
