   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   sadaya-hāsāvaloka iti hovāca	sadaya-hAsa-avalokaH iti ha-uvAca
   BhP_05.01.011/0 śrī-bhagavān uvāca	Bhu-_05.01.011/0 SrI--BagavAn uvAca
   BhP_05.01.011/1 nibodha tātedam ṛtaṃ bravīmi māsūyituṃ devam arhasy	Bhu-_05.01.011/1 niboDa tAta-idam Rtam bravImi mAsUyitum devam arhasi-
   aprameyam	aprameyam
   BhP_05.01.011/2 vayaṃ bhavas te tata eṣa maharṣir vahāma sarve vivaśā	Bhu-_05.01.011/2 vayam BavaH te tatas eza mahA-RziH vahAma sarve vivaSA
   yasya diṣṭam	yasya dizwam
   BhP_05.01.012/1 na tasya kaścit tapasā vidyayā vā na yoga-vīryeṇa manīṣayā	Bhu-_05.01.012/1 na tasya kaScid tapasA vidyayA vA na yoga-vIryeNa manIzayA
   vā	vA
   BhP_05.01.012/2 naivārtha-dharmaiḥ parataḥ svato vā kṛtaṃ vihantuṃ	Bhu-_05.01.012/2 na-eva-arTa--DarmEH paratas svatas vA kRtam vihantum
   tanu-bhṛd vibhūyāt	tanu-BRt viBUyAt-
   BhP_05.01.013/1 bhavāya nāśāya ca karma kartuṃ śokāya mohāya sadā bhayāya	Bhu-_05.01.013/1 BavAya nASAya ca karma kartum SokAya mohAya sadA BayAya
   BhP_05.01.013/2 sukhāya duḥkhāya ca deha-yogam avyakta-diṣṭaṃ janatāṅga	Bhu-_05.01.013/2 suKAya duHKAya ca deha--yogam avyakta--dizwam janatA-aFga
   dhatte	Datte
   BhP_05.01.014/1 yad-vāci tantyāṃ guṇa-karma-dāmabhiḥ sudustarair vatsa	Bhu-_05.01.014/1 yat--vAci tantyAm guNa-karma--dAmaBiH su-dustarEH vatsa
   vayaṃ suyojitāḥ	vayam su-yojitAH
   BhP_05.01.014/2 sarve vahāmo balim īśvarāya protā nasīva dvi-pade	Bhu-_05.01.014/2 sarve vahAmaH balim ISvarAya protA nasi-iva dvi-pade
   catuṣ-padaḥ	catuz--padaH
   BhP_05.01.015/1 īśābhisṛṣṭaṃ hy avarundhmahe 'ṅga duḥkhaṃ sukhaṃ vā	Bhu-_05.01.015/1 ISa-aBisRzwam hi avarunDmahe aFga duHKam suKam vA
   guṇa-karma-saṅgāt	guNa-karma--saFgAt-
   BhP_05.01.015/2 āsthāya tat tad yad ayuṅkta nāthaś cakṣuṣmatāndhā iva	Bhu-_05.01.015/2 AsTAya tat tat yat ayuFkta nATaH cakzuzmatA-anDAH iva
   nīyamānāḥ	nIyamAnAH
   BhP_05.01.016/1 mukto 'pi tāvad bibhṛyāt sva-deham ārabdham aśnann	Bhu-_05.01.016/1 muktaH api tAvat biBRyAt sva-deham ArabDam aSnann
   abhimāna-śūnyaḥ	aBimAna--SUnyaH
   BhP_05.01.016/2 yathānubhūtaṃ pratiyāta-nidraḥ kiṃ tv anya-dehāya guṇān na	Bhu-_05.01.016/2 yaTA-anuBUtam pratiyAta--nidraH kim tu anya-dehAya guNAn na
   vṛṅkte	vRFkte
   BhP_05.01.017/1 bhayaṃ pramattasya vaneṣv api syād yataḥ sa āste	Bhu-_05.01.017/1 Bayam pramattasya vanezu api syAt yatas saH Aste
   saha-ṣaṭ-sapatnaḥ	saha-zaw--sapatnaH
   BhP_05.01.017/2 jitendriyasyātma-rater budhasya gṛhāśramaḥ kiṃ nu karoty	Bhu-_05.01.017/2 jita-indriyasya-Atma-rateH buDasya gRha-ASramaH kim nu karoti-
   avadyam	avadyam
   BhP_05.01.018/1 yaḥ ṣaṭ sapatnān vijigīṣamāṇo gṛheṣu nirviśya yateta	Bhu-_05.01.018/1 yaH zaw sapatnAn vijigIzamANaH gRhezu nirviSya yateta
   pūrvam	pUrvam
   BhP_05.01.018/2 atyeti durgāśrita ūrjitārīn kṣīṇeṣu kāmaṃ vicared vipaścit	Bhu-_05.01.018/2 atyeti durga-ASritaH Urjita-arIn kzINezu kAmam vicaret vipaScit-
   BhP_05.01.019/1 tvaṃ tv abja-nābhāṅghri-saroja-kośa- durgāśrito	Bhu-_05.01.019/1 tvam tu abja--nABa-aFGri--saroja-koSa durga-ASritaH-
   nirjita-ṣaṭ-sapatnaḥ	nirjita--zaw--sapatnaH
   BhP_05.01.019/2 bhuṅkṣveha bhogān puruṣātidiṣṭān vimukta-saṅgaḥ prakṛtiṃ	Bhu-_05.01.019/2 BuFkzva-iha BogAn puruza-atidizwAn vimukta-saFgaH prakRtim
   bhajasva	Bajasva
   BhP_05.01.020/0 śrī-śuka uvāca	BhP_05.01.020/0 SrI-SukaH uvAca
   BhP_05.01.020/1 iti samabhihito mahā-bhāgavato bhagavatas	Bhu-_05.01.020/1 iti samaBihitaH mahA--BAgavataH Bagavatas
   tri-bhuvana-guror anuśāsanam ātmano laghutayāvanata-śirodharo bāḍham iti	tri-Buvana--guroH anuSAsanam AtmanaH laGu-tayA-avana-ta-SiroDaraH bAXam iti
   sabahu-mānam uvāha	sa-bahu-mAnam uvAha
   BhP_05.01.021/1 bhagavān api manunā yathāvad upakalpitāpacitiḥ	Bhu-_05.01.021/1 BagavAn api manunA yaTAvat upakalpita-apacitiH
   priyavrata-nāradayor aviṣamam abhisamīkṣamāṇayor ātmasam avasthānam	priyavrata--nAradayoH avizamam aBisamIkzamANayoH Atmasam avasTAnam
   avāṅ-manasaṃ kṣayam avyavahṛtaṃ pravartayann agamat	avAF-manasam kzayam avyavahRtam pravartayan agamat-
   BhP_05.01.022/1 manur api pareṇaivaṃ pratisandhita-manorathaḥ	Bhu-_05.01.022/1 manuH api pareNa-evam pratisanDi-ta--manoraTaH
   surarṣi-varānumatenātmajam akhila-dharā-maṇḍala-sthiti-guptaya āsthāpya	sura-Rzi-vara-anumatena-Atmajam aKila--DarA--maNxala--sTiti--guptayaH AsTApya
   svayam ati-viṣama-viṣaya-viṣa-jalāśayāśāyā upararāma	svayam ati-vizama--vizaya--viza--jalASaya-ASAyAH upararAma
   BhP_05.01.023/1 iti ha vāva sa jagatī-patir	BhP_05.01.023/1 iti ha vAva sa jagatI--patiH-
   īśvarecchayādhiniveśita-karmādhikāro	ISvara-icCayA-aDiniveSita--karma-aDikAraH-
   'khila-jagad-bandha-dhvaṃsana-parānubhāvasya bhagavata	aKila--jagat--banDa--DvaMsana--para-anuBAvasya Bagavata
   ādi-puruṣasyāṅghri-yugalānavarata-dhyānānubhāvena parirandhita-kaṣāyāśayo	Adi-puruzasya-aFGri---yuga-lAna-vara-ta-DyAna-anuBAvena pariranDita--kazAya-ASayaH-
   'vadāto 'pi māna-vardhano mahatāṃ mahītalam anuśaśāsa	avadAtaH api mAna-varDanaH mahatAm mahI-talam anuSaSAsa
   BhP_05.01.024/1 atha ca duhitaraṃ prajāpater viśvakarmaṇa upayeme	BhP_05.01.024/1 aTa ca duhitaram prajApateH viSvakarmaNaH upayeme
   barhiṣmatīṃ nāma tasyām u ha vāva ātmajān	barhizmatIm nAma tasyAm u ha vAvaH AtmajAn
   ātma-samāna-śīla-guṇa-karma-rūpa-vīryodārān daśa bhāvayām babhūva kanyāṃ	Atma--samAna--SIla-guNa--karma--rUpa-vIrya-udArAn daSa BAvayAm baBUva kanyAm
   ca yavīyasīm ūrjasvatīṃ nāma	ca yavIyasIm UrjasvatIm nAma
   BhP_05.01.025/1	Bhu-_05.01.025/1
   āgnīdhredhmajihva-yajñabāhu-mahāvīra-hiraṇyareto-ghṛtapṛṣṭha-savana-medhātithi-vītihotra-kavaya	AgnIDra-iDma-jihva--yajQa-bAhu--mahA-vIra--hiraNya-reto--GRta-pRzWa--savana-meDAtiTi-vItihotra--kavaya
   iti sarva evāgni-nāmānaḥ	iti sarve eva-agni-nAmAnaH
   BhP_05.01.026/1 eteṣāṃ kavir mahāvīraḥ savana iti traya āsann	Bhu-_05.01.026/1 etezAm kaviH mahAvIraH savanaH iti trayaH Asann
   ūrdhva-retasas ta ātma-vidyāyām arbha-bhāvād ārabhya kṛta-paricayāḥ	UrDva-retasaH te Atma-vidyAyAm arBa-BAvAt AraBya kRta--paricayAH
   pāramahaṃsyam evāśramam abhajan	pAramahaMsyam eva-ASramam aBajan
   BhP_05.01.027/1 tasminn u ha vā upaśama-śīlāḥ paramarṣayaḥ	Bhu-_05.01.027/1 tasmin u ha vE upaSama--SIlAH parama-RzayaH
   sakala-jīva-nikāyāvāsasya bhagavato vāsudevasya bhītānāṃ śaraṇa-bhūtasya	sakala-jIva--nikAya-AvAsasya BagavataH vAsudevasya BItAnAm SaraNa-BUtasya
   śrīmac-caraṇāravindāvirata-smaraṇāvigalita-parama-bhakti-yogānu-bhāvena	SrI-mac--caraNa-aravindA-virata--smaraNa-avigalita-parama--Bakti--yoga-anu-BAvena
   paribhāvitāntar-hṛdayādhigate bhagavati sarveṣāṃ bhūtānām ātma-bhūte	pariBAvita-antar--hRdaya-aDigate Bagavati sarvezAm BUtAnAm Atma-BUte
   pratyag-ātmany evātmanas tādātmyam aviśeṣeṇa samīyuḥ	pratyag-a-Atmani eva-AtmanaH tAdAtmyam aviSezeNa samIyuH
   BhP_05.01.028/1 anyasyām api jāyāyāṃ trayaḥ putrā āsann uttamas tāmaso	Bhu-_05.01.028/1 anyasyAm api jAyAyAm trayaH putrAH Asan uttamaH tAmasaH-
   raivata iti manvantarādhipatayaḥ	rEvataH iti manvantara-aDipatayaH
   BhP_05.01.029/1 evam upaśamāyaneṣu sva-tanayeṣv atha jagatī-patir jagatīm	Bhu-_05.01.029/1 evam upaSama-ayanezu sva--tanayezu aTa jagatI--patiH jagatIm
   arbudāny ekādaśa parivatsarāṇām	arbudAni ekAdaSa parivatsarANAm
   avyāhatākhila-puruṣa-kāra-sāra-sambhṛta-dor-daṇḍa-yugalāpīḍita-maurvī-guṇa-stanita-viramita-dharma-pratipakṣo	avyAhata-aKila--puruza--kAra--sAra--samBRta--dor--daNxa--yugalA-pIxita--mOrvI--guNa--stanita-viramita--Darma--pratipakzaH-
   barhiṣmatyāś cānudinam	barhizmatyAH ca-anudinam
   edhamāna-pramoda-prasaraṇa-yauṣiṇya-vrīḍā-pramuṣita-hāsāvaloka-rucira-kṣvely-ādibhiḥ	eDamAna--pramoda--prasaraNa-yOziNya--vrIxA--pramuzita--hAsa-avaloka--rucira--kzvelI--AdiBiH
   parābhūyamāna-viveka ivānavabudhyamāna iva mahāmanā bubhuje	parABUyamAna--vivekaH iva-anavabuDyamAnaH iva mahA-manAH buBuje
   BhP_05.01.030/1 yāvad avabhāsayati sura-girim anuparikrāman bhagavān	Bhu-_05.01.030/1 yAvat avaBAsayati sura--girim anuparikrAman BagavAn
   ādityo vasudhā-talam ardhenaiva pratapaty ardhenāvacchādayati tadā hi	AdityaH vasuDA-talam arDena-eva pratapati arDena-avacCAdayati tadA hi
   bhagavad-upāsanopacitāti-puruṣa-prabhāvas tad anabhinandan samajavena	Bagavat--upAsana-upacita-ati-puruza--praBAvaH tat anaBinandan samajavena
   rathena jyotirmayena rajanīm api dinaṃ kariṣyāmīti sapta-kṛt vastaraṇim	raTena jyotiH-mayena rajanIm api dinam karizyAmi-iti sapta-kRt vaH-taraNim
   anuparyakrāmad dvitīya iva pataṅgaḥ	anuparyakrAmat dvitIyaH iva pataFgaH
   BhP_05.01.031/1 ye vā u ha tad-ratha-caraṇa-nemi-kṛta-parikhātās te sapta	Bhu-_05.01.031/1 ye vE u ha tad--raTa-caraNa-nemi-kRta-pariKAtAH te sapta
   sindhava āsan yata eva kṛtāḥ sapta bhuvo dvīpāḥ	sinDavaH Asan yatas eva kRtAH sapta BuvaH dvIpAH
   BhP_05.01.032/1 jambū-plakṣa-śālmali-kuśa-krauñca-śāka-puṣkara-saṃjñās	Bha-a_05.01.032/1 jambU-plakza--SAlmali--kuSa-krOQca--SAka--puzkara--saMjQA-as
   teṣāṃ parimāṇaṃ pūrvasmāt pūrvasmād uttara uttaro yathā-saṅkhyaṃ	tezAm parimANam pUrvasmAt pUrvasmAt uttaraH uttaraH yaTA-saFKyam
   dvi-guṇa-mānena bahiḥ samantata upakḷptāḥ	dvi-guNa--mAnena bahis samantataH upak?ptAH
   BhP_05.01.033/1 duhitaraṃ corjasvatīṃ nāmośanase prāyacchad yasyām āsīd	Bhu-_05.01.033/1 duhitaram ca-UrjasvatIm nAma-uSanase prAyacCat yasyAm AsIt-
   devayānī nāma kāvya-sutā	devayAnI nAma kAvya-sutA
   BhP_05.01.034/1 naivaṃ-vidhaḥ puruṣa-kāra urukramasya	Bhu-_05.01.034/1 na-evaM-viDaH puruza--kAraH urukramasya
   BhP_05.01.034/2 puṃsāṃ tad-aṅghri-rajasā jita-ṣaḍ-guṇānām	Bhu-_05.01.034/2 puMsAm tad--aFGri--rajasA jita---zaz--guNAnAm
   BhP_05.01.034/3 citraṃ vidūra-vigataḥ sakṛd ādadīta	Bhu-_05.01.034/3 citram vidUra-vigataH sakRt AdadIta
   BhP_05.01.034/4 yan-nāmadheyam adhunā sa jahāti bandham	Bhu-_05.01.034/4 yan-nAmaDeyam aDunA sa jahAti banDam
   BhP_05.01.035/1 sa evam aparimita-bala-parākrama ekadā tu	Bhu-_05.01.035/1 saH evam aparimita--bala--parAkramaH ekadA tu
   devarṣi-caraṇānuśayanānu-patita-guṇa-visarga-saṃsargeṇānirvṛtam ivātmānaṃ	deva-Rzi-caraNa-anuSayana-anu-patita--guNa--visarga--saMsargeNa-anirvRtam iva-AtmAnam
   manyamāna ātma-nirveda idam āha	manyamAnaH Atma--nirvedaH idam Aha
   BhP_05.01.036/1 aho asādhv anuṣṭhitaṃ yad abhiniveśito 'ham indriyair	Bhu-_05.01.036/1 aho asADu anuzWitam yat aBiniveSitaH aham indriyEH-
   avidyā-racita-viṣama-viṣayāndha-kūpe tad alam alam amuṣyā vanitāyā	avidyA-racita--vizama--vizaya-anDa-kUpe tat alam alam amuzyAH vanitAyAH-
   vinoda-mṛgaṃ māṃ dhig dhig iti garhayāṃ cakāra	vinoda-mRgam mAm Dik Dik iti garhayAm cakAra
   BhP_05.01.037/1	Bhu-_05.01.037/1
   para-devatā-prasādādhigatātma-pratyavamarśenānupravṛttebhyaḥ putrebhya	para-devatA--prasAda-aDigata-Atma--pratyavamarSena-anupravRtteByaH putreBya
   imāṃ yathā-dāyaṃ vibhajya bhukta-bhogāṃ ca mahiṣīṃ mṛtakam iva saha	imAm yaTA-dAyam viBajya Bukta-BogAm ca mahizIm mRtakam iva saha
   mahā-vibhūtim apahāya svayaṃ nihita-nirvedo hṛdi gṛhīta-hari-vihārānubhāvo	mahA--viBUtim apahAya svayam nihita--nirvedaH hRdi gRhIta--hari--vihAra-anuBAvaH-
   bhagavato nāradasya padavīṃ punar evānusasāra	BagavataH nAradasya padavIm punar eva-anusasAra
   BhP_05.01.038/0 tasya ha vā ete ślokāḥ	Bhu-_05.01.038/0 tasya ha vE ete SlokAH
   BhP_05.01.038/1 priyavrata-kṛtaṃ karma ko nu kuryād vineśvaram	Bhu-_05.01.038/1 priyavrata-kRtam karma kaH nu kuryAt vineSvaram
   BhP_05.01.038/2 yo nemi-nimnair akaroc chāyāṃ ghnan sapta vāridhīn	Bhu-_05.01.038/2 yaH nemi--nimnEH akarot CAyAm Gnan sapta vAriDIn
   BhP_05.01.039/1 bhū-saṃsthānaṃ kṛtaṃ yena sarid-giri-vanādibhiḥ	Bhu-_05.01.039/1 BU--saMsTAnam kRtam yena sarit--giri-vana-AdiBiH
   BhP_05.01.039/2 sīmā ca bhūta-nirvṛtyai dvīpe dvīpe vibhāgaśaḥ	BhP_05.01.039/2 sImA ca BUta--nirvRtyE dvIpe dvIpe viBAgaSaH
   BhP_05.01.040/1 bhaumaṃ divyaṃ mānuṣaṃ ca mahitvaṃ karma-yogajam	Bhu-_05.01.040/1 BOmam divyam mAnuzam ca mahitvam karma--yoga-jam
   BhP_05.01.040/2 yaś cakre nirayaupamyaṃ puruṣānujana-priyaḥ	Bhu-_05.01.040/2 yaH cakre niraya-Opamyam puruza-anujana-priyaH
   BhP_05.01.001/0 śrī-śuka uvāca	BhP_05.01.001/0 SrI-SukaH uvAca
   BhP_05.02.001/1 evaṃ pitari sampravṛtte tad-anuśāsane vartamāna āgnīdhro	Bhu-_05.02.001/1 evam pitari sampravRtte tad--anuSAsane vartamAnaH AgnIDro
   jambūdvīpaukasaḥ prajā aurasavad dharmāvekṣamāṇaḥ paryagopāyat	jambUdvIpa-okasaH prajAH Orasa-vat Darma-avekzamANaH paryagopAyat
   BhP_05.02.002/1 sa ca kadācit pitṛloka-kāmaḥ	BhP_05.02.002/1 sa ca kadAcid pitR-loka--kAmaH
   sura-vara-vanitākrīḍācala-droṇyāṃ bhagavantaṃ viśva-sṛjāṃ patim	sura--vara--vanitA-krIxA-cala-droNyAm Bagavantam viSva-sRjAm patim
   ābhṛta-paricaryopakaraṇa ātma ikāgryeṇa tapasvy ārādhayāṃ babhūva	ABRta--paricarya-upakaraNaH AtmaH ikA-agryeNa tapasvI ArADayAm baBUva
   BhP_05.02.003/1 tad upalabhya bhagavān ādi-puruṣaḥ sadasi gāyantīṃ	Bhu-_05.02.003/1 tat upalaBya BagavAn Adi-puruzaH sadasi gAyantIm
   pūrvacittiṃ nāmāpsarasam abhiyāpayām āsa	pUrvacittim nAma-apsarasam aBiyApayAm Asa
   BhP_05.02.004/1 sā ca tad-āśramopavanam ati-ramaṇīyaṃ	BhP_05.02.004/1 sA ca tad--a-ASrama-upavanam ati-ramaNIyam
   vividha-nibiḍa-viṭapi-viṭapa-nikara-saṃśliṣṭa-puraṭa-latārūḍha-sthala-vihaṅgama-mithunaiḥ	viviDa--nibixa--viwapi-viwa-pa--nikara--saMSlizwa--purawa-latA-ArUXa--sTala--vihaFgama-miTunEH
   procyamāna-śrutibhiḥ	procyamAna--SrutiBiH
   pratibodhyamāna-salila-kukkuṭa-kāraṇḍava-kalahaṃsādibhir vicitram	pratiboDyamAna--salila--kukkuwa-kAraNxava-kalahaMsa-AdiBiH vicitram
   upakūjitāmala-jalāśaya-kamalākaram upababhrāma	upakUjita-amala--jala-ASaya--kamala-Akaram upabaBrAma
   BhP_05.02.005/1 tasyāḥ sulalita-gamana-pada-vinyāsa-gati-vilāsāyāś	Bhu-_05.02.005/1 tasyAH su-lalita-gamana-pada--vinyAsa--gati-vilAsAya-AS
   cānupadaṃ khaṇa-khaṇāyamāna-rucira-caraṇābharaṇa-svanam upākarṇya	ca-anupadam KaNa-KaNAyamAna---rucira-caraNa-ABaraNa--svanam upAkarNya
   naradeva-kumāraḥ samādhi-yogenāmīlita-nayana-nalina-mukula-yugalam īṣad	naradeva-kumAraH samADi--yogena-AmIlita--nayana-nalina--mukula--yugalam Izat-
   vikacayya vyacaṣṭa	vikacayya vyacazwa
   BhP_05.02.006/1 tām evāvidūre madhukarīm iva sumanasa upajighrantīṃ	Bhu-_05.02.006/1 tAm eva-avidUre maDukarIm iva sumanasaH upajiGrantIm
   divija-manuja-mano-nayanāhlāda-dughair	divija-m-anuja--manaH--nayana-AhlAda--duGEH-
   gati-vihāra-vrīḍā-vinayāvaloka-susvarākṣarāvayavair manasi nṛṇāṃ	gati--vihAra--vrIxA--vinaya-avaloka-su-svara-akzara-avayavEH manasi nRNAm
   kusumāyudhasya vidadhatīṃ vivaraṃ	kusumAyuDasya vidaDatIm vivaram
   nija-mukha-vigalitāmṛtāsava-sahāsa-bhāṣaṇāmoda-madāndha-madhukara-nikaroparodhena	nija--muKa--vigalita-amRta-Asa-va-sahAsa--BAzaNa-Amoda--mada-anDa--maDukara--nikara-uparoDena
   druta-pada-vinyāsena valgu-spandana-stana-kalaśa-kabara-bhāra-raśanāṃ	druta-pada--vinyAsena valgu--spandana--stana-kalaSa--kabara--BAra--raSanAm
   devīṃ tad-avalokanena vivṛtāvasarasya bhagavato makara-dhvajasya vaśam	devIm tat--avalokanena vivRta-avasarasya BagavataH makara--Dvajasya vaSam
   upanīto jaḍavad iti hovāca	upanItaH jaxa-vat iti ha-uvAca
   BhP_05.02.007/1 kā tvaṃ cikīrṣasi ca kiṃ muni-varya śaile	BhP_05.02.007/1 kA tvam cikIrzasi ca kim muni-varya SEle
   BhP_05.02.007/2 māyāsi kāpi bhagavat-para-devatāyāḥ	Bhu-_05.02.007/2 mAyAsi kA-api Bagavat--para-devatAyAH
   BhP_05.02.007/3 vijye bibharṣi dhanuṣī suhṛd-ātmano 'rthe	Bhu-_05.02.007/3 vijye biBarzi DanuzI suhRd-A-AtmanaH arTe
   BhP_05.02.007/4 kiṃ vā mṛgān mṛgayase vipine pramattān	Bhu-_05.02.007/4 kim vA mRgAn mRgayase vipine pramattAn
   BhP_05.02.008/1 bāṇāv imau bhagavataḥ śata-patra-patrau	Bhu-_05.02.008/1 bANO imO BagavataH Sata-patra--patrO
   BhP_05.02.008/2 śāntāv apuṅkha-rucirāv ati-tigma-dantau	Bhu-_05.02.008/2 SAntO apuFKa--rucirO ati-tigma-dantO
   BhP_05.02.008/3 kasmai yuyuṅkṣasi vane vicaran na vidmaḥ	Bhu-_05.02.008/3 kasmE yuyuFkzasi vane vicaran na vidmaH
   BhP_05.02.008/4 kṣemāya no jaḍa-dhiyāṃ tava vikramo 'stu	Bhu-_05.02.008/4 kzemAya naH jaxa-DiyAm tava vikramaH astu
   BhP_05.02.009/1 śiṣyā ime bhagavataḥ paritaḥ paṭhanti	Bhu-_05.02.009/1 SizyAH ime BagavataH paritas paWanti
   BhP_05.02.009/2 gāyanti sāma sarahasyam ajasram īśam	Bhu-_05.02.009/2 gAyanti sAma sa-rahasyam ajasram ISam
   BhP_05.02.009/3 yuṣmac-chikhā-vilulitāḥ sumano 'bhivṛṣṭīḥ	Bhu-_05.02.009/3 yuzmac--SiKA--vilulitAH sumanaH aBivRzwIH
   BhP_05.02.009/4 sarve bhajanty ṛṣi-gaṇā iva veda-śākhāḥ	Bhu-_05.02.009/4 sarve Bajanti Rzi--gaNAH iva veda--SAKAH
   BhP_05.02.010/1 vācaṃ paraṃ caraṇa-pañjara-tittirīṇāṃ	Bhu-_05.02.010/1 vAcam param caraNa--paQjara--tittirINAm
   BhP_05.02.010/2 brahmann arūpa-mukharāṃ śṛṇavāma tubhyam	Bhu-_05.02.010/2 brahman arUpa--muKarAm SRNavAma tuByam
