   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   tāmyattāmbūlikena khañjatkhaṅgagrāhiṇā katipayaprakāśadāserakaprāyeṇa	tAmyat-ta-ambUlikena KaQjat-KaFga-grAhiNA katipaya-prakASa-dAseraka-prAyeNa
   bahuvāsarāntaritasnānabhojanaśayanaśyāmakṣāmavapuṣā parijanena parivṛtam,	bahu-vAsara-antarita-snAna-Bojana-Sayana-SyAma-kzAma-vapuzA parijanena parivRtam,
   aviratamārgadhūlidhūsaritaśarīratayā śaraṇīkṛtamivāśaraṇayā kramāgatayā	avirata-mArga-DUli-DU-sarita-SarIra-tayA SaraNIkRtam-iva-ASaraNayA krama-AgatayA
   vasuṃdharayā, hūṇanirjayasamaraśaravraṇabaddhapaṭṭakairdīrghadhavalaiḥ	vasuMDarayA, hUNa-nirjaya-samara-Sara-vraNa-badDa-pawwakEH-dIrGa-DavalEH
   samāsannarājyalakṣmīkaṭākṣapātairiva śabalīkṛtakāyam,	samAsanna-rAjya-lakzmI-kawAkza-pAtEH-iva SabalIkRta-kAyam,
   avanipatiprāṇaparitrāṇārthamiva ca śokahutabhuji	avanipati-prANa-paritrANa-arTam-iva ca Soka-hutaBuji
   hutamāṃsairatikṛśairavayavairāvedyamānaduḥkhabhāram, avagatacūḍāmaṇini	huta-mAMsEH-ati-kRSEH-avayavEH-AvedyamAna-duHKa-BAram, avagata-cUxAmaNini
   malinākulakuntale śekharaśūnye śirasi śūcamārūḍhāṃ mūrtimatīmiva dadhānam,	malina-Akula-kuntale SeKara-SUnye Sirasi SUcam-ArUXAm mUrtimatIm-iva daDAnam,
   ātapagalitasvedarājinā rudateva pitṛpādapatanotkaṇṭhitena lalāṭapaṭṭena	Atapa-galita-sveda-rAjinA rudatA-iva pitR-pAda-patana-utkaNWitena lalAwa-pawwena
   lakṣyamāṇam, prathīyasā bāṣpapayaḥpravāheṇābhimatapatimaraṇamūrcchitāmiva	lakzyamANam, praTIyasA bAzpa-payaH-pravAheNa-aBimata-pati-maraNa-mUrcCitAm-iva
   mahīmanavarataṃ siñcantam, anantasaṃtatāśrupravāhanipatananimnīkṛtāviva	mahIm-anavaratam siQcantam, ananta-saMtata-aSru-pravAha-nipatana-nimnIkRtO=-iva
   duḥkhakṣāṇau kapolāvudvahantam, atyuṣṇamukhamārutamārgagatena dravateva	duHKa-kzANO kapolO=-udvahantam, ati-uzNa-muKa-mAruta-mArga-gatena dravatA-iva
   galitatāmbūlarāgeṇādharabimbenopalakṣitam,	galita-tAmbUla-rAgeNa-aDara-bimbena-upalakzitam,
   pavitrikāmātrāvaśeṣendaranīlikāṃśuśyāmāyamānamaciraśrutapitṛmaraṇajanyamahāśokāgnidagdhamiva	pavitrikA-mAtra-avaSeza-indara-nIlikAMSu-SyAmAyamAnam-acira-Sruta-pitR-maraNa-janya-mahA-Soka-agni-dagDam-iva
   śravaṇapradeśamudvahantam,	SravaNa-pradeSam-udvahantam,
   asphuṭābhivyaktavyañjanenāpyadhomukhastimitanayananīlatārakamayūkhamālākhacitena	asPuwa-aBivyakta-vyaQjanena-api-aDomuKa-stimita-nayana-nIla-tAraka-mayUKa-mAlA-Kacitena
   śokaprarūḍhaśmaśruśyāmaleneva mukhaśaśinā lakṣyamāṇam, kesariṇamiva	Soka-prarUXa-SmaSru-SyAmalena-iva muKa-SaSinA lakzyamANam, kesariNam-iva
   mahābhūbhṛdvinipātavihvalaniravalaṃbanam, divasamiva	mahA-BUBRt-vinipAta-vihvala-niravalaMbanam, divasam-iva
   tejaḥpatipatanaparimlānaśriyaṃ śyāmībhūtam, nandanamiva bhagnakalpapādapaṃ	tejaH-pati-patana-parimlAna-Sriyam SyAmIBUtam, nandanam-iva Bagna-kalpa-pAdapam
   vicchāyam, digbhāgamiva proṣitadikkuñjaraśūnyam, girimiva	vicCAyam, diS-BAgam-iva prozita-diS-kuQjara-SUnyam, girim-iva
   guruvajrapātadāritaṃ prakampamānam, krītamiva kraśimnā, kiṅkarīkṛtamiva	guru-vajra-pAta-dAritam prakampamAnam, krItam-iva kraSimnA, kiFkarIkRtam-iva
   kāruṇyena, dāsīkṛtamiva daurmanasyena, śiṣyīkṛtamiva śocitavyena,	kAruNyena, dAsIkRtam-iva dOrmanasyena, SizyIkRtam-iva Socitavyena,
   andhīkṛtamivādhinā, mūkīkṛtamiva maunena, piṣṭamiva piḍayā, svinnamiva	anDIkRtam-iva-aDinA, mUkIkRtam-iva mOnena, pizwam-iva pixayA, svinnam-iva
   saṃtāpena, uccitamiva cintayā, viluptamiva vilāpena, dhṛtamiva vairāgyeṇa,	saMtApena, uccitam-iva cintayA, viluptam-iva vilApena, DRtam-iva vErAgyeNa,
   pratyākhyātamiva pratisaṃkhyānena, avajñātamiva prajñayā, dūrīkṛtamiva	pratyAKyAtam-iva pratisaMKyA-anena, avajQAtam-iva prajQayA, dUrIkRtam-iva
   durabhibhavatvena, abodhyena vṛddhabuddhīnām, asādhyena sādhubhāṣitānām,	duraBi-Bava-tu-ena, aboDyena vRdDa-budDI-nAm, asADyena sADu-BAzitAnAm-,
   agamyena gurugirām, aśakyena śāstraśaktīnām, apathena prajñāprayatnānām,	agamyena guru-girAm, aSakyena SAstra-SaktI-nAm, apaTena prajQA-prayatnAnAm-,
   agocareṇa suhṛdanurodhānām, aviṣayeṇa viṣayopabhogānām, abhūmibhūtena	agocareNa suhRd-anuroDA-nAm, avizayeNa vizaya-upaBogAnAm, aBUmi-BUtena
   kālakramopacayānāṃ śokena kavalīkṛtaṃ jyeṣṭhaṃ bhrātaramapaśyat /	kAla-krama-upacayAnAm Sokena kavalIkRtam jyezWam BrAtaram-apaSyat /
   āvegodgatakṛtsnasnehotkalikākalāpotkṣipya māṇakāya iva ca paravaśaḥ	Avega-udgata-kRtsna-sneha-utkalikA-kalApa-utkzipya mANa-kAyaH iva ca para-vaSaH
   samudagāt /	samudagAt /
   atha taṃ dūrādeva dṛṣṭvā devo rājyavardhanaścirakālakalitaṃ bāṣpāvegaṃ	aTa tam dUrAt-eva dRzwvA devaH rAjya-varDanaH-cira-kAla-kalitam bAzpa-A=-egam
   mumukṣuḥ sudūraprasāritena saṃkalpayanniva sarvaduḥkhāni dīrgheṇa	mumukzuH sudUra-prasAritena saMkalpayan=-iva sarva-duHKAni dIrGeNa
   dardaṇḍadvayena gṛhītvā kaṇṭhe muktakaṇṭhaṃ punaḥ patitakṣaume kṣāme	dardaNxa-dvayena gRhItvA kaNWe mukta-kaNWam punar patita-kzOme kzAme
   vakṣasi punaḥ, kaṇṭhe punaḥ skandhabhāge punaḥ kapolodare nidhāya tathā	vakzasi punar-, kaNWe punar skanDa-BAge punar kapola-udare niDAya taTA
   tathā ruroda yathā saṃbandhanānīvodapāṭyanta hṛdayāni /	taTA ruroda yaTA saMbanDanAni-iva-udapAwyanta hRdayAni /
   aśrusrotaḥśirā ivāmucyata locaneṣu lokenāsmṛtanṛpatinā rājavallabhenāpi	aSru-srotaH-SirAH iva-amucyata locanezu lokena-asmRta-nRpatinA rAja-vallaBena-api
   pratiśabdakanibhena nirbharamivārudyata /	prati-Sabdaka-niBena nirBaram-iva-Arudyate /
   sucirācca kathaṃ kathamapi nirvṛṣṭanayanajalaḥ parjanya iva śaradi	su-cirAt-ca kaTam kaTam-api nirvRzwa-nayana-jalaH parjanyaH iva Saradi
   svayamevopaśaśāma /	svayam-eva-upaSaSAma /
   upaviṣṭaśca parijanopanītena toyena taratkaranakhamayūkhapuñjatayā	upavizwaH-ca parijana-upanItena toyena tarat-kara-naKa-mayUKa-puQjatayA
   mahājalaplavajāyamānaphenalekhamiva punaḥ punaḥ pramṛṣṭamapi	mahA-jala-plava-jAyamAna-Pena-leKam-iva punar punar pramRzwam-api
   pakṣmāgrasaṃgaladbāṣpabinduvṛndamandonmeṣamuṣitadarśanaṃ kathaṃ kathamapi	pakzma-agra-saMgalat-bAzpa-bindu-vRnda-manda-unmeza-muzita-darSanam kaTam kaTam-api
   cakṣurakṣālayat /	cakzuH-akzAlayat /
   tāmbūlikopasthāpitena ca vāsasā candrātapaśakalenevoṣṇoṣṇabāṣpadagdhaṃ	tAmbUlikA-upasTApitena ca vAsasA candra-Atapa-Sakalena-iva-uzNa-uzNa-bAzpa-dagDam
   vadanamunmamārja /	vadanam-unmam-Arja /
   tūṣṇīmeva ca ciraṃ sthitvotthāya snānabhūmimagāt /	tUzNIm-eva ca ciram sTitvA-utTAya snAna-BUmim-agAt /
   tasyāṃ ca sthitvā vibhūṣaṃ vitrastavyastakuntalaṃ maulimanādarānniṣpīḍya	tasyAm ca sTitvA viBUzam vitrasta-vyasta-kuntalam mOlim-ana-AdarAn-nizpIxya
   sāvaśeṣamanyusphuritena jijīviṣateva jaladhautasubhagamātmānamapi	sa-avaSeza-manyu-sPuritena jijIvizatA-iva jala-DOta-suBagam-AtmAnam-api
   cucumbiṣatevādhareṇa kṣālitasya cakṣuṣaḥ śvetimnā ca	cucumbizatA-iva-aDareNa kzAlitasya cakzuzaH SvetimnA ca
   śāradaśaśikaravikasitaviśadakumudavanadalāvalibalivikṣepairiva	SArada-SaSi-kara-vikasita-viSada-kumuda-vana-dala-Avali-bali-vikzepEH-iva
   digdevatārcanakarma kurvāṇaścatuḥśālavitardikāviniveśitāyāmapratipādikāyāṃ	diS-devatA-arcana-karma kurvANaH-catur-SAla-vitardikA-viniveSitAyAm-apratipAdikAyAm
   cāpāśrayavinihitaikopabarhaṇāyāṃ paryaṅkikāyāṃ nipatya joṣamasthāt /	cApa-ASraya-vinihita-eka-upabarhaNAyAm paryaFkikAyAm nipatya jozam-asTAt /
   devo 'pi harṣastathaiva snātvā dharaṇitalanihitakuthāprasāritamūrtiradūra	devaH api harzaH-taTA-eva snAtvA DaraNi-tala-nihita-kuTA-prasArita-mUrtiH-adUra
   evāsya tūṣṇīmeva samavātiṣṭhata /	eva-asya tUzNIm-eva samavAtizWata /
   dṛṣṭvā dṛṣṭvā dūyamānasamagrajanmānaṃ samasphuṭadivāsya sahasradhā hṛdayam	dRzwvA dRzwvA dUyamAna-samagrajanmAnam sama-sPuwa-divA-asya sahasraDA hRdayam
   aurasadarśanaṃ hi yauvanaṃ śokasya /	Orasa-darSanam hi yOvanam Sokasya /
   lokasya tu narapatimaraṇadivasādapi dāruṇataraḥ sa babhūva divasaḥ /	lokasya tu narapati-maraNa-divasAt-api dAruNataraH sa baBUva divasaH /
   sarvasminneva ca nagare na kenacidapāci na kenacidasnāyi nābhoji /	sarvasmin=-eva ca nagare na kenacid-apAci na kenacid-asnAyi na-aBoji /
   sarvatra sarveṇārodi /	sarvatra sarveNa-Arodi /
   kevalamanena ca krameṇāticakrāma divasaḥ /	kevalam-anena ca krameNa-aticakrAma divasaH /
   sa ca pratyagratvaṣṭuṭaṅkataṣṭatanuriva	sa ca pratyagra-tvazwu-waFka-tazwa-tanuH-iva
   vamadvahalarudhirarasamāṃsacchedalohitacchaviraparapārāvārapayasi mamajja	vamat-vahala-ruDira-rasa-mAMsa=-Ceda-lohita=-CaviH-apara-pArAvAra-payasi mamajja
   mañjiṣṭhāruṇo 'ruṇasārathiḥ /	maQjizWA-aruNaH aruNa-sAraTiH /
   mukulāyamānakamalinīkośavikalaṃ cakāṇa cañcarīkakulaṃ kamalasarasi /	mukulAyamAna-kamalinI-koSa-vikalam cakANa caQcarIka-kulam kamala-sarasi /
   savidhavirahavyādhividhuradhūbādhyamānaṃ babandha bandhāviva	saviDa-viraha-vyADi-viDuraDU-bADyamAnam babanDa banDO=-iva
   vibuddhabandhūkabhāsi bhāsvati sāsrāṃ dṛśaṃ cakravākacakravālam /	vibudDa-banDUka-BAsi BAsvati sa-asrAm dRSam cakravAka-cakravAlam /
   saṃcarantyāḥ samadhukararavaṃ kairavākaraṃ kalahaṃsaramaṇīramaṇīyaṃ	saMcarantyAH sa-maDukara-ravam kEravAkaram kalahaMsa-ramaNI-ramaNIyam
   māṇikyakāñjīkiṅkiṇījālamivācakāṇa śriyaḥ /	mANikya-kAQjI-kiFkiNI-jAlam-iva-AcakANa SriyaH /
   prakaṭakalaṅkamudayamānaṃ	prakawa-kalaFkam-udayamAnam
   viśaṅkaṭaviṣāṇotkīrṇapaṅkasaṃkaraśaṅkarabarkuraśavkarakakudakūṭasaṃkāśamakāśatākāśe	viSaFkawa-vizANa-utkIrNa-paFka-saMkara-SaFkara-barkura-Savkara-ka-kudakUwa-saMkASa-makASa-tA-AkASe
   śaśāṅkamaṇḍalam /	SaSAFka-maNxalam /
   asyāṃ ca velāyāmanatikramaṇīyavacanairupasṛtya pradhānasāmantairvi	asyAm ca velAyAm-anatikramaNIya-vacanEH-upasRtya praDAna-sAmantEH-vi
   jñāpyamānaḥ kathaṃ kathamapyabhukta /	jQApyamAnaH kaTam kaTam-api-aBuktaH /
   prabhātāyāṃ ca śarvaryāṃ sarveṣu praviṣṭeṣu rājasu samīpasthitaṃ	praBAtAyAm ca SarvaryAm sarvezu pravizwezu rAjasu samIpa-sTitam
   hraṣadevamuvāca--"tāta! bhūmirasi guruniyogānām /	hrazadevam-uvAca---"tAta! BUmiH-asi guru-niyogAnAm /
   śaiśava evāgrāhi guṇavatpatākeva bhavatā tātasya cittavṛttiḥ /	SESavaH eva-agrAhi guNavat-patAkA-iva BavatA tAtasya citta-vRttiH /
   yato bhavantamevaṃ vidhaṃ vidheyaṃ vidhighidhānopanatanairghṛṇyamidaṃ	yatas Bavantam-evam viDam viDeyam viDi-GiDAna-upanatanEH-GRNyam-idam
   kimapi bibhaṇiṣati me hṛdayam /	kim-api biBaNizati me hRdayam /
   nāvalambanīyā bālabhāvasulabhā premavilomā vāmatā /	na-avalambanIyA bAla-BAva-sulaBA prema-vilomA vAma-tA /
   vaidheya iva mā kṛthāḥ pratyūhamīhite 'smin /	vEDeyaH iva mA kRTAH pratyUham-Ihite asmin /
   śṛṇu, na khalu na jānāsi lokavṛttam /	SRNu, na Kalu na jAnAsi loka-vRttam /
   lokatrayatrātari māndhātari mṛte kiṃ na kṛtaṃ purukutsena?	lokatraya-trAtari mAnDAtari mRte kim na kRtam purukutsena?
   bhrūlatādiṣṭāṣṭādaśadvīpe dilīpe vā raghuṇā /	BrU-latA-Adizwa-azwAdaSa-dvIpe dilIpe vA raGuNA /
   mahāsurasamaramadhyādhyāsitatridaśarathe daśarathe vā rāmeṇa?	mahA-asura-samara-maDya-aDyAsita-tridaSaraTe daSaraTe vA rAmeNa?
   goṣpadīkṛtacaturudanvadante duṣyante vā bharatena? tiṣṭhantu tāvatte	gozpadIkRta-catur-udanvat-ante duzyante vA Baratena? tizWantu tAvat-te
   tātenaiva śatasamadhikādhigatādhvaradhūmavisaradhūsaritavāsavavayasi	tAtena-eva Sata-samaDika-aDigata-aDvara-DUma-visara-DU-sarita-vAsava-vayasi
   sugṛhītanāmni tatrabhavati parāsutāṃ gate pitari kiṃ nākāri rājyam? yaṃ ca	su-gRhIta-nAmni tatraBavati parAsu-tAm gate pitari kim na-akAri rAjyam? yam ca
   kila śokaḥ smabhibhavati taṃ kāpuruṣamācakṣate śāstravidaḥ /	kila SokaH smaBiBavati tam kApuruzam-Acakzate SAstra-vidaH /
   striyo hi viṣayaḥ śucām /	striyaH hi vizayaH SucAm /
   tathāpi kiṃ karomi /	taTA-api kim karomi /
   svabhāvasya seyaṃ kāpuruṣatā vā straiṇaṃ vā yadevamāspadaṃ	svaBAvasya sA-iyam kApuruza-tA vA strENam vA yat-evam-Aspadam
   pitṛśokahutabhujo jāto 'smi /	pitR-Soka-huta-BujaH jAtaH asmi /
   mama hi bhūbhṛti paryaste niravaśeṣataḥ prasravaṇānīva	mama hi BUBRti paryaste niravaSezataH prasravaNAni-iva
   srutānyaśrūṇyastamite mahati tejasyandhakārībhūtadaśāśasya pranaṣṭaḥ	srutAni-aSrUNi-astamite mahati tejasi-anDakArIBUta-daSa-ASasya pranazwaH
   prajñālokaḥ, prajvalitaṃ hṛdayam, ātmadāhabhīta iva svapne 'pi nopasarpati	prajQA-lokaH, prajvalitam hRdayam, Atma-dAha-BItaH iva svapne api na-upasarpati
   vivekaḥ, balīyasā saṃtāpena jātuṣamiva vilīnamakhilaṃ dhairyam, pade pade	vivekaH, balIyasA saMtApena jAtuzam-iva vilInam-aKilam DEryam, pade pade
   digdharopāhateva hariṇī muhyati matiḥ, puruṣadveṣiṇīva dūrata eva bhramati	digDara-upAhatA-iva hariNI muhyati matiH, puruza-dveziNI-iva dUratas eva Bramati
   pariharantī spṛtiḥ, ambeva tātenaiva saha gatā dhṛtiḥ,	pariharantI spRtiH, ambA-iva tAtena-eva saha gatA DRtiH,
   vārdhuṣikaprayuktānīva dhanānīva pratidivasaṃ vardhante, duḥkhāni,	vArDuzika-prayuktAni-iva DanAni-iva pratidivasam varDante, duHKAni,
   śokānaladhūmasaṃbhārasaṃbhūtāmbhodharabaritamiva varṣati	Soka-anala-DUma-saMBAra-saMBUta-amBoDara-baritam-iva varzati
   nayanavāridhārāvisaraṃ śarīram /	nayana-vAri-DArA-visaram SarIram /
   sarvaḥ pañcajanaḥ pañcatvamupagataḥ prayāti /	sarvaH paQcajanaH paQcatvam-upagataH prayAti /
   vitathametadvadati bālo lokaḥ /	vitaTam-etat-vadati bAlaH lokaH /
   tāto hutāśanatāmeva kevalāmāpanno 'pi naivaṃ dahati mām /	tAtaH hutASana-tAm-eva kevalAm-ApannaH api na-evam dahati mAm /
   antastadevamidamasāṃparāyikamiva hṛdayamavaṣṭabhya vyutthitaḥ śokau	antar-tat-evam-idam-asAMparAyikam-iva hRdayam-avazwaBya vyutTitaH SokO
   durnivāro vāḍava iva vārirāśim, paviriva parvatam, kṣaya iva kṣapākaram,	durnivAraH vAxavaH iva vAri-rASim, paviH-iva parvatam, kzayaH iva kzapA-karam,
   rāhuriva ravim, dahati dārayati tanūkaroti kavalayati ca mām /	rAhuH-iva ravim, dahati dArayati tanUkaroti kavalayati ca mAm /
   kāmaṃ na śaknoti me hṛdayaṃ tādṛśasya samerukalpasya kalpamahāpuruṣasya	kAmam na Saknoti me hRdayam tAdRSasya sameru-kalpasya kalpa-mahApuruzasya
   vinipātamaśrubindubhireva kevalairativāhayitum /	vinipAtam-aSru-binduBiH-eva kevalEH-ativAhayitum /
   rājye viṣa iva cakorasya me viraktaṃ cakṣuḥ /	rAjye vizaH iva cakorasya me viraktam cakzuH /
   bahumṛtapaṭāvaguṇṭhanāṃ rañjitaraṅgāṃ janaṅgamānāmiva vaṃśavāhyāmanāryāṃ	bahu-mRta-pawa-avaguNWanAm raQjita-raFgAm janaFgamAnAm-iva vaMSa-vAhyAm-anAryAm
   śriyaṃ tyaktumabhilaṣati me manaḥ /	Sriyam tyaktum-aBilazati me manaH /
   kṣaṇamapi dagdhagṛhe śakuniriva na pārayāmi thātum /	kzaNam-api dagDa-gRhe SakuniH-iva na pArayAmi TAtum /
   so 'hamicchāmi manasi vāsasīva sulagnaṃ snehamalamidamamalaiḥ	saH aham-icCAmi manasi vAsasi-iva su-lagnam sneha-malam-idam-amalEH
   śikhariśikharaprasravaṇaiḥ svacchasro tombubhiḥ prakṣālayitumāśramapade /	SiKari-SiKara-prasravaNEH svacCasraH tombuBiH prakzAlayitum-ASrama-pade /
   yatastvamantaritayauvanasukhāmanabhimatāmapi jarāmiva pururājñayā	yatas-tvam-antarita-yOvana-suKAm-anaBimatAm-api jarAm-iva puruH-AjQayA
   gurorgṛhāṇa me rājyacintām /	guroH-gRhANa me rAjya-cintAm /
   tyaktasakalabālakrīḍena hariṇeva dīyatāmuro lakṣmyai /	tyakta-sakala-bAla-krIxena hariNA-iva dIyatAm-uraH lakzmyE /
   parityaktaṃ mayā śastram' /	parityaktam mayA Sastram-a /
   ityabhidhāya ca khaḍgagrāhiṇo hastādādāya nijaṃ nistriṃśamutsasarja	iti-aBiDAya ca Kaxga-grAhiNaH hastAt-AdAya nijam nistriMSam-utsasarja
   dharaṇyām /	DaraNyAm /
   atha tacchru tvā niśitaśikhena śūlenevāhataḥ pravidīrṇahṛdayo devo harṣaḥ	aTa tat-Sru tvA niSita-SiKena SUlena-iva-AhataH pravidIrNa-hRdayaH devaH harzaH
   samacintayat--"kiṃ nu khalu māmantareṇāryaḥ kenacidasahiṣṇunā	samacintayat--"kim nu Kalu mAm-antareNa-AryaH kenacid-asahizNunA
   kiñcidgrāhitaḥ kupitaḥ syāt /	kiQcid-grAhitaH kupitaH syAt /
   utānayā diśā parīkṣitukāmo mām /	uta-anayA diSA parIkzitu-kAmaH mAm /
   uta tātaśokajanmā cetasaḥ samākṣepo 'yamasya /	uta tAta-Soka-janmA cetasaH samAkzepaH ayam-asya /
   āhosvidārya evāyaṃ na bhavati, kiṃ vāryeṇānyadevābhihitamanyaṭevāśrāvi	Ahosvit-AryaH eva-ayam na Bavati, kim vAryeNa-anya-deva-aBihita-manyaweva-ASrAvi
   mayā śokaśūnyena śravaṇendriyeṇa /	mayA Soka-SUnyena SravaNa-indriyeNa /
   āryasya cānyadvivakṣitamanyadevāpatitaṃ mukhena /	Aryasya ca-anyat-vivakzitam-anyat-eva-apatitam muKena /
   athavā sakalavaṃśavināśāya nipātanopāyo 'yaṃ vidheḥ /	aTavA sakala-vaMSa-vinASAya nipAtana-upAyaH ayam viDeH /
   mama vā nikhilapuṇyaparikṣayopakṣepaḥ /	mama vA niKila-puNya-parikzaya-upakzepaH /
   karmaṇāmananukūlasamagragrahacakravālavilasitaṃ vā /	karmaNAm-ananukUla-samagra-graha-cakra-vAla-vilasitam vA /
   athavā tātavināśaniḥśaṅkakalikālakrīḍitaṃ yenāyaṃ yaḥ kaścidiva	aTavA tAta-vinASa-niHSaFka-kali-kA-AlakrIxitam yena-ayam yaH kaScid-iva
   yatkiñcanakāriṇaṃ māmapuṣyabhūtivaṃśasaṃbhūtamiva, atātatanayamiva,	yat-kiQcana-kAriNam mAm-apuzya-BUti-vaMSa-saMBUtam-iva, atAtatanayam-iva,
   anātmānujamiva, abhaktamiva, adṛṣṭadoṣamapi śrotriyamiva surāpāne,	anAtma-anujam-iva, aBaktam-iva, adRzwa-dozam-api Srotriyam-iva surA-pAne,
   sadbhṛtyamiva svāmidrohe sajjanamiva nīcopasarpaṇe, sukalatramiva	sat-BRtyam-iva svAmi-drohe sat-janam-iva nIca-upasarpaNe, su-kalatram-iva
   vyabhicāre, atiduṣkare karmaṇi samādiṣṭavān /	vyaBicAre, ati-duzkare karmaNi samAdizwavAn /
   tadetattāvadanurūpaṃ	tat-etat-tAvat-anurUpam
   yacchauryonmādamadironmattasamastasāmantamaṇḍalasamudramathanamandare	yat-SOrya-unmAda-madira-unmatta-samasta-sAmanta-maNxala-samudra-maTana-mandare
   tādṛśi pitari mṛte tapovanaṃ vā gamyate valkalāni vā gṛhyante tapāṃsi vā	tAdRSi pitari mRte tapaH-vanam vA gamyate valkalAni vA gRhyante tapAMsi vA
   sevyante /	sevyante /
   yā tu mayi rājājñā sā dagdho 'pi dāhakāriṇī mayyavagrahaglapite	yA tu mayi rAja-AjQA sA dagDaH api dAha-kAriNI mayi-avagraha-glapite
   dhanvanīvāṅgāravṛṣṭiḥ /	DanvanI-iva-aFgAra-vRzwiH /
