   pāṇḍitavaraśrīvāmanaviracitāni	pANxita-vara-SrI-vAmana-viracitAni
   kāmaśāstrataḥ kāmopacārasya // VKal_1,3.8 //	kAmaSAstrataH kAma-upacArasya // VKat-_1,3.8 //
   daṇḍanīternayāpanayayoḥ // VKal_1,3.9 //	daNxa-nIteH-naya-apanayayoH // VKat-_1,3.9 //
   itivṛttakuṭilatvaṃ ca tataḥ // VKal_1,3.10 //	iti-vRtta-kuwila-tvam ca tatas // VKat-_1,3.10 //
   lakṣyajñatvamabhiyogo vṛddhasevāvekṣaṇaṃ pratibhānamavadhānaṃ ca prakīrṇam	lakzya-jQa-tvam-aBiyogaH vRdDa-sevA-avekzaNam pratiBAnam-avaDAnam ca prakIrNam
   // VKal_1,3.11 //	// VKat-_1,3.11 //
   tatra kāvyaparicayo lakṣyajñatvam // VKal_1,3.12 //	tatra kAvya-paricayaH lakzya-jQa-tvam // VKat-_1,3.12 //
   kāvyabandhodyamo 'bhiyogaḥ // VKal_1,3.13 //	kAvya-banDa-udyamaH aBiyogaH // VKat-_1,3.13 //
   kāvyopadeśaguruśuśrūṣaṇaṃ vṛddhasevā // VKal_1,3.14 //	kAvya-upadeSa-guru-SuSrUzaNam vRdDa-sevA // VKat-_1,3.14 //
   padādhānoddharaṇamavekṣaṇam // VKal_1,3.15 //	pada-ADAna-udDaraNam-avekzaNam // VKat-_1,3.15 //
   kavitvabījaṃ pratibhānam // VKal_1,3.16 //	kavi-tva-bIjam pratiBAnam // VKat-_1,3.16 //
   cittaikāgryamavadhānam // VKal_1,3.17 //	citta-EkAgryam-avaDAnam // VKat-_1,3.17 //
   taddeśakālābhyām // VKal_1,3.18 //	tad-deSa-kAlAByAm // VKat-_1,3.18 //
   vivikto deśaḥ // VKal_1,3.19 //	viviktaH deSaH // VKat-_1,3.19 //
   rātriyāmasturīyaḥ kālaḥ // VKal_1,3.20 //	rAtriyAmaH-turIyaH kAlaH // VKat-_1,3.20 //
   kāvyaṃ gadyaṃ padyaṃ ca // VKal_1,3.21 //	kAvyam gadyam padyam ca // VKat-_1,3.21 //
   gadyaṃ vṛttagandhi cūrṇamutkalikāprāyaṃ ca // VKal_1,3.22 //	gadyam vRtta-ganDi cUrNam-utkalikA-prAyam ca // VKat-_1,3.22 //
   padyabhāgavadvṛttagandhi // VKal_1,3.23 //	padya-BAgavat-vRtta-ganDi // VKat-_1,3.23 //
   anāviddhalalitapadaṃ cūrṇam // VKal_1,3.24 //	anAvidDa-lalita-padam cUrNam // VKat-_1,3.24 //
   viparītamutkalikāprāyam // VKal_1,3.25 //	viparItam-utkalikA-prAyam // VKat-_1,3.25 //
   padyamanekabhedam // VKal_1,3.26 //	padyam-aneka-Bedam // VKat-_1,3.26 //
   tadanibaddhaṃ nibaddhaṃ ca // VKal_1,3.27 //	tat-anibadDam nibadDam ca // VKat-_1,3.27 //
   kramasiddhistayoḥ sraguttaṃsavat // VKal_1,3.28 //	krama-sidDiH-tayoH sraj-uttaMsa-vat // VKat-_1,3.28 //
   nānibaddhaṃ cakāstyekatejaḥparamāṇuvat // VKal_1,3.29 //	na-anibadDam cakAsti-eka-tejaH-paramANu-vat // VKat-_1,3.29 //
   saṃdarbheṣu daśarūpakaṃ śreyaḥ // VKal_1,3.30 //	saMdarBezu daSa-rUpakam SreyaH // VKat-_1,3.30 //
   taddhi citraṃ citrapaṭavadviśeṣasākalyāt // VKal_1,3.31 //	tat-hi citram citra-pawavat-viSeza-sAkalyAt // VKat-_1,3.31 //
   tato 'nyabhedakḷptiḥ // VKal_1,3.32 //	tatas anya-Beda-k?ptiH // VKat-_1,3.32 //
   samāptaṃ cedaṃ śārīraṃ prathamamadhikaraṇam /	samAptam ca-idam SArIram praTamam-aDikaraNam /
   doṣadarśanaṃ nāma dvitīyamadhikaraṇam /	dozadarSanam nAma dvitIyam-aDikaraNam /
   prathamo 'dhyāyaḥ /	praTamaH aDyAyaH /
   guṇaviparyayātmāno doṣāḥ // VKal_2,1.1 //	guNa-viparyaya-AtmAnaH dozAH // VKat-_2,1.1 //
   arthatastadavagamaḥ // VKal_2,1.2 //	arTataH-tad-avagamaH // VKat-_2,1.2 //
   saukaryāya prapañcaḥ // VKal_2,1.3 //	sOkaryAya prapaQcaH // VKat-_2,1.3 //
   duṣṭaṃ padamasādhu kaṣṭaṃ grāmyamapratītamanarthakaṃ ca // VKal_2,1.4 //	duzwam padam-asADu kazwam grAmyam-apratItam-anarTakam ca // VKat-_2,1.4 //
   śabdasmṛtiviruddhamasādhu // VKal_2,1.5 //	Sabda-smRti-virudDam-asADu // VKat-_2,1.5 //
   śrutivirasaṃ kaṣṭam // VKal_2,1.6 //	Sruti-virasam kazwam // VKat-_2,1.6 //
   lokamātraprayuktaṃ grāmyam // VKal_2,1.7 //	loka-mAtra-prayuktam grAmyam // VKat-_2,1.7 //
   śāstramātraprayuktamapratītam // VKal_2,1.8 //	SAstra-mAtra-prayuktam-apratItam // VKat-_2,1.8 //
   pūraṇārthamanarthakam // VKal_2,1.9 //	pUraNa-arTam-anarTakam // VKat-_2,1.9 //
   na vākyālaṅkārārtham // VKal_2,1.10 //	na vAkya-alaFkAra-arTam // VKat-_2,1.10 //
   anyārthaneyagūḍhārthāślīlakliṣṭāni ca // VKal_2,1.11 //	anya-arTaneya-gUXa-arTa-aSlIla-klizwAni ca // VKat-_2,1.11 //
   rūḍhicyutamanyārtham // VKal_2,1.12 //	rUXi-cyutam-anya-arTam // VKat-_2,1.12 //
   kalpitārthaṃ neyārtham // VKal_2,1.13 //	kalpita-arTam neyArTam // VKat-_2,1.13 //
   aprasiddhārthaprayuktaṃ gūḍhārtham // VKal_2,1.14 //	aprasidDa-arTa-prayuktam gUXa-arTam // VKat-_2,1.14 //
   asamyārthāntaramasamyasmṛtihetuścāślīlam // VKal_2,1.15 //	asamya-arTa-antaram-asamya-smRti-hetuH-ca-aSlIlam // VKat-_2,1.15 //
   na guptalakṣitasaṃvṛtāni // VKal_2,1.16 //	na gupta-lakzita-saMvRtAni // VKat-_2,1.16 //
   aprasiddhāsabhyaṃ guptam // VKal_2,1.17 //	aprasidDa-asaByam guptam // VKat-_2,1.17 //
   lākṣaṇikāsabhyānvitaṃ lakṣitam // VKal_2,1.18 //	lAkzaNikA-saBya-anvitam lakzitam // VKat-_2,1.18 //
   lokasaṃvītaṃ saṃvṛtam // VKal_2,1.19 //	loka-saMvItam saMvRtam // VKat-_2,1.19 //
   tantraividhyam, vrīḍājugupsāmaṅgalātaṅkadāyibhedāt // VKal_2,1.20 //*	tantra-eviDyam, vrIxA-aju-gupsA-maFgala-AtaFka-dAyi-BedAt // VKat-_2,1.20 //*
   vyavahitārthapratyayaṃ kliṣṭam // VKal_2,1.21 //	vyavahita-arTa-pratyayam klizwam // VKat-_2,1.21 //
   antyābhyāṃ vākyaṃ vyākhyātam // VKal_2,1.22 //	antyAByAm vAkyam vyAKyAtam // VKat-_2,1.22 //
   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   bhinnavṛttayatibhraṣṭavisaṃdhīni vākyāni // VKal_2,2.1 //	Binna-vRtta-yati-Brazwa-visaMDIni vAkyAni // VKat-_2,2.1 //
   svalakṣaṇacyutavṛttaṃ bhinnavṛttam // VKal_2,2.2 //	sva-lakzaNa-cyuta-vRttam Binna-vRttam // VKat-_2,2.2 //
   virasavirāmaṃ yatibhraṣṭam // VKal_2,2.3 //	virasa-virAmam yati-Brazwam // VKat-_2,2.3 //
   taddhātunāmabhāgabhede svarasaṃdhyakṛte prāyeṇa // VKal_2,2.4 //	tad-DAtu-nAma-BAga-Bede svara-saMDi-akRte prAyeNa // VKat-_2,2.4 //
   na vṛttadoṣātpṛthagyatidpṣaḥ, vṛttasya yatyātmakatvāt // VKal_2,2.5 //*	na vRtta-dozAt-pRTak-yatidpzaH, vRttasya yati-Atmaka-tvAt // VKat-_2,2.5 //*
   na, lakṣaṇaḥ pṛthaktvāt // VKal_2,2.6 //*	na, lakzaNaH pRTaktvAt // VKat-_2,2.6 //*
   virūpapadasaṃdhi visaṃdhiḥ // VKal_2,2.7 //	virUpa-pada-saMDi visaMDiH // VKat-_2,2.7 //
   padasaṃdhervairūpyaṃ viśleṣo 'ślīlatvaṃ kaṣṭatvaṃ ca // VKal_2,2.8 //	pada-saMDeH-vErUpyam viSlezaH aSlIla-tvam kazwa-tvam ca // VKat-_2,2.8 //
   vyarthaikārthasaṃdigdhāyuktāpakramalokavidyā viruddhāni ca // VKal_2,2.9	vyarTa-eka-arTa-saMdigDa-Ayukta-apakrama-loka-vidyA virudDAni ca // VKat-_2,2.9
   vyāhatapūrvottarārthaṃ vyartham // VKal_2,2.10 //	vyAhata-pUrva-uttara-arTam vyarTam // VKat-_2,2.10 //
   uktārthapadamekārtham // VKal_2,2.11 //	ukta-arTa-padam-ekArTam // VKat-_2,2.11 //
   na, viśeṣaścedekārthaṃ duṣṭam // VKal_2,2.12 //*	na, viSezaH-ced-eka-arTam duzwam // VKat-_2,2.12 //*
   dhanurjyādhvanau dhanuḥśrutirārūḍheḥ pratipattyai // VKal_2,2.13 //	DanuH-jyA-DvanO DanuH-SrutiH-ArUXeH pratipattyE // VKat-_2,2.13 //
   karṇāvataṃsaśravaṇakuṇḍalaśiraḥśekhareṣu karṇādinirdeśaḥ saṃnidheḥ //	karNa-avataMsa-SravaNa-kuNxala-SiraH-SeKarezu karNa-Adi-nirdeSaH saMniDeH //
   VKal_2,2.14 //	VKat-_2,2.14 //
   muktāhāraśabde muktāśabdaḥ śuddheḥ // VKal_2,2.15 //	mukta-AhAra-Sabde muktA-SabdaH SudDeH // VKat-_2,2.15 //
   puṣpamālāśabde puṣpapadamutkarṣasya // VKal_2,2.16 //	puzpa-mAlA-Sabde puzpa-padam-utkarzasya // VKat-_2,2.16 //
   karikalabhaśabde kariśabdastādrūpyasya // VKal_2,2.17 //	kari-kalaBa-Sabde kari-SabdaH-tAdrUpyasya // VKat-_2,2.17 //
   viśeṣaṇasya ca // VKal_2,2.18 //	viSezaNasya ca // VKat-_2,2.18 //
   tadidaṃ prayukteṣu // VKal_2,2.19 //	tat-idam prayuktezu // VKat-_2,2.19 //
   saṃśayakṛtsaṃdigdham // VKal_2,2.20 //	saMSaya-kRt-saMdigDam // VKat-_2,2.20 //
   māyādivikalpitārthamprayuktam // VKal_2,2.21 //	mAyA-Adi-vikalpita-arTam-prayuktam // VKat-_2,2.21 //
   kramahīnārthamapakramam // VKal_2,2.22 //	krama-hIna-arTam-apakramam // VKat-_2,2.22 //
   deśakālasvabhāvaviruddhārthāni lokaviruddhāni // VKal_2,2.23 //	deSa-kAla-svaBAva-virudDa-arTAni loka-virudDAni // VKat-_2,2.23 //
   kalācaturvargaśāstraviruddhārthāni vidyāviruddhāni // VKal_2,2.24 //	kalA-caturvarga-SAstra-virudDa-arTAni vidyA-virudDAni // VKat-_2,2.24 //
   samāotaṃ cedaṃ doṣadarśanam dvitīyamadhikaraṇam /	samAotam ca-idam doza-darSanam dvitIyam-aDikaraNam /
   guṇavivecanaṃ nāma tṛtīyamadhikaraṇam /	guNavivecanam nAma tRtIyam-aDikaraNam /
   prathamo 'dhyāyaḥ /	praTamaH aDyAyaH /
   kāvyaśobhāyāḥ kartāro dharmā guṇāḥ // VKal_3,1.1 //	kAvya-SoBAyAH kartAraH DarmAH guNAH // VKat-_3,1.1 //
   tadatiśayahetavastvalaṅkārāḥ // VKal_3,1.2 //	tad-atiSaya-hetavaH-tu-alaFkArAH // VKat-_3,1.2 //
   pūrve nityāḥ // VKal_3,1.3 //	pUrve nityAH // VKat-_3,1.3 //
   ojaḥprasādaśleṣasamatāsamādhimādhuryasaukumāryodāratārthavyaktikāntayo	ojaH-prasAda-Sleza-samatA-samADi-mADurya-sOkumArya-udAra-tA-arTa-vyakti-kAntayo
   bandhaguṇāḥ // VKal_3,1.4 //	banDa-guNAH // VKat-_3,1.4 //
   gāḍhabandhatvamojaḥ // VKal_3,1.5 //	gAXa-banDa-tvam-ojaH // VKat-_3,1.5 //
   śaithilyaṃ prasādaḥ // VKal_3,1.6 //	SETilyam prasAdaH // VKat-_3,1.6 //
   guṇaḥ saṃplavāt // VKal_3,1.7 //	guNaH saMplavAt // VKat-_3,1.7 //
   sa tvanubhavasiddhaḥ // VKal_3,1.8 //	sa tu-anuBava-sidDaH // VKat-_3,1.8 //
   sāmyotkarṣau ca // VKal_3,1.9 //	sAmya-utkarzO ca // VKat-_3,1.9 //
   masṛṇatvaṃ śleṣaḥ // VKal_3,1.10 //	masRNa-tvam SlezaH // VKat-_3,1.10 //
   mārgāvhedaḥ samatā // VKal_3,1.11 //	mArgOvhedaH sama-tA // VKat-_3,1.11 //
   ārohāvarohakramaḥ samādhiḥ // VKal_3,1.12 //	Aroha-avaroha-kramaH samADiH // VKat-_3,1.12 //
   na pṛthak, ārohāvarohayorojaḥprasādarūpatvāt // VKal_3,1.13 //*	na pRTak, Aroha-avarohayoH-ojaH-prasAda-rUpa-tvAt // VKat-_3,1.13 //*
   na, asaṃpṛktatvāt // VKal_3,1.14 //*	na, asaMpRkta-tvAt // VKat-_3,1.14 //*
   anaikāntyācca // VKal_3,1.15 //	anEkAntyAt-ca // VKat-_3,1.15 //
   ojaḥprasādayoḥ tīvrāvasthā, tāviti cedabhyupagamaḥ // VKal_3,1.16 //*	ojaH-prasAdayoH tIvra-avasTA, tO=-iti ced-aByupagamaH // VKat-_3,1.16 //*
   viśeṣāpekṣitvāttayoḥ // VKal_3,1.17 //	viSeza-apekzi-tvAt-tayoH // VKat-_3,1.17 //
   ārohāvarohanimittaṃ samādhirākhyāyate // VKal_3,1.18 //	Aroha-avaroha-nimittam samADiH-AKyAyate // VKat-_3,1.18 //
   kramavidhānārthaṃ vā // VKal_3,1.19 //	krama-viDAna-arTam vA // VKat-_3,1.19 //
   pṛthakpadatvaṃ mādhuryam // VKal_3,1.20 //	pRTak-pada-tvam mADuryam // VKat-_3,1.20 //
   ajaraṭhatvaṃ saukumāryam // VKal_3,1.21 //	ajaraWa-tvam sOkumAryam // VKat-_3,1.21 //
   vikaṭatvamudāratā // VKal_3,1.22 //	vikawa-tvam-udAra-tA // VKat-_3,1.22 //
   arthavyaktihetutvamarthavyaktiḥ // VKal_3,1.23 //	arTa-vyakti-hetu-tvam-arTa-vyaktiH // VKat-_3,1.23 //
   aujjvalyaṃ kāntiḥ // VKal_3,1.24 //	Ojjvalyam kAntiH // VKat-_3,1.24 //
   nāsantaḥ, sadvedyatvāt // VKal_3,1.25 //*	na-asantaH, sat-vedya-tvAt // VKat-_3,1.25 //*
   na bhrāntāḥ, niṣkampatvāt // VKal_3,1.26 //*	na BrAntAH, nizkampa-tvAt // VKat-_3,1.26 //*
   na pāṭhadharmāḥ, sarvatrādṛṣṭeḥ // VKal_3,1.27 //*	na pAWa-DarmAH, sarvatra-adRzweH // VKat-_3,1.27 //*
   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   ta evārthaguṇāḥ // VKal_3,2.1 //	te eva-arTa-guNAH // VKat-_3,2.1 //
   arthasya prauḍhirojaḥ // VKal_3,2.2 //	arTasya prOXiH-ojaH // VKat-_3,2.2 //
   arthavaimalyaṃ prasādaḥ // VKal_3,2.3 //	arTa-vEmalyam prasAdaH // VKat-_3,2.3 //
   ghaṭanā śleṣaḥ // VKal_3,2.4 //	GawanA SlezaH // VKat-_3,2.4 //
   avaiṣamyaṃ samatā // VKal_3,2.5 //	avEzamyam sama-tA // VKat-_3,2.5 //
   arthadṛṣṭiḥ samādhiḥ // VKal_3,2.6 //	arTa-dRzwiH samADiH // VKat-_3,2.6 //
   artho dvividhaḥ, ayoniranyacchāyāyonirvā // VKal_3,2.7 //*	arTaH dviviDaH, ayoniH-anya=-CAyA-yoniH-vA // VKat-_3,2.7 //*
   artho vyaktaḥ sūkṣmaśca // VKal_3,2.8 //	arTaH vyaktaH sUkzmaH-ca // VKat-_3,2.8 //
   sūkṣmo bhāvyo vāsanīyaśca // VKal_3,2.9 //	sUkzmaH BAvyaH vAsanIyaH-ca // VKat-_3,2.9 //
   uktivaicitryaṃ mādhuryam // VKal_3,2.10 //	ukti-vEcitryam mADuryam // VKat-_3,2.10 //
   apāruṣyaṃ saukumāryam // VKal_3,2.11 //	apAruzyam sOkumAryam // VKat-_3,2.11 //
   agrāmyatvamudāratā // VKal_3,2.12 //	agrAmya-tvam-udAra-tA // VKat-_3,2.12 //
   vastusvabhāvasphuṭatvamarthavyaktiḥ // VKal_3,2.13 //	vastu-svaBAva-sPuwa-tvam-arTa-vyaktiH // VKat-_3,2.13 //
   dīptarasatvaṃ kāntiḥ // VKal_3,2.14 //	dIpta-rasa-tvam kAntiH // VKat-_3,2.14 //
   samāotaṃ cedaṃ guṇavivecanaṃ tṛtīyamadhikaraṇam /	samAotam ca-idam guNa-vivecanam tRtIyam-aDikaraNam /
   ālaṅkārikaṃ nāma caturthamadhikaraṇam /	AlaFkArikam nAma caturTam-aDikaraNam /
   prathamo 'dhyāyaḥ /	praTamaH aDyAyaH /
   padamanaikārthamakṣaraṃ cāvṛttaṃ sthānaniyame yamakam // VKal_4,1.1 //	padam-ana-eka-arTam-akzaram ca-avRttam sTAna-niyame yamakam // VKat-_4,1.1 //
   pādāḥ pādasyaikasyānekasya cādimadhyāntabhāgāḥ sthānāni // VKal_4,1.2 //	pAdAH pAdasya-ekasya-anekasya ca-Adi-maDya-anta-BAgAH sTAnAni // VKat-_4,1.2 //
   bhaṅgādutkarṣaḥ // VKal_4,1.3 //	BaFgAt-utkarzaH // VKat-_4,1.3 //
   śṛṅkhalā parivartakaścūrṇamiti bhaṅgamārgaḥ // VKal_4,1.4 //	SRFKalA parivartakaH-cUrNam-iti BaFga-mArgaH // VKat-_4,1.4 //
   varṇavicchedacalanaṃ śṛṅkhalā // VKal_4,1.5 //	varNa-vicCeda-calanam SRFKalA // VKat-_4,1.5 //
   saṅgavinivṛttau svarūpāpattiḥ parivartakaḥ // VKal_4,1.6 //	saFga-vinivRttO svarUpa-ApattiH parivartakaH // VKat-_4,1.6 //
   piṇḍākṣarabhede svarūpalopaścūrṇam // VKal_4,1.7 //	piNxa-akzara-Bede svarUpa-lopaH-cUrNam // VKat-_4,1.7 //
   śeṣaḥ sarūpo 'nuprāsaḥ // VKal_4,1.8 //	SezaH sarUpaH anuprAsaH // VKat-_4,1.8 //
   anulbaṇo varṇānuprāsaḥ śreyān // VKal_4,1.9 //	anulbaNaH varNa-anuprAsaH SreyAn // VKat-_4,1.9 //
   pādānuprāsaḥ pādayamakavat // VKal_4,1.10 //	pAda-anuprAsaH pAdayamaka-vat // VKat-_4,1.10 //
   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   upamānenopameyasya guṇaleśataḥ sāmyamupamā // VKal_4,2.1 //	upamAnena-upameyasya guNa-leSataH sAmyam-upamA // VKat-_4,2.1 //
   guṇabāhulyataśca kalpitā // VKal_4,2.2 //	guNa-bAhulyataH-ca kalpitA // VKat-_4,2.2 //
   taddvaividhyam, padavākyārthavṛttibhedāt // VKal_4,2.3 //*	tat-dvEviDyam, pada-vAkya-arTa-vRtti-BedAt // VKat-_4,2.3 //*
   sā pūṇā luptā ca // VKal_4,2.4 //	sA pUNA luptA ca // VKat-_4,2.4 //
   guṇadyotakopamānopameyaśabdānāṃ sāmagrye pūrṇā // VKal_4,2.5 //	guNa-dyotaka-upamAna-upameya-SabdAnAm sAmagrye pUrNA // VKat-_4,2.5 //
   lope luptā // VKal_4,2.6 //	lope luptA // VKat-_4,2.6 //
   stutinindātattvākhyāneṣu // VKal_4,2.7 //	stuti-nindA-tattva-AKyAnezu // VKat-_4,2.7 //
   hīnatvādhikatvaliṅgavacanabhedāsādṛśyāsaṃbhavāstaddoṣāḥ // VKal_4,2.8 //	hIna-tva-aDika-tva-liFga-vacana-BedAsa-adRSya-asaMBavAH-tad-dozAH // VKat-_4,2.8 //
   jātipramāṇadharmanyūnatopamānasya hīnatvam // VKal_4,2.9 //	jAti-pramANa-Darma-nyUna-tA-upamAnasya hIna-tvam // VKat-_4,2.9 //
   dharmayorekanirdeśe 'nyasya saṃvit, sāhacaryāt // VKal_4,2.10 //*	DarmayoH-eka-nirdeSe anyasya saMvit, sAhacaryAt // VKat-_4,2.10 //*
   tenādhikarvaṃ vyākhyātam // VKal_4,2.11 //	tena-aDikarvam vyAKyAtam // VKat-_4,2.11 //
   upamānopameyayorliṅgavyatyāso liṅgabhedaḥ // VKal_4,2.12 //	upamAna-upameyayoH-liFga-vyatyAsaH liFga-BedaH // VKat-_4,2.12 //
   iṣṭaḥ puṃpuṃsakayoḥ prāyeṇa // VKal_4,2.13 //	izwaH puMpuMsakayoH prAyeNa // VKat-_4,2.13 //
   laukikyāṃ samāsābhihitāyāmupamāprapañce ca // VKal_4,2.14 //	lOkikyAm samAsa-aBihitAyAm-upamA-prapaQce ca // VKat-_4,2.14 //
   tena vacanabhedo vyākhyātaḥ // VKal_4,2.15 //	tena vacana-BedaH vyAKyAtaH // VKat-_4,2.15 //
   apratītaguṇasādṛśyamasādṛśyam // VKal_4,2.16 //	apratIta-guNa-sAdRSyam-asAdRSyam // VKat-_4,2.16 //
   asādṛśyahatā hyupamā, tanniṣṭhāśca kavayaḥ // VKal_4,2.17 //*	asAdRSya-hatAH hi-upamA, tad-nizWAH-ca kavayaH // VKat-_4,2.17 //*
   upamānādhikyāttadapoha ityeke // VKal_4,2.18 //	upamAna-ADikyAt-tat-apohaH iti-eke // VKat-_4,2.18 //
   na, apuṣṭārthatvāt // VKal_4,2.19 //*	na, apuzwa-arTa-tvAt // VKat-_4,2.19 //*
   anupapattirasaṃbhavaḥ // VKal_4,2.20 //	anupapattiH-asaMBavaH // VKat-_4,2.20 //
   na viruddho 'tiśayaḥ // VKal_4,2.21 //	na virudDaH atiSayaH // VKat-_4,2.21 //
   tṛtīyo 'dhyāyaḥ /	tRtIyaH aDyAyaH /
