   kṛṣṇāmṛtamahārṇavaḥ	kRzNAmRta-mahA-arNavaH
   Aṅgirāḥ:	AFgirAH:
   yasyāntaḥ sarvam evedam acyutasyākhyayātmanaḥ	yasya-antar sarvam eva-idam acyutasya-AKyayA-AtmanaH
   tam ārādhaya govindaṃ sthānam agryaṃ yadīcchasi. // MKm_25 //	tam ArADaya govindam sTAnam agryam yadi-icCasi. // MKm_25 //
   Pulahaḥ:	PulahaH:
   paraṃ brahma paraṃ dhāma yo 'sau brahma sanātanam	param brahma param DAma yaH asO brahma sanAtanam
   tam ārādhya hariṃ yāti muktim apy atidurlabhām. // MKm_26 //	tam ArADya harim yAti muktim api ati-durlaBAm. // MKm_26 //
   aindram indraḥ paraṃ sthānaṃ yam ārādhya jagatpatim	Endram indraH param sTAnam yam ArADya jagatpatim
   prāpa yajñapatiṃ viṣṇuṃ tam ārādhaya suvrata. // MKm_27 //	prApa yajQapatim vizNum tam ArADaya suvrata. // MKm_27 //
   prāpnoty ārādhite viṣṇau manasā yad yad icchati	prApnoti ArADite vizNO manasA yat yat icCati
   trailokyāntargataṃ sthānaṃ kimu lokottarottarān. // MKm_28 //	trElokya-antargatam sTAnam kimu loka-uttara-uttarAn. // MKm_28 //
   ye smaranti sadā viṣṇuṃ śaṅkhacakragadādharam	ye smaranti sadA vizNum SaFKa-cakra-gadA-Daram
   sarvapāpavinirmuktāḥ paraṃ brahma viśanti te. // MKm_29 //	sarva-pApa-vinirmuktAH param brahma viSanti te. // MKm_29 //
   tato 'niruddhaṃ deveśaṃ pradyumnaṃ ca tataḥ param	tatas anirudDam deveSam pradyumnam ca tatas param
   tataḥ saṃkarṣaṇaṃ devaṃ vāsudevaṃ parāt param. // MKm_30 //	tatas saMkarzaNam devam vAsudevam parAt param. // MKm_30 //
   vāsudevāt paraṃ nāsti iti vedāntaniścayaḥ	vAsudevAt param na-asti iti vedAnta-niScayaH
   vāsudevaṃ praviṣṭānāṃ punar āvartanaṃ kutaḥ. // MKm_31 //	vAsudevam pravizwAnAm punar Avartanam kutas-. // MKm_31 //
   Ātreyaḥ:	ĀtreyaH:
   yo yān icchen naraḥ kāmān nārī vā varavarṇinī	yaH yAn icCet naraH kAmAt nArI vA varavarNinI
   tān samāpnoti vipulān samārādhya janārdhanam. // MKm_32 //	tAn samApnoti vipulAn samArADya jana-arDanam. // MKm_32 //
   Pulaha sagte:	Pulaha sagte:
   Brahmā:	BrahmA:
   bāhubhyāṃ sāgaraṃ tartuṃ ka iccheta pumān bhuvi	bAhuByAm sAgaram tartum kaH icCeta pumAn Buvi
   vāsudevam anārādhya ko mokṣaṃ gantum icchati. // MKm_33 //	vAsudevam anArADya kaH mokzam gantum icCati. // MKm_33 //
   Śaṃkaraḥ:	ŚaMkaraH:
   kṛte pāpe 'nutāpo vai yasya puṃsaḥ prajāyate	kRte pApe anutApaH vE yasya puMsaH prajAyate
   prāyaścittaṃ tu tasyoktaṃ harisaṃsmaraṇaṃ param. // MKm_34 //	prAyaScittam tu tasya-uktam hari-saMsmaraNam param. // MKm_34 //
   na hy apuṇyavatāṃ loke mūḍhānāṃ kuṭilātmanāṃ	na hi apuNyavatAm loke mUXAnAm kuwila-AtmanAm
   bhaktir bhavati govinde smaraṇaṃ kīrtanaṃ tathā. // MKm_35 //	BaktiH Bavati govinde smaraNam kIrtanam taTA. // MKm_35 //
   tadaiva puruṣo mukto janmaduḥkhajarādibhiḥ	tadA-eva puruzaH muktaH janma-duHKa-jarA-AdiBiH
   jitendriyo viśuddhātmā yadaiva smarate harim. // MKm_36 //	jita-indriyaH viSudDa-AtmA yadA-eva smarate harim. // MKm_36 //
   prāpte kaliyuge ghore dharmajñānavivarjite	prApte kali-yuge Gore Darma-jQAna-vivarjite
   na kaścit smarate devaṃ kṛṣṇaṃ kalimalāpaham. // MKm_37 //	na kaScid smarate devam kRzNam kali-mala-apaham. // MKm_37 //
   na kalau devadevasya janmaduḥkhāpahāriṇaḥ	na kalO devadevasya janma-duHKa-apahAriNaH
   karoti martyo mūḍhātmā smaraṇaṃ kīrtanaṃ hareḥ. // MKm_38 //	karoti martyaH mUXa-AtmA smaraNam kIrtanam hareH. // MKm_38 //
   ye smaranti sadā viṣṇuṃ viśuddhenāntarātmanā	ye smaranti sadA vizNum viSudDena-antarAtmanA
   te prayānti bhavaṃ tyaktvā viṣṇulokam anāmayam. // MKm_39 //	te prayAnti Bavam tyaktvA vizNu-lokam anAmayam. // MKm_39 //
   garbhajanmajarārogaduḥkha saṃsārabandhanaiḥ	garBa-janma-jarA-roga-duHKa saMsAra-banDanEH
   na bādhyate naro nityaṃ vāsudevam anusmaran. // MKm_40 //	na bADyate naraH nityam vAsudevam anusmaran. // MKm_40 //
   yamamārgāṃ mahāghoraṃ narakāṇi yamaṃ tathā	yama-mArgAm mahA-Goram narakANi yamam taTA
   svapne 'pi ca na paśyeta yaḥ smared garuḍadhvajam. // MKm_41 //	svapne api ca na paSyeta yaH smaret garuxaDvajam. // MKm_41 //
   hṛdi rūpaṃ mukhe nāma naivedyam udare hareḥ	hRdi rUpam muKe nAma nEvedyam udare hareH
   pādodakaṃ ca nirmālyaṃ mastake yasya so 'cyutaḥ. // MKm_42 //	pAda-udakam ca nirmAlyam mastake yasya saH acyutaH. // MKm_42 //
   govindasmaraṇaṃ puṃsāṃ pāparāśimahācalam	govinda-smaraNam puMsAm pApa-rASi-mahA-acalam
   asaṃśayaṃ dahaty āśu tūlarāśim ivānalaḥ. // MKm_43 //	asaMSayam dahati ASu tUla-rASim iva-analaH. // MKm_43 //
   Agastyaḥ:	AgastyaH:
   smaraṇād eva kṛṣṇasya pāpasaṅghātapañjaram	smaraNAt eva kRzNasya pApa-saFGAta-paQjaram
   śatadhā bhedam āyāti girir vajrahato tathā. // MKm_44 //	SataDA Bedam AyAti giriH vajra-hataH taTA. // MKm_44 //
   kṛṣṇe ratāḥ kṛṣṇam anusmarantaḥ tad bhāvitās tad gatamānasāś ca.	kRzNe ratAH kRzNam anusmarantaH tat BAvitAH tat gata-mAnasAH ca.
   te bhinnadehāḥ praviśanti viṣṇuṃ havir yathā mantrahutaṃ hutāśe. // MKm_45	te Binna-dehAH praviSanti vizNum haviH yaTA mantra-hutam hutASe. // MKm_45
   sā hānis tan mahat chidraṃ sā cāndhajaḍamūkatā	sA hAniH tat mahat Cidram sA ca-anDa-jaxa-mUka-tA
   yan muhūrtaṃ kṣaṇaṃ vā 'pi vāsudevo na cintyate. // MKm_46 //	yat muhUrtam kzaNam vA api vAsudevaH na cintyate. // MKm_46 //
   nārāyaṇo nāma naro narāṇāṃ prasaṃhya coraḥ kathitaḥ pṛthivyām	nArAyaNaH nAma naraH narANAm prasaMhya coraH kaTitaH pRTivyAm
   anekajanmārjitapāpasañcayaṃ dahaty aśeṣaṃ smṛtamātrayaiva. // MKm_47 //	aneka-janma-arjita-pApa-saQcayam dahati aSezam smRta-mAtrayA-eva. // MKm_47 //
   yasya saṃsmaraṇād eva vāsudevasya śārṅgiṇaḥ	yasya saMsmaraNAt eva vAsudevasya SArFgiNaH
   koṭijanmārjitaṃ pāpaṃ takṣaṇād eva naśyati. // MKm_48 //	kowi-janma-arjitam pApam takzaNAt eva naSyati. // MKm_48 //
   kiṃ tasya bahubhis tīrthaiḥ kiṃ tapobhiḥ kim adhvaraiḥ	kim tasya bahuBiH tIrTEH kim tapoBiH kim aDvarEH
   yo nityaṃ dhyāyate devaṃ nārāyaṇam ananyadhīḥ. // MKm_49 //	yaH nityam DyAyate devam nArAyaNam ananyaDIH. // MKm_49 //
   ye mānavā vigatarāgaparāvarajñā nārāyaṇaṃ suraguruṃ satataṃ smaranti	ye mAnavAH vigata-rAga-parAvara-jQAH nArAyaNam sura-gurum satatam smaranti
   dhyānena tena hatakilbiṣacetanāste mātuḥ payodhararasaṃ na punaḥ pibanti.	DyAnena tena hata-kilbiza-cetanAH-te mAtuH payoDara-rasam na punar pibanti.
   // MKm_50 //	// MKm_50 //
   he citta cintaya sveha vāsudevam aharniśam	he citta cintaya sva-iha vAsudevam aharniSam
   nūnaṃ yaś cintitaḥ puṃsāṃ hanti saṃsārabandhanam. // MKm_51 //	nUnam yaH cintitaH puMsAm hanti saMsAra-banDa-nam. // MKm_51 //
   āloḍya sarvaśāstrāṇi vicārya ca punaḥ punaḥ	Aloxya sarva-SAstrANi vicArya ca punar punar-
   idam ekaṃ suniṣpannaṃ dhyeyo nārāyaṇaḥ sadā. // MKm_52 //	idam ekam su-nizpannam DyeyaH nArAyaNaH sadA. // MKm_52 //
   smṛte sakalakalyāṇabhājanaṃ yatra jāyate	smRte sakala-kalyANa-BAjanam yatra jAyate
   puruṣas tam ajaṃ nityaṃ vrajāmi śaraṇaṃ harim. // MKm_53 //	puruzaH tam ajam nityam vrajAmi SaraNam harim. // MKm_53 //
   vedeṣu yajñeṣu tapasu caiva dāneṣu tīrtheṣu vrateṣu caiva	vedezu yajQezu tapasu ca-eva dAnezu tIrTezu vratezu ca-eva
   iṣṭeṣu pūrteṣu ca yat pradiṣṭaṃ puṇyaṃ smṛte tat khalu vāsudeve. // MKm_54	izwezu pUrtezu ca yat pradizwam puNyam smRte tat Kalu vAsudeve. // MKm_54
   Aurvaḥ:	AurvaH:
   ārādhayaiva naro viṣṇuṃ manaso yad yad icchati	ArADaya-eva naraH vizNum manasaH yat yat icCati
   phalaṃ prāpnoty avikalaṃ bhūri svalpam athāpi vā. // MKm_55 //	Palam prApnoti avikalam BUri su-alpam aTa-api vA. // MKm_55 //
   yan nāmakīrtanaṃ bhaktyā vilāyanam anuttamam	yat nAma-kIrtanam BaktyA vilAyanam anuttamam
   maitreyāśeṣapāpānāṃ dhātūnām iva pāvakaḥ. // MKm_56 //	mEtreya-aSeza-pApAnAm DAtUnAm iva pAvakaH. // MKm_56 //
   kalikalmaṣam atyugraṃ narakārtipradaṃ nṛṇām	kali-kalmazam ati-ugram naraka-Arti-pradam nRNAm
   prayāti vilayaṃ sadyaḥ sakṛt saṃkīrtite 'cyute. // MKm_57 //	prayAti vilayam sadyas sakRt saMkIrtite acyute. // MKm_57 //
   anāyāsena cā 'yānti muktiṃ keśavam āsritāḥ	anAyAsena cAH ayAnti muktim keSavam AsritAH
   tadvighātāya jāyante śakrādyāḥ paripanthinaḥ. // MKm_58 //	tad-viGAtAya jAyante Sakra-AdyAH paripanTinaH. // MKm_58 //
   catussāgaram āsādya jambūdvīpottame kvacit	catussAgaram AsAdya jambUdvIpa-uttame kvacid-
   na pumān keśavād anyaḥ sarvapāpacikitsakaḥ. // MKm_59 //	na pumAn keSavAt anyaH sarva-pApa-cikitsakaH. // MKm_59 //
   yad abhyarcya hariṃ bhaktyā kṛte varṣaśatair api	yat aByarcya harim BaktyA kRte varza-SatEH api
   phalaṃ prāpnoty avikalaṃ kalau saṃkīrtya keśavam. // MKm_60 //	Palam prApnoti avikalam kalO saMkIrtya keSavam. // MKm_60 //
   kṣīyate tu yadā dharmaḥ prāpte ghore kalau yuge	kzIyate tu yadA DarmaH prApte Gore kalO yuge
   tadā na kīrtayet kaścin muktidaṃ devam acyutam. // MKm_61 //	tadA na kIrtayet kaScid mukti-dam devam acyutam. // MKm_61 //
   avaśenāpi yannāmni kīrtite sarvapātakaiḥ	avaSena-api yat-nAmni kIrtite sarva-pAtakEH
   pumān vimucyate sadyaḥ siṃhatrastamṛgair iva. // MKm_62 //	pumAn vimucyate sadyas siMha-trasta-mRgEH iva. // MKm_62 //
   nārāyaṇeti mantro 'sti vāg asti vaśavartinī	nArAyaNa-iti mantraH asti vAc asti vaSa-vartinI
   tathā 'pi narake ghore majjantīty etad adbhutam. // MKm_63 //	taTA api narake Gore majjanti-iti etat adButam. // MKm_63 //
   ārtā viṣaṇṇāḥ śithilāś ca bhītā ghoreṣu ca vyādhiṣu vartamānāḥ	ArtAH vizaNNAH SiTilAH ca BItAH Gorezu ca vyADizu vartamAnAH
   saṃkīrtya nārāyaṅaśabdamātraṃ vimuktaduḥkhāḥ sukhino bhavanti. // MKm_64	saMkIrtya nArAyaFa-Sabda-mAtram vimukta-duHKAH suKinaH Bavanti. // MKm_64
   Kauśikaḥ:	KOSikaH:
   sakṛd uccāritaṃ yais tu kṛṣṇeti na viśanti te	sakRt uccAritam yEH tu kRzNa-iti na viSanti te
   garbhāgāraṃ gṛhaṃ mātur yamalokaṃ ca dussaham. // MKm_65 //	garBAgAram gRham mAtuH yama-lokam ca dussaham. // MKm_65 //
   kva nākapṛṣṭhagamanaṃ punarāvṛttilakṣaṇam	kva nAka-pRzWa-gamanam punarAvRtti-lakzaNam
   kva japo vāsudeveti muktibījam anuttamam. // MKm_66 //	kva japaH vAsudeva-iti mukti-bIjam anuttamam. // MKm_66 //
   buddhyā buddhvā vadasvainaṃ harir ity akṣaradvayam	budDyA budDvA vadasva-enam hariH iti akzara-dvayam
   smaraṇād eva kṛṣṇasya na punarjāyate kvacit. // MKm_67 //	smaraNAt eva kRzNasya na punar-jAyate kvacit. // MKm_67 //
   he jihve mama nisnehe hariṃ kiṃ nuna bhāṣase	he jihve mama nisnehe harim kim nu-na BAzase
   hariṃ vadasva kalyāṇi saṃsārodadhinaur hariḥ. // MKm_68 //	harim vadasva kalyANi saMsAra-udaDi-nOH hariH. // MKm_68 //
   asāre khalu saṃsāre sārāt sārataro hariḥ	asAre Kalu saMsAre sArAt sArataraH hariH
   puṇyahīnā na vindanti sāraṅgāś ca yathā jalam. // MKm_69 //	puNya-hInAH na vindanti sAraFgAH ca yaTA jalam. // MKm_69 //
   kurukṣetreṇa kiṃ tasya kiṃ kāśyā puṣkareṇa vā	kurukzetreNa kim tasya kim kASyA puzkareNa vA
   jihvāgre vartate tasya harir ity akṣaradvayam. // MKm_70 //	jihvA-agre vartate tasya hariH iti akzara-dvayam. // MKm_70 //
   Brahmovāca:	BrahmA-uvAca:
   asāre khalu saṃsāre sāram ekaṃ nirūpitam	asAre Kalu saMsAre sAram ekam nirUpitam
   samastalokanāthasya sāram ārādhanaṃ hareḥ. // MKm_71 //	samasta-loka-nATasya sAram ArADanam hareH. // MKm_71 //
   sā jihvā yā hariṃ stauti tac cittaṃ yat tadarpaṇam	sA jihvA yA harim stOti tat cittam yat tad-arpaNam
   tāv eva kevalau ślāghyau yau tatpūjākarau karau. // MKm_72 //	tO eva kevalO SlAGyO yO tad-pUjA-karO karO. // MKm_72 //
   yas tu viṣṇuparo nityaṃ dṛḍhabhaktir jitendriyaḥ	yaH tu vizNu-paraH nityam dRXa-BaktiH jita-indriyaH
   svagṛhe 'pi vasan yāti tad viṣṇoḥ paramaṃ padam. // MKm_73 //	sva-gRhe api vasan yAti tat vizNoH paramam padam. // MKm_73 //
   Śaṅkaraḥ:	ŚaFkaraH:
   sādhu sādhu mahābhāga sādhu dānavanāśan	sADu sADu mahABAga sADu dAnava-nASan
   yan māṃ pṛcchasi dharmajña keśavārādhanaṃ prati. // MKm_74 //	yat mAm pRcCasi Darma-jQa keSava-ArADanam prati. // MKm_74 //
   nimiṣaṃ nimiṣārdhaṃ vā muhūrtam api bhārgava	nimizam nimiza-arDam vA muhUrtam api BArgava
   nādagdhāśeṣapāpānāṃ bhakti bhavati keśave. // MKm_75 //	na-adagDa-aSeza-pApAnAm Bakti Bavati keSave. // MKm_75 //
   kiṃ tena manasā kāryaṃ yan na tiṣṭhati keśave	kim tena manasA kAryam yat na tizWati keSave
   mano muktiphalāvāptyau kāraṇaṃ saprayojanam. // MKm_76 //	manaH mukti-Pala-avAptyO kAraNam sa-prayojanam. // MKm_76 //
   rogo nāma na sā jihvā yayā na stūyate hariḥ	rogaH nAma na sA jihvA yayA na stUyate hariH
   gartau nāma na tau karṇau yābhyāṃ tat karma na śrutam. // MKm_77 //	gartO nAma na tO karNO yAByAm tat karma na Srutam. // MKm_77 //
   nūnaṃ tat kaṇṭhaśālūkam athavā 'py upajihvikā	nUnam tat kaNWa-SAlUkam aTavA api upajihvikA
   rogo nāma na sā jihvā yā na vakti harer guṇān. // MKm_78 //	rogaH nAma na sA jihvA yA na vakti hareH guNAn. // MKm_78 //
   bhārabhūtaiḥ kāryam ebhiḥ kiṃ tasya nṛpaśor dvija	BAra-BUtEH kAryam eBiH kim tasya nRpaSos dvija
   caraṇau tau tu saphalau keśavālayagāminau	caraNO tO tu saPalO keSava-Alaya-gAminO
   te ca netre mahābhāga yābhyāṃ sandṛśyate hariḥ. // MKm_79 //	te ca netre mahABAga yAByAm sandRSyate hariH. // MKm_79 //
   kiṃ tasya caraṇaiḥ kāryaṃ vṛthāsañcaraṇair dvija	kim tasya caraNEH kAryam vRTA-saQcaraNEH dvija
   yair hi na vrajate jantuḥ keśavālayadarśane. // MKm_80 //	yEH hi na vrajate jantuH keSava-Alaya-darSane. // MKm_80 //
   vedavedāṅgaviduṣāṃ munīnāṃ bhāvitātmanām	veda-vedAFga-viduzAm munInAm BAvitAtmanAm
   ṛṣitvam api dharmajña vijñeyaṃ tatprasādajam. // MKm_81 //	Rzi-tvam api Darma-jQa vijQeyam tad-prasAda-jam. // MKm_81 //
   vicitraratnaparyaṅke mahābhogena bhoginaḥ	vicitra-ratna-paryaFke mahA-Bogena BoginaH
   ramante nākanārībhiḥ keśavasmaraṇāt phalam. // MKm_82 //	ramante nAka-nArIBiH keSava-smaraNAt Palam. // MKm_82 //
   aśvamedhasahasrāṇāṃ yaḥ sahasraṃ samācaret	aSvameDa-sahasrANAm yaH sahasram samAcaret-
   nāsau tat phalam āpnoti tadbhaktair yad avāpyate. // MKm_83 //	na-asO tat Palam Apnoti tad-BaktEH yat avApyate. // MKm_83 //
   re re manuṣyāḥ puruṣottamasya karau na kasmān mukulīkurudhve	re re manuzyAH puruzottamasya karO na kasmAt mukulIkuruDve
   kriyājuṣāṃ ko bhavatāṃ prayāsaḥ phalaṃ hi yat padam acyutasya. // MKm_84	kriyA-juzAm kaH BavatAm prayAsaH Palam hi yat padam acyutasya. // MKm_84
   viṣṇor vimānaṃ yaḥ kuryāt sakṛd bhaktyā pradakṣiṇam	vizNoH vimAnam yaH kuryAt sakRt BaktyA pradakziNam
   aśvamedhasahasrasya phalam āpnoti mānavaḥ. // MKm_85 //	aSvameDa-sahasrasya Palam Apnoti mAnavaH. // MKm_85 //
   pradakṣiṇaṃ tu yaḥ kuryād haribhaktyā samanvitaḥ	pradakziNam tu yaH kuryAt hari-BaktyA samanvitaH
   haṃsayuktivimānena viṣṇulokaṃ sa gacchati. // MKm_86 //	haMsa-yukti-vimAnena vizNu-lokam sa gacCati. // MKm_86 //
   tīrthakoṭisahasrāṇi vratakoṭiśatāni ca	tIrTa-kowi-sahasrANi vrata-kowi-SatAni ca
   nārāyaṇapraṇāmasya kalāṃ nārhanti ṣoḍaśīm. // MKm_87 //	nArAyaNa-praNAmasya kalAm na-arhanti zoxaSIm. // MKm_87 //
   urasā śirasā dṛṣṭyā manasā vacasā tathā	urasA SirasA dRzwyA manasA vacasA taTA
   padbhyāṃ karābhyāṃ jānubhyāṃ praṇāmo 'ṣṭāṅga īritaḥ. // MKm_88 //	padByAm karAByAm jAnuByAm praNAmaH azwa-aFgaH IritaH. // MKm_88 //
   śāṭhyenāpi namaskāraṃ kurvataḥ śārṅgapāṇaye	SAWyena-api namaskAram kurvataH SArFgapANaye
   śātajanmārjitaṃ pāpaṃ naśyaty eva na saṃśayaḥ. // MKm_89 //	SAta-janma-arjitam pApam naSyati eva na saMSayaH. // MKm_89 //
   saṃsārārṇavam agrānāṃ narāṇāṃ pāpakarmaṇām	saMsAra-arNavam agrAnAm narANAm pApa-karmaNAm
   nānyo dharttā jagannāthaṃ muktvā nārāyaṇaṃ param. // MKm_90 //	na-anyaH DarttA jagannATam muktvA nArAyaNam param. // MKm_90 //
   reṇukuṇṭhigātrasya kaṇā yāvanti bhārata	reNu-kuNWi-gAtrasya kaNAH yAvanti BArata
   tāvad varṣasahasrāṇi viṣṇuloke mahīyate. // MKm_91 //	tAvat varza-sahasrANi vizNu-loke mahIyate. // MKm_91 //
   pāvanaṃ viṣṇunaivedyaṃ subhojyam ṛṣibhiḥ smṛtam	pAvanam vizNu-nEvedyam su-Bojyam RziBiH smRtam
   anyadevasya naivedyaṃ bhuktvā cāndrāyaṇaṃ caret. // MKm_92 //	anya-devasya nEvedyam BuktvA cAndrAyaNam caret. // MKm_92 //
   koṭyaindavasahasrais tu māsopoṣaṇakoṭibhiḥ	kowI-Endava-sahasrEH tu mAsa-upozaNa-kowiBiH
