   Bhk_1	Bhj-_1
   Bhk_2.5-2 parasparāṃ vismayavanti lakṣmī- mālokayāñcakrurivā''dareṇa.	Bhk-_2.5-2 parasparAm vismayavanti lakzmI mA-AlokayAQcakruH-ivA-aadareNa.
   Bhk_2.6-1 prabhāta-vātāha''ti-kampitā''kṛtiḥ	Bhk-_2.6-1 praBAta--vAtAha-aati--kampitA-aakRtiH
   kumudvatī-reṇu-piśaṅga-vigraham	kumudvatI--reNu--piSaFga-vigraham
   Bhk_2.6-2 nirāsa bhṛṅgaṃ kupiteva padminī, na māninī saṃsahate	Bhc-_2.6-2 nirAsa BRFgam kupitA-iva padminI, na mAninI saMsahate
   'nya-saṅgamam.	anya-saFgamam.
   Bhk_2.7-1 dattā'vadhānaṃ madhu-lehi-gītau praśānta-ceṣṭaṃ hariṇaṃ	Bhc-_2.7-1 dattA-avaDAnam maDu-lehi--gItO praSAnta--cezwam hariNam
   jighāṃsuḥ	jiGAMsuH
   Bhk_2.7-2 ākarṇayannutsuka-haṃsa-nādān lakṣye samādhiṃ na dadhe mṛgāvit.	Bhc-_2.7-2 AkarNayan=-utsuka--haMsa-nAdAn lakzye samADim na daDe mRgO=-it.
   Bhk_2.8-1 girer nitambe marutā vibhinnaṃ toyā'vaśeṣeṇa himā''bhamabhram	Bhc-_2.8-1 gireH nitambe marutA viBinnam toyA-avaSezeNa himA-aaBam-aBram
   Bhk_2.8-2 sarin-mukhā'bhyuccayamādadhānaṃ śailā'dhipasyā'nucakāra lakṣmīm.	Bhc-_2.8-2 sarin-muKA-aByuccayam-AdaDAnam SElA-aDipasyA-anucakAra lakzmIm.
   Bhk_2.9-1 garjan hariḥ sā'mbhasi śaila-kuñje pratidhvanīnātma-kṛtān	Bhc-_2.9-1 garjan hariH sA-amBasi SEla-kuQje pratiDvanInAtma-kRtAn
   niśamya	niSamya
   Bhk_2.9-2 kramaṃ babandha kramituṃ sa-kopaḥ	Bhk-_2.9-2 kramam babanDa kramitum sa-kopaH
   pratarkayannanya-mṛgendra-nādān.	pratarkayan=-anya-mRga-indra-nAdAn.
   Bhk_2.10-1 adṛkṣatā 'mbhāṃsi navotpalāni, rutāni cā 'śroṣata ṣaṭ-padānām,	Bhc-_2.10-1 adRkza-tA amBAMsi nava-utpalAni, rutAni cA aSrozata zaw-padAnAm-,
   Bhk_2.10-2 āghrāyi vān gandha-vahaḥ su-gandhas	Bhc-_2.10-2 AGrAyi vAn ganDa-vahaH su-ganDa-s
   tenā'ravinda-vyatiṣaṅga-vāṃś ca.	tenA-aravinda--vyatizaFga-vAn ca.
   Bhk_2.11-1 latā'nupātaṃ kusumānyagṛhṇāt sa, nadyavaskandamupāspṛśac ca,	Bhc-_2.11-1 latA-anupAtam kusumAni-agRhNAt sa, nadI-avaskandam-upAspRSat ca,
   Bhk_2.11-2 kutūhalāc, cāru-śilopaveśaṃ kākutstha īṣat smayamāna āsta.	Bhc-_2.11-2 kutUhalAc, cAru-SilA-upaveSam kAkutsTaH Izat smayamAnaH Asta.
   Bhk_2.12-1 tigmāṃśu-raśmic-churitānya-dūrāt prāñci prabhāte	Bhk-_2.12-1 tigmAMSu--raSmi-c-CuritAnya-dUrAt prAQci praBAte
   salilānyapaśyat	salilAni-apaSyat
   Bhk_2.12-2 gabhasti-dhārābhiriva drutāni tejāṃsi bhānor bhuvi saṃbhṛtāni.	Bhc-_2.12-2 gaBasti-DArABiH-iva drutAni tejAMsi BAnoH Buvi saMBRtAni.
   Bhk_2.13-1 dig-vyāpinīr locana-lobhanīyā mṛjā'nvayāḥ snehamiva sravantīḥ	Bhk-_2.13-1 diS--vyApinIH locana--loBanIyAH mRjA-anvayAH sneham-iva sravantIH
   Bhk_2.13-2 ṛjvā''yatāḥ śasya-viśeṣa-paṅktīs tutoṣa paśyan vitṛṇā'ntarālāḥ.	Bhk-_2.13-2 RjvA-aayatAH Sasya--viSeza--paFktIH tutoza paSyan vitRNA-antarAlAH.
   Bhk_2.14-1 viyoga-duḥkhā'nubhavā'nabhijñaiḥ kāle nṛpāṃ'śaṃ vihitaṃ	Bhc-_2.14-1 viyoga--duHKA-anuBavA-anaBijQEH kAle nRpAM-aSam vihitam
   dadadbhiḥ	dadadBiH
   Bhk_2.14-2 āhārya-śobhā-rahitairamāyai- raikṣiṣṭa pumbhiḥ pracitān sa	Bhc-_2.14-2 AhArya--SoBA--rahitEH-amAyE rEkzizwa pumBiH pracitAn sa
   goṣṭhān	gozWAn
   Bhk_2.15-1 strī-bhūṣaṇaṃ ceṣṭitama-pragalbhaṃ cārūṇya-vakrāṇyapi vīkṣitāni	Bhc-_2.15-1 strI-BUzaNam cezwita-ma--pragalBam cArUNi-a-vakrANi-api vIkzitAni
   Bhk_2.15-2 ṛjūṃśca viśvāsa-kṛtaḥ svabhāvān gopā'ṅganānāṃ mumude vilokya.	Bhk-_2.15-2 RjUn=-ca viSvAsa-kRtaH svaBAvAn gopA-aFganAnAm mumude vilokya.
   Bhk_2.16-1 vivṛtta-pārśvaṃ rucirā'ṅgahāraṃ samudvahac-cāru-nitamba-ramyam	Bhc-_2.16-1 vivRtta--pArSvam rucirA-aFga-hAram samudvaha-c-cAru--nitamba--ramyam
   Bhk_2.16-2 āmandra-mantha-dhvani-datta-tālaṃ gopā'ṅganā-nṛtyamanandayat	Bhc-_2.16-2 Amandra-manTa--Dvani-datta-tAlam gopA-aFganA-nRtyam-anandayat-
   tam.	tam.
   Bhk_2.17-1 vicitramuccaiḥ plavamānamārāt kutūhalaṃ trasnu tatāna tasya	Bhc-_2.17-1 vicitram-uccEs plavamAnam-ArAt kutUhalam trasnu tatAna tasya
   Bhk_2.17-2 meghā'tyayopātta-vanopaśobhaṃ kadambakaṃ vātamajaṃ mṛgāṇām.	Bhc-_2.17-2 meGA-atyaya-upAtta--vana-upaSoBam kadambakam vAtam-ajam mRgANAm-.
   Bhk_2.18-1 sitā'ravinda-pracayeṣu ca līnāḥ saṃsakta-peṇeṣu ca saikateṣu	Bhk-_2.18-1 sitA-aravinda--pracayezu ca lInAH saMsakta-peNezu ca sEkatezu
   Bhk_2.18-2 kundā'vadātāḥ kalahaṃsa-mālāḥ pratīyīre śrotra-sukhair	Bhj-_2.18-2 kundA-avadAtAH kalahaMsa-mAlAH pratIyIre Srotra--suKEH-
   ninādaiḥ.	ninAdEH.
   Bhk_2.19-1 na taj jalaṃ, yan na su-cāru-paṅkajaṃ, na paṅkajaṃ tad,	Bhc-_2.19-1 na tat jalaM, yat na su-cAru--paFkajaM, na paFkajam tat-,
   yada-līna-ṣaṭ-padam,	yat-a-lIna-zaw--padam,
   Bhk_2.19-2 na ṣaṭ-pado'sau, na juguñja yaḥ kalaṃ; na guñjitaṃ tan, na	Bhc-_2.19-2 na zaw-padaH-asO, na juguQja yaH kalaM; na guQjitam tan, na
   jahāra yan manaḥ.	jahAra yat manaH.
   Bhk_2.20-1 taṃ yāyajūkāḥ saha bhikṣu-mukhyais tapaḥ-kṛśāḥ	Bhk-_2.20-1 tam yAyajUkAH saha Bikzu--muKyEH tapaH-kRSAH
   śāntyudakumbha-hastāḥ,	SAntyuda-kumBa-hastAH,
   Bhk_2.20-2 yāyāvarāḥ puṣpa-phalena cā 'nye prāṇarcurarcyā jagadarcanīyam.	Bhc-_2.20-2 yAyAvarAH puzpa--Palena cA anye prANa-RcuH-arcyA jagat-arcanIyam.
   Bhk_2.21-1 vidyāmathainaṃ vijayāṃ jayāṃ ca rakṣo-gaṇaṃ	Bhc-_2.21-1 vidyAm-aTa-enam vijayAm jayAm ca rakzo--gaNam
   kṣipnuma-vikṣatā''tmā	kzipnum-a--vikzatA-aatmA
   Bhk_2.21-2 adhyāpipad gādhi-suto yathāvan nighātayiṣyan yudhi yātudhānān.	Bhc-_2.21-2 aDyApipad gADi-sutaH yaTAvat niGAtayizyan yuDi yAtuDAnAn.
   Bhk_2.22-1 āyodhane sthāyukamastrajāta- mamoghamabhyarṇa-mahā''havāya	Bhc-_2.22-1 AyoDane sTAyukam-astra-jAta mamoGam-aByarNa--mahA-aahavAya
   Bhk_2.22-2 dadau vadhāya kṣaṇadāŌcarāṇāṃ tasmai muniḥ śreyasi jāgarūkaḥ	Bhc-_2.22-2 dadO vaDAya kzaNa-dA-aŌcarANAm tasmE muniH Sreyasi jAgarUkaH
   Bhk_2.23-1 taṃ vipra-darśaṃ kṛta-ghāta-yatnā yāntaṃ vane rātriŌcarī	Bhc-_2.23-1 tam vipra-darSam kRta-GAta---yatnA yAntam vane rAtriŌcarI
   ḍuḍhauke,	xuXOke,
   Bhk_2.23-2 jighāṃsu-vedaṃ dhṛta-bhāsurā'stram tāṃ tāḍakā''khyāṃ nijaghāna	Bhk-_2.23-2 jiGAMsu-vedam DRta-BAsurA-astram tAm tAxakA-aaKyAm nijaGAna
   rāmaḥ.	rAmaH.
   Bhk_2.24-1 athā ''luloke huta-dhūma-ketu-	Bhc-_2.24-1 aTA aalu-loke huta-DUma-ketu-
   śikhā'ñjana-snigdha-samṛddha-śākham	SiKA-aQjana--snigDa--samRdDa--SAKam
   Bhk_2.24-2 tapoŌvanaṃ prādhyayanā'bhibhūta-	Bhk-_2.24-2 tapoŌ-vanam prADyayanA-aBiBUta-
   samuccarac-cāru-pataktri-śiñjam.	samuccara-c-cAru-pataktri-SiQjam.
   Bhk_2.25-1 kṣudrān na jakṣur hariṇān mṛgendrā, viśaśvase pakṣi-gaṇaiḥ	Bhk-_2.25-1 kzudrAn na jakzuH hariNAt mRgendrA, viSaSvase pakzi--gaNEH
   samantāt,	samantAt-,
   Bhk_2.25-2 nannamyamānāḥ phala-ditsayeva cakāśire tatra latā vilolāḥ.	Bhk-_2.25-2 nannamyamAnAH Pala--ditsayA-iva cakASire tatra latAH vilolAH.
   Bhk_2.26-1 apūpujan viṣṭara-pādya-mālyai- rātithya-niṣṇā	Bhc-_2.26-1 apUpujan vizwara--pAdya--mAlyE rAtiTya--nizNA
   vana-vāsi-mukhyāḥ,	vana-vAsi--muKyAH,
   Bhk_2.26-2 pratyagrahīṣṭāṃ madhuparka-miśraṃ tāvāsanā''di	Bhc-_2.26-2 pratyagrahi-izwAm maDuparka-miSram tO=-AsanA-aadi
   kṣiti-pālaŌputrau.	kziti-pAlaŌ-putrO.
   Bhk_2.27-1 daityā'bhibhūtasya yuvāmavoḍhaṃ magnasya dorbhir bhuvanasya	Bhc-_2.27-1 dEtyAaBiBUtasya yuvAm-avoXam magnasya dorBiH Buvanasya
   bhāram,	BAram,
   Bhk_2.27-2 havīṃṣi saṃpratyapi rakṣataṃ, tau	Bhc-_2.27-2 havIMzi saMprati-api rakzataM, tO
   tapoŌdhanairitthamabhāṣiṣātām.	tapoŌDanEH-itTam-aBAzizA-tAm.
   Bhk_2.28-1 tān pratyavādīdatha rāghvo'pi--, yathepsitaṃ prastuta karma	Bhk-_2.28-1 tAn pratyavAdIt-aTa rAGvaH-api--, yaTA-Ipsitam prastuta karma
   dharmyam,	Darmyam,
   Bhk_2.28-2 tapo-maruddhir bhavatāṃ śarā'gniḥ saṃdhukṣyatāṃ	Bhc-_2.28-2 tapo-m-arut-DiH BavatAm SarA-agniH saMDukzyatAm
   no'ri-samindhaneṣu.	naH-ari-saminDanezu.
   Bhk_2.29-1 pratuṣṭuvuḥ karma tataḥ prakwxlqqptais te yajñiyair	Bhc-_2.29-1 pratuzwuvuH karma tatas prakwxlqqptEH te yajQiyEH-
   dravya-gaṇair yathāvat,	dravya--gaNEH yaTAvat-,
   Bhk_2.29-2 dakṣiṇya-diṣṭaṃ kṛtamārtvijīnais tad yātudhānaiś cicite	Bhc-_2.29-2 dakziNya--dizwam kRtam-ArtvijInEH tat yAtuDAnEH cicite
   prasarpat.	prasarpat.
   Bhk_2.30-1 āpiṅga-rūkṣordhva-śirasya-bālaiḥ śirāla-jaṅghair	Bhc-_2.30-1 ApiFga--rUkza-UrDva-Sirasya--bAlEH SirAla---jaFGEH-
   giri-kūṭa-daghnaiḥ	giri-kUwa-daGnEH
   Bhk_2.30-2 tataḥ kṣapā'ṭaiḥ pṛthu-piṅgalā'kṣaiḥ khaṃ prāvṛṣeṇyairiva	Bhk-_2.30-2 tatas kzapA-awEH pRTu--piFgalA-akzEH Kam prAvRzeNyEH-iva
