   Tattvaratnāvalokaḥ (Tra)	Tattva ratna avalokaH (Tra)
   dambholibījaśrutidhautaśuddhapāthojña(ja)bhūtāṅkurabhūtapuṣṭi /	damBoli bIja Sruti DOta SudDa pATa ujQa( ja) BUta aFkura BUta puzwi /
   turīyaśasyaṃ paripākameta(ti) sphuṭaṃ caturthaṃ viduṣo 'pi gūḍham //	turIyaSasyam paripAkam eta(ti) sPuwam caturTam viduzaH api gUXam //
   Tra_17 //	TraH _17 //
   pañcapradīpāmṛtabinducandrabhrūmadhyabindudbhavamaṇḍalāni /	paQca pradIpa amRta bindu candra BrU maDya bindudBava maNxalAni /
   vāyoḥ svarūpaṃ galaśuṇḍikādyam atattvarūpaṃ svayamūhanīyam // Tra_18 //	vAyoH svarUpam galaSuNxikA Adyam atattva rUpam svayam UhanIyam // TraH _18 //
   svapnendrajālapratibimbamāyāmarīcigandharvapurāmbucandraiḥ /	svapna indrajAla pratibimba mAyA marIci ganDarvapura ambu candrEH /
   anyaiśca sarvairupamābhidheyair naivāsti sādhyaṃ kathitādihānyat // Tra_19	anyEH ca sarvEH upamA aBiDeyEH na eva asti sADyam kaTitAt iha anyat // Tra_19
   gambhīraśūnyapratibhāsamātraśāntātisūkṣmānabhilāpyaśabdaiḥ /	gamBIra SUnya pratiBAsa mAtra SAnta ati sUkzma anaBilApya SabdEH /
   nirlepanī[rū]panirañjanādyair bhrāntirna kāryāparasādhyasattve // Tra_20	nirlepanI[rU]pa niraQjana AdyEH BrAntiH na kArya apara sADya sattve // Tra_20
   // tattvaratnāvalokaḥ samāptaḥ //	// tattva ratna avalokaH samAptaH //
   kṛtiriyaṃ paṇḍitavāgīśvarakīrtipādānām //	kRtiH iyam paNxita vAgISvara kIrti pAdAnAm //
