   Śikṣāsamuccayakārikā (Śsk)	ŚikzA samuccaya kArikA (Śsk)
   ātmatṛṣṇopabhogāttu kliṣṭāpattiḥ prajāyate // Śsk_13 //	Atma tRzNA upaBogAt tu klizwa ApattiH prajAyate // Śsc _13 //
   sukṛṭārambhiṇā bhāvyaṃ mātrajñena ca sarvataḥ /	su kRwa AramBiNA BAvyam mAtrajQena ca sarvatas /
   iti śikṣāpadādasya bhogarakṣā na duṣkarā // Śsk_14 //	iti SikzA padAt asya Boga rakzA na duzkarAH // Śsc _14 //
   svārthavipāka vaitṛṣṇyācchubhaṃ saṃrakṣitaṃ bhavet /	sva arTa vipAka vEtRzNyAt SuBam saMrakzitam Bavet /
   paścātāpaṃ na kurvīta na ca kṛtvā prakāśayet // Śsk_15 //	paScAtApam na kurvIta na ca kRtvA prakASayet // Śsc _15 //
   lābhasatkārabhītaḥ syādunnatiṃ varjayetsadā /	lABa satkAra BItaH syAt unnatim varjayet sadA /
   bodhisattvaḥ prasannaḥ syāddharme vimatimutsṛjet // Śsk_16 //	boDisattvaH prasannaH syAt Darme vimatim utsRjet // Śsc _16 //
   śodhitasyātmabhāvasyabhogaḥ pathyo bhaviṣyati /	SoDitasya Atma BAvasya BogaH paTyaH Bavizyati /
   samyaksiddhasya bhaktasya niṣkaṇasyeva dehinām // Śsk_17 //	samyak sidDasya Baktasya nizkaNasya iva dehinAm // Śsc _17 //
   tṛṇacchanna yathā śasyaṃ rogaiḥ sīdati naidhate /	tRNa= Canna yaTA Sasyam rogEH sIdati na eDate /
   buddhāṅkurastathā vṛddhiṃ kleśacchanno na gacchati // Śsk_18 //	budDa aFkuraH taTA vRdDim kleSa= CannaH na gacCati // Śsc _18 //
   ātmabhāvasya kā śuddhiḥ pāpakleśaviśodhanam /	Atma BAvasya kA SudDiH pApa kleSa viSoDanam /
   sambuddhottayarthasāreṇa yatnabhāve tvapāyagaḥ // Śsk_19 //	sambudDa uttayarTa sAreNa yatna BAve tu apAya gaH // Śsc _19 //
   kṣameta śrutameṣeta saṃśrayeta vanaṃ tataḥ /	kzameta Srutam ezeta saMSrayeta vanam tatas /
   sāmādhānāya yujyeta bhāvayedaśubhādikam // Śsk_20 //	sAma ADAnAya yujyeta BAvayet aSuBa Adikam // Śsc _20 //
   bhogaśuddhiṃ ca jānīyātsamyagājīvaśodhanāt /	Boga SudDim ca jAnIyAt samyak AjI va SoDanAt /
   śūnyatākaruṇāgarbheceṣṭitātpuṇyaśodhanam // Śsk_21 //	SUnyatA karuNA garBeca izwitAt puNya SoDanam // Śsc _21 //
   grahītāraḥ subahavaḥ svalpaṃ ceda manena kim /	grahItAraH su bahavaH su alpam ca ida manena kim /
   na cātitṛptijanakaṃ vardhanīyamidaṃ tataḥ // Śsk_22 //	na ca ati tRpti janakam varDanIyam idam tatas // Śsc _22 //
   ātmabhāvasya kā vṛddhirbalānālasyavardhanam /	Atma BAvasya kA vRdDiH balAnAlasya varDanam /
   śūnyatākaruṇāgarbhāddānādbhogasya vardhanam // Śsk_23 //	SUnyatA karuNA garBAt dAnAt Bogasya varDanam // Śsc _23 //
   kṛtvādāveva yatnena vyavasāyāśayau dṛḍhau /	kRtvA AdO= eva yatnena vyavasAya ASayO dRXO /
   karuṇāṃ ca puraskṛtya yateta śubhavṛddhaye // Śsk_24 //	karuNAm ca puraskRtya yateta SuBa vRdDaye // Śsc _24 //
   bhadracaryāvidhiḥ kāryo vandanādiḥ sahādarāt /	Badra caryA viDiH kAryaH vandana AdiH saha AdarAt /
   śraddhādīnāṃ sadābhyāso maitrī buddhādyanusmṛtiḥ // Śsk_25 //	SradDA AdInAm sadA aByAsaH mEtrI budDa Adi anusmRtiH // Śsc _25 //
   sarvāvasthāsu sattvārtho dharmadānaṃ nirāmiṣam /	sarva avasTAsu sattva arTaH Darma dAnam nirAmizam /
   bodhicittaṃ ca puṇyasya vṛddhihetuḥ samāsataḥ // Śsk_26 //	boDi cittam ca puNyasya vRdDi hetuH samAsatas // Śsc _26 //
   siddhiḥ samyakprahāṇānāmapramādāviyojanāt /	sidDiH samyak prahANAnAm apramAda aviyojanAt /
   smṛtyātha samprajanyena yoniśaścintanena ca // Śsk_27 //	smRtyA aTa samprajanyena yoniSas cintanena ca // Śsc _27 //
