   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   saddharmaprabaraḥ prokto na dharmo laukiko hi saḥ // Dhs_2.3 //	sadDarma prabaraH proktaH na DarmaH lOkikaH hi saH // DhH _2.3 //
   kṣetrāṇīmāni catvāri vidyante yasya dehinaḥ /	kzetrANi imAni catvAri vidyante yasya dehinaH /
   tasyedaṃ saphalaṃ janma kathitaṃ mārgadeśakaiḥ // Dhs_2.4 //	tasya idam saPalam janma kaTitam mArga deSakEH // DhH _2.4 //
   sakalendriyatāṃ prāpya labdhvā buddhasya śāsanam /	sakala indriya tAm prApya labDvA budDasya SAsanam /
   yo na dharmarato martyaḥ sa paścādanutapyate // Dhs_2.5 //	yaH na Darma rataH martyaH sa paScAt anutapyate // DhH _2.5 //
   yamasāyujyam vyāsaktamanasāṃ nityaṃ nityaṃ kāmagaveṣiṇām /	yama sAyujyam vyAsakta manasAm nityam nityam kAma gaveziNAm /
   putradāraprasaktānāmantako 'bhyeti dehinām // Dhs_2.6 //	putra dAra prasaktAnAm antakaH aByeti dehinAm // DhH _2.6 //
   cittasya vaśīkaraṇam saṅkalpadoṣamanasaṃ taistairdoṣaiḥ samākulam /	cittasya vaSIkaraNam saFkalpa doza manasam tEH tEH dozEH samAkulam /
   cittaṃ nayatyupāyena cittabaddhā hi dehinaḥ // Dhs_2.7 //	cittam nayati upAyena citta badDAH hi dehinaH // DhH _2.7 //
   durdamasyāticaṇḍasya siddhiprepsorviśeṣataḥ /	durdamasya ati caNxasya sidDi prepsoH viSezataH /
   na cittasya vaśaṃ gacchet śatrubhūtaṃ hi tannṛṇām // Dhs_2.8 //	na cittasya vaSam gacCet Satru BUtam hi tat nRNAm // DhH _2.8 //
   saśrutena sudiṣṭena bhāvitenāpyanekaśaḥ /	sa Srutena su dizwena BAvitena api anekaSas /
   dharmeṇa śāmyate cittaṃ jālineva yathā hayaḥ // Dhs_2.9 //	DarmeNa SAmyate cittam jAlinA iva yaTA hayaH // DhH _2.9 //
   saddharmaśravaṇaphalam saddharmaśravaṇaṃ kṛtvā pāpād viramate pumān /	sadDarma SravaNa Palam sadDarma SravaNam kRtvA pApAt viramate pumAn /
   śreyase pratipattiṃ ca nityamevopapadyate // Dhs_2.10 //	Sreyase pratipattim ca nityam eva upapadyate // DhH _2.10 //
   saddharmaśravaṇaṃ kṛtvā manaḥ prahalādamṛcchati /	sadDarma SravaNam kRtvA manaH prahalAt am RcCati /
   kuśalaṃ cāsya sumahat sandhāne sampratīkṣate // Dhs_2.11 //	kuSalam ca asya su mahat sanDAne sampratIkzate // DhH _2.11 //
   śrutvā bhavati dharmātmā śrutvā pāpaṃ na kurvate /	SrutvA Bavati Darma AtmA SrutvA pApam na kurvate /
   śrutvā karmaphalaṃ jñātvā nirvāṇamadhigacchati // Dhs_2.12 //	SrutvA karma Palam jQAtvA nirvANam aDigacCati // DhH _2.12 //
   śrutvā vedayate dharma śrutvā buddhaḥ prasīdati /	SrutvA vedayate Darma SrutvA budDaH prasIdati /
   śrutvā dharmaṃ vimokṣāya yatate paṇḍito naraḥ // Dhs_2.13 //	SrutvA Darmam vimokzAya yatate paNxitaH naraH // DhH _2.13 //
   dharmalakṣaṇatattvajñaḥ śrutvā bhavati mānavaḥ /	Darma lakzaNa tattva jQaH SrutvA Bavati mAnavaH /
   tasmācchrutvā prayatnena buddhiḥ kāryā prayatnataḥ // Dhs_2.14 //	tasmAt SrutvA prayatnena budDiH kAryA prayatnataH // DhH _2.14 //
   śrutvā saṃsāravimukhāṃ kathāṃ sugatadeśitām /	SrutvA saMsAra vimuKAm kaTAm sugata deSitAm /
   prahāya tṛṣṇāṃ vividhāṃ prayāti padamavyayam // Dhs_2.15 //	prahAya tRzNAm viviDAm prayAti padam avyayam // DhH _2.15 //
   caturvidhāṃ pratyayitāṃ dharmāṇāṃ codamavyayau /	caturviDAm pratyayitAm DarmANAm codama vyayO /
   śrutvā tāṃ jñāyate sarvā pumān śraddhāvibhāvitaḥ // Dhs_2.16 //	SrutvA tAm jQAyate sarvA pumAn SradDA viBAvitaH // DhH _2.16 //
   skandhāyatanadhātūnāṃ yadetallakṣaṇadvayam /	skanDa Ayatana DAtUnAm yat etad lakzaNa dvayam /
   śrutvā tajjñāyate sarva tasmāt dharmaparo bhavet // Dhs_2.17 //	SrutvA tat jQAyate sarva tasmAt Darma paraH Bavet // DhH _2.17 //
   prabalā ye trayo doṣāḥ sarvasaṃsārabandhanāḥ /	prabalAH ye trayaH dozAH sarva saMsAra banDanAH /
   te praṇaśyantyaśeṣeṇa saddharmaśravaṇena vai // Dhs_2.18 //	te praNaSyanti aSezeNa sat Darma SravaNena vE // DhH _2.18 //
   pravṛtterlakṣaṇaṃ kṛtsnaṃ nivṛtteścāpyaśeṣataḥ /	pravRtteH lakzaNam kRtsnam nivRtteH ca api aSezatas /
   śrutimāṃstat prajānāti tasmācchrutamanuttamam // Dhs_2.19 //	SrutimAn= tat prajAnAti tasmAt Srutam anuttamam // DhH _2.19 //
   mṛtyukālopapannasya vedanārtasya dehinaḥ /	mRtyu kAla upapannasya vedanA Artasya dehinaH /
   na vyathā śrutamālambya svalpāpi hṛdi jāyate // Dhs_2.20 //	na vyaTA Srutam Alambya su alpA api hRdi jAyate // DhH _2.20 //
   samyagjñānena ye dagdhāḥ kleśavṛkṣāḥ samantataḥ /	samyak jQAnena ye dagDAH kleSa vRkzAH samantataH /
   na teṣāmudbhavo bhūyaḥ kadācidupalabhyate // Dhs_2.21 //	na tezAm udBavaH BUyas kadAcid upalaByate // DhH _2.21 //
   apramādavidagdhaṃ hi śrutaṃ sarva sukhodayam /	apramAda vidagDam hi Srutam sarva suKa udayam /
   śreyasaśva śrutaṃ mūlaṃ tasmācchrutaparo bhavet // Dhs_2.22 //	SreyasaSva Srutam mUlam tasmAt Sruta paraH Bavet // DhH _2.22 //
   saddharmaśravaṇaṃ śrutvā vṛddhāṃścopāsya paṇḍitaḥ /	sadDarma SravaNam SrutvA vRdDAn= ca upAsya paNxitaH /
   prayātyanuttamaṃ sthānaṃ jarāmaraṇavarjitam // Dhs_2.23 //	prayAti anuttamam sTAnam jarA maraNa varjitam // DhH _2.23 //
   dharmeṇa vartate śrutvā duḥkhānmucyeta vai yathā /	DarmeNa vartate SrutvA duHKAt mucyeta vE yaTA /
   śrutvā bhavati maitryātmā tasmācchreyaḥ paraṃ śrutam // Dhs_2.24 //	SrutvA Bavati mEtrI AtmA tasmAt SreyaH param Srutam // DhH _2.24 //
   kāyavāṅmanasāṃ buddhiḥ śrutvā bhavati dehinām /	kAya vAc manasAm budDiH SrutvA Bavati dehinAm /
   tasmāt sadbuddhikāmo yastena śrotavyamādarāt // Dhs_2.25 //	tasmAt sat budDi kAmaH yaH tena Srotavyam AdarAt // DhH _2.25 //
   śrutvā bhāvaṃ samāśritya dṛḍhavīryaparākramam /	SrutvA BAvam samASritya dRXa vIrya parAkramam /
   taranti puruṣāstūrṇa tribhava vipulaṃ mahat // Dhs_2.26 //	taranti puruzAH tUrNa tri Bava vipulam mahat // DhH _2.26 //
   śrutvā yaḥ puruṣaḥ sarvairdhanavānabhijāyate /	SrutvA yaH puruzaH sarvEH DanavAn aBijAyate /
   aśrutārthadhanairyuktaṃ daridraṃ prāhustaṃ budhāḥ // Dhs_2.27 //	aSruta arTa DanEH yuktam daridram prAhuH tam buDAH // DhH _2.27 //
   saddharmanāśaphalam	sadDarma nASa Palam
   saddharmadhananaṣṭasya guruṇā varjitasya ca /	sadDarma Dana nazwasya guruNA varjitasya ca /
   viphalaṃ jīvitaṃ ceṣṭaṃ pāpairupahatasya ca // Dhs_2.28 //	viPalam jIvitam ca izwam pApEH upahatasya ca // DhH _2.28 //
   pramādādīnāmaniṣṭaphalasādhanatvam	pramAda AdInAm anizwa Pala sADana tvam
   pramādinaḥ kusīdastha pāpamitrasya dehinaḥ /	pramAdinaH kusIda sTa pApa mitrasya dehinaH /
   jīvitaṃ niṣphalaṃ dṛṣṭaṃ bījamuptaṃ yathosare // Dhs_2.29 //	jIvitam nizPalam dRzwam bIjam uptam yaTosare // DhH _2.29 //
   śāstraprāmāṇyam	SAstra prAmANyam
   śrutadṛṣṭivinirmuktamarthamāhurvicakṣaṇāḥ /	Sruta dRzwi vinirmuktam arTam AhuH vicakzaNAH /
   na cakṣurbhyāṃ vinirmuktamarthamityabhidhīyate // Dhs_2.30 //	na cakzurByAm vinirmuktam arTam iti aBiDIyate // DhH _2.30 //
   dharmasevanāgrahaḥ yo hi dharma parityajya adharmamanutiṣṭhati /	Darma sevana AgrahaH yaH hi Darma parityajya aDarmam anutizWati /
   sa bhaiṣajyaṃ parityajya vyādhimevopasevate // Dhs_2.31 //	sa BEzajyam parityajya vyADim eva upasevate // DhH _2.31 //
   sevatāṃ sevatāṃ puṃsāṃ dharmo bhavatyanekaśaḥ /	sevatAm sevatAm puMsAm DarmaH Bavati anekaSas /
   varṣāṇāṃ samavāyena yathodyānaṃ pravardhate // Dhs_2.32 //	varzANAm samavAyena yaTodyAnam pravarDate // DhH _2.32 //
   iha vajrāsane bhūmirna saṃsāre 'nyathā bhavet /	iha vajra Asane BUmiH na saMsAre anyaTA Bavet /
   bodhicittasamutthānaṃ bodhiprāptistathottamā // Dhs_2.33 //	boDi citta samutTAnam boDi prAptiH taTA uttamAH // DhH _2.33 //
   dharmacārī praśāntātmā kāyotthāyī samāhitaḥ /	Darma cArI praSAnta AtmA kAya utTAyI samAhitaH /
   avaśyaṃ śubhabhāgīsyāt sa pramādena vañcitaḥ // Dhs_2.34 //	avaSyam SuBa BAgI syAt sa pramAdena vaQcitaH // DhH _2.34 //
   jñānasevanāgrahaḥ tasmājjñānaguṇānmatvā jñānaṃ seveta paṇḍitaḥ /	jQAna sevana AgrahaH tasmAt jQAna guNAn matvA jQAnam seveta paNxitaH /
   nahyajñānena saṃyuktaṃ pumān kaścit pratibhavet // Dhs_2.35 //	na hi ajQAnena saMyuktam pumAn kaScid pratiBavet // DhH _2.35 //
   dharmānusāriṇī śraddhā dharmānusāriṇī śraddhā yathā yāti sukhāvahā /	Darma anusAriNI SradDA Darma anusAriNI SradDA yaTA yAti suKa AvahAH /
   sātidurgatisanyaktā vyasaneṣu mahad balam // Dhs_2.36 //	sA ati durgati sanyaktAH vyasanezu mahat balam // DhH _2.36 //
   pradīpakalpā tamasi vyādhitānāmivauṣadham /	pradIpa kalpA tamasi vyADitAnAm iva OzaDam /
   arthānāṃ netra bhūtā sā daridrāṇāṃ mahadbalam // Dhs_2.37 //	arTAnAm netra BUtA sA daridrANAm mahat balam // DhH _2.37 //
   bhavādyairhriyamāṇānāṃ pūrvabhūtā sukhāvahā /	Bava AdyEH hriyamANAnAm pUrva BUtA suKa AvahAH /
   pramādamadamattānāṃ sā pramādavighātikā // Dhs_2.38 //	pramAda mada mattAnAm sA pramAda viGAtikAH // DhH _2.38 //
   śāntapadaprāpteḥ phalam sa hi yattatpadaṃ śāntaṃ nirvāṇamunibhirvṛtam /	SAnta pada prApteH Palam sa hi yat tat padam SAntam nirvANa muniBiH vRtam /
   tat prāpayatyakhedena samyagjñānapuraḥsaram // Dhs_2.39 //	tat prApayati aKedena samyak jQAna puraHsaram // DhH _2.39 //
   // iti dharmopadeśavargaḥ dvitīyaḥ //	// iti Darma upadeSa vargaH dvitIyaH //
   (3) kāyajugutsāvargaḥ	(3) kAya jugutsA vargaH
   kāyasya svarūpanirūpaṇam	kAyasya sva rUpa nirUpaNam
   satkārairvṛhaṇairmāsairapi śayyāsanādibhiḥ /	satkArEH vRhaNEH mAsEH api SayyA Asana AdiBiH /
   na svīkartumayaṃ kāyaḥ kadācit kenacit kṛtaḥ // Dhs_3.1 //	na svIkartu mayam kAyaH kadAcid kenacid kRtaH // DhH _3.1 //
   kāyasya riputvam	kAyasya ripu tvam
   kṛtaghnasyāvidakṣasya nityaṃ randhraprahāriṇaḥ /	kRtaGnasya avidakzasya nityam ranDra prahAriNaH /
   kaḥ kāyasya riporartha pāpaṃ kuryād vicakṣaṇaḥ // Dhs_3.2 //	kaH kAyasya ripoH arTa pApam kuryAt vicakzaNaH // DhH _3.2 //
   rogānī tamanarthānāṃ bahūnā bhājanaṃ tathā /	rogAnI tam anarTAnAm bahUnA BAjanam taTA /
   aśucyaṅgasya nikaraṃ kāyamityabhidhīyate // Dhs_3.3 //	aSuci aFgasya nikaram kAyam iti aBiDIyate // DhH _3.3 //
   avijñeyaṃ maraṇaṃ jīvitañca kṣaṇikam	avijQeyam maraNam jIvi taQca kzaNikam
   upasthitamavijñeyaṃ maraṇaṃ tattvacintakaiḥ /	upasTitam avijQeyam maraNam tattva cintakEH /
   jīvitaṃ ca kṣaṇādūrdhvaṃ na gacchati nirūpyate // Dhs_3.4 //	jIvitam ca kzaNAt UrDvam na gacCati nirUpyate // DhH _3.4 //
   kāyasya heyatvam	kAyasya heya tvam
   āyuṣkarmārthanirmāṇametaṃ kāyaṃ tyajyayam /	Ayuzkarma arTa nirmANam etam kAyam tyajyayam /
   api viddhastathā śete kāṣṭhaloṣṭhasamo bhuvi // Dhs_3.5 //	api vidDaH taTA Sete kAzWa lozWa samaH Buvi // DhH _3.5 //
   kṣaṇe kṣaṇe 'pi kāyo 'yaṃ jīryate na nivartate /	kzaNe kzaNe api kAyaH ayam jIryate na nivartate /
   tathā yauvanamadairbālā muhayante (mugdhacetasaḥ) // Dhs_3.6 //	taTA yOvana madEH bAlAH muhayante (mugDa cetasaH) // DhH _3.6 //
   dhanadhānyamadairmattāḥ kurvantyahitamātmanaḥ /	Dana DAnya madEH mattAH kurvanti ahitam AtmanaH /
   tannāśamupayātyevaṃ sa ca pāpena dahayate // Dhs_3.7 //	tat nASam upayAti evam sa ca pApena dahayate // DhH _3.7 //
   adhārmikanindā	aDArmika nindA
   na manuṣyā manuṣyāste yebhyo dharmo na rocate /	na manuzyAH manuzyAH te yeByaH DarmaH na rocate /
   na mārge ca sthitāstattve nirvāṇapuragāmike // Dhs_3.8 //	na mArge ca sTitAH tattve nirvANa pura gAmike // DhH _3.8 //
   manuṣyayoneḥ bhavasāgarataraṇopāyaḥ	manuzya yoneH Bava sAgara taraNa upAyaH
   kathaṃ prāpya hi mānuṣyaṃ śreyasāmālayaṃ mahat /	kaTam prApya hi mAnuzyam SreyasAm Alayam mahat /
   na jñānaplavamārūhaya taranti bhavasāgarāt // Dhs_3.9 //	na jQAna plavam ArUhaya taranti Bava sAgarAt // DhH _3.9 //
   jīvanasya kṣaṇikatā	jIvanasya kzaNika tA
   vidyudālātasadṛśaṃ gandharvanagaropamam /	vidyuda alAta sadRSam ganDarvanagara upamam /
   sadā tad yāti rabhasaṃ jīvitaṃ sarvadehinām // Dhs_3.10 //	sadA tat yAti raBasam jIvitam sarva dehinAm // DhH _3.10 //
   śarīre na madaṃ kuryāt kṣaṇike bhaṅgure sadā /	SarIre na madam kuryAt kzaNike BaFgure sadA /
   itvare capale 'sāre jarāmaraṇabhīruke // Dhs_3.11 //	itvare capale asAre jarA maraNa BIruke // DhH _3.11 //
   dhyāyinānnagataṃ hyetat śokānāmālayo mahān /	DyAyinA anna gatam hi etat SokAnAm AlayaH mahAn /
   śubhāśubhānāṃ kṣetraṃ ca śarīramavadhīyate // Dhs_3.12 //	SuBa aSuBAnAm kzetram ca SarIram avaDIyate // DhH _3.12 //
   saphalajīvanarahasyam	sa Pala jIvana rahasyam
   jñānaśīladayādānairyasya gātraṃ vibhūṣitam /	jQAna SIla dayA dAnEH yasya gAtram viBUzitam /
   tasya sattvaikasārasya śarīraṃ saphalaṃ matam // Dhs_3.13 //	tasya sattva eka sArasya SarIram saPalam matam // DhH _3.13 //
   dhātujñānāt mokṣaḥ	DAtu jQAnAt mokzaH
   dhātūnāṃ mārakāt sarvamidaṃ muktaṃ kalevaram /	DAtUnAm mArakAt sarvam idam muktam kalevaram /
   śarīradhātu vicayāt sākṣād bhavati netarāt // Dhs_3.14 //	SarIra DAtu vicayAt sAkzAt Bavati na itarAt // DhH _3.14 //
