   Pramāṇavārtikam	PramANa-vArtikam
   svabhāvapariṇāmena heturaṅkurajanmani /	svaBAva-pariNAmena hetuH-aFkura-janmani /
   bhūmyādistasya saṃskāre tadviśeṣasya darśanāt // Pramāṇav_1.27 //	BUmi-AdiH-tasya saMskAre tad-viSezasya darSanAt // PramANa=-_1.27 //
   yathā viśeṣeṇa vinā viṣayendriyasaṃhatiḥ /	yaTA viSezeNa vinA vizaya-indriya-saMhatiH /
   buddherhetustathedaṃ cenna tatrāpi viśeṣataḥ // Pramāṇav_1.28 //	budDeH-hetuH-taTA-idam ced-na tatra-api viSezataH // PramANa=-_1.28 //
   pṛthak pṛthagaśaktānāṃ svabhāvātiśaye 'sati /	pRTak pRTak-aSaktAnAm svaBAva-atiSaye asati /
   saṃhatāvapyasāmarthya syāt siddho 'tiśayastataḥ // Pramāṇav_1.29 //	saMhatO=-api-asAmarTya syAt sidDaH atiSayaH-tatas // PramANa=-_1.29 //
   tasmāt pṛthagaśakteṣu yeṣu sambhāvyate guṇaḥ /	tasmAt pRTak-aSaktezu yezu samBAvyate guNaH /
   saṃhatau hetutā teṣāṃ neśvarāderabhedataḥ // Pramāṇav_1.30 //	saMhatO hetu-tA tezAm na-ISvara-AdeH-aBedataH // PramANa=-_1.30 //
   prāmāṇyañca parokṣārthajñānaṃ yatsādhanasya ca /	prAmANyaQca parokza-arTa-jQAnam yat-sADanasya ca /
   abhāvān nāstyanuṣṭhānamiti kecit pracakṣate // Pramāṇav_1.31 //	aBAvAt na-asti-anuzWAnam-iti kecid pracakzate // PramANa=-_1.31 //
   jñānavān mṛgyate kaścit taduktapratipattaye /	jQAnavAn mRgyate kaScid tad-ukta-pratipattaye /
   ajñopadeśakaraṇe vipralambhanaśaṅkibhiḥ // Pramāṇav_1.32 //	ajQa-upadeSa-karaNe vipralamBana-SaFkiBiH // PramANa=-_1.32 //
   tasmādanuṣṭheyagataṃ jñānamasya vicāryatām /	tasmAt-anuzWeya-gatam jQAnam-asya vicAryatAm /
   kīṭasaṃkhyāparijñānaṃ tasya naḥ kvopayujyate // Pramāṇav_1.33 //	kIwa-saMKyA-parijQAnam tasya naH kva-upayujyate // PramANa=-_1.33 //
   heyopādeyatattvasya sābhyupāyasya vedakaḥ /	heya-upAdeya-tattvasya sa-aByupAyasya vedakaH /
   yaḥ pramāṇamasāviṣṭo na tu savasya vedakaḥ // Pramāṇav_1.34 //	yaH pramANam-asO=-izwaH na tu savasya vedakaH // PramANa=-_1.34 //
   dūraṃ paśyatu vā mā vā tattvamiṣṭaṃ tu paśyatu /	dUram paSyatu vA mA vA tattvam-izwam tu paSyatu /
   pramāṇaṃ dūradarśī cedeta gṛdhrānupāsmahe // Pramāṇav_1.35 //	pramANam dUra-darSI ced-eta gRDrAn-upAsmahe // PramANa=-_1.35 //
   sādhanaṃ karuṇābhyāsāt sā buddherdehasaṃśrayāt /	sADanam karuNA-aByAsAt sA budDeH-deha-saMSrayAt /
   asiddhi 'bhyāsa iti cennāśrayapratiṣedhataḥ // Pramāṇav_1.36 //	asidDi aByAsaH iti ca-id-na-ASraya-pratizeDataH // PramANa=-_1.36 //
   prāṇāpānendriyadhiyāṃ dehādeva na kevalāt /	prANa-apAna-indriya-DiyAm dehAt-eva na kevalAt /
   sajātinirapekṣāṇāṃ janma janmaparigrahe // Pramāṇav_1.37 //	sajAti-nirapekzANAm janma janma-parigrahe // PramANa=-_1.37 //
   atiprasaṅgātya ddṛṣṭaṃ pratisandhānaśaktimat /	atiprasaFgAtya ddRzwam pratisanDAna-Saktimat /
   kimāsīt tasya yannāsti paśyād yena na sandhimat // Pramāṇav_1.38 //	kim-AsIt tasya yat-na-asti paSyAt yena na sanDimat // PramANa=-_1.38 //
   na sa kaścit pṛthivyāderaṃśo yatra na jantavaḥ /	na sa kaScid pRTivI-AdeH-aMSaH yatra na jantavaH /
   saṃsvedajādyā jāyante sarva bījātmakaṃ tataḥ // Pramāṇav_1.39 //	saMsveda-ja-AdyAH jAyante sarva bIja-Atmakam tatas // PramANa=-_1.39 //
   tat sajātyanapekṣāṇāmakṣādīnāṃ samudbhave /	tat sajAti-anapekzANAm-akza-AdInAm samudBave /
   pariṇamo yathaikasya syāt sarvasyāviśeṣataḥ // Pramāṇav_1.40 //	pariNamaH yaTA-ekasya syAt sarvasya-aviSezataH // PramANa=-_1.40 //
   pratyekamupaghāte 'pi nendriyāṇāṃ manomateḥ /	pratyekam-upaGAte api na-indriyANAm manaH-mateH /
   upaghāto 'sti bhaṅge 'syāsteṣāṃ bhaṅgaśca dṛśyate // Pramāṇav_1.41 //	upaGAtaH asti BaFge asyAH-tezAm BaFgaH-ca dRSyate // PramANa=-_1.41 //
   tasmāt sthityāśrayo buddherbuddhimeva samāśritaḥ /	tasmAt sTiti-ASrayaH budDeH-budDim-eva samASritaH /
   kaścinnimittamakṣāṇāṃ tasmādakṣāṇi buddhitaḥ // Pramāṇav_1.42 //	kaScid-nimittam-akzANAm tasmAt-akzANi budDitaH // PramANa=-_1.42 //
   yādṛśyākṣepikā sāsīt paścādapyastu tādṛśī /	yAdRSyAkzepikA sA-AsIt paScAt-api-astu tAdRSI /
   tajjñānairupakāryatvāduktaṃ kāyāśritaṃ manaḥ // Pramāṇav_1.43 //	tad-jQAnEH-upakArya-tvAt-uktam kAya-ASritam manaH // PramANa=-_1.43 //
   yadyapyakṣairvinā buddhirna tānyapi tayā vinā /	yadi-api-akzEH-vinA budDiH-na tAni-api tayA vinA /
   tathāpyanyo 'nyahetutvaṃ tato 'pyanyo 'nyahetuke // Pramāṇav_1.44 //	taTA-api-anyaH anya-hetu-tvam tatas api-anyaH anya-hetuke // PramANa=-_1.44 //
   nākramāt kramiṇo bhāvo nāpyapekṣyāviśeṣiṇaḥ /	na-akramAt kramiNaH BAvaH na-api-apekzya-aviSeziNaH /
   kramād bhavantī dhīḥ kāyāt kramaṃ tasyāpi śaṃsati // Pramāṇav_1.45 //	kramAt BavantI DIH kAyAt kramam tasya-api SaMsati // PramANa=-_1.45 //
   pratikṣaṇamapūrvasya pūrvaḥ pūrvaḥ kṣaṇo bhavet /	pratikzaNam-apUrvasya pUrvaH pUrvaH kzaNaH Bavet /
   tasya heturato heturdṛṣṭa evāstu sarvadā // Pramāṇav_1.46 //	tasya hetuH-atas hetuH-dRzwaH eva-astu sarvadA // PramANa=-_1.46 //
   cittāntarasya sandhāne ko virodho 'ntyacetasaḥ /	citta-antarasya sanDAne kaH viroDaH antya-cetasaH /
   tadvadapyarhataścittasandhānaṃ kuto matam // Pramāṇav_1.47 //	tadvat-api-arhataH-citta-sanDAnam kutas matam // PramANa=-_1.47 //
   asiddhārthaḥ pramāaṇena kiṃ siddhānto 'nugamyate /	asidDArTaH pramAaNena kim sidDAntaH anugamyate /
   hetorvaikalyatastaccet kiṃ tadevātra noditam // Pramāṇav_1.48 //	hetoH-vEkalyataH-tat-ced kim tat-eva-atra na-uditam // PramANa=-_1.48 //
   taddhīvad grahaṇaprāptermanojñānaṃ na sendriyāt /	tat-DIvat grahaNa-prApteH-manaH-jQAnam na sa-indriyAt /
   jñānotpādanasāmarthyabhedānna sakalādapi // Pramāṇav_1.49 //	jQAna-utpAdana-sAmarTya-BedAt-na sakalAt-api // PramANav_1.49 //
   acetanatvānnānyasmād hetvabhedāt sahasthitiḥ /	acetana-tvAt-na-anyasmAt hetu-aBedAt saha-sTitiH /
   akṣavad rūparasavad arthadvāreṇa vikriyā // Pramāṇav_1.50 //	akza-vat rUpa-rasa-vat arTa-dvAreNa vikriyA // PramANa=-_1.50 //
   sattopakāriṇī yasya nityaṃ tadanubandhataḥ /	sattA-upakAriNI yasya nityam tad-anubanDataH /
   sa hetuḥ saptamī tasmādutpādāditi cocyate // Pramāṇav_1.51 //	sa hetuH saptamI tasmAt-utpAdAt-iti ca-ucyate // PramANa=-_1.51 //
   astūpakārako vāpi kadāciccittasantateḥ /	astu-upakArakaH vA-api kadAcid-citta-santateH /
   vahnayādivad ghaṭādināṃ vinivṛttirna tāvatā // Pramāṇav_1.52 //	vahnaya-Adi-vat Gawa-AdinAm vinivRttiH-na tAvatA // PramANa=-_1.52 //
   anivṛttiprasaṅśca dehe tiṣṭhati cetasaḥ /	anivRtti-prasaF=-ca dehe tizWati cetasaH /
   tadbhāvabhāvād vaśyatvāt prāṇāpānau tato na tat // Pramāṇav_1.53 //	tad-BAva-BAvAt vaSya-tvAt prANa-apAnO tatas na tat // PramANa=-_1.53 //
   preraṇākarṣaṇe vāyoḥ prayatnena vinā kutaḥ /	preraNa-AkarzaNe vAyoH prayatnena vinA kutas /
   nirhrāsāatiśayāpattirnirhrāsātiśayāt tayoḥ // Pramāṇav_1.54 //	nirhrAsa-aa-tiSaya-ApattiH-nirhrAsa-atiSayAt tayoH // PramANa=-_1.54 //
   tulyaḥ prasaṅgo 'pi tayoḥ na tulyaṃ cittakāraṇe /	tulyaH prasaFgaH api tayoH na tulyam citta-kAraNe /
   sthityāvedhakamanyacca yataḥ kāraṇamiṣyate // Pramāṇav_1.55 //	sTiti-AveDakam-anyat-ca yatas kAraNam-izyate // PramANa=-_1.55 //
   na doṣairviguṇo deho heturvartyādivad yadi /	na dozEH-viguNaH dehaH hetuH-varti-Adi-vat yadi /
   mṛte śamīkṛte doṣe punarujjīvanaṃ bhavet // Pramāṇav_1.56 //	mRte SamIkRte doze punar-ujjIvanam Bavet // PramANa=-_1.56 //
   nivṛtte 'pyanale kāṣṭhavikārāvinivṛttivat /	nivRtte api-anale kAzWa-vikAra-avinivRtti-vat /
   tasyānivṛttiriti cenna cikitsāprayogataḥ // Pramāṇav_1.57 //	tasya-anivRttiH-iti ced-na cikitsA-prayogataH // PramANa=-_1.57 //
   apunarbhāvataḥ kiñcad vikārajananaṃ kvacit /	apunarBAvataH kiQcat vikAra-jananam kvacid /
   ciñcid viparyayādagniryathā kāṣṭhasuvarṇayoḥ // Pramāṇav_1.58 //	ciQcit viparyayAt-agniH-yaTA kAzWa-suvarNayoH // PramANa=-_1.58 //
   ādyasyālpo 'pyasaṃhāryaḥ pratyāneyastu yatkṛtaḥ /	Adyasya-alpaH api-asaMhAryaH pratyAneyaH-tu yad-kRtaH /
   vikāraḥ syāt punarbhāvaḥ tasya hemnikharatvavat // Pramāṇav_1.59 //	vikAraH syAt punarBAvaH tasya hemniKara-tva-vat // PramANa=-_1.59 //
   durlabhatvāt samādhāturasādhyaṃ kiñcidīritam /	durlaBa-tvAt samADAtuH-asADyam kiQcid-Iritam /
   āyuḥkṣayād vā doṣe tu kevale nāstyasādhyatā // Pramāṇav_1.60 //	AyuH-kzayAt vA doze tu kevale na-asti-asADya-tA // PramANa=-_1.60 //
   mṛte viṣādisaṃhārāt taṃddaśacchedato 'pi vā /	mRte viza-Adi-saMhArAt taMddaSa=-CedataH api vA /
   vikārahetorvigame sa nocchavasiti sa nocchvasiti kiṃ punaḥ //	vikAra-hetoH-vigame sa na-ucCavasiti sa na-ucCvasiti kim punar //
   Pramāṇav_1.61 //	PramANa=-_1.61 //
   upādānāvikāreṇa nopādeyasya vikriyā /	upAdAna-avikAreNa na-upAdeyasya vikriyA /
   kartu śakyāvikāreṇa mṛdaḥ kuṇḍādike yathā // Pramāṇav_1.62 //	kartu Sakya-avikAreNa mRdaH kuNxa-Adike yaTA // PramANa=-_1.62 //
   avikṛtya hi yad vastu yaḥ padārtho vikāryate /	avikRtya hi yat vastu yaH padArTaH vikAryate /
   upādānaṃ na tat tasya yuktaṃ gogavayādivat // Pramāṇav_1.63 //	upAdAnam na tat tasya yuktam gogavaya-Adi-vat // PramANa=-_1.63 //
   cetaḥśarīrayorevam taddhetoḥ kāryajanmanaḥ /	cetaH-SarIrayoH-evam tad-hetoH kArya-janmanaH /
   sahakārāt sahasthānamagnitāmradravatvavat // Pramāṇav_1.64 //	sahakArAt saha-sTAnam-agni-tAmra-drava-tva-vat // PramANa=-_1.64 //
   anāśrayāt sadasatornāśrayaḥ sthitikāraṇam /	anASrayAt sat-asatoH-na-ASrayaH sTiti-kAraNam /
   sataścedāśrayo nāsyāḥ sthāturavyatirekataḥ // Pramāṇav_1.65 //	sataH-ced-ASrayaH na-asyAH sTAtuH-avyatirekataH // PramANa=-_1.65 //
   vyatireke 'pi taddhetustena bhāvasya kiṃ kṛtam /	vyatireke api tad-hetuH-tena BAvasya kim kRtam /
   abināśaprasaṅgaḥ sa nāśahetormato yadi // Pramāṇav_1.66 //	abinASa-prasaFgaH sa nASa-heta-UH-mataH yadi // PramANa=-_1.66 //
   tulyaḥ prasaṅgastatrāpi kiṃ punaḥ sthitihetunā /	tulyaH prasaFgaH-tatra-api kim punar sTiti-hetunA /
   ā nāśakāgamāt sthānaṃ tataśced vastudharmatā // Pramāṇav_1.67 //	A na-aSaka-AgamAt sTAnam tatas-ced vastu-DarmatA // PramANa=-_1.67 //
   nāśasya satyabādho 'sāviti ki sthitihetunā /	nASasya satyabADaH asO=-iti ki sTiti-hetunA /
   yathā jalāderādhāra iti cet tulyamatra ca // Pramāṇav_1.68 //	yaTA jala-AdeH-ADAraH iti ced tulyam-atra ca // PramANa=-_1.68 //
   pratikṣaṇavināśe hi bhavānāṃ bhāvasantateḥ /	pratikzaNa-vinASe hi BavAnAm BAva-santateH /
   tathotpatteḥ sahetutvādāśrayo 'yuktamanyathā // Pramāṇav_1.69 //	taTA-utpatteH sa-hetu-tvAt-ASrayaH ayuktam-anyaTA // PramANa=-_1.69 //
   syādādhāro jalādīnāṃ gamanapratibandhataḥ /	syAt-ADAraH jala-AdInAm gamana-pratibanDataH /
   agatīnāṃ kimādhārairguṇasāmānyakarmaṇām // Pramāṇav_1.70 //	agatInAm kimADArEH-guNa-sAmAnya-karmaNAm // PramANa=-_1.70 //
   etena samavāyaśca samavāyi ca kāraṇam /	etena samavAyaH-ca samavAyi ca kAraNam /
   vyavasthitatvaṃ jātyādernirastamanapāśrayāt // Pramāṇav_1.71 //	vyavasTita-tvam jAti-AdeH-nirastam-anapASrayAt // PramANa=-_1.71 //
   parato bhāvānāśaścet tasya kiṃ sthitihetunā /	paratas BAvAn-ASaH-ced tasya kim sTiti-hetunA /
   sa vinaśyed vināpyanyairaśaktāḥ sthitihetavaḥ // Pramāṇav_1.72 //	sa vinaSyet vinA-api-anyEH-aSaktAH sTiti-hetavaH // PramANa=-_1.72 //
   sthitimān nāśrayaḥ sarvaḥ sarvotpattai ca sāśrayaḥ /	sTitimAn na-ASrayaH sarvaH sarva-utpattE ca sa-ASrayaH /
   tasmāt sarvasya bhāvasya na vināśaḥ kadācana // Pramāṇav_1.73 //	tasmAt sarvasya BAvasya na vinASaH kadAcana // PramANa=-_1.73 //
   svayaṃ vinaśvarātmā cet tasya kaḥ sthāpakaḥ paraḥ /	svayam vinaSvara-AtmA ced tasya kaH sTApakaH paraH /
   svayaṃ na naśvarātmā cet tasya kaḥ sthāpakaḥ paraḥ // Pramāṇav_1.74 //	svayam na naSvara-AtmA ced tasya kaH sTApakaH paraH // PramANa=-_1.74 //
   buddhivyāpārabhedena nirhrāsātiśayāvapi /	budDi-vyApAra-Bedena nirhrAsa-atiSayO=-api /
   prajñāderbhavato dehanirhrāsatiśayau vinā // Pramāṇav_1.75 //	prajQA-AdeH-BavataH deha-nirhrAsati-SayO vinA // PramANa=-_1.75 //
   idaṃ dīpaprabhādīnāmāśritānāṃ na vidyate /	idam dIpa-praBA-AdInAm-ASritAnAm na vidyate /
   syāt tato 'pi viśeṣo 'sya na citte 'nupakāriṇa // Pramāṇav_1.76 //	syAt tatas api viSezaH asya na citte anupakAriNaH // PramANa=-_1.76 //
   rāgādivṛddhiḥ puṣṭyādeḥ kadācit sukhaduḥkhajā /	rAga-Adi-vRdDiH puzwi-AdeH kadAcid suKa-duHKa-jAH /
   tayośca dhātusāmyāderantararthasya sannidheḥ // Pramāṇav_1.77 //	tayoH-ca DAtu-sAmya-AdeH-antar-arTasya sanniDeH // PramANa=-_1.77 //
   etena sannipātādeḥ smṛtibhraṃśādayo gatāḥ /	etena sannipAta-AdeH smRti-BraMSa-AdayaH gatAH /
   vikārayati dhīreva hyantararthaviśeṣajā // Pramāṇav_1.78 //	vikArayati DIH-A-iva hi-antararTa-viSeza-jAH // PramANa=-_1.78 //
   śārdū laśoṇitādīnāṃ santānātiśaye kvacit /	SArdU laSoNita-AdInAm santAna-atiSaye kvacid /
   mohādayaḥ sambhavanti śravaṇekṣaṇato yathā // Pramāṇav_1.79 //	moha-AdayaH samBavanti SravaNa-IkzaNataH yaTA // PramANa=-_1.79 //
   tasmāt svasyaiva saṃskāraṃ niyamenānuvartate /	tasmAt svasya-eva saMskAram niyamena-anuvartate /
   tannāntarīyakaṃ cittamataścittasamāśritam // Pramāṇav_1.80 //	tat-na-antarIyakam cittam-atas-citta-samASritam // PramANa=-_1.80 //
   yathā śrutādisaṃskāraḥ kṛtaścetasi cetasi /	yaTA Sruta-Adi-saMskAraH kRtaH-cetasi cetasi /
   kālena vyajyate 'bhedāt syād dehe 'pi tato guṇaḥ // Pramāṇav_1.81 //	kAlena vyajyate aBedAt syAt dehe api tatas guNaH // PramANa=-_1.81 //
   ananyasattvaneyasya hīnasthānaparigrahaḥ /	ananya-sattvaneyasya hIna-sTAna-parigrahaH /
   ātmasnehavato duḥkhasukhatyāgāptivāñchayā // Pramāṇav_1.82 //	Atma-snehavataH duHKa-suKa-tyAga-Apti-vAQCayA // PramANa=-_1.82 //
   duḥkhe viparyāsamatiḥ tṛṣṇā cābandhakāraṇam //	duHKe viparyAsa-matiH tRzNA ca-AbanDa-kAraNam //
   janmino yasya te na sto na sa janmādhigacchati // Pramāṇav_1.83 //	janminaH yasya te na staH na sa janma-aDigacCati // PramANa=-_1.83 //
   gatyāgatī na dṛṣṭe cedindriyāṇāmapāṭavāt /	gati-AgatI na dRzwe ced-indriyANAm-apAwavAt /
   adṛṣṭirmandanetrasya tanudhūmāgatiryathā // Pramāṇav_1.84 //	adRzwiH-manda-netrasya tanu-DUma-AgatiH-yaTA // PramANa=-_1.84 //
   tanutvānmūrtamapi tu kiñcit kvacidaśaktimat /	tanu-tvAt-mUrtam-api tu kiQcid kvacid-aSaktimat /
   jalavat sūtavaddhemni nādṛṣṭenāsadeva vā // Pramāṇav_1.85 //	jala-vat sUta-vat-hemni na-adRzwena-asat-eva vA // PramANa=-_1.85 //
   pāṇyādikampe sarvasya kampaprāptervirodhinaḥ /	pANi-Adi-kampe sarvasya kampa-prApteH-viroDinaH /
   ekasmin karmaṇo 'yogāt syāt pṛthak siddhiranyathā // Pramāṇav_1.86 //	ekasmin karmaNaH ayogAt syAt pRTak sidDiH-anyaTA // PramANa=-_1.86 //
   ekasya cāvṛtau sarvasyāvṛtiḥ syādanāvṛtau /	ekasya ca-AvRtO sarvasya-AvRtiH syAt-anAvRtO /
   dṛśyeta rakte caikasmin rāgo 'raktasya vāgatiḥ // Pramāṇav_1.87 //	dRSyeta rakte ca-ekasmin rAgaH araktasya vA-AgatiH // PramANa=-_1.87 //
   nāstyekasamudāyo 'smādanekatve 'pi pūrvavat /	na-asti-eka-samudAyaH asmAt-aneka-tve api pUrvavat /
