   Sudhanakinnaryavadāna	SuDana-kinnarya-vadAna
   durbhikṣajananī jātā janasaṃkṣayasākṣiṇī // KAvk_64.20 //	durBikza-jananI jAtA jana-saMkzaya-sAkziNI // Ka-avc-_64.20 //
   sutīkṣṇaḥ kṣmāpālaḥ kharamukharamūrkhaḥ parijanaḥ	su-tIkzNaH kzmApAlaH Kara-muKara-mUrKaH parijanaH
   kadaryāś cāmātyāḥ kaṭukapaṭakauṭilyapaṭavaḥ /	kadaryAH ca-amAtyAH kawuka-pawa-kOwilya-pawavaH /
   padasthāḥ kāyasthā viṣamamukharogāḥ prakupitāḥ	pada-sTAH kAyasTAH vizama-muKa-rogAH prakupitAH
   kathaṃ sahyaḥ so 'yaṃ kṛpaṇadalano dāruṇagaṇaḥ // KAvk_64.21 //	kaTam sahyaH saH ayam kRpaNa-dalanaH dAruNa-gaNaH // Ka-avc-_64.21 //
   dhanaḥ śrimān kṣitipatiḥ śrūyate rāṣṭravardhanaḥ /	DanaH SrimAn kzitipatiH SrUyate rAzwra-varDanaH /
   gacchāmas tatpuraṃ so 'smān vatsalaḥ pālayiṣyati // KAvk_64.22 //	gacCAmaH tat-puram saH asmAn vatsalaH pAlayizyati // KAvc-_64.22 //
   apatyam iva rāṣṭraṃ yaḥ sadā paśyati bhūpatiḥ /	apatyam iva rAzwram yaH sadA paSyati BUpatiH /
   viṣaye jīvyate tasya janakasyeva veśmani // KAvk_64.23 //	vizaye jIvyate tasya janakasya-iva veSmani // Ka-avc-_64.23 //
   iti niścayam ādhāya yayus te hastināpuraṃ /	iti niScayam ADAya yayuH te hastinApuram /
   tyājyaḥ kāyo 'pi sāpāyaḥ kiṃ punar deśasaṃśrayaḥ // KAvk_64.24 //	tyAjyaH kAyaH api sa-apAyaH kim punar deSa-saMSrayaH // Ka-avc-_64.24 //
   jñātvā mahendraseno 'pi svapuraṃ nirjanaṃ nṛpaḥ /	jQAtvA mahA-indrasenaH api sva-puram nirjanam nRpaH /
   tīvrānutāpaḥ sāmarṣaṃ mahāmātyān abhāṣata // KAvk_64.25 //	tIvra-anutApaH sa-amarzam mahA-amAtyAn aBAzata // Ka-avc-_64.25 //
   dhanasya dhanino rājñaḥ puraṃ matpuravāsinaḥ /	Danasya DaninaH rAjQaH puram mad-pura-vAsinaH /
   prayātā iti naś cāraiḥ kathitaṃ gūḍhacāribhiḥ // KAvk_64.26 //	prayAtAH iti naH cArEH kaTitam gUXa-cAriBiH // Ka-avc-_64.26 //
   durbhikṣakhinnā yadi te yātā mama ripoḥ puram /	durBikza-KinnA yadi te yAtAH mama ripoH puram /
   tat sarvatra bhavanty eva paryāyair devaviplavāḥ // KAvk_64.27 //	tat sarvatra Bavanti eva paryAyEH deva-viplavAH // Ka-avc-_64.27 //
   atha vā rājadoṣena gatās te sukhavāñchayā /	aTa vA rAja-dozena gatAH te suKa-vAQCayA /
   viṣṭidaṇḍakaronmuktaḥ kasya rājñaḥ pure janaḥ // KAvk_64.28 //	vizwi-daNxa-kara-unmuktaH kasya rAjQaH pure janaH // Ka-avc-_64.28 //
   prāyaḥ paricitadveṣāt sadā navanavaiṣiṇaḥ /	prAyas paricita-dvezAt sadA nava-nava-eziNaH /
   dūrastha eva sarvasya sarvo bhavati vallabhaḥ // KAvk_64.29 //	dUra-sTaH eva sarvasya sarvaH Bavati vallaBaH // Ka-avc-_64.29 //
   asmadabhyadhikaḥ ko 'sau tasya bhūmipater guṇaḥ /	asmad-aByaDikaH kaH asO tasya BUmipateH guNaH /
   pareṣāṃ harate yena mugdhā jāyā iva prajāḥ // KAvk_64.30 //	parezAm harate yena mugDAH jAyAH iva prajAH // Ka-avc-_64.30 //
   upāyaś cintyatāṃ tāvat tasya darpapraśāntaye /	upAyaH cintyatAm tAvat tasya darpa-praSAntaye /
   samṛddhikāraṇaṃ yac ca tadvighāto vidhīyatāṃ // KAvk_64.31 //	samRdDi-kAraNam yat ca tad-viGAtaH viDIyatAm // KAvc-_64.31 //
   iti rājavacaḥ śrutvā mahāmātyā babhāṣire /	iti rAja-vacaH SrutvA mahAmAtyAH baBAzire /
   śrūyatāṃ deva yenāsau rājā dhanajanorjitaḥ // KAvk_64.32 //	SrUyatAm deva yena-asO rAjA Dana-jana-UrjitaH // Ka-avc-_64.32 //
   viṣaye nāgarājo 'sti citro nāma bahūdakaḥ /	vizaye nAga-rAjaH asti citraH nAma bahu-udakaH /
   tasya kṣitipater mūrtaḥ puṇyabaddha ivodayaḥ // KAvk_64.33 //	tasya kzitipateH mUrtaH puNya-badDaH iva-udayaH // Ka-avc-_64.33 //
   akāle sasyaniṣpattis tatprabhāveṇa jāyate /	akAle sasya-nizpattiH tad-praBAveNa jAyate /
   kṛṣisaṃpattimūlāś ca bhūbhujāṃ sarvasaṃpadaḥ // KAvk_64.34 //	kRzi-saMpatti-mUlAH ca BUBujAm sarva-saMpadaH // Ka-avc-_64.34 //
   tasmād vidyābalān nāgaḥ sa hartuṃ yadi śakyate /	tasmAt vidyA-balAt nAgaH sa hartum yadi Sakyate /
   tadā yānti svayaṃ tasya prajās tvām eva saṃśrayam // KAvk_64.35 //	tadA yAnti svayam tasya prajAH tvAm eva saMSrayam // Ka-avc-_64.35 //
   dīptamantrabalaṃ kaṃ cit tasmād anviṣya sādhakam /	dIpta-mantra-balam kam cit tasmAt anvizya sADakam /
   nāgarājasya haraṇe kriyatāṃ tūrṇam udyamaḥ // KAvk_64.36 //	nAga-rAjasya haraNe kriyatAm tUrNam udyamaH // Ka-avc-_64.36 //
   ity amātyavacaḥ śrutvā tathety āha mahīpatiḥ /	iti amAtya-vacaH SrutvA taTA-iti Aha mahIpatiH /
   svaguṇādhānavikalāḥ paradoṣodyatāḥ khalāḥ // KAvk_64.37 //	sva-guNa-ADAna-vikalAH para-doza-udyatAH KalAH // Ka-avc-_64.37 //
   tataḥ prabhūtakanakapradānapaṇaghoṣaṇām /	tatas praBUta-kanaka-pradAna-paNa-GozaNAm /
   kṛtvā te mantriṇaḥ prāpur nāgabandhanamantriṇam // KAvk_64.38 //	kRtvA te mantriNaH prApuH nAga-banDana-mantriNam // Ka-avc-_64.38 //
   sa tair vidyādharo nāma suvarṇārpaṇasaṃvidā /	sa tEH vidyADaraH nAma suvarNa-arpaNa-saMvidA /
   prārthitaś citram ānetuṃ prayayau hastināpuram // KAvk_64.39 //	prArTitaH citram Anetum prayayO hastinApuram // Ka-avc-_64.39 //
   tatra kānanaparyante snigdhaśyāmalapādape /	tatra kAnana-paryante snigDa-SyAmala-pAdape /
   bhavanaṃ bhogināṃ bhartuḥ sa dadarśa nabhaḥprabham // KAvk_64.40 //	Bavanam BoginAm BartuH sa dadarSa naBaH-praBam // Ka-avc-_64.40 //
   valadbakulamālāyā vilasattilakaśriyaḥ /	valat-bakula-mAlAyAH vilasat-tilaka-SriyaH /
   vanalakṣmyā ivāsannamaṇḍanaṃ maṇidarpaṇam // KAvk_64.41 //	vana-lakzmyAH iva-Asanna-maNxanam maNi-darpaNam // Ka-avc-_64.41 //
   tad vilokyāmalajalaṃ spṛhāmalinamānasaḥ /	tat vilokya-amala-jalam spRhA-malina-mAnasaH /
   mantrānudhyānasaṃnaddhaḥ siddhyai digbandham ādadhe // KAvk_64.42 //	mantra-anuDyAna-saMnadDaH sidDyE digbanDam AdaDe // KAvc-_64.42 //
   digbandhe vihite tena vratenātyugratejasā /	digbanDe vihite tena vratena-ati-ugra-tejasA /
   śirovyathā nāgapater abhūt taptaphaṇāmaṇeḥ // KAvk_64.43 //	SiraH-vyaTA nAga-pateH aBUt tapta-PaNA-maNeH // Ka-avc-_64.43 //
   athādṛśyaḥ samutthāya taṃ dṛṣṭvā mantrasādhakam /	aTa-adRSyaH samutTAya tam dRzwvA mantra-sADakam /
   kampamānaḥ phaṇipatir bandhatrāsād acintayat // KAvk_64.44 //	kampamAnaH PaNi-patiH banDa-trAsAt acintayat // Ka-avc-_64.44 //
   babhrubhrūśmaśruśabalas taḍitkapilalocanaḥ /	baBru-BrU-SmaSru-SabalaH taxit-kapila-locanaH /
   akālakālasaṃkāśaḥ kulaṃ hantuṃ mamāgataḥ // KAvk_64.45 //	akAla-kAla-saMkASaH kulam hantum mama-AgataH // Ka-avc-_64.45 //
   vane saṃprati digbandhaḥ kṛto 'nena durātmanā /	vane saMprati digbanDaH kRtaH anena durAtmanA /
   badhnāty eṣa na yāvan māṃ tāvad yuktikramaḥ kṣamaḥ // KAvk_64.46 //	baDnAti eza na yAvat mAm tAvat yukti-kramaH kzamaH // Ka-avc-_64.46 //
   tīropānte vasaty asmin maharṣir valkalāyanaḥ /	tIra-upAnte vasati asmin mahA-RziH valkalAyanaH /
   jāne so 'pi na me sādhu paritrāṇe pragalbhate // KAvk_64.47 //	jAne saH api na me sADu paritrANe pragalBate // Ka-avc-_64.47 //
   tasyāśramapade yo 'sau paricaryāparaḥ sadā /	tasya-ASrama-pade yaH asO paricaryA-paraH sadA /
   lubdhakaḥ padmako nāma sa me saṃrakṣaṇakṣamaḥ // KAvk_64.48 //	lubDakaH padmakaH nAma sa me saMrakzaNa-kzamaH // Ka-avc-_64.48 //
   iti niścitya manasā sa gatvā lubdhakāntikam /	iti niScitya manasA sa gatvA lubDa-ka-antikam /
   svavṛttāntaṃ nivedyāsmai bandharakṣām ayācata // KAvk_64.49 //	sva-vRttAntam nivedya-asmE banDa-rakzAm ayAcata // Ka-avc-_64.49 //
   sādhakasya vadhāyaiva nāgarājena so 'rthitaḥ /	sADakasya vaDAya-eva nAga-rAjena saH arTitaH /
   dhanvī taṃ deśam abhyetya mantradhīraṃ vyalokayat // KAvk_64.50 //	DanvI tam deSam aByetya mantra-DIram vyalokayat // Ka-avc-_64.50 //
   asminn avasare mantrasādhako 'pi hutānalaḥ /	asmin avasare mantra-sADakaH api huta-analaH /
   ākṛṣṭiṃ nāgarājasya vidadhe bandhanotsukaḥ // KAvk_64.51 //	AkRzwim nAga-rAjasya vidaDe banDana-utsukaH // Ka-avc-_64.51 //
   mantrākṛṣṭe phaṇipatau kṣaṇaṃ tadbhavanodakam /	mantra-AkRzwe PaNi-patO kzaNam tat-Bavana-udakam /
   saviṣādaṃ rurodeva prodyadbudbudagadgadam // KAvk_64.52 //	sa-vizAdam rurodA-iva prodyat-budbuda-gadgadam // Ka-avc-_64.52 //
   saṃtrāsavihvalabhujaṅgavadhūviṣādaniśvāsavegavihitojjvalaphenamālam /	saMtrAsa-vihvala-BujaFga-vaDU-vizAda-niSvAsa-vega-vihita-ujjvala-Pena-mAlam /
   rakṣārthanām iva cakāra taraṅgahastasaktāñjali prabalakampavilolam ambhaḥ	rakzA-arTanAm iva cakAra taraFga-hasta-sakta-aQjali prabala-kampa-vilolam amBaH
   // KAvk_64.53 //	// Ka-avc-_64.53 //
   ātte vidyābalāt tena nāge garudatejasā /	Atte vidyA-balAt tena nAge garuda-tejasA /
   saṃkocakuṭilābhoge kṣipte ca jalabhājane // KAvk_64.54 //	saMkoca-kuwila-ABoge kzipte ca jala-BAjane // Ka-avc-_64.54 //
   taṃ hemalubdhaṃ bāṇena trāsasaṃdigdhalocanam /	tam hema-lubDam bANena trAsa-saMdigDa-locanam /
   vivyādha dhanur ākṛṣya viṣadigdhena lubdhakaḥ // KAvk_64.55 //	vivyADa DanuH AkRzya viza-digDena lubDakaH // Ka-avc-_64.55 //
   magnabāṇaṃ tam abhyetya bhūyastyaktabhujaṅgamaṃ /	magna-bANam tam aByetya BUyas-tyakta-BujaFgamam /
   karālakaravālena viśiraskaṃ cakāra saḥ // KAvk_64.56 //	karAla-karavAlena viSiraskam cakAra saH // Ka-avc-_64.56 //
   sā vidyābandhakī tasya lobhād anyopayoginī /	sA vidyAbanDakI tasya loBAt anya-upayoginI /
   abhūt siddhāpi mugdhasya svavināśāya kevalam // KAvk_64.57 //	aBUt sidDA-api mugDasya sva-vinASAya kevalam // Ka-avc-_64.57 //
   yuktāḥ paropatāpāya vidyāvibhavaśaktayaḥ /	yuktAH para-upatApAya vidyA-viBava-SaktayaH /
   sahasaiva vimūḍhānāṃ vinaśyanti sahāsubhiḥ // KAvk_64.58 //	sahasA-eva vimUXAnAm vinaSyanti sahAsuBiH // Ka-avc-_64.58 //
   tataḥ praharṣasaṃpūrṇaḥ kṛtajñaḥ phaṇināyakaḥ /	tatas praharza-saMpUrNaH kRtajQaH PaNinAyakaH /
   taṃ nināya svabhavanaṃ lubdhakaṃ snehalubdhadhīḥ // KAvk_64.59 //	tam ninAya sva-Bavanam lubDakam sneha-lubDa-DIH // Ka-avc-_64.59 //
   tatra ratnalatodyānavimānamaṇiveśmasu /	tatra ratna-lata-udyAna-vimAna-maNi-veSmasu /
   abhyarcyamānaś citreṇa kaṃ cit kālam uvāsa saḥ // KAvk_64.60 //	aByarcyamAnaH citreNa kam cit kAlam uvAsa saH // Ka-avc-_64.60 //
   kadā cid atha nāgena pūjyamānaṃ savismayaḥ /	kadA cit aTa nAgena pUjyamAnam sa-vismayaH /
   vidyuddāmopamaṃ pāśam amoghākhyaṃ dadarśa saḥ // KAvk_64.61 //	vidyut-dAma-upamam pASam amoGa-AKyam dadarSa saH // Ka-avc-_64.61 //
   taṃ dṛṣṭvā tatprabhāvaṃ ca śrutvā nāganiveditam /	tam dRzwvA tad-praBAvam ca SrutvA nAga-niveditam /
   yatnāt tadarthanāṃ cakre lubdhako lubdhamānasaḥ // KAvk_64.62 //	yatnAt tad-arTanAm cakre lubDakaH lubDa-mAnasaH // Ka-avc-_64.62 //
   ajayyaṃ samarodyoge surāṇām api bandhanaṃ /	ajayyam samara-udyoge surANAm api banDanam /
   taṃ jīvitādhikaṃ tasmai dadau prītyā phaṇīśvaraḥ // KAvk_64.63 //	tam jIvita-aDikam tasmE dadO prItyA PaNISvaraH // Ka-avc-_64.63 //
   tatas taṃ pāśam ādāya citram āmantrya lubdhakaḥ /	tatas tam pASam AdAya citram Amantrya lubDakaH /
   uttīrya nāgabhavanāl labdhārthaḥ svapadaṃ yayau // KAvk_64.64 //	uttIrya nAga-BavanAt labDa-arTaH sva-padam yayO // Ka-avc-_64.64 //
   nāgaprabhāvasaṃprāptāṃ ciraṃ bhuktvā sa saṃpadam /	nAga-praBAva-saMprAptAm ciram BuktvA sa saMpadam /
   putrāyotpalakākhyāya pāśaṃ dattvā vyapadyata // KAvk_64.65 //	putrAya-utpalaka-AKyAya pASam dattvA vyapadyate // Ka-avc-_64.65 //
   pālayan pitur ācāraṃ so 'pi lubdhakumārakaḥ /	pAlayan pituH AcAram saH api lubDa-kumArakaH /
   munes tasya kulasthityā paricaryāparo 'bhavat // KAvk_64.66 //	muneH tasya kula-sTityA paricaryA-paraH aBavat // Ka-avc-_64.66 //
   tataḥ kadā cit sa muner viśrāntasya sthitaḥ puraḥ /	tatas kadA cit sa muneH viSrAntasya sTitaH puras /
   śuśrāva kākalīgītaṃ kīrṇaṃ karṇarasāyanam // KAvk_64.67 //	SuSrAva kAkalI-gItam kIrNam karNa-rasAyanam // Ka-avc-_64.67 //
   gītaśravaṇaniṣpandanilīnahariṇaṃ vanam /	gIta-SravaNa-nizpanda-nilIna-hariNam vanam /
   citranyastam ivālokya so 'pṛcchad vismito munim // KAvk_64.68 //	citra-nyastam iva-Alokya saH apRcCat vismitaH munim // Ka-avc-_64.68 //
   kamalābandhasaṃruddhamadhupadhvanisodaraḥ /	kamalAbanDa-saMrudDa-maDupa-Dvani-sodaraH /
   kuto 'yaṃ kokilālāpalalitaḥ śrūyate svanaḥ // KAvk_64.69 //	kutas ayam kokilAlApa-lalitaH SrUyate svanaH // Ka-avc-_64.69 //
   iti lubdhakaputreṇa pṛṣṭas taṃ munir abravīt /	iti lubDaka-putreNa pRzwaH tam muniH abravIt /
   gāyanti madhurālāpam etaṃ kinnarakanyakāḥ // KAvk_64.70 //	gAyanti maDura-AlApam etam kinnara-kanyakAH // Ka-avc-_64.70 //
   drumasya kinnarapateḥ kanyā kanyāśatair vṛtā /	drumasya kinnarapateH kanyA kanyA-SatEH vRtAH /
   pañcabhir nāgabhavane krīḍaty eṣā manoharā // KAvk_64.71 //	paQcaBiH nAga-Bavane krIxati ezA manoharA // Ka-avc-_64.71 //
   śrutvaitat kautukākrāntaḥ sa punar munim abhyadhāt /	SrutvA-etat kOtuka-AkrAntaH sa punar munim aByaDAt /
   api śaknoti puruṣaḥ prāptuṃ kinnarakanyakām // KAvk_64.72 //	api Saknoti puruzaH prAptum kinnara-kanyakAm // Ka-avc-_64.72 //
   tam uvāca munir yasya bhavet pāśaḥ karāgragaḥ /	tam uvAca muniH yasya Bavet pASaH kara-agra-gaH /
   amoghākhyaḥ sa śaknoti hartuṃ kinnarakāminīm // KAvk_64.73 //	amoGa-AKyaH sa Saknoti hartum kinnara-kAminIm // Ka-avc-_64.73 //
   etad ākarṇya sotsāhas taṃ praṇamyātha lubdhakaḥ /	etat AkarNya sa-utsAhaH tam praNamya-aTa lubDakaH /
   prayayau pāśam ādāya bhogīndrabhavanāntikam // KAvk_64.74 //	prayayO pASam AdAya Bogi-indra-Bavana-antikam // Ka-avc-_64.74 //
   tatra kelivilāsāṅkaṃ so 'paśyat kinnarīgaṇam /	tatra keli-vilAsa-aFkam saH apaSyat kinnarI-gaNam /
   bibhrāṇam anilālolahemavallīvanaśriyam // KAvk_64.75 //	biBrANam anila-Alola-hema-vallI-vana-Sriyam // Ka-avc-_64.75 //
   madbye snānotthitāṃ tāsāṃ sa dadarśa manoharām /	madbye snAna-utTitAm tAsAm sa dadarSa manoharAm /
   smarasyeva trinetrāgninirvāṇajaladevatām // KAvk_64.76 //	smarasya-iva trinetra-agni-nirvANa-jala-devatAm // KAvc-_64.76 //
   anaṅgavibhramārambhanirbharormiṇi yauvane /	anaFga-viBrama-AramBa-nirBara-UrmiNi yOvane /
   majjataḥ śaiśavasyeva kurvāṇām avalambanam // KAvk_64.77 //	majjataH SESavasya-iva kurvANAm avalambanam // Ka-avc-_64.77 //
   mekhalābaddhasaṃnaddhadivyāmbaramanoramām /	meKalA-badDa-saMnadDa-divya-ambara-manoramAm /
   jalakelikalāsaktasphāraphenāvalīm iva // KAvk_64.78 //	jala-keli-kalA-Asakta-sPAra-Pena-AvalIm iva // Ka-avc-_64.78 //
   lāvaṇyaprasṛteneva pravāhena mahīyasā /	lAvaNya-prasRtena-iva pravAhena mahIyasA /
   harantīṃ tārahāreṇa śaśiśubhraniśāśriyam // KAvk_64.79 //	harantIm tAra-hAreNa SaSi-SuBra-niSA-Sriyam // Ka-avc-_64.79 //
   kalayantīṃ jalollīḍhāṃ līlāpattralatāṃ punaḥ /	kalayantIm jala-ullIXAm lIlA-pattra-latAm punar /
   karṇābharaṇaratnāṃśukalāpena kapolayoḥ // KAvk_64.80 //	karNa-ABaraNa-ratna-aMSu-kalApena kapolayoH // Ka-avc-_64.80 //
   kastūrīlekhayā sakhyā likhyamānalalāṭikām /	kastUrI-leKayA saKyA liKyamAna-lalAwikAm /
   kalaṅkakalanāklaibyaṃ śamayantīṃ himatviṣaḥ // KAvk_64.81 //	kalaFka-kalanA-klEbyam SamayantIm hima-tvizaH // Ka-avc-_64.81 //
   tāṃ dṛṣṭvā vismayāveśapāśenākṛṣṭamānasaḥ /	tAm dRzwvA vismaya-AveSa-pASena-AkRzwa-mAnasaH /
   cakre pāśam amoghākhyaṃ sajjaṃ sapadi lubdhakaḥ // KAvk_64.82 //	cakre pASam amoGa-AKyam sajjam sapadi lubDakaH // Ka-avc-_64.82 //
   tataḥ saṃtrāsataralāḥ sahasā hariṇekṣaṇāḥ /	tatas saMtrAsa-taralAH sahasA hariNa-IkzaNAH /
   kinnaryo divam utpetuḥ pāśahastaṃ vilokya taṃ // KAvk_64.83 //	kinnaryaH divam utpetuH pASa-hastam vilokya tam // Ka-avc-_64.83 //
   laghuhastatayā kṣiptvā pāśaṃ cakitalocanām /	laGu-hasta-tayA kziptvA pASam cakita-locanAm /
   manoharāṃ sa jagrāha hariṇīm iva lubdhakaḥ // KAvk_64.84 //	manoharAm sa jagrAha hariNIm iva lubDakaH // Ka-avc-_64.84 //
   sā pāśavivaśā tena kṛṣṭā kaṣṭadaśāṃ śritā /	sA pASa-vivaSA tena kRzwA kazwa-daSAm SritA /
   kim etad iti nājñāsīt kṣaṇamūrcchānimīlitā // KAvk_64.85 //	kim etat iti na-ajQAsIt kzaNa-mUrcCA-nimIlitAH // Ka-avc-_64.85 //
   yūthabhraṣṭeva hariṇī svajanālokanāśayā /	yUTa-BrazwA-iva hariNI sva-jana-AlokanASayA /
   nirīkṣamāṇā kakubhaḥ sā saṃbhrāntā tam abhyadhāt // KAvk_64.86 //	nirIkzamANA kakuBaH sA saMBrAntA tam aByaDAt // Ka-avc-_64.86 //
   muñca muñca dṛḍhākṣiptāṃ mā sprākṣīḥ parirakṣa mām /	muQca muQca dRXa-AkziptAm mA sprAkzIH parirakza mAm /
   krūrā api bhavanty eva śokārtiṣu kṛpālavaḥ // KAvk_64.87 //	krUrAH api Bavanti eva Soka-Artizu kRpAlavaH // Ka-avc-_64.87 //
   lobhād anuttamapadaprayuktā divyakanyakā /	loBAt anuttama-pada-prayuktA divya-kanyakA /
