   vaitathyaprakaraṇam	vEtaTya-prakaraNam
   antaḥ saṃvṛtasthānād ityarthaḥ /	antar saMvRta-sTAnAt iti-arTaH /
   na hy antaḥ saṃvṛte dehento nāḍīṣu parvatahastyādīnāṃ saṃbhavo 'sti, na hi	na hi antar saMvRte dehentaH nAxIzu parvata-hasti-AdInAm saMBavaH asti, na hi
   dehe parvataḥ, asti //1//	dehe parvataH, asti //1//
   START MandUpK 2.2	START Mandu-upK 2.2
   svapnadṛśyānāṃ bhāvānāmantaḥ saṃvṛtasthānamityetad asiddham, yasmāt	svapna-dRSyAnAm BAvAnAm-antar saMvRta-sTAnam-iti-etat asidDam, yasmAt-
   prācyeṣu supta udakṣu svapnān paśyann iva dṛśyata ityetad āśaṅkyāha	prAcyezu suptaH udakzu svapnAn paSyan iva dRSyate iti-etat ASaFkya-Aha
   adīrghatvāc ca kālasya gatvā deśān na paśyati /	adIrGa-tvAt ca kAlasya gatvA deSAt na paSyati /
   pratibuddhaś ca vai sarvas tasmin deśe na vidyate // MandUpK_2.2 //	pratibudDaH ca vE sarvaH tasmin deSe na vidyate // Mandu-upK_2.2 //
   MandUpKC_2.2	Mandu-upKC_2.2
   na dehādbarhideśāntaraṃ gatvā svapnān paśyati /	na dehAt-barhi-deSa-antaram gatvA svapnAn paSyati /
   yasmāt suptamātra eva dehadeśād yojanaśatāntarite māsamātraprāpye deśe	yasmAt supta-mAtre eva deha-deSAt yojana-Sata-antarite mAsa-mAtra-prApye deSe
   svapnān paśyann iva dṛśyate /	svapnAn paSyan iva dRSyate /
   na ca tad deśaprāpter āgamanasya dīrghaḥ kālo 'sti /	na ca tat deSa-prApteH Agamanasya dIrGaH kAlaH asti /
   ato dārghatvāc ca kālasya na svapnadṛgdeśāntaraṃ gacchati /	atas dArGa-tvAt ca kAlasya na svapna-dRS-deSa-antaram gacCati /
   kiṃ ca pratibuddhaś ca vai sarvaḥ svapnadṛksvapnadarśanadeśe na vidyate /	kim ca pratibudDaH ca vE sarvaH svapna-dRS-svapna-darSana-deSe na vidyate /
   yadi ca svapne deśāntaraṃ gacched yasmin deśe svapnān paśyet tatraiva	yadi ca svapne deSa-antaram gacCet yasmin deSe svapnAn paSyet tatra-eva
   pratibudhyeta /	pratibuDyeta /
   na caitad asti /	na ca-etat asti /
   rātrau supto 'hanīva bhāvān paśyati, bahubhiḥ saṃgato bhavati, yaś ca	rAtrO suptaH ahani-iva BAvAn paSyati, bahuBiH saMgataH Bavati, yaH ca
   saṃgataḥ tair gṛhyeta /	saMgataH tEH gRhyeta /
   na ca gṛhyate, gṛhītaścetvām adya tatropalabdhavanto vayam iti vayamiti	na ca gRhyate, gRhItaH-cetvAm adya tatra-upalabDavantaH vayam iti vayam-iti
   brūyuḥ /	brUyuH /
   na caitad asti tasmān na deśāntaraṃ gacchati svapne //2//	na ca-etat asti tasmAt na deSa-antaram gacCati svapne //2//
   START MandUpK 2.3	START Mandu-upK 2.3
   itaś ca svapnadṛśyā bhāvā vitathā yataḥ	itas ca svapna-dRSyAH BAvAH vitaTA yatas-
   abhāvaś ca rathādīnāṃ śrūyate nyāyapūrvakam /	aBAvaH ca raTa-AdInAm SrUyate nyAya-pUrvakam /
   vaitathyaṃ tena vai prāptaṃ svapna āhuḥ prakāśitam // MandUpK_2.3 //	vEtaTyam tena vE prAptam svapnaH AhuH prakASitam // Mandu-upK_2.3 //
   MandUpKC_2.3	Mandu-upKC_2.3
   abhāvaś caiva rathādīnāṃ svapnadṛśyānāṃ śrūyate nyāyapūrvakaṃ yuktitaḥ	aBAvaH ca-eva raTa-AdInAm svapna-dRSyAnAm SrUyate nyAya-pUrvakam yuktitaH
   śrutau"na tatra rathāḥ"(bṛ.u.4 / 3 / 10) ity atra /	SrutO"na tatra raTAH"(bR.u.4 / 3 / 10) iti atra /
   dehāntaḥ sthānasaṃvṛtatvādihetunā prāptaṃ vaikathyaṃ tad anuvādinyā śrutyā	dehAntar sTAna-saMvRta-tva-Adi-hetunA prAptam vEkaTyam tat anuvAdinyA SrutyA
   svapne svayañjyotiṣṭvapratipādanaparayā prakāśitamāhur brahmavidaḥ //3//	svapne svayan-jyotizwva-pratipAdana-parayA prakASitam-AhuH brahma-vidaH //3//
   START MandUpK 2.4	START Mandu-upK 2.4
   antasthānāt tu bhedānāṃ tasmāj jāgarite smṛtam /	anta-sTAnAt tu BedAnAm tasmAt jAgarite smRtam /
   yathā tatra tathā svapne saṃvṛtatvena bhidyate // MandUpK_2.4 //	yaTA tatra taTA svapne saMvRta-tvena Bidyate // Mandu-upK_2.4 //
   MandUpKC_2.4	Mandu-upKC_2.4
   jāgrad dṛśyānāṃ bhāvānāṃ vaitathyam iti pratijñā /	jAgrat dRSyAnAm BAvAnAm vEtaTyam iti pratijQA /
   dṛśyatvād iti hetuḥ svapnadṛśyabhāvavad iti dṛṣṭāntaḥ /	dRSya-tvAt iti hetuH svapna-dRSya-BAva-vat iti dRzwAntaH /
   yathā tatra svapne dṛśyānāṃ bhāvānāṃ vaitathyaṃ tathā jāgarite 'pi	yaTA tatra svapne dRSyAnAm BAvAnAm vEtaTyam taTA jAgarite api
   dṛśyatvam aviśiṣṭam iti hetūpanayaḥ /	dRSya-tvam aviSizwam iti hetu-upanayaH /
   tasmāj jāgarite 'pi vaitathyaṃ smṛtam iti nigamanam /	tasmAt jAgarite api vEtaTyam smRtam iti nigamanam /
   antaḥsthānāt saṃvṛtatvena ca svapnadṛśyānāṃ bhāvānāṃ jāgrad dṛśyebhyaḥ	antar-sTAnAt saMvRta-tvena ca svapna-dRSyAnAm BAvAnAm jAgrat dRSyeByaH
   bhedaḥ /	BedaH /
   dṛśyatvam asatyatvaṃ cāviśiṣṭam ubhayatra //4//	dRSya-tvam asatya-tvam ca-aviSizwam uBayatra //4//
   START MandUpK 2.5	START Mandu-upK 2.5
   svapnajāgaritasthāne hy ekam āhur manīṣiṇaḥ /	svapna-jAgarita-sTAne hi ekam AhuH manIziNaH /
   bhedānāṃ hi samatvena prasiddhenaiva hetunā // MandUpK_2.5 //	BedAnAm hi samatvena prasidDena-eva hetunA // Mandu-upK_2.5 //
   MandUpKC_2.5	Mandu-upKC_2.5
   prasiddhenaiva bhedānāṃ grāhyagrāhakatvena hetunā samatvena	prasidDena-eva BedAnAm grAhya-grAhaka-tvena hetunA samatvena
   svapnajāgaritasthānayor ekatvamāhurvivekina iti pūrvapramāṇasiddhasyaiva	svapna-jAgarita-sTAnayoH eka-tvam-AhuH-vivekinaH iti pUrva-pramANa-sidDasya-eva
   phalam //5//	Palam //5//
   START MandUpK 2.6	START Mandu-upK 2.6
   itaś ca vaitathyaṃ jāgrad dṛśyānāṃ bhedānām ādyantayor abhāvāt /	itas ca vEtaTyam jAgrat dRSyAnAm BedAnAm Adi-antayoH aBAvAt /
   ādāvante ca yan nāsti vartamāne 'pi tat tathā /	AdO=-ante ca yat na-asti vartamAne api tat taTA /
   vitathaiḥ sadṛśāḥ santo 'vitathā iva lakṣitāḥ // MandUpK_2.6 //	vitaTEH sadRSAH santaH avitaTAH iva lakzitAH // Mandu-upK_2.6 //
   MandUpKC_2.6	Mandu-upKC_2.6
   yadādāv ante ca nāsti vastu mṛgatṛṣṇikādi tanmadhye 'pi nāsty ati niścitaṃ	yat-AdO ante ca na-asti vastu mRgatRzNikA-Adi tad-maDye api na-asti ati niScitam
   loke tatheme jāgrad dṛśyā bhedāḥ /	loke taTA-ime jAgrat dRSyAH BedAH /
   ādyantayor abhāvād vitathair eva mṛgatṛṣṇikādibhiḥ sadṛśatvād vitathā eva	Adi-antayoH aBAvAt vitaTEH eva mRgatRzNikA-AdiBiH sadRSa-tvAt vitaTAH eva
   tathāpi vitathā iva lakṣitā mūḍhair anātmavidbhiḥ //6//	taTA-api vitaTAH iva lakzitAH mUXEH anAtma-vidBiH //6//
   START MandUpK 2.7	START Mandu-upK 2.7
   svapnadṛśyavajjāgaritadṛśyānām api satvam iti yad uktaṃ tad ayuktam /	svapna-dRSya-vat-jAgarita-dRSyAnAm api satvam iti yat uktam tat ayuktam /
   yasmāj jāgrad dṛśyā annapānavāhanādayaḥ kṣutpipāsādinivṛttiṃ kurvanto	yasmAt jAgrat dRSyAH anna-pAna-vAhana-AdayaH kzuD-pipAsA-AdinivRttim kurvantaH-
   gamanāgamanādikāryaṃ ca saprayojānā dṛṣṭāḥ /	gamana-Agamana-Adi-kAryam ca sa-prayojAnAH dRzwAH /
   na tu svapnadṛśyānāṃ tad asti /	na tu svapna-dRSyAnAm tat asti /
   tasmāt svapnadṛśyavad jāgrad dṛśyānām asatvaṃ manorathamātram iti /	tasmAt svapna-dRSya-vat jAgrat dRSyAnAm asatvam manoraTa-mAtram iti /
   tan na /	tat na /
   kasmāt? yasmāt	kasmAt? yasmAt-
   saprayojanatā teṣāṃ svapne vipratipadyate /	sa-prayojana-tA tezAm svapne vipratipadyate /
   tasmād ādyantavatvena mithyaiva khalu te smṛtāḥ // MandUpK_2.7 //	tasmAt Adi-antava-tvena miTyA-eva Kalu te smRtAH // Mandu-upK_2.7 //
   MandUpKC_2.7	Mandu-upKC_2.7
   saprayojanatā dṛṣṭā yā annapānādīnāṃ sā svapne vipratipadyate /	sa-prayojana-tA dRzwA yA anna-pAna-AdInAm sA svapne vipratipadyate /
   jāgarite hi bhuktvā pītvā ca tṛpto vinivartitatṛṭsuptamātra eva	jAgarite hi BuktvA pItvA ca tRptaH vinivartita-tRz-supta-mAtraH eva
   kṣutpipāsādyārtam ahorātroṣitaṃ bhuktavantam ātmānaṃ manyate /	kzuD-pipAsA-Adi-Artam ahorAtra-uzitam Buktavantam AtmAnam manyate /
   yathā spapne bhuktvā pītvā ca tṛpta utthitas tathā /	yaTA spapne BuktvA pItvA ca tRptaH utTitaH taTA /
   tasmād jāgrad dṛśyānāṃ svapne vipratipattir dṛṣṭā /	tasmAt jAgrat dRSyAnAm svapne vipratipattiH dRzwA /
   ato manyāmahe teṣām apy asatvaṃ spapnadṛśyavadanāśaṅkanīyam iti /	atas manyAmahe tezAm api asatvam spapna-dRSya-vadanASaFkanIyam iti /
   tasmād ādyantavatvamubhayatra samānam iti mithyā iva khalu te smṛtāḥ //7//	tasmAt Adi-antava-tvam-uBayatra samAnam iti miTyA iva Kalu te smRtAH //7//
   START MandUpK 2.8	START Mandu-upK 2.8
   svapnajāgradbhedayoḥ samatvāj jāgradbhedānām asatvam iti yad uktaṃ tadasat	svapna-jAgrat-BedayoH sama-tvAt jAgrat-BedAnAm asatvam iti yat uktam tat-asat
   kasmāt?	kasmAt-?
   dṛṣṭāntasyāsiddhatvāt /	dRzwAntasya-asidDa-tvAt /
   katham?	kaTam?
   na hi jāgrad dṛṣṭā evaite bhedāḥ svapne dṛśyante /	na hi jAgrat dRzwAH eva-ete BedAH svapne dRSyante /
   kiṃ tarhi?	kim tarhi?
   apūrvaṃ svapne paśyati, caturdantagajamārūṭhamaṣṭabhujamātmānaṃ manyate /	apUrvam svapne paSyati, catur-danta-gajam-ArUWam-azwa-Bujam-AtmAnam manyate /
   anyad apy evaṃprakāram apūrvaṃ paśyati svapne /	anyat api evaMprakAram apUrvam paSyati svapne /
   tan nānyenā asatā samam iti sadeva /	tat na-anyenA asatA samam iti sat-eva /
   ato dṛṣṭānto 'siddhaḥ /	atas dRzwAntaH asidDaH /
   tasmātsvapnavajjāgaritasyāsatvamity ayuktam /	tasmAt-svapna-vat-jAgaritasya-asatvam-iti ayuktam /
   tan na, svapne dṛṣṭam apūrvaṃ yan manyase na tatsvataḥ siddham /	tat na, svapne dRzwam apUrvam yat manyase na tad-svatas sidDam /
   kiṃ tarhi?	kim tarhi?
   apūrvaṃ sthānidharmo hi yathā svarganivāsinām /	apUrvam sTAni-DarmaH hi yaTA svarga-nivAsinAm /
   tānayaṃ prekṣate gatvā yathaiveha suśikṣitaḥ // MandUpK_2.8 //	tAn-ayam prekzate gatvA yaTA-eva-iha su-SikzitaH // Mandu-upK_2.8 //
   MandUpKC_2.8	Mandu-upKC_2.8
   apūrvaṃ sthānidharmo hi sthānino draṣṭur eva hi svapnasthānavato dharmaḥ /	apUrvam sTAni-DarmaH hi sTAninaH drazwuH eva hi svapna-sTAnavataH DarmaH /
   yathā svarganivāsināmindrādīnāṃ sahasrākṣatvādi tathā svapnadṛśo 'pūrvo	yaTA svarga-nivAsinAm-indra-AdInAm sahasrAkza-tva-Adi taTA svapna-dRSaH apUrvaH-
   'yaṃ dharmaḥ /	ayam DarmaH /
   na svataḥ siddho draṣṭuḥ svarūpavat /	na svatas sidDaH drazwuH svarUpa-vat /
   tānevaṃprakārānapūrvānsvacittavikalpānayaṃ sthānī svapnadṛksvapnasthāne	tAn-evaMprakArAn-apUrvAn-sva-citta-vikalpAn-ayam sTAnI svapna-dRS-svapna-sTAne
   gatvā prekṣate /	gatvA prekzate /
   yathaiveha loke suśikṣito deśāntaramārgastane mārgeṇa deśāntaraṃ gatvā	yaTA-eva-iha loke su-SikzitaH deSa-antara-mArga-stane mArgeNa deSa-antaram gatvA
   tānpadārthānpaśyati tadvat /	tAn-padArTAn-paSyati tadvat /
   tasmādyathā sthānidharmāṇāṃ rajjusarpamṛgatṛṣṇikādīnāmasatvaṃ tathā	tasmAt-yaTA sTAni-DarmANAm rajju-sarpa-mRga-tRzNikA-AdInAm-asatvam taTA
   svapnadṛṣyānāmapūrvāṇāṃ sthānidharmatvamevetyasattvamato na	svapna-dRzyAnAm-apUrvANAm sTAni-Darma-tvam-eva-iti-asattvam-atas na
   svapnadṛṣṭāntasyāsiddhatvam //8//	svapna-dRzwAntasya-asidDa-tvam //8//
   START MandUpK 2.9	START Mandu-upK 2.9
   apūrvatvāśaṅkā nirākṛtā svapnadṛṣṭāntasya punaḥ svapnatulyatāṃ	apUrva-tva-ASaFkA nirAkRtA svapna-dRzwAntasya punar svapna-tulya-tAm
   jāgradbhedānāṃ prapañcayannāha	jAgrat-BedAnAm prapaQcayan=-Aha
   svapnavṛttāv api tv antaś cetasā kalpitaṃ tv asat /	svapna-vRttO api tu antar cetasA kalpitam tu asat /
   bahiś cetogṛhītaṃ sad dṛṣṭaṃ vaitathyam etayoḥ // MandUpK_2.9 //	bahis cetaH-gRhItam sat dRzwam vEtaTyam etayoH // Mandu-upK_2.9 //
   MandUpKC_2.9	Mandu-upKC_2.9
   svapnavṛttāv api svapnasthāne 'py antaś cetasā manorathasaṅkalpitam asat /	svapna-vRttO api svapna-sTAne api antar cetasA manoraTa-saFkalpitam asat /
   saṅkalpānantarasamakālam evādarśanāt tatraiva svapne bahiś cetasā gṛhītaṃ	saFkalpa-anantara-sama-kAlam eva-adarSanAt tatra-eva svapne bahis cetasA gRhItam
   cakṣurādidvāreṇopalabdhaṃ ghaṭādi sat /	cakzuH-Adi-dvAreNa-upalabDam Gawa-Adi sat /
   ity eva satyam iti niścite 'pi sadasadvibhāgo dṛṣṭaḥ /	iti eva satyam iti niScite api sat-asat-viBAgaH dRzwaH /
   ubhayorapyantarbahiścetaḥ kalpitayorvaitathyameva dṛṣṭam //9//	uBayoH-api-antar-bahis-cetaH kalpitayoH-vEtaTyam-eva dRzwam //9//
   START MandUpK 2.10	START Mandu-upK 2.10
   jāgradvṛttāvapi tv antaś cetasā kalpitaṃ tv asat /	jAgrat-vRttO=-api tu antar cetasA kalpitam tu asat /
   bahiścetogṛhītaṃ sad yuktaṃ vaitathyam etayoḥ // MandUpK_2.10 //	bahis-cetaH-gRhItam sat yuktam vEtaTyam etayoH // Mandu-upK_2.10 //
   MandUpKC_2.10	Mandu-upKC_2.10
   sadasatorvaitathyaṃ yuktam, antarbahiścetaḥkalpitatvāviśeṣāditi	sat-asatoH-vEtaTyam yuktam, antar-bahis-cetas-kalpita-tva-aviSezAt-iti
   vyākhyātamanyat //10//	vyAKyAtam-anyat //10//
   START MandUpK 2.11	START Mandu-upK 2.11
   codaka āha	ca-udakaH Aha
   ubhayor api vaitathyaṃ bhedānāṃ sthānayor yadi /	uBayoH api vEtaTyam BedAnAm sTAnayoH yadi /
   ka etān budhyate bhedān ko vai teṣāṃ vikalpakaḥ // MandUpK_2.11 //	kaH etAn buDyate BedAn kaH vE tezAm vikalpakaH // Mandu-upK_2.11 //
   MandUpKC_2.11	Mandu-upKC_2.11
   svapnajāgratsthānayorbhedānāṃ yadi vaitathyaṃ ka	svapna-jAgrat-sTAnayoH-BedAnAm yadi vEtaTyam ka
   etānarbahiścetaḥkalpitānbudhyate /	etAn-arbahis-cetaH-kalpitAn-buDyate /
   ko vai teṣāṃ vikalpakaḥ /	kaH vE tezAm vikalpakaH /
   smṛtijñānayoḥ ka ālambanamityabhiprāyaḥ, na cennirātmavāda iṣṭaḥ //11//	smRti-jQAnayoH kaH Alambanam-iti-aBiprAyaH, na ced-nirAtma-vAdaH izwaH //11//
   START MandUpK 2.12	START Mandu-upK 2.12
   kalpayaty ātmanātmānam ātmā devaḥ svamāyayā /	kalpayati AtmanA-AtmAnam AtmA devaH sva-mAyayA /
   sa eva budhyate bhedān iti vedāntaniścayaḥ // MandUpK_2.12 //	saH eva buDyate BedAn iti vedAnta-niScayaH // Mandu-upK_2.12 //
   MandUpKC_2.12	Mandu-upKC_2.12
   svayaṃ svamāyayā svamātmānamātsā deva ātmanyeva vakṣyamāṇaṃ bhedākāraṃ	svayam sva-mAyayA svam-AtmAna-mAtsAH devaH Atmani-eva vakzyamANam Beda-AkAram
   kalpayati rajjvādāviva sarpādīn svayameva ta tānbudhyate	kalpayati rajju-AdO=-iva sarpa-AdIn svayam-eva te tAn-buDyate
   bhedāṃstadvadevetyevaṃ vedāntaniścayaḥ /	BedAn=-tadvat-eva-iti-evam vedAnta-niScayaH /
   nānyo 'sti jñānasmṛtyāśrayo na ca nirāspada eva jñānasmṛtī	na-anyaH asti jQAna-smRti-ASrayaH na ca nirAspadaH eva jQAna-smRtI
   vaināśikānāmivetyabhiprāyaḥ //12//	vEnASikAnAm-iva-iti-aBiprAyaH //12//
   START MandUpK 2.13	START Mandu-upK 2.13
   saṅkalpayankena prakāreṇa kalpayatītyucyate	saFkalpayan-kena prakAreNa kalpayati-iti-ucyate
   vikaroty aparān bhāvān antaścitte vyavasthitān /	vikaroti aparAn BAvAn antar-citte vyavasTitAn /
   niyatāṃś ca bahiścitta evaṃ kalpayate prabhuḥ // MandUpK_2.13 //	niyatAn ca bahis-cittaH evam kalpayate praBuH // Mandu-upK_2.13 //
   MandUpKC_2.13	Mandu-upKC_2.13
   vikaroti nānā karotyaparāṃl laukikān bhāvān padārthāñ	vikaroti nAnA karoti-aparAn lOkikAn BAvAn padArTAn-
   śabdādīnanyāṃścāntaścitte vāsanārūpeṇa vyavasthitānavyākṛtān niyatāṃśca	Sabda-AdIn-anyAn=-ca-antar-citte vAsanA-rUpeNa vyavasTita-an-avyAkRtAn niyatAn=-ca
   pṛthvyādīnaniyatāṃśca kalpanākālānbahiścittaḥ saṃstathāntaścitto	pRTvI-AdIn-a-niyatAn=-ca kalpanA-kAlAn-bahis-cittaH san=-taTa-antar-cittaH-
   manorathādilakṣaṇānityevaṃ kalpayati prabhurīśvara ātmetyarthaḥ //13//	manoraTa-Adi-lakzaNAn-iti-evam kalpayati praBuH-ISvaraH AtmA-iti-arTaH //13//
   START MandUpK 2.14	START Mandu-upK 2.14
   svapnavaccittaparikalpitaṃ sarvamityetadāśaṅkyate /	svapna-vat-citta-parikalpitam sarvam-iti-etat-ASaFkyate /
   yasmāccittaparikalpitairmanorathādilakṣaṇaiścittaparicchedyaivailakṣaṇyaṃ	yasmAt-citta-parikalpitEH-manoraTa-Adi-lakzaNEH-citta-paricCedya-eva-elakzaNyam
   bāhyānāmanyonyaparicchedyatvamiti //	bAhyAnAm-anyonya-paricCedya-tvam-iti //
   sā na yuktāśaṅkā /	sA na yukta-ASaFkA /
   cittakālā hi ye 'ntas tu dvayakālāś ca ye bahiḥ /	citta-kAlAH hi ye antar tu dvaya-kAlAH ca ye bahis /
   kalpitā eva te sarve viśeṣo nānyahetukaḥ // MandUpK_2.14 //	kalpitAH eva te sarve viSezaH na-anya-hetukaH // Mandu-upK_2.14 //
   MandUpKC_2.14	Mandu-upKC_2.14
   cittakālā hi ye 'ntastu cittaparicchedyāḥ, nānyaścittakālavyatirekeṇa	citta-kAlAH hi ye antaH-tu citta-paricCedyAH, na-anyaH-citta-kAla-vyatirekeNa
   paricchedakaḥ kālo yeṣāṃ te cittakālāḥ /	paricCedakaH kAlaH yezAm te citta-kAlAH /
   kalpanākāla evopalabhyanta ityarthaḥ /	kalpanA-kAle eva-upalaByante iti-arTaH /
   dvayakālāśca bhedakālā anyonyaparicchedyāḥ /	dvaya-kAlAH-ca Beda-kAlAH anyonya-paricCedyAH /
   yathāgodohanamāste, yāvadāste tāvadgāṃ dogdhi yāvadgāṃ dogdhi tāvadāste /	yaTA-godohanam-Aste, yAvat-Aste tAvat-gAm dogDi yAvat-gAm dogDi tAvat-Aste /
   tāvānayametāvānsa iti parasparaparicchedyaparicchedakatvaṃ bāhyānāṃ	tA=-An-ayam-etAvAn-se iti paraspara-paricCedya-paricCedaka-tvam bAhyAnAm
   bhedānāṃ te dvayakalā antaścittakālā bāhyāśca dvayakālāḥ kalpitā eva te	BedAnAm te dvaya-kalAH antar-citta-kAlAH bAhyAH-ca dvaya-kAlAH kalpitAH eva te
   sarve /	sarve /
   na bāhyo dvayakālatvaviśeṣaḥ kalpitatvavyatirekeṇānyahetukaḥ /	na bAhyaH dvaya-kAla-tva-viSezaH kalpita-tva-vyatirekeNa-anya-hetukaH /
   atrāpi hi svapnadṛṣṭānto bhavatyeva //14//	atra-api hi svapna-dRzwAntaH Bavati-eva //14//
   START MandUpK 2.15	START Mandu-upK 2.15
   avyaktā eva ye 'ntas tu sphuṭā eva ca ye bahiḥ /	avyaktAH eva ye antar tu sPuwAH eva ca ye bahis /
   kalpitā eva te sarve viśeṣas tv indriyāntare // MandUpK_2.15 //	kalpitAH eva te sarve viSezaH tu indriya-antare // Mandu-upK_2.15 //
   MandUpKC_2.15	Mandu-upKC_2.15
   yadapyantaravyaktatvaṃ bhāvānāṃ manovāsanāmātrābhivyaktānāṃ sphuṭatvaṃ vā	yat-api-antar-avyakta-tvam BAvAnAm manaH-vAsanA-mAtra-aBivyaktAnAm sPuwa-tvam vA
   bahiścakṣurādīndriyāntare viśeṣo nāsau bhedānāmastitvakṛtaḥ svapne 'pi	bahis-cakzuH-Adi-indriya-antare viSezaH na-asO BedAnAm-astitva-kRtaH svapne api
   tathā darśanāt /	taTA darSanAt /
   kintarhi? indriyāntarakṛta eva /	kintarhi? indriya-antara-kRtaH eva /
   ataḥ kalpitā eva jāgtadbhāvā api svapnabhāvavaditi siddham //15//	atas kalpitAH eva jAk-tadBAvAH api svapna-BAva-vat-iti sidDam //15//
   START MandUpK 2.16	START Mandu-upK 2.16
   bāhyādhyātmikānāṃ bhāvānāmitaretaranimittanaimittikatayā kalpanāyāṃ kiṃ	bAhya-ADyAtmikAnAm BAvAnAm-itaretara-nimitta-nEmittika-tayA kalpanAyAm kim
   mūlamityucyate	mUlam-iti-ucyate
   jīvaṃ kalpayate pūrvaṃ vaco bhāvān pṛthagvidhān /	jIvam kalpayate pUrvam vacaH BAvAn pRTagviDAn /
   bāhyān ādhyātmikāṃś caiva yathāvidyas tathāsmṛtiḥ // MandUpK_2.16 //	bAhyAn ADyAtmikAn ca-eva yaTA-vidyaH taTA-asmRtiH // Mandu-upK_2.16 //
   MandUpKC_2.16	Mandu-upKC_2.16
   jīvaṃ hetuphalātmakam, ahaṃ karomi mama sukhaduḥkhe ityevaṃ lakṣaṇam,	jIvam hetu-Pala-Atmakam, aham karomi mama suKa-duHKe iti-evam lakzaNam,
   anevaṃlakṣaṇa eva śuddha ātmani rajjāviva sarpaṃ kalpayate pūrvam /	anevaMlakzaNaH eva SudDaH Atmani rajjO=-iva sarpam kalpayate pUrvam /
   tatastādarthyena kriyākārakaphalabhedena	tatas-tAdarTyena kriyA-kAraka-Pala-Bedena
   prāṇādīnnānāvidhānbhāvānbāhyānādhyātmikāṃścaiva kalpate /	prANa-AdIn-nAnAviDAn-BAvAn-bAhyAn-ADyAtmikAn=-ca-eva kalpate /
   tatra kalpanāyāṃ ko heturityucyate /	tatra kalpanAyAm kaH hetuH-iti-ucyate /
   yo 'sausvayaṅkalpito jīvaḥ sarvakalpanāyāmadhikṛtaḥ sa yathāvidyaḥ, yādṛśī	yaH asOsvayaFkalpitaH jIvaH sarva-kalpanAyAm-aDikRtaH sa yaTA-vidyaH, yAdRSI
   vidyā vijñānamasyeti yathāvidyaḥ, tathāvidhaiva smṛtistasyeti	vidyA vijQAnam-asya-iti yaTA-avidyaH, taTAviDA-eva smRtiH-tasya-iti
   tathāsmṛtirbhavati sa iti /	taTA-asmRtiH-Bavati saH iti /
   ato hetukalpanāvijñānātphalavijñānaṃ tato hetiphalasmṛtistatastadvijñānaṃ	atas hetu-kalpanA-vijQAnAt-Pala-vijQAnam tatas ha-iti-Pala-smRtiH-tatas-tad-vijQAnam
   tadarthakriyākārakatatphalabhedavijñānāni tebhyastatsmṛtistatsmṛteśca	tad-arTa-kriyA-kAraka-tad-Pala-Beda-vijQAnAni teByaH-tad-smRtiH-tad-smRteH-ca
   punastadvijñānānītyevaṃ	punar-tat-vijQAnAni-iti-evam
