   vīṇāśikhatantra	vINA-SiKa-tantra
   saṃhārāstreṇa digbandhaḥ $ prāṇāyāmapuraḥsaraḥ &	saMhAra-astreNa digbanDaH $ prANAyAma-puraHsaraH &
   prāṇāyāmais tribhir devi % ātmānaṃ tu viśodhayet // VT_69 //	prANAyAmEH triBiH devi % AtmAnam tu viSoDayet // VT_69 //
   niṣkramya recayed vāyuṃ $ navaṃ cākṛṣya pūrayet &	nizkramya recayet vAyum $ navam ca-AkRzya pUrayet &
   nirodhe kumbhakaḥ proktaḥ % prāṇāyāmaṃ prakīrtitam // VT_70 //	niroDe kumBakaH proktaH % prANAyAmam prakIrtitam // VT_70 //
   dhyātvā kālāgnibījaṃ tu $ yugāntānalasaprabham &	DyAtvA kAlAgni-bIjam tu $ yugAnta-anala-sapraBam &
   nyaset pādatale mantrī % jvālāmālākulaṃ mahat // VT_71 //	nyaset pAda-tale mantrI % jvAlA-mAlA-Akulam mahat // VT_71 //
   nirdahec cātmadehaṃ tu $ vāriṇāplāvayet tataḥ &	nirdahet ca-Atma-deham tu $ vAriNA-AplAvayet tatas &
   dagdhvā tu prākṛtaṃdehaṃ % bhasmakūṭam iva sthitam // VT_72 //	dagDvA tu prAkRtaMdeham % BasmakUwam iva sTitam // VT_72 //
   tataś cāmṛtadhārābhir $ vidyādehaṃ vicintayet &	tatas ca-amRta-DArABiH $ vidyA-deham vicintayet &
   sravantaṃ mūrdhni paramaṃ % praṇavaṃ ca adhomukham // VT_73 //	sravantam mUrDni paramam % praNavam ca aDomuKam // VT_73 //
   vāruṇāmṛtasaṃyuktaṃ $ śuddhasphaṭikanirmalam &	vAruNa-amRta-saMyuktam $ SudDa-sPawika-nirmalam &
   kaṣākhyaṃ yat smṛtaṃ bījaṃ % rephadvayasamāyutam // VT_74 //	kazAKyam yat smRtam bIjam % rePa-dvaya-samAyutam // VT_74 //
   adha oṃkārasaṃyuktaṃ $ ūrdhvaṃ bindukabhūṣitam &	aDas oMkAra-saMyuktam $ UrDvam binduka-BUzitam &
   anenaiva tu bījena % śikhayā bhinnamastakam // VT_75 //	anena-eva tu bIjena % SiKayA Binna-mastakam // VT_75 //
   dhāraṇāyogamārgeṇa $ nirdahet sādhakottamaḥ &	DAraNA-yoga-mArgeNa $ nirdahet sADaka-uttamaH &
   dehaṃ saṃśodhayen mantrī % ghorapāpaṃ tu kalmaṣam // VT_76 //	deham saMSoDayet mantrI % Gora-pApam tu kalmazam // VT_76 //
   nyāsam ālabhanaṃ kuryād $ bhaven mantrātmavigrahaḥ &	nyAsam AlaBanam kuryAt $ Bavet mantra-Atma-vigrahaH &
   digbandhabhūmiṃ saṃśodhya % cakraśuddhyartham eva ca // VT_77 //	digbanDa-BUmim saMSoDya % cakra-SudDi-arTam eva ca // VT_77 //
   saṃhārāstreṇa kurvīta $ vighnoccāṭanam eva ca &	saMhAra-astreNa kurvIta $ viGna-uccAwanam eva ca &
   hastau saṃśodhayet paścād % vidhir eṣa prakīrtitaḥ // VT_78 //	hastO saMSoDayet paScAt % viDiH eza prakIrtitaH // VT_78 //
   kṛtvā tu vidhivan mantrī $ tataḥ karma samārabhet &	kRtvA tu viDivat mantrI $ tatas karma samAraBet &
   āmaṇibandhanāt pūrvaṃ % bharamākhāś ? ca vinyaset // VT_79 //	AmaNibanDanAt pUrvam % BaramAKAH ? ca vinyaset // VT_79 //
   aṭguṣṭhādikaniṣṭhāntaṃ $ nyased vai bījapañcakam &	awguzWa-Adi-kanizWA-antam $ nyaset vE bIja-paQcakam &
   aṭguṣṭhād ye tu ye parvā % karayor ubhayor api // VT_80 //	awguzWAt ye tu ye parvAH % karayoH uBayoH api // VT_80 //
   ātmatattvaṃ nyasenmūrdhni $ vidyātattvaṃ dvitīyake &	Atma-tattvam nyaset-mUrDni $ vidyA-tattvam dvitIyake &
   śivaṃ dadyāt tṛtīyeṣu % sarvasiddhiṣu bhāmini // VT_81 //	Sivam dadyAt tRtIyezu % sarva-sidDizu BAmini // VT_81 //
   adhastād ātmatattvaṃ tu $ vidyātattvaṃ tu madhyataḥ &	aDastAt Atma-tattvam tu $ vidyA-tattvam tu maDyatas &
   śivatattvaṃ nyasen mūrdhni % haste dehe punaḥ kramāt // VT_82 //	Siva-tattvam nyaset mUrDni % haste dehe punar kramAt // VT_82 //
   evaṃ tattvatrayaṃ nyasya $ tathā kūṭākṣarāṇi tu &	evam tattva-trayam nyasya $ taTA kUwa-akzarANi tu &
   bhūyaś cottarabījāni % vinyaset tu varānane // VT_83 //	BUyas ca-uttara-bIjAni % vinyaset tu varAnane // VT_83 //
   astraṃ caiva tu vinyasya $ visphuliṭgasamaprabham &	astram ca-eva tu vinyasya $ visPuliwga-sama-praBam &
   māyayācchādayitvā tu % aṭkuśena nirodhayet // VT_84 //	mAyayA-AcCAdayitvA tu % awkuSena niroDayet // VT_84 //
   yonimudrāṃ tato baddhvā $ kuryāt [tu] sakalāṃ tanum &	yonimudrAm tatas badDvA $ kuryAt [tu] sakalAm tanum &
   etad ālabhanaṃ caiva % tava devi prakīrtitam // VT_85 //	etat AlaBanam ca-eva % tava devi prakIrtitam // VT_85 //
   aṭguṣṭhau grathitau kṛtvā $ karayor ubhayor api &	awguzWO graTitO kRtvA $ karayoH uBayoH api &
   tarjanīṃ vāmahaste tu % prasāryākuñcayed budhaḥ // VT_86 //	tarjanIm vAma-haste tu % prasArya-AkuQcayet buDaH // VT_86 //
   eṣā nirodhanī proktā $ mudreyam aṭkuśasya tu &	ezA niroDanI proktA $ mudrA-iyam awkuSasya tu &
   vaśyākarṣaṇakāryeṣu % prayojyā sādhakottamaiḥ // VT_87 //	vaSya-AkarzaNa-kAryezu % prayojyA sADaka-uttamEH // VT_87 //
   tarjanī madhyamā caiva $ anāmā dakṣiṇasya tu &	tarjanI maDyamA ca-eva $ anAmA dakziNasya tu &
   vāme trīṇi samākramya % aṭguṣṭhau ca susaṃsthitau // VT_88 //	vAme trINi samAkramya % awguzWO ca su-saMsTitO // VT_88 //
   adhastāt sarvataḥ proktā $ dakṣiṇā tu kaniṣṭhikā &	aDastAt sarvatas proktA $ dakziNA tu kanizWikA &
   tarjanyaṭguṣṭhayor madhye % yonimudrā prakīrtitā // VT_89 //	tarjan-I-awguzWayoH maDye % yonimudrA prakIrtitAH // VT_89 //
   ādyaṃ mūrdhni tato bījaṃ $ dvitīyaṃ mukhamaṇḍale &	Adyam mUrDni tatas bIjam $ dvitIyam muKa-maNxale &
   kaṭyūrdhve ca tataś cānyaṃ % caturthaṃ jānutaḥ kaṭim // VT_90 //	kawI-UrDve ca tatas ca-anyam % caturTam jAnutaH kawim // VT_90 //
   āpādajānunī cānyaṃ $ prasṛtaiś ca karaiḥ kramāt &	ApAdaja-anunI ca-anyam $ prasRtEH ca karEH kramAt &
   evaṃ bījena dehas tu % mucyate nātra saṃśayaḥ // VT_91 //	evam bIjena dehaH tu % mucyate na-atra saMSayaH // VT_91 //
   vajropalamahāvarṣaṃ $ coradaṃṣṭrībhayāvaham &	vajra-upala-mahA-varzam $ cora-daMzwrI-Baya-Avaham &
