   (Gv 1)	(Gu 1)
   sarvākāśatalāsaṃbhedavijñaptimaṇiratnavibhūṣitacūḍena ca /	sarva AkASa tala asaMBeda vijQapti maNi ratna viBUzita cUxena ca /
   sarvatathāgatavikurvitapratibhāsadhvajamaṇirājajālasaṃchāditacūḍena ca /	sarva taTAgata vikurvita pratiBAsa Dvaja maNi rAja jAla saMCAdita cUxena ca /
   sarvatathāgatadharmacakranirghoṣacūḍena ca /	sarva taTAgata Darma cakra nirGoza cUxena ca /
   sarvatryadhvanāmacakranirghoṣacūḍena ca bodhisattvena mahāsattvena //	sarvatri aDva nAma cakra nirGoza cUxena ca boDisattvena mahAsattvena //
   mahāprabheṇa ca / vimalaprabheṇa ca / vimalatejaḥprabheṇa ca /	mahA praBeNa ca / vimala praBeNa ca / vimala tejaH praBeNa ca /
   ratnaprabheṇa ca / virajaprabheṇa ca / jotiṣprabheṇa ca / dharmaprabheṇa	ratna praBeNa ca / viraja praBeNa ca / jotizpraBeNa ca / Darma praBeNa
   ca / śāntiprabheṇa ca / sūryaprabheṇa ca / vikurvitaprabheṇa ca /	ca / SAnti praBeNa ca / sUrya praBeNa ca / vikurvita praBeNa ca /
   devaprabheṇa ca bodhisattvena mahāsattvena // puṇyaketunā ca / jñānaketunā	deva praBeNa ca boDisattvena mahAsattvena // puNya ketunA ca / jQAna ketunA
   ca / dharmaketunā ca / abhijñāketunā (Gv 3) ca / prabhāketunā /	ca / DarmaketunA ca / aBijQA ketunA (Gu 3) ca / praBA ketunA /
   kusumaketunā ca / bodhiketunā ca / brahmaketunā ca / samantāvabhāsaketunā	kusuma ketunA ca / boDiketunA ca / brahma ketunA ca / samantAva BAsa ketunA
   ca / maṇiketunā ca bodhisattvena mahāsattvena // brahmaghoṣeṇa ca /	ca / maNiketunA ca boDisattvena mahAsattvena // brahma GozeNa ca /
   sāgaraghoṣeṇa ca / dharaṇīnirnādaghoṣeṇa ca / lokendraghoṣeṇa ca /	sAgara GozeNa ca / DaraNI nirnAda GozeNa ca / loka indra GozeNa ca /
   śailendrarājasaṃghaṭṭanaghoṣeṇa ca / sarvadharmadhātuspharaṇaghoṣeṇa ca /	SElendra rAja saMGawwana GozeNa ca / sarva Darma DAtu sParaNa GozeNa ca /
   sarvadharmadhātusāgaranigarjitaghoṣeṇa ca /	sarva DarmaDAtu sAgara nigarjita GozeNa ca /
   sarvamāaramaṇḍalapramardanaghoṣeṇa ca /	sarvam Aara maNxala pramardana GozeNa ca /
   mahākaruṇānayameghanigarjitaghoṣeṇa ca /	mahA karuNA naya meGa nigarjita GozeNa ca /
   sarvajagadduḥkhapraśāntyāśvāsanaghoṣeṇa ca bodhisattvena mahāsattvena /	sarva jagat duHKa praSAnti ASvAsana GozeNa ca boDisattvena mahAsattvena /
   dharmodgatena ca / viśeṣodgatena ca / jñānodgatena ca / puṇyasumerūdgatena	Darma udgatena ca / viSeza udgatena ca / jQAna udgatena ca / puNya sumeru ut gatena
   ca / guṇaprabhāvodgatena ca / yaśodgatena ca / samantāvabhāsodgatena ca /	ca / guNa praBAva udgatena ca / yaSa udgatena ca / samantA ava BAsa udgatena ca /
   mahāmaitryudgatena ca / jñānasaṃbhārodgatena ca /	mahAmEtrI udgatena ca / jQAna saMBAra udgatena ca /
   tathāgatakulagotrodgatena ca bodhisattvena mahāsattvena // prabhāśriyā ca	taTAgata kula gotra udgatena ca boDisattvena mahAsattvena // praBA SriyA ca
   / pravaraśriyā ca / samudgataśriyā ca / vairocanaśriyā ca / dharmaśriyā ca	/ pravara SriyA ca / samudgata SriyA ca / vErocana SriyA ca / Darma SriyA ca
   / candraśriyā ca / gaganaśriyā ca / ratnaśriyā ca / ketuśriyā ca /	/ candra SriyA ca / gagana SriyA ca / ratna SriyA ca / ketuSriyA ca /
   jñānaśriyā ca bodhisattvena mahāsattvena // śailendrarājena ca /	jQAna SriyA ca boDisattvena mahAsattvena // SElendra rAjena ca /
   dharmendrarājena ca / jagadindrarājena ca / brahmendrarājena ca /	Darmendra rAjena ca / jagat indra rAjena ca / brahma indra rAjena ca /
   gaṇendrarājena ca / devendrarājena ca / śāntendrarājena ca /	gaNa indra rAjena ca / deva indra rAjena ca / SAnta indrarAjena ca /
   acalendrarājena ca / ṛṣabhendrarājena ca / pravarendrarājena ca	acala indra rAjena ca / RzaBa indra rAjena ca / pravara indra rAjena ca
   bodhisattvena mahāsattvena // praśāntasvareṇa ca / asaṅgasvareṇa ca /	boDisattvena mahAsattvena // praSAnta svareNa ca / asaFga svareNa ca /
   dharaṇīnirghoṣasvareṇa ca / sāgaranigarjitasvareṇa ca /	DaraNI nirGoza svareNa ca / sAgara nigarjita svareNa ca /
   meghanirghoṣasvareṇa ca / dharmāvabhāsasvareṇa ca / gagananirghoṣasvareṇa	meGa nirGoza svareNa ca / Darma avaBAsa svareNa ca / gagana nirGoza svareNa
   ca / sarvasattvakuśalamūlanigarjitasvareṇa ca /	ca / sarva sattva kuSala mUla nigarjita svareNa ca /
   pūrvapraṇidhānasaṃcodanasvareṇa ca / māramaṇḍalanirghoṣasvareṇa ca	pUrva praNiDAna saMcodana svareNa ca / mAra maNxala nirGoza svareNa ca
   bodhisattvena mahāsattvena // ratnabuddhinā ca / jñānabuddhinā ca /	boDisattvena mahAsattvena // ratna budDinA ca / jQAna budDinA ca /
   gaganabuddhinā ca / asaṅgabuddhinā ca / vimalabuddhinā ca /	gagana budDinA ca / asaFga budDinA ca / vimala budDinA ca /
   viśuddhabuddhinā ca / tryadhvāvabhāsabuddhinā ca / viśālabuddhinā ca /	viSudDa budDinA ca / tri aDva avaBAsa budDinA ca / viSAla budDinA ca /
   samantāvalokabuddhinā ca / dharmadhātunayāvabhāsabuddhinā ca bodhisattvena	samantAvaloka budDinA ca / DarmaDAtunayA avaBAsa budDinA ca boDisattvena
   mahāsattvena // evaṃpramukhaiḥ pañcamātrairbodhisattvasahasraiḥ sarvaiḥ	mahAsattvena // evaMpramuKEH paQca mAtrEH boDisattva sahasrEH sarvEH
   samantabhadrabodhisattvacaryāpraṇidhānābhiniryātairasaṅgagocaraiḥ	samantaBadra boDisattva caryA praNiDAna aBiniryAtEH asaFga gocarEH
   sarvabuddhakṣetraspharaṇatayā / anantakāyādhiṣṭhānaiḥ	sarva budDa kzetra sParaNa tayA / ananta kAya aDizWAnEH
   sarvatathāgatopasaṃkramaṇatayā / anāvaraṇacakṣurmaṇḍalaviśuddhaiḥ	sarva taTAgata upasaMkramaNa tayA / anAvaraNa cakzuH maNxala viSudDEH
   sarvabuddhavikurvitadarśanatayā / vijñaptiṣvapramāṇagataiḥ	sarva budDa vikurvita darSana tayA / vijQaptizu apramANa gatEH
   sarvatathāgatābhisaṃbodhimukhopasaṃkramaṇāpratiprasrabdhatayā /	sarva taTAgata aBisaMboDi muKopa saMkramaNa apratiprasrabDa tayA /
   anantālokaiḥ sarvabuddhadharmasamudranayajñānāvabhāsapratilabdhatayā /	ananta AlokEH sarva budDa Darma samudra naya jQAna avaBAsa pratilabDa tayA /
   anantakalpākṣīṇaguṇanirdeśaiḥ pratisaṃvidviśuddhyā /	ananta kalpa akzINa guNa nirdeSEH pratisaMvid viSudDyA /
   ākāśadhātuparamajñānagocaraviśuddhyanigṛhītairyathāśayajagadrūpakāyasaṃdarśanatayā	AkASa DAtu parama jQAna gocara viSudDi anigRhItEH yaTA Saya jagat rUpa kAya saMdarSana tayA
   / vitimirairniḥsattvanirjīvasattvadhātuparijñayā / gaganasamaprajñaiḥ	/ vitimirEH niHsattva nirjIva sattva DAtu parijQayA / gagana sama prajQEH
   sarvadharmadhāturaśmijālaspharaṇatayā / pañcabhiśca	sarva Darma DAtu raSmi jAla sParaNa tayA / paQcaBiH ca
   śrāvakamaharddhikaśataiḥ sarvaiḥ	SrAvaka mahA rdDika SatEH sarvEH
   satyanayasvabhāvābhisaṃbuddhairbhūtakoṭipratyakṣagatairdharmaprakṛtyavatīrṇairbhavasamudroccalitaistathāgatagaganagocaraiḥ	satya naya svaBAva aBisaMbudDEH BUta kowi pratyakza gatEH Darma prakRti avatIrNEH Bava samudra uccalitEH taTAgata gagana gocarEH
   saṃyojanānuśayavāsanāvinivartitairasaṅgālayanilayairgaganaśāntavihāribhirbuddhakāṅkṣāvimativicikitsāsamucchinnaiḥ	saMyojana anuSaya vAsanA vinivartitEH asaFga Alaya nilayEH gagana SAnta vihAriBiH budDa kAFkzA vimati vicikitsA samucCinnEH
   buddhajñānasamudrādhimuktipathāvatīrṇaiḥ // lokendraiśca	budDa jQAna samudra aDimukti paTa avatIrNEH // loka indrEH ca
   pūrvajinakṛtādhikāraiḥ	pUrva jina kRta aDikArEH
   sarvajagaddhitasukhapratipannairanadhīṣṭakalyāṇamitraiḥ (Gv 4)	sarva jagat hita suKa pratipannEH anaDIzwa kalyANa mitrEH (Gu 4)
   parasattvarakṣāpratipannaiḥ lokaviśeṣavartijñānasukhavatīrṇaiḥ	para sattva rakzA pratipannEH loka viSeza varti jQAna suKa vatIrNEH
   sarvasattvāparityāgacittairbuddhaśāsanagocaraniryātaistathāgataśāsanarakṣāpratipannairbuddhavaṃśasaṃdhāraṇapraṇidhinirjātaistathāgatakulagotrasaṃbhavābhimukhaiḥ	sarva sattva aparityAga cittEH budDa SAsana gocara niryAtEH taTAgata SAsana rakzA pratipannEH budDa vaMSa saMDAraNa praNiDi nirjAtEH taTAgata kula
   sarvajñatājñānābhilāṣibhiḥ //	sarvajQa tA jQAna aBilAziBiH //
   atha khalu teṣāṃ bodhisattvānāṃ saparivārāṇāṃ teṣāṃ ca	aTa Kalu tezAm boDisattvAnAm sa parivArANAm tezAm ca
   śrāvakamaharddhikānāṃ teṣāṃ ca lokendrāṇāṃ saparivārāṇāmetadabhavatna	SrAvaka mahA rdDikAnAm tezAm ca loka indrANAm sa parivArANAm etat aBavatna
   śakyaṃ sadevakenāpi lokena tathāgataviṣayaṃ tathāgatajñānagocaraṃ	Sakyam sa devakena api lokena taTAgata vizayam taTAgata jQAna gocaram
   tathāgatādhiṣṭhānaṃ tathāgatabalaṃ tathāgatavaiśāradyaṃ tathāgatasamādhiṃ	taTAgata aDizWAnam taTAgata balam taTAgata vESAradyam taTAgata samADim
   tathāgatavihāraṃ tathāgatādhipatyaṃ tathāgatakāyaṃ	taTAgata vihAram taTAgata ADipatyam taTAgata kAyam
   tathāgatajñānamavagantuṃ vā avagāhituṃ vā adhimoktuṃ vā prajñātuṃ vā	taTAgata jQAnam avagantum vA avagAhitum vA aDimoktum vA prajQAtum vA
   vijñātuṃ vā vicārayituṃ vā vibhāvayituṃ vā vibhājituṃ vā prabhāvayituṃ vā	vijQAtum vA vicArayitum vA viBAvayitum vA viBAjitum vA praBAvayitum vA
   parasattvasaṃtāneṣu vā pratiṣṭhāpayitum, anyatra tathāgatādhiṣṭhānena	para sattva saMtAnezu vA pratizWApayitum, anyatra taTAgata aDizWAnena
   tathāgatavikurvitena tathāgatānubhāvena tathāgatapūrvaprāṇidhānena	taTAgata vikurvitena taTAgata anuBAvena taTAgata pUrva prANi DAnena
   pūrvabuddhasukṛtakuśalamūlatayā kalyāṇamitraparigraheṇa	pUrva budDa sukRta kuSala mUla tayA kalyANa mitra parigraheNa
   śraddhānayanajñānapariśuddhyā udārādhimuktyavabhāsapratilambhena	SradDA nayana jQAna pariSudDyA udAra aDi mukti avaBAsa pratilamBena
   bodhisattvādhyāśayapariśuddhyā adhyāśayasarvajñatāpraṇidhānaprasthānena /	boDisattva aDyASaya pariSudDyA aDyASaya sarvajQa tA praNiDAna prasTAnena /
   apyeva nāma bhagavānasmākaṃ yathāśayānāṃ bodhisattvānāṃ sarveṣāṃ ca	api eva nAma BagavAn asmAkam yaTASayAnAm boDisattvAnAm sarvezAm ca
   sattvānāmāśaya vimātratayā adhimuktinānātvatayā pratibodhanānātvatayā	sattvAnAm ASaya vimAtra tayA aDimukti nAnAtva tayA pratiboDa nAnAtvatayA
   vacanasaṃketanānātvaprāptānāṃ nānādhipateyabhūmipratiṣṭhitānāṃ	vacana saMketana AnAtu a prAptAnAm nAnA aDipateya BUmi pratizWitAnAm
   nānendriyaviśuddhānāṃ nānāśayaprayogānāṃ nānācetanāviṣayāṇāṃ	nAnA indriya viSudDAnAm nAnA ASaya prayogAnAm nAnA cetanA vizayANAm
   nānātathāgataguṇaniśritānāṃ nānādharmanirdeśadigabhimukhānāṃ	nAnA taTA gata guNa niSritAnAm nAnA Darma nirdeSa diS aBi muKAnAm
   pūrvasarvajñatāprasthānaṃ ca saṃdarśayet /	pUrva sarvajQa tA prasTAnam ca saMdarSayet /
   pūrvabodhisattvapraṇidhānābhinirhāraṃ ca saṃdarśayet /	pUrva boDisattva praNiDAna aBinirhAram ca saMdarSayet /
   pūrvabodhisattvapāramitāmaṇḍalaviśuddhiṃ ca saṃdarśayet /	pUrva boDisattva pAramitA maNxala viSudDim ca saMdarSayet /
   pūrvabodhisattvabhūmyākramaṇavikurvitaṃ ca saṃdarśayet /	pUrva boDisattva BUmi AkramaNa vikurvitam ca saMdarSayet /
   pūrvabodhisattvacaryāmaṇḍalābhinirhāraparipūriṃ ca saṃdarśayet /	pUrva boDisattva caryA maNxala aBinirhAra paripUrim ca saMdarSayet /
   pūrvabodhisattvayānābhinirhāravyūhāvabhāsaṃ ca saṃdarśayet /	pUrva boDisattva yAna aBinirhAra vyUha avaBAsam ca saMdarSayet /
   pūrvabodhisattvamārgavyūhapariśuddhiṃ ca saṃdarśayet /	pUrva boDisattva mArga vyUha pariSudDim ca saMdarSayet /
   pūrvabodhisattvaniryāṇanayasāgarābhinirhāravyūhānapi saṃdarśayet /	pUrva boDisattva niryANa naya sAgara aBinirhAra vyUhAn api saMdarSayet /
   pūrvabodhisattvasamudāgamavikurvitasāgaravyūhānapi saṃdarśayet /	pUrva boDisattva samudAgama vikurvita sAgara vyUhAn api saMdarSayet /
   bodhisattvapūrvayogasamudrānapi saṃdarśayet /	boDisattva pUrva yoga samudrAn api saMdarSayet /
   abhisaṃbodhimukhavikurvitasāgarānapi saṃdarśayet /	aBisaMboDi muKa vikurvita sAgarAn api saMdarSayet /
   tathāgatadharmacakrapravartanavikurvitavṛṣabhitāmapi saṃdarśayet /	taTAgata Darma cakra pravartana vikurvita vRzaBitAm api saMdarSayet /
   tathāgatabuddhakṣetrapariśuddhivikurvitasāgarānapi saṃdarśayet /	taTAgata budDa kzetra pariSudDi vikurvita sAgarAn api saMdarSayet /
   tathāgatasattvadhātuvinayopāyamukhānyapi saṃdarśayet /	taTAgata sattva DAtu vinaya upAya muKAni api saMdarSayet /
   tathāgatasarvajñatādharmanagarādhipateyatāmapi saṃdarśayet /	taTAgata sarvajQa tA Darma nagara ADipateya tAm api saMdarSayet /
   tathāgatasarvasattvamārgāvabhāsānapi saṃdarśayet /	taTAgata sarva sattva mArga avaBAsAn api saMdarSayet /
   tathāgatasattvabhavanapraveśavikurvitānyapi saṃdarśayet /	taTAgata sattva Bavana praveSa vikurvitAni api saMdarSayet /
   tathāgatasattvadakṣiṇāpratigrahāṃśca saṃdarśayet /	taTAgata sattva dakziNA pratigrahAn= ca saMdarSayet /
   tathāgatasarvasattvapuṇyadakṣiṇādeśanāprātihāryāṇyapi saṃdarśayet /	taTAgata sarva sattva puNya dakziNa AdeSanA prAtihAryANi api saMdarSayet /
   tathāgatasarvasattvacittagatiṣu buddhapratibhāsavijñaptīrapi saṃdarśayet /	taTAgata sarva sattva citta gatizu budDa pratiBAsa vijQaptIH api saMdarSayet /
   tathāgatasattvavikurvitaprātihāryāṇyapi saṃdarśayet /	taTAgata sattva vikurvita prAtihAryANi api saMdarSayet /
   tathāgatasarvasattvadeśanānuśāsanīprātihāryāṇyapi saṃdarśayet /	taTAgata sarva sattva deSana anuSAsanI prAtihAryANi api saMdarSayet /
   tathāgatasarvasattvācintyabuddhasamādhigocaravikurvitānyapi saṃdarśayediti	taTAgata sarva sattva acintya budDa samADi gocara vikurvitAni api saMdarSayet iti
   atha khalu bhagavāṃsteṣāṃ bodhisattvānāṃ cetasaiva cetaḥparivitarkamājñāya	aTa Kalu BagavAn= tezAm boDisattvAnAm cetasA eva cetaH parivitarkam AjQAya
   mahākaruṇāśarīraṃ mahākaruṇāmukhaṃ mahākaruṇāpūrvaṃgamaṃ	mahA karuNA SarIram mahA karuNA muKam mahA karuNA pUrvaMgamam
   mahākaruṇādharmagaganayānugamaṃ siṃhavijṛmbhitaṃ nāma (Gv 5) samādhiṃ	mahA karuNA Darma gaganayA anugamam siMhavijRmBitam nAma (Gu 5) samADim
   samāpadyate sma jagadvirocanavyūham / samanantarasamāpannasya ca bhagavato	samApadyate sma jagat virocana vyUham / samanantara samApannasya ca BagavataH 
   mahāvyūhaḥ kūṭāgāro 'nantamadhyavipulaḥ saṃsthito 'bhūt /	mahA vyUhaH kUwAgAraH ananta maDya vipulaH saMsTitaH aBUt /
   aparājitavajradharaṇītalavyūhaḥ	aparAjita vajra DaraNI tala vyUhaH
   sarvamaṇiratnarājajālasaṃsthitabhūmitalamanekaratnapuṣpābhikīrṇo	sarva maNi ratna rAja jAla saMsTita BUmi talam aneka ratna puzpa aBikIrNaH 
   mahāmaṇiratnasuvikīrṇo vaiḍūryastambhopaśobhito	mahA maNi ratna su vikIrNaH vExUrya stamBa upaSoBitaH 
   jagadvirocanamaṇirājasuvibhaktālaṃkāraḥ sarvaratnayamakasaṃghāto	jagat virocana maNi rAja su viBakta alaMkAraH sarva ratna yamaka saMGAtaH 
   jāmbūnadamaṇiratnakūṭopaśobhitaḥ	jAmbUnada maNi ratna kUwa upaSoBitaH
   sarvaratnaniryūhatoraṇaharmyagavākṣāsaṃkhyeyavedikāviśuddhavyūhaḥ	sarva ratna niryUha toraNa harmya gavAkzA saMKyeya vedikA viSudDa vyUhaH
   sarvalokendrasadṛśamaṇiratnavyūho jagatsāgaramaṇiratnavyūhaḥ	sarva loka indra sadRSa maNi ratna vyUhaH jagat sAgara maNi ratna vyUhaH
   sarvamaṇiratnasaṃchāditaḥ samucchritacchatradhvajapatākaḥ	sarva maNi ratna saMCAditaH samucCrita= Catra Dvaja patAkaH
   sarvadvāratoraṇavyūhamukhairdharmadhāturaśmijālapramuktaspharaṇavyūho	sarva dvAra toraNa vyUha muKEH Darma DAtu raSmi jAla pramukta sParaNa vyUhaH 
   bahiranabhilāpyaparṣanmaṇḍalabhūmitalavedikāvyūhaḥ	bahis anaBilApya parzat maNxala BUmi tala vedikA vyUhaH
   samantadiksopānamaṇiratnakūṭaḥ paramasuvibhaktopaśobhitaḥ / sarvaṃ ca	samantadiS sA upAna maNi ratna kUwaH parama suviBakta upaSoBitaH / sarvam ca
   jetavanaṃ vipulāyāmavistāraṃ saṃsthitamabhūt / tānyapi ca buddhānubhāvena	jetavanam vipula AyAma vistAram saMsTitam aBUt / tAni api ca budDa anuBAvena
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamānibuddhakṣetrāṇi	anaBilApya budDa kzetra paramANu rajaH samAnibudDa kzetrANi
   vipulāyāmavistārāṇi saṃsthitānyabhūvan / sarvaratnavicitravyūhāni	vipula AyAma vistArANi saMsTitAni aBUvan / sarva ratna vicitra vyUhAni
   anabhilāpyaratnacitrasaṃsthitabhūmitalāni	anaBilApya ratna citra saMsTita BUmi talAni
   asaṃkhyeyamaṇiratnaprākāraparikṣiptāni vividharatnatālapaṅktivyūhāni	asaMKyeya maNi ratna prAkAra parikziptAni viviDa ratna tAla paFkti vyUhAni
   saṃsthitānyabhūvan / teṣu ca aparimāṇagandhodakanadyo	saMsTitAni aBUvan / tezu ca aparimANa ganDa udaka nadyaH 
   'nantāvartagandhodakaparipūrṇāḥ sarvaratnapuṣpaughakaluṣāḥ	ananta Avarta ganDa udaka paripUrNAH sarva ratna puzpa oGa kaluzAH
   pradakṣiṇavāhinyaḥ sarvabuddhanirghoṣanigarjitavyūhāḥ samavatiṣṭhante sma	pradakziNa vAhinyaH sarva budDa nirGoza nigarjita vyUhAH samavatizWante sma
   / acintyāśca ratnapuṇḍarīkapaṅktayaḥ	/ acintyAH ca ratna puNxarIka paFktayaH
   sarvaratnodgatapraphullapadmavyūhopaśobhitatalāśca ratnavṛkṣāḥ, acintyāśca	sarva ratna udgata praPulla padma vyUha upaSoBita talAH ca ratna vRkzAH, acintyAH ca
   vicitraratnakūṭāgārapaṅktayaḥ sarvamaṇiratnajālasaṃchannā	vicitra ratna kUwa AgAra paFktayaH sarva maNi ratna jAla saMCannA
   asaṃkhyeyamaṇiratnaraśmijālāvabhāsavyūhā	asaMKyeya maNi ratna raSmi jAlA avaBAsa vyUhA
   asaṃkhyeyamaṇiratnavimānasarvamaṇiratnavyūhāḥ sarvagandhakośapramuktāḥ	asaMKyeya maNi ratna vimAna sarva maNi ratna vyUhAH sarva ganDa koSa pramuktAH
   sarvadhūpapaṭalavyūhāḥ saṃsthitā abhūvan / aparimāṇāśca ratnadhvajāḥ, evam	sarva DUpa pawala vyUhAH saMsTitAH aBUvan / aparimANAH ca ratna DvajAH, evam
   vastradhvajāḥ patākādhvajā ratnapaṭṭadhvajāḥ puṣpadhvajā ābharaṇadhvajā	vastra DvajAH patAkA DvajAH ratna pawwa DvajAH puzpa DvajAH ABaraNa DvajA
   mālyadhvajāḥ sarvaratnakiṅkiṇījāladhvajā maṇirājacchatradhvajāḥ	mAlya DvajAH sarva ratna kiFkiNI jAla DvajAH maNi rAjat Catra DvajAH
   samantāvabhāsaspharaṇamaṇiratnadhvajāḥ	samantAva BAsa sParaNa maNi ratna DvajAH
   sarvatathāgatanāmacakranirghoṣamaṇiratnarājadhvajāḥ	sarva taTAgata nAma cakra nirGoza maNi ratna rAja DvajAH
   siṃhakāntamaṇiratnarājadhvajāḥ	siMhakAnta maNi ratna rAja DvajAH
   sarvatathāgatapūrvayoganigarjanamaṇiratnarājadhvajāḥ	sarva taTAgata pUrva yoga nigarjana maNi ratna rAja DvajAH
   sarvadharmadhātupratibhāsadhvajā maṇiratnarājadhvajavyūhāḥ	sarva DarmaDAtu pratiBAsa DvajAH maNi ratna rAja Dvaja vyUhAH
   sarvadhvajālaṃkārasamantadiksuvibhaktavyūhāḥ saṃtiṣṭhante sma / sarvāvacca	sarva Dvaja alaMkAra samantadiS su viBakta vyUhAH saMtizWante sma / sarvAvat ca
