   Mahāmantrānusāriṇī	MahAmantra-anusAriNI
   ṣeti / ri 6 rephasāri / phuri 7 pharā anāthānāthā siri thi phuri ruri	za-iti / ri 6 rePa-sAri / Puri 7 ParAH anATA-anATA siri Ti Puri ruri
   prāsturi anāthānāthā nirgacchata ripūṃ nirgacchata yadi yūyaṃ duṣṭacittā	prAsturi anATA-anATA nirgacCata ripUm nirgacCata yadi yUyam duzwa-cittA
   na palāyeta naśyeta	na palAyeta naSyeta
   C.2.9. buddho lokānukampaka evam ājñāpayati / praviśati	C.2.9. budDaH loka-anukampakaH evam AjQApayati / praviSati
   sarvasatvahitādhyāśayo maitrīvihārī kāruṇiko muditāvihārī upekṣāvihārī /	sarva-satva-hita-aDyASayaH mEtrI-vihArI kAruNikaH muditA-vihArI upekzA-vihArI /
   C.2.10. ete mantrapadāḥ siddhāḥ siddhagāthā jinoditāḥ /	C.2.10. ete mantra-padAH sidDAH sidDa-gATAH jina-uditAH /
   sarveṣāṃ devatānāṃ hi bhūtānāṃ ca hitaiṣiṇāṃ //	sarvezAm devatAnAm hi BUtAnAm ca hita-eziNAm //
   jñānenāthottamenādya tathā dharmatayāpi ca /	jQAnena-aTa-uttamena-adya taTA Darma-tayA-api ca /
   jagatām ītayaḥ sarvāḥ śāmyantv ārogyam astu vaḥ //	jagatAm ItayaH sarvAH SAmyantu Arogyam astu vaH //
   C.3.1. viśaktikā yasya tṛṣṇā vidhvastā viralīkṛtāḥ /	C.3.1. viSaktikAH yasya tRzNAH viDvastAH viralIkRtAH /
   śāntacitto hy anāyāsaḥ sa vaḥ svasti kariṣyati // CDFGH: throughout:	SAnta-cittaH hi anAyAsaH sa vaH svasti karizyati // CDFGH: TrouGout:
   sarvaḥ svasti	sarvaH svasti
   C.3.2. yo jagan mokṣamārgasmin niveśayati nāyakaḥ /	C.3.2. yaH jagat mokza-mArgasmin niveSayati nAyakaH /
   deśakaḥ sarvadharmāṇāṃ sa vaḥ svasti kariṣyati //	deSakaH sarva-DarmANAm sa vaH svasti karizyati //
   C.3.3. gatir yo jagatāṃ śāstā kṛtaṃ yena sukhī bahuḥ /	C.3.3. gatiH yaH jagatAm SAstA kRtam yena suKI bahuH /
   arthāya sarvasatvānāṃ sa vaḥ svasti kariṣyati //	arTAya sarva-satvAnAm sa vaH svasti karizyati //
   C.3.4. yena sarvajagac caitan maitracittena tāyinā /	C.3.4. yena sarva-jagat ca-etat mEtra-cittena tAyinA /
   pālitaṃ putravan nityaṃ sa vaḥ svasti kariṣyati //	pAlitam putra-vat nityam sa vaH svasti karizyati //
   C.3.5. gatir yaḥ sarvasatvānāṃ trāṇaṃ dvīpaḥ parāyaṇaṃ /	C.3.5. gatiH yaH sarva-satvAnAm trANam dvIpaH parAyaNam /
   saṃsāre vartamānānāṃ sa vaḥ svasti kariṣyati //	saMsAre vartamAnAnAm sa vaH svasti karizyati //
   C.3.6. yaḥ sākṣāt sarvadharmāṇām avisaṃvādakaḥ śuciḥ /	C.3.6. yaH sAkzAt sarva-DarmANAm avisaMvAdakaH SuciH /
   śucivākyaḥ śucikaraḥ sa vaḥ svasti kariṣyati //	Suci-vAkyaH Suci-karaH sa vaH svasti karizyati //
   C.3.7. yasmiñ jāte mahāvīre samṛddhāḥ sarvasampadaḥ /	C.3.7. yasmin jAte mahA-vIre samRdDAH sarva-sampadaH /
   siddhārthaḥ siddhasaṃbhāraḥ sa vaḥ svasti kariṣyati //	sidDArTaH sidDa-saMBAraH sa vaH svasti karizyati //
   C.3.8. yasmiñ jāte vasumatī savaneyaṃ prakaṃpitāḥ /	C.3.8. yasmin jAte vasumatI savaneyam prakaMpitAH /
   sarve satvāḥ pramuditāḥ sa vaḥ svasti kariṣyati //	sarve satvAH pramuditAH sa vaH svasti karizyati //
   C.3.9. ṣaḍ vikāraṃ pracalitā yasya bodhau vasuṃdharāḥ /	C.3.9. zaw vikAram pracalitAH yasya boDO vasuMDarAH /
   māraś ca durmanā āsīt sa vaḥ svasti kariṣyati //	mAraH ca durmanAH AsIt sa vaH svasti karizyati //
   C.3.10. yaśa āsīn muner yasya dharmacakre pravartite /	C.3.10. yaSaH AsIt muneH yasya Darma-cakre pravartite /
   āryasatyāni vadataḥ sa vaḥ svasti kariṣyati //	Arya-satyAni vadataH sa vaH svasti karizyati //
   C.3.11. yena tīrthakarāḥ sarve jitā dharmeṇa tāyinā /	C.3.11. yena tIrTakarAH sarve jitAH DarmeNa tAyinA /
   vaśīkṛtāḥ sarvagaṇāḥ sa vaḥ svasti kariṣyati //	vaSIkRtAH sarva-gaNAH sa vaH svasti karizyati //
   C.3.12. svasti vaḥ kurutāṃ buddhaḥ svasti devāḥ saśakrakāḥ /	C.3.12. svasti vaH kurutAm budDaH svasti devAH sa-SakrakAH /
   svasti sarvāṇi bhūtāni sarvakālaṃ diśantu vaḥ //	svasti sarvANi BUtAni sarvakAlam diSantu vaH //
   C.3.13. buddhapuṇyānubhāvena devatānāṃ matena ca /	C.3.13. budDa-puNya-anuBAvena devatAnAm matena ca /
   yo yo 'rthaḥ samabhipretaḥ sarvārthodya samṛddhyatāṃ /	yaH yaH arTaH samaBipretaH sarva-arTodya samRdDyatAm /
   C.3.14. svasti vo dvipade bhontu svasti vo 'stu catuṣpade /	C.3.14. svasti vaH dvipade Bontu svasti vaH astu catuzpade /
   svasti vo vrajatāṃ mārge svasti pratyāgateṣu ca //	svasti vaH vrajatAm mArge svasti pratyAgatezu ca //
   C.3.15. svasti rātrau svasti divā svasti madhyaṃdine sthite /	C.3.15. svasti rAtrO svasti divA svasti maDyaMdine sTite /
   sarvatra svasti vo bhontu mā caiṣāṃ pāpam āgamat //	sarvatra svasti vaH Bontu mA ca-ezAm pApam Agamat //
   C.3.16. sarve satvāḥ sarve prāṇāḥ sarve bhūtāś ca kevalāḥ /	C.3.16. sarve satvAH sarve prANAH sarve BUtAH ca kevalAH /
   sarve vai sukhinaḥ santu sarve santu nirāmayāḥ /	sarve vE suKinaH santu sarve santu nirAmayAH /
   sarve bhadrāṇi paśyantu mā kaścit pāpam āgamat //	sarve BadrANi paSyantu mA kaScid pApam Agamat //
   C.3.17. yānīha bhūtāni samāgatāni sthitāni bhūmāv athavāntarīkṣe /	C.3.17. yAni-iha BUtAni samAgatAni sTitAni BUmO aTavA-antarIkze /
   kurvantu maitrīṃ satataṃ prajāsu divā ca rātrau ca carantu dharmaṃ //	kurvantu mEtrIm satatam prajAsu divA ca rAtrO ca carantu Darmam //
   C.4. ity evaṃ bhadantety āyuṣmān ānando bhagavataḥ pratiśrutya indrakīle	C.4. iti evam Badanta-iti AyuzmAn AnandaH BagavataH pratiSrutya indrakIle
   pādaṃ sthāpayitvā imāni mahāmantrānusāriṇīmantrapadāni bhāṣate sma / imāś	pAdam sTApayitvA imAni mahA-mantra-anusAriNI-mantra-padAni BAzate sma / imAS
   ca gāthāḥ /	ca gATAH /
   C.5.1. visarata visarata visarata visarata visarata /	C.5.1. visarata visarata visarata visarata visarata /
   C.5.2. buddho lokānukampaka ājñāpayati / sarvabuddhānumatena /	C.5.2. budDaH loka-anukampakaH AjQApayati / sarva-budDa-anumatena /
   sarvapratyekabuddhānumatena / sarvārhadānumatena / sarvaśaikṣānumatena /	sarva-pratyekabudDa-anumatena / sarva-arha-dAnumatena / sarva-SEkzA-anumatena /
   sarvaśrāvakānumatena / sarvasatyavākyānumatena / pratyekabrahmānumatena /	sarva-SrAvaka-anumatena / sarva-satya-vAkya-anumatena / pratyeka-brahma-anumatena /
   brahmānumatena / kāmeśvarānumatena / indrānumatena / devānumatena /	brahma-anumatena / kAmeSvara-anumatena / indra-anumatena / deva-anumatena /
   asurendrānumatena / sarvāsurānumatena / asurapreṣyānumatena /	asura-indra-anumatena / sarva-asura-anumatena / asura-prezya-anumatena /
   sarvabhūtānumatena /	sarva-BUta-anumatena /
   C.5.3. visarata visarata visarata visarata visarata /	C.5.3. visarata visarata visarata visarata visarata /
   C.5.4. buddho lokānukampaka ājñāpayati / mūmcata mūmcata mūmcata mūmcata /	C.5.4. budDaH loka-anukampakaH AjQApayati / mUmcata mUmcata mUmcata mUmcata /
   mā tiṣṭhantu / ītir vyupaśāmyatu / nirgacchata nirgacchata nirgacchata	mA tizWantu / ItiH vyupaSAmyatu / nirgacCata nirgacCata nirgacCata
   nirgacchata /	nirgacCata /
   C.5.5. buddhaḥ praviśati mahādevo devātidevo devaguruḥ sendrakāś ca devāḥ	C.5.5. budDaH praviSati mahAdevaH deva-atidevaH deva-guruH sa-indrakAH ca devAH
   sabrahmakāḥ saprajāpatikāś catvāraś ca lokapālāḥ praviśanti / anekāni ca	sa-brahmakAH sa-prajApatikAH catvAraH ca lokapAlAH praviSanti / anekAni ca
   devatāsahasrāṇi asurendrāś ca / anekāni cāsurasahasrāṇi praviśanti /	devatA-sahasrANi asura-indrAH ca / anekAni ca-asura-sahasrANi praviSanti /
   bahūni ca bhūtasahasrāṇi bhagavato 'bhiprasannāni pravekṣyanti	bahUni ca BUta-sahasrANi BagavataH aBiprasannAni pravekzyanti
   sarvasatvānām arthe /	sarva-satvAnAm arTe /
   C.5.6. te vo mānarthaṃ kariṣyanti / nirgacchata nirgacchata nirgacchata	C.5.6. te vaH mA-anarTam karizyanti / nirgacCata nirgacCata nirgacCata
   nirgacchata / kṣipraṃ palāyata / yadi yūyaṃ duṣṭacittā na palāyeta naśyeta	nirgacCata / kzipram palAyata / yadi yUyam duzwa-cittA na palAyeta naSyeta
   / ye maitracittā na cāparādhukāmā rakṣāṃ cānuvartayitukāmās te tiṣṭhantu	/ ye mEtra-cittAH na ca-aparADu-kAmAH rakzAm ca-anuvartayitu-kAmAH te tizWantu
   mataṃ ca praviśantu /	matam ca praviSantu /
   C.5.7. buddho lokānukampa evam ājñāpayati /	C.5.7. budDaH loka-anukampaH evam AjQApayati /
   C.5.8 sumuru 4 suru 4 huru 4 mu 4 praviśati / muru 8 miri 6 muru miri 13	C.5.8 su-muru 4 suru 4 huru 4 mu 4 praviSati / muru 8 miri 6 muru miri 13
   muru mirīti 6 ri 6 rī 6 miri 6 tiri hasa miri ti mirī ri miri kartā karaṃ	muru mirI-iti 6 ri 6 rI 6 miri 6 tiri hasa miri ti mirI ri miri kartA karam
   kartā kaṃkarā karakacā / kaṃkarā 8 kaṃkaro caṃkariti kurīśe / kaṃkari 3	kartA kaMkarA karakacA / kaMkarAH 8 kaMkaraH caMkariti kurISe / kaMkari 3
   ṣeti / ri 6 rephasāri / phuri 7 pharā anāthānāthā siri thi phuri ruri	za-iti / ri 6 rePa-sAri / Puri 7 ParAH anATA-anATA siri Ti Puri ruri
   prāsturi anāthānāthā nirgacchata ripūṃ nirgacchata yadi yūyaṃ duṣṭacittā	prAsturi anATA-anATA nirgacCata ripUm nirgacCata yadi yUyam duzwa-cittA
   na palāyeta naśyeta	na palAyeta naSyeta
   C.5.9. buddho lokānukampaka evam ājñāpayati / praviśati	C.5.9. budDaH loka-anukampakaH evam AjQApayati / praviSati
   sarvasatvahitādhyāśayo maitrīvihārī kāruṇiko muditāvihārī upekṣāvihārī /	sarva-satva-hita-aDyASayaH mEtrI-vihArI kAruNikaH muditA-vihArI upekzA-vihArI /
   C.5.10. ete mantrapadāḥ siddhāh siddhagāthā jinoditāḥ /	C.5.10. ete mantra-padAH sidDAh sidDagATAH jina-uditAH /
   sarveṣāṃ devatānāṃ hi bhūtānāṃ ca hitaiṣiṇāṃ //	sarvezAm devatAnAm hi BUtAnAm ca hita-eziNAm //
   jñānenāthottamenādya tathā dharmatayāpi ca /	jQAnena-aTa-uttamena-adya taTA Darma-tayA-api ca /
   jagatām ītayaḥ sarvāḥ śāmyatv ārogyam astu vaḥ //	jagatAm ItayaH sarvAH SAmyatu Arogyam astu vaH //
   C.6.1. viśaktikā yasya tṛṣṇā vidhvastā viralīkṛtāḥ /	C.6.1. viSaktikAH yasya tRzNAH viDvastAH viralIkRtAH /
   śāntacitto hy anāyāsaḥ sa vaḥ svasti kariṣyati //	SAnta-cittaH hi anAyAsaH sa vaH svasti karizyati //
   C.6.2. yo jagan mokṣamārgasmin niveśayati nāyakaḥ /	C.6.2. yaH jagat mokza-mArgasmin niveSayati nAyakaH /
   deśakaḥ sarvadharmāṇāṃ sa vaḥ svasti kariṣyati //	deSakaH sarva-DarmANAm sa vaH svasti karizyati //
   C.6.3. gatir yo jagatāṃ śāstā kṛtaṃ yena sukhī bahu /	C.6.3. gatiH yaH jagatAm SAstA kRtam yena suKI bahu /
   arthāya sarvasatvānāṃ sa vaḥ svasti kariṣyati //	arTAya sarva-satvAnAm sa vaH svasti karizyati //
   C.6.4. yena sarva jagac caitan maitracittena tāyinā /	C.6.4. yena sarva jagat ca-etat mEtra-cittena tAyinA /
   pālitaṃ putravan nityaṃ sa vaḥ svasti kariṣyati //	pAlitam putra-vat nityam sa vaH svasti karizyati //
   C.6.5. gatir yaḥ sarvasatvānāṃ trāṇaṃ dvīpaḥ parāyaṇam /	C.6.5. gatiH yaH sarva-satvAnAm trANam dvIpaH parAyaNam /
   saṃsāre varttamānānāṃ sa vaḥ svasti kariṣyati //	saMsAre varttamAnAnAm sa vaH svasti karizyati //
   C.6.6. yaḥ sākṣāt sarvadharmāṇām avisaṃvādakaḥ śuciḥ /	C.6.6. yaH sAkzAt sarva-DarmANAm avisaMvAdakaH SuciH /
   śucivākyaḥ śucikaraḥ sa vaḥ svasti kariṣyati //	Suci-vAkyaH Suci-karaH sa vaH svasti karizyati //
   C.6.7. yasmiñ jāte mahāvīre samṛddhāḥ sarvasampadaḥ /	C.6.7. yasmin jAte mahA-vIre samRdDAH sarva-sampadaH /
   siddhārthaḥ siddhasaṃbhāra sa vaḥ svasti kariṣyati //	sidDArTaH sidDa-saMBAra sa vaH svasti karizyati //
   C.6.8. yasmin jāte vasumatī savaneyaṃ prakampitā /	C.6.8. yasmin jAte vasumatI savaneyam prakampitAH /
   sarve satvāḥ pramuditāḥ sa vaḥ svasti kariṣyati //	sarve satvAH pramuditAH sa vaH svasti karizyati //
   C.6.9. ṣaḍ vikāraṃ pracalitā yasya bodhau vasundharā /	C.6.9. zaw vikAram pracalitA yasya boDO vasunDarA /
   māraś ca durmanā āsīt sa vaḥ svasti kariṣyati //	mAraH ca durmanAH AsIt sa vaH svasti karizyati //
   C.6.10. yaśa āsīn muner yasya dharmacakre pravartite /	C.6.10. yaSaH AsIt muneH yasya Darma-cakre pravartite /
   āryasatyāni vadataḥ sa vaḥ svasti kariṣyati //	Arya-satyAni vadataH sa vaH svasti karizyati //
   C.6.11. yena tīrthakarāḥ sarve jitā dharmeṇa tāyinā /	C.6.11. yena tIrTakarAH sarve jitAH DarmeNa tAyinA /
   vaśīkṛtāḥ sarvagaṇāḥ sa vaḥ svasti kariṣyati //	vaSIkRtAH sarva-gaNAH sa vaH svasti karizyati //
   C.6.12. svasti vaḥ kurutāṃ buddhaḥ svasti devāḥ saśakrakāḥ /	C.6.12. svasti vaH kurutAm budDaH svasti devAH sa-SakrakAH /
   svasti sarvāṇi bhūtāni sarvakālaṃ diśantu vaḥ //	svasti sarvANi BUtAni sarvakAlam diSantu vaH //
   C.6.13. buddhapuṇyānubhāvena devatānāṃ matena ca /	C.6.13. budDa-puNya-anuBAvena devatAnAm matena ca /
   yo yo 'rthaḥ samabhipretaḥ sarvārthodya samṛddhyatāṃ /	yaH yaH arTaH samaBipretaH sarva-arTodya samRdDyatAm /
   C.6.14. svasti vo dvipade bhontu svasti vo 'stu catuṣpade /	C.6.14. svasti vaH dvipade Bontu svasti vaH astu catuzpade /
   svasti vo vrajatāṃ mārge svasti pratyāgateṣu ca //	svasti vaH vrajatAm mArge svasti pratyAgatezu ca //
   C.6.15. svasti rātrau svasti divā svasti madhyaṃdine sthite /	C.6.15. svasti rAtrO svasti divA svasti maDyaMdine sTite /
   sarvatra svasti vo bhontu mā caiṣāṃ pāpam āgamat //	sarvatra svasti vaH Bontu mA ca-ezAm pApam Agamat //
   C.3.16. sarve satvāḥ sarve prāṇāḥ sarve bhūtāś ca kevalāḥ /	C.3.16. sarve satvAH sarve prANAH sarve BUtAH ca kevalAH /
   sarve vai sukhinaḥ santu sarve santu nirāmayāḥ /	sarve vE suKinaH santu sarve santu nirAmayAH /
   sarve bhadrāṇi paśyantu mā kaścit pāpam āgamat //	sarve BadrANi paSyantu mA kaScid pApam Agamat //
   C.3.17. yānīha bhūtāni samāgatāni sthitāni bhūmāv athavāntarīkṣe /	C.3.17. yAni-iha BUtAni samAgatAni sTitAni BUmO aTavA-antarIkze /
   kurvantu maitrīṃ satataṃ prajāsu divā ca rātrau ca carantu dharmaṃ //	kurvantu mEtrIm satatam prajAsu divA ca rAtrO ca carantu Darmam //
   C.7.1. iti tatra buddhānāṃ buddhānubhāvena devatānāṃ devatānubhāvena	C.7.1. iti tatra budDAnAm budDa-anuBAvena devatAnAm devatA-anuBAvena
   mahatītir vyupaśānte ti /	mahatItiH vyupaSAnte ti /
   C.7.2. idam avocad bhagavān āttamanās te ca bhikṣavas te ca bodhisatvā sā	C.7.2. idam avocat BagavAn Atta-manAH te ca BikzavaH te ca boDisatvA sA
   ca sarvāvatī parṣat sadevamānuṣāsuragandharvaś ca loko bhagavato bhāṣitam	ca sarvAvatI parzad sa-deva-mAnuza-asura-ganDarvaH ca lokaH BagavataH BAzitam
   abhyanandann iti /	aByanandan iti /
   C.8. (A) āryamahārakṣāmantrānusāriṇīnāmamahāyānasūtraṃ samāptam iti /	C.8. (A) Arya-mahA-rakzA-mantra-anusAriNInAma-mahAyAna-sUtram samAptam iti /
   (B) āryamahārakṣāmantrānusāriṇī samaptā /	(B) Arya-mahArakzA-mantra-anusAriNI samaptA /
   (C) iti mantrānusārīnīparīsamāpta /	(C) iti mantra-anusArI-nIparI-samApta /
   (E) āryamahāmantrānusāriṇīmahāvidyārajñī samāpta ti /	(E) Arya-mahA-mantra-anusAriNI-mahAvidyA-rajQI samApta ti /
   (F) āryamahārakṣāmahāmantrānusāraṇīnāmamahāyānasūtraṃ rakṣākalpaṃ samāptaḥ	(F) Arya-mahArakzA-mahA-mantra-anusAraNI-nAm-a-mahAyAna-sUtram rakzA-kalpam samAptaH
   C.9. (A) śubham astu sarvajagatāṃ /	C.9. (A) SuBam astu sarva-jagatAm /
   (B) ye dharmā hetuprabhavā hetus teṣāṃ tathāgataḥ /	(B) ye DarmAH hetu-praBavAH hetuH tezAm taTAgataH /
   hy avadat teṣāṃ yo nirodha evaṃvādī mahāśramaṇaḥ / śubhaṃ /	hi avadat tezAm yaH niroDaH evaMvAdI mahA-SramaNaH / SuBam /
