   BhP_07.01.001/0 śrīrājovāca	BhP_07.01.001/0 SrI-rAjA-uvAca
   BhP_07.01.011/2 ya eṣa rājannapi kāla īśitā sattvaṃ	Bhu-_07.01.011/2 yaH eza rAjan=-api kAlaH ISitA sattvam
   surānīkamivaidhayatyataḥ	surAnI-kam-iva-eDayati-atas-
   BhP_07.01.011/3 tatpratyanīkān asurān surapriyo rajastamaskān	Bhu-_07.01.011/3 tad-pratyanIkAn asurAn surapriyaH rajaH-tamaskAn
   pramiṇotyuruśravāḥ	pramiNoti-uruSravAH
   BhP_07.01.012/1 atraivodāhṛtaḥ pūrvamitihāsaḥ surarṣiṇā	Bhu-_07.01.012/1 atra-eva-udAhRtaH pUrvam-itihAsaH sura-RziNA
   BhP_07.01.012/2 prītyā mahākratau rājan pṛcchate 'jātaśatrave	Bhu-_07.01.012/2 prItyA mahA-kratO rAjan pRcCate ajAtaSatrave
   BhP_07.01.013/1 dṛṣṭvā mahādbhutaṃ rājā rājasūye mahākratau	Bhu-_07.01.013/1 dRzwvA mahA-adButam rAjA rAjasUye mahA-kratO
   BhP_07.01.013/2 vāsudeve bhagavati sāyujyaṃ cedibhūbhujaḥ	Bhu-_07.01.013/2 vAsudeve Bagavati sAyujyam cedi-BUBujaH
   BhP_07.01.014/1 tatrāsīnaṃ suraṛṣiṃ rājā pāṇḍusutaḥ kratau	Bhu-_07.01.014/1 tatra-AsInam sura-Rzim rAjA pANxu-sutaH kratO
   BhP_07.01.014/2 papraccha vismitamanā munīnāṃ śṛṇvatāmidam	Bhu-_07.01.014/2 papracCa vismita-manAH munInAm SRNvatAm-idam
   BhP_07.01.015/0 śrīyudhiṣṭhira uvāca	BhP_07.01.015/0 SrIyuDizWiraH uvAca
   BhP_07.01.015/1 aho atyadbhutaṃ hyetaddurlabhaikāntināmapi	Bhu-_07.01.015/1 aho ati-adButam hi-etat-durlaBA-ekAntinAm-api
   BhP_07.01.015/2 vāsudeve pare tattve prāptiścaidyasya vidviṣaḥ	Bhu-_07.01.015/2 vAsudeve pare tattve prAptiH-cEdyasya vidvizaH
   BhP_07.01.016/1 etadveditumicchāmaḥ sarva eva vayaṃ mune	Bhu-_07.01.016/1 etat-veditum-icCAmaH sarve eva vayam mune
   BhP_07.01.016/2 bhagavannindayā veno dvijaistamasi pātitaḥ	BhP_07.01.016/2 Bagavat-nindayA venaH dvijEH-tamasi pAtitaH
   BhP_07.01.017/1 damaghoṣasutaḥ pāpa ārabhya kalabhāṣaṇāt	Bhu-_07.01.017/1 damaGoza-sutaH pApaH AraBya kala-BAzaNAt-
   BhP_07.01.017/2 sampratyamarṣī govinde dantavakraśca durmatiḥ	BhP_07.01.017/2 samprati-amarzI govinde dantavakraH-ca durmatiH
   BhP_07.01.018/1 śapatorasakṛdviṣṇuṃ yadbrahma paramavyayam	Bhu-_07.01.018/1 SapatoH-asakRt-vizNum yat-brahma parama-vyayam
   BhP_07.01.018/2 śvitro na jāto jihvāyāṃ nāndhaṃ viviśatustamaḥ	Bhu-_07.01.018/2 SvitraH na jAtaH jihvAyAm na-anDam viviSatuH-tamaH
   BhP_07.01.019/1 kathaṃ tasmin bhagavati duravagrāhyadhāmani	Bhu-_07.01.019/1 kaTam tasmin Bagavati duravagrAhya-DAmani
   BhP_07.01.019/2 paśyatāṃ sarvalokānāṃ layamīyaturañjasā	Bhu-_07.01.019/2 paSyatAm sarva-lokAnAm layamIyatuH-aQjasA
   BhP_07.01.020/1 etadbhrāmyati me buddhirdīpārciriva vāyunā	Bhu-_07.01.020/1 etat-BrAmyati me budDiH-dIpa-arciH-iva vAyunA
   BhP_07.01.020/2 brūhyetadadbhutatamaṃ bhagavān hyatra kāraṇam	Bhu-_07.01.020/2 brUhi-etat-adButatamam BagavAn hi-atra kAraNam
   BhP_07.01.021/0 śrībādarāyaṇiruvāca	Bhu-_07.01.021/0 SrI-bAdarAyaNiH-uvAca
   BhP_07.01.021/1 rājñastadvaca ākarṇya nārado bhagavān ṛṣiḥ	Bhu-_07.01.021/1 rAjQaH-tat-vacaH AkarNya nAradaH BagavAn RziH
   BhP_07.01.021/2 tuṣṭaḥ prāha tamābhāṣya śṛṇvatyāstatsadaḥ kathāḥ	Bhu-_07.01.021/2 tuzwaH prAha tam-ABAzya SRNvatyAH-tad-sadaH kaTAH
   BhP_07.01.022/0 śrīnārada uvāca	BhP_07.01.022/0 SrI-nAradaH uvAca
   BhP_07.01.022/1 nindanastavasatkāra nyakkārārthaṃ kalevaram	Bhu-_07.01.022/1 nindanaH-tava-satkAra nyakkAra-arTam kalevaram
   BhP_07.01.022/2 pradhānaparayo rājannavivekena kalpitam	Bhu-_07.01.022/2 praDAna-parayoH rAjan=-avivekena kalpitam
   BhP_07.01.023/1 hiṃsā tadabhimānena daṇḍapāruṣyayoryathā	Bhu-_07.01.023/1 hiMsA tad-aBimAnena daNxa-pAruzyayoH-yaTA
   BhP_07.01.023/2 vaiṣamyamiha bhūtānāṃ mamāhamiti pārthiva	Bhu-_07.01.023/2 vEzamyam-iha BUtAnAm mama-aham-iti pArTiva
   BhP_07.01.024/1 yannibaddho 'bhimāno 'yaṃ tadvadhāt prāṇināṃ vadhaḥ	Bhu-_07.01.024/1 yat-nibadDaH aBimAnaH ayam tad-vaDAt prANinAm vaDaH
   BhP_07.01.024/2 tathā na yasya kaivalyādabhimāno 'khilātmanaḥ	Bhu-_07.01.024/2 taTA na yasya kEvalyAt-aBimAnaH aKila-AtmanaH
   BhP_07.01.024/3 parasya damakarturhi hiṃsā kenāsya kalpyate	Bhu-_07.01.024/3 parasya dama-kartuH-hi hiMsA kena-asya kalpyate
   BhP_07.01.025/1 tasmādvairānubandhena nirvaireṇa bhayena vā	Bhu-_07.01.025/1 tasmAt-vEra-anubanDena nirvEreNa Bayena vA
   BhP_07.01.025/2 snehāt kāmena vā yuñjyāt kathañcin nekṣate pṛthak	Bhu-_07.01.025/2 snehAt kAmena vA yuQjyAt kaTaQcid na-Ikzate pRTak-
   BhP_07.01.026/1 yathā vairānubandhena martyastanmayatāmiyāt	Bhu-_07.01.026/1 yaTA vEra-anubanDena martyaH-tad-maya-tAm-iyAt
   BhP_07.01.026/2 na tathā bhaktiyogena iti me niścitā matiḥ	Bhu-_07.01.026/2 na taTA Bakti-yogena iti me niScitA matiH
   BhP_07.01.027/1 kīṭaḥ peśaskṛtā ruddhaḥ kuḍyāyāṃ tamanusmaran	BhP_07.01.027/1 kIwaH peSaskRtAH rudDaH kuxyAyAm tam-anusmaran
   BhP_07.01.027/2 saṃrambhabhayayogena vindate tatsvarūpatām	Bhu-_07.01.027/2 saMramBa-Baya-yogena vindate tad-svarUpa-tAm
   BhP_07.01.028/1 evaṃ kṛṣṇe bhagavati māyāmanuja īśvare	Bhu-_07.01.028/1 evam kRzNe Bagavati mAyA-m-anujaH ISvare
   BhP_07.01.028/2 vaireṇa pūtapāpmānastamāpuranucintayā	Bhu-_07.01.028/2 vEreNa pUta-pApmAnaH-tamApuH-anucintayA
   BhP_07.01.029/1 kāmāddveṣādbhayāt snehādyathā bhaktyeśvare manaḥ	Bhu-_07.01.029/1 kAmAt-dvezAt-BayAt snehAt-yaTA BaktyA-ISvare manaH
   BhP_07.01.029/2 āveśya tadaghaṃ hitvā bahavastadgatiṃ gatāḥ	Bhu-_07.01.029/2 AveSya tat-aGam hitvA bahavaH-tad-gatim gatAH
   BhP_07.01.030/1 gopyaḥ kāmādbhayāt kaṃso dveṣāc caidyādayo nṛpāḥ	Bhu-_07.01.030/1 gopyaH kAmAt-BayAt kaMsaH dvezAt cEdya-AdayaH nRpAH
   BhP_07.01.030/2 sambandhādvṛṣṇayaḥ snehādyūyaṃ bhaktyā vayaṃ vibho	Bhu-_07.01.030/2 sambanDAt-vRzNayaH snehAt-yUyam BaktyA vayam viBo
   BhP_07.01.031/1 katamo 'pi na venaḥ syāt pañcānāṃ puruṣaṃ prati	Bhu-_07.01.031/1 katamaH api na venaH syAt paQcAnAm puruzam prati
   BhP_07.01.031/2 tasmāt kenāpyupāyena manaḥ kṛṣṇe niveśayet	Bhu-_07.01.031/2 tasmAt kena-api-upAyena manaH kRzNe niveSayet-
   BhP_07.01.032/1 mātṛṣvasreyo vaścaidyo dantavakraśca pāṇḍava	Bhu-_07.01.032/1 mAtRzvasreyaH vaH-cEdyaH dantavakraH-ca pANxava
   BhP_07.01.032/2 pārṣadapravarau viṣṇorvipraśāpāt padacyutau	Bhu-_07.01.032/2 pArzada-pravarO vizNoH-vipra-SApAt pada-cyutO
   BhP_07.01.033/0 śrīyudhiṣṭhira uvāca	BhP_07.01.033/0 SrIyuDizWiraH uvAca
   BhP_07.01.033/1 kīdṛśaḥ kasya vā śāpo haridāsābhimarśanaḥ	Bhu-_07.01.033/1 kIdRSaH kasya vA SApaH hari-dAsa-aBimarSanaH
   BhP_07.01.033/2 aśraddheya ivābhāti harerekāntināṃ bhavaḥ	Bhu-_07.01.033/2 aSradDeyaH iva-ABAti hareH-ekAntinAm BavaH
   BhP_07.01.034/1 dehendriyāsuhīnānāṃ vaikuṇṭhapuravāsinām	Bhu-_07.01.034/1 deha-indriya-asuhInAnAm vEkuNWa-pura-vAsinAm
   BhP_07.01.034/2 dehasambandhasambaddhametadākhyātumarhasi	Bhu-_07.01.034/2 deha-sambanDa-sambadDam-etat-AKyAtum-arhasi
   BhP_07.01.035/0 śrīnārada uvāca	BhP_07.01.035/0 SrI-nAradaH uvAca
   BhP_07.01.035/1 ekadā brahmaṇaḥ putrā viṣṇulokaṃ yadṛcchayā	Bhu-_07.01.035/1 ekadA brahmaNaH putrAH vizNu-lokam yadRcCayA
   BhP_07.01.035/2 sanandanādayo jagmuścaranto bhuvanatrayam	Bhu-_07.01.035/2 sanandana-AdayaH jagmuH-carantaH Buvanatrayam
   BhP_07.01.036/1 pañcaṣaḍḍhāyanārbhābhāḥ pūrveṣāmapi pūrvajāḥ	Bhu-_07.01.036/1 paQca-zaz-hAyana-arBa-ABAH pUrvezAm-api pUrvajAH
   BhP_07.01.036/2 digvāsasaḥ śiśūn matvā dvāḥsthau tān pratyaṣedhatām	Bhu-_07.01.036/2 digvAsasaH SiSUn matvA dvAHsTO tAn pratyazeDatAm
   BhP_07.01.037/1 aśapan kupitā evaṃ yuvāṃ vāsaṃ na cārhathaḥ	Bhu-_07.01.037/1 aSapan kupitAH evam yuvAm vAsam na ca-arhaTaH
   BhP_07.01.037/2 rajastamobhyāṃ rahite pādamūle madhudviṣaḥ	Bhu-_07.01.037/2 rajaH-tamoByAm rahite pAda-mUle maDudvizaH
   BhP_07.01.037/3 pāpiṣṭhāmāsurīṃ yoniṃ bāliśau yātamāśvataḥ	Bhu-_07.01.037/3 pApizWAm-AsurIm yonim bAliSO yAtam-ASvataH
   BhP_07.01.038/1 evaṃ śaptau svabhavanāt patantau tau kṛpālubhiḥ	Bhu-_07.01.038/1 evam SaptO sva-BavanAt patantO tO kRpAluBiH
   BhP_07.01.038/2 proktau punarjanmabhirvāṃ tribhirlokāya kalpatām	Bhu-_07.01.038/2 proktO punarjanmaBiH-vAm triBiH-lokAya kalpatAm
   BhP_07.01.039/1 jajñāte tau diteḥ putrau daityadānavavanditau	Bhu-_07.01.039/1 jajQAte tO diteH putrO dEtya-dAnava-vanditO
   BhP_07.01.039/2 hiraṇyakaśipurjyeṣṭho hiraṇyākṣo 'nujastataḥ	Bhu-_07.01.039/2 hiraNyakaSipuH-jyezWaH hiraNyAkzaH anujaH-tatas-
   BhP_07.01.040/1 hato hiraṇyakaśipurhariṇā siṃharūpiṇā	Bhu-_07.01.040/1 hataH hiraNyakaSipuH-hariNA siMha-rUpiNA
   BhP_07.01.040/2 hiraṇyākṣo dharoddhāre bibhratā śaukaraṃ vapuḥ	Bhu-_07.01.040/2 hiraNyAkzaH DarA-udDAre biBratA SOkaram vapuH
   BhP_07.01.041/1 hiraṇyakaśipuḥ putraṃ prahlādaṃ keśavapriyam	Bhu-_07.01.041/1 hiraNyakaSipuH putram prahlAdam keSava-priyam
   BhP_07.01.041/2 jighāṃsurakaron nānā yātanā mṛtyuhetave	Bhu-_07.01.041/2 jiGAMsuH-akarot nAnA yAtanA mRtyu-hetave
   BhP_07.01.042/1 taṃ sarvabhūtātmabhūtaṃ praśāntaṃ samadarśanam	Bhu-_07.01.042/1 tam sarva-BUta-Atma-BUtam praSAntam sama-darSanam
   BhP_07.01.042/2 bhagavattejasā spṛṣṭaṃ nāśaknoddhantumudyamaiḥ	Bhu-_07.01.042/2 Bagavat-tejasA spRzwam na-aSaknot-Dantum-udyamEH
   BhP_07.01.043/1 tatastau rākṣasau jātau keśinyāṃ viśravaḥsutau	Bhu-_07.01.043/1 tatas-tO rAkzasO jAtO keSinyAm viSravaH-sutO
   BhP_07.01.043/2 rāvaṇaḥ kumbhakarṇaśca sarvalokopatāpanau	BhP_07.01.043/2 rAvaNaH kumBakarNaH-ca sarva-loka-upatApanO
   BhP_07.01.044/1 tatrāpi rāghavo bhūtvā nyahanac chāpamuktaye	Bhu-_07.01.044/1 tatra-api rAGavaH BUtvA nyahanat SApa-muktaye
   BhP_07.01.044/2 rāmavīryaṃ śroṣyasi tvaṃ mārkaṇḍeyamukhāt prabho	Bhu-_07.01.044/2 rAma-vIryam Srozyasi tvam mArkaNxeya-muKAt praBo
   BhP_07.01.045/1 tāvatra kṣatriyau jātau mātṛṣvasrātmajau tava	Bhu-_07.01.045/1 tO=-atra kzatriyO jAtO mAtRzvasra-AtmajO tava
   BhP_07.01.045/2 adhunā śāpanirmuktau kṛṣṇacakrahatāṃhasau	Bhu-_07.01.045/2 aDunA SApa-nirmuktO kRzNa-cakra-hata-aMhasO
   BhP_07.01.046/1 vairānubandhatīvreṇa dhyānenācyutasātmatām	Bhu-_07.01.046/1 vEra-anubanDa-tIvreNa DyAnena-acyuta-sa-Atma-tAm
   BhP_07.01.046/2 nītau punarhareḥ pārśvaṃ jagmaturviṣṇupārṣadau	Bhu-_07.01.046/2 nItO punar-hareH pArSvam jagmatuH-vizNu-pArzadO
   BhP_07.01.047/0 śrīyudhiṣṭhira uvāca	BhP_07.01.047/0 SrIyuDizWiraH uvAca
   BhP_07.01.047/1 vidveṣo dayite putre kathamāsīn mahātmani	Bhu-_07.01.047/1 vidvezaH dayite putre kaTam-AsIt mahAtmani
   BhP_07.01.047/2 brūhi me bhagavan yena prahlādasyācyutātmatā	Bhu-_07.01.047/2 brUhi me Bagavan yena prahlAdasya-acyuta-Atma-tA
   BhP_07.02.001/0 śrīnārada uvāca	BhP_07.02.001/0 SrI-nAradaH uvAca
   BhP_07.02.001/1 bhrātaryevaṃ vinihate hariṇā kroḍamūrtinā	Bhu-_07.02.001/1 BrAtari-evam vinihate hariNA kroxa-mUrtinA
   BhP_07.02.001/2 hiraṇyakaśipū rājan paryatapyadruṣā śucā	Bhu-_07.02.001/2 hiraNyakaSipuH rAjan paryatapyadruzA SucA
   BhP_07.02.002/1 āha cedaṃ ruṣā pūrṇaḥ sandaṣṭadaśanacchadaḥ	BhP_07.02.002/1 Aha ca-idam ruzA pUrNaH sandazwa-daSanacCadaH
   BhP_07.02.002/2 kopojjvaladbhyāṃ cakṣurbhyāṃ nirīkṣan dhūmramambaram	Bhu-_07.02.002/2 kopa-ujjvaladByAm cakzurByAm nirIkzan DUmram-ambaram
   BhP_07.02.003/1 karāladaṃṣṭrogradṛṣṭyā duṣprekṣyabhrukuṭīmukhaḥ	Bhu-_07.02.003/1 karAla-daMzwra-ugra-dRzwyA duzprekzya-BrukuwI-muKaH
   BhP_07.02.003/2 śūlamudyamya sadasi dānavān idamabravīt	Bhu-_07.02.003/2 SUlam-udyamya sadasi dAnavAn idam-abravIt-
   BhP_07.02.004/1 bho bho dānavadaiteyā dvimūrdhaṃstryakṣa śambara	BhP_07.02.004/1 Bo Bo dAnava-dEteyAH dvi-mUrDan=-tryakza Sambara
   BhP_07.02.004/2 śatabāho hayagrīva namuce pāka ilvala	Bhu-_07.02.004/2 Sata-bAho hayagrIva namuce pAkaH ilvala
   BhP_07.02.005/1 vipracitte mama vacaḥ puloman śakunādayaḥ	Bhu-_07.02.005/1 vipracitte mama vacaH puloman Sakuna-AdayaH
   BhP_07.02.005/2 śṛṇutānantaraṃ sarve kriyatāmāśu mā ciram	Bhu-_07.02.005/2 SRNuta-anantaram sarve kriyatAm-ASu mA ciram
   BhP_07.02.006/1 sapatnairghātitaḥ kṣudrairbhrātā me dayitaḥ suhṛt	Bhu-_07.02.006/1 sapatnEH-GAtitaH kzudrEH-BrAtA me dayitaH suhRd-
   BhP_07.02.006/2 pārṣṇigrāheṇa hariṇā samenāpyupadhāvanaiḥ	Bhu-_07.02.006/2 pArzNigrAheNa hariNA samena-api-upaDAvanEH
   BhP_07.02.007/1 tasya tyaktasvabhāvasya ghṛṇermāyāvanaukasaḥ	Bhu-_07.02.007/1 tasya tyakta-svaBAvasya GRNeH-mAyA-vanOkasaH
   BhP_07.02.007/2 bhajantaṃ bhajamānasya bālasyevāsthirātmanaḥ	Bhu-_07.02.007/2 Bajantam BajamAnasya bAlasya-iva-asTiH-AtmanaH
   BhP_07.02.008/1 macchūlabhinnagrīvasya bhūriṇā rudhireṇa vai	Bhu-_07.02.008/1 mad-SUla-Binna-grIvasya BUriNA ruDireNa vE
   BhP_07.02.008/2 asṛkpriyaṃ tarpayiṣye bhrātaraṃ me gatavyathaḥ	Bhu-_07.02.008/2 asRk-priyam tarpayizye BrAtaram me gata-vyaTaH
   BhP_07.02.009/1 tasmin kūṭe 'hite naṣṭe kṛttamūle vanaspatau	Bhu-_07.02.009/1 tasmin kUwe ahite nazwe kRtta-mUle vanaspatO
   BhP_07.02.009/2 viṭapā iva śuṣyanti viṣṇuprāṇā divaukasaḥ	Bhu-_07.02.009/2 viwapAH iva Suzyanti vizNu-prANAH divOkasaH
   BhP_07.02.010/1 tāvadyāta bhuvaṃ yūyaṃ brahmakṣatrasamedhitām	Bhu-_07.02.010/1 tAvat-yAta Buvam yUyam brahma-kzatra-sameDitAm
   BhP_07.02.010/2 sūdayadhvaṃ tapoyajña svādhyāyavratadāninaḥ	Bhu-_07.02.010/2 sUdayaDvam tapaH-yajQa svADyAya-vrata-dAninaH
   BhP_07.02.011/1 viṣṇurdvijakriyāmūlo yajño dharmamayaḥ pumān	Bhu-_07.02.011/1 vizNuH-dvija-kriyA-mUlaH yajQaH Darma-mayaH pumAn
   BhP_07.02.011/2 devarṣipitṛbhūtānāṃ dharmasya ca parāyaṇam	Bhu-_07.02.011/2 deva-Rzi-pitR-BUtAnAm Darmasya ca parAyaNam
   BhP_07.02.012/1 yatra yatra dvijā gāvo vedā varṇāśramakriyāḥ	Bhu-_07.02.012/1 yatra yatra dvijAH gAvaH vedAH varNa-ASrama-kriyAH
   BhP_07.02.012/2 taṃ taṃ janapadaṃ yāta sandīpayata vṛścata	Bhu-_07.02.012/2 tam tam janapadam yAta sandIpayata vRScata
   BhP_07.02.013/1 iti te bhartṛnirdeśamādāya śirasādṛtāḥ	Bhu-_07.02.013/1 iti te BartR-nirdeSam-AdAya SirasA-AdRtAH
   BhP_07.02.013/2 tathā prajānāṃ kadanaṃ vidadhuḥ kadanapriyāḥ	Bhu-_07.02.013/2 taTA prajAnAm kadanam vidaDuH kadana-priyAH
   BhP_07.02.014/1 puragrāmavrajodyāna kṣetrārāmāśramākarān	Bhu-_07.02.014/1 pura-grAma-vraja-udyAna kzetra-ArAm-ASrama-AkarAn
   BhP_07.02.014/2 kheṭakharvaṭaghoṣāṃśca dadahuḥ pattanāni ca	Bhu-_07.02.014/2 Kewa-Karvawa-GozAn=-ca dadahuH pattanAni ca
   BhP_07.02.015/1 kecit khanitrairbibhiduḥ setuprākāragopurān	Bhu-_07.02.015/1 kecid KanitrEH-biBiduH setu-prAkAra-gopurAn
   BhP_07.02.015/2 ājīvyāṃścicchidurvṛkṣān kecit paraśupāṇayaḥ	Bhu-_07.02.015/2 AjIvyAn=-cit-CiduH-vRkzAn kecid paraSu-pANayaH
   BhP_07.02.015/3 prādahan śaraṇānyeke prajānāṃ jvalitolmukaiḥ	Bhu-_07.02.015/3 prAdahan SaraNAni-eke prajAnAm jvalita-ulmukEH
   BhP_07.02.016/1 evaṃ viprakṛte loke daityendrānucarairmuhuḥ	Bhu-_07.02.016/1 evam viprakRte loke dEtya-indra-anucarEH-muhur-
   BhP_07.02.016/2 divaṃ devāḥ parityajya bhuvi ceruralakṣitāḥ	Bhu-_07.02.016/2 divam devAH parityajya Buvi ceruH-alakzitAH
   BhP_07.02.017/1 hiraṇyakaśipurbhrātuḥ samparetasya duḥkhitaḥ	Bhu-_07.02.017/1 hiraNyakaSipuH-BrAtuH samparetasya duHKitaH
   BhP_07.02.017/2 kṛtvā kaṭodakādīni bhrātṛputrān asāntvayat	Bhu-_07.02.017/2 kRtvA kawa-udaka-AdIni BrAtR-putrAn asAntvayat-
   BhP_07.02.018/1 śakuniṃ śambaraṃ dhṛṣṭiṃ bhūtasantāpanaṃ vṛkam	Bhu-_07.02.018/1 Sakunim Sambaram DRzwim BUta-santApanam vRkam
   BhP_07.02.018/2 kālanābhaṃ mahānābhaṃ hariśmaśrumathotkacam	Bhu-_07.02.018/2 kAlanABam mahAnABam hari-SmaSrum-aTa-utkacam
   BhP_07.02.019/1 tanmātaraṃ ruṣābhānuṃ ditiṃ ca jananīṃ girā	Bhu-_07.02.019/1 tad-mAtaram ruzA-BAnum ditim ca jananIm girA
   BhP_07.02.019/2 ślakṣṇayā deśakālajña idamāha janeśvara	Bhu-_07.02.019/2 SlakzNayA deSa-kAla-jQaH idam-Aha janeSvara
   BhP_07.02.020/0 śrīhiraṇyakaśipuruvāca	Bhu-_07.02.020/0 SrIhiraNyakaSipuH-uvAca
   BhP_07.02.020/1 ambāmba he vadhūḥ putrā vīraṃ mārhatha śocitum	Bhu-_07.02.020/1 ambA-amba he vaDUH putrAH vIram mA-arhaTa Socitum
   BhP_07.02.020/2 riporabhimukhe ślāghyaḥ śūrāṇāṃ vadha īpsitaḥ	Bhu-_07.02.020/2 ripoH-aBimuKe SlAGyaH SUrANAm vaDaH IpsitaH
   BhP_07.02.021/1 bhūtānāmiha saṃvāsaḥ prapāyāmiva suvrate	Bhu-_07.02.021/1 BUtAnAm-iha saMvAsaH prapAyAm-iva suvrate
   BhP_07.02.021/2 daivenaikatra nītānāmunnītānāṃ svakarmabhiḥ	Bhu-_07.02.021/2 dEvena-ekatra nItAnAm-unnItAnAm sva-karmaBiH
   BhP_07.02.022/1 nitya ātmāvyayaḥ śuddhaḥ sarvagaḥ sarvavit paraḥ	Bhu-_07.02.022/1 nityaH Atma-avyayaH SudDaH sarva-gaH sarva-vid paraH
   BhP_07.02.022/2 dhatte 'sāvātmano liṅgaṃ māyayā visṛjan guṇān	Bhu-_07.02.022/2 Datte asO=-AtmanaH liFgam mAyayA visRjan guNAn
   BhP_07.02.023/1 yathāmbhasā pracalatā taravo 'pi calā iva	Bhu-_07.02.023/1 yaTA-amBasA pracalatA taravaH api calAH iva
   BhP_07.02.023/2 cakṣuṣā bhrāmyamāṇena dṛśyate calatīva bhūḥ	Bhu-_07.02.023/2 cakzuzA BrAmyamANena dRSyate calati-iva BUH
   BhP_07.02.024/1 evaṃ guṇairbhrāmyamāṇe manasyavikalaḥ pumān	Bhu-_07.02.024/1 evam guNEH-BrAmyamANe manasi-avikalaH pumAn
   BhP_07.02.024/2 yāti tatsāmyatāṃ bhadre hyaliṅgo liṅgavān iva	Bhu-_07.02.024/2 yAti tat-sAmyatAm Badre hi-aliFgaH liFgavAn iva
